	Association of American Railroads (AAR), before U.S. House of Representatives Subcommittee on Railroads,	Car Performance Standards NPRM - RIA NTSB, “Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near	Sign Safety Pact, Traffic World	Car Performance Standards NPRM - RIA “Economic Analysis of Federal Regulations Under Executive Order 12866.” http://www.whitehouse.gov/OMB/inforeg/riaguide.html,	Highway Business Report Fewer Customers,” Augusta Chronicle,	Statement to the docket by the Dow Chemical Company,	Alternative Technologies to Railroad Tank Car Placarding.” Texas Transportation Institute,	Car Performance Standards NPRM - RIA AEI-Brookings Joint Center for Regulatory Studies, “Interests of Amici Curiae: American Trucking Associations,	Abbreviated Injury Scale _____________________________________________________________________________ The Abbreviated Injury Scale (AIS) was &quot;[f]irst published in 1971 under the joint sponsorship of the American Medical Association; the Society of Automotive Engineers; and the Association for the Advancement of Automotive Medicine (formerly the American Association for Automotive Medicine).&quot; The AIS was originally developed for impact injury assessment.	(Produced by the University of California, San Francisco and The John Hopkins University for the National Highway Traffic Satey Administation and the Centers for Disease Control)	Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes,” Journal of Safety Research,
Volpe Center research	0.6333333333333333	0.7142857142857143	0.625	0.7234042553191489	0.5185185185185186	0.5416666666666667	0.5517241379310345	0.7027027027027026	0.7209302325581395	0.6578947368421053	0.5806451612903225
Emergency Response Planning Committee, Procedures and Responsibilities	0.4375	0.5	0.4444444444444444	0.5319148936170213	0.3666666666666667	0.4285714285714286	0.40625	0.41666666666666663	0.5777777777777777	0.46153846153846156	0.4411764705882353
The Abbreviated Injury Scale, 1990 revision	0.48571428571428577	0.4651162790697675	0.5	0.5882352941176471	0.5555555555555556	0.53125	0.4571428571428572	0.5365853658536586	0.4418604651162791	0.5	0.4444444444444444
71 FR 30019	0.9393939393939394	0.8837209302325582	0.9615384615384616	0.92	0.9032258064516129	0.9642857142857143	0.9411764705882353	0.95	0.9111111111111111	0.9534883720930233	0.9444444444444444
44 FR 11034	0.9375	0.9069767441860466	0.96	0.9183673469387755	0.9	0.962962962962963	0.9393939393939394	0.9487179487179487	0.9565217391304348	0.9523809523809523	0.9428571428571428
49 CFR Part 213	0.8571428571428572	0.7380952380952381	0.8148148148148149	0.7959183673469388	0.78125	0.8666666666666667	0.7941176470588236	0.825	0.875	0.8372093023255813	0.8378378378378378
71 FR 12259	0.9393939393939394	0.8571428571428572	0.9615384615384616	0.8979591836734694	0.9032258064516129	0.9642857142857143	0.9411764705882353	0.95	0.9111111111111111	0.9534883720930233	0.9444444444444444
71 FR 30019	0.9393939393939394	0.8837209302325582	0.9615384615384616	0.92	0.9032258064516129	0.9642857142857143	0.9411764705882353	0.95	0.9111111111111111	0.9534883720930233	0.9444444444444444
71 FR 37974	0.9393939393939394	0.8837209302325582	0.9615384615384616	0.92	0.9032258064516129	0.9642857142857143	0.9411764705882353	0.95	0.9111111111111111	0.9534883720930233	0.9444444444444444
71 FR 67015	0.9393939393939394	0.8837209302325582	0.9615384615384616	0.8979591836734694	0.9032258064516129	0.9642857142857143	0.9411764705882353	0.95	0.9347826086956522	0.9534883720930233	0.9444444444444444
Statement to the docket by the Chlorine Institute, Inc	0.46875	0.4878048780487805	0.4814814814814815	0.5833333333333333	0.4516129032258065	0.28	0.4375	0.4444444444444444	0.5681818181818181	0.4473684210526315	0.375
TCC Docket T 87.2	0.8235294117647058	0.7954545454545454	0.7692307692307692	0.8200000000000001	0.8181818181818181	0.6923076923076923	0.71875	0.7948717948717949	0.8260869565217391	0.7804878048780488	0.8055555555555556
Docket Submission: USDOT/FRA docket number 25169, p.1	0.4871794871794872	0.5	0.6923076923076923	0.5	0.6190476190476191	0.6052631578947368	0.5714285714285714	0.5957446808510638	0.6226415094339622	0.5319148936170213	0.5909090909090908
Economic Analysis of Federal Regulations Under Executive Order 12866	0.4864864864864865	0.5	0.5882352941176471	0.3695652173913043	0.5135135135135135	0.6842105263157895	0.5384615384615384	0.5348837209302326	0.5714285714285714	0.5333333333333333	0.5952380952380952
Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes	0.5555555555555556	0.4883720930232558	0.5806451612903225	0.5208333333333333	0.40625	0.4666666666666667	0.4411764705882353	0.4473684210526315	0.5333333333333333	0.5238095238095238	0.16666666666666663
Cost-Benefit Default Principles	0.5625	0.5609756097560976	0.5384615384615384	0.6170212765957447	0.5	0.5714285714285714	0.53125	0.5277777777777778	0.6956521739130435	0.5641025641025641	0.5588235294117647
