	Regulatory Impact Analysis: Heavy‐Duty Engine and Vehicle Standards and Highway Diesel Fuel Sulfur Control Requirements, U.S. Environmental Protection Agency, Office of Transportation and Air Quality, Assessment and Standards Division,	Environmental Protection Agency (EPA). 2005a. Clean Air Interstate Rule Emissions Inventory Technical Support Document, U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Emissions Inventory and Emissions Processing for the Clean Air Mercury Rule (CAMR), U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Environmental Protection Agency (EPA). 2007b, Proposed Emission Standards for New Nonroad Spark‐Ignition Engines, Equipment, and Vessels.	Environmental Protection Agency (EPA). 2008a. Air Quality Modeling Platform for the Ozone National Ambient Air Quality Standard Final Rule Regulatory Impact Analysis. North Carolina.	Environmental Protection Agency (EPA). 2008b. Final Ozone NAAQS Regulatory Impact Analysis. U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Environmental Protection Agency (EPA).	Development and applications of a standard visual index.	Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci. Technol.,	Oxidants and Asthmatics in Los Angeles: A Benefits Analysis -- Executive Summary. Prepared for U.S. Environmental Protection Agency, Office of Policy Analysis. Prepared by Energy and Resource Consultants,	Ambient air pollution and asthma exacerbations in children: an eight-city analysis.	Guidelines for Preparing Economic Analyses.	Letter to Recipients of Third Draft EPA PM Criteria Document. National Center for Environmental Assessment,	Air Quality Criteria for Particulate Matter. Volume I	Regulatory Impact Analysis for the Final Clean Air Interstate Rule.	Regulatory Impact Analysis,	Willingness to Pay for Environmental	Forest Inventory and Analysis National Program: Forest Inventory Data Online. Online database. U.S. Department of Agriculture Forest Service, Forest Inventory and Analysis,	Investigations and Monitoring of Mercury in Indiana by the U.S. Geological Survey.	Episodic acidification of small streams in the northeastern United States: Fish mortality in field bioassays.	Pricing Environmental Health Risks: Survey Assessments of Risk-Risk and Risk-Dollar Trade-Offs for Chronic Bronchitis.”	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Effect of short-term exposure to low levels of gaseous pollutants on chronic obstructive pulmonary disease hospitalizations.	Association between ozone and respiratory admissions among children and the elderly in Vancouver,	Chapter 6: Cost Analysis Approach and Results Commercial, and Institutional	Pechan and Associates and Industrial Economics, Direct Cost Estimates for the Clean Air Act Second Section 812 Prospective Analysis: Draft Report, prepared for U.S. EPA, Office of Air and Radiation,	Learning and Cost Reductions for Generating Technologies in the National Energy Modeling System (NEMS),	Proposed Approach for Expanding the Treatment of Learning Curve Impacts for the Second Section 812 Prospective Analysis: Memorandum, prepared for U.S. EPA, Office of Air and Radiation,	Sulfur Dioxide Control by Electric Utilities: What Are the Gains from Trade?”	Ex Post Evaluation of Tradable Permits: The U.S.	Testimony of Jeffrey Holmstead, Assistant Administrator, Office of Air	Are the costs of proposed environmental regulations overestimated?	The Clean Air Act Amendment: Spurring Innovation and Growth While Cleaning the Air.	Incorporating Technological Learning in the Coal Utility Environmental Cost (CUECost) Model: Estimating the Future Cost Trends of SO2, NOx, and Mercury Control Technologies.” Prepared for ARCADIS Geraghty and Miller, Research Triangle Park, NC 27711. Available at http://steps.ucdavis.edu/People/slyeh/syeh‐ resources/Drft%20Fnl%20Rpt%20Lrng%20for%20CUECost_v3.pdf.	Census Bureau	f No data on budget or revenues for this NAICS code is included
Environmental Benefits and Mapping Program (Version 3.0)	0.574468085106383	0.4883720930232558	0.46153846153846156	0.4390243902439024	0.4651162790697675	0.4883720930232558	0.4137931034482759	0.4666666666666667	0.5135135135135135	0.5121951219512195	0.5238095238095238	0.5714285714285714	0.4516129032258065	0.4864864864864865	0.5757575757575757	0.5714285714285714	0.6060606060606061	0.4285714285714286	0.55	0.5428571428571429	0.5294117647058824	0.5476190476190477	0.55	0.48571428571428577	0.5428571428571429	0.6486486486486487	0.5813953488372092	0.5263157894736843	0.5555555555555556	0.6744186046511628	0.5	0.6176470588235294	0.4838709677419355	0.6052631578947368	0.5714285714285714	0.75	0.6
Expanded Expert Judgment Assessment of the Concentration-Response Relationship Between PM2.5 Exposure and Mortality	0.45833333333333337	0.4	0.40476190476190477	0.4893617021276596	0.4130434782608695	0.5	0.5277777777777778	0.48571428571428577	0.32432432432432434	0.3414634146341463	0.31707317073170727	0.37142857142857144	0.38235294117647056	0.3846153846153846	0.5	0.37142857142857144	0.48571428571428577	0.5428571428571429	0.5227272727272727	0.5128205128205128	0.5	0.38095238095238093	0.45238095238095233	0.33333333333333337	0.4736842105263158	0.45945945945945943	0.41860465116279066	0.46341463414634143	0.36363636363636365	0.5116279069767442	0.5128205128205128	0.5405405405405406	0.4571428571428572	0.5	0.5254237288135593	0.7272727272727273	0.5263157894736843
Guidelines for Preparing Economic  Analyses: External Review Draft	0.39534883720930236	0.4418604651162791	0.44999999999999996	0.4651162790697675	0.48888888888888893	0.4772727272727273	0.4516129032258065	0.3448275862068966	0.41666666666666663	0.42500000000000004	0.3589743589743589	0.375	0.27586206896551724	0.38888888888888884	0.5588235294117647	0.4242424242424242	0.4	0.4137931034482759	0.3783783783783784	0.48571428571428577	0.47058823529411764	0.3846153846153846	0.46153846153846156	0.33333333333333337	0.3939393939393939	0.4242424242424242	0.3846153846153846	0.4736842105263158	0.40476190476190477	0.4054054054054054	0.4411764705882353	0.5151515151515151	0.3666666666666667	0.4285714285714286	0.509090909090909	0.7666666666666666	0.5
Guidelines for Preparing Economic Analyses	0.5238095238095238	0.5	0.4722222222222222	0.4871794871794872	0.5121951219512195	0.5	0.42307692307692313	0.42307692307692313	0.3870967741935484	0.4444444444444444	0.45945945945945943	0.3928571428571429	0.045454545454545414	0.4545454545454546	0.5	0.3928571428571429	0.36	0.375	0.4411764705882353	0.4666666666666667	0.4482758620689655	0.4864864864864865	0.5675675675675675	0.4	0.4137931034482759	0.4482758620689655	0.4864864864864865	0.4545454545454546	0.5	0.47058823529411764	0.5161290322580645	0.4444444444444444	0.31999999999999995	0.5	0.6111111111111112	0.6956521739130435	0.48275862068965514
Integrated Science Assessment for Particulate Matter (External Review Draft)	0.4444444444444444	0.38095238095238093	0.29729729729729726	0.40476190476190477	0.39534883720930236	0.41860465116279066	0.4193548387096774	0.4193548387096774	0.4736842105263158	0.4	0.45238095238095233	0.5277777777777778	0.4545454545454546	0.4054054054054054	0.5294117647058824	0.48571428571428577	0.46875	0.4838709677419355	0.4358974358974359	0.4571428571428572	0.5675675675675675	0.4390243902439024	0.4358974358974359	0.4444444444444444	0.5	0.5277777777777778	0.4390243902439024	0.4054054054054054	0.41860465116279066	0.5	0.4571428571428572	0.5714285714285714	0.4375	0.4864864864864865	0.49090909090909096	0.7741935483870968	0.4242424242424242
Integrated Science Assessment for Sulfur Oxides - Health Criteria (Final Report)	0.4222222222222223	0.39534883720930236	0.3589743589743589	0.5217391304347826	0.37209302325581395	0.43181818181818177	0.5714285714285714	0.48484848484848486	0.4473684210526315	0.41463414634146345	0.3902439024390244	0.4117647058823529	0.5142857142857142	0.5	0.5833333333333333	0.3125	0.4375	0.6285714285714286	0.44999999999999996	0.5135135135135135	0.5	0.41463414634146345	0.5238095238095238	0.45945945945945943	0.5135135135135135	0.4117647058823529	0.45238095238095233	0.42105263157894735	0.43181818181818177	0.5121951219512195	0.5526315789473684	0.5	0.40625	0.45945945945945943	0.5	0.7419354838709677	0.3939393939393939
Letter to Recipients of Third Draft EPA PM Criteria Document	0.4651162790697675	0.4390243902439024	0.4473684210526315	0.6	0.4883720930232558	0.5777777777777777	0.59375	0.4482758620689655	0.4117647058823529	0.42105263157894735	0.4358974358974359	0.5151515151515151	0.43333333333333335	0.16666666666666663	0.5161290322580645	0.4193548387096774	0.5	0.5666666666666667	0.5384615384615384	0.5714285714285714	0.5151515151515151	0.42105263157894735	0.41666666666666663	0.5142857142857142	0.5294117647058824	0.4193548387096774	0.42105263157894735	0.38235294117647056	0.4	0.4444444444444444	0.48484848484848486	0.5161290322580645	0.4137931034482759	0.5142857142857142	0.537037037037037	0.6923076923076923	0.5
Maple Syrup � June 12, 2008: Maple Syrup Production Up 30 Percent Nationwide	1.0	0.5833333333333333	0.6	1.0	0.5625	0.5217391304347826	0.6756756756756757	0.6388888888888888	1.0	0.5454545454545454	0.5869565217391304	0.6052631578947368	0.6216216216216216	0.5952380952380952	0.6486486486486487	0.675	0.6	0.6944444444444444	0.5121951219512195	0.5789473684210527	0.5675675675675675	1.0	1.0	0.6341463414634146	0.5789473684210527	0.5675675675675675	0.47619047619047616	0.5952380952380952	0.48888888888888893	1.0	0.6153846153846154	0.6111111111111112	0.6486486486486487	0.6	1.0	0.8125	0.631578947368421
Mercury in fish, bed sediment, and water from streams across the United States, 1998�2005	1.0	0.5217391304347826	0.5348837209302326	1.0	0.5319148936170213	0.5217391304347826	0.7105263157894737	0.6	1.0	0.5116279069767442	0.5555555555555556	0.5675675675675675	0.6216216216216216	0.5952380952380952	0.6486486486486487	0.6052631578947368	0.6	0.6571428571428571	0.5476190476190477	0.4571428571428572	0.48571428571428577	1.0	1.0	0.5263157894736843	0.5	0.5675675675675675	0.47619047619047616	0.525	0.48888888888888893	1.0	0.5405405405405406	0.5714285714285714	0.5714285714285714	0.6341463414634146	1.0	0.7741935483870968	0.5555555555555556
Off-Highway Vehicle Recreation in the United States, Regions and States: A National Report from the National Survey on Recreation and the Environment	0.2790697674418605	0.4	0.36585365853658536	0.4222222222222223	0.44680851063829785	0.4	0.5675675675675675	0.5277777777777778	0.4878048780487805	0.41860465116279066	0.275	0.41666666666666663	0.4722222222222222	0.42500000000000004	0.6153846153846154	0.45945945945945943	0.4411764705882353	0.5428571428571429	0.33333333333333337	0.4736842105263158	0.41666666666666663	0.3414634146341463	0.41463414634146345	0.3783783783783784	0.34285714285714286	0.41666666666666663	0.3414634146341463	0.42500000000000004	0.36363636363636365	0.47619047619047616	0.4736842105263158	0.4571428571428572	0.4117647058823529	0.46153846153846156	0.5	0.8	0.4444444444444444
Oxidants and Asthmatics in Los Angeles: A Benefits Analysis -- Executive Summary	0.4666666666666667	0.4772727272727273	0.41025641025641024	0.5333333333333333	0.48888888888888893	0.5111111111111111	0.5	0.4516129032258065	0.41666666666666663	0.42500000000000004	0.2222222222222222	0.32258064516129037	0.4375	0.4736842105263158	0.6	0.47058823529411764	0.5	0.4666666666666667	0.42105263157894735	0.4411764705882353	0.4242424242424242	0.29729729729729726	0.42105263157894735	0.33333333333333337	0.4411764705882353	0.47058823529411764	0.42500000000000004	0.43243243243243246	0.36585365853658536	0.4054054054054054	0.3939393939393939	0.46875	0.3666666666666667	0.4722222222222222	0.5357142857142857	0.7241379310344828	0.40625
Profile of the Annual Fall Foliage Tourist in Vermont: Travel Year 2001	0.5111111111111111	0.5227272727272727	0.5714285714285714	0.5454545454545454	0.5333333333333333	0.5555555555555556	0.5625	0.5625	0.5897435897435898	0.5121951219512195	0.5581395348837209	0.5294117647058824	0.5454545454545454	0.5263157894736843	0.5757575757575757	0.48484848484848486	0.5625	0.48275862068965514	0.5128205128205128	0.5833333333333333	0.5714285714285714	0.5121951219512195	0.5128205128205128	0.5675675675675675	0.5	0.5714285714285714	0.5121951219512195	0.6	0.4883720930232558	0.575	0.4545454545454546	0.5757575757575757	0.43333333333333335	0.5277777777777778	0.5714285714285714	0.75	0.5151515151515151
Technical Support Document: Calculating Benefit Per-Ton estimates, Ozone NAAQS Docket #EPA-HQ-OAR-2007-0225-0284	0.4339622641509434	0.38	0.5098039215686274	0.5185185185185186	0.42307692307692313	0.4423076923076923	0.6808510638297872	0.6521739130434783	0.5800000000000001	0.5471698113207547	0.43999999999999995	0.5957446808510638	0.6086956521739131	0.46808510638297873	0.6595744680851063	0.5652173913043479	0.5909090909090908	0.6666666666666667	0.52	0.6862745098039216	0.625	0.36170212765957444	0.5490196078431373	0.5918367346938775	0.6041666666666667	0.5652173913043479	0.4285714285714286	0.5306122448979591	0.4423076923076923	0.5686274509803921	0.6041666666666667	0.6	0.6	0.5918367346938775	0.47619047619047616	0.7857142857142857	0.5869565217391304
The Benefits and Costs of the Clean Air Act 1990 to 2010: EPA Report to Congress. Office of Air and Radiation, Office of Policy	0.4130434782608695	0.34883720930232553	0.4285714285714286	0.5106382978723405	0.4347826086956522	0.4565217391304348	0.5555555555555556	0.5945945945945945	0.475	0.4418604651162791	0.3414634146341463	0.4864864864864865	0.4571428571428572	0.41025641025641024	0.6052631578947368	0.4444444444444444	0.5142857142857142	0.5714285714285714	0.47619047619047616	0.575	0.4864864864864865	0.36585365853658536	0.5116279069767442	0.525	0.5384615384615384	0.4444444444444444	0.32499999999999996	0.4878048780487805	0.30952380952380953	0.5348837209302326	0.5384615384615384	0.48571428571428577	0.5277777777777778	0.525	0.4642857142857143	0.7575757575757576	0.5526315789473684
The Benefits and Costs of the Clean Air Act, 1990�2010	1.0	0.5348837209302326	0.5853658536585367	1.0	0.6086956521739131	0.6304347826086957	0.6666666666666667	0.5806451612903225	1.0	0.5609756097560976	0.5714285714285714	0.5882352941176471	0.6060606060606061	0.5	0.6363636363636364	0.5454545454545454	0.5806451612903225	0.6451612903225806	0.6341463414634146	0.6	0.5882352941176471	1.0	1.0	0.6216216216216216	0.5588235294117647	0.5	0.525	0.5405405405405406	0.5348837209302326	1.0	0.6	0.4482758620689655	0.5	0.5833333333333333	1.0	0.6799999999999999	0.4838709677419355
Updated Outdoor Recreation Use Values With Emphasis On National Park Recreation. Final Report	0.4545454545454546	0.5	0.475	0.5227272727272727	0.4772727272727273	0.4651162790697675	0.5757575757575757	0.4838709677419355	0.4864864864864865	0.4878048780487805	0.46341463414634143	0.5	0.46875	0.41666666666666663	0.5882352941176471	0.4545454545454546	0.53125	0.5483870967741935	0.4473684210526315	0.5555555555555556	0.40625	0.4878048780487805	0.4871794871794872	0.5	0.5142857142857142	0.5	0.44999999999999996	0.5384615384615384	0.5	0.55	0.47058823529411764	0.5882352941176471	0.5	0.5405405405405406	0.5535714285714286	0.7586206896551724	0.5714285714285714
Valuation of Reductions in Human Health Symptoms and Risks.	0.47619047619047616	0.5238095238095238	0.5	0.5121951219512195	0.5348837209302326	0.5581395348837209	0.6129032258064516	0.40740740740740744	0.5555555555555556	0.5128205128205128	0.4871794871794872	0.43333333333333335	0.4482758620689655	0.48571428571428577	0.5333333333333333	0.3793103448275862	0.4642857142857143	0.5862068965517242	0.5135135135135135	0.4516129032258065	0.3793103448275862	0.43243243243243246	0.4722222222222222	0.4375	0.4516129032258065	0.43333333333333335	0.4736842105263158	0.48571428571428577	0.5238095238095238	0.5405405405405406	0.5	0.48275862068965514	0.4285714285714286	0.5294117647058824	0.625	0.7692307692307692	0.5161290322580645
Willingness to Pay for Environmental Health Risk Reductions when there are Varying Degrees of Life Expectancy: A White Paper	0.3555555555555555	0.46808510638297873	0.4772727272727273	0.4565217391304348	0.5102040816326531	0.5306122448979591	0.5277777777777778	0.4411764705882353	0.44999999999999996	0.4545454545454546	0.3571428571428571	0.41666666666666663	0.4285714285714286	0.3846153846153846	0.5789473684210527	0.45945945945945943	0.48571428571428577	0.4545454545454546	0.45238095238095233	0.55	0.5	0.3414634146341463	0.33333333333333337	0.3783783783783784	0.38888888888888884	0.45945945945945943	0.41860465116279066	0.5	0.4	0.4390243902439024	0.4736842105263158	0.5405405405405406	0.4117647058823529	0.46153846153846156	0.5	0.8	0.5263157894736843
A New National Park Visibility Value Estimates	0.5909090909090908	0.6363636363636364	0.5897435897435898	0.4473684210526315	0.5813953488372092	0.5714285714285714	0.4814814814814815	0.5862068965517242	0.5294117647058824	0.5641025641025641	0.575	0.5	0.4642857142857143	0.5428571428571429	0.5	0.5483870967741935	0.4814814814814815	0.43999999999999995	0.5277777777777778	0.6060606060606061	0.5483870967741935	0.5641025641025641	0.5675675675675675	0.5	0.4137931034482759	0.5483870967741935	0.6	0.5833333333333333	0.6363636363636364	0.5555555555555556	0.5161290322580645	0.5517241379310345	0.5517241379310345	0.6285714285714286	0.6607142857142857	0.6956521739130435	0.5333333333333333
Ecosystems and Human Well-being: Synthesis	0.5454545454545454	0.5909090909090908	0.5384615384615384	0.5813953488372092	0.5681818181818181	0.5909090909090908	0.5666666666666667	0.5666666666666667	0.5142857142857142	0.5128205128205128	0.4473684210526315	0.3214285714285714	0.5	0.6052631578947368	0.6666666666666667	0.53125	0.5172413793103448	0.4814814814814815	0.5135135135135135	0.4516129032258065	0.3793103448275862	0.43243243243243246	0.5135135135135135	0.3870967741935484	0.4516129032258065	0.4838709677419355	0.55	0.48571428571428577	0.5581395348837209	0.4117647058823529	0.4516129032258065	0.5333333333333333	0.48275862068965514	0.48484848484848486	0.6491228070175439	0.7692307692307692	0.4666666666666667
Introduction to visibility	0.6666666666666667	0.65	0.6	0.6052631578947368	0.625	0.6153846153846154	0.6	0.4782608695652174	0.625	0.5714285714285714	0.6216216216216216	0.5	0.5769230769230769	0.6363636363636364	0.6153846153846154	0.5555555555555556	0.4782608695652174	0.5652173913043479	0.53125	0.4	0.5555555555555556	0.6486486486486487	0.6944444444444444	0.5	0.46153846153846156	0.5	0.6111111111111112	0.6363636363636364	0.65	0.6060606060606061	0.5714285714285714	0.56	0.5	0.6	0.7222222222222222	0.736842105263158	0.41666666666666663
