	The Behavioral Economics of Retirement Savings Behavior, AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows,	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,656,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 8,398,000 hours in the first year; 5,776,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,541,000 for the first year; $493,242,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and 1. The authority citation for part 2550 is revised to read as follows:	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sec. 2550.404c–1 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR, 1978 Comp. p. 332, effective Dec. 31, 1978, 44 FR	Add § 2550.408g–1 to read as follows:	Section 408(g)(1) of the Employee Retirement Income Security Advice Exemption Notification— Statutory, U.S. Department of Labor, Employee Benefits Security Administration, Room N–1513, 200 Constitution Ave.,	For purposes of paragraph (j)(6)(i) Signed at Washington, DC, this 15th day of August,
Company Stock and Pension Plan Diversification, in The Pension Challenge: Risk Transfers and Retirement Income Security	0.2857142857142857	0.5428571428571429	0.5272727272727273	0.34090909090909094	0.55	0.52	0.7073170731707317	0.48	0.4871794871794872
Fees and Revenue Sharing in Defined Contribution Retirement Plans	0.4117647058823529	0.59375	0.6111111111111112	0.4772727272727273	0.5142857142857142	0.48888888888888893	0.6944444444444444	0.5416666666666667	0.48571428571428577
Financial Advice and Individual Investors' Portfolios	0.48484848484848486	0.5357142857142857	0.6603773584905661	0.6	0.5882352941176471	0.6382978723404256	0.65625	0.653061224489796	0.6
Financial Literacy and Mutual Fund Investments: Who Buys Actively Managed Funds?	0.41666666666666663	0.5882352941176471	0.5818181818181818	0.5416666666666667	0.6585365853658536	0.6603773584905661	0.6842105263157895	0.5686274509803921	0.5641025641025641
Financial Planning: On the Issue of Advice	0.47058823529411764	0.5172413793103448	0.6226415094339622	0.5555555555555556	0.6111111111111112	0.653061224489796	0.6363636363636364	0.64	0.5833333333333333
High-Quality Financial Advice Wanted!	0.5833333333333333	0.6451612903225806	0.6909090909090909	0.6938775510204082	0.7105263157894737	0.75	0.7777777777777778	0.7115384615384616	0.6111111111111112
How to Invest Over the Life Cycle: a Review	0.5277777777777778	0.625	0.6296296296296297	0.5333333333333333	0.6923076923076923	0.6862745098039216	0.6857142857142857	0.62	0.6666666666666667
Intermediated Investment Management	0.625	0.7037037037037037	0.7735849056603774	0.7045454545454546	0.6875	0.7391304347826086	0.7241379310344828	0.7234042553191489	0.696969696969697
Investment Advice Survey 2001	0.5588235294117647	0.75	0.679245283018868	0.5909090909090908	0.5757575757575757	0.6595744680851063	0.6875	0.5869565217391304	0.6285714285714286
Investment Mistakes of Individual Investors and the Impact of Financial Advice	0.4411764705882353	0.4285714285714286	0.6296296296296297	0.5333333333333333	0.6578947368421053	0.6326530612244898	0.6857142857142857	0.5918367346938775	0.5555555555555556
Investor Behavior in the Mutual Fund Industry: Evidence from Gross Flows	0.4444444444444444	0.43333333333333335	0.5740740740740741	0.5	0.6829268292682926	0.679245283018868	0.6756756756756757	0.5882352941176471	0.625
Investor Profile and Asset Allocation Advice	0.4838709677419355	0.5925925925925926	0.6923076923076923	0.6363636363636364	0.59375	0.6739130434782609	0.6206896551724138	0.6595744680851063	0.6470588235294117
Investor Timing and Fund Distribution Channels	0.47058823529411764	0.5666666666666667	0.6226415094339622	0.5227272727272727	0.6111111111111112	0.5957446808510638	0.7142857142857143	0.5833333333333333	0.5428571428571429
Life-Cycle Funds	0.7142857142857143	0.6153846153846154	0.7547169811320755	0.6818181818181819	0.7352941176470589	0.7173913043478262	0.8125	0.7291666666666667	0.6666666666666667
Non-Market Wealth, Background Risk and Portfolio Choice	0.4444444444444444	0.53125	0.5740740740740741	0.5625	0.5	0.6	0.7105263157894737	0.5882352941176471	0.5526315789473684
Optimal Asset Location and Allocation with Taxable and Tax-Deferred Investing	0.43243243243243246	0.5151515151515151	0.6140350877192983	0.4893617021276596	0.6666666666666667	0.6153846153846154	0.6578947368421053	0.52	0.6097560975609756
Personalized Retirement Advice and Managed Accounts: Who Uses Them and How Does Advice Affect Behavior in 401(k) Plans?	0.48888888888888893	0.627906976744186	0.4915254237288136	0.5272727272727273	0.5652173913043479	0.509090909090909	0.6136363636363636	0.5	0.574468085106383
Portfolio Allocation Choices in Taxable and Tax-Deferred Accounts: An Empirical Analysis of Tax-Efficiency	0.38888888888888884	0.46875	0.537037037037037	0.4565217391304348	0.6341463414634146	0.6153846153846154	0.6923076923076923	0.52	0.5384615384615384
Portfolio Transactions Costs at U.S. Equity Mutual Funds	0.5405405405405406	0.5	0.5849056603773585	0.5111111111111111	0.5945945945945945	0.6122448979591837	0.7297297297297297	0.6274509803921569	0.6052631578947368
Regulating Markets for Retirement Payouts: Solvency, Supervision, and Credibility	0.34285714285714286	0.5588235294117647	0.5636363636363637	0.38636363636363635	0.4864864864864865	0.5	0.6923076923076923	0.52	0.5384615384615384
Survey Findings: Hot Topics in Retirement, 2007	0.4864864864864865	0.6176470588235294	0.5471698113207547	0.4666666666666667	0.5405405405405406	0.5416666666666667	0.7105263157894737	0.5882352941176471	0.5897435897435898
The Economics of Mutual-Fund Brokerage: Evidence from the Cross Section of Investment Channels	0.4054054054054054	0.48484848484848486	0.5714285714285714	0.4347826086956522	0.6428571428571428	0.6226415094339622	0.7	0.5576923076923077	0.5853658536585367
The Economics of Providing 401(k) Plans: Services, Fees and Expenses 2006	0.5	0.5405405405405406	0.5263157894736843	0.3829787234042553	0.5476190476190477	0.45999999999999996	0.6341463414634146	0.4807692307692307	0.5238095238095238
The Efficiency of Pension Plan Investment Menus: Investment Choices in Defined Contribution Pension Plans	0.37142857142857144	0.5	0.5555555555555556	0.4444444444444444	0.625	0.607843137254902	0.717948717948718	0.54	0.6
The NUA Benefit and Optimal Investment in Company Stock in 401(k) Accounts	0.46341463414634143	0.6153846153846154	0.5263157894736843	0.5098039215686274	0.6136363636363636	0.5192307692307692	0.6976744186046512	0.3877551020408163	0.5238095238095238
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.38235294117647056	0.5161290322580645	0.5925925925925926	0.48888888888888893	0.641025641025641	0.62	0.7027027027027026	0.5510204081632653	0.6153846153846154
The Role of Company Stock in 401(k) Plans	0.4864864864864865	0.6176470588235294	0.6	0.5	0.5789473684210527	0.5416666666666667	0.7105263157894737	0.5306122448979591	0.5526315789473684
The Role of Company Stock in Defined Contribution Plans	0.3529411764705882	0.53125	0.5740740740740741	0.43181818181818177	0.5405405405405406	0.5416666666666667	0.7435897435897436	0.5306122448979591	0.5135135135135135
Transfer Activity in 401(k) Plans	0.5555555555555556	0.696969696969697	0.6727272727272727	0.6170212765957447	0.6111111111111112	0.625	0.6363636363636364	0.6122448979591837	0.6216216216216216
Why Do Mutual Fund Investors Use Professional Financial Advisers?	0.4444444444444444	0.53125	0.6	0.5918367346938775	0.65	0.6274509803921569	0.7105263157894737	0.5882352941176471	0.5135135135135135
Winners and Losers: 401(k) Trading and Portfolio Performance	0.5641025641025641	0.6571428571428571	0.6	0.5319148936170213	0.5405405405405406	0.5416666666666667	0.5588235294117647	0.5882352941176471	0.5897435897435898
Yet Another Puzzle? Relation Between Price and Performance in the Mutual Fund Industry	0.43243243243243246	0.5151515151515151	0.5636363636363637	0.5510204081632653	0.6	0.6415094339622642	0.6923076923076923	0.6037735849056604	0.6097560975609756
Company Stock in Pension Plans: How Costly Is It?	0.5555555555555556	0.65625	0.6481481481481481	0.5555555555555556	0.6842105263157895	0.7058823529411764	0.75	0.6923076923076923	0.6923076923076923
Asset Allocation and Asset Location: Household Evidence from the Survey of Consumer Finances	0.4444444444444444	0.53125	0.5740740740740741	0.4666666666666667	0.65	0.6	0.6756756756756757	0.5306122448979591	0.5135135135135135
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industry	0.48571428571428577	0.5333333333333333	0.6037735849056604	0.5652173913043479	0.6578947368421053	0.6862745098039216	0.6470588235294117	0.5918367346938775	0.47058823529411764
Down or Out: Assessing the Welfare Costs of Household Investment Mistakes	0.5128205128205128	0.6	0.5892857142857143	0.5510204081632653	0.6976744186046512	0.6666666666666667	0.6216216216216216	0.6037735849056604	0.5384615384615384
Are Investors Rational? Choices Among Index Funds	0.4571428571428572	0.5483870967741935	0.6111111111111112	0.5111111111111111	0.5945945945945945	0.6122448979591837	0.6944444444444444	0.5416666666666667	0.5675675675675675
Asset Location in Tax-Deferred and Conventional Savings Accounts	0.5	0.5483870967741935	0.6842105263157895	0.5434782608695652	0.5945945945945945	0.5833333333333333	0.6571428571428571	0.5416666666666667	0.5277777777777778
The Adequacy of Investment Choices Offered By 401(k) Plans	0.44999999999999996	0.641025641025641	0.5178571428571428	0.4693877551020408	0.6046511627906976	0.5660377358490566	0.6585365853658536	0.47058823529411764	0.5476190476190477
Out of Sight, Out of Mind, The Effects of Expenses on Mutual Fund Flows	0.4722222222222222	0.16000000000000003	0.6181818181818182	0.48888888888888893	0.6052631578947368	0.6470588235294117	0.7027027027027026	0.607843137254902	0.5405405405405406
Individual Account Investment Options and Portfolio Choice: Behavioral Lessons from 401(k) Plans	0.4878048780487805	0.641025641025641	0.543859649122807	0.4693877551020408	0.6046511627906976	0.5098039215686274	0.625	0.43999999999999995	0.5476190476190477
The Use and Abuse of Mutual Fund Expenses	0.5428571428571429	0.25	0.6415094339622642	0.6086956521739131	0.7105263157894737	0.7	0.7058823529411764	0.6326530612244898	0.6111111111111112
Are Stocks Desirable in Tax-Deferred Accounts?	0.5277777777777778	0.5333333333333333	0.7017543859649122	0.5957446808510638	0.5833333333333333	0.6599999999999999	0.6857142857142857	0.62	0.5945945945945945
Manager-Investor Conflicts in Mutual Funds	0.5428571428571429	0.5	0.6666666666666667	0.5777777777777777	0.6	0.6170212765957447	0.6666666666666667	0.6326530612244898	0.5714285714285714
Why Does the Law of One Price Fail? An Experiment on Index Mutual Funds	0.4358974358974359	0.4242424242424242	0.5614035087719298	0.4897959183673469	0.6888888888888889	0.6363636363636364	0.7142857142857143	0.5471698113207547	0.5365853658536586
Product Differentiation, Search Costs, and Competition in the Mutual Fund Industry: A Case Study of S&P 500 Index Funds	0.44999999999999996	0.48571428571428577	0.5178571428571428	0.4042553191489362	0.5714285714285714	0.5384615384615384	0.6585365853658536	0.47058823529411764	0.4358974358974359
