	Managing for Safer Food: The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status? Evidence from the United States and Canada.” Resources for the Future, Discussion Paper,	Economic News Release: Employment Cost Index.” http://www.bls.gov/news.release/eci.toc.htm.	Health Status Index in Cost Effectiveness. Analysis of PKO Program.”	Disease Control and Prevention. http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5414a2.htm Consumer Price Index – All Urban Consumers, Medical Care Services, Bureau of Labor Statistics,	Measuring the Health of the United States Population.” Microeconomics, Brookings Paper,	Health Care Contingent Valuation Studies: A Review and	Foodborne Illness Cost Calculator for Salmonella.	Per Capita Consumption of Selected Food Products. http://www.ers.usda.gov/	Foodborne Diseases Active Surveillance Network,	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping”, Market News,	Data: U.S. trade data, U.S. Imports Trade data.	Reddy and the FoodNet Working Group.	USDA/FSIS Technical Center,	Willingness to Pay for a Quality-adjusted Life Year: In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation?” Arch Intern Med,	Foodborne Disease Handbook. 2 nd edition, vol.1 Bacterial Pathogens.	The Quality of WellBeing Scale: Rationale for a Single Quality of Life Index.” From Quality of Life Assessment: Key Issues in the 1990s.	The economic impact of the catfish industry on Chicot County,	Food-Related Illness and Death in the United States.” Emerging Infectious Diseases,	FDA Labeling Cost Model.” Prepared for the U.S. Department of Health and Human Services. Research Triangle Park,	Managing for Safer Food: The Economics of Sanitation and	Physician Characteristics and Distribution in the United States.” 2002-2003 Edition.	Food Poisoning, Economic Implications.” Encyclopedia of Food Sciences	Processing Channel Catfish. South Regional Aquaculture Center,	Post-Salmonella Reactive Arthritis:	Department of Agriculture. Food Safety and Inspection Service. Office of Public Health Science.	Department of Agriculture /National Agricultural Statistics Service (USDA/NASS).	Federal Register. 21 CFR Parts 123 and 1240: Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products; Final Rule.	Trade Commission (USITC).	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry.”	Tauxe and the Food Networking Group.	Physician Socioeconomic Statistics.” 2000-2002 Edition: Profiles for Detailed Specialties, Selected States and Practice Arrangements.	Occurrence and Control of Salmonella in Freshwater Catfish,	The Costs of Visits to Emergency Departments.” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis.” 63FR 24254,	means 500 or less full-time equivalent (FTE) employees (Small Business Administration (SBA) definition) ** North American Industry Classification System (NAICS) code,
Foodborne Illness Cost Calculator for  Salmonella	0.46153846153846156	0.5641025641025641	0.5588235294117647	0.48484848484848486	0.5714285714285714	0.53125	0.5517241379310345	0.050000000000000044	0.4137931034482759	0.4444444444444444	0.53125	0.5769230769230769	0.6666666666666667	0.5555555555555556	0.5666666666666667	0.6060606060606061	0.59375	0.5526315789473684	0.43999999999999995	0.43333333333333335	0.5135135135135135	0.46153846153846156	0.5625	0.4642857142857143	0.5	0.5555555555555556	0.4193548387096774	0.5483870967741935	0.47058823529411764	0.52	0.46875	0.6666666666666667	0.6	0.29166666666666663	0.5625	0.5641025641025641	0.5135135135135135
FoodNet, Foodborne Diseases Active Surveillance Network	0.5806451612903225	0.5	0.5675675675675675	0.5789473684210527	0.5454545454545454	0.5428571428571429	0.4666666666666667	0.4642857142857143	0.48484848484848486	0.0	0.4545454545454546	0.6333333333333333	0.5806451612903225	0.5172413793103448	0.6571428571428571	0.5714285714285714	0.4193548387096774	0.627906976744186	0.5666666666666667	0.5	0.4473684210526315	0.5806451612903225	0.5714285714285714	0.5757575757575757	0.5161290322580645	0.5172413793103448	0.4411764705882353	0.46875	0.6341463414634146	0.6774193548387097	0.5675675675675675	0.5333333333333333	0.5675675675675675	0.3928571428571429	0.5714285714285714	0.5714285714285714	0.525
Industry and  Trade Summary: Catfish	0.4	0.6	0.5588235294117647	0.48484848484848486	0.6046511627906976	0.5757575757575757	0.5	0.43999999999999995	0.4666666666666667	0.6451612903225806	0.53125	0.52	0.6206896551724138	0.5555555555555556	0.5172413793103448	0.6060606060606061	0.7142857142857143	0.5135135135135135	0.30434782608695654	0.53125	0.5897435897435898	0.4	0.5625	0.5666666666666667	0.5517241379310345	0.5555555555555556	0.5151515151515151	0.6363636363636364	0.47058823529411764	0.45833333333333337	0.46875	0.6206896551724138	0.5588235294117647	0.42307692307692313	0.5161290322580645	0.6341463414634146	0.5135135135135135
Preliminary FoodNet Data on the Incidence of Infection with Pathogens Transmitted Commonly Through Food 	0.43333333333333335	0.42500000000000004	0.4444444444444444	0.41666666666666663	0.5111111111111111	0.5	0.5151515151515151	0.4137931034482759	0.34375	0.46875	0.36363636363636365	0.625	0.53125	0.5161290322580645	0.48484848484848486	0.48571428571428577	0.5142857142857142	0.4878048780487805	0.3571428571428571	0.4117647058823529	0.44999999999999996	0.43333333333333335	0.5277777777777778	0.4375	0.46875	0.5625	0.3529411764705882	0.5142857142857142	0.4054054054054054	0.5806451612903225	0.4	0.4838709677419355	0.4864864864864865	0.3448275862068966	0.29032258064516125	0.5348837209302326	0.44999999999999996
Statistical Abstract of the United States	0.43999999999999995	0.5526315789473684	0.5882352941176471	0.5151515151515151	0.5609756097560976	0.4666666666666667	0.4814814814814815	0.41666666666666663	0.5	0.42307692307692313	0.5625	0.6153846153846154	0.6551724137931034	0.48	0.6	0.5	0.5333333333333333	0.5789473684210527	0.48	0.4666666666666667	0.5	0.43999999999999995	0.5	0.5517241379310345	0.42307692307692313	0.41666666666666663	0.4516129032258065	0.48275862068965514	0.5833333333333333	0.56	0.5454545454545454	0.6551724137931034	0.5	0.4	0.5483870967741935	0.5897435897435898	0.5789473684210527
FDA Labeling  Cost Model	0.5555555555555556	0.5897435897435898	0.6285714285714286	0.6388888888888888	0.5952380952380952	0.6470588235294117	0.5357142857142857	0.5384615384615384	0.59375	0.4814814814814815	0.5625	0.7142857142857143	0.6551724137931034	0.5925925925925926	0.6	0.5483870967741935	0.5333333333333333	0.65	0.6428571428571428	0.6060606060606061	0.5	0.5555555555555556	0.6363636363636364	0.6	0.5862068965517242	0.6428571428571428	0.5454545454545454	0.625	0.6578947368421053	0.6666666666666667	0.5454545454545454	0.6551724137931034	0.6285714285714286	0.5714285714285714	0.59375	0.5897435897435898	0.6829268292682926
Health Status Index in Cost  Effectiveness. Analysis of PKO Program	0.5	0.36585365853658536	0.42105263157894735	0.032258064516129004	0.4565217391304348	0.43243243243243246	0.4411764705882353	0.4375	0.37142857142857144	0.5675675675675675	0.5128205128205128	0.6666666666666667	0.6216216216216216	0.6111111111111112	0.5405405405405406	0.5384615384615384	0.5263157894736843	0.4285714285714286	0.48484848484848486	0.43243243243243246	0.4285714285714286	0.5	0.5	0.4117647058823529	0.3939393939393939	0.48484848484848486	0.23529411764705888	0.4864864864864865	0.42500000000000004	0.5882352941176471	0.2857142857142857	0.6216216216216216	0.42105263157894735	0.4242424242424242	0.45945945945945943	0.5111111111111111	0.4651162790697675
Physician Characteristics and Distribution  in the United States	0.5357142857142857	0.5	0.5714285714285714	0.5	0.5476190476190477	0.5	0.5172413793103448	0.46153846153846156	0.4838709677419355	0.4642857142857143	0.5454545454545454	0.5925925925925926	0.5862068965517242	0.5185185185185186	0.5806451612903225	0.53125	0.5161290322580645	0.6341463414634146	0.4	0.5	0.4864864864864865	0.5357142857142857	0.2592592592592593	0.5806451612903225	0.4642857142857143	0.5185185185185186	0.4375	0.5625	0.5277777777777778	0.5384615384615384	0.5294117647058824	0.6333333333333333	0.5294117647058824	0.4444444444444444	0.53125	0.6428571428571428	0.6
Physician Socioeconomic Statistics	0.4782608695652174	0.6216216216216216	0.625	0.5483870967741935	0.6904761904761905	0.5517241379310345	0.6296296296296297	0.5833333333333333	0.5357142857142857	0.6296296296296297	0.6451612903225806	0.6666666666666667	0.6538461538461539	0.64	0.6428571428571428	0.5862068965517242	0.6206896551724138	0.6486486486486487	0.4545454545454546	0.6	0.6486486486486487	0.4782608695652174	0.5357142857142857	0.48	0.52	0.38095238095238093	0.5333333333333333	0.6206896551724138	0.5757575757575757	0.6086956521739131	0.5806451612903225	0.7037037037037037	0.5333333333333333	0.5	0.5862068965517242	0.725	0.6486486486486487
Processing Channel Catfish	0.45833333333333337	0.5675675675675675	0.5625	0.4838709677419355	0.6097560975609756	0.48275862068965514	0.5	0.5	0.40740740740740744	0.6071428571428572	0.5333333333333333	0.7407407407407407	0.6296296296296297	0.56	0.5185185185185186	0.5172413793103448	0.5	0.631578947368421	0.4347826086956522	0.5333333333333333	0.5555555555555556	0.45833333333333337	0.5666666666666667	0.5185185185185186	0.30434782608695654	0.4347826086956522	0.5161290322580645	0.5517241379310345	0.5151515151515151	0.64	0.5161290322580645	0.6296296296296297	0.5161290322580645	0.41666666666666663	0.4642857142857143	0.6052631578947368	0.631578947368421
The economic impact of the catfish industry  on Chicot County, Arkansas	0.4642857142857143	0.4871794871794872	0.5555555555555556	0.48571428571428577	0.5681818181818181	0.4375	0.5483870967741935	0.5	0.46875	0.5	0.33333333333333337	0.5714285714285714	0.5172413793103448	0.5517241379310345	0.6060606060606061	0.5151515151515151	0.5882352941176471	0.55	0.09090909090909094	0.5294117647058824	0.43243243243243246	0.4642857142857143	0.5588235294117647	0.5161290322580645	0.4482758620689655	0.5517241379310345	0.47058823529411764	0.5454545454545454	0.5135135135135135	0.5714285714285714	0.47058823529411764	0.5172413793103448	0.47058823529411764	0.37037037037037035	0.4193548387096774	0.4871794871794872	0.43243243243243246
The Value of a Statistical Life: A  Critical Review of Market Estimates throughout the World	0.40625	0.40476190476190477	0.5	0.475	0.4893617021276596	0.5128205128205128	0.34375	0.5714285714285714	0.41666666666666663	0.5277777777777778	0.4736842105263158	0.6666666666666667	0.6216216216216216	0.6486486486486487	0.5789473684210527	0.5384615384615384	0.6341463414634146	0.4651162790697675	0.5294117647058824	0.5128205128205128	0.3902439024390244	0.40625	0.6428571428571428	0.6153846153846154	0.48571428571428577	0.48484848484848486	0.5365853658536586	0.5641025641025641	0.5348837209302326	0.6666666666666667	0.46153846153846156	0.6216216216216216	0.5365853658536586	0.47058823529411764	0.45945945945945943	0.4772727272727273	0.5333333333333333
Bacterial Pathogens	0.5	0.631578947368421	0.59375	0.5625	0.6341463414634146	0.4642857142857143	0.5384615384615384	0.6	0.5	0.5925925925925926	0.5666666666666667	0.7307692307692308	0.6153846153846154	0.6	0.5555555555555556	0.5517241379310345	0.42307692307692313	0.6216216216216216	0.5416666666666667	0.5666666666666667	0.6216216216216216	0.5	0.6	0.5555555555555556	0.41666666666666663	0.40909090909090906	0.5483870967741935	0.5862068965517242	0.5882352941176471	0.6799999999999999	0.59375	0.6153846153846154	0.5483870967741935	0.52	0.5517241379310345	0.6666666666666667	0.6578947368421053
Food Poisoning, Economic  Implications	0.5	0.5526315789473684	0.5454545454545454	0.5588235294117647	0.627906976744186	0.5161290322580645	0.6774193548387097	0.5384615384615384	0.5	0.5862068965517242	0.5625	0.6153846153846154	0.6551724137931034	0.6428571428571428	0.6	0.59375	0.5333333333333333	0.65	0.5384615384615384	0.4666666666666667	0.5789473684210527	0.5	0.6764705882352942	0.25	0.5862068965517242	0.5925925925925926	0.5	0.625	0.5428571428571429	0.6666666666666667	0.5454545454545454	0.6551724137931034	0.5	0.5185185185185186	0.5483870967741935	0.625	0.5789473684210527
Personal communication with Catherine Viator, RTI	0.5666666666666667	0.4871794871794872	0.5142857142857142	0.5277777777777778	0.5681818181818181	0.5294117647058824	0.4482758620689655	0.5	0.46875	0.5483870967741935	0.48484848484848486	0.6206896551724138	0.65625	0.5	0.6060606060606061	0.5151515151515151	0.5882352941176471	0.5853658536585367	0.3846153846153846	0.48484848484848486	0.5128205128205128	0.5666666666666667	0.6	0.5625	0.3928571428571429	0.4444444444444444	0.5555555555555556	0.6285714285714286	0.5135135135135135	0.5714285714285714	0.5142857142857142	0.6129032258064516	0.5945945945945945	0.37037037037037035	0.46875	0.525	0.55
Personal communication with Catherine Viator, RTI	0.5666666666666667	0.4871794871794872	0.5142857142857142	0.5277777777777778	0.5681818181818181	0.5294117647058824	0.4482758620689655	0.5	0.46875	0.5483870967741935	0.48484848484848486	0.6206896551724138	0.65625	0.5	0.6060606060606061	0.5151515151515151	0.5882352941176471	0.5853658536585367	0.3846153846153846	0.48484848484848486	0.5128205128205128	0.5666666666666667	0.6	0.5625	0.3928571428571429	0.4444444444444444	0.5555555555555556	0.6285714285714286	0.5135135135135135	0.5714285714285714	0.5142857142857142	0.6129032258064516	0.5945945945945945	0.37037037037037035	0.46875	0.525	0.55
Food-Related Illness and Death in the  United States	0.5555555555555556	0.5897435897435898	0.6285714285714286	0.6388888888888888	0.6590909090909092	0.6060606060606061	0.5357142857142857	0.5384615384615384	0.59375	0.5357142857142857	0.6470588235294117	0.56	0.6071428571428572	0.48	0.6	0.5483870967741935	0.5806451612903225	0.6153846153846154	0.6428571428571428	0.3571428571428571	0.5789473684210527	0.5555555555555556	0.5483870967741935	0.5517241379310345	0.5862068965517242	0.48	0.5454545454545454	0.625	0.5833333333333333	0.56	0.5454545454545454	0.6551724137931034	0.5882352941176471	0.5185185185185186	0.6363636363636364	0.6904761904761905	0.6153846153846154
Health Care Contingent Valuation Studies: A Review and Classification of Literature	0.4838709677419355	0.3421052631578947	0.4864864864864865	0.41666666666666663	0.4772727272727273	0.5	0.11538461538461542	0.5161290322580645	0.34375	0.46875	0.5	0.7058823529411764	0.6176470588235294	0.6060606060606061	0.5294117647058824	0.5277777777777778	0.5555555555555556	0.4878048780487805	0.5161290322580645	0.5	0.41025641025641024	0.4838709677419355	0.6052631578947368	0.6111111111111112	0.3666666666666667	0.4137931034482759	0.4444444444444444	0.5142857142857142	0.4871794871794872	0.6666666666666667	0.4	0.6176470588235294	0.5263157894736843	0.4	0.48571428571428577	0.46341463414634143	0.5581395348837209
Microbiology of Aquaculture Products	0.5357142857142857	0.575	0.6111111111111112	0.5	0.5813953488372092	0.5	0.5666666666666667	0.5185185185185186	0.53125	0.5172413793103448	0.5454545454545454	0.7333333333333334	0.6333333333333333	0.7096774193548387	0.48275862068965514	0.4838709677419355	0.5625	0.6	0.5185185185185186	0.5882352941176471	0.5263157894736843	0.5357142857142857	0.5757575757575757	0.5333333333333333	0.40740740740740744	0.5714285714285714	0.4375	0.5625	0.5675675675675675	0.7333333333333334	0.48484848484848486	0.6774193548387097	0.5294117647058824	0.5517241379310345	0.5757575757575757	0.6097560975609756	0.6
Occurrence and Control of Salmonella in Freshwater Catfish	0.3846153846153846	0.4736842105263158	0.5428571428571429	0.4242424242424242	0.5581395348837209	0.46875	0.4285714285714286	0.29166666666666663	0.2857142857142857	0.4285714285714286	0.46875	0.6551724137931034	0.6	0.5357142857142857	0.59375	0.5882352941176471	0.5757575757575757	0.5384615384615384	0.36	0.4193548387096774	0.5	0.3846153846153846	0.5454545454545454	0.5	0.4285714285714286	0.4814814814814815	0.40625	0.53125	0.4571428571428572	0.5555555555555556	0.4545454545454546	0.5517241379310345	0.5428571428571429	0.045454545454545414	0.4516129032258065	0.55	0.5
HACCP as a Regulatory Innovation to  Improve Food Safety in the Meat Industry	0.46875	0.33333333333333337	0.4736842105263158	0.3142857142857143	0.4666666666666667	0.4	0.3548387096774194	0.4516129032258065	0.33333333333333337	0.5428571428571429	0.4444444444444444	0.6470588235294117	0.5151515151515151	0.5882352941176471	0.5142857142857142	0.4722222222222222	0.5405405405405406	0.47619047619047616	0.4516129032258065	0.4444444444444444	0.3157894736842105	0.46875	0.5897435897435898	0.4242424242424242	0.40625	0.4516129032258065	0.24242424242424243	0.5	0.3513513513513513	0.6060606060606061	0.06666666666666665	0.6	0.4736842105263158	0.4375	0.5135135135135135	0.4883720930232558	0.4390243902439024
The Costs of Visits to Emergency Departments	0.3846153846153846	0.4736842105263158	0.5	0.5142857142857142	0.6222222222222222	0.5588235294117647	0.5806451612903225	0.5862068965517242	0.5	0.6666666666666667	0.46875	0.6071428571428572	0.6	0.5862068965517242	0.6363636363636364	0.5882352941176471	0.6176470588235294	0.6097560975609756	0.29166666666666663	0.5151515151515151	0.5384615384615384	0.3846153846153846	0.5454545454545454	0.5	0.5333333333333333	0.5862068965517242	0.5	0.53125	0.5405405405405406	0.6071428571428572	0.5428571428571429	0.6	0.4545454545454546	0.5172413793103448	0.2222222222222222	0.55	0.5384615384615384
Willingness to Pay for a Quality-adjusted Life Year: In Search of a Standard	0.5	0.5454545454545454	0.575	0.4736842105263158	0.5531914893617021	0.5135135135135135	0.5294117647058824	0.53125	0.4571428571428572	0.6111111111111112	0.5897435897435898	0.6764705882352942	0.5882352941176471	0.6571428571428571	0.11111111111111116	0.4571428571428572	0.6052631578947368	0.42500000000000004	0.53125	0.4722222222222222	0.5681818181818181	0.5	0.5405405405405406	0.5	0.48484848484848486	0.4838709677419355	0.45945945945945943	0.6052631578947368	0.46153846153846156	0.6764705882352942	0.5	0.6666666666666667	0.45945945945945943	0.5151515151515151	0.5789473684210527	0.6382978723404256	0.5681818181818181
