	Proposed Rules 51 ‘‘Excess Billing and Insurance-Related Administrative Costs,’’ by James Kahn, in The Healthcare Imperative; Lowering Costs and Improving Outcomes: Workshop Series Summary, edited by	55 ‘‘Project Swipe IT Savings Model,’’	56 For billing and posting clerks in physician offices, Department of Labor,	Avoidance: Interest on Loans and Lines of Credit	prepared by Robert E.	The Costs and Benefits of Moving to the ICD–10 Code Sets,’’	65 ‘‘Health Plans’ Estimated Costs of Implementing ICD–10 Diagnosis Coding,’’	Aetna Chief Financial Officer and Senior Executive Vice President. Aetna Fourth Quarter 2011 Earnings Call Webcast (transcript),	TABLE 30—COST AVOIDANCE LESS COST (NET) OF A ONE-YEAR DELAY [In millions] * Low Net Estimate (Low Cost Avoidance with High Costs) .. ¥$2,950 High Net Estimate (High Cost Avoidance with Low Costs) .. 6,846 Mean Net Cost Avoidance (average) ....................................	Flexibility Analysis: Impact on Small Entities of a Delay in the Compliance Date of ICD–10 The Regulatory Flexibility Act (RFA) of	Number of Small Entities and Scope of Analysis a. Health Care Providers: Physician Total Savings/Cost Avoidance ................................................................................................................. $6,532 $13,612 $10,072 Total Costs ............................................................................................................................................... 2,133 8,784 5,459 * Costs and savings of HPID are calculated over 11 years,	[In millions of dollars] Delay in Compliance Date for ICD–10: Avoidance of returned health care claims. COSTS: Annualized Monetized costs: 7% Discount ................	List of Subjects in 45 CFR Part 162 Administrative practice and procedures, Electronic transactions, Health facilities, Health insurance, Hospitals, Incorporation by reference, Medicaid, Medicare, Reporting and 1. The authority citation for part 162 continues to read as follows:	124 Stat. 146–154 and 915– 917. Subpart A—General Provisions 2. Section 162.103 is amended by health plan. Subpart D—Standard Unique Health Identifier for Health Care Providers § 162.402 [Removed and Reserved] 3. Section 162.402 is removed and reserved. 4. Section 162.404 is amended as follows: A. Redesignating paragraph (a) as paragraph (a)(1). B. Adding a paragraph (a)(2). The addition reads as follows: § 162.404 Compliance dates of the implementation of the standard unique health identifier for health care providers. 6. Subpart E is added to part 162 to read as follows: Subpart E—Standard Unique Health Identifier for Health Plans Sec. 162.502 [Reserved] 162.504 Compliance dates for the implementation of the standard unique health plan identifier. 162.506 Standard unique health plan identifier. 162.508 Enumeration System. 162.510 Implementation specifications: Covered entities. 162.512 Implementation specifications: Health plans. 162.514 Other entity identifier. Subpart E—Standard Unique Health Identifier for Health Plans § 162.502 [Reserved] § 162.504 Compliance dates for the implementation of the standard unique health plan identifier.	(a) Covered health care providers. A covered health care provider must comply with the implementation specifications	plans. A health plan must comply with the implementation specifications in § 162.510 and § 162.512 no later than one of the following dates: (1) A health plan that is not a small health plan—October 1,	(2) A health plan that is a small health plan—October 1,	care clearinghouses. A health care clearinghouse must comply with the implementation specifications in § 162.510 no later than October 1, 2014. § 162.506 Standard unique health plan identifier. (a) Standard. The standard unique health plan identifier is the Health Plan Identifier (HPID) that is assigned by the Enumeration System identified in § 162.508. (b) Required and permitted uses for the HPID. (1) The HPID must be used as specified in § 162.510 and § 162.512. (2) The HPID may be used for any other lawful purpose. § 162.508 Enumeration System. The Enumeration System shall do all of the following: (c) If appropriate, deactivate an HPID upon receipt of sufficient information concerning circumstances justifying deactivation. (d) If appropriate, reactivate a deactivated HPID or OEID upon receipt of sufficient information justifying reactivation. (e) Not assign a deactivated HPID to any other health plan or OEID to any other entity. (f) Disseminate Enumeration System information upon approved requests. § 162.510 Implementation specifications: Covered entities. (a) A covered entity must use an HPID standard under this part. § 162.512 Implementation specifications: Health plans. (a) A controlling health plan must do all of the following: (1) Obtain an HPID from the Enumeration System for itself. (2) Disclose its HPID, when requested, to any entity that needs the HPID to identify the health plan in a standard transaction.	(3) Communicate to the Enumeration System any changes in its required data elements in the Enumeration System within 30 days of the change.
National Health Expenditure Projections 2009-2019	0.5882352941176471	0.5945945945945945	0.631578947368421	0.6666666666666667	0.7	0.6923076923076923	0.5526315789473684	0.5	0.6610169491525424	0.5813953488372092	0.54	0.6304347826086957	0.5625	0.6333333333333333	0.5833333333333333	0.5813953488372092	0.5588235294117647	0.5576923076923077	0.5789473684210527
National Health Plan Identifier White Paper	0.6666666666666667	0.5806451612903225	0.5806451612903225	0.56	0.6521739130434783	0.65625	0.53125	0.625	0.7543859649122807	0.675	0.6458333333333333	0.6585365853658536	0.6444444444444444	0.7241379310344828	0.5666666666666667	0.675	0.6333333333333333	0.6599999999999999	0.6470588235294117
Survey: ICD-10 Brief Progress	0.6326530612244898	0.6944444444444444	0.7297297297297297	0.6071428571428572	0.8275862068965517	0.5161290322580645	0.6486486486486487	0.6511627906976745	0.7457627118644068	0.5641025641025641	0.6122448979591837	0.5853658536585367	0.6382978723404256	0.6491228070175439	0.6857142857142857	0.6976744186046512	0.8108108108108107	0.6274509803921569	0.6388888888888888
Survey: Inducstry Reaction to Potential Delay of ICD-10-A Delay will be Costly, but Manageable *** Unless it's more than a year.	0.4444444444444444	0.5454545454545454	0.5454545454545454	0.5641025641025641	0.725	0.5	0.5434782608695652	0.4693877551020408	0.532258064516129	0.4130434782608695	0.39622641509433965	0.4042553191489362	0.34693877551020413	0.4590163934426229	0.46341463414634143	0.44680851063829785	0.6136363636363636	0.38888888888888884	0.4651162790697675
The 2010 Federal Reserve Payments Study: Noncash Payment Trends in the United States 2006-2009	0.5471698113207547	0.6097560975609756	0.575	0.6388888888888888	0.7428571428571429	0.6341463414634146	0.6363636363636364	0.5531914893617021	0.576271186440678	0.5	0.47058823529411764	0.5217391304347826	0.45833333333333337	0.5254237288135593	0.5641025641025641	0.5333333333333333	0.6153846153846154	0.49056603773584906	0.5609756097560976
The 2010 Federal Reserve Payments Study: Noncash Payment Trends in the United States 2006-2009	0.5471698113207547	0.6097560975609756	0.575	0.6388888888888888	0.7428571428571429	0.6341463414634146	0.6363636363636364	0.5531914893617021	0.576271186440678	0.5	0.47058823529411764	0.5217391304347826	0.45833333333333337	0.5254237288135593	0.5641025641025641	0.5333333333333333	0.6153846153846154	0.49056603773584906	0.5609756097560976
The Costs and Benefits of Moving to the ICD-10 Code Sets	0.62	0.5588235294117647	0.6388888888888888	0.5357142857142857	0.8	0.15384615384615385	0.5142857142857142	0.6046511627906976	0.6181818181818182	0.55	0.6	0.5	0.5957446808510638	0.6379310344827587	0.6285714285714286	0.6818181818181819	0.7222222222222222	0.6153846153846154	0.5833333333333333
The National Progress Report on Healthcare Efficiency	0.5833333333333333	0.5454545454545454	0.5	0.6206896551724138	0.6	0.6571428571428571	0.5428571428571429	0.5952380952380952	0.6842105263157895	0.5	0.5625	0.627906976744186	0.5227272727272727	0.631578947368421	0.53125	0.6097560975609756	0.59375	0.5510204081632653	0.5294117647058824
Version 5010 and ID-10 Readiness Assessment: Conducted among Helath Care Providers, payers, and Vendors for the Centers for Medicare & Medicaid Services (CMS)	0.42592592592592593	0.5227272727272727	0.5227272727272727	0.575	0.7619047619047619	0.5116279069767442	0.4545454545454546	0.41666666666666663	0.4918032786885246	0.3555555555555555	0.40740740740740744	0.41666666666666663	0.36	0.4426229508196722	0.4390243902439024	0.42553191489361697	0.5581395348837209	0.339622641509434	0.4772727272727273
Comments from VHA Health Care as Health Care Provider: testimony by Barbara Mayerick for NCVHS	0.5	0.5897435897435898	0.5135135135135135	0.4838709677419355	0.7272727272727273	0.5789473684210527	0.6190476190476191	0.5333333333333333	0.6101694915254237	0.5454545454545454	0.5098039215686274	0.5	0.46808510638297873	0.5833333333333333	0.4571428571428572	0.5777777777777777	0.5945945945945945	0.5283018867924528	0.5384615384615384
Testimony before the NCVHS Subcommittee on Standards on the National Health Plan Identifier on behalf of America�s Health Insurance Plans and the Blue Cross and Blue Shield Association	1.0	1.0	0.5526315789473684	0.53125	0.7272727272727273	1.0	1.0	0.5333333333333333	1.0	1.0	0.48	1.0	0.46808510638297873	1.0	0.4571428571428572	1.0	1.0	1.0	0.5
Testimony By The American Medical Association	0.6170212765957447	0.5483870967741935	0.5	0.52	0.6666666666666667	0.5806451612903225	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.5789473684210527	0.653061224489796	0.5263157894736843	0.5909090909090908	0.6842105263157895	0.4285714285714286	0.5789473684210527	0.5	0.6666666666666667	0.53125
2010 AFP Electronic Payments: Report of Survey Results	0.54	0.6052631578947368	0.5675675675675675	0.5483870967741935	0.6666666666666667	0.6666666666666667	0.6	0.4390243902439024	0.6666666666666667	0.368421052631579	0.4897959183673469	0.47619047619047616	0.40909090909090906	0.543859649122807	0.47058823529411764	0.4878048780487805	0.5294117647058824	0.48	0.5135135135135135
An Updated Surve of Health Care Claims Receipt and Processing Times	0.47916666666666663	0.48571428571428577	0.5277777777777778	0.5	0.7096774193548387	0.5555555555555556	0.5263157894736843	0.47619047619047616	0.6206896551724138	0.44999999999999996	0.4897959183673469	0.47619047619047616	0.40909090909090906	0.5178571428571428	0.375	0.5581395348837209	0.5714285714285714	0.48	0.4722222222222222
Excess Billing and Insurance-Related Administrative Costs	0.4782608695652174	0.5714285714285714	0.6111111111111112	0.4444444444444444	0.6785714285714286	0.6	0.6052631578947368	0.5476190476190477	0.6	0.4871794871794872	0.607843137254902	0.5813953488372092	0.5434782608695652	0.6206896551724138	0.46875	0.627906976744186	0.6176470588235294	0.5961538461538461	0.5142857142857142
Health Plans' Estimated Costs of Implementing ICD-10 Diagnosis Coding	0.5800000000000001	0.6216216216216216	0.5428571428571429	0.6129032258064516	0.7333333333333334	0.48484848484848486	0.25806451612903225	0.5581395348837209	0.6551724137931034	0.5	0.5306122448979591	0.5581395348837209	0.5531914893617021	0.603448275862069	0.5714285714285714	0.6046511627906976	0.6285714285714286	0.5490196078431373	0.5277777777777778
Project Swipe IT Savings Model	0.5833333333333333	0.15384615384615385	0.5882352941176471	0.5185185185185186	0.7037037037037037	0.53125	0.6216216216216216	0.5952380952380952	0.6607142857142857	0.6097560975609756	0.62	0.5609756097560976	0.4883720930232558	0.6551724137931034	0.53125	0.6428571428571428	0.6363636363636364	0.5800000000000001	0.5714285714285714
Replacing ICD-9-CM with ICD-10-CM and ICD-10-PCS: Challenges, Estimated Costs and Potential Benefits	0.47058823529411764	0.5128205128205128	0.55	0.6111111111111112	0.75	0.41666666666666663	0.39473684210526316	0.5319148936170213	0.5344827586206897	0.4418604651162791	0.4807692307692307	0.5	0.4375	0.5084745762711864	0.575	0.5434782608695652	0.625	0.4716981132075472	0.5
The 2011 Medicare Trusteess Report: The Baby Boomer Tsunami	0.5510204081632653	0.6216216216216216	0.5428571428571429	0.6129032258064516	0.5925925925925926	0.5714285714285714	0.65	0.5909090909090908	0.6779661016949152	0.46153846153846156	0.56	0.4878048780487805	0.48888888888888893	0.5789473684210527	0.5294117647058824	0.46153846153846156	0.5	0.5490196078431373	0.5675675675675675
the complexities of physician supply and demand: Projections through 2025 Center for workforce Studies	0.48	0.4864864864864865	0.4444444444444444	0.5882352941176471	0.7352941176470589	0.625	0.525	0.4772727272727273	0.6612903225806452	0.45238095238095233	0.4901960784313726	0.5111111111111111	0.4130434782608695	0.5423728813559322	0.4285714285714286	0.41463414634146345	0.6052631578947368	0.4509803921568627	0.38888888888888884
the complexities of physician supply and demand: Projections through 2025 Center for workforce Studies	0.48	0.4864864864864865	0.4444444444444444	0.5882352941176471	0.7352941176470589	0.625	0.525	0.4772727272727273	0.6612903225806452	0.45238095238095233	0.4901960784313726	0.5111111111111111	0.4130434782608695	0.5423728813559322	0.4285714285714286	0.41463414634146345	0.6052631578947368	0.4509803921568627	0.38888888888888884
The Impact of Health Care Reform on the Future Supply and Demand for Physicians Updated Projections Through 2025	0.5094339622641509	0.4871794871794872	0.4473684210526315	0.6216216216216216	0.7222222222222222	0.55	0.44999999999999996	0.5106382978723405	0.5666666666666667	0.38095238095238093	0.43137254901960786	0.4782608695652174	0.34782608695652173	0.4655172413793104	0.5128205128205128	0.5217391304347826	0.6341463414634146	0.3921568627450981	0.475
The Impact of Implementing ICD-10 on Physician Practices and Clinical Laboratories: A Report to the ICD-10 Coalition	0.4285714285714286	0.575	0.41666666666666663	0.46875	0.6666666666666667	0.5263157894736843	0.46153846153846156	0.5217391304347826	0.6	0.3076923076923077	0.43999999999999995	0.41860465116279066	0.3913043478260869	0.5	0.4864864864864865	0.4651162790697675	0.5405405405405406	0.43137254901960786	0.525
The National Progress Report on Healthcare Efficiency, 2010	0.56	0.5555555555555556	0.5142857142857142	0.6666666666666667	0.6551724137931034	0.5833333333333333	0.4722222222222222	0.5	0.6379310344827587	0.475	0.47916666666666663	0.6	0.4666666666666667	0.5862068965517242	0.5833333333333333	0.5121951219512195	0.5151515151515151	0.4693877551020408	0.5405405405405406
Version 5010 and ID-10 Readiness Assessment: Conducted among Health Care Providers, payers, and Vendors for the Centers for Medicare & Medicaid Services	0.40384615384615385	0.5	0.5	0.5526315789473684	0.75	0.4878048780487805	0.4285714285714286	0.45833333333333337	0.5245901639344263	0.4	0.3846153846153846	0.3913043478260869	0.33333333333333337	0.47540983606557374	0.4878048780487805	0.46808510638297873	0.6046511627906976	0.37735849056603776	0.5227272727272727
2010 AFP Electronic Payments: Report of Survey Results	0.54	0.6052631578947368	0.5675675675675675	0.5483870967741935	0.6666666666666667	0.6666666666666667	0.6	0.4390243902439024	0.6666666666666667	0.368421052631579	0.4897959183673469	0.47619047619047616	0.40909090909090906	0.543859649122807	0.47058823529411764	0.4878048780487805	0.5294117647058824	0.48	0.5135135135135135
Aetna Fourth Quarter 2011 Earnings Call Webcast (transcript)	0.5961538461538461	0.675	0.5675675675675675	0.6363636363636364	0.7096774193548387	0.6666666666666667	0.6	0.2702702702702703	0.6440677966101696	0.368421052631579	0.5769230769230769	0.6086956521739131	0.5416666666666667	0.5932203389830508	0.47058823529411764	0.44999999999999996	0.3870967741935484	0.5384615384615384	0.4722222222222222
An Updated Survey of Health Care Claims Receipt and Processing Times	0.45833333333333337	0.5	0.5	0.5161290322580645	0.6774193548387097	0.5675675675675675	0.5384615384615384	0.4883720930232558	0.6271186440677966	0.42500000000000004	0.4693877551020408	0.45238095238095233	0.38636363636363635	0.5	0.34375	0.5348837209302326	0.5833333333333333	0.45999999999999996	0.4444444444444444
CMS Hints at Delay in ICD-10 Implementation Deadline	0.6122448979591837	0.5882352941176471	0.5882352941176471	0.6206896551724138	0.7037037037037037	0.4838709677419355	0.4545454545454546	0.6590909090909092	0.6607142857142857	0.5384615384615384	0.5918367346938775	0.4871794871794872	0.5869565217391304	0.6551724137931034	0.5757575757575757	0.6428571428571428	0.6363636363636364	0.607843137254902	0.5714285714285714
Edifecs poll, 2012: And February 28, 2012 Letter In Regards to ICD-10, Implementation Date Delay to Denise M. Buenning, Director	0.4629629629629629	0.6304347826086957	0.46341463414634143	0.5526315789473684	0.6486486486486487	0.5581395348837209	0.5333333333333333	0.45833333333333337	0.5	0.36363636363636365	0.41509433962264153	0.45833333333333337	0.33333333333333337	0.47540983606557374	0.5238095238095238	0.4347826086956522	0.5714285714285714	0.40740740740740744	0.5227272727272727
Examining the Cost of Implementing ICD-10	0.6122448979591837	0.6666666666666667	0.5454545454545454	0.6206896551724138	0.75	0.4838709677419355	0.3548387096774194	0.5609756097560976	0.6842105263157895	0.41666666666666663	0.5918367346938775	0.5609756097560976	0.6170212765957447	0.6551724137931034	0.5757575757575757	0.6097560975609756	0.59375	0.607843137254902	0.5294117647058824
ICD-10 Frequently Asked Questions	0.6470588235294117	0.7105263157894737	0.6	0.5862068965517242	0.7586206896551724	0.6285714285714286	0.631578947368421	0.6046511627906976	0.711864406779661	0.55	0.6538461538461539	0.5714285714285714	0.653061224489796	0.6833333333333333	0.5882352941176471	0.6511627906976745	0.6857142857142857	0.6415094339622642	0.5833333333333333
Letter to Kathleen G. Sebelius, Secretary, U.S. Department of Health and Human Services	0.5294117647058824	0.5897435897435898	0.38235294117647056	0.5757575757575757	0.6451612903225806	0.6153846153846154	0.5853658536585367	0.5333333333333333	0.6557377049180328	0.5454545454545454	0.5098039215686274	0.5	0.46808510638297873	0.5593220338983051	0.4117647058823529	0.5116279069767442	0.5555555555555556	0.5283018867924528	0.5
National Health Plan Identifier White Paper	0.6666666666666667	0.5806451612903225	0.5806451612903225	0.56	0.6521739130434783	0.65625	0.53125	0.625	0.7543859649122807	0.675	0.6458333333333333	0.6585365853658536	0.6444444444444444	0.7241379310344828	0.5666666666666667	0.675	0.6333333333333333	0.6599999999999999	0.6470588235294117
Oregon Provider and Payer Survey: Overhauling the US Healthcare Payment System	0.5106382978723405	0.5294117647058824	0.5294117647058824	0.5517241379310345	0.7241379310344828	0.6388888888888888	0.6052631578947368	0.5476190476190477	0.6724137931034483	0.5609756097560976	0.5510204081632653	0.5121951219512195	0.5111111111111111	0.5714285714285714	0.46875	0.525	0.5757575757575757	0.54	0.47058823529411764
Survey: ICD-10 Brief Progress	0.6326530612244898	0.6944444444444444	0.7297297297297297	0.6071428571428572	0.8275862068965517	0.5161290322580645	0.6486486486486487	0.6511627906976745	0.7457627118644068	0.5641025641025641	0.6122448979591837	0.5853658536585367	0.6382978723404256	0.6491228070175439	0.6857142857142857	0.6976744186046512	0.8108108108108107	0.6274509803921569	0.6388888888888888
Survey: Industry Reaction to Potential Delay of ICD-10 - A Delay will be Costly, but Manageable Unless it's more than a Year	0.4339622641509434	0.5348837209302326	0.5348837209302326	0.5526315789473684	0.75	0.4878048780487805	0.5333333333333333	0.4897959183673469	0.5483870967741935	0.4	0.4444444444444444	0.42553191489361697	0.36734693877551017	0.47540983606557374	0.4878048780487805	0.46808510638297873	0.6046511627906976	0.40740740740740744	0.4883720930232558
The 2011 Medicare Trustees Report: The Baby Boomer Tsunami	0.5510204081632653	0.6216216216216216	0.5428571428571429	0.6129032258064516	0.5925925925925926	0.5714285714285714	0.65	0.5909090909090908	0.6779661016949152	0.46153846153846156	0.56	0.4878048780487805	0.48888888888888893	0.5789473684210527	0.5294117647058824	0.46153846153846156	0.5	0.5490196078431373	0.5675675675675675
WellPoint Fourth Quarter 2011 Results Conference Call (transcript)	0.6415094339622642	0.6666666666666667	0.5945945945945945	0.625	0.7419354838709677	0.6578947368421053	0.5897435897435898	0.3421052631578947	0.6833333333333333	0.4358974358974359	0.6226415094339622	0.6	0.5625	0.6101694915254237	0.4545454545454546	0.5121951219512195	0.46875	0.5576923076923077	0.5
Comments from VHA Health Care as Healthe Care Provider	0.625	0.6060606060606061	0.5625	0.41666666666666663	0.7307692307692308	0.59375	0.5151515151515151	0.5384615384615384	0.6727272727272727	0.625	0.6041666666666667	0.575	0.5681818181818181	0.6666666666666667	0.3928571428571429	0.625	0.5666666666666667	0.62	0.5454545454545454
Testimony before the NCVHS Subcommittee on Standards on the National Health Plan Identifier on behalf of America�s Health Insurance Plans and the Blue Cross and Blue Shield Association	1.0	1.0	0.5526315789473684	0.53125	0.7272727272727273	1.0	1.0	0.5333333333333333	1.0	1.0	0.48	1.0	0.46808510638297873	1.0	0.4571428571428572	1.0	1.0	1.0	0.5
Ambulatory Medical Care Utilization Estimates for 2007	0.6415094339622642	0.6666666666666667	0.5555555555555556	0.5333333333333333	0.6551724137931034	0.6578947368421053	0.625	0.5348837209302326	0.6833333333333333	0.5121951219512195	0.54	0.46341463414634143	0.5319148936170213	0.5862068965517242	0.4545454545454546	0.5121951219512195	0.5588235294117647	0.5849056603773585	0.4571428571428572
What Does it cost physician practices to interact with health insurance plans?	0.6458333333333333	0.59375	0.5	0.6296296296296297	0.6666666666666667	0.7058823529411764	0.6666666666666667	0.6341463414634146	0.7586206896551724	0.5789473684210527	0.6799999999999999	0.6	0.6521739130434783	0.7068965517241379	0.4285714285714286	0.5789473684210527	0.5517241379310345	0.6666666666666667	0.53125
What does it cost physician practices to interact with health insurance plans?	0.6170212765957447	0.5483870967741935	0.5	0.5769230769230769	0.6086956521739131	0.7058823529411764	0.6666666666666667	0.6	0.7586206896551724	0.6153846153846154	0.6799999999999999	0.6	0.6222222222222222	0.7068965517241379	0.37037037037037035	0.5405405405405406	0.5517241379310345	0.6666666666666667	0.4838709677419355
