	State of the Vending Industry Report.” http://www.vendingmarketwatch.com/content/reports/ accessed,	National Automatic Merchandising Association. “Comments of: The National Automatic Merchandising Association.” Docket No.	Business Administration. “Table of Small Business Size Standards Matched to North American Industry Classification System Codes,” Effective	Operators Find Today&apos;s Patrons Favor &apos;Better-For-You&apos; Food Selections In	Is the Obesity Epidemic a Public Health Problem? A Decade	Strategies for Promoting Healthier Food Choices.” American Economic Review: Papers and Proceedings,	Doing it Now or	Will all Americans Become Overweight or Obese? Estimating the Progression and	Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States,	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US.” Obesity,	Social Network and Weight Misperception Among Adolescents”. Southern Economic Journal, Forthcoming,	Size Matters: The Influence of Adolescent’s Weight and	Body Weight, Self-Perception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity: Payer-	The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination,”	The Long-Run Growth in Obesity as a Function of Technological Change.”	An Economic Analysis of Adult Obesity: Results from the Behavioral Risk Factor Surveillance System.”	A Pricing Strategy to Promote Low-Fat Snack Choices through Vending Machines”.	Department of Agriculture Economic Research Service. “Table 15: Sales of meals and snacks away from home by type of outlet.” Food CPI and Expenditures: Food Expenditure Tables. http://www.ers.usda.gov/Briefing/CPIFoodAndExpenditures/Data/ Accessed 10/8/2010.	Testing Laboratory. “Quality Nutrition Analysis.” http://www.rlfoodtestinglaboratory.com/services.asp, accessed	Evaluation of Recordkeeping Costs for Food Manufacturers, Final Report.” Prepared for Andy Estrin and Cristina McLaughlin of FDA&apos;s Center for Food Safety and Applied Nutrition. Prepared by Aylin Sertkaya, Ayesha Berlind and Seda Erdem. Contract No. 223-01-2461, Task Order Number 5,	City’s Soda Cost Millions Monthly: Tax on Soft Drinks	Taxing Food: Implications for Public	Ounces of Prevention — The Public Policy Case for Taxes on Sugared Beverages.” New England	The Effects of Soft Drink Taxes on Child and Adolescent Consumption and Weight Outcomes.”	Schoolchildren’s Consumption of Competitive Foods and Beverages, Excluding à la	Choose Beverages and Foods to Moderate your Intake of Sugars: Measurement Requires Quantification.	Measuring the Health of the U.S.	Obesity-Related Quality-Adusted Life Years Lost in the U.S. from 1993-2008,”	Trends in Quality-Adjusted Life-Years Lost Contributed by Smoking and Obesity,”	Statistical Abstract of the United States:	Separating what We Eat from where:	"Calorie Labeling And Food Choices: A First Look At The Effects On Low-Income People In New York City."""	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information.”	Do Nutrition Labels Improve Dietary Outcomes?	Mandatory Menu Labeling in One Fast-Food Chain in King County,	Child and Adolescent Fast-Food Choice and the Influence of Calorie Labeling:	"Nutrition Menu Labeling May Lead to Lower-Calorie Restaurant Meal Choices for Children."" Pediatrics,"	Modeling weight-loss maintenance to help prevent body weight regain,”	School Vending Machine Use and Fast-Food Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth.”
Quality Nutrition Analysis	0.6599999999999999	0.54	0.54	0.62	0.62	0.62	0.6699999999999999	0.62	0.5800000000000001	0.62	0.5800000000000001	0.7	0.62	0.71	0.62	0.6599999999999999	0.5800000000000001	0.62	0.6599999999999999	0.6599999999999999	0.0	0.47	0.5800000000000001	0.6599999999999999	0.7	0.6599999999999999	0.6599999999999999	0.62	0.7	0.5	0.5800000000000001	0.62	0.7	0.6599999999999999	0.62	0.5	0.5800000000000001	0.6599999999999999	0.47	0.6599999999999999	0.6599999999999999
Table of Small Business Size Standards Matched to North American Industry Classification System Codes	0.65	0.6	0.0	0.6599999999999999	0.62	0.61	0.6	0.62	0.62	0.5800000000000001	0.65	0.6	0.64	0.5900000000000001	0.64	0.5800000000000001	0.6	0.62	0.62	0.5900000000000001	0.6599999999999999	0.62	0.5900000000000001	0.62	0.6599999999999999	0.61	0.69	0.61	0.5700000000000001	0.65	0.61	0.5800000000000001	0.62	0.6599999999999999	0.63	0.63	0.6	0.62	0.64	0.61	0.62
The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination	0.6799999999999999	0.61	0.5800000000000001	0.6699999999999999	0.51	0.61	0.6	0.65	0.62	0.52	0.64	0.63	0.62	0.25	0.64	0.0	0.39	0.61	0.6699999999999999	0.6	0.6699999999999999	0.61	0.6699999999999999	0.64	0.5900000000000001	0.5900000000000001	0.64	0.62	0.63	0.7	0.69	0.65	0.62	0.64	0.5900000000000001	0.6699999999999999	0.65	0.61	0.64	0.61	0.64
Strategies for Promoting Healthier Food Choices	0.6	0.6	0.62	0.62	0.6	0.0	0.54	0.5800000000000001	0.6	0.5800000000000001	0.6	0.64	0.62	0.6699999999999999	0.6599999999999999	0.64	0.64	0.6	0.41000000000000003	0.62	0.64	0.5800000000000001	0.6599999999999999	0.64	0.6	0.5800000000000001	0.56	0.6	0.5	0.6	0.62	0.6	0.56	0.56	0.5800000000000001	0.65	0.5800000000000001	0.6	0.52	0.64	0.6
Taxing Food: Implications for Public Health Nutrition	0.7	0.5700000000000001	0.61	0.63	0.55	0.61	0.6	0.63	0.6799999999999999	0.63	0.5900000000000001	0.6699999999999999	0.5800000000000001	0.55	0.6599999999999999	0.61	0.65	0.61	0.65	0.63	0.53	0.61	0.62	0.0	0.65	0.61	0.63	0.61	0.6	0.6799999999999999	0.65	0.6699999999999999	0.65	0.63	0.61	0.6	0.65	0.61	0.63	0.65	0.65
Obesity-Related Quality-Adjusted Life Years Lost in the U.S. from 1993-2008	0.71	0.6799999999999999	0.64	0.71	0.64	0.7	0.6	0.6599999999999999	0.6699999999999999	0.62	0.7	0.65	0.7	0.63	0.7	0.7	0.69	0.6	0.6799999999999999	0.6599999999999999	0.6699999999999999	0.64	0.63	0.7	0.6699999999999999	0.71	0.73	0.6599999999999999	0.47	0.020000000000000018	0.43000000000000005	0.65	0.53	0.64	0.63	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.64	0.7	0.63
Size Matters: The Influence of Adolescent�s Weight and Height on Dating and Sex	0.0	0.0	0.0	0.6599999999999999	0.62	0.0	0.54	0.6	0.55	0.0	0.0	0.0	0.5800000000000001	0.5	0.6599999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6699999999999999	0.0	0.0	0.0	0.62	0.6	0.0	0.0	0.62	0.62	0.65	0.0	0.69	0.6	0.5800000000000001	0.64	0.0	0.0
The Economics of Childhood Obesity	0.6799999999999999	0.5900000000000001	0.62	0.6799999999999999	0.62	0.5900000000000001	0.6	0.5900000000000001	0.5	0.5	0.5	0.56	0.71	0.5	0.56	0.53	0.48	0.42000000000000004	0.62	0.56	0.71	0.62	0.6799999999999999	0.62	0.56	0.53	0.56	0.62	0.72	0.71	0.56	0.62	0.73	0.5900000000000001	0.65	0.6799999999999999	0.65	0.53	0.48	0.5900000000000001	0.62
The Impact of Obesity on Wages	0.64	0.6	0.6	0.6699999999999999	0.5700000000000001	0.64	0.54	0.54	0.54	0.30000000000000004	0.6	0.54	0.64	0.0	0.5	0.33999999999999997	0.54	0.54	0.6	0.6	0.64	0.64	0.6699999999999999	0.6	0.5700000000000001	0.47	0.54	0.6	0.64	0.64	0.6	0.5	0.64	0.6	0.6	0.54	0.64	0.64	0.64	0.5700000000000001	0.6
Doing it Now or Later	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.6699999999999999	0.53	0.0	0.62	0.62	0.62	0.53	0.6699999999999999	0.6699999999999999	0.72	0.62	0.6699999999999999	0.62	0.6699999999999999	0.53	0.62	0.5800000000000001	0.48	0.62	0.5800000000000001	0.5800000000000001	0.62	0.62	0.53	0.53	0.62	0.6699999999999999	0.62	0.53	0.53	0.5800000000000001	0.53	0.5800000000000001	0.53	0.5800000000000001	0.53	0.62
The Economics of Immediate Gratification	0.6799999999999999	0.55	0.5	0.65	0.63	0.53	0.6	0.5800000000000001	0.65	0.55	0.5	0.6	0.65	0.5	0.6799999999999999	0.53	0.6	0.53	0.5800000000000001	0.55	0.63	0.6	0.6799999999999999	0.62	0.5800000000000001	0.55	0.55	0.55	0.69	0.6799999999999999	0.65	0.63	0.71	0.63	0.63	0.6799999999999999	0.6799999999999999	0.63	0.5800000000000001	0.63	0.65
Mandatory Menu Labeling in One Fast-Food Chain in King County, Washington	0.6599999999999999	0.62	0.61	0.69	0.69	0.62	0.54	0.65	0.64	0.5700000000000001	0.62	0.63	0.62	0.63	0.64	0.64	0.61	0.6799999999999999	0.64	0.64	0.61	0.5900000000000001	0.63	0.5900000000000001	0.65	0.62	0.64	0.62	0.6	0.7	0.64	0.7	0.5900000000000001	0.53	0.5700000000000001	0.6699999999999999	0.0	0.55	0.54	0.6	0.55
The Economics of Obesity	0.63	0.5900000000000001	0.63	0.6699999999999999	0.5900000000000001	0.5	0.6	0.55	0.55	0.30000000000000004	0.45999999999999996	0.5	0.6699999999999999	0.30000000000000004	0.5	0.33999999999999997	0.55	0.42000000000000004	0.5900000000000001	0.45999999999999996	0.71	0.63	0.63	0.5900000000000001	0.55	0.5	0.5900000000000001	0.5900000000000001	0.6699999999999999	0.63	0.5	0.63	0.6599999999999999	0.5900000000000001	0.63	0.6699999999999999	0.6699999999999999	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.6699999999999999
Separating what We Eat from where: Measuring the Effect of Food Away from Home on Diet	0.6599999999999999	0.63	0.61	0.64	0.6	0.6	0.54	0.62	0.64	0.64	0.64	0.5800000000000001	0.6	0.55	0.6599999999999999	0.6799999999999999	0.65	0.64	0.62	0.5700000000000001	0.6699999999999999	0.6	0.6699999999999999	0.62	0.6699999999999999	0.6599999999999999	0.6599999999999999	0.61	0.35	0.64	0.6599999999999999	0.6	0.0	0.56	0.6	0.6	0.5900000000000001	0.5800000000000001	0.5700000000000001	0.61	0.61
Social Dynamics of Obesity	0.7	0.62	0.6599999999999999	0.7	0.6599999999999999	0.62	0.6	0.54	0.54	0.54	0.54	0.6599999999999999	0.6599999999999999	0.38	0.5	0.54	0.54	0.39	0.5800000000000001	0.5800000000000001	0.7	0.6599999999999999	0.62	0.61	0.62	0.5800000000000001	0.5800000000000001	0.62	0.7	0.6599999999999999	0.5	0.5	0.7	0.62	0.62	0.62	0.6599999999999999	0.62	0.62	0.62	0.6599999999999999
School Vending Machine Use and Fast-Food Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth	0.64	0.63	0.63	0.64	0.64	0.62	0.6	0.62	0.63	0.63	0.64	0.63	0.62	0.63	0.62	0.65	0.65	0.62	0.65	0.64	0.7	0.61	0.6699999999999999	0.64	0.5700000000000001	0.63	0.61	0.53	0.5700000000000001	0.65	0.6	0.55	0.5900000000000001	0.6	0.5	0.63	0.54	0.56	0.56	0.5800000000000001	0.0
Measuring the Health of the U.S. Population	0.6599999999999999	0.56	0.61	0.6799999999999999	0.5900000000000001	0.54	0.6	0.5900000000000001	0.63	0.61	0.61	0.63	0.61	0.5	0.63	0.63	0.61	0.5900000000000001	0.5900000000000001	0.61	0.61	0.61	0.61	0.62	0.63	0.61	0.6599999999999999	0.5900000000000001	0.0	0.56	0.63	0.55	0.5	0.63	0.56	0.6599999999999999	0.5900000000000001	0.5900000000000001	0.52	0.5900000000000001	0.5900000000000001
Why Have Americans Become More Obese	0.6699999999999999	0.62	0.62	0.6699999999999999	0.64	0.5	0.6	0.31000000000000005	0.5900000000000001	0.62	0.62	0.62	0.64	0.5900000000000001	0.5900000000000001	0.64	0.62	0.62	0.6699999999999999	0.62	0.64	0.5900000000000001	0.7	0.62	0.56	0.62	0.6699999999999999	0.5900000000000001	0.6599999999999999	0.6699999999999999	0.64	0.64	0.6799999999999999	0.5900000000000001	0.62	0.62	0.6699999999999999	0.5900000000000001	0.5900000000000001	0.62	0.64
Will all Americans Become Overweight or Obese? Estimating the Progression and Cost of the US Obesity Epidemic	0.69	0.62	0.6	0.6599999999999999	0.5800000000000001	0.64	0.54	0.0	0.5	0.56	0.62	0.63	0.6	0.45999999999999996	0.5900000000000001	0.61	0.62	0.6	0.61	0.61	0.7	0.6	0.65	0.64	0.64	0.61	0.64	0.63	0.47	0.62	0.63	0.55	0.56	0.64	0.61	0.6	0.6	0.62	0.61	0.5700000000000001	0.65
Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information	0.63	0.61	0.6	0.64	0.65	0.64	0.54	0.6	0.61	0.61	0.62	0.62	0.56	0.5900000000000001	0.62	0.6	0.62	0.5800000000000001	0.61	0.63	0.69	0.55	0.63	0.64	0.65	0.5900000000000001	0.64	0.5900000000000001	0.5700000000000001	0.64	0.63	0.6	0.5900000000000001	0.64	0.0	0.63	0.55	0.52	0.56	0.5700000000000001	0.5
An Economic Analysis of Adult Obesity: Results from the Behavioral Risk Factor Surveillance System	0.6599999999999999	0.61	0.61	0.6699999999999999	0.5800000000000001	0.65	0.6	0.63	0.61	0.55	0.64	0.63	0.64	0.5	0.55	0.62	0.6	0.0	0.62	0.61	0.63	0.63	0.61	0.62	0.64	0.63	0.64	0.6699999999999999	0.54	0.6	0.64	0.5800000000000001	0.56	0.63	0.5800000000000001	0.6	0.6699999999999999	0.62	0.62	0.61	0.62
Choose Beverages and Foods to Moderate your Intake of Sugars: Measurement Requires Quantification	0.6799999999999999	0.6	0.5900000000000001	0.6	0.64	0.63	0.54	0.63	0.63	0.61	0.62	0.5800000000000001	0.62	0.63	0.6599999999999999	0.62	0.6599999999999999	0.6599999999999999	0.62	0.6	0.71	0.6	0.61	0.5900000000000001	0.62	0.65	0.65	0.0	0.5700000000000001	0.6599999999999999	0.64	0.62	0.5900000000000001	0.62	0.5900000000000001	0.63	0.63	0.5800000000000001	0.5900000000000001	0.6	0.52
Modeling weight-loss maintenance to help prevent body weight regain	0.6599999999999999	0.62	0.6	0.6799999999999999	0.65	0.62	0.54	0.5700000000000001	0.6	0.62	0.6	0.54	0.5800000000000001	0.5900000000000001	0.64	0.6	0.64	0.62	0.5700000000000001	0.6	0.69	0.62	0.65	0.64	0.64	0.6	0.63	0.5900000000000001	0.5700000000000001	0.69	0.62	0.6	0.5900000000000001	0.65	0.56	0.63	0.62	0.6	0.5700000000000001	0.0	0.6
Child and Adolescent Fast-Food Choice and the Influence of Calorie Labeling: A Natural Experiment	0.71	0.61	0.63	0.6799999999999999	0.62	0.6	0.6	0.63	0.64	0.62	0.62	0.47	0.6	0.5900000000000001	0.62	0.5900000000000001	0.63	0.63	0.65	0.5800000000000001	0.71	0.5900000000000001	0.63	0.5900000000000001	0.63	0.61	0.5900000000000001	0.6	0.54	0.6699999999999999	0.6	0.6	0.5900000000000001	0.5700000000000001	0.5	0.63	0.55	0.0	0.62	0.5700000000000001	0.5700000000000001
Calorie Labeling And Food Choices: A First Look At The Effects On Low-Income People In New York City	0.6799999999999999	0.63	0.65	0.6699999999999999	0.64	0.5900000000000001	0.47	0.65	0.6699999999999999	0.61	0.63	0.62	0.64	0.55	0.6799999999999999	0.63	0.65	0.63	0.65	0.63	0.7	0.61	0.63	0.5900000000000001	0.65	0.6699999999999999	0.6599999999999999	0.63	0.63	0.65	0.6599999999999999	0.62	0.62	0.0	0.64	0.63	0.52	0.56	0.6	0.64	0.5900000000000001
Annual Medical Spending Attributable to Obesity: Payer- and Service-Specific Estimates	0.6699999999999999	0.5900000000000001	0.63	0.7	0.62	0.6	0.6	0.62	0.5900000000000001	0.61	0.6799999999999999	0.63	0.6599999999999999	0.42000000000000004	0.0	0.61	0.6	0.5700000000000001	0.63	0.63	0.64	0.62	0.63	0.64	0.65	0.6599999999999999	0.65	0.64	0.63	0.7	0.63	0.5800000000000001	0.62	0.6799999999999999	0.63	0.6	0.63	0.64	0.6	0.63	0.62
Nutrition Menu Labeling May Lead to Lower-Calorie Restaurant Meal Choices for Children	0.6599999999999999	0.61	0.6	0.64	0.64	0.61	0.6	0.63	0.6599999999999999	0.63	0.63	0.65	0.6	0.63	0.5900000000000001	0.65	0.62	0.6	0.5700000000000001	0.63	0.61	0.54	0.63	0.62	0.63	0.69	0.6599999999999999	0.6	0.54	0.65	0.64	0.65	0.53	0.5900000000000001	0.54	0.49	0.5	0.62	0.0	0.6	0.54
The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US	0.6599999999999999	0.62	0.5800000000000001	0.64	0.5700000000000001	0.5900000000000001	0.6	0.63	0.56	0.0	0.63	0.63	0.62	0.20999999999999996	0.62	0.51	0.5800000000000001	0.53	0.62	0.5700000000000001	0.6699999999999999	0.5700000000000001	0.61	0.62	0.63	0.54	0.63	0.61	0.55	0.62	0.6599999999999999	0.55	0.65	0.64	0.5900000000000001	0.63	0.5700000000000001	0.61	0.62	0.63	0.62
Schoolchildren�s Consumption of Competitive Foods and Beverages, Excluding � la Carte	0.0	0.0	0.0	0.64	0.69	0.0	0.54	0.64	0.62	0.0	0.0	0.0	0.6599999999999999	0.5	0.6599999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.64	0.6	0.0	0.0	0.65	0.65	0.6599999999999999	0.0	0.65	0.62	0.5800000000000001	0.6599999999999999	0.0	0.0
A Pricing Strategy to Promote Low-Fat Snack Choices through Vending Machines	0.65	0.5700000000000001	0.62	0.62	0.65	0.53	0.6	0.5900000000000001	0.6599999999999999	0.61	0.62	0.63	0.64	0.63	0.6	0.6799999999999999	0.6599999999999999	0.62	0.0	0.62	0.64	0.61	0.65	0.6699999999999999	0.64	0.62	0.64	0.61	0.5700000000000001	0.7	0.61	0.6	0.53	0.64	0.6	0.65	0.63	0.64	0.56	0.5700000000000001	0.64
Social Network and Weight Misperception Among Adolescents	0.6699999999999999	0.5700000000000001	0.6	0.65	0.6599999999999999	0.62	0.54	0.5800000000000001	0.55	0.5800000000000001	0.0	0.55	0.49	0.63	0.6799999999999999	0.62	0.62	0.65	0.65	0.65	0.64	0.5700000000000001	0.65	0.62	0.65	0.5700000000000001	0.64	0.64	0.6599999999999999	0.72	0.6699999999999999	0.65	0.62	0.64	0.6	0.65	0.6	0.64	0.62	0.62	0.6
Body Weight, Self-Perception and Mental Health among Adolescents	0.65	0.6	0.65	0.6599999999999999	0.5700000000000001	0.63	0.6699999999999999	0.63	0.5	0.61	0.43999999999999995	0.56	0.0	0.63	0.6799999999999999	0.6	0.65	0.65	0.65	0.6	0.6599999999999999	0.5800000000000001	0.61	0.62	0.65	0.54	0.6599999999999999	0.61	0.54	0.72	0.6599999999999999	0.65	0.56	0.6599999999999999	0.61	0.63	0.62	0.65	0.61	0.61	0.6
Do Nutrition Labels Improve Dietary Outcomes	0.6599999999999999	0.55	0.5700000000000001	0.64	0.61	0.62	0.54	0.6	0.6	0.62	0.64	0.71	0.64	0.55	0.64	0.6599999999999999	0.62	0.6	0.64	0.64	0.53	0.53	0.6699999999999999	0.64	0.64	0.5	0.64	0.62	0.63	0.6599999999999999	0.62	0.5700000000000001	0.62	0.62	0.64	0.0	0.6599999999999999	0.69	0.48	0.62	0.64
Bias, Discrimination, and Obesity	0.6699999999999999	0.5800000000000001	0.52	0.64	0.6699999999999999	0.61	0.6699999999999999	0.5800000000000001	0.45999999999999996	0.52	0.5800000000000001	0.7	0.55	0.47	0.55	0.55	0.61	0.52	0.64	0.64	0.61	0.5800000000000001	0.64	0.61	0.64	0.52	0.5800000000000001	0.64	0.69	0.7	0.49	0.61	0.6699999999999999	0.6699999999999999	0.5800000000000001	0.5800000000000001	0.61	0.64	0.61	0.61	0.61
The Effects of Soft Drink Taxes on Child and Adolescent Consumption and Weight Outcomes	0.6599999999999999	0.61	0.61	0.64	0.64	0.5900000000000001	0.54	0.63	0.6	0.53	0.5700000000000001	0.52	0.56	0.45999999999999996	0.64	0.5900000000000001	0.6	0.64	0.63	0.6	0.6799999999999999	0.6	0.53	0.62	0.64	0.0	0.63	0.64	0.63	0.71	0.6	0.64	0.5900000000000001	0.6599999999999999	0.5900000000000001	0.51	0.6	0.54	0.6599999999999999	0.61	0.63
