	Department of Energy, Energy Information Administration, Transportation Sector Module of the National Energy Modeling System: Model Documentation	Technical Support Document: Fuel Economy Labeling of Motor Vehicle Revisions to Improve Calculation of Fuel Economy Estimates,	The survival rates were calculated from R.L. Polk, National Vehicle Population Profile, 1977-2003; see NHTSA,	Vehicle Survivability and Travel Mileage Schedules,” Office of Regulatory Analysis and Evaluation,	Oil Imports: An Assessment of Benefits and Costs,	"Estimating the Energy Security Benefits of Reduced U.S. Oil Imports,"" Oak Ridge National Laboratory, ORNL/TM-2007/028, Revised July 23,"	Contribution of Working Group II to the Fourth Assessment Report of the IPCC, 17. Available at http://www.ipcc-wg2.org (last accessed 4,	Description of VMT Forecasting Procedure for ‘Car Talk’ Base line Forecasts,” manuscript, Volpe National Transportation Systems Center, U.S. Department of Transportation,	Environmental Protection Agency, MOBILE Motor Vehicle Emission Factor Model, version 6.2,	Uncertainty: A Guide to Dealing with Uncertainty in Quantitative Risk and Policy Analysis”,	CAFE Compliance and Effects Modeling System Documentation,
Transportation Sector Module of the National Energy Modeling System: Model Documentation 2007	0.42758620689655175	0.7380952380952381	0.7798165137614679	0.8673469387755102	0.7956989247311828	0.7851851851851852	0.8088235294117647	0.7235294117647059	0.7526881720430108	0.8279569892473119	0.5698924731182796
U.S. Automotive Industry Employment Trends	0.8551724137931035	0.8333333333333334	0.8532110091743119	0.8367346938775511	0.8163265306122449	0.8666666666666667	0.8602941176470589	0.8529411764705882	0.8089887640449438	0.8131868131868132	0.7586206896551724
Vehicle Survivability and Travel Mileage Schedules	0.8137931034482758	0.7936507936507936	0.7981651376146789	0.4897959183673469	0.92	0.8296296296296296	0.8602941176470589	0.8470588235294118	0.797752808988764	0.7692307692307693	0.8448275862068966
Vehicle Survivability and Travel Mileage Schedules	0.8137931034482758	0.7936507936507936	0.7981651376146789	0.4897959183673469	0.92	0.8296296296296296	0.8602941176470589	0.8470588235294118	0.797752808988764	0.7692307692307693	0.8448275862068966
Vehicle Weight, Fatality Risk and Crash Compatibility of Model Year 1991-99 Passenger Cars and Light Trucks	0.7655172413793103	0.8015873015873016	0.8623853211009175	0.7383177570093458	0.7663551401869159	0.8222222222222222	0.8308823529411765	0.7647058823529411	0.8504672897196262	0.8037383177570093	0.8037383177570093
Staff Report: Initial Statement of Reasons	0.8068965517241379	0.8015873015873016	0.8348623853211009	0.7959183673469388	0.7142857142857143	0.8222222222222222	0.8382352941176471	0.8117647058823529	0.7865168539325843	0.7582417582417582	0.7758620689655172
Peer Review Report Summary: Estimating the Energy Security Benefits of Reduced U.S. Oil Imports	0.7517241379310344	0.7619047619047619	0.8256880733944955	0.826530612244898	0.7263157894736842	0.7111111111111111	0.8088235294117647	0.7647058823529411	0.8736842105263158	0.8105263157894737	0.8
Reducing Greenhouse Gas Emissions from Light-Duty Motor Vehicles	0.7931034482758621	0.7698412698412699	0.7889908256880734	0.8163265306122449	0.796875	0.7925925925925926	0.8014705882352942	0.8117647058823529	0.797752808988764	0.7912087912087912	0.828125
Variable Costs of Fuel Economy Technologies	0.8344827586206897	0.7777777777777778	0.8073394495412844	0.7959183673469388	0.8367346938775511	0.837037037037037	0.8529411764705882	0.8529411764705882	0.797752808988764	0.8351648351648352	0.7931034482758621
Does Britain or the U.S. Have the Right Gasoline Tax?	0.7862068965517242	0.7936507936507936	0.7889908256880734	0.7551020408163265	0.8867924528301887	0.7925925925925926	0.8014705882352942	0.8235294117647058	0.7640449438202247	0.7582417582417582	0.8275862068965517
How to make a car lighter and safer	0.8413793103448276	0.8253968253968254	0.8348623853211009	0.7959183673469388	0.7755102040816326	0.8740740740740741	0.8676470588235294	0.8529411764705882	0.8089887640449438	0.7912087912087912	0.7241379310344828
National Household Transportation Survey	0.8	0.8095238095238095	0.8256880733944955	0.826530612244898	0.8571428571428571	0.8222222222222222	0.8455882352941176	0.8176470588235294	0.797752808988764	0.8021978021978022	0.8448275862068966
Note on Strategic Cost Dynamics	0.8482758620689655	0.8333333333333334	0.8532110091743119	0.8367346938775511	0.7959183673469388	0.8666666666666667	0.875	0.8764705882352941	0.8202247191011236	0.8021978021978022	0.7241379310344828
Regulatory Analysis 	0.903448275862069	0.8809523809523809	0.8807339449541285	0.7959183673469388	0.8163265306122449	0.8962962962962963	0.9044117647058824	0.9117647058823529	0.8651685393258427	0.8241758241758241	0.8620689655172413
The Economics of Energy Security: Theory, Evidence, Policy	0.7862068965517242	0.7857142857142857	0.8073394495412844	0.7959183673469388	0.8275862068965517	0.7851851851851852	0.8235294117647058	0.8294117647058824	0.7865168539325843	0.7582417582417582	0.8448275862068966
The Value of Saving Travel Time: Departmental Guidance for Conducting Economic Evaluations	0.7448275862068966	0.7142857142857143	0.7889908256880734	0.6632653061224489	0.8	0.8074074074074075	0.7794117647058824	0.7647058823529411	0.8777777777777778	0.7912087912087912	0.7666666666666667
Toward Cost Buydown via Learning-by-Doing for Environmental Energy Technologies	0.7517241379310344	0.746031746031746	0.8440366972477065	0.8367346938775511	0.810126582278481	0.8222222222222222	0.8308823529411765	0.8	0.8089887640449438	0.8021978021978022	0.810126582278481
Unpublished analysis of R.L. Polk vehicle registration data	0.8137931034482758	0.7619047619047619	0.7155963302752294	0.7551020408163265	0.8305084745762712	0.8074074074074075	0.8235294117647058	0.8176470588235294	0.7415730337078652	0.8021978021978022	0.8305084745762712
Vehicle Use and Fuel Economy: How Big is the Rebound Effect	0.8137931034482758	0.7063492063492064	0.7889908256880734	0.7244897959183674	0.7796610169491526	0.8148148148148148	0.8529411764705882	0.8235294117647058	0.8089887640449438	0.7802197802197802	0.8305084745762712
Joint Press Release of the Council of Economic Advisors, the Department of the Treasury, and the Office of Management and Budget	0.8	0.8359375	0.8046875	0.796875	0.7734375	0.8296296296296296	0.7867647058823529	0.7647058823529411	0.796875	0.78125	0.8203125
National Vehicle Population Profile, 1977-2003	0.8344827586206897	0.7857142857142857	0.5779816513761468	0.8061224489795918	0.8775510204081632	0.8148148148148148	0.8455882352941176	0.8411764705882353	0.7752808988764045	0.8021978021978022	0.8620689655172413
Transportation Energy Data Book: Edition 26	0.8068965517241379	0.8174603174603174	0.8073394495412844	0.8469387755102041	0.7755102040816326	0.8444444444444444	0.8602941176470589	0.8529411764705882	0.7303370786516854	0.7802197802197802	0.7931034482758621
49 USC 32902(f)	0.9724137931034482	0.9761904761904762	0.963302752293578	0.9591836734693877	0.9387755102040817	0.9481481481481482	0.9632352941176471	0.9705882352941176	0.9775280898876404	0.967032967032967	0.9482758620689655
71 Fed Reg 17566, 17669-70	0.9448275862068966	0.9365079365079365	0.8990825688073395	0.9081632653061225	0.8979591836734694	0.9111111111111111	0.9117647058823529	0.9470588235294117	0.9213483146067416	0.9230769230769231	0.8620689655172413
71 FR 17596-97	0.9862068965517241	0.9682539682539683	0.9541284403669725	0.9693877551020408	0.9591836734693877	0.9629629629629629	0.9485294117647058	0.9823529411764705	0.9550561797752809	0.967032967032967	0.9655172413793104
71 FR 77871	0.9862068965517241	0.9682539682539683	0.9541284403669725	0.9693877551020408	0.9591836734693877	0.9629629629629629	0.9632352941176471	0.9823529411764705	0.9662921348314607	0.967032967032967	0.9655172413793104
71 FR 77871 	0.9793103448275862	0.9603174603174603	0.944954128440367	0.9591836734693877	0.9387755102040817	0.9555555555555556	0.9558823529411765	0.9764705882352941	0.9550561797752809	0.9560439560439561	0.9482758620689655
71 FR 77872	0.9862068965517241	0.9682539682539683	0.9541284403669725	0.9693877551020408	0.9591836734693877	0.9555555555555556	0.9558823529411765	0.9823529411764705	0.9550561797752809	0.967032967032967	0.9655172413793104
72 FR 23899	0.9862068965517241	0.9682539682539683	0.9541284403669725	0.9693877551020408	0.9591836734693877	0.9629629629629629	0.9632352941176471	0.9823529411764705	0.9662921348314607	0.967032967032967	0.9655172413793104
Federal Register Vol. 72, #83	0.8896551724137931	0.873015873015873	0.8440366972477065	0.8469387755102041	0.8571428571428571	0.8666666666666667	0.9117647058823529	0.8823529411764706	0.8314606741573034	0.8461538461538461	0.7931034482758621
Fuel Economy Labeling of Motor Vehicles: Revisions to Improve Calculations of Fuel Economy Estimates 	0.7586206896551724	0.25396825396825395	0.7889908256880734	0.801980198019802	0.7821782178217822	0.7925925925925926	0.7426470588235294	0.7588235294117647	0.801980198019802	0.8118811881188119	0.7722772277227723
Corporate Average Fuel Economy and CAFE Reform for MY 2008-2011 Light Trucks	0.8137931034482758	0.753968253968254	0.7798165137614679	0.826530612244898	0.8421052631578947	0.8	0.8161764705882353	0.8176470588235294	0.8539325842696629	0.8461538461538461	0.8289473684210527
Oil Prices, Energy Security, and Import Policy 	0.8068965517241379	0.7857142857142857	0.8073394495412844	0.7857142857142857	0.7959183673469388	0.762962962962963	0.8455882352941176	0.8411764705882353	0.7640449438202247	0.7362637362637363	0.7931034482758621
Learning Curves in Manufacturing 	0.8413793103448276	0.8412698412698413	0.8532110091743119	0.8163265306122449	0.8163265306122449	0.8592592592592593	0.8676470588235294	0.8705882352941177	0.797752808988764	0.8021978021978022	0.7931034482758621
The Effect of Annual Changes in Automobile Fuel Economy Standards	0.7793103448275862	0.7063492063492064	0.7798165137614679	0.7755102040816326	0.7846153846153846	0.8148148148148148	0.8235294117647058	0.8117647058823529	0.7865168539325843	0.7472527472527473	0.8307692307692308
An Overlapping Choice Set Model of Automotive Price Elasticities	0.7724137931034483	0.753968253968254	0.7889908256880734	0.7653061224489796	0.8125	0.8074074074074075	0.8014705882352942	0.8117647058823529	0.797752808988764	0.7472527472527473	0.78125
The marginal damage costs of carbon dioxide emissions: an assessment of the uncertainties	0.7379310344827587	0.7222222222222222	0.7614678899082569	0.8061224489795918	0.7303370786516854	0.8	0.8161764705882353	0.7529411764705882	0.8314606741573034	0.8241758241758241	0.7528089887640449
The Demand for Vehicle Use in the Urban Household Sector: Theory and Empirical Evidence	0.7517241379310344	0.7698412698412699	0.7889908256880734	0.7755102040816326	0.8045977011494253	0.7925925925925926	0.8014705882352942	0.7764705882352941	0.8539325842696629	0.7912087912087912	0.7816091954022989
Gasoline Price Expectations and the Used Automobile Market: A Rational Expectations Asset Price Approach	0.7241379310344828	0.7777777777777778	0.8256880733944955	0.8269230769230769	0.8076923076923077	0.7555555555555555	0.7941176470588235	0.7235294117647059	0.7692307692307693	0.8076923076923077	0.7788461538461539
Fuel Economy Rebound Effect for U.S. Household Vehicles	0.8206896551724138	0.7619047619047619	0.7889908256880734	0.8367346938775511	0.8	0.8148148148148148	0.8088235294117647	0.8588235294117647	0.797752808988764	0.8131868131868132	0.7413793103448276
Market Price and Income Elasticities of New Vehicle Demands	0.7655172413793103	0.7777777777777778	0.7798165137614679	0.7653061224489796	0.7796610169491526	0.8222222222222222	0.7941176470588235	0.8117647058823529	0.7528089887640449	0.7472527472527473	0.8135593220338984
Energy and Security: Externalities and Policies	0.8	0.8095238095238095	0.7981651376146789	0.7346938775510204	0.7959183673469388	0.8148148148148148	0.8455882352941176	0.8352941176470589	0.7528089887640449	0.6703296703296703	0.8103448275862069
The Production Recipes Approach to Modeling Technological Innovation: An Application to Learning by Doing	0.7586206896551724	0.7142857142857143	0.7981651376146789	0.8380952380952381	0.8285714285714286	0.8074074074074075	0.7941176470588235	0.7352941176470589	0.8	0.7714285714285715	0.7523809523809524
Causal Influence of Car Mass and Size on Driver Fatality Risk	0.8137931034482758	0.7698412698412699	0.7614678899082569	0.7755102040816326	0.7704918032786885	0.8	0.8161764705882353	0.7941176470588235	0.7640449438202247	0.7582417582417582	0.7868852459016393
