	Division of Regulations, Legislation, and Interpretation, U.S. Department of Labor, Wage and Hour Division, 200 Constitution Avenue NW., Room S– 81197 Federal Register /	Costs with Overtime Work in U.S.	Does the Statutory Overtime Premium Discourage Long Workweeks?’’ Industrial and Labor Relations Review, 56(3): 530– 81221	Census Bureau, Center for Economic Studies. Business Dynamics Statistics: Firm Age by Firm Size. Available at: http://www.ces.census.gov/ index.php/bds/bds_database_list. Accessed	National Population Projections. Table 2: Projections of the Population by Selected Age Groups and Sex for the United States:	Occupational Outlook Handbook, 2010–11 Edition, Home Health Aides and Personal and Home Care Aides, on the Internet at http://www.bls.	81244 Federal Register /	The authority citation for part 552 continues to read as follows: Authority: 29 U.S.C. 213(a)(15), (b)(21), 88 stat. 62; Sec. 29(b) of the Fair Labor Standards Act Amendments of
Experienced Home Care Registry: About Us	0.8698224852071006	0.85	0.8347107438016529	0.8715083798882681	0.824	0.8208955223880597	0.7	0.8813559322033898
FY 2011 Budget	0.9467455621301775	0.90625	0.9504132231404959	0.9608938547486033	0.936	0.9328358208955224	0.875	0.9548022598870056
Golden Care Co. Inc.: Billing Policy	0.8757396449704142	0.8333333333333334	0.859504132231405	0.88268156424581	0.856	0.8805970149253731	0.8611111111111112	0.9096045197740112
Home care aide's voices from the field: Job experiences of personal support specialists	0.7928994082840237	0.8275862068965517	0.7933884297520661	0.7932960893854749	0.752	0.7761194029850746	0.8620689655172413	0.8022598870056498
Home Care Services for Seniors in Tolland and Hartford Counties in Connecticut	0.7928994082840237	0.8205128205128205	0.7355371900826446	0.8212290502793296	0.76	0.7686567164179104	0.8717948717948718	0.8192090395480226
Interview of Michael Elsas, President, and Adria Powell, Executive Vice President of Cooperative Health Care Associates by Calvin Franz and Lauren Jankovic of ERG	0.8165680473372781	0.8827160493827161	0.808641975308642	0.8491620111731844	0.7716049382716049	0.7716049382716049	0.9074074074074074	0.8361581920903954
Minimum Wage	0.9408284023668639	0.875	0.9338842975206612	0.9497206703910615	0.944	0.9402985074626866	0.875	0.96045197740113
The Personal Assistance Services and Direct-Support Workforce: A Literature Review	0.7869822485207101	0.7926829268292683	0.7768595041322314	0.8100558659217877	0.768	0.7686567164179104	0.8658536585365854	0.8192090395480226
The State of the States in Family Caregiver Support: A 50-State Study	0.8165680473372781	0.7971014492753623	0.7768595041322314	0.8100558659217877	0.776	0.7910447761194029	0.8405797101449275	0.8022598870056498
Understanding Medicaid Home and Community Services: A Primer	0.8165680473372781	0.8	0.8016528925619835	0.8435754189944135	0.808	0.7835820895522388	0.8333333333333334	0.8531073446327684
A Data Book: Healthcare Spending and the Medicare Program	0.8284023668639053	0.8070175438596491	0.8016528925619835	0.8435754189944135	0.792	0.7686567164179104	0.8245614035087719	0.8587570621468926
Occupational Outlook Handbook, 2010-11 Edition	0.8402366863905325	0.8478260869565217	0.859504132231405	0.9106145251396648	0.832	0.664179104477612	0.9347826086956522	0.864406779661017
Federal Register, 2011. p. 5481	0.8875739644970414	0.90625	0.8677685950413223	0.9106145251396648	0.896	0.8880597014925373	0.6451612903225806	0.903954802259887
Requirements for Medicaid-Funded Personal Care Service Attendants	0.8165680473372781	0.8307692307692308	0.7933884297520661	0.7821229050279329	0.776	0.7313432835820896	0.8	0.8192090395480226
Job Perceptions and Intent to Leave Among Direct Care Workers: Evidence From the Better Jobs Better Care Demonstrations	0.7455621301775148	0.8319327731092437	0.8264462809917356	0.7988826815642458	0.784	0.7910447761194029	0.8907563025210085	0.7570621468926554
The Effects of Overtime Pay Regulation on Worker Compensation	0.8047337278106509	0.7213114754098361	0.7272727272727273	0.8547486033519553	0.768	0.8134328358208955	0.8032786885245902	0.8305084745762712
Organizing home care: Low-waged workers in the welfare state	0.7988165680473372	0.7833333333333333	0.7933884297520661	0.8379888268156425	0.776	0.7686567164179104	0.8166666666666667	0.8418079096045198
The impact of overtime and long work hours on occupational injuries and illnesses: new evidence from the United States	0.7514792899408284	0.8389830508474576	0.7520661157024794	0.7988826815642458	0.672	0.753731343283582	0.8898305084745762	0.751412429378531
The association between continuity of care and outcomes: a systematic and critical review	0.7337278106508875	0.8314606741573034	0.7272727272727273	0.8044692737430168	0.736	0.7761194029850746	0.8651685393258427	0.7344632768361582
Effects of extended work shifts and shift work on patient safety, productivity, and employee health	0.7514792899408284	0.8383838383838383	0.8099173553719008	0.8044692737430168	0.776	0.8059701492537313	0.8787878787878788	0.807909604519774
Quits and job changes among home care workers in Maine: The role of wages, hours and benefits	0.7692307692307693	0.8387096774193549	0.7851239669421488	0.776536312849162	0.744	0.7164179104477612	0.8817204301075269	0.7740112994350282
Does the Statutory Overtime Premium Discourage Long Workweeks?	0.7988165680473372	0.6774193548387096	0.48760330578512395	0.8435754189944135	0.776	0.8134328358208955	0.8548387096774194	0.8305084745762712
The Structure of Labor Costs with Overtime Work in U.S. Jobs	0.8165680473372781	0.4666666666666667	0.7851239669421488	0.8268156424581006	0.776	0.8059701492537313	0.8666666666666667	0.8192090395480226
The labor market for home care workers: Demand, supply, and institutional barriers	0.7633136094674556	0.8414634146341463	0.7603305785123967	0.8100558659217877	0.792	0.7611940298507462	0.8658536585365854	0.7853107344632768
Psychosocial factors contributing to occupational injuries among direct care workers	0.7869822485207101	0.8095238095238095	0.7933884297520661	0.8100558659217877	0.736	0.7611940298507462	0.8690476190476191	0.8022598870056498
