	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,789,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 16,126,000 hours in the first year; 13,504,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,552,000 for the first year; $493,253,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and Labor’s Order No.	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sections 2550.404c–1 and 2550.404c– 5 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No.	2550.408g–1 also issued under sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR,	For purposes of paragraph (c)(6)(i) retirement ages, life expectancies, income levels, financial resources, replacement income ratios, inflation VerDate Nov<24>2008	Add § 2550.408g–2 to read as follows:	Section 408(g)(11)(A) of the Employee Retirement Income accordance with 29 CFR 2550.408g– 1(b)(5); and (v) Is maintained in accordance with 29 CFR 2550.408g–1(e).	this 9th day of January,
Pension Participant Knowledge About Plan Fees	0.4444444444444444	0.4285714285714286	0.34693877551020413	0.4576271186440678	0.40740740740740744	0.4444444444444444	0.4418604651162791	0.4098360655737705	0.45945945945945943
The Economics of Providing 401(k) Plans: Services, Fees and Expenses 2006	0.3571428571428571	0.30666666666666664	0.3770491803278688	0.3802816901408451	0.3939393939393939	0.24242424242424243	0.49090909090909096	0.28767123287671237	0.5510204081632653
The Performance of U.S. Pension Funds	0.46478873239436624	0.4193548387096774	0.41666666666666663	0.48275862068965514	0.4339622641509434	0.4716981132075472	0.5714285714285714	0.4666666666666667	0.38888888888888884
Are S&P 500 Index Mutual Funds Commodities	0.4666666666666667	0.36363636363636365	0.3846153846153846	0.4516129032258065	0.4035087719298246	0.4736842105263158	0.4782608695652174	0.40625	0.5
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.42105263157894735	0.34328358208955223	0.4716981132075472	0.5238095238095238	0.4482758620689655	0.4137931034482759	0.5319148936170213	0.3846153846153846	0.41463414634146345
Advisory Opinion	0.6825396825396826	0.5925925925925926	0.65	0.72	0.6888888888888889	0.6444444444444444	0.6470588235294117	0.5769230769230769	0.4285714285714286
Advisory Opinion	0.6825396825396826	0.5925925925925926	0.65	0.72	0.6888888888888889	0.6444444444444444	0.6470588235294117	0.5769230769230769	0.4285714285714286
How Do Mutual Funds Fees Affect Investor Choices? Evidence from Survey Experiments	0.3902439024390244	0.31506849315068497	0.5254237288135593	0.5652173913043479	0.5	0.375	0.5471698113207547	0.295774647887324	0.44680851063829785
Advisory Opinion	0.6825396825396826	0.5925925925925926	0.65	0.72	0.6888888888888889	0.6444444444444444	0.6470588235294117	0.5769230769230769	0.4285714285714286
nan	0.9245283018867925	0.9090909090909091	0.8666666666666667	0.9	0.8857142857142857	0.8857142857142857	0.9166666666666666	0.9047619047619048	0.7777777777777778
Pension Protection Act of 2006	0.5454545454545454	0.543859649122807	0.4418604651162791	0.5094339622641509	0.45833333333333337	0.45833333333333337	0.45945945945945943	0.5272727272727273	0.4838709677419355
Fiduciary Requirements for Disclosure in Participant-Directed Individual Account Plans	0.4025974025974026	0.32352941176470584	0.4444444444444444	0.53125	0.423728813559322	0.38983050847457623	0.5416666666666667	0.36363636363636365	0.4285714285714286
General Statutory Exemption for services or office space 	0.5277777777777778	0.3650793650793651	0.4693877551020408	0.5593220338983051	0.5185185185185186	0.37037037037037035	0.5813953488372092	0.4098360655737705	0.4054054054054054
Interpretative Bulletin relating to participant investment education	0.48571428571428577	0.4098360655737705	0.4042553191489362	0.5087719298245614	0.46153846153846156	0.3846153846153846	0.5121951219512195	0.423728813559322	0.4285714285714286
Notice of adoption of revisions to annual return/report forms	0.5142857142857142	0.4098360655737705	0.4042553191489362	0.5087719298245614	0.42307692307692313	0.34615384615384615	0.5121951219512195	0.4576271186440678	0.37142857142857144
Reasonable Contract or Arrangement under Section 408(b)(2)�Fee Disclosure; Proposed Rule	1.0	1.0	1.0	1.0	1.0	0.29230769230769227	1.0	1.0	0.5833333333333333
Reorganization Plan No. 4 of 1978	0.4444444444444444	0.4920634920634921	0.30612244897959184	0.3220338983050848	0.2222222222222222	0.4814814814814815	0.4418604651162791	0.4426229508196722	0.5135135135135135
nan	0.9245283018867925	0.9090909090909091	0.8666666666666667	0.9	0.8857142857142857	0.8857142857142857	0.9166666666666666	0.9047619047619048	0.7777777777777778
nan	0.9245283018867925	0.9090909090909091	0.8666666666666667	0.9	0.8857142857142857	0.8857142857142857	0.9166666666666666	0.9047619047619048	0.7777777777777778
nan	0.9245283018867925	0.9090909090909091	0.8666666666666667	0.9	0.8857142857142857	0.8857142857142857	0.9166666666666666	0.9047619047619048	0.7777777777777778
nan	0.9245283018867925	0.9090909090909091	0.8666666666666667	0.9	0.8857142857142857	0.8857142857142857	0.9166666666666666	0.9047619047619048	0.7777777777777778
Mutual Fund Advisory Contracts: An Empirical Investigation	0.39473684210526316	0.34328358208955223	0.4716981132075472	0.5238095238095238	0.4482758620689655	0.4137931034482759	0.4893617021276596	0.32307692307692304	0.46341463414634143
Costly Search and Mutual Fund Flows	0.5142857142857142	0.4426229508196722	0.44680851063829785	0.5087719298245614	0.46153846153846156	0.5	0.5121951219512195	0.423728813559322	0.37142857142857144
Are Investors Rational? Choices Among Index Funds	0.43999999999999995	0.33333333333333337	0.42307692307692313	0.4838709677419355	0.4035087719298246	0.368421052631579	0.5217391304347826	0.34375	0.44999999999999996
Mutual Fund Fee-Setting, Market Structure and Mark-Ups	0.5277777777777778	0.4285714285714286	0.3877551020408163	0.4576271186440678	0.4444444444444444	0.4444444444444444	0.5813953488372092	0.5081967213114754	0.45945945945945943
Out of Sight, Out of Mind, The Effects of Expenses on Mutual Fund Flows	0.4473684210526315	0.34328358208955223	0.4339622641509434	0.5238095238095238	0.4482758620689655	0.3793103448275862	0.5319148936170213	0.41538461538461535	0.41463414634146345
Product Differentiation, Search Costs, and Competition in the Mutual Fund Industry: A Case Study of S&P 500 Index Funds	0.3493975903614458	0.2702702702702703	0.4	0.4571428571428572	0.3846153846153846	0.3538461538461538	0.4814814814814815	0.33333333333333337	0.41666666666666663
The Determinants of the Flow of Funds of Managed Portfolios: Mutual Funds vs. Pension Funds	0.42105263157894735	0.4029850746268657	0.4339622641509434	0.5238095238095238	0.4137931034482759	0.3793103448275862	0.4042553191489362	0.41538461538461535	0.41463414634146345
Mutual Fund Advisory Fees: The Cost of Conflicts of Interest	0.41333333333333333	0.3939393939393939	0.5	0.5483870967741935	0.4385964912280702	0.4385964912280702	0.4782608695652174	0.375	0.35
Why Does the Law of One Price Fail? An Experiment on Index Mutual Funds	0.3902439024390244	0.31506849315068497	0.5254237288135593	0.5652173913043479	0.5	0.40625	0.5471698113207547	0.3802816901408451	0.44680851063829785
