	Division of Regulations, Legislation, and Interpretation, U.S. Department of Labor, Wage and Hour Division, 200 Constitution Avenue NW., Room S– 81197 Federal Register /	Costs with Overtime Work in U.S.	Does the Statutory Overtime Premium Discourage Long Workweeks?’’ Industrial and Labor Relations Review, 56(3): 530– 81221	Census Bureau, Center for Economic Studies. Business Dynamics Statistics: Firm Age by Firm Size. Available at: http://www.ces.census.gov/ index.php/bds/bds_database_list. Accessed	National Population Projections. Table 2: Projections of the Population by Selected Age Groups and Sex for the United States:	Occupational Outlook Handbook, 2010–11 Edition, Home Health Aides and Personal and Home Care Aides, on the Internet at http://www.bls.	81244 Federal Register /	The authority citation for part 552 continues to read as follows: Authority: 29 U.S.C. 213(a)(15), (b)(21), 88 stat. 62; Sec. 29(b) of the Fair Labor Standards Act Amendments of
Characteristics of Supplemental Nutrition Assistance Program Households: Fiscal Year 2009	0.4444444444444444	0.6756756756756757	0.5961538461538461	0.4651162790697675	0.39473684210526316	0.4390243902439024	0.6571428571428571	0.4782608695652174
Overtime and extended work shifts: Recent findings on illnesses, injuries, and health behaviors	0.6041666666666667	0.5625	0.4782608695652174	0.42500000000000004	0.4736842105263158	0.475	0.6666666666666667	0.574468085106383
The Changing Demographic Profile of the United States	0.5681818181818181	0.5517241379310345	0.625	0.4871794871794872	0.4117647058823529	0.575	0.6666666666666667	0.5348837209302326
The Medicare Payment Advisory Commission (MedPAC)	0.7083333333333333	0.5862068965517242	0.6170212765957447	0.5853658536585367	0.5675675675675675	0.6	0.7419354838709677	0.5581395348837209
2011 Annual Report of the Boards of Trustees of the Federal Hospital Insurance and Federal Supplementary Medical Insurance Trust Funds	0.4782608695652174	0.7105263157894737	0.5686274509803921	0.5	0.475	0.47619047619047616	0.6176470588235294	0.4782608695652174
Background Report on the U.S. Home Care and Personal Assistance Workforce and Industry (Forthcoming)	0.45833333333333337	0.5675675675675675	0.5192307692307692	0.4444444444444444	0.45238095238095233	0.48888888888888893	0.6923076923076923	0.45833333333333337
California's Direct-Care Workforce	0.6818181818181819	0.5769230769230769	0.7021276595744681	0.65	0.6756756756756757	0.6666666666666667	0.7037037037037037	0.7111111111111111
Fair Pay for Home Care Workers	0.6976744186046512	0.6	0.7446808510638299	0.7	0.7297297297297297	0.6842105263157895	0.7307692307692308	0.7272727272727273
Family caregiving in the U.S.: Findings from a national study	0.5454545454545454	0.5172413793103448	0.574468085106383	0.3783783783783784	0.38235294117647056	0.5853658536585367	0.6333333333333333	0.47619047619047616
Home Health Study Report: Literature Review	0.6136363636363636	0.6206896551724138	0.5777777777777777	0.5384615384615384	0.5945945945945945	0.5897435897435898	0.6896551724137931	0.5813953488372092
Meals on Wheels of Contra Costa County	0.6976744186046512	0.6	0.7173913043478262	0.631578947368421	0.6176470588235294	0.6842105263157895	0.7307692307692308	0.6666666666666667
Medicare and Home Health Care	0.6976744186046512	0.6	0.7173913043478262	0.631578947368421	0.6571428571428571	0.5714285714285714	0.6799999999999999	0.6666666666666667
The PHI Matching Services Project	0.6956521739130435	0.6071428571428572	0.6595744680851063	0.6666666666666667	0.5428571428571429	0.65	0.7241379310344828	0.7234042553191489
Who Pays for Home Care Services?	0.6888888888888889	0.5384615384615384	0.6521739130434783	0.625	0.6486486486486487	0.675	0.8	0.6888888888888889
$1.5 Million Oregon Private Pay Homecare Registry for Sale	0.5957446808510638	0.59375	0.5625	0.5909090909090908	0.575	0.6046511627906976	0.65625	0.625
2009 BLS Occupational Employment Survey, employment and Wages for SOC codes 39-9021 and 31-1011	0.44680851063829785	0.631578947368421	0.48	0.4666666666666667	0.5777777777777777	0.5111111111111111	0.6842105263157895	0.47916666666666663
BLS National Compensation Survey	0.5714285714285714	0.5555555555555556	0.6595744680851063	0.5263157894736843	0.5833333333333333	0.65	0.7241379310344828	0.6046511627906976
Brief of Amici Curiae City of New York	0.7173913043478262	0.6428571428571428	0.7346938775510203	0.5897435897435898	0.6486486486486487	0.641025641025641	0.8	0.6590909090909092
Consumer Direction and Family Caregiving: Results from a National Survey	0.4883720930232558	0.625	0.5531914893617021	0.39473684210526316	0.4864864864864865	0.627906976744186	0.6	0.5555555555555556
Experienced Home Care Registry: About Us	0.5555555555555556	0.6666666666666667	0.64	0.4358974358974359	0.4444444444444444	0.4871794871794872	0.6875	0.5555555555555556
FY 2011 Budget	0.7619047619047619	0.8928571428571429	0.8043478260869565	0.8	0.8055555555555556	0.7894736842105263	0.6190476190476191	0.8181818181818181
Golden Care Co. Inc.: Billing Policy	0.7173913043478262	0.7333333333333334	0.6808510638297872	0.5897435897435898	0.5294117647058824	0.6052631578947368	0.7142857142857143	0.6888888888888889
Home care aide's voices from the field: Job experiences of personal support specialists	0.6086956521739131	0.65625	0.6326530612244898	0.46153846153846156	0.4722222222222222	0.5128205128205128	0.71875	0.5777777777777777
Home Care Services for Seniors in Tolland and Hartford Counties in Connecticut	0.5714285714285714	0.5555555555555556	0.6595744680851063	0.5263157894736843	0.5428571428571429	0.5789473684210527	0.6785714285714286	0.5714285714285714
Interview of Michael Elsas, President, and Adria Powell, Executive Vice President of Cooperative Health Care Associates by Calvin Franz and Lauren Jankovic of ERG	0.5471698113207547	0.6976744186046512	0.5714285714285714	0.4130434782608695	0.5217391304347826	0.4565217391304348	0.7441860465116279	0.5471698113207547
Minimum Wage	0.7804878048780488	0.7391304347826086	0.7954545454545454	0.7894736842105263	0.7941176470588236	0.8108108108108107	0.7727272727272727	0.8372093023255813
The Personal Assistance Services and Direct-Support Workforce: A Literature Review	0.5625	0.5882352941176471	0.5	0.4883720930232558	0.46153846153846156	0.5348837209302326	0.7222222222222222	0.5319148936170213
The State of the States in Family Caregiver Support: A 50-State Study	0.5217391304347826	0.6176470588235294	0.5800000000000001	0.4	0.4473684210526315	0.5581395348837209	0.6764705882352942	0.4545454545454546
Understanding Medicaid Home and Community Services: A Primer	0.5777777777777777	0.5666666666666667	0.6041666666666667	0.5	0.4722222222222222	0.55	0.71875	0.5777777777777777
A Data Book: Healthcare Spending and the Medicare Program	0.6382978723404256	0.65625	0.6041666666666667	0.5	0.5135135135135135	0.5128205128205128	0.71875	0.6382978723404256
Occupational Outlook Handbook, 2010-11 Edition	0.6444444444444444	0.7878787878787878	0.6382978723404256	0.6744186046511628	0.6666666666666667	0.4285714285714286	0.7333333333333334	0.6739130434782609
Federal Register, 2011. p. 5481	0.5476190476190477	0.7878787878787878	0.6382978723404256	0.6744186046511628	0.6666666666666667	0.625	0.2727272727272727	0.6136363636363636
Requirements for Medicaid-Funded Personal Care Service Attendants	0.5555555555555556	0.625	0.64	0.5121951219512195	0.5641025641025641	0.5952380952380952	0.6451612903225806	0.5869565217391304
Job Perceptions and Intent to Leave Among Direct Care Workers: Evidence From the Better Jobs Better Care Demonstrations	0.5416666666666667	0.6	0.54	0.4285714285714286	0.5813953488372092	0.47619047619047616	0.7297297297297297	0.6
The Effects of Overtime Pay Regulation on Worker Compensation	0.6041666666666667	0.5161290322580645	0.5416666666666667	0.5	0.5128205128205128	0.5121951219512195	0.7058823529411764	0.6041666666666667
Organizing home care: Low-waged workers in the welfare state	0.6875	0.5517241379310345	0.5652173913043479	0.525	0.5789473684210527	0.5384615384615384	0.6666666666666667	0.6
The impact of overtime and long work hours on occupational injuries and illnesses: new evidence from the United States	0.5957446808510638	0.5	0.5625	0.44999999999999996	0.37142857142857144	0.5365853658536586	0.696969696969697	0.5
The association between continuity of care and outcomes: a systematic and critical review	0.6521739130434783	0.5862068965517242	0.5555555555555556	0.43243243243243246	0.4411764705882353	0.5263157894736843	0.7	0.4878048780487805
Effects of extended work shifts and shift work on patient safety, productivity, and employee health	0.6382978723404256	0.5666666666666667	0.574468085106383	0.3783783783783784	0.5135135135135135	0.4736842105263158	0.71875	0.5454545454545454
Quits and job changes among home care workers in Maine: The role of wages, hours and benefits	0.653061224489796	0.6363636363636364	0.5625	0.4878048780487805	0.45945945945945943	0.5	0.696969696969697	0.5333333333333333
Does the Statutory Overtime Premium Discourage Long Workweeks?	0.6458333333333333	0.4285714285714286	0.41860465116279066	0.5476190476190477	0.6	0.5952380952380952	0.7647058823529411	0.6458333333333333
The Structure of Labor Costs with Overtime Work in U.S. Jobs	0.574468085106383	0.2962962962962963	0.5714285714285714	0.5348837209302326	0.55	0.5476190476190477	0.8108108108108107	0.5111111111111111
The labor market for home care workers: Demand, supply, and institutional barriers	0.6170212765957447	0.625	0.5217391304347826	0.39473684210526316	0.4444444444444444	0.4473684210526315	0.7272727272727273	0.45238095238095233
Psychosocial factors contributing to occupational injuries among direct care workers	0.6382978723404256	0.6129032258064516	0.5434782608695652	0.46153846153846156	0.38235294117647056	0.4736842105263158	0.6774193548387097	0.5454545454545454
