	Ahold announced the pending purchase of Supermarket General-II Holdings Corporation, parent of the Pathmark chain. Similarly, SUPERVALUE acquired Richfood, Food Lion bought out Hannaford Brothers and Scarborough, and Albertson’s purchased American Stores. (Sean Mehegan, ‘‘Consolidation Changes the Face of the North American Supermarket Sector,’’ Meat & Poultry	Agricultural Handbook No.	King Marketing Services,	Safety Commission (Miller et al., ‘‘The Consumer Product Safety Commission’s Revised Injury Cost Model,’’ Peer Review Draft Prepared for the U.S. Consumer Product Safety Commission,	Food Safety Efforts Accelerate in the 1990’s,’’ Food Review,	The Economic Benefits of Nutrition Labeling: A Case Study for Fresh Meat and Poultry Products.’’	Re: Docket #98– 005F, Food Safety and Inspection Service Proposed Rule: ‘‘Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products.’’ Comments submitted to the FSIS Docket Clerk,	Drug Administration (60 FR 65095,	Drug Administration (68 FR 41434–41504,	Drug Administration (69 FR 56824–56906,	Read the Label: Reducing Risk by Providing Information	Information Advertising, and Health Choices:	Information, Advertising, and Health: A Study of the Cereal Market.’’ In Economics of Food Safety,	Information and Advertising: The Case of	The Effect of Food Label Use on Nutrient Intakes: An Endogenous Switching Regression Analysis’’,	Assigning Value to Life: Comparing Methods for Valuing Health Risks, Agricultural Economic	A New Approach to Consumer Theory.’’	Informational Approaches to Regulation	Offsetting Behavior in Reducing High Cholesterol: Substitution of Medication for Diet and Lifestyle Changes.’’	Food companies spread nutrition information through advertising and labels. Food Review.	Personnal communication with Mary Muth, RTI International, Research	A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities: The Case of the Nutrition Labeling and Education Act,’’	FDA Labeling Cost Model.’’ Prepared for the U.S. Food and Drug Administration, Center for Food Safety and Applied Nutrition. Research Triangle Park, NC.	National Cattlemen’s Beef Association.	The Journey towards Retail Meat Case Nutrition Labeling, A white paper,	Uniform Retail Meat Identity Standards.	The NMI Health and Wellness Trends Database.	As reported in Food Technology. ‘‘What, When and Where Americans Eat:	Use of food nutrition labels is associated with lower fat intake’’.	The Imperative to Warn: Disentangling the ‘‘Right to Know’’ from the ‘‘Need to Know’’ about Consumer Product Hazards’’	Guidelines for Ensuring and Maximizing the Quality, Objectivity, Utility, and Integrity of Information Disseminated by Federal Agencies.	Cost Analysis for Nutrition Labeling of Ground, Chopped, and Single-Ingredient Meat and Poultry VerDate	Personal communication with Mary Muth, RTI International, Research	Does Nutrition Labeling Lead to Healthier Eating?’’	Measuring the welfare effects of nutrition information.	Hedonic Prices and Implicit Markets: Product Differentiation in	Department of Agriculture, 1994–1996. Continuing survey of food intake by individuals (CSFII), and companion diet and health knowledge survey (DHKS).	Survey years 1994–1996.	Nutrition Labeling/Safe Handling Information Study—Raw Meat and Poultry. Prepared by Retail Diagnostics,	Nutrition Labeling/Safe Handling Information Study—Raw Meat and Poultry. Prepared by Retail Diagnostics,	Department of Agriculture, Agricultural Research Service,	Do Nutrition Labels Improve Dietary Outcomes?	Diet-Health Information and Nutrition: The Intake of Dietary Fats	Fatal Tradeoffs—Public & Private Responsibilities for Risk.	Estimated Benefits of Nutrition Label Changes: Final Report,	Potential Health Benefits of Nutrition Label Changes,’’	Section 381.400 is revised to read as follows:
Consumer Use of Information, Implications for Food Policy	0.8784530386740331	0.8245614035087719	0.8245614035087719	0.8121546961325967	0.8	0.7291666666666666	0.847926267281106	0.7543859649122807	0.8245614035087719	0.8245614035087719	0.8771929824561403	0.7543859649122807	0.7448979591836735	0.7368421052631579	0.78125	0.7666666666666667	0.8070175438596491	0.6842105263157895	0.7636363636363637	0.6590909090909091	0.835820895522388	0.7840909090909091	0.7894736842105263	0.8596491228070176	0.8309859154929577	0.8070175438596491	0.8596491228070176	0.8405797101449275	0.8059701492537313	0.7966101694915254	0.7867647058823529	0.7572815533980582	0.8333333333333334	0.8596491228070176	0.7894736842105263	0.8253968253968254	0.8322147651006712	0.8771929824561403	0.7211538461538461	0.7211538461538461	0.7894736842105263	0.7894736842105263	0.7230769230769231	0.847457627118644	0.8	0.8421052631578947	0.8245614035087719
Economics of Food Labeling	0.93646408839779	0.9230769230769231	0.9615384615384616	0.9005524861878453	0.8333333333333334	0.7604166666666666	0.9078341013824884	0.8484848484848485	0.8461538461538461	0.8461538461538461	0.8333333333333334	0.8409090909090909	0.8061224489795918	0.825	0.8125	0.8444444444444444	0.8611111111111112	0.7894736842105263	0.8363636363636363	0.8068181818181818	0.8059701492537313	0.875	0.875	0.7894736842105263	0.7746478873239436	0.8461538461538461	0.8863636363636364	0.8260869565217391	0.8208955223880597	0.8983050847457628	0.875	0.8543689320388349	0.803030303030303	0.803921568627451	0.8	0.7936507936507936	0.87248322147651	0.9615384615384616	0.8557692307692307	0.8557692307692307	0.8421052631578947	0.8444444444444444	0.8307692307692308	0.864406779661017	0.7166666666666667	0.7090909090909091	0.782608695652174
FDA Labeling Cost Model	0.9502762430939227	0.92	0.75	0.9116022099447514	0.7833333333333333	0.8229166666666666	0.9078341013824884	0.8787878787878788	0.8974358974358975	0.8974358974358975	0.7407407407407407	0.7727272727272727	0.8673469387755102	0.825	0.8333333333333334	0.8555555555555555	0.8055555555555556	0.8157894736842105	0.8454545454545455	0.8522727272727273	0.8805970149253731	0.9147727272727273	0.8486842105263158	0.8157894736842105	0.8169014084507042	0.8461538461538461	0.7954545454545454	0.8695652173913043	0.835820895522388	0.8813559322033898	0.8823529411764706	0.8252427184466019	0.8787878787878788	0.7254901960784313	0.8545454545454545	0.8412698412698413	0.9060402684563759	0.9565217391304348	0.8269230769230769	0.8269230769230769	0.8771929824561403	0.7555555555555555	0.8615384615384616	0.7966101694915254	0.8166666666666667	0.8363636363636363	0.8478260869565217
The Consumer Product Safety Commission�s Revised Injury Cost Model	1.0	0.8484848484848485	0.8333333333333334	1.0	1.0	1.0	1.0	0.8484848484848485	1.0	1.0	0.803030303030303	0.7878787878787878	1.0	0.7575757575757576	1.0	0.8222222222222222	1.0	0.8181818181818182	1.0	0.75	0.8656716417910447	1.0	1.0	1.0	0.7746478873239436	0.803030303030303	0.7575757575757576	1.0	1.0	1.0	0.7794117647058824	0.8058252427184466	0.8787878787878788	1.0	0.803030303030303	0.8484848484848485	1.0	1.0	1.0	1.0	0.8333333333333334	0.7272727272727273	0.8484848484848485	1.0	0.8333333333333334	1.0	0.7878787878787878
Cost Analysis for Nutrition Labeling of Ground, Chopped, and Single-Ingredient Meat and Poultry Products	0.8232044198895028	0.8653846153846154	0.875	0.7624309392265194	0.8269230769230769	0.5480769230769231	0.6497695852534562	0.8653846153846154	0.8653846153846154	0.8653846153846154	0.7884615384615384	0.7692307692307693	0.8557692307692307	0.7884615384615384	0.7980769230769231	0.7788461538461539	0.8269230769230769	0.7884615384615384	0.8090909090909091	0.7211538461538461	0.75	0.7613636363636364	0.7631578947368421	0.8269230769230769	0.8173076923076923	0.7884615384615384	0.8365384615384616	0.7596153846153846	0.7019230769230769	0.7542372881355932	0.7426470588235294	0.0673076923076923	0.75	0.6730769230769231	0.7980769230769231	0.7884615384615384	0.7651006711409396	0.9230769230769231	0.7980769230769231	0.7980769230769231	0.8076923076923077	0.7115384615384616	0.7115384615384616	0.7788461538461539	0.7115384615384616	0.7980769230769231	0.7980769230769231
National Meat Case Study	0.9392265193370166	0.84	0.9166666666666666	0.8895027624309392	0.8166666666666667	0.8125	0.9124423963133641	0.8787878787878788	0.8461538461538461	0.8461538461538461	0.8148148148148148	0.7727272727272727	0.826530612244898	0.7	0.84375	0.8222222222222222	0.7777777777777778	0.6842105263157895	0.8636363636363636	0.8409090909090909	0.8059701492537313	0.8863636363636364	0.8947368421052632	0.631578947368421	0.7746478873239436	0.6666666666666666	0.7954545454545454	0.8260869565217391	0.8059701492537313	0.847457627118644	0.8823529411764706	0.8446601941747572	0.803030303030303	0.6862745098039216	0.8363636363636363	0.8412698412698413	0.8926174496644296	0.875	0.8365384615384616	0.8365384615384616	0.8070175438596491	0.7333333333333333	0.7846153846153846	0.8135593220338984	0.8166666666666667	0.8	0.782608695652174
The Journey towards Retail Meat Case Nutrition Labeling, A white paper	0.8674033149171271	0.8571428571428571	0.8142857142857143	0.8176795580110497	0.8	0.75	0.8110599078341014	0.8142857142857143	0.8142857142857143	0.8142857142857143	0.8	0.8	0.7959183673469388	0.7571428571428571	0.7604166666666666	0.7888888888888889	0.8	0.8	0.7181818181818181	0.7613636363636364	0.7714285714285715	0.7386363636363636	0.7697368421052632	0.8142857142857143	0.014084507042253521	0.6857142857142857	0.7	0.8285714285714286	0.8285714285714286	0.7372881355932204	0.7647058823529411	0.8058252427184466	0.7714285714285715	0.7857142857142857	0.7	0.8285714285714286	0.8120805369127517	0.8714285714285714	0.7980769230769231	0.7980769230769231	0.8	0.8	0.7285714285714285	0.7857142857142857	0.6857142857142857	0.6428571428571429	0.8
Uniform Retail Meat Identity Standards	0.9226519337016574	0.8421052631578947	0.7631578947368421	0.8729281767955801	0.8333333333333334	0.7916666666666666	0.880184331797235	0.868421052631579	0.9487179487179487	0.9487179487179487	0.8333333333333334	0.7727272727272727	0.7959183673469388	0.75	0.8125	0.8	0.8947368421052632	0.7631578947368421	0.8	0.7840909090909091	0.7611940298507462	0.8522727272727273	0.8486842105263158	0.8421052631578947	0.676056338028169	0.02564102564102564	0.7727272727272727	0.7971014492753623	0.7611940298507462	0.8050847457627118	0.8161764705882353	0.7961165048543689	0.7575757575757576	0.7647058823529411	0.7454545454545455	0.7777777777777778	0.8523489932885906	0.868421052631579	0.7980769230769231	0.7980769230769231	0.8421052631578947	0.8222222222222222	0.7692307692307693	0.8135593220338984	0.8	0.7818181818181819	0.8478260869565217
Re: Docket #98�005F, Food Safety and Inspection Service Proposed Rule: ��Nutrition Labeling of Ground or Chopped Meat and Poultry Products and Single-Ingredient Products.��	1.0	0.8953488372093024	0.9069767441860465	1.0	1.0	1.0	1.0	0.9069767441860465	1.0	1.0	0.8197674418604651	0.8372093023255814	1.0	0.8546511627906976	1.0	0.8081395348837209	1.0	0.8662790697674418	1.0	0.7558139534883721	0.8255813953488372	1.0	1.0	1.0	0.7674418604651163	0.8430232558139535	0.8488372093023255	1.0	1.0	1.0	0.7848837209302325	0.6569767441860465	0.8255813953488372	1.0	0.8197674418604651	0.7965116279069767	1.0	1.0	1.0	1.0	0.8255813953488372	0.813953488372093	0.7790697674418605	1.0	0.7674418604651163	1.0	0.8313953488372093
nan	0.9917127071823204	0.92	0.875	0.9834254143646409	0.9666666666666667	0.96875	0.9861751152073732	0.9090909090909091	0.9230769230769231	0.9230769230769231	0.9444444444444444	0.9318181818181818	0.9693877551020408	0.925	0.96875	0.9666666666666667	0.9444444444444444	0.9210526315789473	0.9727272727272728	0.9659090909090909	0.9552238805970149	0.9829545454545454	0.9802631578947368	0.9210526315789473	0.9577464788732394	0.9230769230769231	0.9545454545454546	0.9565217391304348	0.9552238805970149	0.9745762711864406	0.9779411764705882	0.970873786407767	0.9545454545454546	0.9411764705882353	0.9454545454545454	0.9523809523809523	0.9798657718120806	0.9565217391304348	0.9711538461538461	0.9711538461538461	0.9649122807017544	0.9555555555555556	0.9538461538461539	0.9661016949152542	0.95	0.9454545454545454	0.9565217391304348
nan	0.9917127071823204	0.92	0.875	0.9834254143646409	0.9666666666666667	0.96875	0.9861751152073732	0.9090909090909091	0.9230769230769231	0.9230769230769231	0.9444444444444444	0.9318181818181818	0.9693877551020408	0.925	0.96875	0.9666666666666667	0.9444444444444444	0.9210526315789473	0.9727272727272728	0.9659090909090909	0.9552238805970149	0.9829545454545454	0.9802631578947368	0.9210526315789473	0.9577464788732394	0.9230769230769231	0.9545454545454546	0.9565217391304348	0.9552238805970149	0.9745762711864406	0.9779411764705882	0.970873786407767	0.9545454545454546	0.9411764705882353	0.9454545454545454	0.9523809523809523	0.9798657718120806	0.9565217391304348	0.9711538461538461	0.9711538461538461	0.9649122807017544	0.9555555555555556	0.9538461538461539	0.9661016949152542	0.95	0.9454545454545454	0.9565217391304348
nan	0.9917127071823204	0.92	0.875	0.9834254143646409	0.9666666666666667	0.96875	0.9861751152073732	0.9090909090909091	0.9230769230769231	0.9230769230769231	0.9444444444444444	0.9318181818181818	0.9693877551020408	0.925	0.96875	0.9666666666666667	0.9444444444444444	0.9210526315789473	0.9727272727272728	0.9659090909090909	0.9552238805970149	0.9829545454545454	0.9802631578947368	0.9210526315789473	0.9577464788732394	0.9230769230769231	0.9545454545454546	0.9565217391304348	0.9552238805970149	0.9745762711864406	0.9779411764705882	0.970873786407767	0.9545454545454546	0.9411764705882353	0.9454545454545454	0.9523809523809523	0.9798657718120806	0.9565217391304348	0.9711538461538461	0.9711538461538461	0.9649122807017544	0.9555555555555556	0.9538461538461539	0.9661016949152542	0.95	0.9454545454545454	0.9565217391304348
Guidelines for Ensuring and Maximizing, the Quality, Objectivity, Utility, and Integrity of Information Disseminated by Federal Agencies	0.8066298342541437	0.9117647058823529	0.8823529411764706	0.8066298342541437	0.8308823529411765	0.7941176470588235	0.783410138248848	0.8529411764705882	0.8602941176470589	0.8602941176470589	0.7794117647058824	0.8161764705882353	0.7352941176470589	0.8235294117647058	0.8088235294117647	0.8014705882352942	0.875	0.8529411764705882	0.7426470588235294	0.7720588235294118	0.7352941176470589	0.75	0.8092105263157895	0.8602941176470589	0.7647058823529411	0.8235294117647058	0.8308823529411765	0.7867647058823529	0.7647058823529411	0.7941176470588235	0.014705882352941176	0.7426470588235294	0.7426470588235294	0.8014705882352942	0.7352941176470589	0.7647058823529411	0.8187919463087249	0.9264705882352942	0.7279411764705882	0.7279411764705882	0.8088235294117647	0.8308823529411765	0.75	0.8308823529411765	0.7867647058823529	0.7720588235294118	0.8382352941176471
Labeling: Trans Fatty Acids in Nutrition labeling, Nutrient Content Claims, and Health Claims; Final Rule	0.8232044198895028	0.8857142857142857	0.8571428571428571	0.7900552486187845	0.8095238095238095	0.6857142857142857	0.7557603686635944	0.8476190476190476	0.8476190476190476	0.8476190476190476	0.8095238095238095	0.7428571428571429	0.8571428571428571	0.8	0.780952380952381	0.780952380952381	0.8571428571428571	0.819047619047619	0.8090909090909091	0.7238095238095238	0.7714285714285715	0.7386363636363636	0.7368421052631579	0.819047619047619	0.7333333333333333	0.819047619047619	0.8095238095238095	0.780952380952381	0.6952380952380952	0.8389830508474576	0.7426470588235294	0.7428571428571429	0.7619047619047619	0.6857142857142857	0.7714285714285715	0.7619047619047619	0.7651006711409396	0.9238095238095239	0.8095238095238095	0.8095238095238095	0.8	0.7619047619047619	0.7238095238095238	0.7714285714285715	0.7047619047619048	0.7428571428571429	0.8
Prevention of Salmonella Enteritidis in Shell Eggs During Production; Proposed Rule	0.8535911602209945	0.8674698795180723	0.8433734939759037	0.7900552486187845	0.7590361445783133	0.78125	0.7880184331797235	0.8554216867469879	0.8554216867469879	0.8554216867469879	0.7469879518072289	0.7469879518072289	0.7755102040816326	0.7590361445783133	0.7291666666666666	0.8222222222222222	0.8674698795180723	0.7831325301204819	0.7636363636363637	0.8068181818181818	0.7469879518072289	0.7897727272727273	0.7828947368421053	0.7831325301204819	0.7951807228915663	0.7951807228915663	0.7831325301204819	0.8313253012048193	0.7831325301204819	0.7627118644067796	0.7794117647058824	0.7864077669902912	0.7469879518072289	0.7951807228915663	0.7590361445783133	0.7710843373493976	0.785234899328859	0.9036144578313253	0.7692307692307693	0.7692307692307693	0.8072289156626506	0.7951807228915663	0.7710843373493976	0.8192771084337349	0.7831325301204819	0.7590361445783133	0.7710843373493976
