	Availability of Nutrition Information from Chain Restaurants in	Is the Obesity Epidemic a Public Health Problem? A Decade	Strategies for Promoting Healthier Food Choices.” American Economic Review: Papers and Proceedings,	Doing it Now or	Prevalence and Trends in Obesity Among U.S.	Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States,	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US.” Obesity,	Size Matters: The Influence of Adolescent’s Weight and	Self-Perception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity: Payer-	Will all Americans become Overweight or Obese? Estimating the Progression and	Department of Health and Human Services and U.S. Department of Agriculture, “2010 Dietary Guidelines for Americans,” 7th ed., Washington DC: U.S. Government Printing Office,	The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination,”	The Long-Run Growth in Obesity as a Function of Technological Change.”	"Nutrient Contribution of Food Away From Home."" In America&apos;s Eating Habits: Changes and Consequences,"	Separating what We Eat from where:	Foundation. “Menu Labeling: Does Providing Nutrition Information at the Point of Purchase Affect Consumer Behavior?” Healthy Eating Research,	Taxing Caloric Sweetened Beverages: Potential Effects on	FDA Labeling Cost Model, Final Report.” Prepared for Amber Jessup, DHHS/PHS/FDA/CFSAN. Prepared by	Silliker Information.” Memo to File,	Online Appendix for ‘Are Restaurants Really Supersizing America?’”	Testing Laboratory. “Quality Nutrition Analysis.”	Evaluation Of Recordkeeping Costs For Food Manufacturers, Final Report.” Prepared for Andy Estrin and Cristina McLaughlin DHHS/PHS/FDA/CFSAN. Prepared by Aylin Sertkaya, Ayesha Berlind and Seda Erdem. Contract No. 223-01-2461, Task Order Number 5,	FDA Report,” ReCount Restaurant Census.	Under the Radar: Top 50	Acquisition Pace Quickens in 2010, but Despite Consolidation, Top Chains Still Account for Nearly 40	Sector 72: Sub: Single Unit & Multiunit Firms for the U.S:	Insights “New menu items at restaurants” Memo to File.	Display Signs & Design “Order/Get Menu Pricing” website http://www.dsdsign.com/Pages/menus3.htm. accessed on October 6,	McDonald’s meeting	Sector 72: Sub: Seating Capacity for the U.S. and States:	Statistics. “Job Openings and Labor Turnover Survey: Accommodation and food services,	Paying Attention to Retention.”	KFC’s New Computer-Based Training Program Proves a Time Saver and Better Tool for	Statistics. “Occupational Employment Statistics Query System:	Statistics. “Occupational Employment Statistics Query System:	Statistics. “Occupational Employment Statistics Query System:	Consumer Awareness of Fast-Food Calorie Information in New York City After Implementation of a Menu Labeling Regulation.”	"Calorie Posting in Chain Restaurants."""	Purchasing Behavior and Calorie Information at Fast-Food Chains in	The Psychology of Food Consumption: Strategies for Promoting Healthier Food Choices”. American Economic Review:	"Calorie Labeling And Food Choices: A First Look At The Effects On Low-Income People In New York City."""	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information.”	Do Nutrition Labels Improve Dietary Outcomes?	Mandatory Menu Labeling in One Fast-Food Chain in King County,	Child and Adolescent Fast-Food Choice and the Influence of Calorie Labeling:	"Nutrition Menu Labeling May Lead to Lower-Calorie Restaurant Meal Choices for Children."" Pediatrics,"	Measuring the Health of the U.S. Population,” Brookings Paper, Microeconomics,	Obesity-Related Quality-Adjusted Life Years Lost in the U.S. from 1993-2008,”	Trends in Quality-Adjusted Life-Years Lost Contributed by Smoking and Obesity,”	Statistical Abstract of the United States:	Modeling Weight-Loss Maintenance to Help Prevent Body Weight Regain,”	Sectors 44-45: Sub: Single Unit & Multiunit Firms for the U.S:	Sector 72: Sub: Single Unit & Multiunit Firms for the US:	Sector 71: Sub: Single Unit & Multiunit Firms for the US:	Sector 51: Sub: Single Unit & Multiunit Firms for the US:	Association.	Association. When American Flies, it Works:	Global Airline Industry Program, “Total Operating Fleet,” Airline Data Project.	Global Airline Industry Program, “Average Seat Capacity of Total Operating Fleet,” Airline Data Project.	Transportation Statistics. “Appendix D – Modal Profiles, Rail Profile,” National Transportation Statistics.	The Partner of Choice: Annual Report FY	Transportation Statistics. National Census of Ferry Operators.
"""FAQS (Ask Dr. NAICS"""	0.77	0.77	0.72	0.8	0.77	0.72	0.72	0.81	0.86	0.86	0.81	0.77	0.72	0.77	0.81	0.6699999999999999	0.81	0.77	0.86	0.72	0.77	0.72	0.77	0.6699999999999999	0.72	0.81	0.77	0.72	0.81	0.77	0.89	0.77	0.77	0.81	0.77	0.72	0.72	0.72	0.72	0.77	0.77	0.72	0.72	0.77	0.77	0.81	0.81	0.72	0.77	0.81	0.77	0.77	0.81	0.72	0.72	0.72	0.72	0.75	0.77	0.77	0.77	0.77	0.77	0.77
"""Occupational Employment Statistics Query System: SOC code 119051, NAICS 7221, 7222, 7224"""	0.69	0.65	0.73	0.74	0.6799999999999999	0.73	0.73	0.69	0.62	0.6699999999999999	0.62	0.72	0.6799999999999999	0.78	0.73	0.7	0.62	0.7	0.6799999999999999	0.74	0.6699999999999999	0.7	0.6799999999999999	0.6799999999999999	0.6699999999999999	0.61	0.69	0.64	0.65	0.74	0.56	0.65	0.7	0.62	0.76	0.21999999999999997	0.21999999999999997	0.21999999999999997	0.72	0.6599999999999999	0.69	0.7	0.72	0.74	0.5800000000000001	0.6699999999999999	0.69	0.69	0.71	0.65	0.7	0.5800000000000001	0.7	0.6699999999999999	0.64	0.64	0.64	0.5900000000000001	0.61	0.73	0.73	0.6599999999999999	0.6699999999999999	0.6
"""Occupational Employment Statistics Query System: SOC code 350000, NAICS 7221,7222,7224"""	0.69	0.65	0.72	0.74	0.6599999999999999	0.73	0.72	0.69	0.62	0.6699999999999999	0.62	0.72	0.69	0.78	0.73	0.71	0.62	0.71	0.6799999999999999	0.73	0.6699999999999999	0.7	0.6799999999999999	0.69	0.6699999999999999	0.5700000000000001	0.7	0.64	0.65	0.73	0.56	0.65	0.7	0.62	0.76	0.21999999999999997	0.21999999999999997	0.21999999999999997	0.72	0.6599999999999999	0.69	0.7	0.73	0.74	0.5800000000000001	0.6699999999999999	0.69	0.69	0.71	0.65	0.71	0.5800000000000001	0.7	0.6699999999999999	0.64	0.64	0.64	0.5900000000000001	0.61	0.74	0.72	0.6599999999999999	0.6699999999999999	0.6
"""Occupational Employment Statistics Query System: SOC code 351012, NAICS 7221,7222, 7224"""	0.69	0.65	0.72	0.74	0.6799999999999999	0.73	0.72	0.69	0.62	0.6699999999999999	0.62	0.72	0.69	0.78	0.73	0.7	0.62	0.7	0.6799999999999999	0.73	0.6699999999999999	0.7	0.6799999999999999	0.6799999999999999	0.6699999999999999	0.5700000000000001	0.69	0.64	0.65	0.74	0.56	0.65	0.7	0.62	0.76	0.21999999999999997	0.21999999999999997	0.21999999999999997	0.71	0.6599999999999999	0.69	0.7	0.72	0.74	0.5800000000000001	0.6699999999999999	0.69	0.69	0.71	0.6699999999999999	0.71	0.5800000000000001	0.7	0.6699999999999999	0.64	0.64	0.64	0.5900000000000001	0.61	0.73	0.71	0.6699999999999999	0.6699999999999999	0.6
"""Sector 51: Sub: Single Unit & Multiunit Firms for the US: 2007"" "	0.6699999999999999	0.6699999999999999	0.7	0.47	0.63	0.6799999999999999	0.5900000000000001	0.63	0.65	0.6699999999999999	0.6699999999999999	0.7	0.62	0.71	0.7	0.7	0.62	0.62	0.7	0.65	0.62	0.73	0.6599999999999999	0.65	0.7	0.61	0.64	0.06000000000000005	0.63	0.71	0.73	0.43000000000000005	0.7	0.62	0.71	0.64	0.64	0.64	0.6799999999999999	0.64	0.6799999999999999	0.6699999999999999	0.65	0.65	0.6699999999999999	0.65	0.6699999999999999	0.64	0.6799999999999999	0.62	0.6699999999999999	0.6	0.71	0.09999999999999998	0.040000000000000036	0.020000000000000018	0.0	0.75	0.6599999999999999	0.6799999999999999	0.6699999999999999	0.6799999999999999	0.6699999999999999	0.71
"""Sector 71: Sub: Single Unit & Multiunit Firms for the US: 2007"""	0.6699999999999999	0.6699999999999999	0.71	0.47	0.63	0.6799999999999999	0.5800000000000001	0.63	0.65	0.6699999999999999	0.6699999999999999	0.69	0.63	0.71	0.69	0.69	0.62	0.63	0.7	0.65	0.62	0.72	0.6599999999999999	0.65	0.7	0.61	0.65	0.040000000000000036	0.63	0.71	0.73	0.41000000000000003	0.69	0.62	0.72	0.64	0.64	0.64	0.6799999999999999	0.64	0.6799999999999999	0.6599999999999999	0.6599999999999999	0.65	0.6699999999999999	0.65	0.6699999999999999	0.65	0.6799999999999999	0.61	0.6599999999999999	0.6	0.71	0.12	0.020000000000000018	0.0	0.020000000000000018	0.75	0.6599999999999999	0.6799999999999999	0.6599999999999999	0.6799999999999999	0.6699999999999999	0.71
�Sectors 44-45: Sub: Single Unit & Multiunit Firms for the U.S: 2007�	0.6699999999999999	0.65	0.0	0.47	0.61	0.69	0.0	0.0	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.7	0.0	0.0	0.0	0.7	0.62	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.65	0.10999999999999999	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6599999999999999	0.69	0.0	0.6599999999999999	0.0	0.69	0.65	0.6799999999999999	0.64	0.0	0.0	0.0	0.6	0.0	0.0	0.10999999999999999	0.10999999999999999	0.08999999999999997	0.6699999999999999	0.6599999999999999	0.0	0.0	0.0	0.6699999999999999	0.7
County Business Patterns, United States NAICS 722, 2000-2008	0.7	0.72	0.6699999999999999	0.6699999999999999	0.6599999999999999	0.5900000000000001	0.65	0.69	0.6699999999999999	0.63	0.7	0.74	0.64	0.7	0.6699999999999999	0.69	0.65	0.6699999999999999	0.7	0.69	0.7	0.72	0.7	0.5900000000000001	0.6699999999999999	0.6599999999999999	0.6699999999999999	0.69	0.65	0.7	0.73	0.64	0.7	0.62	0.64	0.6799999999999999	0.6799999999999999	0.6799999999999999	0.6699999999999999	0.61	0.7	0.69	0.7	0.6699999999999999	0.63	0.69	0.69	0.69	0.69	0.5900000000000001	0.65	0.48	0.69	0.7	0.69	0.69	0.69	0.5900000000000001	0.6599999999999999	0.69	0.6699999999999999	0.7	0.65	0.7
Occupational Employment Statistics	0.56	0.71	0.65	0.74	0.71	0.62	0.62	0.71	0.5900000000000001	0.71	0.5900000000000001	0.6799999999999999	0.62	0.5900000000000001	0.6799999999999999	0.6799999999999999	0.6799999999999999	0.5900000000000001	0.6799999999999999	0.71	0.6799999999999999	0.65	0.65	0.65	0.65	0.79	0.5900000000000001	0.62	0.65	0.6799999999999999	0.56	0.62	0.56	0.6	0.71	0.0	0.0	0.0	0.62	0.6799999999999999	0.62	0.56	0.71	0.65	0.53	0.65	0.62	0.65	0.62	0.71	0.6799999999999999	0.56	0.6799999999999999	0.62	0.62	0.62	0.62	0.5900000000000001	0.5900000000000001	0.62	0.62	0.36	0.6799999999999999	0.5
Statistical Abstract of the United States: 2011 (130th Edition)	0.65	0.71	0.62	0.74	0.6799999999999999	0.5900000000000001	0.5900000000000001	0.69	0.6699999999999999	0.55	0.6599999999999999	0.64	0.64	0.6599999999999999	0.69	0.6699999999999999	0.5900000000000001	0.62	0.5900000000000001	0.7	0.62	0.72	0.6599999999999999	0.6599999999999999	0.6699999999999999	0.61	0.62	0.64	0.63	0.7	0.73	0.53	0.61	0.5900000000000001	0.6599999999999999	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.6599999999999999	0.64	0.6699999999999999	0.62	0.6599999999999999	0.62	0.6	0.6799999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.64	0.6599999999999999	0.0	0.69	0.6699999999999999	0.64	0.64	0.64	0.5900000000000001	0.63	0.6699999999999999	0.6599999999999999	0.61	0.65	0.63
"""Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States, Trends 1976-1980 Through 2007-2008"""	0.62	0.5800000000000001	0.65	0.6	0.4	0.0	0.61	0.62	0.5900000000000001	0.45999999999999996	0.5900000000000001	0.52	0.64	0.62	0.6	0.6599999999999999	0.5900000000000001	0.6799999999999999	0.63	0.69	0.6699999999999999	0.64	0.6	0.6599999999999999	0.65	0.6599999999999999	0.6599999999999999	0.64	0.6	0.7	0.62	0.5800000000000001	0.62	0.62	0.65	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.71	0.64	0.64	0.6799999999999999	0.6699999999999999	0.65	0.63	0.63	0.64	0.6599999999999999	0.63	0.5900000000000001	0.63	0.45999999999999996	0.63	0.65	0.64	0.64	0.64	0.5900000000000001	0.61	0.63	0.65	0.7	0.6699999999999999	0.6799999999999999
"""Nutrient Contribution of Food Away From Home"""	0.55	0.6799999999999999	0.5900000000000001	0.54	0.7	0.6799999999999999	0.6599999999999999	0.6799999999999999	0.6699999999999999	0.6699999999999999	0.64	0.6599999999999999	0.64	0.7	0.63	0.030000000000000027	0.5900000000000001	0.5700000000000001	0.6799999999999999	0.6599999999999999	0.5900000000000001	0.7	0.64	0.61	0.72	0.6599999999999999	0.5900000000000001	0.64	0.6599999999999999	0.72	0.73	0.6799999999999999	0.64	0.62	0.61	0.6799999999999999	0.6799999999999999	0.6799999999999999	0.5700000000000001	0.6599999999999999	0.5900000000000001	0.5900000000000001	0.5700000000000001	0.5700000000000001	0.5800000000000001	0.61	0.6599999999999999	0.5900000000000001	0.61	0.6599999999999999	0.5700000000000001	0.65	0.7	0.64	0.64	0.64	0.64	0.5	0.6699999999999999	0.6599999999999999	0.64	0.64	0.5900000000000001	0.64
"""2010 Dietary Guidelines for Americans,"" 7th edition"	0.6	0.64	0.5800000000000001	0.6699999999999999	0.61	0.6599999999999999	0.64	0.5800000000000001	0.62	0.5900000000000001	0.6599999999999999	0.6	0.14	0.62	0.64	0.62	0.65	0.6	0.64	0.64	0.5900000000000001	0.6	0.6799999999999999	0.5800000000000001	0.6699999999999999	0.6599999999999999	0.6	0.64	0.6599999999999999	0.6799999999999999	0.56	0.6599999999999999	0.64	0.55	0.6799999999999999	0.7	0.7	0.7	0.64	0.64	0.6	0.5800000000000001	0.6599999999999999	0.5800000000000001	0.65	0.62	0.64	0.52	0.6799999999999999	0.62	0.6599999999999999	0.65	0.64	0.6599999999999999	0.64	0.64	0.64	0.5700000000000001	0.55	0.62	0.5800000000000001	0.64	0.6699999999999999	0.6799999999999999
"""Appendix D � Modal Profiles, Rail Profile"""	0.6799999999999999	0.61	0.0	0.6	0.72	0.6599999999999999	0.0	0.0	0.6699999999999999	0.63	0.63	0.6599999999999999	0.0	0.0	0.0	0.6799999999999999	0.6799999999999999	0.0	0.6799999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.6599999999999999	0.6599999999999999	0.7	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.6799999999999999	0.0	0.63	0.0	0.6799999999999999	0.6799999999999999	0.63	0.61	0.0	0.0	0.0	0.72	0.0	0.7	0.7	0.7	0.7	0.75	0.6799999999999999	0.0	0.0	0.0	0.6699999999999999	0.6799999999999999
"""Job Openings and Labor Turnover Survey: Accomodation and food services, Total US, Total Separations, Rate, Series Id: JTU720000000TSR (3,9)"""	0.61	0.6699999999999999	0.61	0.54	0.61	0.63	0.63	0.65	0.5900000000000001	0.63	0.64	0.62	0.62	0.61	0.65	0.6599999999999999	0.48	0.63	0.61	0.6599999999999999	0.5900000000000001	0.6	0.56	0.64	0.62	0.61	0.64	0.64	0.63	0.71	0.56	0.5700000000000001	0.17000000000000004	0.62	0.61	0.63	0.63	0.63	0.63	0.5800000000000001	0.55	0.64	0.65	0.62	0.56	0.62	0.64	0.6	0.62	0.65	0.61	0.6	0.64	0.65	0.64	0.64	0.64	0.42000000000000004	0.54	0.56	0.6	0.5800000000000001	0.5900000000000001	0.5700000000000001
