	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
Expanded Expert Judgment Assessment of the Concentration-Response Relationship between PM(2.5) Exposure and Mortality	0.6599999999999999	0.54	0.56	0.65	0.62	0.5900000000000001	0.5900000000000001	0.62	0.62	0.64	0.5700000000000001	0.5	0.63	0.62	0.6599999999999999	0.63	0.61	0.63	0.63	0.6799999999999999	0.5700000000000001	0.55	0.62	0.6	0.72	0.6	0.6	0.62	0.6	0.63	0.6	0.6	0.62	0.64	0.62	0.63	0.61	0.5900000000000001	0.62	0.5800000000000001
Integrated Risk Information System (IRIS) Profile for Lead and Compounds (inorganic)	0.7	0.5700000000000001	0.61	0.51	0.6	0.5900000000000001	0.61	0.64	0.65	0.64	0.6599999999999999	0.61	0.65	0.6	0.56	0.64	0.61	0.65	0.65	0.7	0.6	0.56	0.64	0.6599999999999999	0.71	0.6599999999999999	0.6599999999999999	0.63	0.6	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.62	0.62	0.61	0.6	0.55	0.6	0.56	0.62
Lead: Human Exposure and Health Risk Assessments for Selected Case Studies. Volume I: Human Exposure and Health Risk Assessments Ð Full-scale	0.6	0.64	0.0	0.63	0.64	0.63	0.62	0.55	0.61	0.62	0.0	0.63	0.0	0.6	0.0	0.61	0.5900000000000001	0.6599999999999999	0.61	0.0	0.55	0.62	0.0	0.6599999999999999	0.72	0.6599999999999999	0.6599999999999999	0.6699999999999999	0.6699999999999999	0.64	0.6599999999999999	0.6599999999999999	0.5900000000000001	0.6699999999999999	0.6599999999999999	0.65	0.61	0.62	0.6699999999999999	0.54
Preventing Lead Poisoning in Young Children	0.5900000000000001	0.44999999999999996	0.56	0.54	0.0	0.56	0.54	0.5900000000000001	0.56	0.63	0.47	0.63	0.47	0.52	0.54	0.63	0.54	0.47	0.6799999999999999	0.49	0.5900000000000001	0.5900000000000001	0.49	0.6	0.63	0.6	0.6	0.63	0.52	0.63	0.6	0.6	0.63	0.5900000000000001	0.63	0.61	0.56	0.56	0.5900000000000001	0.6599999999999999
Review of the National Ambient Air Quality Standards for Lead: Policy Assessment of Scientific and Technical Information	0.65	0.52	0.62	0.5800000000000001	0.6	0.5900000000000001	0.5800000000000001	0.62	0.61	0.62	0.63	0.54	0.62	0.62	0.5900000000000001	0.61	0.62	0.5800000000000001	0.63	0.62	0.6	0.52	0.64	0.54	0.65	0.54	0.54	0.45999999999999996	0.5900000000000001	0.6	0.54	0.54	0.19999999999999996	0.5700000000000001	0.6	0.32999999999999996	0.5700000000000001	0.62	0.62	0.53
Strategic Plan for Elimination of Childhood Lead Poisoning	0.6599999999999999	0.5700000000000001	0.49	0.0	0.53	0.52	0.5900000000000001	0.5900000000000001	0.63	0.63	0.52	0.63	0.61	0.5700000000000001	0.64	0.64	0.5900000000000001	0.56	0.6599999999999999	0.64	0.6	0.56	0.63	0.63	0.6799999999999999	0.63	0.63	0.61	0.54	0.6799999999999999	0.63	0.63	0.5700000000000001	0.61	0.61	0.5700000000000001	0.5700000000000001	0.5900000000000001	0.56	0.62
The Benefits and Costs of the Clean Air Act, 1970 to 1990	0.62	0.6	0.64	0.6599999999999999	0.62	0.62	0.5800000000000001	0.62	0.6	0.65	0.65	0.69	0.62	0.6	0.62	0.62	0.55	0.62	0.62	0.65	0.55	0.62	0.6	0.6599999999999999	0.72	0.6599999999999999	0.6599999999999999	0.64	0.6	0.69	0.6599999999999999	0.6599999999999999	0.6	0.43999999999999995	0.65	0.62	0.64	0.62	0.6699999999999999	0.6599999999999999
Air Quality Guidelines for Europe, Second Edition	0.64	0.64	0.6	0.62	0.7	0.64	0.64	0.64	0.56	0.62	0.6599999999999999	0.62	0.64	0.64	0.62	0.56	0.6	0.62	0.6	0.6599999999999999	0.61	0.64	0.64	0.63	0.6799999999999999	0.63	0.63	0.56	0.56	0.7	0.63	0.63	0.52	0.6	0.54	0.49	0.56	0.62	0.62	0.5700000000000001
Calculating Benefit Per-Ton Estimates	0.65	0.65	0.6	0.63	0.63	0.55	0.55	0.6	0.63	0.6	0.65	0.6	0.5700000000000001	0.71	0.6	0.63	0.52	0.55	0.6	0.65	0.5700000000000001	0.55	0.63	0.63	0.6799999999999999	0.63	0.63	0.6799999999999999	0.63	0.65	0.63	0.63	0.65	0.63	0.65	0.6	0.63	0.5700000000000001	0.5900000000000001	0.6599999999999999
Circular A-4	0.6699999999999999	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.6699999999999999	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.75	0.5900000000000001	0.6699999999999999	0.42000000000000004	0.5900000000000001	0.6699999999999999	0.5900000000000001	0.42000000000000004	0.5900000000000001	0.5900000000000001	0.42000000000000004	0.5900000000000001	0.75	0.75	0.5900000000000001	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.5900000000000001	0.6699999999999999	0.5900000000000001	0.6699999999999999	0.6699999999999999	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.6699999999999999	0.75	0.6699999999999999	0.75
Email from Khan, Sikander to Sorrels, Larry	0.7	0.63	0.5900000000000001	0.63	0.73	0.63	0.61	0.63	0.5900000000000001	0.5900000000000001	0.6599999999999999	0.63	0.5900000000000001	0.63	0.63	0.61	0.5900000000000001	0.61	0.56	0.63	0.6799999999999999	0.6599999999999999	0.61	0.6599999999999999	0.6799999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.61	0.7	0.6599999999999999	0.6599999999999999	0.5900000000000001	0.61	0.5900000000000001	0.61	0.61	0.63	0.62	0.6599999999999999
Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study	0.5900000000000001	0.5700000000000001	0.61	0.6	0.5700000000000001	0.53	0.52	0.0	0.53	0.65	0.63	0.61	0.5800000000000001	0.5700000000000001	0.61	0.6	0.5700000000000001	0.5900000000000001	0.5800000000000001	0.54	0.62	0.54	0.5	0.54	0.6699999999999999	0.54	0.54	0.63	0.62	0.6599999999999999	0.54	0.54	0.6599999999999999	0.61	0.6599999999999999	0.65	0.62	0.63	0.5900000000000001	0.5800000000000001
Letter from CASAC Chairman Rogene Henderson to EPA Administrator Stephen Johnson	0.6699999999999999	0.6699999999999999	0.62	0.61	0.64	0.5900000000000001	0.64	0.64	0.64	0.6799999999999999	0.6599999999999999	0.6799999999999999	0.6	0.6599999999999999	0.62	0.64	0.6	0.65	0.63	0.62	0.62	0.64	0.62	0.63	0.69	0.63	0.63	0.6699999999999999	0.63	0.6799999999999999	0.63	0.63	0.63	0.48	0.65	0.62	0.63	0.64	0.62	0.6599999999999999
Personal communication of Skiander Khan with Larry Sorrels	0.64	0.63	0.56	0.56	0.62	0.61	0.5900000000000001	0.61	0.63	0.5700000000000001	0.5700000000000001	0.6	0.56	0.64	0.6599999999999999	0.64	0.61	0.63	0.5700000000000001	0.6599999999999999	0.64	0.61	0.64	0.6	0.73	0.6	0.6	0.5900000000000001	0.5900000000000001	0.63	0.6	0.6	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5700000000000001	0.61	0.5700000000000001	0.53	0.5800000000000001
Revised Methodology for Estimating Lead Emissions from Piston-Engine Aircraft Operating on Leaded Aviation Gasoline	0.6599999999999999	0.5800000000000001	0.6699999999999999	0.55	0.5	0.6	0.5900000000000001	0.65	0.64	0.62	0.5700000000000001	0.55	0.6	0.63	0.62	0.5800000000000001	0.5900000000000001	0.63	0.64	0.63	0.5700000000000001	0.5800000000000001	0.65	0.5700000000000001	0.6699999999999999	0.5700000000000001	0.5700000000000001	0.5900000000000001	0.5700000000000001	0.63	0.5700000000000001	0.5700000000000001	0.62	0.63	0.63	0.6	0.6	0.5900000000000001	0.62	0.5800000000000001
Supplemental IQ Gain Calculations Using Two Additional Concentration-Response Functions	0.6799999999999999	0.65	0.52	0.62	0.6	0.55	0.5900000000000001	0.6	0.62	0.62	0.64	0.54	0.6	0.6799999999999999	0.63	0.63	0.65	0.65	0.65	0.6799999999999999	0.64	0.64	0.63	0.5700000000000001	0.69	0.5700000000000001	0.5700000000000001	0.63	0.6	0.62	0.5700000000000001	0.5700000000000001	0.61	0.65	0.63	0.61	0.61	0.61	0.53	0.5800000000000001
Memo to the Docket from Marion Hoyer 	0.63	0.63	0.52	0.63	0.65	0.52	0.6	0.6	0.6	0.65	0.6	0.63	0.6	0.55	0.6	0.6	0.5700000000000001	0.5700000000000001	0.6	0.65	0.63	0.63	0.6	0.63	0.65	0.63	0.63	0.65	0.55	0.65	0.63	0.63	0.5700000000000001	0.5700000000000001	0.63	0.63	0.55	0.63	0.64	0.62
BenMAP User Manual	0.62	0.56	0.6699999999999999	0.6699999999999999	0.73	0.56	0.6699999999999999	0.62	0.62	0.6699999999999999	0.6699999999999999	0.62	0.56	0.6699999999999999	0.62	0.6699999999999999	0.62	0.6699999999999999	0.62	0.62	0.6699999999999999	0.62	0.62	0.73	0.73	0.73	0.73	0.6699999999999999	0.62	0.6699999999999999	0.73	0.73	0.56	0.6699999999999999	0.56	0.56	0.6699999999999999	0.6699999999999999	0.73	0.6699999999999999
Air Quality Criteria for Lead and Related Photochemical Oxidants	0.63	0.5800000000000001	0.6	0.5900000000000001	0.64	0.6	0.5700000000000001	0.63	0.5800000000000001	0.61	0.6699999999999999	0.63	0.5800000000000001	0.65	0.61	0.61	0.61	0.6	0.61	0.63	0.6	0.55	0.5800000000000001	0.6599999999999999	0.71	0.6599999999999999	0.6599999999999999	0.53	0.6	0.61	0.6599999999999999	0.6599999999999999	0.52	0.63	0.5800000000000001	0.45999999999999996	0.55	0.5700000000000001	0.64	0.5800000000000001
Clean Air Act	0.54	0.47	0.47	0.54	0.7	0.54	0.62	0.62	0.54	0.54	0.7	0.47	0.62	0.62	0.54	0.62	0.54	0.54	0.62	0.54	0.62	0.54	0.62	0.54	0.62	0.54	0.54	0.54	0.62	0.54	0.54	0.54	0.47	0.16000000000000003	0.62	0.47	0.62	0.7	0.62	0.62
Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities	0.6	0.5700000000000001	0.5900000000000001	0.5800000000000001	0.5	0.62	0.61	0.62	0.62	0.62	0.64	0.56	0.62	0.62	0.62	0.6	0.62	0.64	0.64	0.62	0.6	0.5800000000000001	0.63	0.6	0.7	0.6	0.6	0.6	0.31999999999999995	0.5800000000000001	0.6	0.6	0.63	0.65	0.63	0.6	0.0	0.62	0.5900000000000001	0.5800000000000001
National Primary and Secondary Ambient Air Quality Standards for Lead	0.64	0.6	0.61	0.62	0.64	0.61	0.5800000000000001	0.6	0.61	0.6599999999999999	0.64	0.5700000000000001	0.63	0.69	0.61	0.5800000000000001	0.64	0.63	0.6	0.56	0.62	0.5800000000000001	0.6	0.5700000000000001	0.69	0.5700000000000001	0.5700000000000001	0.43000000000000005	0.5800000000000001	0.6	0.5700000000000001	0.5700000000000001	0.31999999999999995	0.61	0.5800000000000001	0.31000000000000005	0.5700000000000001	0.5800000000000001	0.5900000000000001	0.62
Proposed National Ambient Air Quality Standards for Lead	0.65	0.5	0.5800000000000001	0.63	0.64	0.5900000000000001	0.54	0.5800000000000001	0.5800000000000001	0.5900000000000001	0.61	0.56	0.61	0.6699999999999999	0.65	0.5800000000000001	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.52	0.6	0.52	0.5800000000000001	0.63	0.6799999999999999	0.63	0.63	0.38	0.5800000000000001	0.61	0.63	0.63	0.10999999999999999	0.5900000000000001	0.5900000000000001	0.0	0.56	0.5800000000000001	0.5900000000000001	0.62
Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule	0.62	0.63	0.63	0.55	0.53	0.6	0.5700000000000001	0.62	0.5800000000000001	0.65	0.64	0.5900000000000001	0.6	0.6799999999999999	0.65	0.62	0.65	0.65	0.6	0.65	0.61	0.61	0.6	0.5700000000000001	0.6799999999999999	0.5700000000000001	0.5700000000000001	0.5700000000000001	0.0	0.64	0.5700000000000001	0.5700000000000001	0.5900000000000001	0.62	0.54	0.6	0.17000000000000004	0.6	0.5900000000000001	0.54
Final Ozone NAAQS Regulatory Impact Analysis 	0.69	0.6699999999999999	0.65	0.69	0.73	0.63	0.63	0.6699999999999999	0.65	0.31999999999999995	0.6699999999999999	0.6	0.54	0.6699999999999999	0.65	0.65	0.69	0.65	0.63	0.5800000000000001	0.6599999999999999	0.65	0.65	0.6599999999999999	0.6699999999999999	0.6599999999999999	0.6599999999999999	0.63	0.56	0.29000000000000004	0.6599999999999999	0.6599999999999999	0.5800000000000001	0.65	0.030000000000000027	0.5800000000000001	0.56	0.63	0.6699999999999999	0.6599999999999999
Final Regulatory Impact Analysis: PM 2.5 NAAQS	0.6799999999999999	0.7	0.6799999999999999	0.6799999999999999	0.75	0.6599999999999999	0.64	0.6599999999999999	0.64	0.31999999999999995	0.6599999999999999	0.64	0.5700000000000001	0.72	0.6599999999999999	0.6799999999999999	0.72	0.7	0.6599999999999999	0.61	0.71	0.6799999999999999	0.6799999999999999	0.63	0.7	0.63	0.63	0.61	0.5900000000000001	0.17000000000000004	0.63	0.63	0.64	0.6599999999999999	0.27	0.64	0.5900000000000001	0.6599999999999999	0.64	0.62
PM (2.5) NAAQS	0.79	0.79	0.79	0.79	0.86	0.72	0.79	0.79	0.72	0.72	0.79	0.79	0.79	0.86	0.79	0.86	0.86	0.79	0.65	0.79	0.86	0.79	0.72	0.79	0.79	0.79	0.79	0.5800000000000001	0.65	0.65	0.79	0.79	0.65	0.65	0.5	0.65	0.65	0.86	0.79	0.86
Regulatory Impact Analysis of the Clean Air Mercury Rule	0.65	0.5900000000000001	0.61	0.62	0.69	0.5900000000000001	0.5900000000000001	0.61	0.61	0.56	0.63	0.61	0.65	0.65	0.61	0.63	0.63	0.61	0.63	0.5900000000000001	0.5900000000000001	0.61	0.65	0.63	0.72	0.63	0.63	0.63	0.52	0.54	0.63	0.63	0.5900000000000001	0.5	0.33999999999999997	0.5900000000000001	0.5	0.63	0.56	0.62
The Relationship Between Air Lead and Blood Lead in Children: A Critical Review	0.61	0.020000000000000018	0.5700000000000001	0.5800000000000001	0.45999999999999996	0.55	0.5700000000000001	0.56	0.5700000000000001	0.6799999999999999	0.5800000000000001	0.5900000000000001	0.56	0.51	0.56	0.63	0.54	0.54	0.64	0.6	0.62	0.26	0.55	0.63	0.7	0.63	0.63	0.64	0.5900000000000001	0.7	0.63	0.63	0.56	0.6	0.5900000000000001	0.54	0.5700000000000001	0.5700000000000001	0.62	0.62
The Relationship between Gasoline Lead and Blood Lead in the United States	0.63	0.25	0.5700000000000001	0.56	0.6	0.53	0.56	0.55	0.5900000000000001	0.64	0.5800000000000001	0.5700000000000001	0.5900000000000001	0.5700000000000001	0.6	0.63	0.61	0.53	0.63	0.63	0.6	0.0	0.55	0.6599999999999999	0.71	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.5900000000000001	0.6799999999999999	0.6599999999999999	0.6599999999999999	0.54	0.63	0.61	0.53	0.5700000000000001	0.5700000000000001	0.56	0.5800000000000001
Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution	0.64	0.63	0.65	0.63	0.64	0.63	0.54	0.6	0.62	0.65	0.6699999999999999	0.32999999999999996	0.6	0.55	0.64	0.020000000000000018	0.61	0.65	0.5800000000000001	0.64	0.55	0.63	0.63	0.6	0.6799999999999999	0.6	0.6	0.64	0.56	0.65	0.6	0.6	0.64	0.62	0.65	0.6	0.5	0.5	0.5900000000000001	0.62
Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry	0.49	0.5800000000000001	0.61	0.63	0.5700000000000001	0.5900000000000001	0.48	0.54	0.0	0.64	0.63	0.5700000000000001	0.49	0.62	0.5700000000000001	0.62	0.64	0.5700000000000001	0.5900000000000001	0.47	0.6	0.5900000000000001	0.49	0.6	0.6699999999999999	0.6	0.6	0.64	0.5900000000000001	0.63	0.6	0.6	0.65	0.64	0.6599999999999999	0.62	0.62	0.53	0.64	0.5800000000000001
