	Department of Energy, Energy Information Administration, Transportation Sector Module of the National Energy Modeling System: Model Documentation	Technical Support Document: Fuel Economy Labeling of Motor Vehicle Revisions to Improve Calculation of Fuel Economy Estimates,	The survival rates were calculated from R.L. Polk, National Vehicle Population Profile, 1977-2003; see NHTSA,	Vehicle Survivability and Travel Mileage Schedules,” Office of Regulatory Analysis and Evaluation,	Oil Imports: An Assessment of Benefits and Costs,	"Estimating the Energy Security Benefits of Reduced U.S. Oil Imports,"" Oak Ridge National Laboratory, ORNL/TM-2007/028, Revised July 23,"	Contribution of Working Group II to the Fourth Assessment Report of the IPCC, 17. Available at http://www.ipcc-wg2.org (last accessed 4,	Description of VMT Forecasting Procedure for ‘Car Talk’ Base line Forecasts,” manuscript, Volpe National Transportation Systems Center, U.S. Department of Transportation,	Environmental Protection Agency, MOBILE Motor Vehicle Emission Factor Model, version 6.2,	Uncertainty: A Guide to Dealing with Uncertainty in Quantitative Risk and Policy Analysis”,	CAFE Compliance and Effects Modeling System Documentation,
Costs of Effectiveness of Increasing Corporate Average Fuel Economy Standards	0.3125	0.34285714285714286	0.5777777777777777	0.4117647058823529	0.4137931034482759	0.5319148936170213	0.4883720930232558	0.46153846153846156	0.4444444444444444	0.5405405405405406	0.2142857142857143
Draft Inventory of GHG Emissions and Sinks (1990-1999)	0.5641025641025641	0.6046511627906976	0.5652173913043479	0.6341463414634146	0.6285714285714286	0.607843137254902	0.6041666666666667	0.6521739130434783	0.6511627906976745	0.6341463414634146	0.5945945945945945
Effectiveness and Impact of Corporate Average Fuel Economy (CAFE) Standards	0.3529411764705882	0.3783783783783784	0.5957446808510638	0.4444444444444444	0.4516129032258065	0.5510204081632653	0.4772727272727273	0.4878048780487805	0.4736842105263158	0.5641025641025641	0.2666666666666667
Estimating the Energy Security Benefits of Reduced U.S. Oil Imports	0.3529411764705882	0.42105263157894735	0.5652173913043479	0.4	0.4516129032258065	0.38636363636363635	0.5434782608695652	0.44999999999999996	0.43243243243243246	0.5263157894736843	0.4242424242424242
Impacts, Adaption and Vulnerability, Contribution of Working Group II to the Fourth Assessement Report	0.4054054054054054	0.3421052631578947	0.5319148936170213	0.4054054054054054	0.4545454545454546	0.52	0.33333333333333337	0.45238095238095233	0.475	0.4473684210526315	0.38235294117647056
Inventory of U.S. Greenhouse Gas Emissions and Sinks 1990-2005	0.55	0.5909090909090908	0.48888888888888893	0.5853658536585367	0.6486486486486487	0.47916666666666663	0.5319148936170213	0.6086956521739131	0.5714285714285714	0.5853658536585367	0.6153846153846154
Mobile Source $ per Ton Estimate	0.4193548387096774	0.4411764705882353	0.627906976744186	0.46875	0.5862068965517242	0.5777777777777777	0.6666666666666667	0.5526315789473684	0.6216216216216216	0.6756756756756757	0.4482758620689655
Oil Imports: An Assessment of Benefits and Costs	0.46875	0.5675675675675675	0.6590909090909092	0.6	0.04761904761904767	0.6382978723404256	0.5714285714285714	0.5897435897435898	0.5428571428571429	0.6388888888888888	0.5
Oil Improts: An Assessment of Benefits and Costs	0.46875	0.5675675675675675	0.6590909090909092	0.6	0.04761904761904767	0.6382978723404256	0.5714285714285714	0.5897435897435898	0.5428571428571429	0.6388888888888888	0.5
Perform Cost and Weight Analysis, Head Protection Air Bag Systems, FMVSS 201	0.46153846153846156	0.47619047619047616	0.4782608695652174	0.46153846153846156	0.5142857142857142	0.5576923076923077	0.4893617021276596	0.4285714285714286	0.368421052631579	0.5714285714285714	0.4
Perspectives on climate change and sustainability	0.4375	0.4571428571428572	0.5714285714285714	0.4375	0.5517241379310345	0.5555555555555556	0.5121951219512195	0.5263157894736843	0.47058823529411764	0.4375	0.4666666666666667
TAFV Alternative Fuels and Vehicles Choice Model Documentation	0.4242424242424242	0.4	0.5581395348837209	0.4242424242424242	0.5333333333333333	0.6326530612244898	0.5681818181818181	0.4736842105263158	0.4571428571428572	0.5142857142857142	0.4
Teardown Cost Estimates of Automotive Equipment Manufactured to Comply with Motor Vehicle Standard - FMVSS 214(D) - Side Impact Protection, Side Air Bag Features	0.37209302325581395	0.3555555555555555	0.46153846153846156	0.4444444444444444	0.5581395348837209	0.4821428571428571	0.38	0.41666666666666663	0.4	0.5416666666666667	0.3902439024390244
Transportation Sector Module of the National Energy Modeling System: Model Documentation 2007	0.1875	0.368421052631579	0.48888888888888893	0.43243243243243246	0.5714285714285714	0.4130434782608695	0.5625	0.4390243902439024	0.5365853658536586	0.55	0.36363636363636365
U.S. Automotive Industry Employment Trends	0.40625	0.5135135135135135	0.5813953488372092	0.5	0.5172413793103448	0.5333333333333333	0.6222222222222222	0.5384615384615384	0.5277777777777778	0.5833333333333333	0.4838709677419355
Vehicle Survivability and Travel Mileage Schedules	0.4375	0.4117647058823529	0.6046511627906976	0.27586206896551724	0.6875	0.5555555555555556	0.6444444444444444	0.5263157894736843	0.5142857142857142	0.5294117647058824	0.5161290322580645
Vehicle Survivability and Travel Mileage Schedules	0.4375	0.4117647058823529	0.6046511627906976	0.27586206896551724	0.6875	0.5555555555555556	0.6444444444444444	0.5263157894736843	0.5142857142857142	0.5294117647058824	0.5161290322580645
Vehicle Weight, Fatality Risk and Crash Compatibility of Model Year 1991-99 Passenger Cars and Light Trucks	0.47619047619047616	0.3414634146341463	0.42553191489361697	0.4390243902439024	0.6	0.4807692307692307	0.4042553191489362	0.40909090909090906	0.5	0.5454545454545454	0.46153846153846156
Staff Report: Initial Statement of Reasons	0.4666666666666667	0.48484848484848486	0.6341463414634146	0.6060606060606061	0.34782608695652173	0.6444444444444444	0.6097560975609756	0.631578947368421	0.6666666666666667	0.6470588235294117	0.5517241379310345
Peer Review Report Summary: Estimating the Energy Security Benefits of Reduced U.S. Oil Imports	0.3783783783783784	0.4	0.5106382978723405	0.42105263157894735	0.47058823529411764	0.4042553191489362	0.4565217391304348	0.4651162790697675	0.41025641025641024	0.42105263157894735	0.4864864864864865
Reducing Greenhouse Gas Emissions from Light-Duty Motor Vehicles	0.38235294117647056	0.36111111111111116	0.5555555555555556	0.38235294117647056	0.6176470588235294	0.5106382978723405	0.5652173913043479	0.5121951219512195	0.45945945945945943	0.4722222222222222	0.40625
Variable Costs of Fuel Economy Technologies	0.4242424242424242	0.303030303030303	0.6222222222222222	0.375	0.5806451612903225	0.574468085106383	0.5681818181818181	0.4736842105263158	0.5	0.5945945945945945	0.4
Does Britain or the U.S. Have the Right Gasoline Tax?	0.6052631578947368	0.575	0.6304347826086957	0.5675675675675675	0.6764705882352942	0.6122448979591837	0.6666666666666667	0.5952380952380952	0.625	0.5277777777777778	0.6756756756756757
How to make a car lighter and safer	0.5	0.5945945945945945	0.55	0.5454545454545454	0.5185185185185186	0.6304347826086957	0.5609756097560976	0.5789473684210527	0.5714285714285714	0.5	0.5333333333333333
National Household Transportation Survey	0.4193548387096774	0.5277777777777778	0.525	0.46875	0.5862068965517242	0.5777777777777777	0.6666666666666667	0.5526315789473684	0.6216216216216216	0.5588235294117647	0.5483870967741935
Note on Strategic Cost Dynamics	0.4666666666666667	0.5294117647058824	0.6976744186046512	0.6060606060606061	0.5925925925925926	0.6739130434782609	0.7045454545454546	0.5142857142857142	0.6285714285714286	0.6060606060606061	0.4444444444444444
Regulatory Analysis 	0.5333333333333333	0.5882352941176471	0.6829268292682926	0.48275862068965514	0.56	0.6888888888888889	0.6585365853658536	0.6486486486486487	0.6060606060606061	0.48275862068965514	0.5185185185185186
The Economics of Energy Security: Theory, Evidence, Policy	0.29032258064516125	0.37142857142857144	0.5348837209302326	0.34375	0.5483870967741935	0.5217391304347826	0.5454545454545454	0.4871794871794872	0.4722222222222222	0.4411764705882353	0.4193548387096774
The Value of Saving Travel Time: Departmental Guidance for Conducting Economic Evaluations	0.303030303030303	0.2857142857142857	0.5333333333333333	0.4	0.5	0.5510204081632653	0.5111111111111111	0.44999999999999996	0.55	0.4864864864864865	0.375
Toward Cost Buydown via Learning-by-Doing for Environmental Energy Technologies	0.41666666666666663	0.3513513513513513	0.5434782608695652	0.41666666666666663	0.5588235294117647	0.46808510638297873	0.5217391304347826	0.5	0.4871794871794872	0.5	0.4411764705882353
Unpublished analysis of R.L. Polk vehicle registration data	0.5135135135135135	0.4473684210526315	0.4883720930232558	0.4285714285714286	0.6176470588235294	0.4444444444444444	0.4651162790697675	0.475	0.5	0.38235294117647056	0.5428571428571429
Vehicle Use and Fuel Economy: How Big is the Rebound Effect	0.4864864864864865	0.42105263157894735	0.5957446808510638	0.4444444444444444	0.5882352941176471	0.5510204081632653	0.5434782608695652	0.5238095238095238	0.5128205128205128	0.4864864864864865	0.47058823529411764
Joint Press Release of the Council of Economic Advisors, the Department of the Treasury, and the Office of Management and Budget	0.3055555555555556	0.33333333333333337	0.5208333333333333	0.3055555555555556	0.4411764705882353	0.41666666666666663	0.5	0.40476190476190477	0.3846153846153846	0.4358974358974359	0.32352941176470584
National Vehicle Population Profile, 1977-2003	0.5789473684210527	0.6190476190476191	0.3589743589743589	0.6153846153846154	0.6470588235294117	0.5625	0.5555555555555556	0.6046511627906976	0.6341463414634146	0.65	0.6486486486486487
Transportation Energy Data Book: Edition 26	0.48484848484848486	0.5789473684210527	0.6956521739130435	0.6111111111111112	0.5517241379310345	0.6170212765957447	0.6739130434782609	0.5641025641025641	0.5555555555555556	0.5714285714285714	0.5625
49 USC 32902(f)	0.9210526315789473	0.9024390243902439	0.8409090909090909	0.9210526315789473	0.9	0.8571428571428572	0.8695652173913043	0.8809523809523809	0.9512195121951219	0.9487179487179487	0.8787878787878788
71 Fed Reg 17566, 17669-70	0.868421052631579	0.8536585365853658	0.7674418604651163	0.8378378378378378	0.8709677419354839	0.8163265306122449	0.7727272727272727	0.8604651162790697	0.8157894736842105	0.8378378378378378	0.8181818181818181
71 FR 17596-97	0.972972972972973	0.9230769230769231	0.8571428571428572	0.9444444444444444	0.9655172413793104	0.9183673469387755	0.8604651162790697	0.9523809523809523	0.9189189189189189	0.9444444444444444	0.9375
71 FR 77871	0.9705882352941176	0.9166666666666666	0.9024390243902439	0.9393939393939394	0.9615384615384616	0.9130434782608696	0.8780487804878049	0.9487179487179487	0.9428571428571428	0.9393939393939394	0.9310344827586207
71 FR 77871 	0.9705882352941176	0.9166666666666666	0.9024390243902439	0.9393939393939394	0.9615384615384616	0.9130434782608696	0.8780487804878049	0.9487179487179487	0.9428571428571428	0.9393939393939394	0.9310344827586207
71 FR 77872	0.9714285714285714	0.9189189189189189	0.8780487804878049	0.9411764705882353	0.962962962962963	0.8913043478260869	0.8536585365853658	0.95	0.9142857142857143	0.9411764705882353	0.9333333333333333
72 FR 23899	0.9722222222222222	0.9210526315789473	0.8536585365853658	0.9428571428571428	0.9642857142857143	0.8695652173913043	0.8837209302325582	0.9512195121951219	0.9166666666666666	0.9428571428571428	0.935483870967742
Federal Register Vol. 72, #83	0.6842105263157895	0.65	0.6046511627906976	0.6111111111111112	0.6451612903225806	0.6170212765957447	0.6136363636363636	0.6341463414634146	0.5555555555555556	0.6486486486486487	0.6470588235294117
Fuel Economy Labeling of Motor Vehicles: Revisions to Improve Calculations of Fuel Economy Estimates 	0.38888888888888884	0.12121212121212122	0.5833333333333333	0.38888888888888884	0.5294117647058824	0.47916666666666663	0.4666666666666667	0.5116279069767442	0.42105263157894735	0.55	0.4117647058823529
Corporate Average Fuel Economy and CAFE Reform for MY 2008-2011 Light Trucks	0.4390243902439024	0.38095238095238093	0.42553191489361697	0.4390243902439024	0.6	0.3877551020408163	0.4375	0.5106382978723405	0.4651162790697675	0.5454545454545454	0.42105263157894735
Oil Prices, Energy Security, and Import Policy 	0.32258064516129037	0.4444444444444444	0.5909090909090908	0.4242424242424242	0.4285714285714286	0.5111111111111111	0.5681818181818181	0.4736842105263158	0.4117647058823529	0.5142857142857142	0.3448275862068966
Learning Curves in Manufacturing 	0.59375	0.5151515151515151	0.6904761904761905	0.5483870967741935	0.6296296296296297	0.6666666666666667	0.6666666666666667	0.6216216216216216	0.6176470588235294	0.6363636363636364	0.5357142857142857
The Effect of Annual Changes in Automobile Fuel Economy Standards	0.3125	0.34285714285714286	0.5777777777777777	0.3125	0.5161290322580645	0.5319148936170213	0.5227272727272727	0.46153846153846156	0.4864864864864865	0.5405405405405406	0.27586206896551724
An Overlapping Choice Set Model of Automotive Price Elasticities	0.33333333333333337	0.4054054054054054	0.5227272727272727	0.33333333333333337	0.43333333333333335	0.5106382978723405	0.5	0.475	0.41666666666666663	0.5135135135135135	0.30000000000000004
The marginal damage costs of carbon dioxide emissions: an assessment of the uncertainties	0.3870967741935484	0.4571428571428572	0.6046511627906976	0.4375	0.5	0.5869565217391304	0.5476190476190477	0.5641025641025641	0.5945945945945945	0.5294117647058824	0.5161290322580645
The Demand for Vehicle Use in the Urban Household Sector: Theory and Empirical Evidence	0.32352941176470584	0.3055555555555556	0.5111111111111111	0.37142857142857144	0.5588235294117647	0.5	0.5833333333333333	0.46341463414634143	0.5609756097560976	0.5	0.4411764705882353
Gasoline Price Expectations and the Used Automobile Market: A Rational Expectations Asset Price Approach	0.4444444444444444	0.5	0.5652173913043479	0.4864864864864865	0.5454545454545454	0.5510204081632653	0.4772727272727273	0.5581395348837209	0.55	0.4	0.5142857142857142
Fuel Economy Rebound Effect for U.S. Household Vehicles	0.5	0.43243243243243246	0.5454545454545454	0.4117647058823529	0.6470588235294117	0.5319148936170213	0.5869565217391304	0.5	0.5263157894736843	0.5789473684210527	0.48484848484848486
Market Price and Income Elasticities of New Vehicle Demands	0.3939393939393939	0.5	0.5348837209302326	0.5277777777777778	0.5483870967741935	0.5833333333333333	0.5777777777777777	0.4871794871794872	0.4722222222222222	0.5277777777777778	0.5151515151515151
Energy and Security: Externalities and Policies	0.4193548387096774	0.5277777777777778	0.6590909090909092	0.46875	0.5862068965517242	0.6382978723404256	0.6363636363636364	0.5526315789473684	0.5428571428571429	0.46875	0.4482758620689655
The Production Recipes Approach to Modeling Technological Innovation: An Application to Learning by Doing	0.32352941176470584	0.3055555555555556	0.5434782608695652	0.37142857142857144	0.5588235294117647	0.5	0.48888888888888893	0.5348837209302326	0.4473684210526315	0.37142857142857144	0.48571428571428577
Causal Influence of Car Mass and Size on Driver Fatality Risk	0.4571428571428572	0.38888888888888884	0.6086956521739131	0.4571428571428572	0.5625	0.5625	0.5555555555555556	0.46153846153846156	0.5641025641025641	0.5	0.3870967741935484
