	The Behavioral Economics of Retirement Savings Behavior, AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows,	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,656,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 8,398,000 hours in the first year; 5,776,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,541,000 for the first year; $493,242,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and 1. The authority citation for part 2550 is revised to read as follows:	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sec. 2550.404c–1 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR, 1978 Comp. p. 332, effective Dec. 31, 1978, 44 FR	Add § 2550.408g–1 to read as follows:	Section 408(g)(1) of the Employee Retirement Income Security Advice Exemption Notification— Statutory, U.S. Department of Labor, Employee Benefits Security Administration, Room N–1513, 200 Constitution Ave.,	For purposes of paragraph (j)(6)(i) Signed at Washington, DC, this 15th day of August,
Intermediated Investment Management	0.8350515463917526	0.8222222222222222	0.9321663019693655	0.88	0.8235294117647058	0.9439024390243902	0.9459459459459459	0.8840579710144928	0.8604651162790697
Investment Advice Survey 2001	0.845360824742268	0.8444444444444444	0.9474835886214442	0.908	0.8823529411764706	0.9560975609756097	0.918918918918919	0.8840579710144928	0.8953488372093024
Investment Mistakes of Individual Investors and the Impact of Financial Advice	0.7938144329896907	0.7692307692307693	0.8774617067833698	0.816	0.8461538461538461	0.9048780487804878	0.8461538461538461	0.8309178743961353	0.8604651162790697
Investor Behavior in the Mutual Fund Industry: Evidence from Gross Flows	0.8041237113402062	0.7638888888888888	0.8905908096280087	0.836	0.8333333333333334	0.9097560975609756	0.8055555555555556	0.8454106280193237	0.8255813953488372
Investor Profile and Asset Allocation Advice	0.7835051546391752	0.8666666666666667	0.9212253829321663	0.872	0.75	0.9317073170731708	0.9090909090909091	0.8647342995169082	0.8023255813953488
Investor Timing and Fund Distribution Channels	0.7938144329896907	0.8913043478260869	0.9190371991247265	0.864	0.7647058823529411	0.9341463414634147	0.8913043478260869	0.8647342995169082	0.7906976744186046
Life-Cycle Funds	0.9278350515463918	0.8	0.973741794310722	0.944	0.9117647058823529	0.973170731707317	0.918918918918919	0.9468599033816425	0.9186046511627907
Non-Market Wealth, Background Risk and Portfolio Choice	0.8247422680412371	0.8363636363636363	0.9168490153172867	0.86	0.8088235294117647	0.9146341463414634	0.8181818181818182	0.8647342995169082	0.8255813953488372
Optimal Asset Location and Allocation with Taxable and Tax-Deferred Investing	0.8144329896907216	0.8051948051948052	0.888402625820569	0.832	0.8961038961038961	0.9024390243902439	0.8311688311688312	0.8164251207729468	0.8488372093023255
Personalized Retirement Advice and Managed Accounts: Who Uses Them and How Does Advice Affect Behavior in 401(k) Plans?	0.7815126050420168	0.8319327731092437	0.8555798687089715	0.792	0.7899159663865546	0.8682926829268293	0.8487394957983193	0.748792270531401	0.8151260504201681
Portfolio Allocation Choices in Taxable and Tax-Deferred Accounts: An Empirical Analysis of Tax-Efficiency	0.8113207547169812	0.8301886792452831	0.8599562363238512	0.8	0.839622641509434	0.8853658536585366	0.8773584905660378	0.8019323671497585	0.8113207547169812
Portfolio Transactions Costs at U.S. Equity Mutual Funds	0.7938144329896907	0.75	0.9059080962800875	0.848	0.8676470588235294	0.9243902439024391	0.875	0.8357487922705314	0.7558139534883721
Regulating Markets for Retirement Payouts: Solvency, Supervision, and Credibility	0.711340206185567	0.7901234567901234	0.8818380743982495	0.812	0.8395061728395061	0.9024390243902439	0.8518518518518519	0.8019323671497585	0.8488372093023255
Survey Findings: Hot Topics in Retirement, 2007	0.8041237113402062	0.8085106382978723	0.9212253829321663	0.864	0.8382352941176471	0.926829268292683	0.8936170212765957	0.8599033816425121	0.8372093023255814
The Economics of Mutual-Fund Brokerage: Evidence from the Cross Section of Investment Channels	0.7628865979381443	0.776595744680851	0.8665207877461707	0.812	0.7872340425531915	0.8853658536585366	0.8617021276595744	0.8019323671497585	0.8085106382978723
The Economics of Providing 401(k) Plans: Services, Fees and Expenses 2006	0.711340206185567	0.726027397260274	0.8949671772428884	0.836	0.8493150684931506	0.9024390243902439	0.8356164383561644	0.8309178743961353	0.7906976744186046
The Efficiency of Pension Plan Investment Menus: Investment Choices in Defined Contribution Pension Plans	0.7428571428571429	0.7428571428571429	0.8468271334792122	0.752	0.7619047619047619	0.8804878048780488	0.8761904761904762	0.7777777777777778	0.8
The NUA Benefit and Optimal Investment in Company Stock in 401(k) Accounts	0.7731958762886598	0.7567567567567568	0.8862144420131292	0.804	0.8243243243243243	0.9073170731707317	0.8513513513513513	0.8067632850241546	0.8023255813953488
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.7525773195876289	0.75	0.8796498905908097	0.816	0.8421052631578947	0.9073170731707317	0.8421052631578947	0.8260869565217391	0.7674418604651163
The Role of Company Stock in 401(k) Plans	0.7731958762886598	0.6888888888888889	0.9387308533916849	0.896	0.8235294117647058	0.9365853658536586	0.8536585365853658	0.8743961352657005	0.8023255813953488
The Role of Company Stock in Defined Contribution Plans	0.7422680412371134	0.7272727272727273	0.912472647702407	0.86	0.7205882352941176	0.9170731707317074	0.8181818181818182	0.8309178743961353	0.7325581395348837
Transfer Activity in 401(k) Plans	0.8041237113402062	0.7777777777777778	0.9474835886214442	0.916	0.8088235294117647	0.9463414634146341	0.8648648648648649	0.9033816425120773	0.8372093023255814
Why Do Mutual Fund Investors Use Professional Financial Advisers?	0.7938144329896907	0.7384615384615385	0.8927789934354485	0.824	0.8529411764705882	0.9097560975609756	0.8	0.8405797101449275	0.8023255813953488
Winners and Losers: 401(k) Trading and Portfolio Performance	0.7938144329896907	0.8333333333333334	0.9037199124726477	0.852	0.8529411764705882	0.9024390243902439	0.7833333333333333	0.855072463768116	0.8023255813953488
Yet Another Puzzle? Relation Between Price and Performance in the Mutual Fund Industry	0.8350515463917526	0.6976744186046512	0.8687089715536105	0.792	0.8023255813953488	0.8975609756097561	0.8372093023255814	0.7922705314009661	0.8255813953488372
Company Stock in Pension Plans: How Costly Is It?	0.7835051546391752	0.8367346938775511	0.9234135667396062	0.86	0.8529411764705882	0.9243902439024391	0.8163265306122449	0.8599033816425121	0.8023255813953488
Asset Allocation and Asset Location: Household Evidence from the Survey of Consumer Finances	0.8144329896907216	0.7934782608695652	0.8687089715536105	0.8	0.8043478260869565	0.8902439024390244	0.8478260869565217	0.7777777777777778	0.8586956521739131
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industry	0.8041237113402062	0.6197183098591549	0.8796498905908097	0.824	0.8873239436619719	0.9024390243902439	0.8309859154929577	0.8309178743961353	0.7906976744186046
Down or Out: Assessing the Welfare Costs of Household Investment Mistakes	0.7835051546391752	0.7808219178082192	0.8818380743982495	0.84	0.8493150684931506	0.9121951219512195	0.8082191780821918	0.8309178743961353	0.8488372093023255
Are Investors Rational? Choices Among Index Funds	0.7731958762886598	0.7551020408163265	0.9212253829321663	0.872	0.8529411764705882	0.9341463414634147	0.8775510204081632	0.8647342995169082	0.8023255813953488
Asset Location in Tax-Deferred and Conventional Savings Accounts	0.8041237113402062	0.734375	0.9059080962800875	0.844	0.8382352941176471	0.9146341463414634	0.828125	0.8357487922705314	0.8023255813953488
The Adequacy of Investment Choices Offered By 401(k) Plans	0.7422680412371134	0.7241379310344828	0.9102844638949672	0.864	0.8235294117647058	0.9170731707317074	0.8103448275862069	0.855072463768116	0.8372093023255814
Out of Sight, Out of Mind, The Effects of Expenses on Mutual Fund Flows	0.8041237113402062	0.39436619718309857	0.8927789934354485	0.82	0.8450704225352113	0.9146341463414634	0.8169014084507042	0.8260869565217391	0.813953488372093
Individual Account Investment Options and Portfolio Choice: Behavioral Lessons from 401(k) Plans	0.8041237113402062	0.8333333333333334	0.87527352297593	0.804	0.8333333333333334	0.8951219512195122	0.8333333333333334	0.7922705314009661	0.8645833333333334
The Use and Abuse of Mutual Fund Expenses	0.8041237113402062	0.5111111111111111	0.9299781181619255	0.9	0.8382352941176471	0.9341463414634147	0.8536585365853658	0.8792270531400966	0.813953488372093
Are Stocks Desirable in Tax-Deferred Accounts?	0.8041237113402062	0.782608695652174	0.9277899343544858	0.88	0.8382352941176471	0.9365853658536586	0.8478260869565217	0.8840579710144928	0.813953488372093
Manager-Investor Conflicts in Mutual Funds	0.8144329896907216	0.6444444444444445	0.9321663019693655	0.88	0.8529411764705882	0.9390243902439024	0.9047619047619048	0.8792270531400966	0.813953488372093
Why Does the Law of One Price Fail? An Experiment on Index Mutual Funds	0.7731958762886598	0.676056338028169	0.8927789934354485	0.836	0.8873239436619719	0.9097560975609756	0.8591549295774648	0.821256038647343	0.7906976744186046
Product Differentiation, Search Costs, and Competition in the Mutual Fund Industry: A Case Study of S&P 500 Index Funds	0.8235294117647058	0.773109243697479	0.8358862144420132	0.764	0.8151260504201681	0.8682926829268293	0.8739495798319328	0.7777777777777778	0.7983193277310925
