	We are chronically sleep deprived.	Circadian rhythms in the secretion of cortisol, adrenaline and noradrenaline.	Sleepiness as a consequence of shift work.	Concepts and Models of Sleep Regulation: An overview&quot;,	Homeostatic and circadian components of sUbjective alertness interact in a non-additive manner&quot;,	Bimodal distribution of REM sleep latency during forced desynchrony: model implications&quot;,	Review of fatigue detection and prediction technologies._	Effects of loading and unloading cargo on commercial truck driver alertness and performance~ Federal Motor Carrier Safety Administration FMCSA	Pay for Safety: An Economic Alternative for Truck Driver Safety&quot;,	Commercial Motor Vehicle Driver Fatigue, Alertness, and Countermeasures Survey.&quot; Sponsored by U.S. Department of Transportation, Federal Highway Administration.	A Survey of Owner-Operators and Company Drivers on their Use of Three New 'Hours of Service Features,'&quot; OOIDA Foundation,	A Survey of Private Fleets on their Use of Three New 'Hours of Service Features,'&quot;	06 P a 00 00 I' IS 00 os , Ii 00 i~l 1. ________ ~ ____ . ___ .. _ .1 The 'regular' driver, in addition to showing a higher overall effectiveness, also shows much less
Costs of Large Truck-and-Bus Involved Crashes	0.4	0.33333333333333337	0.34883720930232553	0.37254901960784315	0.3877551020408163	0.3846153846153846	0.28888888888888886	0.31999999999999995	0.43999999999999995	0.4	0.38983050847457623	0.4339622641509434	0.33333333333333337
Effects of loading and unloading cargo on commercial truck driver alertness and performance	0.29729729729729726	0.28205128205128205	0.25	0.29166666666666663	0.26086956521739135	0.26530612244897955	0.19047619047619047	0.14893617021276595	0.3191489361702128	0.368421052631579	0.4285714285714286	0.43999999999999995	0.33333333333333337
Effects of operating practices on commercial driver alertness	0.2571428571428571	0.2432432432432432	0.3157894736842105	0.30434782608695654	0.2727272727272727	0.276595744680851	0.19999999999999996	0.19999999999999996	0.37777777777777777	0.38181818181818183	0.4444444444444444	0.45833333333333337	0.34693877551020413
Effects of sleep schedules on commercial motor vehicle driver performance	0.2222222222222222	0.21052631578947367	0.23076923076923073	0.3191489361702128	0.24444444444444446	0.25	0.1707317073170732	0.21739130434782605	0.34782608695652173	0.3571428571428571	0.38181818181818183	0.3877551020408163	0.31999999999999995
FMCSA's Strategy	0.6129032258064516	0.5151515151515151	0.5882352941176471	0.47619047619047616	0.7	0.5813953488372092	0.6111111111111112	0.36585365853658536	0.6097560975609756	0.4901960784313726	0.52	0.5	0.6
Impact of LocaiiSH Operations on Driver Fatigue: Final Report	0.4418604651162791	0.4222222222222223	0.34782608695652173	0.2962962962962963	0.34615384615384615	0.34545454545454546	0.29166666666666663	0.28301886792452835	0.3584905660377359	0.33333333333333337	0.32258064516129037	0.3928571428571429	0.368421052631579
Literature Review Relating to Proposed Revisions to the Hours of Service Regulation for Commercial Motor Vehicle Drivers	0.3913043478260869	0.33333333333333337	0.30612244897959184	0.22807017543859653	0.34545454545454546	0.31034482758620685	0.21568627450980393	0.25	0.3928571428571429	0.21212121212121215	0.32307692307692304	0.35593220338983056	0.30000000000000004
National Institute of Health website	0.47058823529411764	0.38888888888888884	0.29729729729729726	0.4666666666666667	0.39534883720930236	0.4347826086956522	0.33333333333333337	0.5	0.5454545454545454	0.4444444444444444	0.4339622641509434	0.36170212765957444	0.41666666666666663
Unit Costs of Medium and Heavy Truck Crashes	0.35	0.23809523809523814	0.34883720930232553	0.37254901960784315	0.30612244897959184	0.34615384615384615	0.33333333333333337	0.24	0.36	0.2666666666666667	0.288135593220339	0.3207547169811321	0.37037037037037035
Wage Adjustments in Local Labor Markets: Do the Wage Rates in all Industries Adjust?	0.4222222222222223	0.4042553191489362	0.41666666666666663	0.3571428571428571	0.40740740740740744	0.29824561403508776	0.36	0.34545454545454546	0.4181818181818182	0.3846153846153846	0.46875	0.5172413793103448	0.423728813559322
Employer Costs for Employee Compensation, December 2009	0.4	0.23809523809523814	0.39534883720930236	0.4117647058823529	0.34693877551020413	0.3076923076923077	0.4222222222222223	0.31999999999999995	0.36	0.3666666666666667	0.423728813559322	0.4716981132075472	0.4444444444444444
Large Truck and Bus Crash Facts 200S	0.5263157894736843	0.44999999999999996	0.41463414634146345	0.4693877551020408	0.574468085106383	0.48	0.4418604651162791	0.375	0.5416666666666667	0.4482758620689655	0.4736842105263158	0.4901960784313726	0.42307692307692313
Pay for Safety: An Economic Alternative for Truck Driver Safety	0.44999999999999996	0.38095238095238093	0.34883720930232553	0.37254901960784315	0.4285714285714286	0.3846153846153846	0.4222222222222223	0.24	0.07999999999999996	0.3666666666666667	0.38983050847457623	0.3207547169811321	0.37037037037037035
Preliminary Regulatory Evaluation and Regulatory Flexibility Act Analysis, Hours of Service NPRM	0.44680851063829785	0.34693877551020413	0.43999999999999995	0.27586206896551724	0.3214285714285714	0.2542372881355932	0.34615384615384615	0.19298245614035092	0.29824561403508776	0.25373134328358204	0.33333333333333337	0.2666666666666667	0.34426229508196726
Review of fatigue detection and prediction technologies	0.2432432432432432	0.28205128205128205	0.19999999999999996	0.20833333333333337	0.30434782608695654	0.26530612244897955	0.04761904761904767	0.276595744680851	0.44680851063829785	0.33333333333333337	0.3928571428571429	0.36	0.2941176470588235
supporting statement for the HOS Information Collection Request	0.41463414634146345	0.3023255813953488	0.2272727272727273	0.2692307692307693	0.31999999999999995	0.28301886792452835	0.26086956521739135	0.2941176470588235	0.4117647058823529	0.3114754098360656	0.30000000000000004	0.37037037037037035	0.34545454545454546
Table of Small Business Size Standards matched to North American Industry Classification System (NAICS) codes	0.4222222222222223	0.276595744680851	0.375	0.3928571428571429	0.40740740740740744	0.33333333333333337	0.4	0.3090909090909091	0.38181818181818183	0.32307692307692304	0.3125	0.3448275862068966	0.35593220338983056
The effects of sleep schedules on commercial motor vehicle driver performance	0.2222222222222222	0.21052631578947367	0.23076923076923073	0.3191489361702128	0.24444444444444446	0.29166666666666663	0.1707317073170732	0.26086956521739135	0.34782608695652173	0.3214285714285714	0.34545454545454546	0.34693877551020413	0.28
A Review of the Federal Motor Carrier Safety Administration's Economic Analysis for its Proposed Hours of Service Standard	0.36170212765957444	0.30612244897959184	0.31999999999999995	0.24137931034482762	0.3571428571428571	0.288135593220339	0.2692307692307693	0.1578947368421053	0.33333333333333337	0.22388059701492535	0.24242424242424243	0.23333333333333328	0.3114754098360656
A Survey of Owner-Operators and Company Drivers on their Use of Three New 'Hours of Service Features	0.41666666666666663	0.36	0.37254901960784315	0.35593220338983056	0.33333333333333337	0.43333333333333335	0.3584905660377359	0.27586206896551724	0.3793103448275862	0.20588235294117652	0.07462686567164178	0.21311475409836067	0.3548387096774194
A Survey of Private Fleets on their Use of Three New 'Hours of Service Features	0.39534883720930236	0.37777777777777777	0.30434782608695654	0.37037037037037035	0.3846153846153846	0.4545454545454546	0.33333333333333337	0.3207547169811321	0.3207547169811321	0.2698412698412699	0.22580645161290325	0.0714285714285714	0.29824561403508776
A survey of subjective sleep length of shift workers based on time of day of sleep onset	0.2857142857142857	0.2727272727272727	0.24444444444444446	0.28301886792452835	0.2549019607843137	0.2592592592592593	0.19148936170212771	0.1923076923076923	0.34615384615384615	0.25806451612903225	0.34426229508196726	0.34545454545454546	0.3214285714285714
Empty Seats and Musical Chairs: Critical Success Factors in Truck Driver Retention	0.33333333333333337	0.3191489361702128	0.33333333333333337	0.2857142857142857	0.40740740740740744	0.26315789473684215	0.31999999999999995	0.1636363636363637	0.2727272727272727	0.2615384615384615	0.3125	0.3793103448275862	0.38983050847457623
Empty Seats and Musical Chairs: Critical Success Factors in Truck Driver Retention	0.33333333333333337	0.3191489361702128	0.33333333333333337	0.2857142857142857	0.40740740740740744	0.26315789473684215	0.31999999999999995	0.1636363636363637	0.2727272727272727	0.2615384615384615	0.3125	0.3793103448275862	0.38983050847457623
Exploratory analysis of motor carrier accident risk and daily driving patterns	0.26315789473684215	0.25	0.31707317073170727	0.34693877551020413	0.3191489361702128	0.28	0.2558139534883721	0.16666666666666663	0.33333333333333337	0.3793103448275862	0.4385964912280702	0.4509803921568627	0.3846153846153846
Fatigue, Sleepiness and Medical Errors, for the Agency for Health Care Research and Quality	0.37777777777777777	0.276595744680851	0.33333333333333337	0.2142857142857143	0.37037037037037035	0.22807017543859653	0.28	0.1636363636363637	0.38181818181818183	0.23076923076923073	0.3125	0.31034482758620685	0.38983050847457623
Hours of Service Impact Assessment	0.38888888888888884	0.368421052631579	0.28205128205128205	0.3191489361702128	0.28888888888888886	0.41666666666666663	0.31707317073170727	0.26086956521739135	0.34782608695652173	0.3571428571428571	0.3090909090909091	0.34693877551020413	0.36
Let it Be Palletized: A Portrait of Truck Drivers' Work and Lives	0.39534883720930236	0.4222222222222223	0.3913043478260869	0.37037037037037035	0.42307692307692313	0.4181818181818182	0.375	0.3584905660377359	0.28301886792452835	0.4285714285714286	0.4193548387096774	0.3571428571428571	0.368421052631579
Modeling the safety of truck driver service hours using timedependent logistic regression.	0.19999999999999996	0.19047619047619047	0.2093023255813954	0.2941176470588235	0.30612244897959184	0.23076923076923073	0.15555555555555556	0.16000000000000003	0.36	0.2666666666666667	0.38983050847457623	0.39622641509433965	0.2962962962962963
Oregelbunndna arbetstider: Sammanfattning av en undersokning av turlistetidsarbetande lokforare.	0.3846153846153846	0.31707317073170727	0.2857142857142857	0.31999999999999995	0.33333333333333337	0.33333333333333337	0.2727272727272727	0.26530612244897955	0.34693877551020413	0.35593220338983056	0.4482758620689655	0.46153846153846156	0.3207547169811321
Qualcomm reported sales	0.3548387096774194	0.33333333333333337	0.3529411764705882	0.4285714285714286	0.35	0.39534883720930236	0.33333333333333337	0.36585365853658536	0.5121951219512195	0.4901960784313726	0.52	0.5454545454545454	0.4666666666666667
The Determinants of Job Satisfaction of Professional Drivers	0.368421052631579	0.30000000000000004	0.31707317073170727	0.4285714285714286	0.36170212765957444	0.4	0.34883720930232553	0.375	0.29166666666666663	0.3448275862068966	0.4035087719298246	0.33333333333333337	0.3076923076923077
Truck Costing Model for Transportation Managers	0.3513513513513513	0.28205128205128205	0.25	0.25	0.34782608695652173	0.30612244897959184	0.23809523809523814	0.19148936170212771	0.4042553191489362	0.33333333333333337	0.4285714285714286	0.43999999999999995	0.37254901960784315
Wage and Employment Adjustment in Local Labor Markets	0.33333333333333337	0.36363636363636365	0.37777777777777777	0.3584905660377359	0.33333333333333337	0.2592592592592593	0.36170212765957444	0.1923076923076923	0.3846153846153846	0.3548387096774194	0.47540983606557374	0.49090909090909096	0.4642857142857143
Evidence of fatigue and the circadian rhythm in the accident experience	0.29729729729729726	0.28205128205128205	0.35	0.375	0.34782608695652173	0.26530612244897955	0.23809523809523814	0.23404255319148937	0.36170212765957444	0.368421052631579	0.3928571428571429	0.43999999999999995	0.37254901960784315
Motor Carrier Annual Report	0.4375	0.4117647058823529	0.37142857142857144	0.3023255813953488	0.46341463414634143	0.40909090909090906	0.3513513513513513	0.33333333333333337	0.47619047619047616	0.46153846153846156	0.5294117647058824	0.5111111111111111	0.5652173913043479
The 2000 TTS Blue Book of Trucking Companies	0.4	0.33333333333333337	0.2558139534883721	0.37254901960784315	0.4285714285714286	0.34615384615384615	0.33333333333333337	0.28	0.4	0.3666666666666667	0.423728813559322	0.4339622641509434	0.33333333333333337
The Costs of Driver Turnover	0.4375	0.3529411764705882	0.37142857142857144	0.4418604651162791	0.46341463414634143	0.5	0.3513513513513513	0.4285714285714286	0.4285714285714286	0.42307692307692313	0.4117647058823529	0.4222222222222223	0.4347826086956522
The diffusion of hybrid seed corn in two Iowa communities	0.3513513513513513	0.23076923076923073	0.30000000000000004	0.41666666666666663	0.34782608695652173	0.30612244897959184	0.2857142857142857	0.36170212765957444	0.4042553191489362	0.33333333333333337	0.3214285714285714	0.36	0.2941176470588235
Trucking Activity Report	0.4117647058823529	0.5	0.4054054054054054	0.37777777777777777	0.4883720930232558	0.4347826086956522	0.33333333333333337	0.31818181818181823	0.36363636363636365	0.4444444444444444	0.4716981132075472	0.44680851063829785	0.5
What Matters to Drivers	0.33333333333333337	0.4375	0.4545454545454546	0.5121951219512195	0.5384615384615384	0.5238095238095238	0.4285714285714286	0.5	0.55	0.52	0.5510204081632653	0.5348837209302326	0.5454545454545454
A case control study of heavy vehicle drivers' working time and safety	0.30000000000000004	0.23809523809523814	0.2558139534883721	0.2941176470588235	0.34693877551020413	0.3076923076923077	0.19999999999999996	0.19999999999999996	0.31999999999999995	0.30000000000000004	0.3220338983050848	0.28301886792452835	0.2592592592592593
2006 HOS Survey Results	0.5757575757575757	0.6	0.5555555555555556	0.5454545454545454	0.5714285714285714	0.6	0.5263157894736843	0.5348837209302326	0.5813953488372092	0.5849056603773585	0.5769230769230769	0.5217391304347826	0.5319148936170213
Work Schedules Before and After 2004 Hours-of- Service Rule Change and Predictors of Reported Rule Violations in 2004: Survey of Long-Distance Truck Drivers	0.40740740740740744	0.4285714285714286	0.4035087719298246	0.32307692307692304	0.4285714285714286	0.36363636363636365	0.35593220338983056	0.3125	0.34375	0.29729729729729726	0.34246575342465757	0.3731343283582089	0.38235294117647056
conversation with Qualcomm sales representative, Angelo Matera, and FMCSA	0.34883720930232553	0.28888888888888886	0.30434782608695654	0.18518518518518523	0.34615384615384615	0.3090909090909091	0.25	0.16981132075471694	0.39622641509433965	0.2063492063492064	0.29032258064516125	0.3214285714285714	0.29824561403508776
SIC 4123 trucking except local	0.4871794871794872	0.46341463414634143	0.33333333333333337	0.4	0.5	0.4901960784313726	0.40909090909090906	0.34693877551020413	0.4693877551020408	0.4915254237288136	0.5172413793103448	0.5384615384615384	0.4339622641509434
Electronic On-Board Recorders for Hours-of-Service Compliance	0.38095238095238093	0.31818181818181823	0.33333333333333337	0.28301886792452835	0.2549019607843137	0.2962962962962963	0.276595744680851	0.23076923076923073	0.3846153846153846	0.3548387096774194	0.3114754098360656	0.4181818181818182	0.3928571428571429
nan	0.7894736842105263	0.8095238095238095	0.8181818181818181	0.8666666666666667	0.8571428571428572	0.8709677419354839	0.8333333333333334	0.8620689655172413	0.8620689655172413	0.8974358974358975	0.8947368421052632	0.875	0.8787878787878788
Docket 19608	0.7241379310344828	0.6774193548387097	0.625	0.75	0.736842105263158	0.7560975609756098	0.7058823529411764	0.6923076923076923	0.641025641025641	0.7551020408163265	0.75	0.7619047619047619	0.627906976744186
nan	0.7894736842105263	0.8095238095238095	0.8181818181818181	0.8666666666666667	0.8571428571428572	0.8709677419354839	0.8333333333333334	0.8620689655172413	0.8620689655172413	0.8974358974358975	0.8947368421052632	0.875	0.8787878787878788
nan	0.7894736842105263	0.8095238095238095	0.8181818181818181	0.8666666666666667	0.8571428571428572	0.8709677419354839	0.8333333333333334	0.8620689655172413	0.8620689655172413	0.8974358974358975	0.8947368421052632	0.875	0.8787878787878788
nan	0.7894736842105263	0.8095238095238095	0.8181818181818181	0.8666666666666667	0.8571428571428572	0.8709677419354839	0.8333333333333334	0.8620689655172413	0.8620689655172413	0.8974358974358975	0.8947368421052632	0.875	0.8787878787878788
nan	0.7894736842105263	0.8095238095238095	0.8181818181818181	0.8666666666666667	0.8571428571428572	0.8709677419354839	0.8333333333333334	0.8620689655172413	0.8620689655172413	0.8974358974358975	0.8947368421052632	0.875	0.8787878787878788
nan	0.7894736842105263	0.8095238095238095	0.8181818181818181	0.8666666666666667	0.8571428571428572	0.8709677419354839	0.8333333333333334	0.8620689655172413	0.8620689655172413	0.8974358974358975	0.8947368421052632	0.875	0.8787878787878788
Electronic On-Board Recorder RIA	0.4285714285714286	0.4054054054054054	0.4736842105263158	0.4347826086956522	0.4545454545454546	0.4042553191489362	0.4	0.4222222222222223	0.4666666666666667	0.5636363636363637	0.4814814814814815	0.5416666666666667	0.5102040816326531
Hours of Service of Drivers; Driver Rest and Sleep for Safe Operations	0.33333333333333337	0.36585365853658536	0.2857142857142857	0.24	0.25	0.33333333333333337	0.2272727272727273	0.30612244897959184	0.34693877551020413	0.3220338983050848	0.31034482758620685	0.34615384615384615	0.39622641509433965
Regulatory Impact Analysis and Small Business Impact Analysis for Hours of Service Options	0.34883720930232553	0.33333333333333337	0.34782608695652173	0.2592592592592593	0.3076923076923077	0.2727272727272727	0.25	0.2075471698113207	0.3584905660377359	0.3015873015873016	0.29032258064516125	0.3571428571428571	0.33333333333333337
Regulatory Impact Analysis and Small Business Impact Analysis for Hours of Service Options, in Final Rule, Hours of Service of Drivers	0.3913043478260869	0.33333333333333337	0.3877551020408163	0.26315789473684215	0.3090909090909091	0.27586206896551724	0.2941176470588235	0.2142857142857143	0.3214285714285714	0.24242424242424243	0.23076923076923073	0.3220338983050848	0.33333333333333337
Bimodal distribution of REM sleep latency during forced desynchrony: model implications	0.33333333333333337	0.2727272727272727	0.33333333333333337	0.28301886792452835	0.33333333333333337	0.07407407407407407	0.23404255319148937	0.23076923076923073	0.3846153846153846	0.32258064516129037	0.4426229508196722	0.4545454545454546	0.3928571428571429
Homeostatic and circadian components of subjective alertness interact in a non-additive manner	0.3157894736842105	0.30000000000000004	0.31707317073170727	0.34693877551020413	0.1063829787234043	0.31999999999999995	0.2558139534883721	0.29166666666666663	0.41666666666666663	0.3448275862068966	0.368421052631579	0.4117647058823529	0.3846153846153846
Catastrophes, Sleep, and Public Policy: Consensus Report	0.30000000000000004	0.23809523809523814	0.3023255813953488	0.2549019607843137	0.34693877551020413	0.23076923076923073	0.28888888888888886	0.31999999999999995	0.36	0.33333333333333337	0.38983050847457623	0.3584905660377359	0.37037037037037035
Meta-analysis of the relationship between total sleep deprivation and performance	0.23076923076923073	0.2195121951219512	0.2857142857142857	0.31999999999999995	0.25	0.2549019607843137	0.2272727272727273	0.26530612244897955	0.4285714285714286	0.288135593220339	0.3448275862068966	0.3846153846153846	0.3584905660377359
Effects of sleep deprivation on performance: A meta-analysis	0.26315789473684215	0.25	0.36585365853658536	0.30612244897959184	0.276595744680851	0.28	0.3023255813953488	0.20833333333333337	0.29166666666666663	0.3793103448275862	0.368421052631579	0.4117647058823529	0.42307692307692313
Interactive mathematical models of SUbjective alertness and cognitive throughput in humans	0.31707317073170727	0.3023255813953488	0.2727272727272727	0.3076923076923077	0.19999999999999996	0.28301886792452835	0.21739130434782605	0.2549019607843137	0.4117647058823529	0.2786885245901639	0.33333333333333337	0.37037037037037035	0.2727272727272727
Competition Drives the Trucking Industry	0.33333333333333337	0.31707317073170727	0.38095238095238093	0.4	0.41666666666666663	0.37254901960784315	0.31818181818181823	0.26530612244897955	0.3877551020408163	0.3220338983050848	0.31034482758620685	0.46153846153846156	0.3584905660377359
Effects of sleep loss on sustained cognitive performance during a command and control simulation	0.2777777777777778	0.26315789473684215	0.28205128205128205	0.276595744680851	0.24444444444444446	0.25	0.1707317073170732	0.17391304347826086	0.34782608695652173	0.3571428571428571	0.4181818181818182	0.4285714285714286	0.31999999999999995
Human sleep: its duration and organization depend on its circadian phase	0.29729729729729726	0.28205128205128205	0.30000000000000004	0.33333333333333337	0.30434782608695654	0.26530612244897955	0.23809523809523814	0.3191489361702128	0.44680851063829785	0.368421052631579	0.4285714285714286	0.43999999999999995	0.37254901960784315
Circadian and sleep/wake dependent aspects of subjective alertness and cognitive performance	0.36585365853658536	0.3023255813953488	0.2727272727272727	0.2692307692307693	0.24	0.3207547169811321	0.21739130434782605	0.21568627450980393	0.4117647058823529	0.3114754098360656	0.4	0.4444444444444444	0.34545454545454546
Rotating shift work, sleep and accidents related to sleepiness in hospital nurses	0.3157894736842105	0.25	0.1707317073170732	0.22448979591836737	0.3191489361702128	0.24	0.11627906976744184	0.29166666666666663	0.41666666666666663	0.3448275862068966	0.4035087719298246	0.37254901960784315	0.3076923076923077
Microcomputer analyses of performance on a portable, using simple visual reaction time task during sustained operations	0.30000000000000004	0.23809523809523814	0.3023255813953488	0.2549019607843137	0.22448979591836737	0.1923076923076923	0.24444444444444446	0.16000000000000003	0.31999999999999995	0.2666666666666667	0.38983050847457623	0.39622641509433965	0.33333333333333337
Tractor-trailer driver fatality: the role of nonconnective rest in a sleep berth	0.21052631578947367	0.25	0.31707317073170727	0.34693877551020413	0.276595744680851	0.28	0.2558139534883721	0.33333333333333337	0.375	0.3448275862068966	0.368421052631579	0.37254901960784315	0.3846153846153846
Displacement of the sleep period and sleep deprivation	0.19999999999999996	0.18918918918918914	0.26315789473684215	0.34782608695652173	0.2727272727272727	0.3191489361702128	0.19999999999999996	0.28888888888888886	0.37777777777777777	0.34545454545454546	0.37037037037037035	0.41666666666666663	0.34693877551020413
Ultrashort Sleep-waking Schedule .3. Gates and forbidden zones for sleep	0.36363636363636365	0.34782608695652173	0.19148936170212771	0.34545454545454546	0.3207547169811321	0.3571428571428571	0.22448979591836737	0.33333333333333337	0.4814814814814815	0.3125	0.39682539682539686	0.4035087719298246	0.3448275862068966
Sleepiness as a consequence of shift work	0.33333333333333337	0.3157894736842105	0.02564102564102566	0.276595744680851	0.33333333333333337	0.33333333333333337	0.2195121951219512	0.30434782608695654	0.34782608695652173	0.3571428571428571	0.38181818181818183	0.30612244897959184	0.36
"Sleep loss and performance: no ""safe"" duration of a monotonous task"	0.3513513513513513	0.28205128205128205	0.19999999999999996	0.29166666666666663	0.30434782608695654	0.30612244897959184	0.2857142857142857	0.23404255319148937	0.3191489361702128	0.4035087719298246	0.4285714285714286	0.43999999999999995	0.37254901960784315
Manifest sleepiness and the spectral content of the EEG during shift work	0.33333333333333337	0.31707317073170727	0.19047619047619047	0.28	0.375	0.2549019607843137	0.18181818181818177	0.22448979591836737	0.4285714285714286	0.35593220338983056	0.4482758620689655	0.42307692307692313	0.3584905660377359
The circadian variation of experimentally displaced sleep	0.18918918918918914	0.17948717948717952	0.30000000000000004	0.375	0.30434782608695654	0.30612244897959184	0.23809523809523814	0.276595744680851	0.36170212765957444	0.33333333333333337	0.3571428571428571	0.36	0.33333333333333337
Circadian rhythms in the secretion of cortisol, adrenaline and noradrenaline	0.2571428571428571	0.027027027027026973	0.3157894736842105	0.34782608695652173	0.31818181818181823	0.276595744680851	0.30000000000000004	0.28888888888888886	0.37777777777777777	0.34545454545454546	0.37037037037037035	0.375	0.34693877551020413
Body temperature and sleep at different times of day	0.2941176470588235	0.2222222222222222	0.29729729729729726	0.37777777777777777	0.3023255813953488	0.26086956521739135	0.28205128205128205	0.2727272727272727	0.40909090909090906	0.40740740740740744	0.4339622641509434	0.44680851063829785	0.41666666666666663
The impact of work practices on fatigue in long distance truck drivers	0.28205128205128205	0.2682926829268293	0.19047619047619047	0.28	0.29166666666666663	0.2941176470588235	0.13636363636363635	0.22448979591836737	0.34693877551020413	0.288135593220339	0.3448275862068966	0.34615384615384615	0.24528301886792447
Multiday driving patterns and motor carrier accident risk: a disaggregate analysis	0.26315789473684215	0.30000000000000004	0.31707317073170727	0.26530612244897955	0.3191489361702128	0.24	0.2558139534883721	0.16666666666666663	0.33333333333333337	0.3448275862068966	0.4385964912280702	0.4509803921568627	0.3846153846153846
