	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,789,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 16,126,000 hours in the first year; 13,504,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,552,000 for the first year; $493,253,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and Labor’s Order No.	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sections 2550.404c–1 and 2550.404c– 5 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No.	2550.408g–1 also issued under sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR,	For purposes of paragraph (c)(6)(i) retirement ages, life expectancies, income levels, financial resources, replacement income ratios, inflation VerDate Nov<24>2008	Add § 2550.408g–2 to read as follows:	Section 408(g)(11)(A) of the Employee Retirement Income accordance with 29 CFR 2550.408g– 1(b)(5); and (v) Is maintained in accordance with 29 CFR 2550.408g–1(e).	this 9th day of January,
Identification and Performance of Equity Mutual Funds with High Management Fees and Expense Ratios	0.49056603773584906	0.4222222222222223	0.6097560975609756	0.6862745098039216	0.5909090909090908	0.5581395348837209	0.6923076923076923	0.5	0.59375
Investor Timing and Fund Distribution Channels	0.6226415094339622	0.5454545454545454	0.6111111111111112	0.6666666666666667	0.625	0.5526315789473684	0.7058823529411764	0.5581395348837209	0.5925925925925926
Performance and Characteristics of Actively Managed Retail Equity Mutual Funds with Diverse Expense Ratios	0.509090909090909	0.4130434782608695	0.627906976744186	0.6730769230769231	0.5777777777777777	0.5116279069767442	0.675	0.4565217391304348	0.6176470588235294
Ranking Mutual Fund Families: Minimum Expenses and Maximum Loads as Markers for Moral Turpitude	0.6181818181818182	0.5111111111111111	0.641025641025641	0.6875	0.6190476190476191	0.5853658536585367	0.6571428571428571	0.6170212765957447	0.6333333333333333
Search Costs and Mutual Fund Fee Dispersion	0.6851851851851851	0.5909090909090908	0.5882352941176471	0.6511627906976745	0.6052631578947368	0.5675675675675675	0.7272727272727273	0.6046511627906976	0.56
The Cost of Active Investing	0.7115384615384616	0.6818181818181819	0.7428571428571429	0.7727272727272727	0.7105263157894737	0.6756756756756757	0.7333333333333334	0.6341463414634146	0.6666666666666667
The Economics of Mutual-Fund Brokerage: Evidence from the Cross Section of Investment Channels	0.5714285714285714	0.4893617021276596	0.6428571428571428	0.6862745098039216	0.6222222222222222	0.5909090909090908	0.6923076923076923	0.5319148936170213	0.6363636363636364
The Influence of Financial Advice on Individual Investor Portfolio Performance	0.5961538461538461	0.5454545454545454	0.6111111111111112	0.6956521739130435	0.5897435897435898	0.5526315789473684	0.6666666666666667	0.5581395348837209	0.5384615384615384
The Use and Abuse of Mutual Fund Expenses	0.6415094339622642	0.6304347826086957	0.7105263157894737	0.7446808510638299	0.7142857142857143	0.65	0.696969696969697	0.6444444444444444	0.6296296296296297
Yet Another Puzzle? Relation Between Price and Performance in the Mutual Fund Industry	0.5636363636363637	0.5714285714285714	0.6	0.6799999999999999	0.5813953488372092	0.6444444444444444	0.6842105263157895	0.5531914893617021	0.5806451612903225
Are Mutual Fund Fees Competitive? What IQ-Related Behavior Tells Us	0.5714285714285714	0.607843137254902	0.7045454545454546	0.7115384615384616	0.6808510638297872	0.6521739130434783	0.7560975609756098	0.5918367346938775	0.6764705882352942
Financial Literacy and Mutual Fund Investments: Who Buys Actively Managed Funds	0.5740740740740741	0.5531914893617021	0.65	0.6938775510204082	0.6590909090909092	0.5952380952380952	0.6666666666666667	0.5652173913043479	0.6
Investment Returns: Defined Benefits vs. 401(k) Plans	0.6071428571428572	0.5918367346938775	0.5526315789473684	0.5869565217391304	0.5714285714285714	0.5714285714285714	0.6388888888888888	0.5434782608695652	0.696969696969697
Pension Participant Knowledge About Plan Fees	0.6153846153846154	0.6	0.5151515151515151	0.627906976744186	0.5789473684210527	0.6153846153846154	0.6129032258064516	0.5813953488372092	0.6296296296296297
The Economics of Providing 401(k) Plans: Services, Fees and Expenses 2006	0.5263157894736843	0.4693877551020408	0.5476190476190477	0.5510204081632653	0.5652173913043479	0.3902439024390244	0.6585365853658536	0.44680851063829785	0.7105263157894737
The Performance of U.S. Pension Funds	0.6346153846153846	0.5909090909090908	0.5882352941176471	0.6511627906976745	0.6052631578947368	0.641025641025641	0.7272727272727273	0.6363636363636364	0.56
Are S&P 500 Index Mutual Funds Commodities	0.6363636363636364	0.5333333333333333	0.5555555555555556	0.6222222222222222	0.575	0.6428571428571428	0.6470588235294117	0.5777777777777777	0.6666666666666667
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.5925925925925926	0.5111111111111111	0.641025641025641	0.6875	0.6190476190476191	0.5853658536585367	0.6944444444444444	0.5555555555555556	0.5862068965517242
Advisory Opinion	0.8113207547169812	0.7441860465116279	0.7878787878787878	0.8372093023255813	0.8157894736842105	0.7837837837837838	0.7857142857142857	0.7317073170731707	0.6
Advisory Opinion	0.8113207547169812	0.7441860465116279	0.7878787878787878	0.8372093023255813	0.8157894736842105	0.7837837837837838	0.7857142857142857	0.7317073170731707	0.6
How Do Mutual Funds Fees Affect Investor Choices? Evidence from Survey Experiments	0.5614035087719298	0.47916666666666663	0.6888888888888889	0.7222222222222222	0.6666666666666667	0.5454545454545454	0.7073170731707317	0.4565217391304348	0.6176470588235294
Advisory Opinion	0.8113207547169812	0.7441860465116279	0.7878787878787878	0.8372093023255813	0.8157894736842105	0.7837837837837838	0.7857142857142857	0.7317073170731707	0.6
nan	0.9607843137254902	0.9523809523809523	0.9285714285714286	0.9473684210526316	0.9393939393939394	0.9393939393939394	0.9565217391304348	0.95	0.875
Pension Protection Act of 2006	0.7058823529411764	0.7045454545454546	0.6129032258064516	0.675	0.6285714285714286	0.6285714285714286	0.6296296296296297	0.6904761904761905	0.6521739130434783
Fiduciary Requirements for Disclosure in Participant-Directed Individual Account Plans	0.5740740740740741	0.48888888888888893	0.6153846153846154	0.6938775510204082	0.5952380952380952	0.5609756097560976	0.7027027027027026	0.5333333333333333	0.6
General Statutory Exemption for services or office space 	0.6909090909090909	0.5348837209302326	0.6388888888888888	0.7173913043478262	0.6829268292682926	0.5405405405405406	0.7352941176470589	0.5813953488372092	0.5769230769230769
Interpretative Bulletin relating to participant investment education	0.6538461538461539	0.5813953488372092	0.5757575757575757	0.6744186046511628	0.631578947368421	0.5555555555555556	0.6774193548387097	0.5952380952380952	0.6
Notice of adoption of revisions to annual return/report forms	0.679245283018868	0.5813953488372092	0.5757575757575757	0.6744186046511628	0.5945945945945945	0.5142857142857142	0.6774193548387097	0.627906976744186	0.5416666666666667
Reasonable Contract or Arrangement under Section 408(b)(2)�Fee Disclosure; Proposed Rule	1.0	1.0	1.0	1.0	1.0	0.45238095238095233	1.0	1.0	0.736842105263158
Reorganization Plan No. 4 of 1978	0.6153846153846154	0.6595744680851063	0.46875	0.4871794871794872	0.36363636363636365	0.65	0.6129032258064516	0.6136363636363636	0.6785714285714286
nan	0.9607843137254902	0.9523809523809523	0.9285714285714286	0.9473684210526316	0.9393939393939394	0.9393939393939394	0.9565217391304348	0.95	0.875
nan	0.9607843137254902	0.9523809523809523	0.9285714285714286	0.9473684210526316	0.9393939393939394	0.9393939393939394	0.9565217391304348	0.95	0.875
nan	0.9607843137254902	0.9523809523809523	0.9285714285714286	0.9473684210526316	0.9393939393939394	0.9393939393939394	0.9565217391304348	0.95	0.875
nan	0.9607843137254902	0.9523809523809523	0.9285714285714286	0.9473684210526316	0.9393939393939394	0.9393939393939394	0.9565217391304348	0.95	0.875
Mutual Fund Advisory Contracts: An Empirical Investigation	0.5660377358490566	0.5111111111111111	0.641025641025641	0.6875	0.6190476190476191	0.5853658536585367	0.6571428571428571	0.4883720930232558	0.6333333333333333
Costly Search and Mutual Fund Flows	0.679245283018868	0.6136363636363636	0.6176470588235294	0.6744186046511628	0.631578947368421	0.6666666666666667	0.6774193548387097	0.5952380952380952	0.5416666666666667
Are Investors Rational? Choices Among Index Funds	0.6111111111111112	0.5	0.5945945945945945	0.6521739130434783	0.575	0.5384615384615384	0.6857142857142857	0.5116279069767442	0.6206896551724138
Mutual Fund Fee-Setting, Market Structure and Mark-Ups	0.6909090909090909	0.6	0.5588235294117647	0.627906976744186	0.6153846153846154	0.6153846153846154	0.7352941176470589	0.6739130434782609	0.6296296296296297
Out of Sight, Out of Mind, The Effects of Expenses on Mutual Fund Flows	0.6181818181818182	0.5111111111111111	0.6052631578947368	0.6875	0.6190476190476191	0.55	0.6944444444444444	0.5869565217391304	0.5862068965517242
Product Differentiation, Search Costs, and Competition in the Mutual Fund Industry: A Case Study of S&P 500 Index Funds	0.5178571428571428	0.42553191489361697	0.5714285714285714	0.6274509803921569	0.5555555555555556	0.5227272727272727	0.65	0.5	0.5882352941176471
The Determinants of the Flow of Funds of Managed Portfolios: Mutual Funds vs. Pension Funds	0.5925925925925926	0.574468085106383	0.6052631578947368	0.6875	0.5853658536585367	0.55	0.5757575757575757	0.5869565217391304	0.5862068965517242
Mutual Fund Advisory Fees: The Cost of Conflicts of Interest	0.5849056603773585	0.5652173913043479	0.6666666666666667	0.7083333333333333	0.6097560975609756	0.6097560975609756	0.6470588235294117	0.5454545454545454	0.5185185185185186
Why Does the Law of One Price Fail? An Experiment on Index Mutual Funds	0.5614035087719298	0.47916666666666663	0.6888888888888889	0.7222222222222222	0.6666666666666667	0.5777777777777777	0.7073170731707317	0.5510204081632653	0.6176470588235294
