	Association of American Railroads (AAR), before U.S. House of Representatives Subcommittee on Railroads,	Car Performance Standards NPRM - RIA NTSB, “Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near	Sign Safety Pact, Traffic World	Car Performance Standards NPRM - RIA “Economic Analysis of Federal Regulations Under Executive Order 12866.” http://www.whitehouse.gov/OMB/inforeg/riaguide.html,	Highway Business Report Fewer Customers,” Augusta Chronicle,	Statement to the docket by the Dow Chemical Company,	Alternative Technologies to Railroad Tank Car Placarding.” Texas Transportation Institute,	Car Performance Standards NPRM - RIA AEI-Brookings Joint Center for Regulatory Studies, “Interests of Amici Curiae: American Trucking Associations,	Abbreviated Injury Scale _____________________________________________________________________________ The Abbreviated Injury Scale (AIS) was &quot;[f]irst published in 1971 under the joint sponsorship of the American Medical Association; the Society of Automotive Engineers; and the Association for the Advancement of Automotive Medicine (formerly the American Association for Automotive Medicine).&quot; The AIS was originally developed for impact injury assessment.	(Produced by the University of California, San Francisco and The John Hopkins University for the National Highway Traffic Satey Administation and the Centers for Disease Control)	Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes,” Journal of Safety Research,
NTSB Breif Accident Report, RAB/98-07	0.4117647058823529	0.40625	0.39534883720930236	0.4285714285714286	0.48	0.5111111111111111	0.46153846153846156	0.3793103448275862	0.5076923076923077	0.47540983606557374	0.4444444444444444
Report of Railroad Accident Collision of Norfolk Southern Frieght Train 192 with Standing Norfolk Southern Local Train P22 with Subsequent Hazardous Materials Release	0.3650793650793651	0.1842105263157895	0.4181818181818182	0.31707317073170727	0.32258064516129037	0.4035087719298246	0.3125	0.3142857142857143	0.3246753246753247	0.23287671232876717	0.33333333333333337
Report on the Graniteville, SC derailment	0.30434782608695654	0.4576271186440678	0.368421052631579	0.4461538461538461	0.33333333333333337	0.25	0.3191489361702128	0.4339622641509434	0.5	0.3928571428571429	0.30612244897959184
Report on the Minot, ND derailment	0.37777777777777777	0.4137931034482759	0.4054054054054054	0.46875	0.36363636363636365	0.28205128205128205	0.3913043478260869	0.42307692307692313	0.5254237288135593	0.4181818181818182	0.33333333333333337
FRA Public Hearing	0.39534883720930236	0.4642857142857143	0.4285714285714286	0.5483870967741935	0.33333333333333337	0.5675675675675675	0.40909090909090906	0.48	0.5789473684210527	0.4339622641509434	0.5652173913043479
Public meeting statement by Manager Fleet Engineer, American Railcar Industries	0.33333333333333337	0.28125	0.34883720930232553	0.34285714285714286	0.28	0.4222222222222223	0.3076923076923077	0.24137931034482762	0.3846153846153846	0.34426229508196726	0.33333333333333337
Public meeting statement by Manager Technical Research	0.4042553191489362	0.33333333333333337	0.33333333333333337	0.4545454545454546	0.30434782608695654	0.41463414634146345	0.33333333333333337	0.33333333333333337	0.4098360655737705	0.368421052631579	0.31999999999999995
Statement of Edward Hamberger, President and CEO, Association of American Railroads, before U.S. House of Representatives Subcommittee on Railroads	0.13793103448275867	0.323943661971831	0.36	0.24675324675324672	0.26315789473684215	0.34615384615384615	0.2542372881355932	0.29230769230769227	0.33333333333333337	0.20588235294117652	0.3114754098360656
Statement to the docket by the Dow Chemical Company	0.4042553191489362	0.4	0.3846153846153846	0.48484848484848486	0.34782608695652173	0.024390243902439046	0.41666666666666663	0.4444444444444444	0.4426229508196722	0.29824561403508776	0.31999999999999995
Testimony of Fred Morscheck from the McGregor Company	0.43999999999999995	0.3650793650793651	0.33333333333333337	0.42028985507246375	0.30612244897959184	0.31818181818181823	0.33333333333333337	0.33333333333333337	0.40625	0.30000000000000004	0.28301886792452835
Testimony of Joe Giesler from Terra Industries 	0.3913043478260869	0.423728813559322	0.3157894736842105	0.5076923076923077	0.4222222222222223	0.44999999999999996	0.4042553191489362	0.3207547169811321	0.43333333333333335	0.3928571428571429	0.26530612244897955
Testimony of Wolf Anderson	0.39534883720930236	0.4642857142857143	0.2571428571428571	0.5483870967741935	0.4285714285714286	0.45945945945945943	0.4545454545454546	0.4	0.4736842105263158	0.4339622641509434	0.3913043478260869
Transcript of May 31 - June 1, 2006 public meeting in docket no. FRA 25169	0.33333333333333337	0.23684210526315785	0.4181818181818182	0.31707317073170727	0.3548387096774194	0.4385964912280702	0.34375	0.2857142857142857	0.35064935064935066	0.31506849315068497	0.33333333333333337
Benefit-Cost Analysis of Using Type 105 Tank Cars Instead of Type 111 Tank Cars to Ship Environmentally-Sensitive Chemicals	0.35593220338983056	0.3055555555555556	0.37254901960784315	0.28205128205128205	0.3448275862068966	0.3584905660377359	0.30000000000000004	0.24242424242424243	0.31506849315068497	0.2753623188405797	0.32258064516129037
Interests of Amici Curiae: American Trucking Association, Inc. et al, v. Carol Browner, Administrator of the Environmental Protection Agency, et al	0.3448275862068966	0.2676056338028169	0.31999999999999995	0.24675324675324672	0.26315789473684215	0.34615384615384615	0.18644067796610164	0.16923076923076918	0.3055555555555556	0.23529411764705888	0.24590163934426235
Norfolk Southern Railway Annual Report	0.36170212765957444	0.4	0.3846153846153846	0.4242424242424242	0.30434782608695654	0.31707317073170727	0.375	0.37037037037037035	0.4426229508196722	0.33333333333333337	0.31999999999999995
Norfolk Southern Railway Quarterly Financial Review, Fourth Quarter	0.36	0.3650793650793651	0.33333333333333337	0.3913043478260869	0.30612244897959184	0.31818181818181823	0.37254901960784315	0.368421052631579	0.46875	0.30000000000000004	0.3207547169811321
Alternative Technologies to Railroad Tank Car Placarding	0.375	0.3770491803278688	0.30000000000000004	0.4328358208955224	0.3191489361702128	0.38095238095238093	0.1428571428571429	0.3090909090909091	0.4516129032258065	0.31034482758620685	0.37254901960784315
Ammonia- the Story Behind the Gas	0.4222222222222223	0.4137931034482759	0.4054054054054054	0.46875	0.36363636363636365	0.3846153846153846	0.4782608695652174	0.3846153846153846	0.4915254237288136	0.4545454545454546	0.41666666666666663
Anhydrous Ammonia Safety	0.31818181818181823	0.4035087719298246	0.33333333333333337	0.46031746031746035	0.34883720930232553	0.368421052631579	0.4222222222222223	0.37254901960784315	0.4137931034482759	0.37037037037037035	0.3191489361702128
Chlorine	0.6571428571428571	0.6666666666666667	0.5555555555555556	0.7037037037037037	0.5294117647058824	0.5172413793103448	0.5555555555555556	0.6666666666666667	0.7142857142857143	0.6444444444444444	0.5789473684210527
Chlorine's Casualties and Counsel: Nation's worst chlorine gas leak wreaked havoc, but research reveals lessons learned	0.37254901960784315	0.375	0.39534883720930236	0.4	0.31999999999999995	0.28888888888888886	0.2692307692307693	0.3448275862068966	0.4461538461538461	0.2786885245901639	0.33333333333333337
Circular A-4: Regulatory Analysis	0.4042553191489362	0.4	0.3846153846153846	0.4242424242424242	0.26086956521739135	0.46341463414634143	0.33333333333333337	0.2962962962962963	0.5081967213114754	0.4385964912280702	0.36
Data from Earl Hunter	0.41463414634146345	0.5555555555555556	0.4545454545454546	0.6	0.44999999999999996	0.48571428571428577	0.5714285714285714	0.5	0.5636363636363637	0.4901960784313726	0.5
Element properties of chlorine	0.38095238095238093	0.5272727272727273	0.4117647058823529	0.5081967213114754	0.36585365853658536	0.38888888888888884	0.4418604651162791	0.4693877551020408	0.4642857142857143	0.46153846153846156	0.37777777777777777
Information extracted from the RSI-AAR Railroad Tank Car Saftey Research Test Project	0.37037037037037035	0.28358208955223885	0.30434782608695654	0.34246575342465757	0.3584905660377359	0.33333333333333337	0.23636363636363633	0.21311475409836067	0.38235294117647056	0.3125	0.22807017543859653
PIH Risk Analysis Presentation	0.40909090909090906	0.4736842105263158	0.38888888888888884	0.5238095238095238	0.34883720930232553	0.4736842105263158	0.33333333333333337	0.37254901960784315	0.5517241379310345	0.4444444444444444	0.44680851063829785
Propulsion Resistance	0.33333333333333337	0.49090909090909096	0.3529411764705882	0.5081967213114754	0.31707317073170727	0.4444444444444444	0.3023255813953488	0.4285714285714286	0.5357142857142857	0.46153846153846156	0.37777777777777777
Risk Analysis of Rail Transport of Chlorine & Ammonia on U.S. railroad Mainlines	0.28301886792452835	0.36363636363636365	0.37777777777777777	0.36111111111111116	0.34615384615384615	0.3191489361702128	0.2962962962962963	0.30000000000000004	0.34328358208955223	0.3015873015873016	0.25
The Abbreviated Injury Scale as Measurement of Bicyclists Minor Injuries	0.28301886792452835	0.2727272727272727	0.33333333333333337	0.36111111111111116	0.34615384615384615	0.36170212765957444	0.33333333333333337	0.2666666666666667	0.25373134328358204	0.3015873015873016	0.2142857142857143
The Chlorine Institute	0.5121951219512195	0.4814814814814815	0.4545454545454546	0.5666666666666667	0.4	0.48571428571428577	0.33333333333333337	0.45833333333333337	0.5272727272727273	0.4901960784313726	0.36363636363636365
UP, Down Sign Safety Pact	0.4545454545454546	0.4385964912280702	0.2222222222222222	0.4920634920634921	0.4418604651162791	0.3157894736842105	0.5111111111111111	0.4509803921568627	0.5517241379310345	0.37037037037037035	0.44680851063829785
Using Agricultural Anhydrous Ammonia Safely 	0.25	0.34426229508196726	0.25	0.3731343283582089	0.276595744680851	0.33333333333333337	0.34693877551020413	0.3090909090909091	0.3548387096774194	0.27586206896551724	0.2941176470588235
Volpe Center research	0.46341463414634143	0.5555555555555556	0.4545454545454546	0.5666666666666667	0.35	0.37142857142857144	0.38095238095238093	0.5416666666666667	0.5636363636363637	0.4901960784313726	0.40909090909090906
Emergency Response Planning Committee, Procedures and Responsibilities	0.28	0.33333333333333337	0.2857142857142857	0.3623188405797102	0.22448979591836737	0.2727272727272727	0.2549019607843137	0.26315789473684215	0.40625	0.30000000000000004	0.28301886792452835
The Abbreviated Injury Scale, 1990 revision	0.3207547169811321	0.303030303030303	0.33333333333333337	0.41666666666666663	0.3846153846153846	0.36170212765957444	0.2962962962962963	0.3666666666666667	0.28358208955223885	0.33333333333333337	0.2857142857142857
71 FR 30019	0.8857142857142857	0.7916666666666666	0.9259259259259259	0.8518518518518519	0.8235294117647058	0.9310344827586207	0.8888888888888888	0.9047619047619048	0.8367346938775511	0.9111111111111111	0.8947368421052632
44 FR 11034	0.8823529411764706	0.8297872340425532	0.9230769230769231	0.8490566037735849	0.8181818181818181	0.9285714285714286	0.8857142857142857	0.9024390243902439	0.9166666666666666	0.9090909090909091	0.8918918918918919
49 CFR Part 213	0.75	0.5849056603773585	0.6875	0.6610169491525424	0.641025641025641	0.7647058823529411	0.6585365853658536	0.7021276595744681	0.7777777777777778	0.72	0.7209302325581395
71 FR 12259	0.8857142857142857	0.75	0.9259259259259259	0.8148148148148149	0.8235294117647058	0.9310344827586207	0.8888888888888888	0.9047619047619048	0.8367346938775511	0.9111111111111111	0.8947368421052632
71 FR 30019	0.8857142857142857	0.7916666666666666	0.9259259259259259	0.8518518518518519	0.8235294117647058	0.9310344827586207	0.8888888888888888	0.9047619047619048	0.8367346938775511	0.9111111111111111	0.8947368421052632
71 FR 37974	0.8857142857142857	0.7916666666666666	0.9259259259259259	0.8518518518518519	0.8235294117647058	0.9310344827586207	0.8888888888888888	0.9047619047619048	0.8367346938775511	0.9111111111111111	0.8947368421052632
71 FR 67015	0.8857142857142857	0.7916666666666666	0.9259259259259259	0.8148148148148149	0.8235294117647058	0.9310344827586207	0.8888888888888888	0.9047619047619048	0.8775510204081632	0.9111111111111111	0.8947368421052632
Statement to the docket by the Chlorine Institute, Inc	0.30612244897959184	0.32258064516129037	0.31707317073170727	0.4117647058823529	0.29166666666666663	0.16279069767441856	0.28	0.2857142857142857	0.39682539682539686	0.288135593220339	0.23076923076923073
TCC Docket T 87.2	0.7	0.6603773584905661	0.625	0.6949152542372881	0.6923076923076923	0.5294117647058824	0.5609756097560976	0.6595744680851063	0.7037037037037037	0.64	0.6744186046511628
Docket Submission: USDOT/FRA docket number 25169, p.1	0.3220338983050848	0.33333333333333337	0.5294117647058824	0.33333333333333337	0.4482758620689655	0.4339622641509434	0.4	0.4242424242424242	0.452054794520548	0.3623188405797102	0.4193548387096774
Economic Analysis of Federal Regulations Under Executive Order 12866	0.3214285714285714	0.33333333333333337	0.41666666666666663	0.22666666666666668	0.34545454545454546	0.52	0.368421052631579	0.3650793650793651	0.4	0.36363636363636365	0.423728813559322
Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes	0.3846153846153846	0.32307692307692304	0.40909090909090906	0.352112676056338	0.2549019607843137	0.30434782608695654	0.28301886792452835	0.288135593220339	0.36363636363636365	0.3548387096774194	0.09090909090909094
Cost-Benefit Default Principles	0.3913043478260869	0.38983050847457623	0.368421052631579	0.4461538461538461	0.33333333333333337	0.4	0.36170212765957444	0.3584905660377359	0.5333333333333333	0.3928571428571429	0.3877551020408163
