	Proposed Rules 51 ‘‘Excess Billing and Insurance-Related Administrative Costs,’’ by James Kahn, in The Healthcare Imperative; Lowering Costs and Improving Outcomes: Workshop Series Summary, edited by	55 ‘‘Project Swipe IT Savings Model,’’	56 For billing and posting clerks in physician offices, Department of Labor,	Avoidance: Interest on Loans and Lines of Credit	prepared by Robert E.	The Costs and Benefits of Moving to the ICD–10 Code Sets,’’	65 ‘‘Health Plans’ Estimated Costs of Implementing ICD–10 Diagnosis Coding,’’	Aetna Chief Financial Officer and Senior Executive Vice President. Aetna Fourth Quarter 2011 Earnings Call Webcast (transcript),	TABLE 30—COST AVOIDANCE LESS COST (NET) OF A ONE-YEAR DELAY [In millions] * Low Net Estimate (Low Cost Avoidance with High Costs) .. ¥$2,950 High Net Estimate (High Cost Avoidance with Low Costs) .. 6,846 Mean Net Cost Avoidance (average) ....................................	Flexibility Analysis: Impact on Small Entities of a Delay in the Compliance Date of ICD–10 The Regulatory Flexibility Act (RFA) of	Number of Small Entities and Scope of Analysis a. Health Care Providers: Physician Total Savings/Cost Avoidance ................................................................................................................. $6,532 $13,612 $10,072 Total Costs ............................................................................................................................................... 2,133 8,784 5,459 * Costs and savings of HPID are calculated over 11 years,	[In millions of dollars] Delay in Compliance Date for ICD–10: Avoidance of returned health care claims. COSTS: Annualized Monetized costs: 7% Discount ................	List of Subjects in 45 CFR Part 162 Administrative practice and procedures, Electronic transactions, Health facilities, Health insurance, Hospitals, Incorporation by reference, Medicaid, Medicare, Reporting and 1. The authority citation for part 162 continues to read as follows:	124 Stat. 146–154 and 915– 917. Subpart A—General Provisions 2. Section 162.103 is amended by health plan. Subpart D—Standard Unique Health Identifier for Health Care Providers § 162.402 [Removed and Reserved] 3. Section 162.402 is removed and reserved. 4. Section 162.404 is amended as follows: A. Redesignating paragraph (a) as paragraph (a)(1). B. Adding a paragraph (a)(2). The addition reads as follows: § 162.404 Compliance dates of the implementation of the standard unique health identifier for health care providers. 6. Subpart E is added to part 162 to read as follows: Subpart E—Standard Unique Health Identifier for Health Plans Sec. 162.502 [Reserved] 162.504 Compliance dates for the implementation of the standard unique health plan identifier. 162.506 Standard unique health plan identifier. 162.508 Enumeration System. 162.510 Implementation specifications: Covered entities. 162.512 Implementation specifications: Health plans. 162.514 Other entity identifier. Subpart E—Standard Unique Health Identifier for Health Plans § 162.502 [Reserved] § 162.504 Compliance dates for the implementation of the standard unique health plan identifier.	(a) Covered health care providers. A covered health care provider must comply with the implementation specifications	plans. A health plan must comply with the implementation specifications in § 162.510 and § 162.512 no later than one of the following dates: (1) A health plan that is not a small health plan—October 1,	(2) A health plan that is a small health plan—October 1,	care clearinghouses. A health care clearinghouse must comply with the implementation specifications in § 162.510 no later than October 1, 2014. § 162.506 Standard unique health plan identifier. (a) Standard. The standard unique health plan identifier is the Health Plan Identifier (HPID) that is assigned by the Enumeration System identified in § 162.508. (b) Required and permitted uses for the HPID. (1) The HPID must be used as specified in § 162.510 and § 162.512. (2) The HPID may be used for any other lawful purpose. § 162.508 Enumeration System. The Enumeration System shall do all of the following: (c) If appropriate, deactivate an HPID upon receipt of sufficient information concerning circumstances justifying deactivation. (d) If appropriate, reactivate a deactivated HPID or OEID upon receipt of sufficient information justifying reactivation. (e) Not assign a deactivated HPID to any other health plan or OEID to any other entity. (f) Disseminate Enumeration System information upon approved requests. § 162.510 Implementation specifications: Covered entities. (a) A covered entity must use an HPID standard under this part. § 162.512 Implementation specifications: Health plans. (a) A controlling health plan must do all of the following: (1) Obtain an HPID from the Enumeration System for itself. (2) Disclose its HPID, when requested, to any entity that needs the HPID to identify the health plan in a standard transaction.	(3) Communicate to the Enumeration System any changes in its required data elements in the Enumeration System within 30 days of the change.
CMS Hints at Delay in ICD-10 Implementation Deadline	0.4411764705882353	0.41666666666666663	0.41666666666666663	0.44999999999999996	0.5428571428571429	0.3191489361702128	0.2941176470588235	0.4915254237288136	0.4933333333333333	0.368421052631579	0.42028985507246375	0.3220338983050848	0.41538461538461535	0.4871794871794872	0.4042553191489362	0.4736842105263158	0.4666666666666667	0.43661971830985913	0.4
Edifecs poll, 2012: And February 28, 2012 Letter In Regards to ICD-10, Implementation Date Delay to Denise M. Buenning, Director	0.3012048192771084	0.46031746031746035	0.3015873015873016	0.38181818181818183	0.48	0.3870967741935484	0.36363636363636365	0.29729729729729726	0.33333333333333337	0.2222222222222222	0.26190476190476186	0.29729729729729726	0.19999999999999996	0.31182795698924726	0.3548387096774194	0.2777777777777778	0.4	0.2558139534883721	0.3538461538461538
Examining the Cost of Implementing ICD-10	0.4411764705882353	0.5	0.375	0.44999999999999996	0.6	0.3191489361702128	0.21568627450980393	0.38983050847457623	0.52	0.26315789473684215	0.42028985507246375	0.38983050847457623	0.4461538461538461	0.4871794871794872	0.4042553191489362	0.4385964912280702	0.4222222222222223	0.43661971830985913	0.36
ICD-10 Frequently Asked Questions	0.4782608695652174	0.5510204081632653	0.4285714285714286	0.41463414634146345	0.6111111111111112	0.45833333333333337	0.46153846153846156	0.43333333333333335	0.5526315789473684	0.3793103448275862	0.48571428571428577	0.4	0.48484848484848486	0.5189873417721519	0.41666666666666663	0.48275862068965514	0.5217391304347826	0.4722222222222222	0.4117647058823529
Letter to Kathleen G. Sebelius, Secretary, U.S. Department of Health and Human Services	0.36	0.4181818181818182	0.23636363636363633	0.4042553191489362	0.47619047619047616	0.4444444444444444	0.4137931034482759	0.36363636363636365	0.4878048780487805	0.375	0.3421052631578947	0.33333333333333337	0.3055555555555556	0.388235294117647	0.2592592592592593	0.34375	0.3846153846153846	0.3589743589743589	0.33333333333333337
National Health Plan Identifier White Paper	0.5	0.40909090909090906	0.40909090909090906	0.38888888888888884	0.4838709677419355	0.4883720930232558	0.36170212765957444	0.4545454545454546	0.6056338028169015	0.5094339622641509	0.4769230769230769	0.49090909090909096	0.47540983606557374	0.5675675675675675	0.39534883720930236	0.5094339622641509	0.46341463414634143	0.4925373134328358	0.4782608695652174
Oregon Provider and Payer Survey: Overhauling the US Healthcare Payment System	0.34285714285714286	0.36	0.36	0.38095238095238093	0.5675675675675675	0.4693877551020408	0.4339622641509434	0.3770491803278688	0.5064935064935066	0.38983050847457623	0.3802816901408451	0.34426229508196726	0.34328358208955223	0.4	0.30612244897959184	0.35593220338983056	0.4042553191489362	0.36986301369863017	0.3076923076923077
Survey: ICD-10 Brief Progress	0.4626865671641791	0.5319148936170213	0.574468085106383	0.4358974358974359	0.7058823529411764	0.34782608695652173	0.48	0.48275862068965514	0.5945945945945945	0.3928571428571429	0.4411764705882353	0.4137931034482759	0.46875	0.48051948051948057	0.5217391304347826	0.5357142857142857	0.6818181818181819	0.4571428571428572	0.4693877551020408
Survey: Industry Reaction to Potential Delay of ICD-10 - A Delay will be Costly, but Manageable Unless it's more than a Year	0.27710843373493976	0.3650793650793651	0.3650793650793651	0.38181818181818183	0.6	0.32258064516129037	0.36363636363636365	0.32432432432432434	0.37777777777777777	0.25	0.2857142857142857	0.2702702702702703	0.22499999999999998	0.31182795698924726	0.32258064516129037	0.3055555555555556	0.43333333333333335	0.2558139534883721	0.32307692307692304
The 2011 Medicare Trustees Report: The Baby Boomer Tsunami	0.3802816901408451	0.4509803921568627	0.37254901960784315	0.4418604651162791	0.42105263157894735	0.4	0.4814814814814815	0.4193548387096774	0.5128205128205128	0.30000000000000004	0.38888888888888884	0.32258064516129037	0.32352941176470584	0.40740740740740744	0.36	0.30000000000000004	0.33333333333333337	0.3783783783783784	0.39622641509433965
WellPoint Fourth Quarter 2011 Results Conference Call (transcript)	0.4722222222222222	0.5	0.42307692307692313	0.4545454545454546	0.5897435897435898	0.4901960784313726	0.4181818181818182	0.2063492063492064	0.5189873417721519	0.2786885245901639	0.452054794520548	0.4285714285714286	0.3913043478260869	0.4390243902439024	0.2941176470588235	0.34426229508196726	0.30612244897959184	0.3866666666666667	0.33333333333333337
Comments from VHA Health Care as Healthe Care Provider	0.4545454545454546	0.4347826086956522	0.3913043478260869	0.26315789473684215	0.5757575757575757	0.4222222222222223	0.34693877551020413	0.368421052631579	0.5068493150684932	0.4545454545454546	0.4328358208955224	0.4035087719298246	0.39682539682539686	0.5	0.24444444444444446	0.4545454545454546	0.39534883720930236	0.4492753623188406	0.375
Testimony before the NCVHS Subcommittee on Standards on the National Health Plan Identifier on behalf of America�s Health Insurance Plans and the Blue Cross and Blue Shield Association	1.0	1.0	0.38181818181818183	0.36170212765957444	0.5714285714285714	1.0	1.0	0.36363636363636365	1.0	1.0	0.3157894736842105	1.0	0.3055555555555556	1.0	0.2962962962962963	1.0	1.0	1.0	0.33333333333333337
Ambulatory Medical Care Utilization Estimates for 2007	0.4722222222222222	0.5	0.3846153846153846	0.36363636363636365	0.4871794871794872	0.4901960784313726	0.4545454545454546	0.3650793650793651	0.5189873417721519	0.34426229508196726	0.36986301369863017	0.3015873015873016	0.3623188405797102	0.41463414634146345	0.2941176470588235	0.34426229508196726	0.3877551020408163	0.41333333333333333	0.2962962962962963
What Does it cost physician practices to interact with health insurance plans?	0.4769230769230769	0.4222222222222223	0.33333333333333337	0.45945945945945943	0.5	0.5454545454545454	0.5	0.4642857142857143	0.6111111111111112	0.40740740740740744	0.5151515151515151	0.4285714285714286	0.4838709677419355	0.5466666666666666	0.2727272727272727	0.40740740740740744	0.38095238095238093	0.5	0.36170212765957444
What does it cost physician practices to interact with health insurance plans?	0.4461538461538461	0.37777777777777777	0.33333333333333337	0.4054054054054054	0.4375	0.5454545454545454	0.5	0.4285714285714286	0.6111111111111112	0.4444444444444444	0.5151515151515151	0.4285714285714286	0.4516129032258065	0.5466666666666666	0.2272727272727273	0.37037037037037035	0.38095238095238093	0.5	0.3191489361702128
