	Letter to Hon. Nancy Pelosi.	States as Policy Laboratories: Emulating Success in the Children’s Health Insurance Program”	Active Purchasing for Health Exchanges: An Analysis of Options:	and Elizabeth McGylnn(2010) Establishing State Health Insurance Exchanges.	Health Reform in Massachusetts An Update As of fall	Citations Actuarial Research Corporation. &quot;Reinsurance attachment point estimates.&quot;	The Value of Health Insurance: Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills.	Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:	Independent Report on the Healthy NY Program for Calendar Year	Medicare & Medicaid Services. &quot;Announcement of Calendar Year (CY)	Employer Health Benefits,	Does major illness cause financial catastrophe?&quot;	Cost and Funding Considerations for a Statewide All-Payer Claims Database (APCD). .&quot;	Katherine Baicker, and The Oregon Health Study Group. &quot;The Oregon Health Insurance Experiment: Evidence from the First Year.&quot;	Generosity and adjusted premiums in job-based insurance: Hawaii is up, Wyoming is down.&quot;	Patient Protection and Affordable Care Act (PPACA): Long Term Costs for Gvoernments, Employers, Families and Providers.&quot; Staff Working Paper	Race and insurance status as risk factors for trauma mortality.&quot;	Care without coverage: too little, too late:	The impact of health insurance on health.&quot;	of Health Care Finance and Policy. &quot;2009 Annual Report Health Safety Net.&quot;	All-Payer Claims Databases. (Robert Woods Johnson Foundation.	Office of External Affairs and Beneficiary Services, Unpublished. &quot;FY	Office of the Inspector General. Medicaid Managed Care Encounter Data: Collection and Use.	Reinsurance: How States Can Make Health Coverage More Affordable for Employers and Workers: Commonwealth Fund,	Healthy New York: Making Insurance More Affordable for LowIncome Workers: The Commonwealth Fund.,	Massachusetts Health Care Reform—Near-Universal Coverage at What Cost?&quot;
Care without coverage: too little, too late	0.64	0.5483870967741935	0.5	0.6944444444444444	0.6071428571428572	0.5555555555555556	0.6	0.6470588235294117	0.6551724137931034	0.625	0.6153846153846154	0.6071428571428572	0.6666666666666667	0.6341463414634146	0.6060606060606061	0.6341463414634146	0.6551724137931034	0.0	0.5925925925925926	0.6666666666666667	0.6666666666666667	0.6486486486486487	0.5333333333333333	0.5	0.5555555555555556	0.5757575757575757
Employer Health Benefits, 2010 Annual Survey	0.6129032258064516	0.5405405405405406	0.40625	0.5263157894736843	0.4516129032258065	0.5454545454545454	0.5128205128205128	0.4285714285714286	0.5882352941176471	0.5675675675675675	0.2692307692307693	0.5454545454545454	0.6097560975609756	0.4883720930232558	0.625	0.5555555555555556	0.5882352941176471	0.6129032258064516	0.53125	0.5	0.6052631578947368	0.4473684210526315	0.6052631578947368	0.42105263157894735	0.5813953488372092	0.6
FY 2010 SHIP Basic Grant Funding	0.6551724137931034	0.5714285714285714	0.6571428571428571	0.47058823529411764	0.6666666666666667	0.7428571428571429	0.6153846153846154	0.6923076923076923	0.6666666666666667	0.6756756756756757	0.71875	0.7428571428571429	0.675	0.5813953488372092	0.6578947368421053	0.6739130434782609	0.7058823529411764	0.7419354838709677	0.7352941176470589	0.6052631578947368	0.7105263157894737	0.6585365853658536	0.6388888888888888	0.6666666666666667	0.6428571428571428	0.7317073170731707
Health New York: Making Insurance More Affordable for Low-Income Workers	0.5757575757575757	0.43243243243243246	0.5135135135135135	0.5714285714285714	0.4242424242424242	0.5945945945945945	0.5238095238095238	0.525	0.5142857142857142	0.5384615384615384	0.6	0.5945945945945945	0.5476190476190477	0.5319148936170213	0.4871794871794872	0.5319148936170213	0.5555555555555556	0.5757575757575757	0.5833333333333333	0.6136363636363636	0.5384615384615384	0.6	0.5	0.3589743589743589	0.19444444444444442	0.46153846153846156
Letter to the Honorable Evan Bayh: An Analysis of Health Insurance Premiums Under the Patient Protection and Affordable Care Act 	0.5161290322580645	0.2727272727272727	0.36363636363636365	0.5609756097560976	0.40625	0.5428571428571429	0.3513513513513513	0.38888888888888884	0.5	0.5263157894736843	0.4516129032258065	0.5833333333333333	0.5365853658536586	0.48888888888888893	0.5853658536585367	0.4545454545454546	0.5428571428571429	0.5625	0.5714285714285714	0.5365853658536586	0.4864864864864865	0.44999999999999996	0.4444444444444444	0.3846153846153846	0.4	0.525
Patient Protection and Affordable Care Act (PPACA): Long Term Costs for Governments, Employers, Families and Providers	0.5882352941176471	0.4473684210526315	0.4444444444444444	0.5813953488372092	0.5675675675675675	0.6052631578947368	0.5	0.3783783783783784	0.5675675675675675	0.5128205128205128	0.5294117647058824	0.641025641025641	0.44999999999999996	0.4782608695652174	0.5365853658536586	0.20512820512820518	0.6052631578947368	0.5882352941176471	0.5945945945945945	0.5909090909090908	0.5128205128205128	0.5116279069767442	0.5128205128205128	0.375	0.4285714285714286	0.6444444444444444
Reinsurance: How States Can Make Health Coverage More Affordable for Employers and Workers	0.6388888888888888	0.3783783783783784	0.37142857142857144	0.5238095238095238	0.36363636363636365	0.5	0.4390243902439024	0.4358974358974359	0.5	0.4871794871794872	0.5	0.5789473684210527	0.5	0.4565217391304348	0.475	0.38636363636363635	0.5	0.5151515151515151	0.5675675675675675	0.5	0.4871794871794872	0.4883720930232558	0.4473684210526315	0.05882352941176472	0.32499999999999996	0.44999999999999996
Generosity and adjusted premiums in job-based insurance: Hawaii is up, Wyoming is down	0.6	0.48571428571428577	0.5294117647058824	0.5897435897435898	0.53125	0.6176470588235294	0.575	0.5405405405405406	0.6176470588235294	0.6666666666666667	0.5333333333333333	0.5757575757575757	0.5641025641025641	0.5454545454545454	0.13793103448275867	0.5116279069767442	0.5757575757575757	0.5517241379310345	0.6060606060606061	0.6666666666666667	0.5555555555555556	0.6190476190476191	0.5555555555555556	0.4054054054054054	0.46153846153846156	0.5897435897435898
The Oregon Health Insurance Experiment: Evidence from the First Year	0.6363636363636364	0.4444444444444444	0.29032258064516125	0.55	0.4375	0.5714285714285714	0.42105263157894735	0.45945945945945943	0.48484848484848486	0.5526315789473684	0.4838709677419355	0.5294117647058824	0.627906976744186	0.28205128205128205	0.575	0.5111111111111111	0.5714285714285714	0.5483870967741935	0.46875	0.5952380952380952	0.625	0.4358974358974359	0.38235294117647056	0.41025641025641024	0.42500000000000004	0.55
Emergency Department Utilization After the Implementation of Massachusetts Health Reform	0.5806451612903225	0.4722222222222222	0.375	0.5	0.25	0.46875	0.4473684210526315	0.4444444444444444	0.46875	0.5789473684210527	0.4137931034482759	0.46875	0.5853658536585367	0.5333333333333333	0.6	0.5957446808510638	0.5151515151515151	0.625	0.5	0.55	0.5405405405405406	0.5365853658536586	0.36363636363636365	0.39473684210526316	0.4878048780487805	0.45945945945945943
Massachusetts Health Care Reform - Near-Universal Coverage at What Cost?	0.5666666666666667	0.5405405405405406	0.5	0.6341463414634146	0.3448275862068966	0.5	0.55	0.5897435897435898	0.5	0.5277777777777778	0.5483870967741935	0.5	0.6097560975609756	0.6170212765957447	0.5897435897435898	0.6170212765957447	0.5454545454545454	0.5172413793103448	0.53125	0.575	0.5277777777777778	0.627906976744186	0.48571428571428577	0.42105263157894735	0.475	0.1333333333333333
Race and insurance status as risk factors for trauma mortality	0.4782608695652174	0.5161290322580645	0.5172413793103448	0.6285714285714286	0.33333333333333337	0.46153846153846156	0.5294117647058824	0.53125	0.5185185185185186	0.5	0.45833333333333337	0.46153846153846156	0.5588235294117647	0.575	0.5757575757575757	0.575	0.18181818181818177	0.6	0.43999999999999995	0.5588235294117647	0.5	0.5833333333333333	0.5483870967741935	0.47058823529411764	0.5277777777777778	0.5454545454545454
Does major illness cause financial catastrophe?	0.56	0.5757575757575757	0.48275862068965514	0.6756756756756757	0.36	0.42307692307692313	0.5833333333333333	0.5454545454545454	0.5862068965517242	0.5625	0.41666666666666663	0.13636363636363635	0.6111111111111112	0.6190476190476191	0.5882352941176471	0.6511627906976745	0.4814814814814815	0.56	0.33333333333333337	0.6111111111111112	0.5625	0.5945945945945945	0.4666666666666667	0.5675675675675675	0.6153846153846154	0.5151515151515151
The impact of health insurance on health	0.5217391304347826	0.5483870967741935	0.4444444444444444	0.6571428571428571	0.30434782608695654	0.375	0.5151515151515151	0.4666666666666667	0.5555555555555556	0.5333333333333333	0.36363636363636365	0.30434782608695654	0.6285714285714286	0.5641025641025641	0.6060606060606061	0.6	0.43999999999999995	0.5217391304347826	0.19047619047619047	0.5882352941176471	0.5806451612903225	0.5714285714285714	0.48275862068965514	0.5428571428571429	0.5555555555555556	0.53125
