	46 California HealthCare Foundation, “Gauging the Progress of the National Health Information Technology Initiative: Perspectives from the Field.”	48 California HealthCare Foundation, Snapshot: The State of Health Information Technology in	The Proliferation and Consolidation of Word Processing Software:	53 Source: Office of Employment Statistics,	treated as	Hospital human-resource assistants:	58 Pharmacy technicians: $12.04	Service provider support/sales staff:	Service provider information clerks:	60 APPENDIX B: BIBLIOGRAPHY	Recommendations for Comparing Electronic Prescribing Systems: Results of An Expert Consensus Process,” Health Affairs,	The Proliferation and Consolidation of Word Processing Software:	The Diffusion and Value of Healthcare Information Technology, Rand Health,	National IndustrySpecific Occupational Employment and Wage Estimates.	California HealthCare Foundation, “Gauging the Progress of the National Health Information Technology Initiative: Perspectives from the Field.”	Foundation, Snapshot: The State of Health Information Technology in	Disease Control and Prevention, “Electronic Medical Record Use by OfficeBased Physicians and Their Practices: United States	Certification Commission for Healthcare Information Technology, CCHIT Ambulatory Functionality	Certification Commission for Healthcare Information Technology, CCHIT Security Criteria	Drug Abuse Warning Network,	National Estimates of Drug-Related Emergency Department Visits DAWN Series D-29, DHHS Publication No. (SMA) 07-4256,	The State and Pattern of Health Information Technology Adoption,	Foundation of Research and Education, American Health Information Management Association. “Report on the	Extrapolating Evidence of Health Information Technology Savings and Costs,	LLP, 12th Annual Government Contractor Industry Survey,	Characteristics of Office-Based Physicians and their Practices: United States,	Electronic medical record use by office-based physicians and their practices: United States,	of Chain Drug Stores, “The Chain Pharmacy Industry Profile	of Standards and Technology. Special Publication 800-63-1, Information Security: Electronic Authentication Guideline.	Electronic Prescribing Systems: Making it safer to take your medicine?” Research Highlights,	Health Information Technology: Can HIT Lower Costs and Improve Quality?”	Substance Abuse and Mental Health Services Administration.	62 The DAWN Report – Opiate-related Drug Misuse Deaths in Six States,	Report – Emergency Department Visits Involving Non-medical Use of Selected Pharmaceuticals.	of Labor Statistics,	Economic Census	Department of Health and Human Services.	Enforcement Administration, Economic Impact of the Electronic Orders Rule,	Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems: A Field Study,”	accessed 1/18/2008. www.nacds.org/wmspage.cfm?parm1=507, accessed 1/18/2008. www.surescripts.com/get-connected.aspx?ptype=physician,
Electronic Medical Record Use by Office-Based Physicians and Their Practices: United States 2006	0.7876712328767124	0.8541666666666666	0.7395833333333334	0.78125	0.8958333333333334	0.8125	0.8229166666666666	0.8125	0.8020833333333334	0.9479166666666666	0.8135593220338984	0.7395833333333334	0.7916666666666666	0.7604166666666666	0.7832167832167832	0.8020833333333334	0.3170731707317073	0.8854166666666666	0.8333333333333334	0.875	0.8017241379310345	0.8020833333333334	0.8076923076923077	0.7708333333333334	0.8229166666666666	0.3229166666666667	0.13541666666666666	0.7916666666666666	0.8034188034188035	0.7708333333333334	0.8125	0.7708333333333334	0.6979166666666666	0.84375	0.8645833333333334	0.8854166666666666	0.8020833333333334	0.8020833333333334	0.797979797979798	0.8181818181818182
Emergency Department Visits Involving Non-medical Use of Selected Pharmaceuticals	0.7945205479452054	0.8260869565217391	0.7777777777777778	0.7777777777777778	0.8888888888888888	0.8271604938271605	0.8518518518518519	0.8148148148148148	0.7777777777777778	0.9382716049382716	0.7711864406779662	0.7777777777777778	0.8641975308641975	0.7777777777777778	0.7902097902097902	0.8395061728395061	0.7398373983739838	0.8191489361702128	0.8390804597701149	0.8395061728395061	0.7413793103448276	0.8024691358024691	0.8269230769230769	0.8271604938271605	0.8148148148148148	0.8641975308641975	0.7934782608695652	0.7901234567901234	0.7948717948717948	0.717391304347826	0.8271604938271605	0.7901234567901234	0.8024691358024691	0.10989010989010989	0.8641975308641975	0.8518518518518519	0.7160493827160493	0.7407407407407407	0.8080808080808081	0.8106060606060606
Health, United States, 2007 with chartbook on trends in the Health of Americans	0.7465753424657534	0.7717391304347826	0.7848101265822784	0.810126582278481	0.8860759493670886	0.810126582278481	0.8734177215189873	0.8354430379746836	0.7974683544303798	0.9367088607594937	0.7796610169491526	0.7848101265822784	0.8227848101265823	0.8227848101265823	0.7412587412587412	0.7848101265822784	0.7642276422764228	0.8085106382978723	0.8045977011494253	0.8354430379746836	0.7844827586206896	0.7468354430379747	0.7884615384615384	0.8354430379746836	0.8227848101265823	0.8227848101265823	0.7717391304347826	0.7468354430379747	0.7863247863247863	0.75	0.7721518987341772	0.7974683544303798	0.7974683544303798	0.7362637362637363	0.8607594936708861	0.8987341772151899	0.7721518987341772	0.8354430379746836	0.8080808080808081	0.8409090909090909
Opiate-related Drug Misuse Deaths in Six States, 2003	0.8082191780821918	0.8043478260869565	0.8125	0.7735849056603774	0.8113207547169812	0.8113207547169812	0.8113207547169812	0.7924528301886793	0.8113207547169812	0.9245283018867925	0.8135593220338984	0.8125	0.8378378378378378	0.8115942028985508	0.8041958041958042	0.8208955223880597	0.7723577235772358	0.8297872340425532	0.8275862068965517	0.7358490566037735	0.7586206896551724	0.828125	0.7884615384615384	0.7972972972972973	0.9090909090909091	0.7435897435897436	0.7608695652173914	0.8448275862068966	0.8290598290598291	0.8043478260869565	0.8333333333333334	0.7931034482758621	0.37681159420289856	0.7802197802197802	0.8301886792452831	0.9056603773584906	0.7924528301886793	0.8378378378378378	0.7878787878787878	0.8712121212121212
Report on the Use of Health Information Technology to Enhance and Expand Health Care Anti-Fraud Activities	0.726027397260274	0.7358490566037735	0.7641509433962265	0.8018867924528302	0.9150943396226415	0.8301886792452831	0.8584905660377359	0.8584905660377359	0.7924528301886793	0.9528301886792453	0.7796610169491526	0.7641509433962265	0.6226415094339622	0.7358490566037735	0.7202797202797203	0.7169811320754716	0.7642276422764228	0.6509433962264151	0.6698113207547169	0.8679245283018868	0.8448275862068966	0.6320754716981132	0.7735849056603774	0.6037735849056604	0.7830188679245284	0.7358490566037735	0.7547169811320755	0.7830188679245284	0.7948717948717948	0.8113207547169812	0.5943396226415094	0.7830188679245284	0.7735849056603774	0.7264150943396226	0.8773584905660378	0.8867924528301887	0.7264150943396226	0.7547169811320755	0.8113207547169812	0.8560606060606061
Electronic Prescribing Systems: Making it safer to take your medicine?	0.773972602739726	0.7934782608695652	0.7857142857142857	0.8	0.8857142857142857	0.8428571428571429	0.8571428571428571	0.7714285714285715	0.7714285714285715	0.9428571428571428	0.635593220338983	0.7857142857142857	0.8378378378378378	0.8142857142857143	0.7692307692307693	0.8285714285714286	0.7642276422764228	0.8085106382978723	0.8045977011494253	0.8	0.7931034482758621	0.8285714285714286	0.75	0.8513513513513513	0.8571428571428571	0.782051282051282	0.6739130434782609	0.8	0.7863247863247863	0.2391304347826087	0.7916666666666666	0.8	0.8857142857142857	0.7472527472527473	0.8285714285714286	0.8571428571428571	0.7857142857142857	0.7972972972972973	0.7777777777777778	0.8333333333333334
Extrapolating Evidence of Health Information Technology Savings and Costs	0.6506849315068494	0.6630434782608695	0.7671232876712328	0.7534246575342466	0.8767123287671232	0.7808219178082192	0.821917808219178	0.821917808219178	0.7123287671232876	0.9452054794520548	0.788135593220339	0.7671232876712328	0.527027027027027	0.821917808219178	0.6433566433566433	0.5616438356164384	0.7560975609756098	0.5531914893617021	0.5287356321839081	0.821917808219178	0.8017241379310345	0.4794520547945205	0.6634615384615384	0.013513513513513514	0.8356164383561644	0.8076923076923077	0.75	0.8082191780821918	0.7264957264957265	0.782608695652174	0.8082191780821918	0.7671232876712328	0.8904109589041096	0.7802197802197802	0.8493150684931506	0.8356164383561644	0.684931506849315	0.8648648648648649	0.7474747474747475	0.8863636363636364
Gauging the Progress of the National Health Information Technology Initative: Perspectives from the Field	0.2808219178082192	0.7714285714285715	0.6857142857142857	0.780952380952381	0.9142857142857143	0.8285714285714286	0.8380952380952381	0.8476190476190476	0.7714285714285715	0.9333333333333333	0.8135593220338984	0.6857142857142857	0.6285714285714286	0.7428571428571429	0.26573426573426573	0.6095238095238096	0.7723577235772358	0.6476190476190476	0.6095238095238096	0.8571428571428571	0.8103448275862069	0.6	0.6952380952380952	0.6095238095238096	0.8	0.7523809523809524	0.8095238095238095	0.7333333333333333	0.7350427350427351	0.7904761904761904	0.6952380952380952	0.7428571428571429	0.780952380952381	0.7619047619047619	0.8571428571428571	0.9047619047619048	0.7714285714285715	0.7523809523809524	0.819047619047619	0.8863636363636364
Health Information Technology: Can HIT Lower Costs and Improve Quality?	0.7602739726027398	0.75	0.7464788732394366	0.8450704225352113	0.8873239436619719	0.8028169014084507	0.8169014084507042	0.8309859154929577	0.8169014084507042	0.9014084507042254	0.7372881355932204	0.7464788732394366	0.8513513513513513	0.8309859154929577	0.7552447552447552	0.8169014084507042	0.7560975609756098	0.648936170212766	0.7241379310344828	0.8873239436619719	0.8189655172413793	0.8309859154929577	0.7596153846153846	0.7837837837837838	0.7746478873239436	0.8333333333333334	0.782608695652174	0.8028169014084507	0.7606837606837606	0.782608695652174	0.013888888888888888	0.8028169014084507	0.8732394366197183	0.8021978021978022	0.8732394366197183	0.8591549295774648	0.7605633802816901	0.8108108108108109	0.7878787878787878	0.8484848484848485
Snapshot: The State of Health Information Technology in California	0.6575342465753424	0.5217391304347826	0.7878787878787878	0.7878787878787878	0.8939393939393939	0.8181818181818182	0.8181818181818182	0.8181818181818182	0.696969696969697	0.9393939393939394	0.788135593220339	0.7878787878787878	0.4864864864864865	0.8405797101449275	0.6503496503496503	0.34328358208955223	0.7967479674796748	0.5531914893617021	0.5402298850574713	0.8333333333333334	0.8103448275862069	0.3939393939393939	0.6538461538461539	0.43243243243243246	0.8333333333333334	0.8461538461538461	0.7934782608695652	0.7878787878787878	0.7094017094017094	0.7934782608695652	0.8194444444444444	0.7424242424242424	0.8840579710144928	0.7692307692307693	0.8484848484848485	0.8787878787878788	0.6818181818181818	0.8378378378378378	0.7575757575757576	0.8712121212121212
The Chain Pharmacy Industry Profile 2003	0.8287671232876712	0.8152173913043478	0.75	0.9069767441860465	0.9	0.8	0.7	0.9	0.825	0.9	0.8305084745762712	0.75	0.7702702702702703	0.8405797101449275	0.8251748251748252	0.8059701492537313	0.8373983739837398	0.7872340425531915	0.8160919540229885	0.85	0.853448275862069	0.734375	0.8365384615384616	0.8243243243243243	0.7454545454545455	0.782051282051282	0.8369565217391305	0.4827586206896552	0.8290598290598291	0.8260869565217391	0.8055555555555556	0.8448275862068966	0.7971014492753623	0.8351648351648352	0.85	0.85	0.85	0.7837837837837838	0.8080808080808081	0.8863636363636364
The Diffusion of Healthcare Information Technology	0.7397260273972602	0.6195652173913043	0.734375	0.82	0.88	0.86	0.86	0.82	0.64	0.92	0.8135593220338984	0.734375	0.32432432432432434	0.8260869565217391	0.7342657342657343	0.5223880597014925	0.8048780487804879	0.5531914893617021	0.5172413793103449	0.78	0.8275862068965517	0.46875	0.7211538461538461	0.5675675675675675	0.8727272727272727	0.7435897435897436	0.7717391304347826	0.8103448275862069	0.7521367521367521	0.75	0.7638888888888888	0.7931034482758621	0.7681159420289855	0.8241758241758241	0.8	0.84	0.64	0.7972972972972973	0.7878787878787878	0.8712121212121212
The State and Pattern of Health Information Technology Adoption	0.6575342465753424	0.5543478260869565	0.796875	0.7936507936507936	0.8888888888888888	0.8253968253968254	0.8253968253968254	0.8253968253968254	0.6825396825396826	0.9047619047619048	0.7966101694915254	0.796875	0.40540540540540543	0.8405797101449275	0.6503496503496503	0.4626865671641791	0.7723577235772358	0.5531914893617021	0.5632183908045977	0.8412698412698413	0.8103448275862069	0.015625	0.6153846153846154	0.47297297297297297	0.7936507936507936	0.8205128205128205	0.7934782608695652	0.7777777777777778	0.6923076923076923	0.782608695652174	0.8194444444444444	0.7142857142857143	0.8405797101449275	0.7802197802197802	0.8571428571428571	0.873015873015873	0.6825396825396826	0.8378378378378378	0.7474747474747475	0.8484848484848485
12th Annual Government Contractor Industry Survey	0.815068493150685	0.8152173913043478	0.78125	0.8367346938775511	0.8571428571428571	0.7959183673469388	0.8163265306122449	0.8571428571428571	0.8367346938775511	0.9183673469387755	0.8305084745762712	0.78125	0.8108108108108109	0.8115942028985508	0.8111888111888111	0.8059701492537313	0.8211382113821138	0.7872340425531915	0.7931034482758621	0.7755102040816326	0.8362068965517241	0.78125	0.7980769230769231	0.8243243243243243	0.10909090909090909	0.8076923076923077	0.7934782608695652	0.6724137931034483	0.8205128205128205	0.8260869565217391	0.7361111111111112	0.8275862068965517	0.8115942028985508	0.7912087912087912	0.7959183673469388	0.8367346938775511	0.7346938775510204	0.7837837837837838	0.7878787878787878	0.8636363636363636
Results from the 2006 National Survey on Drug Use and Health: National Findings	0.7465753424657534	0.7065217391304348	0.8227848101265823	0.7848101265822784	0.8734177215189873	0.7974683544303798	0.8607594936708861	0.810126582278481	0.7974683544303798	0.9240506329113924	0.7796610169491526	0.8227848101265823	0.8227848101265823	0.7974683544303798	0.7552447552447552	0.7721518987341772	0.7479674796747967	0.7978723404255319	0.8505747126436781	0.8481012658227848	0.7844827586206896	0.7974683544303798	0.7596153846153846	0.810126582278481	0.7974683544303798	0.8481012658227848	0.782608695652174	0.8227848101265823	0.7606837606837606	0.8152173913043478	0.7848101265822784	0.7721518987341772	0.7468354430379747	0.7692307692307693	0.8607594936708861	0.8987341772151899	0.7721518987341772	0.8354430379746836	0.8181818181818182	0.8636363636363636
Small Business Size Standards	0.8698630136986302	0.8369565217391305	0.828125	0.7441860465116279	0.8620689655172413	0.7428571428571429	0.967741935483871	0.8108108108108109	0.7777777777777778	0.9655172413793104	0.864406779661017	0.828125	0.8243243243243243	0.7971014492753623	0.8741258741258742	0.8507462686567164	0.8617886178861789	0.8617021276595744	0.8505747126436781	0.8275862068965517	0.8706896551724138	0.84375	0.875	0.8108108108108109	0.8363636363636363	0.8205128205128205	0.8152173913043478	0.7586206896551724	0.8547008547008547	0.8260869565217391	0.8055555555555556	0.7586206896551724	0.8405797101449275	0.8351648351648352	0.8620689655172413	0.8275862068965517	0.825	0.8108108108108109	0.8585858585858586	0.9090909090909091
Surescripts - The Nation's E-Prescription Network	0.815068493150685	0.7717391304347826	0.734375	0.8571428571428571	0.8775510204081632	0.7755102040816326	0.8571428571428571	0.7959183673469388	0.7346938775510204	0.9387755102040817	0.8050847457627118	0.734375	0.7972972972972973	0.782608695652174	0.8111888111888111	0.7313432835820896	0.8292682926829268	0.7978723404255319	0.7931034482758621	0.7142857142857143	0.8017241379310345	0.796875	0.7692307692307693	0.8243243243243243	0.8727272727272727	0.7564102564102564	0.7934782608695652	0.8275862068965517	0.7863247863247863	0.782608695652174	0.8472222222222222	0.7931034482758621	0.8260869565217391	0.8131868131868132	0.8571428571428571	0.8775510204081632	0.8571428571428571	0.7702702702702703	0.7575757575757576	0.8409090909090909
CCHIT Ambulatory Functionality 2007 Final Criteria	0.8082191780821918	0.75	0.78125	0.88	0.88	0.86	0.82	0.86	0.86	0.92	0.847457627118644	0.78125	0.8513513513513513	0.7681159420289855	0.8041958041958042	0.835820895522388	0.8048780487804879	0.7978723404255319	0.7241379310344828	0.8	0.8362068965517241	0.8125	0.8173076923076923	0.8243243243243243	0.8363636363636363	0.8333333333333334	0.8152173913043478	0.8275862068965517	0.8034188034188035	0.8260869565217391	0.8194444444444444	0.7931034482758621	0.782608695652174	0.7912087912087912	0.8	0.88	0.78	0.7837837837837838	0.7676767676767676	0.8636363636363636
CCHIT Security Criteria	0.8972602739726028	0.8695652173913043	0.859375	0.8604651162790697	0.8695652173913043	0.8285714285714286	0.8709677419354839	0.8378378378378378	0.8055555555555556	0.9629629629629629	0.8983050847457628	0.859375	0.8918918918918919	0.8405797101449275	0.8951048951048951	0.8507462686567164	0.8943089430894309	0.851063829787234	0.735632183908046	0.8148148148148148	0.8879310344827587	0.875	0.875	0.8648648648648649	0.8545454545454545	0.8589743589743589	0.8695652173913043	0.8275862068965517	0.8547008547008547	0.8695652173913043	0.8472222222222222	0.8448275862068966	0.8405797101449275	0.8571428571428571	0.8695652173913043	0.8695652173913043	0.85	0.8783783783783784	0.8686868686868687	0.9166666666666666
HIPAA Security Guidance	0.9178082191780822	0.9021739130434783	0.84375	0.8604651162790697	0.8695652173913043	0.7714285714285715	0.8387096774193549	0.8648648648648649	0.8055555555555556	0.9259259259259259	0.9067796610169492	0.84375	0.8783783783783784	0.855072463768116	0.916083916083916	0.8805970149253731	0.8861788617886179	0.8723404255319149	0.8505747126436781	0.8148148148148148	0.9051724137931034	0.890625	0.875	0.8648648648648649	0.8363636363636363	0.8846153846153846	0.8695652173913043	0.8620689655172413	0.8632478632478633	0.8804347826086957	0.8611111111111112	0.8620689655172413	0.8260869565217391	0.8681318681318682	0.8695652173913043	0.9130434782608695	0.825	0.8783783783783784	0.8888888888888888	0.9242424242424242
Information Security: Electronic Authentication Guideline	0.7876712328767124	0.717391304347826	0.796875	0.7894736842105263	0.8947368421052632	0.8245614035087719	0.7894736842105263	0.8070175438596491	0.7543859649122807	0.9298245614035088	0.7372881355932204	0.796875	0.7702702702702703	0.782608695652174	0.7832167832167832	0.6716417910447762	0.7642276422764228	0.7659574468085106	0.7586206896551724	0.8245614035087719	0.7844827586206896	0.78125	0.7115384615384616	0.8108108108108109	0.8596491228070176	0.7564102564102564	0.7608695652173914	0.8620689655172413	0.5128205128205128	0.7934782608695652	0.6666666666666666	0.8448275862068966	0.8115942028985508	0.7802197802197802	0.8070175438596491	0.8421052631578947	0.7894736842105263	0.7027027027027027	0.7171717171717171	0.8560606060606061
Physicians' Experiences Using Commercial E-Prescribing Systems	0.8287671232876712	0.8369565217391305	0.8125	0.8064516129032258	0.9032258064516129	0.8064516129032258	0.8548387096774194	0.7580645161290323	0.7419354838709677	0.9354838709677419	0.7711864406779662	0.8125	0.8243243243243243	0.8115942028985508	0.8321678321678322	0.8955223880597015	0.7723577235772358	0.8404255319148937	0.8045977011494253	0.8387096774193549	0.8017241379310345	0.84375	0.7884615384615384	0.7972972972972973	0.7903225806451613	0.7435897435897436	0.7608695652173914	0.8548387096774194	0.8205128205128205	0.7608695652173914	0.8611111111111112	0.8225806451612904	0.8405797101449275	0.7582417582417582	0.8870967741935484	0.8225806451612904	0.7903225806451613	0.8243243243243243	0.6363636363636364	0.8409090909090909
