	Urban ornamental plants: sensitivity to ozone and potential economic losses. U.S. EPA, Office of Air Quality Planning and Standards, Research Triangle Park. Under contract to RADIAN Corporation, contract no. 68-D3-0033,	A reassessment of the economic effects of ozone on U.S.	The benefits of pollution control: the case of ozone	Ambient ozone effects on forest trees of the eastern United States: a review.	A preliminary assessment of the Montreal process indicators of air pollution for the United States. Environmental Monitoring and Assessment, Integrated Science Assessment	Air Pollution Damage to U.S. Forests.	Impact of Air Pollutants on Southern Pine Forests,	The physiological basis of ozone injury assessment attributes in Sierran conifers. In	The need for a long term cumulative secondary ozone standard ‚Äì an ecological perspective. Environmental Management,	Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards.	Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California. In: Air Pollutants Effects on Forest Ecosystems,	Oxidant air pollution effects on a western coniferous forest ecosystem.	Little‚Äôs range and FIA importance value database for 135 eastern U.S. tree species. Northeastern Research Station, USDA Forest Service. Available on the Internet at http://www.fs.fed.us/ne/delaware/4153/global/littlefia/index.html Pye,	A national ozone biomonitoring program‚Äî results from field surveys of ozone sensitive plants in Northeastern forests (1994-2000). Environmental Monitoring and Assessment,	Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs.	Variation in plant response to ozone: a conceptual model of physiological events.	The Benefits and Costs of the Clean Air Act, 1990-2010. Prepared for U.S. Congress by U.S.	Available on the Internet at http://www.epa.gov/oar/sect812/1990-2010/chap1130.pdf U.S. Environmental Protection Agency	Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze. Office of Air Quality Planning and Standards. EPA-454/B-07-002. April. Available on the Internet at http://www.epa.gov/scram001/guidance/guide/final-03-pm-rh-guidance.pdf U.S. Environmental Protection Agency	Available on the Internet at http://cfpub.epa.gov/ncea/cfm/recordisplay.cfm?deid=201485 U.S. Environmental Protection Agency
Proposed NO2 NAAQS Regulatory Impact Analysis	0.2857142857142857	0.40909090909090906	0.4222222222222223	0.4285714285714286	0.2592592592592593	0.30434782608695654	0.25	0.2941176470588235	0.3584905660377359	0.28301886792452835	0.2962962962962963	0.276595744680851	0.32352941176470584	0.3870967741935484	0.34782608695652173	0.31999999999999995	0.3448275862068966	0.33333333333333337	0.33333333333333337	0.3125
Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs	0.39682539682539686	0.29729729729729726	0.21052631578947367	0.33333333333333337	0.23404255319148937	0.28205128205128205	0.2195121951219512	0.2272727272727273	0.21739130434782605	0.21739130434782605	0.3191489361702128	0.25	0.3770491803278688	0.38181818181818183	0.02564102564102566	0.16279069767441856	0.4117647058823529	0.3928571428571429	0.4411764705882353	0.368421052631579
Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution	0.352112676056338	0.4666666666666667	0.4347826086956522	0.48	0.23636363636363633	0.3191489361702128	0.26530612244897955	0.3846153846153846	0.2592592592592593	0.37037037037037035	0.1636363636363637	0.29166666666666663	0.33333333333333337	0.33333333333333337	0.36170212765957444	0.33333333333333337	0.3220338983050848	0.375	0.39473684210526316	0.3846153846153846
Air pollution and emergency department visits for asthma among Ohio Medicaid recipients	0.34328358208955223	0.31707317073170727	0.2857142857142857	0.30434782608695654	0.13725490196078427	0.34883720930232553	0.24444444444444446	0.25	0.16000000000000003	0.19999999999999996	0.2549019607843137	0.18181818181818177	0.3538461538461538	0.288135593220339	0.16279069767441856	0.14893617021276595	0.34545454545454546	0.33333333333333337	0.36111111111111116	0.3114754098360656
Ambient air pollution and respiratory emergency department visits	0.375	0.368421052631579	0.28205128205128205	0.3023255813953488	0.20833333333333337	0.30000000000000004	0.2857142857142857	0.24444444444444446	0.23404255319148937	0.19148936170212771	0.29166666666666663	0.2195121951219512	0.3548387096774194	0.3214285714285714	0.19999999999999996	0.18181818181818177	0.34615384615384615	0.33333333333333337	0.42028985507246375	0.31034482758620685
How sensitive is the association between ozone and daily deaths to control for temperature?	0.38235294117647056	0.33333333333333337	0.2093023255813954	0.23404255319148937	0.2692307692307693	0.4545454545454546	0.30434782608695654	0.22448979591836737	0.21568627450980393	0.17647058823529416	0.3076923076923077	0.19999999999999996	0.36363636363636365	0.33333333333333337	0.2272727272727273	0.16666666666666663	0.3928571428571429	0.34426229508196726	0.36986301369863017	0.32258064516129037
Ozone exposure and mortality: an empiric bayes metaregression analysis	0.36363636363636365	0.4	0.2195121951219512	0.33333333333333337	0.31999999999999995	0.38095238095238093	0.36363636363636365	0.23404255319148937	0.26530612244897955	0.18367346938775508	0.28	0.16279069767441856	0.375	0.3793103448275862	0.2857142857142857	0.17391304347826086	0.40740740740740744	0.38983050847457623	0.4084507042253521	0.3666666666666667
Reduction in fine particulate air pollution and mortality - Extended follow-up of the Harvard six cities study	0.3623188405797102	0.39534883720930236	0.31818181818181823	0.33333333333333337	0.24528301886792447	0.4666666666666667	0.3191489361702128	0.31999999999999995	0.23076923076923073	0.2692307692307693	0.24528301886792447	0.17391304347826086	0.34328358208955223	0.34426229508196726	0.24444444444444446	0.22448979591836737	0.4035087719298246	0.32258064516129037	0.3513513513513513	0.3650793650793651
Bayesian Hierarchical Distributed Lag Models for Summer Ozone Exposure and Cardio_Respiratory Mortality 	0.2987012987012987	0.4117647058823529	0.34615384615384615	0.3928571428571429	0.2786885245901639	0.4339622641509434	0.38181818181818183	0.27586206896551724	0.2666666666666667	0.2666666666666667	0.3114754098360656	0.2962962962962963	0.33333333333333337	0.3623188405797102	0.3207547169811321	0.29824561403508776	0.3538461538461538	0.4	0.29268292682926833	0.3802816901408451
Associations between ozone and daily mortality: analysis and meta_analysis	0.4375	0.3157894736842105	0.28205128205128205	0.2093023255813954	0.375	0.4	0.38095238095238093	0.33333333333333337	0.36170212765957444	0.276595744680851	0.33333333333333337	0.2682926829268293	0.4193548387096774	0.4285714285714286	0.4	0.2727272727272727	0.42307692307692313	0.368421052631579	0.4492753623188406	0.4137931034482759
A preliminary assessment of the Montreal process indicators of air pollution for the United States	0.36363636363636365	0.19999999999999996	0.2682926829268293	0.24444444444444446	0.12	0.2857142857142857	0.18181818181818177	0.23404255319148937	0.22448979591836737	0.18367346938775508	0.24	0.2093023255813954	0.34375	0.3448275862068966	0.23809523809523814	0.21739130434782605	0.2962962962962963	0.3220338983050848	0.3802816901408451	0.30000000000000004
Mechanistic analysis of plant responses to air pollution	0.47540983606557374	0.3142857142857143	0.16666666666666663	0.4	0.24444444444444446	0.4054054054054054	0.23076923076923073	0.23809523809523814	0.2272727272727273	0.2727272727272727	0.28888888888888886	0.21052631578947367	0.4576271186440678	0.39622641509433965	0.18918918918918914	0.2195121951219512	0.3877551020408163	0.4444444444444444	0.48484848484848486	0.4181818181818182
The benefits of pollution control: the case of ozone and U.S. agriculture	0.2941176470588235	0.23809523809523814	0.11627906976744184	0.19148936170212771	0.23076923076923073	0.31818181818181823	0.30434782608695654	0.1428571428571429	0.21568627450980393	0.0980392156862745	0.3076923076923077	0.28888888888888886	0.33333333333333337	0.3666666666666667	0.2272727272727273	0.16666666666666663	0.25	0.3114754098360656	0.36986301369863017	0.29032258064516125
Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards	0.23943661971830987	0.24444444444444446	0.21739130434782605	0.16000000000000003	0.12727272727272732	0.3191489361702128	0.26530612244897955	0.11538461538461542	0.18518518518518523	0.0	0.23636363636363633	0.25	0.24637681159420288	0.3015873015873016	0.19148936170212771	0.0980392156862745	0.288135593220339	0.21875	0.2894736842105263	0.19999999999999996
Long_Term Ozone Exposure and Mortality	0.4117647058823529	0.47619047619047616	0.34883720930232553	0.4893617021276596	0.3076923076923077	0.40909090909090906	0.4347826086956522	0.30612244897959184	0.21568627450980393	0.33333333333333337	0.34615384615384615	0.24444444444444446	0.4545454545454546	0.3666666666666667	0.36363636363636365	0.29166666666666663	0.4642857142857143	0.47540983606557374	0.452054794520548	0.4516129032258065
A national ozone biomonitoring program—results from field surveys of ozone sensitive plants in Northeastern forests	0.32352941176470584	0.33333333333333337	0.2558139534883721	0.276595744680851	0.23076923076923073	0.36363636363636365	0.30434782608695654	0.22448979591836737	1.0	0.17647058823529416	0.3076923076923077	0.28888888888888886	1.0	1.0	0.2272727272727273	0.16666666666666663	0.3571428571428571	0.34426229508196726	0.3972602739726028	0.32258064516129037
Air pollution, weather, and respiratory emergency room visits in two northern New England cities: an ecological time-series study	0.2857142857142857	0.40909090909090906	0.33333333333333337	0.30612244897959184	0.18518518518518523	0.3913043478260869	0.29166666666666663	0.33333333333333337	0.2075471698113207	0.24528301886792447	0.2222222222222222	0.276595744680851	0.2941176470588235	0.25806451612903225	0.26086956521739135	0.19999999999999996	0.3448275862068966	0.2698412698412699	0.33333333333333337	0.3125
Impact of ozone on the growth and yield of trees: A review	0.32352941176470584	0.2857142857142857	0.2558139534883721	0.19148936170212771	0.1923076923076923	0.40909090909090906	0.26086956521739135	0.22448979591836737	0.21568627450980393	0.13725490196078427	0.23076923076923073	0.24444444444444446	0.303030303030303	0.33333333333333337	0.2272727272727273	0.125	0.3571428571428571	0.24590163934426235	0.34246575342465757	0.29032258064516125
Absorption of air pollution by plants, and consequences for growth	0.3731343283582089	0.36585365853658536	0.23809523809523814	0.30434782608695654	0.21568627450980393	0.39534883720930236	0.24444444444444446	0.25	0.24	0.24	0.2549019607843137	0.2272727272727273	0.32307692307692304	0.3220338983050848	0.2558139534883721	0.23404255319148937	0.2727272727272727	0.33333333333333337	0.38888888888888884	0.34426229508196726
A meta_analysis of time_series studies of ozone and mortality with comparison to the national morbidity, mortality, and air pollution study	0.3529411764705882	0.2857142857142857	0.2093023255813954	0.23404255319148937	0.23076923076923073	0.40909090909090906	0.21739130434782605	0.22448979591836737	0.21568627450980393	0.21568627450980393	0.23076923076923073	0.19999999999999996	0.33333333333333337	0.30000000000000004	0.2727272727272727	0.20833333333333337	0.3214285714285714	0.34426229508196726	0.36986301369863017	0.3548387096774194
Ozone and short-term mortality in 95 US urban communities, 1987-2000	0.32432432432432434	0.375	0.3877551020408163	0.3584905660377359	0.3448275862068966	0.43999999999999995	0.3846153846153846	0.34545454545454546	0.368421052631579	0.29824561403508776	0.4137931034482759	0.37254901960784315	0.38888888888888884	0.303030303030303	0.43999999999999995	0.37037037037037035	0.25806451612903225	0.28358208955223885	0.2911392405063291	0.2941176470588235
