	State of the Vending Industry Report.” http://www.vendingmarketwatch.com/content/reports/ accessed,	National Automatic Merchandising Association. “Comments of: The National Automatic Merchandising Association.” Docket No.	Business Administration. “Table of Small Business Size Standards Matched to North American Industry Classification System Codes,” Effective	Operators Find Today&apos;s Patrons Favor &apos;Better-For-You&apos; Food Selections In	Is the Obesity Epidemic a Public Health Problem? A Decade	Strategies for Promoting Healthier Food Choices.” American Economic Review: Papers and Proceedings,	Doing it Now or	Will all Americans Become Overweight or Obese? Estimating the Progression and	Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States,	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US.” Obesity,	Social Network and Weight Misperception Among Adolescents”. Southern Economic Journal, Forthcoming,	Size Matters: The Influence of Adolescent’s Weight and	Body Weight, Self-Perception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity: Payer-	The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination,”	The Long-Run Growth in Obesity as a Function of Technological Change.”	An Economic Analysis of Adult Obesity: Results from the Behavioral Risk Factor Surveillance System.”	A Pricing Strategy to Promote Low-Fat Snack Choices through Vending Machines”.	Department of Agriculture Economic Research Service. “Table 15: Sales of meals and snacks away from home by type of outlet.” Food CPI and Expenditures: Food Expenditure Tables. http://www.ers.usda.gov/Briefing/CPIFoodAndExpenditures/Data/ Accessed 10/8/2010.	Testing Laboratory. “Quality Nutrition Analysis.” http://www.rlfoodtestinglaboratory.com/services.asp, accessed	Evaluation of Recordkeeping Costs for Food Manufacturers, Final Report.” Prepared for Andy Estrin and Cristina McLaughlin of FDA&apos;s Center for Food Safety and Applied Nutrition. Prepared by Aylin Sertkaya, Ayesha Berlind and Seda Erdem. Contract No. 223-01-2461, Task Order Number 5,	City’s Soda Cost Millions Monthly: Tax on Soft Drinks	Taxing Food: Implications for Public	Ounces of Prevention — The Public Policy Case for Taxes on Sugared Beverages.” New England	The Effects of Soft Drink Taxes on Child and Adolescent Consumption and Weight Outcomes.”	Schoolchildren’s Consumption of Competitive Foods and Beverages, Excluding à la	Choose Beverages and Foods to Moderate your Intake of Sugars: Measurement Requires Quantification.	Measuring the Health of the U.S.	Obesity-Related Quality-Adusted Life Years Lost in the U.S. from 1993-2008,”	Trends in Quality-Adjusted Life-Years Lost Contributed by Smoking and Obesity,”	Statistical Abstract of the United States:	Separating what We Eat from where:	"Calorie Labeling And Food Choices: A First Look At The Effects On Low-Income People In New York City."""	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information.”	Do Nutrition Labels Improve Dietary Outcomes?	Mandatory Menu Labeling in One Fast-Food Chain in King County,	Child and Adolescent Fast-Food Choice and the Influence of Calorie Labeling:	"Nutrition Menu Labeling May Lead to Lower-Calorie Restaurant Meal Choices for Children."" Pediatrics,"	Modeling weight-loss maintenance to help prevent body weight regain,”	School Vending Machine Use and Fast-Food Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth.”
Quality Nutrition Analysis	0.7058823529411764	0.6	0.6176470588235294	0.6333333333333333	0.6071428571428572	0.7142857142857143	0.5882352941176471	0.6551724137931034	0.625	0.7027027027027026	0.625	0.6071428571428572	0.7	0.6666666666666667	0.5384615384615384	0.6666666666666667	0.6451612903225806	0.625	0.65625	0.7446808510638299	0.5757575757575757	0.74	0.6153846153846154	0.6296296296296297	0.6470588235294117	0.6666666666666667	0.6875	0.6666666666666667	0.5652173913043479	0.6388888888888888	0.5806451612903225	0.5652173913043479	0.72	0.6842105263157895	0.65625	0.52	0.5925925925925926	0.5925925925925926	0.6129032258064516	0.6428571428571428	0.6764705882352942
Table of Small Business Size Standards Matched to North American Industry Classification System Codes	0.5384615384615384	0.38235294117647056	0.18181818181818177	0.5	0.47058823529411764	0.55	0.7666666666666666	0.5142857142857142	0.45945945945945943	0.475	0.5	0.32258064516129037	0.47058823529411764	0.4482758620689655	0.4545454545454546	0.45945945945945943	0.5135135135135135	0.41666666666666663	0.4864864864864865	0.5	0.46153846153846156	0.5098039215686274	0.46875	0.48484848484848486	0.4054054054054054	0.45945945945945943	0.4722222222222222	0.41666666666666663	0.5161290322580645	0.5581395348837209	0.45945945945945943	0.4137931034482759	0.6363636363636364	0.46341463414634143	0.4	0.48484848484848486	0.5	0.40625	0.4444444444444444	0.5	0.5128205128205128
The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination	0.5128205128205128	0.4444444444444444	0.475	0.5897435897435898	0.4411764705882353	0.4054054054054054	0.7333333333333334	0.3939393939393939	0.2941176470588235	0.41025641025641024	0.5128205128205128	0.48571428571428577	0.5277777777777778	0.4137931034482759	0.4242424242424242	0.06666666666666665	0.4	0.43243243243243246	0.5384615384615384	0.44680851063829785	0.39473684210526316	0.5471698113207547	0.48484848484848486	0.40625	0.3783783783783784	0.34285714285714286	0.4444444444444444	0.55	0.6176470588235294	0.6	0.4736842105263158	0.43333333333333335	0.4666666666666667	0.3157894736842105	0.45945945945945943	0.5428571428571429	0.5142857142857142	0.4242424242424242	0.5	0.4242424242424242	0.627906976744186
Strategies for Promoting Healthier Food Choices	0.5428571428571429	0.46875	0.5405405405405406	0.5454545454545454	0.5161290322580645	0.32258064516129037	0.7083333333333333	0.4666666666666667	0.4545454545454546	0.4722222222222222	0.5	0.4666666666666667	0.3571428571428571	0.5555555555555556	0.5	0.5	0.5151515151515151	0.5	0.4375	0.5652173913043479	0.5789473684210527	0.6	0.5172413793103448	0.4285714285714286	0.48571428571428577	0.4545454545454546	0.3666666666666667	0.4545454545454546	0.4	0.6341463414634146	0.5428571428571429	0.4	0.5	0.5	0.4375	0.625	0.5	0.3928571428571429	0.48484848484848486	0.5	0.5555555555555556
Taxing Food: Implications for Public Health Nutrition	0.5	0.4285714285714286	0.5	0.5	0.4242424242424242	0.43243243243243246	0.7241379310344828	0.5142857142857142	0.41666666666666663	0.4358974358974359	0.5	0.4242424242424242	0.47058823529411764	0.4482758620689655	0.4545454545454546	0.41666666666666663	0.5135135135135135	0.5	0.5641025641025641	0.46808510638297873	0.42105263157894735	0.5660377358490566	0.5588235294117647	0.14814814814814814	0.4473684210526315	0.45945945945945943	0.4285714285714286	0.5	0.5161290322580645	0.6521739130434783	0.575	0.4666666666666667	0.5483870967741935	0.3846153846153846	0.4864864864864865	0.48484848484848486	0.5428571428571429	0.3548387096774194	0.4864864864864865	0.5	0.5853658536585367
Obesity-Related Quality-Adjusted Life Years Lost in the U.S. from 1993-2008	0.6086956521739131	0.6222222222222222	0.574468085106383	0.6136363636363636	0.5952380952380952	0.6170212765957447	0.8421052631578947	0.627906976744186	0.5116279069767442	0.5217391304347826	0.6382978723404256	0.627906976744186	0.627906976744186	0.631578947368421	0.55	0.6086956521739131	0.5238095238095238	0.47619047619047616	0.5681818181818181	0.537037037037037	0.5434782608695652	0.49090909090909096	0.6666666666666667	0.6744186046511628	0.5957446808510638	0.5777777777777777	0.6521739130434783	0.5777777777777777	0.5675675675675675	0.08333333333333337	0.4	0.5277777777777778	0.7	0.5416666666666667	0.5681818181818181	0.6097560975609756	0.55	0.55	0.5348837209302326	0.6190476190476191	0.5555555555555556
Size Matters: The Influence of Adolescent�s Weight and Height on Dating and Sex	1.0	1.0	1.0	0.5897435897435898	0.5277777777777778	1.0	0.7333333333333334	0.5675675675675675	0.4736842105263158	1.0	1.0	1.0	0.48571428571428577	0.6060606060606061	0.47058823529411764	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4545454545454546	1.0	1.0	1.0	0.5128205128205128	0.43333333333333335	1.0	1.0	0.43333333333333335	0.5625	0.5777777777777777	1.0	0.6216216216216216	0.5945945945945945	0.4242424242424242	0.575	1.0	1.0
The Economics of Childhood Obesity	0.6388888888888888	0.53125	0.47058823529411764	0.6060606060606061	0.48275862068965514	0.5714285714285714	0.7916666666666666	0.48275862068965514	0.46875	0.4411764705882353	0.6388888888888888	0.5806451612903225	0.5806451612903225	0.31818181818181823	0.5666666666666667	0.3666666666666667	0.4838709677419355	0.46875	0.6285714285714286	0.6086956521739131	0.5555555555555556	0.6122448979591837	0.5357142857142857	0.5517241379310345	0.4545454545454546	0.46875	0.53125	0.6	0.6428571428571428	0.6153846153846154	0.5151515151515151	0.48	0.6296296296296297	0.4722222222222222	0.5454545454545454	0.5517241379310345	0.5172413793103448	0.5172413793103448	0.5454545454545454	0.5172413793103448	0.717948717948718
The Impact of Obesity on Wages	0.5294117647058824	0.5882352941176471	0.5675675675675675	0.5757575757575757	0.5	0.6216216216216216	0.75	0.5	0.5294117647058824	0.5405405405405406	0.6111111111111112	0.5	0.5	0.09999999999999998	0.5333333333333333	0.4375	0.5	0.5714285714285714	0.6388888888888888	0.6170212765957447	0.5277777777777778	0.6470588235294117	0.6451612903225806	0.4642857142857143	0.5555555555555556	0.48484848484848486	0.5882352941176471	0.5714285714285714	0.6071428571428572	0.6585365853658536	0.5714285714285714	0.5555555555555556	0.48	0.4864864864864865	0.5588235294117647	0.4642857142857143	0.5806451612903225	0.5333333333333333	0.6	0.48275862068965514	0.6923076923076923
Doing it Now or Later	0.696969696969697	0.6333333333333333	0.7567567567567568	0.75	0.7333333333333334	0.7058823529411764	0.23076923076923073	0.6428571428571428	0.696969696969697	0.7948717948717949	0.65625	0.6896551724137931	0.6896551724137931	0.7083333333333333	0.6785714285714286	0.696969696969697	0.6333333333333333	0.7714285714285715	0.6451612903225806	0.7659574468085106	0.6470588235294117	0.76	0.7037037037037037	0.7142857142857143	0.6764705882352942	0.696969696969697	0.71875	0.7352941176470589	0.6086956521739131	0.7692307692307692	0.696969696969697	0.6666666666666667	0.5238095238095238	0.6756756756756757	0.6875	0.56	0.6296296296296297	0.6296296296296297	0.6	0.6296296296296297	0.7058823529411764
The Economics of Immediate Gratification	0.5454545454545454	0.5161290322580645	0.5	0.59375	0.5172413793103448	0.5588235294117647	0.7272727272727273	0.5172413793103448	0.5454545454545454	0.5555555555555556	0.5882352941176471	0.4642857142857143	0.5666666666666667	0.36363636363636365	0.6451612903225806	0.4516129032258065	0.5625	0.5454545454545454	0.6176470588235294	0.6304347826086957	0.5833333333333333	0.6862745098039216	0.5714285714285714	0.4814814814814815	0.5714285714285714	0.5	0.5161290322580645	0.5454545454545454	0.5769230769230769	0.675	0.6285714285714286	0.45833333333333337	0.5	0.5405405405405406	0.53125	0.5862068965517242	0.6451612903225806	0.5	0.6176470588235294	0.5517241379310345	0.6388888888888888
Mandatory Menu Labeling in One Fast-Food Chain in King County, Washington	0.625	0.5675675675675675	0.55	0.5555555555555556	0.5714285714285714	0.6	0.75	0.5294117647058824	0.5135135135135135	0.525	0.5135135135135135	0.5294117647058824	0.48484848484848486	0.6129032258064516	0.4193548387096774	0.5135135135135135	0.3939393939393939	0.5526315789473684	0.4571428571428572	0.6538461538461539	0.55	0.5490196078431373	0.5757575757575757	0.5882352941176471	0.5384615384615384	0.5526315789473684	0.5277777777777778	0.5526315789473684	0.5333333333333333	0.5365853658536586	0.4285714285714286	0.5806451612903225	0.65625	0.5121951219512195	0.5	0.5454545454545454	0.040000000000000036	0.3666666666666667	0.36363636363636365	0.4193548387096774	0.5641025641025641
The Economics of Obesity	0.6470588235294117	0.625	0.5588235294117647	0.65625	0.5357142857142857	0.6571428571428571	0.7619047619047619	0.5357142857142857	0.5161290322580645	0.5294117647058824	0.6857142857142857	0.6333333333333333	0.6333333333333333	0.21052631578947367	0.6206896551724138	0.4666666666666667	0.5333333333333333	0.5161290322580645	0.6764705882352942	0.6739130434782609	0.6	0.6734693877551021	0.6428571428571428	0.6071428571428572	0.5454545454545454	0.5625	0.625	0.6470588235294117	0.6538461538461539	0.6578947368421053	0.6060606060606061	0.5416666666666667	0.5833333333333333	0.5555555555555556	0.6363636363636364	0.5555555555555556	0.6206896551724138	0.6206896551724138	0.6363636363636364	0.5714285714285714	0.7631578947368421
Separating what We Eat from where: Measuring the Effect of Food Away from Home on Diet	0.43243243243243246	0.4444444444444444	0.5121951219512195	0.5897435897435898	0.4411764705882353	0.36111111111111116	0.6896551724137931	0.48571428571428577	0.38888888888888884	0.5238095238095238	0.34285714285714286	0.3939393939393939	0.3939393939393939	0.5625	0.4242424242424242	0.43243243243243246	0.5641025641025641	0.43243243243243246	0.41666666666666663	0.47916666666666663	0.475	0.5471698113207547	0.5294117647058824	0.5	0.5365853658536586	0.38888888888888884	0.4444444444444444	0.43243243243243246	0.4838709677419355	0.6304347826086957	0.5853658536585367	0.4838709677419355	0.3571428571428571	0.47619047619047616	0.45945945945945943	0.5833333333333333	0.5555555555555556	0.47058823529411764	0.5384615384615384	0.47058823529411764	0.525
Social Dynamics of Obesity	0.6176470588235294	0.59375	0.5714285714285714	0.5806451612903225	0.5	0.6285714285714286	0.7142857142857143	0.5517241379310345	0.4838709677419355	0.5428571428571429	0.6571428571428571	0.6	0.5517241379310345	0.33333333333333337	0.4814814814814815	0.53125	0.5483870967741935	0.4838709677419355	0.6470588235294117	0.6521739130434783	0.6111111111111112	0.653061224489796	0.5555555555555556	0.5714285714285714	0.5588235294117647	0.53125	0.59375	0.6176470588235294	0.56	0.5945945945945945	0.53125	0.4347826086956522	0.6	0.6052631578947368	0.6060606060606061	0.4	0.5862068965517242	0.5862068965517242	0.6060606060606061	0.5357142857142857	0.7027027027027026
School Vending Machine Use and Fast-Food Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth	0.4473684210526315	0.5384615384615384	0.5238095238095238	0.4444444444444444	0.6153846153846154	0.5	0.7419354838709677	0.5	0.4871794871794872	0.5348837209302326	0.4473684210526315	0.4571428571428572	0.5405405405405406	0.6944444444444444	0.48571428571428577	0.627906976744186	0.5384615384615384	0.4473684210526315	0.38888888888888884	0.52	0.5909090909090908	0.5555555555555556	0.6216216216216216	0.5945945945945945	0.5476190476190477	0.5609756097560976	0.5	0.4054054054054054	0.5	0.5777777777777777	0.5609756097560976	0.5	0.6571428571428571	0.5227272727272727	0.34285714285714286	0.631578947368421	0.5277777777777778	0.4411764705882353	0.5128205128205128	0.48571428571428577	0.06451612903225812
Measuring the Health of the U.S. Population	0.5428571428571429	0.5151515151515151	0.5789473684210527	0.5882352941176471	0.5625	0.47058823529411764	0.7083333333333333	0.6060606060606061	0.5	0.5135135135135135	0.5	0.4666666666666667	0.4137931034482759	0.6071428571428572	0.4482758620689655	0.6216216216216216	0.5588235294117647	0.5833333333333333	0.5294117647058824	0.625	0.5789473684210527	0.6274509803921569	0.5666666666666667	0.5333333333333333	0.5277777777777778	0.5	0.5151515151515151	0.5428571428571429	0.09523809523809523	0.6	0.6216216216216216	0.46153846153846156	0.5	0.6097560975609756	0.5294117647058824	0.625	0.5483870967741935	0.5483870967741935	0.48484848484848486	0.5483870967741935	0.5142857142857142
Why Have Americans Become More Obese	0.6486486486486487	0.6285714285714286	0.5277777777777778	0.6176470588235294	0.5	0.6216216216216216	0.8	0.3928571428571429	0.5294117647058824	0.6153846153846154	0.6111111111111112	0.59375	0.5	0.48	0.5333333333333333	0.5714285714285714	0.6285714285714286	0.48484848484848486	0.6	0.6734693877551021	0.6052631578947368	0.6470588235294117	0.6875	0.696969696969697	0.5945945945945945	0.6111111111111112	0.6285714285714286	0.5714285714285714	0.6071428571428572	0.6585365853658536	0.6486486486486487	0.5555555555555556	0.6428571428571428	0.6341463414634146	0.5151515151515151	0.5172413793103448	0.5806451612903225	0.625	0.6388888888888888	0.48275862068965514	0.6216216216216216
Will all Americans Become Overweight or Obese? Estimating the Progression and Cost of the US Obesity Epidemic	0.5121951219512195	0.5609756097560976	0.4390243902439024	0.5128205128205128	0.4	0.368421052631579	0.7575757575757576	0.19354838709677424	0.2571428571428571	0.375	0.475	0.5263157894736843	0.4	0.5151515151515151	0.4285714285714286	0.3513513513513513	0.525	0.39473684210526316	0.5	0.44897959183673475	0.47619047619047616	0.49056603773584906	0.6052631578947368	0.5405405405405406	0.3421052631578947	0.39473684210526316	0.4054054054054054	0.5121951219512195	0.5714285714285714	0.5652173913043479	0.5121951219512195	0.4375	0.46875	0.40476190476190477	0.42105263157894735	0.5	0.5526315789473684	0.5135135135135135	0.5	0.4285714285714286	0.5238095238095238
Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information	0.45945945945945943	0.4285714285714286	0.42105263157894735	0.5	0.5142857142857142	0.38888888888888884	0.7241379310344828	0.375	0.41666666666666663	0.475	0.45945945945945943	0.4242424242424242	0.5142857142857142	0.5483870967741935	0.5	0.45945945945945943	0.4285714285714286	0.37142857142857144	0.4444444444444444	0.46808510638297873	0.5	0.5098039215686274	0.6	0.48484848484848486	0.4473684210526315	0.45945945945945943	0.38235294117647056	0.32352941176470584	0.5161290322580645	0.5909090909090908	0.5384615384615384	0.5161290322580645	0.59375	0.46341463414634143	0.06896551724137934	0.5294117647058824	0.4545454545454546	0.3548387096774194	0.4444444444444444	0.4545454545454546	0.34285714285714286
An Economic Analysis of Adult Obesity: Results from the Behavioral Risk Factor Surveillance System	0.43243243243243246	0.4864864864864865	0.39473684210526316	0.4722222222222222	0.4411764705882353	0.4054054054054054	0.8125	0.3939393939393939	0.2941176470588235	0.32432432432432434	0.4736842105263158	0.48571428571428577	0.5277777777777778	0.5161290322580645	0.4242424242424242	0.43243243243243246	0.4864864864864865	0.06666666666666665	0.5	0.4130434782608695	0.475	0.45999999999999996	0.5294117647058824	0.5	0.42105263157894735	0.43243243243243246	0.4	0.34285714285714286	0.5757575757575757	0.5	0.4736842105263158	0.3793103448275862	0.5625	0.4390243902439024	0.37142857142857144	0.5	0.5142857142857142	0.4242424242424242	0.5384615384615384	0.5142857142857142	0.4473684210526315
