	Managing for Safer Food: The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status? Evidence from the United States and Canada.” Resources for the Future, Discussion Paper,	Economic News Release: Employment Cost Index.” http://www.bls.gov/news.release/eci.toc.htm.	Health Status Index in Cost Effectiveness. Analysis of PKO Program.”	Disease Control and Prevention. http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5414a2.htm Consumer Price Index – All Urban Consumers, Medical Care Services, Bureau of Labor Statistics,	Measuring the Health of the United States Population.” Microeconomics, Brookings Paper,	Health Care Contingent Valuation Studies: A Review and	Foodborne Illness Cost Calculator for Salmonella.	Per Capita Consumption of Selected Food Products. http://www.ers.usda.gov/	Foodborne Diseases Active Surveillance Network,	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping”, Market News,	Data: U.S. trade data, U.S. Imports Trade data.	Reddy and the FoodNet Working Group.	USDA/FSIS Technical Center,	Willingness to Pay for a Quality-adjusted Life Year: In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation?” Arch Intern Med,	Foodborne Disease Handbook. 2 nd edition, vol.1 Bacterial Pathogens.	The Quality of WellBeing Scale: Rationale for a Single Quality of Life Index.” From Quality of Life Assessment: Key Issues in the 1990s.	The economic impact of the catfish industry on Chicot County,	Food-Related Illness and Death in the United States.” Emerging Infectious Diseases,	FDA Labeling Cost Model.” Prepared for the U.S. Department of Health and Human Services. Research Triangle Park,	Managing for Safer Food: The Economics of Sanitation and	Physician Characteristics and Distribution in the United States.” 2002-2003 Edition.	Food Poisoning, Economic Implications.” Encyclopedia of Food Sciences	Processing Channel Catfish. South Regional Aquaculture Center,	Post-Salmonella Reactive Arthritis:	Department of Agriculture. Food Safety and Inspection Service. Office of Public Health Science.	Department of Agriculture /National Agricultural Statistics Service (USDA/NASS).	Federal Register. 21 CFR Parts 123 and 1240: Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products; Final Rule.	Trade Commission (USITC).	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry.”	Tauxe and the Food Networking Group.	Physician Socioeconomic Statistics.” 2000-2002 Edition: Profiles for Detailed Specialties, Selected States and Practice Arrangements.	Occurrence and Control of Salmonella in Freshwater Catfish,	The Costs of Visits to Emergency Departments.” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis.” 63FR 24254,	means 500 or less full-time equivalent (FTE) employees (Small Business Administration (SBA) definition) ** North American Industry Classification System (NAICS) code,
Foodborne Illness Cost Calculator for  Salmonella	0.8214285714285714	0.8544303797468354	0.7802197802197802	0.8088235294117647	0.85	0.7816091954022989	0.7962962962962963	0.04081632653061224	0.8513513513513513	0.673469387755102	0.8	0.8775510204081632	0.7959183673469388	0.8775510204081632	0.8363636363636363	0.7938144329896907	0.6617647058823529	0.8382352941176471	0.8524590163934426	0.7108433734939759	0.8125	0.8214285714285714	0.8571428571428571	0.7391304347826086	0.8064516129032258	0.8571428571428571	0.8	0.8	0.8378378378378378	0.8367346938775511	0.8205128205128205	0.7959183673469388	0.8345864661654135	0.8135593220338984	0.7903225806451613	0.7912087912087912	0.8433734939759037
FoodNet, Foodborne Diseases Active Surveillance Network	0.8928571428571429	0.8291139240506329	0.8021978021978022	0.8088235294117647	0.8333333333333334	0.7816091954022989	0.8181818181818182	0.7818181818181819	0.8378378378378378	0.18181818181818182	0.7666666666666667	0.8181818181818182	0.7818181818181819	0.8363636363636363	0.8727272727272727	0.8041237113402062	0.75	0.8382352941176471	0.8524590163934426	0.7469879518072289	0.7678571428571429	0.8928571428571429	0.7976190476190477	0.8115942028985508	0.7903225806451613	0.7454545454545455	0.7684210526315789	0.8125	0.8378378378378378	0.8363636363636363	0.8076923076923077	0.8	0.8120300751879699	0.8305084745762712	0.8387096774193549	0.8021978021978022	0.8373493975903614
Industry and  Trade Summary: Catfish	0.7857142857142857	0.8544303797468354	0.8791208791208791	0.8382352941176471	0.8722222222222222	0.8390804597701149	0.8148148148148148	0.8367346938775511	0.8378378378378378	0.7659574468085106	0.8	0.7872340425531915	0.8055555555555556	0.8333333333333334	0.8	0.8144329896907216	0.7647058823529411	0.8602941176470589	0.819672131147541	0.7951807228915663	0.8303571428571429	0.7857142857142857	0.8333333333333334	0.855072463768116	0.8225806451612904	0.8611111111111112	0.8105263157894737	0.8375	0.8378378378378378	0.8333333333333334	0.782051282051282	0.8333333333333334	0.8646616541353384	0.6610169491525424	0.8387096774193549	0.8131868131868132	0.8674698795180723
Preliminary FoodNet Data on the Incidence of Infection with Pathogens Transmitted Commonly Through Food 	0.7692307692307693	0.7784810126582279	0.8269230769230769	0.75	0.8111111111111111	0.75	0.7596153846153846	0.7980769230769231	0.7596153846153846	0.7884615384615384	0.7596153846153846	0.8173076923076923	0.7980769230769231	0.875	0.8076923076923077	0.8076923076923077	0.7884615384615384	0.7794117647058824	0.7596153846153846	0.8076923076923077	0.7946428571428571	0.7692307692307693	0.7596153846153846	0.7884615384615384	0.7884615384615384	0.8365384615384616	0.8173076923076923	0.8076923076923077	0.7567567567567568	0.875	0.7788461538461539	0.7884615384615384	0.7819548872180451	0.7788461538461539	0.7884615384615384	0.7980769230769231	0.7771084337349398
Statistical Abstract of the United States	0.7321428571428571	0.7721518987341772	0.8461538461538461	0.7794117647058824	0.8666666666666667	0.7241379310344828	0.8148148148148148	0.8367346938775511	0.8108108108108109	0.851063829787234	0.7555555555555555	0.8085106382978723	0.8780487804878049	0.8292682926829268	0.8	0.7525773195876289	0.7941176470588235	0.8235294117647058	0.7540983606557377	0.7108433734939759	0.8035714285714286	0.7321428571428571	0.6190476190476191	0.782608695652174	0.7741935483870968	0.7804878048780488	0.7789473684210526	0.775	0.831081081081081	0.8536585365853658	0.782051282051282	0.8536585365853658	0.7819548872180451	0.7288135593220338	0.7903225806451613	0.8131868131868132	0.8433734939759037
FDA Labeling  Cost Model	0.8392857142857143	0.8987341772151899	0.8571428571428571	0.8235294117647058	0.9166666666666666	0.8620689655172413	0.7962962962962963	0.7346938775510204	0.8513513513513513	0.8297872340425532	0.8666666666666667	0.7872340425531915	0.8333333333333334	0.8518518518518519	0.8545454545454545	0.8762886597938144	0.7941176470588235	0.8897058823529411	0.819672131147541	0.8554216867469879	0.8035714285714286	0.8392857142857143	0.8690476190476191	0.8115942028985508	0.8225806451612904	0.8571428571428571	0.8842105263157894	0.875	0.8986486486486487	0.96	0.8333333333333334	0.8333333333333334	0.9097744360902256	0.847457627118644	0.8709677419354839	0.8681318681318682	0.9036144578313253
Health Status Index in Cost  Effectiveness. Analysis of PKO Program	0.8208955223880597	0.759493670886076	0.8131868131868132	0.04411764705882353	0.8333333333333334	0.7586206896551724	0.7164179104477612	0.8059701492537313	0.8378378378378378	0.7910447761194029	0.7888888888888889	0.8059701492537313	0.7910447761194029	0.8507462686567164	0.835820895522388	0.7525773195876289	0.8382352941176471	0.7794117647058824	0.8507462686567164	0.7710843373493976	0.7857142857142857	0.8208955223880597	0.8095238095238095	0.8115942028985508	0.8507462686567164	0.7910447761194029	0.7684210526315789	0.825	0.777027027027027	0.8208955223880597	0.782051282051282	0.7910447761194029	0.7894736842105263	0.8059701492537313	0.8059701492537313	0.8021978021978022	0.8253012048192772
Physician Characteristics and Distribution  in the United States	0.796875	0.7658227848101266	0.8241758241758241	0.8676470588235294	0.8222222222222222	0.735632183908046	0.765625	0.8125	0.8513513513513513	0.8125	0.7444444444444445	0.796875	0.828125	0.84375	0.828125	0.7422680412371134	0.8088235294117647	0.7867647058823529	0.78125	0.7831325301204819	0.8125	0.796875	0.2619047619047619	0.8260869565217391	0.765625	0.796875	0.7473684210526316	0.8	0.7837837837837838	0.8125	0.7435897435897436	0.796875	0.6917293233082706	0.796875	0.828125	0.7912087912087912	0.8012048192771084
Physician Socioeconomic Statistics	0.6785714285714286	0.8417721518987342	0.8461538461538461	0.8235294117647058	0.8555555555555555	0.7701149425287356	0.7777777777777778	0.8571428571428571	0.8108108108108109	0.851063829787234	0.8222222222222222	0.8936170212765957	0.9166666666666666	0.7941176470588235	0.8363636363636363	0.8144329896907216	0.8088235294117647	0.8455882352941176	0.7868852459016393	0.8192771084337349	0.875	0.6785714285714286	0.7142857142857143	0.7681159420289855	0.7741935483870968	0.8	0.8105263157894737	0.7625	0.8716216216216216	0.8529411764705882	0.7948717948717948	0.9166666666666666	0.7443609022556391	0.7627118644067796	0.8225806451612904	0.8241758241758241	0.8554216867469879
Processing Channel Catfish	0.8392857142857143	0.8924050632911392	0.8461538461538461	0.8529411764705882	0.8888888888888888	0.8620689655172413	0.8148148148148148	0.8163265306122449	0.8648648648648649	0.7872340425531915	0.8333333333333334	0.8936170212765957	0.8611111111111112	0.8518518518518519	0.8363636363636363	0.8247422680412371	0.7941176470588235	0.8676470588235294	0.8360655737704918	0.8072289156626506	0.8660714285714286	0.8392857142857143	0.8095238095238095	0.8115942028985508	0.5806451612903226	0.7714285714285715	0.8526315789473684	0.8375	0.8783783783783784	0.8846153846153846	0.8589743589743589	0.8333333333333334	0.8721804511278195	0.711864406779661	0.8225806451612904	0.8461538461538461	0.891566265060241
The economic impact of the catfish industry  on Chicot County, Arkansas	0.7887323943661971	0.7784810126582279	0.8461538461538461	0.8732394366197183	0.8166666666666667	0.7126436781609196	0.8028169014084507	0.8028169014084507	0.8648648648648649	0.7887323943661971	0.7666666666666667	0.8309859154929577	0.7746478873239436	0.8309859154929577	0.8028169014084507	0.7628865979381443	0.8591549295774648	0.7647058823529411	0.14084507042253522	0.8192771084337349	0.7410714285714286	0.7887323943661971	0.8095238095238095	0.8028169014084507	0.8028169014084507	0.8309859154929577	0.7789473684210526	0.825	0.7837837837837838	0.8309859154929577	0.8333333333333334	0.7746478873239436	0.7293233082706767	0.8169014084507042	0.8028169014084507	0.8241758241758241	0.7951807228915663
The Value of a Statistical Life: A  Critical Review of Market Estimates throughout the World	0.7717391304347826	0.6455696202531646	0.9239130434782609	0.7608695652173914	0.8277777777777777	0.8260869565217391	0.782608695652174	0.8260869565217391	0.8260869565217391	0.782608695652174	0.8260869565217391	0.8043478260869565	0.8260869565217391	0.8695652173913043	0.8043478260869565	0.8247422680412371	0.7717391304347826	0.7058823529411765	0.7608695652173914	0.8260869565217391	0.7857142857142857	0.7717391304347826	0.75	0.8152173913043478	0.782608695652174	0.8043478260869565	0.8210526315789474	0.7717391304347826	0.7837837837837838	0.8913043478260869	0.7934782608695652	0.7934782608695652	0.706766917293233	0.782608695652174	0.717391304347826	0.8152173913043478	0.7951807228915663
Bacterial Pathogens	0.8392857142857143	0.9113924050632911	0.8901098901098901	0.8529411764705882	0.9333333333333333	0.8505747126436781	0.8148148148148148	0.8367346938775511	0.8648648648648649	0.8085106382978723	0.8666666666666667	0.851063829787234	0.8333333333333334	0.8518518518518519	0.8727272727272727	0.865979381443299	0.7205882352941176	0.8897058823529411	0.8360655737704918	0.8795180722891566	0.8928571428571429	0.8392857142857143	0.8452380952380952	0.8695652173913043	0.8064516129032258	0.8	0.8631578947368421	0.85	0.9121621621621622	0.92	0.8589743589743589	0.8055555555555556	0.8796992481203008	0.8305084745762712	0.8548387096774194	0.9010989010989011	0.9216867469879518
Food Poisoning, Economic  Implications	0.6607142857142857	0.8670886075949367	0.8241758241758241	0.8235294117647058	0.8611111111111112	0.8045977011494253	0.7777777777777778	0.7959183673469388	0.8108108108108109	0.7659574468085106	0.7888888888888889	0.851063829787234	0.868421052631579	0.868421052631579	0.8909090909090909	0.8247422680412371	0.7352941176470589	0.8529411764705882	0.8032786885245902	0.7831325301204819	0.8392857142857143	0.6607142857142857	0.8333333333333334	0.4782608695652174	0.8387096774193549	0.7894736842105263	0.7894736842105263	0.8375	0.8513513513513513	0.8421052631578947	0.7948717948717948	0.9210526315789473	0.8270676691729323	0.8135593220338984	0.8225806451612904	0.8241758241758241	0.8433734939759037
Personal communication with Catherine Viator, RTI	0.8035714285714286	0.8227848101265823	0.8131868131868132	0.8235294117647058	0.8388888888888889	0.7931034482758621	0.8148148148148148	0.8571428571428571	0.8108108108108109	0.8775510204081632	0.7888888888888889	0.8775510204081632	0.8163265306122449	0.7755102040816326	0.8181818181818182	0.7938144329896907	0.7352941176470589	0.8235294117647058	0.7540983606557377	0.7590361445783133	0.8035714285714286	0.8035714285714286	0.7619047619047619	0.7101449275362319	0.7419354838709677	0.7551020408163265	0.8	0.725	0.8378378378378378	0.7755102040816326	0.7564102564102564	0.7959183673469388	0.7969924812030075	0.7966101694915254	0.8225806451612904	0.8021978021978022	0.8012048192771084
Personal communication with Catherine Viator, RTI	0.8035714285714286	0.8227848101265823	0.8131868131868132	0.8235294117647058	0.8388888888888889	0.7931034482758621	0.8148148148148148	0.8571428571428571	0.8108108108108109	0.8775510204081632	0.7888888888888889	0.8775510204081632	0.8163265306122449	0.7755102040816326	0.8181818181818182	0.7938144329896907	0.7352941176470589	0.8235294117647058	0.7540983606557377	0.7590361445783133	0.8035714285714286	0.8035714285714286	0.7619047619047619	0.7101449275362319	0.7419354838709677	0.7551020408163265	0.8	0.725	0.8378378378378378	0.7755102040816326	0.7564102564102564	0.7959183673469388	0.7969924812030075	0.7966101694915254	0.8225806451612904	0.8021978021978022	0.8012048192771084
Food-Related Illness and Death in the  United States	0.8392857142857143	0.7721518987341772	0.7802197802197802	0.8088235294117647	0.8388888888888889	0.7931034482758621	0.7962962962962963	0.6923076923076923	0.8513513513513513	0.7692307692307693	0.7444444444444445	0.8269230769230769	0.7692307692307693	0.8269230769230769	0.8363636363636363	0.7628865979381443	0.7058823529411765	0.8014705882352942	0.7704918032786885	0.39759036144578314	0.7589285714285714	0.8392857142857143	0.6428571428571429	0.7391304347826086	0.7741935483870968	0.7307692307692307	0.7578947368421053	0.825	0.7972972972972973	0.8269230769230769	0.717948717948718	0.7884615384615384	0.7969924812030075	0.7457627118644068	0.8064516129032258	0.7802197802197802	0.8072289156626506
Health Care Contingent Valuation Studies: A Review and Classification of Literature	0.7590361445783133	0.740506329113924	0.8901098901098901	0.7228915662650602	0.7944444444444444	0.8045977011494253	0.3493975903614458	0.8072289156626506	0.8433734939759037	0.7951807228915663	0.8222222222222222	0.8072289156626506	0.8072289156626506	0.8674698795180723	0.7951807228915663	0.7319587628865979	0.8072289156626506	0.7573529411764706	0.7710843373493976	0.8072289156626506	0.7767857142857143	0.7590361445783133	0.8452380952380952	0.7831325301204819	0.7590361445783133	0.7831325301204819	0.8105263157894737	0.8554216867469879	0.7567567567567568	0.8554216867469879	0.7951807228915663	0.7951807228915663	0.7669172932330827	0.7831325301204819	0.8072289156626506	0.8351648351648352	0.7108433734939759
Microbiology of Aquaculture Products	0.8392857142857143	0.8734177215189873	0.8681318681318682	0.8529411764705882	0.8888888888888888	0.8160919540229885	0.8333333333333334	0.7755102040816326	0.7837837837837838	0.851063829787234	0.8444444444444444	0.851063829787234	0.8888888888888888	0.8888888888888888	0.7818181818181819	0.845360824742268	0.8382352941176471	0.8529411764705882	0.7704918032786885	0.8795180722891566	0.8571428571428571	0.8392857142857143	0.8571428571428571	0.7971014492753623	0.7096774193548387	0.7777777777777778	0.8315789473684211	0.7875	0.8513513513513513	0.9166666666666666	0.8333333333333334	0.8888888888888888	0.8421052631578947	0.7966101694915254	0.8548387096774194	0.8461538461538461	0.891566265060241
Occurrence and Control of Salmonella in Freshwater Catfish	0.8448275862068966	0.8164556962025317	0.8021978021978022	0.8088235294117647	0.8166666666666667	0.7701149425287356	0.7931034482758621	0.8103448275862069	0.7432432432432432	0.8103448275862069	0.7777777777777778	0.7931034482758621	0.7931034482758621	0.8448275862068966	0.8275862068965517	0.7628865979381443	0.7647058823529411	0.7867647058823529	0.8524590163934426	0.7951807228915663	0.7678571428571429	0.8448275862068966	0.7738095238095238	0.8260869565217391	0.7903225806451613	0.7068965517241379	0.7684210526315789	0.8	0.7905405405405406	0.8448275862068966	0.7564102564102564	0.7586206896551724	0.7894736842105263	0.01694915254237288	0.8709677419354839	0.7692307692307693	0.8253012048192772
HACCP as a Regulatory Innovation to  Improve Food Safety in the Meat Industry	0.7532467532467533	0.7848101265822784	0.8571428571428571	0.7792207792207793	0.8277777777777777	0.8505747126436781	0.7402597402597403	0.8051948051948052	0.8181818181818182	0.8051948051948052	0.7777777777777778	0.7792207792207793	0.7662337662337663	0.8701298701298701	0.7792207792207793	0.7525773195876289	0.8051948051948052	0.7352941176470589	0.7532467532467533	0.8072289156626506	0.7857142857142857	0.7532467532467533	0.8095238095238095	0.8181818181818182	0.8311688311688312	0.8051948051948052	0.7684210526315789	0.8375	0.7837837837837838	0.8831168831168831	0.038461538461538464	0.7792207792207793	0.7819548872180451	0.7662337662337663	0.7532467532467533	0.8021978021978022	0.7771084337349398
