	The Behavioral Economics of Retirement Savings Behavior, AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows,	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,656,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 8,398,000 hours in the first year; 5,776,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,541,000 for the first year; $493,242,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and 1. The authority citation for part 2550 is revised to read as follows:	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sec. 2550.404c–1 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR, 1978 Comp. p. 332, effective Dec. 31, 1978, 44 FR	Add § 2550.408g–1 to read as follows:	Section 408(g)(1) of the Employee Retirement Income Security Advice Exemption Notification— Statutory, U.S. Department of Labor, Employee Benefits Security Administration, Room N–1513, 200 Constitution Ave.,	For purposes of paragraph (j)(6)(i) Signed at Washington, DC, this 15th day of August,
Asset Location for Retirement Savers, in Public Policies and Private Pensions	0.2075471698113207	0.40909090909090906	0.45945945945945943	0.33333333333333337	0.2941176470588235	0.34328358208955223	0.5217391304347826	0.3623188405797102	0.42307692307692313
Company Stock and Pension Plan Diversification, in The Pension Challenge: Risk Transfers and Retirement Income Security	0.16666666666666663	0.37254901960784315	0.3580246913580247	0.20547945205479456	0.3793103448275862	0.3513513513513513	0.5471698113207547	0.3157894736842105	0.3220338983050848
Fees and Revenue Sharing in Defined Contribution Retirement Plans	0.2592592592592593	0.4222222222222223	0.43999999999999995	0.31343283582089554	0.34615384615384615	0.32352941176470584	0.5319148936170213	0.37142857142857144	0.3207547169811321
Financial Advice and Individual Investors' Portfolios	0.31999999999999995	0.36585365853658536	0.49295774647887325	0.4285714285714286	0.41666666666666663	0.46875	0.4883720930232558	0.48484848484848486	0.4285714285714286
Financial Literacy and Mutual Fund Investments: Who Buys Actively Managed Funds?	0.26315789473684215	0.41666666666666663	0.41025641025641024	0.37142857142857144	0.49090909090909096	0.49295774647887325	0.52	0.3972602739726028	0.3928571428571429
Financial Planning: On the Issue of Advice	0.3076923076923077	0.34883720930232553	0.452054794520548	0.3846153846153846	0.43999999999999995	0.48484848484848486	0.4666666666666667	0.47058823529411764	0.4117647058823529
Generally Accepted Investment Theories	0.2549019607843137	0.38095238095238093	0.4722222222222222	0.40625	0.5102040816326531	0.5384615384615384	0.5454545454545454	0.4328358208955224	0.43999999999999995
High-Quality Financial Advice Wanted!	0.4117647058823529	0.47619047619047616	0.5277777777777778	0.53125	0.5510204081632653	0.6	0.6363636363636364	0.5522388059701493	0.43999999999999995
How to Invest Over the Life Cycle: a Review	0.3584905660377359	0.4545454545454546	0.45945945945945943	0.36363636363636365	0.5294117647058824	0.5223880597014925	0.5217391304347826	0.4492753623188406	0.5
Intermediated Investment Management	0.4545454545454546	0.5428571428571429	0.6307692307692307	0.543859649122807	0.5238095238095238	0.5862068965517242	0.5675675675675675	0.5666666666666667	0.5348837209302326
Investment Advice Survey 2001	0.3877551020408163	0.6	0.5142857142857142	0.4193548387096774	0.4042553191489362	0.4920634920634921	0.5238095238095238	0.41538461538461535	0.45833333333333337
Investment Mistakes of Individual Investors and the Impact of Financial Advice	0.28301886792452835	0.2727272727272727	0.45945945945945943	0.36363636363636365	0.4901960784313726	0.4626865671641791	0.5217391304347826	0.42028985507246375	0.3846153846153846
Investor Behavior in the Mutual Fund Industry: Evidence from Gross Flows	0.2857142857142857	0.276595744680851	0.4025974025974026	0.33333333333333337	0.5185185185185186	0.5142857142857142	0.5102040816326531	0.41666666666666663	0.4545454545454546
Investor Profile and Asset Allocation Advice	0.3191489361702128	0.42105263157894735	0.5294117647058824	0.4666666666666667	0.4222222222222223	0.5081967213114754	0.44999999999999996	0.4920634920634921	0.4782608695652174
Investor Timing and Fund Distribution Channels	0.3076923076923077	0.39534883720930236	0.452054794520548	0.3538461538461538	0.43999999999999995	0.4242424242424242	0.5555555555555556	0.4117647058823529	0.37254901960784315
Life-Cycle Funds	0.5555555555555556	0.4444444444444444	0.6060606060606061	0.5172413793103448	0.5813953488372092	0.5593220338983051	0.6842105263157895	0.5737704918032787	0.5
Non-Market Wealth, Background Risk and Portfolio Choice	0.2857142857142857	0.36170212765957444	0.4025974025974026	0.3913043478260869	0.33333333333333337	0.4285714285714286	0.5510204081632653	0.41666666666666663	0.38181818181818183
Optimal Asset Location and Allocation with Taxable and Tax-Deferred Investing	0.27586206896551724	0.34693877551020413	0.44303797468354433	0.323943661971831	0.5	0.4444444444444444	0.4901960784313726	0.3513513513513513	0.4385964912280702
Personalized Retirement Advice and Managed Accounts: Who Uses Them and How Does Advice Affect Behavior in 401(k) Plans?	0.32352941176470584	0.4576271186440678	0.3258426966292135	0.3580246913580247	0.3939393939393939	0.3414634146341463	0.4426229508196722	0.33333333333333337	0.4029850746268657
Portfolio Allocation Choices in Taxable and Tax-Deferred Accounts: An Empirical Analysis of Tax-Efficiency	0.24137931034482762	0.30612244897959184	0.36708860759493667	0.295774647887324	0.4642857142857143	0.4444444444444444	0.5294117647058824	0.3513513513513513	0.368421052631579
Portfolio Transactions Costs at U.S. Equity Mutual Funds	0.37037037037037035	0.33333333333333337	0.41333333333333333	0.34328358208955223	0.42307692307692313	0.4411764705882353	0.574468085106383	0.4571428571428572	0.4339622641509434
Regulating Markets for Retirement Payouts: Solvency, Supervision, and Credibility	0.2068965517241379	0.3877551020408163	0.3924050632911392	0.23943661971830987	0.3214285714285714	0.33333333333333337	0.5294117647058824	0.3513513513513513	0.368421052631579
Survey Findings: Hot Topics in Retirement, 2007	0.3214285714285714	0.44680851063829785	0.37662337662337664	0.30434782608695654	0.37037037037037035	0.37142857142857144	0.5510204081632653	0.41666666666666663	0.4181818181818182
The Economics of Mutual-Fund Brokerage: Evidence from the Cross Section of Investment Channels	0.2542372881355932	0.31999999999999995	0.4	0.2777777777777778	0.4736842105263158	0.452054794520548	0.5384615384615384	0.3866666666666667	0.4137931034482759
The Economics of Providing 401(k) Plans: Services, Fees and Expenses 2006	0.33333333333333337	0.37037037037037035	0.3571428571428571	0.23684210526315785	0.3770491803278688	0.2987012987012987	0.4642857142857143	0.31645569620253167	0.3548387096774194
The Efficiency of Pension Plan Investment Menus: Investment Choices in Defined Contribution Pension Plans	0.22807017543859653	0.33333333333333337	0.3846153846153846	0.2857142857142857	0.4545454545454546	0.43661971830985913	0.56	0.36986301369863017	0.4285714285714286
The NUA Benefit and Optimal Investment in Company Stock in 401(k) Accounts	0.3015873015873016	0.4444444444444444	0.3571428571428571	0.3421052631578947	0.4426229508196722	0.35064935064935066	0.5357142857142857	0.240506329113924	0.3548387096774194
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.23636363636363633	0.34782608695652173	0.42105263157894735	0.32352941176470584	0.4716981132075472	0.4492753623188406	0.5416666666666667	0.3802816901408451	0.4444444444444444
The Role of Company Stock in 401(k) Plans	0.3214285714285714	0.44680851063829785	0.4285714285714286	0.33333333333333337	0.40740740740740744	0.37142857142857144	0.5510204081632653	0.36111111111111116	0.38181818181818183
The Role of Company Stock in Defined Contribution Plans	0.2142857142857143	0.36170212765957444	0.4025974025974026	0.2753623188405797	0.37037037037037035	0.37142857142857144	0.5918367346938775	0.36111111111111116	0.34545454545454546
Transfer Activity in 401(k) Plans	0.3846153846153846	0.5348837209302326	0.5068493150684932	0.4461538461538461	0.43999999999999995	0.4545454545454546	0.4666666666666667	0.4411764705882353	0.4509803921568627
Why Do Mutual Fund Investors Use Professional Financial Advisers?	0.2857142857142857	0.36170212765957444	0.4285714285714286	0.42028985507246375	0.4814814814814815	0.4571428571428572	0.5510204081632653	0.41666666666666663	0.34545454545454546
Winners and Losers: 401(k) Trading and Portfolio Performance	0.3928571428571429	0.4893617021276596	0.4285714285714286	0.3623188405797102	0.37037037037037035	0.37142857142857144	0.3877551020408163	0.41666666666666663	0.4181818181818182
Yet Another Puzzle? Relation Between Price and Performance in the Mutual Fund Industry	0.27586206896551724	0.34693877551020413	0.3924050632911392	0.3802816901408451	0.4285714285714286	0.4722222222222222	0.5294117647058824	0.43243243243243246	0.4385964912280702
Company Stock in Pension Plans: How Costly Is It?	0.3846153846153846	0.4883720930232558	0.4794520547945206	0.3846153846153846	0.52	0.5454545454545454	0.6	0.5294117647058824	0.5294117647058824
Asset Allocation and Asset Location: Household Evidence from the Survey of Consumer Finances	0.2857142857142857	0.36170212765957444	0.4025974025974026	0.30434782608695654	0.4814814814814815	0.4285714285714286	0.5102040816326531	0.36111111111111116	0.34545454545454546
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industry	0.3207547169811321	0.36363636363636365	0.43243243243243246	0.3939393939393939	0.4901960784313726	0.5223880597014925	0.4782608695652174	0.42028985507246375	0.3076923076923077
Down or Out: Assessing the Welfare Costs of Household Investment Mistakes	0.3448275862068966	0.4285714285714286	0.4177215189873418	0.3802816901408451	0.5357142857142857	0.5	0.4509803921568627	0.43243243243243246	0.368421052631579
Are Investors Rational? Choices Among Index Funds	0.2962962962962963	0.37777777777777777	0.43999999999999995	0.34328358208955223	0.42307692307692313	0.4411764705882353	0.5319148936170213	0.37142857142857144	0.39622641509433965
Asset Location in Tax-Deferred and Conventional Savings Accounts	0.33333333333333337	0.37777777777777777	0.52	0.3731343283582089	0.42307692307692313	0.4117647058823529	0.4893617021276596	0.37142857142857144	0.3584905660377359
The Adequacy of Investment Choices Offered By 401(k) Plans	0.29032258064516125	0.4716981132075472	0.3493975903614458	0.30666666666666664	0.43333333333333335	0.39473684210526316	0.49090909090909096	0.3076923076923077	0.3770491803278688
Out of Sight, Out of Mind, The Effects of Expenses on Mutual Fund Flows	0.3090909090909091	0.08695652173913049	0.4473684210526315	0.32352941176470584	0.4339622641509434	0.4782608695652174	0.5416666666666667	0.43661971830985913	0.37037037037037035
Product Differentiation, Search Costs, and Competition in the Mutual Fund Industry: A Case Study of S&P 500 Index Funds	0.29032258064516125	0.3207547169811321	0.3493975903614458	0.2533333333333333	0.4	0.368421052631579	0.49090909090909096	0.3076923076923077	0.2786885245901639
Individual Account Investment Options and Portfolio Choice: Behavioral Lessons from 401(k) Plans	0.32258064516129037	0.4716981132075472	0.37349397590361444	0.30666666666666664	0.43333333333333335	0.3421052631578947	0.4545454545454546	0.28205128205128205	0.3770491803278688
The Use and Abuse of Mutual Fund Expenses	0.37254901960784315	0.1428571428571429	0.4722222222222222	0.4375	0.5510204081632653	0.5384615384615384	0.5454545454545454	0.4626865671641791	0.43999999999999995
Are Stocks Desirable in Tax-Deferred Accounts?	0.3584905660377359	0.36363636363636365	0.5405405405405406	0.4242424242424242	0.4117647058823529	0.4925373134328358	0.5217391304347826	0.4492753623188406	0.42307692307692313
Manager-Investor Conflicts in Mutual Funds	0.37254901960784315	0.33333333333333337	0.5	0.40625	0.4285714285714286	0.4461538461538461	0.5	0.4626865671641791	0.4
Why Does the Law of One Price Fail? An Experiment on Index Mutual Funds	0.2786885245901639	0.2692307692307693	0.3902439024390244	0.32432432432432434	0.5254237288135593	0.4666666666666667	0.5555555555555556	0.37662337662337664	0.3666666666666667
