	Association of American Railroads (AAR), before U.S. House of Representatives Subcommittee on Railroads,	Car Performance Standards NPRM - RIA NTSB, “Derailment of Canadian Pacific Railway Freight Train 292-16 and Subsequent Release of Anhydrous Ammonia Near	Sign Safety Pact, Traffic World	Car Performance Standards NPRM - RIA “Economic Analysis of Federal Regulations Under Executive Order 12866.” http://www.whitehouse.gov/OMB/inforeg/riaguide.html,	Highway Business Report Fewer Customers,” Augusta Chronicle,	Statement to the docket by the Dow Chemical Company,	Alternative Technologies to Railroad Tank Car Placarding.” Texas Transportation Institute,	Car Performance Standards NPRM - RIA AEI-Brookings Joint Center for Regulatory Studies, “Interests of Amici Curiae: American Trucking Associations,	Abbreviated Injury Scale _____________________________________________________________________________ The Abbreviated Injury Scale (AIS) was &quot;[f]irst published in 1971 under the joint sponsorship of the American Medical Association; the Society of Automotive Engineers; and the Association for the Advancement of Automotive Medicine (formerly the American Association for Automotive Medicine).&quot; The AIS was originally developed for impact injury assessment.	(Produced by the University of California, San Francisco and The John Hopkins University for the National Highway Traffic Satey Administation and the Centers for Disease Control)	Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes,” Journal of Safety Research,
NTSB Breif Accident Report, RAB/98-07	0.8461538461538461	0.8552631578947368	0.8648648648648649	0.8881987577639752	0.8333333333333334	0.8846153846153846	0.8444444444444444	0.8775510204081632	0.9508547008547008	0.9044943820224719	0.8461538461538461
Report of Railroad Accident Collision of Norfolk Southern Frieght Train 192 with Standing Norfolk Southern Local Train P22 with Subsequent Hazardous Materials Release	0.7831325301204819	0.7710843373493976	0.8795180722891566	0.8614457831325302	0.8313253012048193	0.8253012048192772	0.7771084337349398	0.8253012048192772	0.8269230769230769	0.7921348314606742	0.7289156626506024
Report on the Graniteville, SC derailment	0.8076923076923077	0.8618421052631579	0.8292682926829268	0.8571428571428571	0.8166666666666667	0.7115384615384616	0.8111111111111111	0.8367346938775511	0.9252136752136753	0.8539325842696629	0.7980769230769231
Report on the Minot, ND derailment	0.8173076923076923	0.875	0.8529411764705882	0.8695652173913043	0.7833333333333333	0.6923076923076923	0.8111111111111111	0.8503401360544217	0.938034188034188	0.8651685393258427	0.8076923076923077
FRA Public Hearing	0.9134615384615384	0.9276315789473685	0.8387096774193549	0.9254658385093167	0.8833333333333333	0.8846153846153846	0.8888888888888888	0.9115646258503401	0.9700854700854701	0.9325842696629213	0.9230769230769231
Public meeting statement by Manager Fleet Engineer, American Railcar Industries	0.8269230769230769	0.7763157894736842	0.7721518987341772	0.8385093167701864	0.7721518987341772	0.7215189873417721	0.7777777777777778	0.7619047619047619	0.8803418803418803	0.7921348314606742	0.8076923076923077
Public meeting statement by Manager Technical Research	0.8173076923076923	0.8223684210526315	0.7222222222222222	0.8571428571428571	0.8333333333333334	0.7222222222222222	0.7777777777777778	0.8231292517006803	0.9145299145299145	0.8202247191011236	0.7403846153846154
Statement of Edward Hamberger, President and CEO, Association of American Railroads, before U.S. House of Representatives Subcommittee on Railroads	0.3877551020408163	0.8026315789473685	0.8639455782312925	0.84472049689441	0.8231292517006803	0.7959183673469388	0.7891156462585034	0.8639455782312925	0.8269230769230769	0.7921348314606742	0.7278911564625851
Statement to the docket by the Dow Chemical Company	0.8173076923076923	0.8421052631578947	0.7843137254901961	0.8695652173913043	0.8166666666666667	0.019230769230769232	0.8	0.7959183673469388	0.9102564102564102	0.8202247191011236	0.7884615384615384
Testimony of Fred Morscheck from the McGregor Company	0.7692307692307693	0.8421052631578947	0.8113207547169812	0.8322981366459627	0.8166666666666667	0.6226415094339622	0.8111111111111111	0.8231292517006803	0.9081196581196581	0.8202247191011236	0.7980769230769231
Testimony of Joe Giesler from Terra Industries 	0.7788461538461539	0.8355263157894737	0.8085106382978723	0.84472049689441	0.7833333333333333	0.7884615384615384	0.7666666666666667	0.8163265306122449	0.9166666666666666	0.8146067415730337	0.7884615384615384
Testimony of Wolf Anderson	0.8557692307692307	0.881578947368421	0.8709677419354839	0.8881987577639752	0.8333333333333334	0.7884615384615384	0.8222222222222222	0.8843537414965986	0.9487179487179487	0.8764044943820225	0.8557692307692307
Transcript of May 31 - June 1, 2006 public meeting in docket no. FRA 25169	0.7884615384615384	0.8092105263157895	0.8648648648648649	0.8385093167701864	0.8783783783783784	0.8108108108108109	0.8111111111111111	0.8027210884353742	0.9038461538461539	0.8089887640449438	0.8269230769230769
Benefit-Cost Analysis of Using Type 105 Tank Cars Instead of Type 111 Tank Cars to Ship Environmentally-Sensitive Chemicals	0.8130081300813008	0.8092105263157895	0.8699186991869918	0.8012422360248447	0.7886178861788617	0.8211382113821138	0.7479674796747967	0.8095238095238095	0.8611111111111112	0.7696629213483146	0.7642276422764228
Interests of Amici Curiae: American Trucking Association, Inc. et al, v. Carol Browner, Administrator of the Environmental Protection Agency, et al	0.7414965986394558	0.8486842105263158	0.891156462585034	0.8695652173913043	0.8095238095238095	0.8027210884353742	0.7346938775510204	0.8095238095238095	0.8226495726495726	0.7584269662921348	0.782312925170068
Norfolk Southern Railway Annual Report	0.8076923076923077	0.8355263157894737	0.8157894736842105	0.8695652173913043	0.8333333333333334	0.7884615384615384	0.7777777777777778	0.8571428571428571	0.9358974358974359	0.848314606741573	0.8173076923076923
Norfolk Southern Railway Quarterly Financial Review, Fourth Quarter	0.7692307692307693	0.7894736842105263	0.7910447761194029	0.8260869565217391	0.835820895522388	0.8208955223880597	0.7666666666666667	0.8027210884353742	0.905982905982906	0.8202247191011236	0.7692307692307693
Alternative Technologies to Railroad Tank Car Placarding	0.8076923076923077	0.8223684210526315	0.8035714285714286	0.84472049689441	0.85	0.7678571428571429	0.37777777777777777	0.8095238095238095	0.9102564102564102	0.8146067415730337	0.7980769230769231
Ammonia- the Story Behind the Gas	0.8173076923076923	0.8618421052631579	0.8787878787878788	0.8819875776397516	0.8166666666666667	0.6923076923076923	0.8222222222222222	0.8639455782312925	0.9423076923076923	0.8651685393258427	0.8269230769230769
Anhydrous Ammonia Safety	0.875	0.8881578947368421	0.8709677419354839	0.9130434782608695	0.85	0.8269230769230769	0.8555555555555555	0.9047619047619048	0.9508547008547008	0.9101123595505618	0.8365384615384616
Chlorine	0.9519230769230769	0.9539473684210527	0.9354838709677419	0.9565217391304348	0.9166666666666666	0.9038461538461539	0.9222222222222223	0.9523809523809523	0.9850427350427351	0.9606741573033708	0.9423076923076923
Chlorine's Casualties and Counsel: Nation's worst chlorine gas leak wreaked havoc, but research reveals lessons learned	0.7983193277310925	0.7697368421052632	0.8739495798319328	0.7888198757763976	0.7899159663865546	0.7815126050420168	0.7815126050420168	0.7687074829931972	0.8525641025641025	0.7584269662921348	0.7647058823529411
Circular A-4: Regulatory Analysis	0.8269230769230769	0.868421052631579	0.8787878787878788	0.8757763975155279	0.8	0.8653846153846154	0.8333333333333334	0.8299319727891157	0.9444444444444444	0.8876404494382022	0.8365384615384616
Data from Earl Hunter	0.8557692307692307	0.9013157894736842	0.8064516129032258	0.9006211180124224	0.85	0.8653846153846154	0.8555555555555555	0.8979591836734694	0.9594017094017094	0.9213483146067416	0.8557692307692307
Element properties of chlorine	0.8365384615384616	0.868421052631579	0.8709677419354839	0.8819875776397516	0.75	0.6923076923076923	0.8	0.8503401360544217	0.9401709401709402	0.8820224719101124	0.8365384615384616
Information extracted from the RSI-AAR Railroad Tank Car Saftey Research Test Project	0.7788461538461539	0.7631578947368421	0.8117647058823529	0.8198757763975155	0.8352941176470589	0.788235294117647	0.7333333333333333	0.7891156462585034	0.8888888888888888	0.7752808988764045	0.7980769230769231
PIH Risk Analysis Presentation	0.8076923076923077	0.875	0.9354838709677419	0.8633540372670807	0.8166666666666667	0.8461538461538461	0.8	0.8503401360544217	0.9508547008547008	0.8820224719101124	0.8557692307692307
Propulsion Resistance	0.875	0.8947368421052632	0.9032258064516129	0.906832298136646	0.8	0.8653846153846154	0.8444444444444444	0.891156462585034	0.9594017094017094	0.898876404494382	0.8653846153846154
Risk Analysis of Rail Transport of Chlorine & Ammonia on U.S. railroad Mainlines	0.7788461538461539	0.7960526315789473	0.8125	0.8012422360248447	0.7625	0.8125	0.7888888888888889	0.7755102040816326	0.8760683760683761	0.7696629213483146	0.7692307692307693
The Abbreviated Injury Scale as Measurement of Bicyclists Minor Injuries	0.7884615384615384	0.7960526315789473	0.8055555555555556	0.8074534161490683	0.7916666666666666	0.8055555555555556	0.8	0.782312925170068	0.8589743589743589	0.797752808988764	0.7884615384615384
The Chlorine Institute	0.875	0.9078947368421053	0.9032258064516129	0.9130434782608695	0.8	0.8653846153846154	0.7777777777777778	0.8979591836734694	0.9572649572649573	0.898876404494382	0.8557692307692307
UP, Down Sign Safety Pact	0.8846153846153846	0.8881578947368421	0.7741935483870968	0.9130434782608695	0.85	0.8461538461538461	0.8777777777777778	0.8843537414965986	0.9615384615384616	0.9044943820224719	0.8365384615384616
Using Agricultural Anhydrous Ammonia Safely 	0.7788461538461539	0.8157894736842105	0.8181818181818182	0.8757763975155279	0.8	0.8461538461538461	0.8444444444444444	0.8571428571428571	0.9252136752136753	0.8539325842696629	0.7980769230769231
Volpe Center research	0.875	0.9144736842105263	0.8387096774193549	0.906832298136646	0.8	0.8269230769230769	0.8666666666666667	0.8843537414965986	0.9615384615384616	0.9044943820224719	0.8365384615384616
Emergency Response Planning Committee, Procedures and Responsibilities	0.7980769230769231	0.8026315789473685	0.8142857142857143	0.8198757763975155	0.7857142857142857	0.8142857142857143	0.7555555555555555	0.782312925170068	0.8974358974358975	0.8033707865168539	0.7788461538461539
The Abbreviated Injury Scale, 1990 revision	0.8365384615384616	0.868421052631579	0.8372093023255814	0.8695652173913043	0.8	0.8461538461538461	0.8222222222222222	0.8367346938775511	0.9145299145299145	0.8764044943820225	0.8557692307692307
71 FR 30019	0.9711538461538461	0.9736842105263158	0.9354838709677419	0.968944099378882	0.95	0.9615384615384616	0.9666666666666667	0.9795918367346939	0.9914529914529915	0.9831460674157303	0.9807692307692307
44 FR 11034	0.9711538461538461	0.9736842105263158	0.9354838709677419	0.968944099378882	0.95	0.9615384615384616	0.9666666666666667	0.9795918367346939	0.9914529914529915	0.9831460674157303	0.9807692307692307
49 CFR Part 213	0.9423076923076923	0.9342105263157895	0.8064516129032258	0.9503105590062112	0.9	0.9230769230769231	0.9111111111111111	0.9523809523809523	0.9850427350427351	0.9550561797752809	0.9326923076923077
71 FR 12259	0.9711538461538461	0.9671052631578947	0.9354838709677419	0.9627329192546584	0.95	0.9615384615384616	0.9666666666666667	0.9795918367346939	0.9914529914529915	0.9831460674157303	0.9807692307692307
71 FR 30019	0.9711538461538461	0.9736842105263158	0.9354838709677419	0.968944099378882	0.95	0.9615384615384616	0.9666666666666667	0.9795918367346939	0.9914529914529915	0.9831460674157303	0.9807692307692307
71 FR 37974	0.9711538461538461	0.9736842105263158	0.9354838709677419	0.9751552795031055	0.95	0.9615384615384616	0.9666666666666667	0.9795918367346939	0.9914529914529915	0.9831460674157303	0.9807692307692307
71 FR 67015	0.9711538461538461	0.9736842105263158	0.9354838709677419	0.968944099378882	0.95	0.9615384615384616	0.9666666666666667	0.9795918367346939	0.9914529914529915	0.9831460674157303	0.9807692307692307
Statement to the docket by the Chlorine Institute, Inc	0.7980769230769231	0.8223684210526315	0.8333333333333334	0.84472049689441	0.8333333333333334	0.4074074074074074	0.7222222222222222	0.8095238095238095	0.9081196581196581	0.8089887640449438	0.7884615384615384
TCC Docket T 87.2	0.9423076923076923	0.9342105263157895	0.8387096774193549	0.9440993788819876	0.9	0.8461538461538461	0.9111111111111111	0.9387755102040817	0.9807692307692307	0.949438202247191	0.9230769230769231
Docket Submission: USDOT/FRA docket number 25169, p.1	0.8173076923076923	0.875	0.8301886792452831	0.8633540372670807	0.85	0.9056603773584906	0.8555555555555555	0.8639455782312925	0.9316239316239316	0.8707865168539326	0.8365384615384616
Economic Analysis of Federal Regulations Under Executive Order 12866	0.7692307692307693	0.8092105263157895	0.8235294117647058	0.577639751552795	0.8235294117647058	0.8529411764705882	0.7888888888888889	0.7482993197278912	0.9017094017094017	0.8202247191011236	0.7980769230769231
Railroad Injury: Causes, Costs, and Comparisons with other Transport Modes	0.7980769230769231	0.8026315789473685	0.7972972972972973	0.8074534161490683	0.7972972972972973	0.8108108108108109	0.7444444444444445	0.7755102040816326	0.8824786324786325	0.7808988764044944	0.28846153846153844
Cost-Benefit Default Principles	0.8461538461538461	0.8618421052631579	0.9032258064516129	0.8819875776397516	0.7833333333333333	0.8076923076923077	0.8444444444444444	0.8571428571428571	0.9465811965811965	0.8932584269662921	0.8557692307692307
