	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,789,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 16,126,000 hours in the first year; 13,504,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,552,000 for the first year; $493,253,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and Labor’s Order No.	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sections 2550.404c–1 and 2550.404c– 5 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No.	2550.408g–1 also issued under sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR,	For purposes of paragraph (c)(6)(i) retirement ages, life expectancies, income levels, financial resources, replacement income ratios, inflation VerDate Nov<24>2008	Add § 2550.408g–2 to read as follows:	Section 408(g)(11)(A) of the Employee Retirement Income accordance with 29 CFR 2550.408g– 1(b)(5); and (v) Is maintained in accordance with 29 CFR 2550.408g–1(e).	this 9th day of January,
Identification and Performance of Equity Mutual Funds with High Management Fees and Expense Ratios	0.8562091503267973	0.7817258883248731	0.7959183673469388	0.8650137741046832	0.8469387755102041	0.7804878048780488	0.8673469387755102	0.808641975308642	0.8775510204081632
Investor Timing and Fund Distribution Channels	0.9193899782135077	0.8527918781725888	0.7647058823529411	0.9228650137741047	0.8024691358024691	0.8475609756097561	0.8913043478260869	0.8518518518518519	0.8260869565217391
Performance and Characteristics of Actively Managed Retail Equity Mutual Funds with Diverse Expense Ratios	0.8453159041394336	0.7918781725888325	0.8018867924528302	0.8650137741046832	0.839622641509434	0.7804878048780488	0.8773584905660378	0.8333333333333334	0.8773584905660378
Ranking Mutual Fund Families: Minimum Expenses and Maximum Loads as Markers for Moral Turpitude	0.8758169934640523	0.7918781725888325	0.8105263157894737	0.8870523415977961	0.8315789473684211	0.7926829268292683	0.8526315789473684	0.8209876543209876	0.8631578947368421
Search Costs and Mutual Fund Fee Dispersion	0.9281045751633987	0.8629441624365483	0.75	0.9090909090909091	0.8271604938271605	0.8475609756097561	0.8372093023255814	0.8641975308641975	0.813953488372093
The Cost of Active Investing	0.9520697167755992	0.8934010152284264	0.8382352941176471	0.9476584022038568	0.8641975308641975	0.8841463414634146	0.8918918918918919	0.8888888888888888	0.8571428571428571
The Economics of Mutual-Fund Brokerage: Evidence from the Cross Section of Investment Channels	0.8671023965141612	0.7868020304568528	0.7872340425531915	0.8787878787878788	0.8297872340425532	0.75	0.8617021276595744	0.808641975308642	0.8617021276595744
The Influence of Financial Advice on Individual Investor Portfolio Performance	0.8801742919389978	0.7918781725888325	0.8461538461538461	0.8842975206611571	0.8888888888888888	0.7926829268292683	0.8333333333333334	0.8271604938271605	0.8589743589743589
The Use and Abuse of Mutual Fund Expenses	0.9302832244008714	0.8781725888324873	0.8382352941176471	0.9256198347107438	0.8395061728395061	0.8658536585365854	0.8536585365853658	0.8765432098765432	0.7560975609756098
Yet Another Puzzle? Relation Between Price and Performance in the Mutual Fund Industry	0.869281045751634	0.766497461928934	0.8023255813953488	0.8787878787878788	0.8488372093023255	0.7987804878048781	0.8372093023255814	0.7777777777777778	0.8372093023255814
Are Mutual Fund Fees Competitive? What IQ-Related Behavior Tells Us	0.8997821350762527	0.8375634517766497	0.8235294117647058	0.90633608815427	0.8271604938271605	0.8048780487804879	0.7910447761194029	0.8518518518518519	0.8507462686567164
Financial Literacy and Mutual Fund Investments: Who Buys Actively Managed Funds	0.8888888888888888	0.7817258883248731	0.810126582278481	0.8870523415977961	0.8765432098765432	0.8170731707317073	0.8734177215189873	0.8333333333333334	0.8607594936708861
Investment Returns: Defined Benefits vs. 401(k) Plans	0.9128540305010894	0.8426395939086294	0.8088235294117647	0.9118457300275482	0.8148148148148148	0.8414634146341463	0.8679245283018868	0.8518518518518519	0.8679245283018868
Pension Participant Knowledge About Plan Fees	0.9281045751633987	0.8578680203045685	0.7941176470588235	0.9228650137741047	0.8271604938271605	0.8353658536585366	0.8666666666666667	0.8580246913580247	0.7777777777777778
The Economics of Providing 401(k) Plans: Services, Fees and Expenses 2006	0.8954248366013072	0.8121827411167513	0.8493150684931506	0.8925619834710744	0.8765432098765432	0.7865853658536586	0.8356164383561644	0.8148148148148148	0.8493150684931506
The Performance of U.S. Pension Funds	0.934640522875817	0.8781725888324873	0.7941176470588235	0.928374655647383	0.8395061728395061	0.8719512195121951	0.918918918918919	0.8641975308641975	0.8108108108108109
Are S&P 500 Index Mutual Funds Commodities	0.934640522875817	0.8730964467005076	0.7941176470588235	0.9228650137741047	0.8518518518518519	0.8658536585365854	0.7619047619047619	0.8703703703703703	0.8571428571428571
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.8801742919389978	0.7969543147208121	0.8421052631578947	0.8925619834710744	0.8641975308641975	0.7560975609756098	0.8421052631578947	0.8148148148148148	0.868421052631579
Advisory Opinion	0.9694989106753813	0.9390862944162437	0.8823529411764706	0.9696969696969697	0.9012345679012346	0.926829268292683	0.8378378378378378	0.9382716049382716	0.8333333333333334
Advisory Opinion	0.9694989106753813	0.9390862944162437	0.8823529411764706	0.9696969696969697	0.9012345679012346	0.926829268292683	0.8378378378378378	0.9382716049382716	0.8333333333333334
How Do Mutual Funds Fees Affect Investor Choices? Evidence from Survey Experiments	0.8867102396514162	0.7918781725888325	0.8536585365853658	0.8925619834710744	0.8658536585365854	0.7804878048780488	0.8658536585365854	0.8395061728395061	0.8658536585365854
Advisory Opinion	0.9694989106753813	0.9390862944162437	0.8823529411764706	0.9696969696969697	0.9012345679012346	0.926829268292683	0.8378378378378378	0.9382716049382716	0.8333333333333334
nan	0.9934640522875817	0.9847715736040609	0.9558823529411765	0.9917355371900827	0.9629629629629629	0.9817073170731707	0.972972972972973	0.9814814814814815	0.9166666666666666
Pension Protection Act of 2006	0.9411764705882353	0.8781725888324873	0.8235294117647058	0.9421487603305785	0.8148148148148148	0.8719512195121951	0.918918918918919	0.8765432098765432	0.8666666666666667
Fiduciary Requirements for Disclosure in Participant-Directed Individual Account Plans	0.8845315904139434	0.7918781725888325	0.7790697674418605	0.8760330578512396	0.872093023255814	0.7804878048780488	0.8372093023255814	0.8148148148148148	0.872093023255814
General Statutory Exemption for services or office space 	0.9019607843137255	0.817258883248731	0.8235294117647058	0.9118457300275482	0.8148148148148148	0.8170731707317073	0.8245614035087719	0.8518518518518519	0.8596491228070176
Interpretative Bulletin relating to participant investment education	0.8910675381263616	0.7918781725888325	0.8970588235294118	0.9008264462809917	0.8518518518518519	0.7865853658536586	0.8529411764705882	0.8333333333333334	0.8235294117647058
Notice of adoption of revisions to annual return/report forms	0.8845315904139434	0.7868020304568528	0.8823529411764706	0.9035812672176309	0.8271604938271605	0.7560975609756098	0.8360655737704918	0.8333333333333334	0.8032786885245902
Reasonable Contract or Arrangement under Section 408(b)(2)�Fee Disclosure; Proposed Rule	1.0	1.0	1.0	1.0	1.0	0.7987804878048781	1.0	1.0	0.8863636363636364
Reorganization Plan No. 4 of 1978	0.9455337690631809	0.8984771573604061	0.8088235294117647	0.9393939393939394	0.5925925925925926	0.8658536585365854	0.8918918918918919	0.8827160493827161	0.8181818181818182
nan	0.9934640522875817	0.9847715736040609	0.9558823529411765	0.9917355371900827	0.9629629629629629	0.9817073170731707	0.972972972972973	0.9814814814814815	0.9166666666666666
nan	0.9934640522875817	0.9847715736040609	0.9558823529411765	0.9917355371900827	0.9629629629629629	0.9817073170731707	0.972972972972973	0.9814814814814815	0.9166666666666666
nan	0.9934640522875817	0.9847715736040609	0.9558823529411765	0.9917355371900827	0.9629629629629629	0.9817073170731707	0.972972972972973	0.9814814814814815	0.9166666666666666
nan	0.9934640522875817	0.9847715736040609	0.9558823529411765	0.9917355371900827	0.9629629629629629	0.9817073170731707	0.972972972972973	0.9814814814814815	0.9166666666666666
Mutual Fund Advisory Contracts: An Empirical Investigation	0.906318082788671	0.8426395939086294	0.8676470588235294	0.90633608815427	0.8271604938271605	0.8292682926829268	0.8620689655172413	0.8641975308641975	0.8103448275862069
Costly Search and Mutual Fund Flows	0.9389978213507625	0.883248730964467	0.8529411764705882	0.931129476584022	0.8518518518518519	0.8841463414634146	0.8108108108108109	0.8703703703703703	0.8285714285714286
Are Investors Rational? Choices Among Index Funds	0.9215686274509803	0.8426395939086294	0.8529411764705882	0.9201101928374655	0.8271604938271605	0.8475609756097561	0.8775510204081632	0.8703703703703703	0.8163265306122449
Mutual Fund Fee-Setting, Market Structure and Mark-Ups	0.9150326797385621	0.8274111675126904	0.8823529411764706	0.9173553719008265	0.8271604938271605	0.8475609756097561	0.8518518518518519	0.8703703703703703	0.8148148148148148
Out of Sight, Out of Mind, The Effects of Expenses on Mutual Fund Flows	0.8932461873638344	0.7969543147208121	0.8450704225352113	0.9035812672176309	0.8765432098765432	0.7987804878048781	0.8169014084507042	0.8333333333333334	0.8169014084507042
Product Differentiation, Search Costs, and Competition in the Mutual Fund Industry: A Case Study of S&P 500 Index Funds	0.8344226579520697	0.7766497461928934	0.8151260504201681	0.8429752066115702	0.8151260504201681	0.7987804878048781	0.8739495798319328	0.8271604938271605	0.8739495798319328
The Determinants of the Flow of Funds of Managed Portfolios: Mutual Funds vs. Pension Funds	0.8714596949891068	0.7969543147208121	0.8351648351648352	0.8677685950413223	0.8351648351648352	0.8048780487804879	0.8461538461538461	0.8209876543209876	0.8351648351648352
Mutual Fund Advisory Fees: The Cost of Conflicts of Interest	0.9019607843137255	0.8324873096446701	0.8382352941176471	0.90633608815427	0.7901234567901234	0.8292682926829268	0.8333333333333334	0.8518518518518519	0.8
Why Does the Law of One Price Fail? An Experiment on Index Mutual Funds	0.8932461873638344	0.8071065989847716	0.8873239436619719	0.8953168044077136	0.8395061728395061	0.7926829268292683	0.8591549295774648	0.8148148148148148	0.8028169014084507
