	Letter to Hon. Nancy Pelosi.	States as Policy Laboratories: Emulating Success in the Children’s Health Insurance Program”	Active Purchasing for Health Exchanges: An Analysis of Options:	and Elizabeth McGylnn(2010) Establishing State Health Insurance Exchanges.	Health Reform in Massachusetts An Update As of fall	Citations Actuarial Research Corporation. &quot;Reinsurance attachment point estimates.&quot;	The Value of Health Insurance: Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills.	Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:	Independent Report on the Healthy NY Program for Calendar Year	Medicare & Medicaid Services. &quot;Announcement of Calendar Year (CY)	Employer Health Benefits,	Does major illness cause financial catastrophe?&quot;	Cost and Funding Considerations for a Statewide All-Payer Claims Database (APCD). .&quot;	Katherine Baicker, and The Oregon Health Study Group. &quot;The Oregon Health Insurance Experiment: Evidence from the First Year.&quot;	Generosity and adjusted premiums in job-based insurance: Hawaii is up, Wyoming is down.&quot;	Patient Protection and Affordable Care Act (PPACA): Long Term Costs for Gvoernments, Employers, Families and Providers.&quot; Staff Working Paper	Race and insurance status as risk factors for trauma mortality.&quot;	Care without coverage: too little, too late:	The impact of health insurance on health.&quot;	of Health Care Finance and Policy. &quot;2009 Annual Report Health Safety Net.&quot;	All-Payer Claims Databases. (Robert Woods Johnson Foundation.	Office of External Affairs and Beneficiary Services, Unpublished. &quot;FY	Office of the Inspector General. Medicaid Managed Care Encounter Data: Collection and Use.	Reinsurance: How States Can Make Health Coverage More Affordable for Employers and Workers: Commonwealth Fund,	Healthy New York: Making Insurance More Affordable for LowIncome Workers: The Commonwealth Fund.,	Massachusetts Health Care Reform—Near-Universal Coverage at What Cost?&quot;
Care without coverage: too little, too late	0.813953488372093	0.782608695652174	0.7777777777777778	0.7972972972972973	0.803921568627451	0.7741935483870968	0.7870370370370371	0.8344827586206897	0.7741935483870968	0.7714285714285715	0.813953488372093	0.8301886792452831	0.7752808988764045	0.8148148148148148	0.7956989247311828	0.8206896551724138	0.782608695652174	0.022727272727272728	0.8297872340425532	0.7976190476190477	0.7540983606557377	0.8243243243243243	0.7777777777777778	0.7727272727272727	0.7938144329896907	0.7763157894736842
Employer Health Benefits, 2010 Annual Survey	0.8181818181818182	0.8043478260869565	0.7936507936507936	0.8108108108108109	0.8431372549019608	0.8494623655913979	0.7777777777777778	0.8413793103448276	0.7580645161290323	0.7857142857142857	0.4318181818181818	0.8301886792452831	0.8539325842696629	0.8444444444444444	0.8387096774193549	0.8551724137931035	0.8405797101449275	0.9090909090909091	0.7872340425531915	0.75	0.8032786885245902	0.7432432432432432	0.8111111111111111	0.8181818181818182	0.8144329896907216	0.7631578947368421
FY 2010 SHIP Basic Grant Funding	0.84375	0.8478260869565217	0.8253968253968254	0.7837837837837838	0.8431372549019608	0.8602150537634409	0.8703703703703703	0.903448275862069	0.8387096774193549	0.8571428571428571	0.875	0.8113207547169812	0.8764044943820225	0.8962962962962963	0.8494623655913979	0.8827586206896552	0.8405797101449275	0.8863636363636364	0.8297872340425532	0.8690476190476191	0.7704918032786885	0.8513513513513513	0.8555555555555555	0.8818181818181818	0.8556701030927835	0.868421052631579
Health New York: Making Insurance More Affordable for Low-Income Workers	0.7916666666666666	0.7717391304347826	0.8055555555555556	0.8918918918918919	0.6527777777777778	0.8172043010752689	0.7407407407407407	0.8	0.7916666666666666	0.8333333333333334	0.8611111111111112	0.8194444444444444	0.8426966292134831	0.7703703703703704	0.8172043010752689	0.7793103448275862	0.8333333333333334	0.7777777777777778	0.75	0.8095238095238095	0.8055555555555556	0.8783783783783784	0.7777777777777778	0.6181818181818182	0.27835051546391754	0.8552631578947368
Letter to the Honorable Evan Bayh: An Analysis of Health Insurance Premiums Under the Patient Protection and Affordable Care Act 	0.8294573643410853	0.751937984496124	0.7829457364341085	0.7984496124031008	0.7751937984496124	0.751937984496124	0.7364341085271318	0.7724137931034483	0.7596899224806202	0.7906976744186046	0.875968992248062	0.813953488372093	0.7984496124031008	0.7555555555555555	0.751937984496124	0.7655172413793103	0.751937984496124	0.8217054263565892	0.7596899224806202	0.7674418604651163	0.8294573643410853	0.813953488372093	0.7054263565891473	0.7674418604651163	0.7906976744186046	0.7906976744186046
Patient Protection and Affordable Care Act (PPACA): Long Term Costs for Governments, Employers, Families and Providers	0.8559322033898306	0.7796610169491526	0.7627118644067796	0.8305084745762712	0.8220338983050848	0.7711864406779662	0.847457627118644	0.7931034482758621	0.7627118644067796	0.788135593220339	0.8898305084745762	0.8559322033898306	0.8135593220338984	0.7555555555555555	0.788135593220339	0.2	0.7457627118644068	0.8050847457627118	0.8305084745762712	0.8135593220338984	0.788135593220339	0.7711864406779662	0.7457627118644068	0.7796610169491526	0.7796610169491526	0.788135593220339
Reinsurance: How States Can Make Health Coverage More Affordable for Employers and Workers	0.8333333333333334	0.8586956521739131	0.7444444444444445	0.8555555555555555	0.7777777777777778	0.8602150537634409	0.7592592592592593	0.7517241379310344	0.6777777777777778	0.8	0.8444444444444444	0.8111111111111111	0.8777777777777778	0.7333333333333333	0.8494623655913979	0.7379310344827587	0.6888888888888889	0.7444444444444445	0.7888888888888889	0.8666666666666667	0.7666666666666667	0.8	0.7777777777777778	0.18181818181818182	0.711340206185567	0.7777777777777778
Generosity and adjusted premiums in job-based insurance: Hawaii is up, Wyoming is down	0.8255813953488372	0.8260869565217391	0.7906976744186046	0.8372093023255814	0.7674418604651163	0.7849462365591398	0.7870370370370371	0.7931034482758621	0.813953488372093	0.813953488372093	0.8604651162790697	0.7674418604651163	0.797752808988764	0.7185185185185186	0.07526881720430108	0.7724137931034483	0.7906976744186046	0.7906976744186046	0.7674418604651163	0.8488372093023255	0.813953488372093	0.8372093023255814	0.8111111111111111	0.7818181818181819	0.845360824742268	0.8372093023255814
The Oregon Health Insurance Experiment: Evidence from the First Year	0.8235294117647058	0.7608695652173914	0.8235294117647058	0.8378378378378378	0.7647058823529411	0.7849462365591398	0.6296296296296297	0.7655172413793103	0.75	0.8	0.7794117647058824	0.7794117647058824	0.8089887640449438	0.4962962962962963	0.8172043010752689	0.7586206896551724	0.8405797101449275	0.75	0.6470588235294118	0.7976190476190477	0.8235294117647058	0.7972972972972973	0.7888888888888889	0.7636363636363637	0.7010309278350515	0.7631578947368421
Emergency Department Utilization After the Implementation of Massachusetts Health Reform	0.8181818181818182	0.8152173913043478	0.8068181818181818	0.8636363636363636	0.7613636363636364	0.8494623655913979	0.7870370370370371	0.7379310344827587	0.7386363636363636	0.7840909090909091	0.8295454545454546	0.7954545454545454	0.8314606741573034	0.7703703703703704	0.8387096774193549	0.7793103448275862	0.7954545454545454	0.7727272727272727	0.7159090909090909	0.8522727272727273	0.7840909090909091	0.8409090909090909	0.8666666666666667	0.7818181818181819	0.7835051546391752	0.8181818181818182
Massachusetts Health Care Reform - Near-Universal Coverage at What Cost?	0.7916666666666666	0.8043478260869565	0.8055555555555556	0.8513513513513513	0.7222222222222222	0.7634408602150538	0.7222222222222222	0.7793103448275862	0.7777777777777778	0.8055555555555556	0.7916666666666666	0.8055555555555556	0.7640449438202247	0.762962962962963	0.8279569892473119	0.7724137931034483	0.8472222222222222	0.8055555555555556	0.75	0.8095238095238095	0.8055555555555556	0.8783783783783784	0.7888888888888889	0.6909090909090909	0.7938144329896907	0.11842105263157894
Race and insurance status as risk factors for trauma mortality	0.8064516129032258	0.7608695652173914	0.8888888888888888	0.7972972972972973	0.7903225806451613	0.7634408602150538	0.6759259259259259	0.7862068965517242	0.7903225806451613	0.8428571428571429	0.8870967741935484	0.7903225806451613	0.7640449438202247	0.7777777777777778	0.7634408602150538	0.7793103448275862	0.10144927536231885	0.7741935483870968	0.7741935483870968	0.7738095238095238	0.8064516129032258	0.7702702702702703	0.7777777777777778	0.7272727272727273	0.711340206185567	0.7894736842105263
Does major illness cause financial catastrophe?	0.7872340425531915	0.75	0.7777777777777778	0.7837837837837838	0.7450980392156863	0.7741935483870968	0.7962962962962963	0.8344827586206897	0.8225806451612904	0.8	0.8085106382978723	0.11320754716981132	0.8089887640449438	0.837037037037037	0.7956989247311828	0.8482758620689655	0.782608695652174	0.851063829787234	0.8297872340425532	0.7857142857142857	0.819672131147541	0.7972972972972973	0.7666666666666667	0.8363636363636363	0.8144329896907216	0.7894736842105263
The impact of health insurance on health	0.775	0.7391304347826086	0.6825396825396826	0.7027027027027027	0.7647058823529411	0.7526881720430108	0.7314814814814815	0.8206896551724138	0.6774193548387096	0.7714285714285715	0.7	0.7547169811320755	0.8202247191011236	0.7703703703703704	0.7634408602150538	0.8482758620689655	0.7681159420289855	0.75	0.14893617021276595	0.7619047619047619	0.8032786885245902	0.7837837837837838	0.7666666666666667	0.7909090909090909	0.7628865979381443	0.7894736842105263
