	Total number of HIV-Positive cases due to 1.51% onward transmission connected with U.S.	prevalence estimatesâ€”United States,	Revised recommendations for HIV testing of adults, adolescents, and pregnant women in healthcare settings. MMWR Recomm Rep,	Appendix II: HIVEcon: Additional notes and data on model inputs and outputs.	Yearbook of Immigration Statistics:	Population Prospects: The	AIDS Epidemic Update. WHO Library Cataloguing-in-Publication Data: UNAIDS/07.27E/JC1322E,	Yearbook of Immigration Statistics:	Life expectancy of individuals on combination antiretroviral therapy in highincome countries: a collaborative analysis of 14 cohort studies. Lancet,	The New Americans: Economic, Demographic, and Fiscal Effects of Immigration.	Technical Appendix I: HIVEcon: A model to estimate the economic costs of immigrants who are HIV-positive.	The lifetime cost of current human immunodeficiency virus care in the United States. Med Care,	for the Use of Antiretroviral Agents in HIVâ€“1â€“Infected Adults and Adolescents.	memorandum: Consolidation of Policy Regarding	A quick guide to public charge and receipt to public benefits.	How many sexuallyacquired HIV infections in the USA are due to acute-phase HIV transmission?	Transmission Rates in the United States.	Health status, health insurance, and health care utilization patterns of immigrant Black men.	Effects of immigration on selected health risk behaviors of Black college students.	Acculturation, sexual risk taking, and HIV health promotion among Latinas.	Alcohol and AIDS-related sexual behavior among Hispanics: acculturation and gender differences. AIDS Educ Prev,	Initial acculturation and HIV risk among new Hispanic immigrants.	HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and US-born Blacks.	Immigration measures and reproductive health among Hispanic youth: findings from the national longitudinal survey of youth, 1997â€“2003. J Adolesc Health,	The impact of migration on the health of voluntary migrants in western societies.	Immigration and HIV/AIDS in the New York Metropolitan Area. J Urban Health,	HIV prevalence among foreign- and US-born clients of public STD clinics.	Acculturation and gender differences in sexual attitudes and behaviors: Hispanic vs non-Hispanic white unmarried adults.	Available from: http:// www.cdc.gov/hiv/topics/surveillance/ incidence.htm. V. Regulatory Flexibility Analysis VI. Other Administrative Requirements A. The Unfunded Mandates Reform Act HHS/CDC evaluated the rule requirements for compliance with the Unfunded Mandates Reform Act (UMRA) of 1995. This rule does not contain Federal mandates under the regulatory provisions of Title II of the UMRA for State, local, or Tribal Governments, nor for the private sector. The ruleâ€™s provisions will not affect small Governments. B. Executive Order 13045: Protection of Children From Environmental Health Risks and Safety Risks Executive	The authority citation for part 34 continues to read as follows:	34.2 by removing paragraph (b)(6) and redesignating paragraphs (b)(7) through (10) (b)(6) through (9), respectively.	34.3 by revising paragraphs (b)(1)(i), (e)(1) introductory text, (e)(2)(iii), (e)(2)(iv), (e)(5), and (e)(6) to read as follows: Â§ 34.3 Scope of examinations.
HIV/AIDS Transmission Rates in  the United States	0.7931034482758621	0.6326530612244898	0.8048780487804879	0.7105263157894737	0.7959183673469388	0.7959183673469388	0.8426966292134831	0.7959183673469388	0.8108108108108109	0.8026315789473685	0.7904761904761904	0.6914893617021277	0.7564102564102564	0.8571428571428571	0.8548387096774194	0.7608695652173914	0.22448979591836735	0.7849462365591398	0.7710843373493976	0.7837837837837838	0.7927927927927928	0.7846153846153846	0.75	0.8223684210526315	0.7530864197530864	0.7466666666666667	0.7916666666666666	0.8	0.9346092503987241	0.765625	0.8362068965517241	0.8544303797468354
Technical  Appendix I: HIVEcon: A model to estimate  the economic costs of immigrants who are  HIV-positive	0.7570093457943925	0.7850467289719626	0.7723577235772358	0.6261682242990654	0.822429906542056	0.8691588785046729	0.8785046728971962	0.822429906542056	0.7567567567567568	0.7289719626168224	0.037383177570093455	0.8317757009345794	0.822429906542056	0.7757009345794392	0.794392523364486	0.794392523364486	0.7850467289719626	0.7289719626168224	0.7757009345794392	0.8037383177570093	0.8468468468468469	0.7663551401869159	0.75	0.8026315789473685	0.7009345794392523	0.7757009345794392	0.7850467289719626	0.775	0.8787878787878788	0.7757009345794392	0.853448275862069	0.8227848101265823
Technical Appendix II: HIVEcon:  Additional notes and data on model inputs  and outputs	0.8390804597701149	0.7816091954022989	0.7154471544715447	0.14942528735632185	0.8160919540229885	0.8735632183908046	0.9101123595505618	0.8160919540229885	0.7702702702702703	0.7471264367816092	0.5333333333333333	0.8085106382978723	0.7816091954022989	0.7586206896551724	0.7586206896551724	0.8043478260869565	0.7586206896551724	0.8279569892473119	0.8390804597701149	0.7931034482758621	0.7747747747747747	0.7816091954022989	0.725	0.7828947368421053	0.8160919540229885	0.8045977011494253	0.7931034482758621	0.7583333333333333	0.8995215311004785	0.7586206896551724	0.8275862068965517	0.810126582278481
Life expectancy of individuals on  combination antiretroviral therapy in high-  income countries: a collaborative analysis of 14 cohort studies	0.7972027972027972	0.8531468531468531	0.7762237762237763	0.7692307692307693	0.8461538461538461	0.8601398601398601	0.8111888111888111	0.8461538461538461	0.08783783783783784	0.7552447552447552	0.7482517482517482	0.7622377622377622	0.7132867132867133	0.8251748251748252	0.8111888111888111	0.7692307692307693	0.8111888111888111	0.7552447552447552	0.7272727272727273	0.7762237762237763	0.7972027972027972	0.7832167832167832	0.7622377622377622	0.8223684210526315	0.7132867132867133	0.8041958041958042	0.7762237762237763	0.7832167832167832	0.8405103668261563	0.7552447552447552	0.8321678321678322	0.8417721518987342
The impact of migration on the health of voluntary migrants in western societies	0.735632183908046	0.8	0.6910569105691057	0.825	0.7375	0.8375	0.8651685393258427	0.7375	0.7162162162162162	0.8	0.6952380952380952	0.6914893617021277	0.7875	0.775	0.7625	0.7934782608695652	0.7375	0.7311827956989247	0.6385542168674698	0.8	0.7927927927927928	0.7375	0.7333333333333333	0.743421052631579	0.012345679012345678	0.775	0.8	0.7416666666666667	0.8931419457735247	0.6625	0.8103448275862069	0.8164556962025317
Health status, health insurance, and health care utilization patterns of immigrant Black men	0.8478260869565217	0.8260869565217391	0.7723577235772358	0.8043478260869565	0.8260869565217391	0.8586956521739131	0.8478260869565217	0.8260869565217391	0.7432432432432432	0.7282608695652174	0.7333333333333333	0.8404255319148937	0.8152173913043478	0.7934782608695652	0.782608695652174	0.8043478260869565	0.7934782608695652	0.010752688172043012	0.7717391304347826	0.7065217391304348	0.7837837837837838	0.7065217391304348	0.7083333333333334	0.756578947368421	0.7391304347826086	0.7717391304347826	0.7608695652173914	0.7166666666666667	0.8787878787878788	0.7608695652173914	0.8189655172413793	0.8227848101265823
Estimating sexual transmission of HIV from persons aware and unaware that they are infected with the virus in the USA	0.717948717948718	0.8290598290598291	0.7967479674796748	0.7777777777777778	0.8205128205128205	0.8547008547008547	0.8717948717948718	0.8205128205128205	0.7905405405405406	0.7863247863247863	0.811965811965812	0.7692307692307693	0.7606837606837606	0.8205128205128205	0.7606837606837606	0.6837606837606838	0.7435897435897436	0.7777777777777778	0.7606837606837606	0.7435897435897436	0.8376068376068376	0.717948717948718	0.7333333333333333	0.7631578947368421	0.7521367521367521	0.7606837606837606	0.7777777777777778	0.8166666666666667	0.8676236044657097	0.7863247863247863	0.8632478632478633	0.8227848101265823
Meta-analysis of high-risk sexual behavior in persons aware and unaware they are infected with HIV in the United States: implications for HIV prevention programs	0.7701863354037267	0.8385093167701864	0.7763975155279503	0.7950310559006211	0.8633540372670807	0.8881987577639752	0.84472049689441	0.8633540372670807	0.7888198757763976	0.8074534161490683	0.7701863354037267	0.7204968944099379	0.782608695652174	0.8509316770186336	0.7950310559006211	0.7204968944099379	0.7888198757763976	0.7267080745341615	0.7701863354037267	0.7515527950310559	0.7391304347826086	0.7950310559006211	0.7763975155279503	0.8260869565217391	0.7577639751552795	0.8012422360248447	0.8012422360248447	0.7950310559006211	0.8373205741626795	0.7950310559006211	0.8136645962732919	0.8695652173913043
Immigration measures and reproductive health among Hispanic youth: findings from the national longitudinal survey of youth, 1997Ð2003	0.7669172932330827	1.0	0.8120300751879699	0.7744360902255639	0.8421052631578947	0.8796992481203008	0.7969924812030075	0.8421052631578947	0.8108108108108109	0.7819548872180451	0.8195488721804511	0.7669172932330827	1.0	0.8120300751879699	0.7969924812030075	0.7593984962406015	0.8045112781954887	0.7744360902255639	0.7593984962406015	0.7443609022556391	0.7218045112781954	0.7819548872180451	0.8195488721804511	1.0	0.7218045112781954	0.7218045112781954	0.7894736842105263	0.7744360902255639	1.0	0.7894736842105263	0.8571428571428571	1.0
The lifetime cost of current human immunodeficiencyvirus care in the United States	0.8275862068965517	0.7317073170731707	0.7479674796747967	0.7926829268292683	0.8170731707317073	0.8414634146341463	0.8426966292134831	0.8170731707317073	0.7567567567567568	0.7804878048780488	0.7619047619047619	0.1276595744680851	0.7804878048780488	0.8048780487804879	0.7682926829268293	0.8260869565217391	0.6463414634146342	0.8064516129032258	0.8313253012048193	0.8536585365853658	0.8108108108108109	0.8170731707317073	0.775	0.7697368421052632	0.7439024390243902	0.8170731707317073	0.7804878048780488	0.75	0.8963317384370016	0.7682926829268293	0.8103448275862069	0.8227848101265823
Effects of immigration on selected health risk behaviors of Black college students	0.8045977011494253	0.8170731707317073	0.7479674796747967	0.8292682926829268	0.7317073170731707	0.8170731707317073	0.8651685393258427	0.7317073170731707	0.7094594594594594	0.8292682926829268	0.780952380952381	0.8085106382978723	0.7804878048780488	0.7317073170731707	0.7682926829268293	0.8369565217391305	0.7804878048780488	0.7526881720430108	0.012048192771084338	0.8292682926829268	0.8108108108108109	0.7317073170731707	0.7333333333333333	0.7763157894736842	0.6463414634146342	0.7682926829268293	0.8170731707317073	0.725	0.8963317384370016	0.7560975609756098	0.7931034482758621	0.7974683544303798
Revised recommendations for HIV testing of adults, adolescents, and pregnant women in health- care settings	0.7663551401869159	0.8037383177570093	0.16260162601626016	0.6915887850467289	0.8037383177570093	0.8411214953271028	0.8504672897196262	0.8037383177570093	0.777027027027027	0.7663551401869159	0.794392523364486	0.7850467289719626	0.7757009345794392	0.7757009345794392	0.7570093457943925	0.794392523364486	0.7850467289719626	0.7757009345794392	0.7289719626168224	0.7289719626168224	0.8288288288288288	0.7383177570093458	0.7583333333333333	0.7828947368421053	0.6728971962616822	0.7289719626168224	0.7570093457943925	0.7833333333333333	0.8708133971291866	0.7476635514018691	0.8189655172413793	0.7784810126582279
HIV prevalence among foreign- and US-born clients of public STD clinics	0.8505747126436781	0.7464788732394366	0.7723577235772358	0.8157894736842105	0.7887323943661971	0.8309859154929577	0.8426966292134831	0.7887323943661971	0.7905405405405406	0.7763157894736842	0.7714285714285715	0.7872340425531915	0.8205128205128205	0.7323943661971831	0.7183098591549296	0.7282608695652174	0.8028169014084507	0.7634408602150538	0.8072289156626506	0.8378378378378378	0.7657657657657657	0.7605633802816901	0.7416666666666667	0.7960526315789473	0.7901234567901234	0.8666666666666667	0.013888888888888888	0.7666666666666667	0.9138755980861244	0.7746478873239436	0.7931034482758621	0.8164556962025317
How many sexually- acquired HIV infections in the USA are due to acute-phase HIV transmission	0.8279569892473119	0.8064516129032258	0.7804878048780488	0.7741935483870968	0.8064516129032258	0.8387096774193549	0.9247311827956989	0.8064516129032258	0.7567567567567568	0.8064516129032258	0.7904761904761904	0.8191489361702128	0.7741935483870968	0.8279569892473119	0.7526881720430108	0.03225806451612903	0.7526881720430108	0.8064516129032258	0.8387096774193549	0.7849462365591398	0.8018018018018018	0.7634408602150538	0.65	0.7828947368421053	0.8064516129032258	0.7204301075268817	0.7311827956989247	0.8083333333333333	0.8883572567783095	0.7634408602150538	0.8189655172413793	0.8037974683544303
Initial acculturation and HIV risk among new Hispanic immigrants	0.8160919540229885	0.828125	0.7642276422764228	0.7763157894736842	0.78125	0.796875	0.8426966292134831	0.78125	0.7702702702702703	0.7894736842105263	0.7619047619047619	0.7872340425531915	0.7692307692307693	0.8125	0.828125	0.7717391304347826	0.796875	0.7096774193548387	0.7228915662650602	0.6756756756756757	0.7567567567567568	0.015384615384615385	0.6833333333333333	0.7960526315789473	0.7283950617283951	0.76	0.75	0.7083333333333334	0.9186602870813397	0.8125	0.8362068965517241	0.8354430379746836
HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and US-born Blacks	0.7983193277310925	0.8235294117647058	0.8130081300813008	0.7226890756302521	0.8235294117647058	0.8739495798319328	0.8403361344537815	0.8235294117647058	0.777027027027027	0.7226890756302521	0.7478991596638656	0.7983193277310925	0.7563025210084033	0.7983193277310925	0.7815126050420168	0.6470588235294118	0.7899159663865546	0.7226890756302521	0.7394957983193278	0.7394957983193278	0.7899159663865546	0.680672268907563	0.008333333333333333	0.8026315789473685	0.7394957983193278	0.7647058823529411	0.7478991596638656	0.8166666666666667	0.8740031897926634	0.7563025210084033	0.8739495798319328	0.7911392405063291
Alcohol and AIDS-related sexual behavior among  Hispanics: acculturation and gender differences	0.8210526315789474	0.8210526315789474	0.8048780487804879	0.7894736842105263	0.8210526315789474	0.8526315789473684	0.8421052631578947	0.8210526315789474	0.7297297297297297	0.8	0.8285714285714286	0.8526315789473684	0.7894736842105263	0.7894736842105263	0.7789473684210526	0.8526315789473684	0.8210526315789474	0.8421052631578947	0.8105263157894737	0.7157894736842105	0.16216216216216217	0.7263157894736842	0.725	0.7368421052631579	0.7684210526315789	0.8210526315789474	0.8	0.6833333333333333	0.8899521531100478	0.7578947368421053	0.8189655172413793	0.8354430379746836
Migration and AIDS	0.8735632183908046	0.8285714285714286	0.9024390243902439	0.868421052631579	0.7142857142857143	0.76	0.8426966292134831	0.7142857142857143	0.918918918918919	0.8552631578947368	0.9047619047619048	0.8829787234042553	0.8461538461538461	0.8222222222222222	0.8548387096774194	0.8913043478260869	0.8	0.8817204301075269	0.8554216867469879	0.8378378378378378	0.8468468468468469	0.8	0.8916666666666667	0.9078947368421053	0.8518518518518519	0.7733333333333333	0.8611111111111112	0.8916666666666667	0.9744816586921851	0.828125	0.9224137931034483	0.9240506329113924
Acculturation and gender differences in sexual attitudes and behaviors: Hispanic vs non-Hispanic white unmarried adults	0.7647058823529411	0.8403361344537815	0.8373983739837398	0.7563025210084033	0.8571428571428571	0.8571428571428571	0.8403361344537815	0.8571428571428571	0.777027027027027	0.8067226890756303	0.7815126050420168	0.773109243697479	0.7899159663865546	0.8067226890756303	0.7563025210084033	0.8067226890756303	0.8067226890756303	0.7142857142857143	0.7310924369747899	0.6890756302521008	0.7815126050420168	0.7142857142857143	0.8166666666666667	0.756578947368421	0.7478991596638656	0.7394957983193278	0.773109243697479	0.008333333333333333	0.8644338118022329	0.773109243697479	0.8823529411764706	0.810126582278481
Acculturation, sexual risk taking, and HIV health promotion among Latinas	0.7931034482758621	0.821917808219178	0.7560975609756098	0.8157894736842105	0.7945205479452054	0.821917808219178	0.8651685393258427	0.7945205479452054	0.7972972972972973	0.7763157894736842	0.8	0.8191489361702128	0.8205128205128205	0.7808219178082192	0.726027397260274	0.7934782608695652	0.7671232876712328	0.7096774193548387	0.8192771084337349	0.013513513513513514	0.7567567567567568	0.684931506849315	0.7333333333333333	0.7763157894736842	0.7901234567901234	0.8133333333333334	0.8493150684931506	0.6833333333333333	0.9027113237639554	0.821917808219178	0.8017241379310345	0.810126582278481
Immigration and HIV/AIDS in the New York Metropolitan Area	0.8045977011494253	0.8448275862068966	0.7723577235772358	0.7631578947368421	0.8275862068965517	0.8103448275862069	0.8539325842696629	0.8275862068965517	0.8175675675675675	0.8421052631578947	0.7619047619047619	0.7872340425531915	0.8333333333333334	0.8103448275862069	0.8387096774193549	0.75	0.7586206896551724	0.7741935483870968	0.7108433734939759	0.7297297297297297	0.8018018018018018	0.6923076923076923	0.7833333333333333	0.7631578947368421	0.7530864197530864	0.22666666666666666	0.7916666666666666	0.75	0.9298245614035088	0.84375	0.8017241379310345	0.8481012658227848
