	State of the Vending Industry Report.” http://www.vendingmarketwatch.com/content/reports/ accessed,	National Automatic Merchandising Association. “Comments of: The National Automatic Merchandising Association.” Docket No.	Business Administration. “Table of Small Business Size Standards Matched to North American Industry Classification System Codes,” Effective	Operators Find Today&apos;s Patrons Favor &apos;Better-For-You&apos; Food Selections In	Is the Obesity Epidemic a Public Health Problem? A Decade	Strategies for Promoting Healthier Food Choices.” American Economic Review: Papers and Proceedings,	Doing it Now or	Will all Americans Become Overweight or Obese? Estimating the Progression and	Prevalence of Overweight, Obesity, and Extreme Obesity Among Adults: United States,	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US.” Obesity,	Social Network and Weight Misperception Among Adolescents”. Southern Economic Journal, Forthcoming,	Size Matters: The Influence of Adolescent’s Weight and	Body Weight, Self-Perception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity: Payer-	The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination,”	The Long-Run Growth in Obesity as a Function of Technological Change.”	An Economic Analysis of Adult Obesity: Results from the Behavioral Risk Factor Surveillance System.”	A Pricing Strategy to Promote Low-Fat Snack Choices through Vending Machines”.	Department of Agriculture Economic Research Service. “Table 15: Sales of meals and snacks away from home by type of outlet.” Food CPI and Expenditures: Food Expenditure Tables. http://www.ers.usda.gov/Briefing/CPIFoodAndExpenditures/Data/ Accessed 10/8/2010.	Testing Laboratory. “Quality Nutrition Analysis.” http://www.rlfoodtestinglaboratory.com/services.asp, accessed	Evaluation of Recordkeeping Costs for Food Manufacturers, Final Report.” Prepared for Andy Estrin and Cristina McLaughlin of FDA&apos;s Center for Food Safety and Applied Nutrition. Prepared by Aylin Sertkaya, Ayesha Berlind and Seda Erdem. Contract No. 223-01-2461, Task Order Number 5,	City’s Soda Cost Millions Monthly: Tax on Soft Drinks	Taxing Food: Implications for Public	Ounces of Prevention — The Public Policy Case for Taxes on Sugared Beverages.” New England	The Effects of Soft Drink Taxes on Child and Adolescent Consumption and Weight Outcomes.”	Schoolchildren’s Consumption of Competitive Foods and Beverages, Excluding à la	Choose Beverages and Foods to Moderate your Intake of Sugars: Measurement Requires Quantification.	Measuring the Health of the U.S.	Obesity-Related Quality-Adusted Life Years Lost in the U.S. from 1993-2008,”	Trends in Quality-Adjusted Life-Years Lost Contributed by Smoking and Obesity,”	Statistical Abstract of the United States:	Separating what We Eat from where:	"Calorie Labeling And Food Choices: A First Look At The Effects On Low-Income People In New York City."""	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information.”	Do Nutrition Labels Improve Dietary Outcomes?	Mandatory Menu Labeling in One Fast-Food Chain in King County,	Child and Adolescent Fast-Food Choice and the Influence of Calorie Labeling:	"Nutrition Menu Labeling May Lead to Lower-Calorie Restaurant Meal Choices for Children."" Pediatrics,"	Modeling weight-loss maintenance to help prevent body weight regain,”	School Vending Machine Use and Fast-Food Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth.”
Quality Nutrition Analysis	0.5454545454545454	0.4285714285714286	0.44680851063829785	0.46341463414634143	0.4358974358974359	0.5555555555555556	0.41666666666666663	0.4871794871794872	0.4545454545454546	0.5416666666666667	0.4545454545454546	0.4358974358974359	0.5384615384615384	0.5	0.368421052631579	0.5	0.47619047619047616	0.4545454545454546	0.4883720930232558	0.5932203389830508	0.4042553191489362	0.5873015873015873	0.4444444444444444	0.45945945945945943	0.4782608695652174	0.5	0.5238095238095238	0.5	0.3939393939393939	0.4693877551020408	0.40909090909090906	0.3939393939393939	0.5625	0.52	0.4883720930232558	0.3513513513513513	0.42105263157894735	0.42105263157894735	0.4418604651162791	0.4736842105263158	0.5111111111111111
Table of Small Business Size Standards Matched to North American Industry Classification System Codes	0.368421052631579	0.23636363636363633	0.09999999999999998	0.33333333333333337	0.3076923076923077	0.3793103448275862	0.6216216216216216	0.34615384615384615	0.29824561403508776	0.3114754098360656	0.33333333333333337	0.1923076923076923	0.3076923076923077	0.28888888888888886	0.2941176470588235	0.29824561403508776	0.34545454545454546	0.26315789473684215	0.3214285714285714	0.33333333333333337	0.30000000000000004	0.3421052631578947	0.30612244897959184	0.31999999999999995	0.2542372881355932	0.29824561403508776	0.3090909090909091	0.26315789473684215	0.34782608695652173	0.3870967741935484	0.29824561403508776	0.26086956521739135	0.4666666666666667	0.3015873015873016	0.25	0.31999999999999995	0.33333333333333337	0.2549019607843137	0.2857142857142857	0.33333333333333337	0.3448275862068966
The Growth of Obesity and Technological Change: A Theoretical and Empirical Examination	0.3448275862068966	0.2857142857142857	0.3114754098360656	0.4181818181818182	0.28301886792452835	0.2542372881355932	0.5789473684210527	0.24528301886792447	0.1724137931034483	0.25806451612903225	0.3448275862068966	0.3207547169811321	0.3584905660377359	0.26086956521739135	0.2692307692307693	0.03448275862068961	0.25	0.27586206896551724	0.368421052631579	0.28767123287671237	0.24590163934426235	0.37662337662337664	0.31999999999999995	0.2549019607843137	0.23333333333333328	0.2068965517241379	0.2857142857142857	0.3793103448275862	0.44680851063829785	0.4285714285714286	0.31034482758620685	0.276595744680851	0.30434782608695654	0.1875	0.29824561403508776	0.37254901960784315	0.34615384615384615	0.2692307692307693	0.33333333333333337	0.2692307692307693	0.4576271186440678
Strategies for Promoting Healthier Food Choices	0.37254901960784315	0.30612244897959184	0.37037037037037035	0.375	0.34782608695652173	0.1923076923076923	0.5483870967741935	0.30434782608695654	0.2941176470588235	0.3090909090909091	0.33333333333333337	0.30434782608695654	0.21739130434782605	0.3846153846153846	0.33333333333333337	0.33333333333333337	0.34693877551020413	0.33333333333333337	0.28	0.3939393939393939	0.40740740740740744	0.4285714285714286	0.34883720930232553	0.2727272727272727	0.3207547169811321	0.2941176470588235	0.22448979591836737	0.2941176470588235	0.25	0.4642857142857143	0.37254901960784315	0.25	0.33333333333333337	0.33333333333333337	0.28	0.4545454545454546	0.33333333333333337	0.24444444444444446	0.31999999999999995	0.33333333333333337	0.3846153846153846
Taxing Food: Implications for Public Health Nutrition	0.33333333333333337	0.2727272727272727	0.33333333333333337	0.33333333333333337	0.2692307692307693	0.27586206896551724	0.5675675675675675	0.34615384615384615	0.26315789473684215	0.2786885245901639	0.33333333333333337	0.2692307692307693	0.3076923076923077	0.28888888888888886	0.2941176470588235	0.26315789473684215	0.34545454545454546	0.33333333333333337	0.3928571428571429	0.3055555555555556	0.2666666666666667	0.39473684210526316	0.3877551020408163	0.07999999999999996	0.288135593220339	0.29824561403508776	0.2727272727272727	0.33333333333333337	0.34782608695652173	0.4838709677419355	0.4035087719298246	0.30434782608695654	0.37777777777777777	0.23809523809523814	0.3214285714285714	0.31999999999999995	0.37254901960784315	0.21568627450980393	0.3214285714285714	0.33333333333333337	0.4137931034482759
Obesity-Related Quality-Adjusted Life Years Lost in the U.S. from 1993-2008	0.4375	0.4516129032258065	0.4029850746268657	0.4426229508196722	0.423728813559322	0.4461538461538461	0.7272727272727273	0.4576271186440678	0.34375	0.3529411764705882	0.46875	0.4576271186440678	0.4576271186440678	0.46153846153846156	0.3793103448275862	0.4375	0.3548387096774194	0.3125	0.39682539682539686	0.36708860759493667	0.3731343283582089	0.32530120481927716	0.5	0.5087719298245614	0.4242424242424242	0.40625	0.4838709677419355	0.40625	0.39622641509433965	0.04347826086956519	0.25	0.3584905660377359	0.5384615384615384	0.37142857142857144	0.39682539682539686	0.4385964912280702	0.3793103448275862	0.3793103448275862	0.3650793650793651	0.4482758620689655	0.3846153846153846
Size Matters: The Influence of Adolescent�s Weight and Height on Dating and Sex	1.0	1.0	1.0	0.4181818181818182	0.3584905660377359	1.0	0.5789473684210527	0.39622641509433965	0.31034482758620685	1.0	1.0	1.0	0.3207547169811321	0.4347826086956522	0.3076923076923077	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2941176470588235	1.0	1.0	1.0	0.3448275862068966	0.276595744680851	1.0	1.0	0.276595744680851	0.3913043478260869	0.40625	1.0	0.4509803921568627	0.42307692307692313	0.2692307692307693	0.4035087719298246	1.0	1.0
The Economics of Childhood Obesity	0.4693877551020408	0.36170212765957444	0.3076923076923077	0.4347826086956522	0.31818181818181823	0.4	0.6551724137931034	0.31818181818181823	0.30612244897959184	0.28301886792452835	0.4693877551020408	0.40909090909090906	0.40909090909090906	0.18918918918918914	0.39534883720930236	0.22448979591836737	0.3191489361702128	0.30612244897959184	0.45833333333333337	0.4375	0.3846153846153846	0.4411764705882353	0.36585365853658536	0.38095238095238093	0.2941176470588235	0.30612244897959184	0.36170212765957444	0.4285714285714286	0.4736842105263158	0.4444444444444444	0.34693877551020413	0.3157894736842105	0.45945945945945943	0.3090909090909091	0.375	0.38095238095238093	0.34883720930232553	0.34883720930232553	0.375	0.34883720930232553	0.56
The Impact of Obesity on Wages	0.36	0.41666666666666663	0.39622641509433965	0.4042553191489362	0.33333333333333337	0.4509803921568627	0.6	0.33333333333333337	0.36	0.37037037037037035	0.43999999999999995	0.33333333333333337	0.33333333333333337	0.052631578947368474	0.36363636363636365	0.28	0.33333333333333337	0.4	0.4693877551020408	0.4461538461538461	0.3584905660377359	0.4782608695652174	0.47619047619047616	0.3023255813953488	0.3846153846153846	0.31999999999999995	0.41666666666666663	0.4	0.4358974358974359	0.49090909090909096	0.4	0.3846153846153846	0.3157894736842105	0.3214285714285714	0.3877551020408163	0.3023255813953488	0.40909090909090906	0.36363636363636365	0.4285714285714286	0.31818181818181823	0.5294117647058824
Doing it Now or Later	0.5348837209302326	0.46341463414634143	0.6086956521739131	0.6	0.5789473684210527	0.5454545454545454	0.13043478260869568	0.4736842105263158	0.5348837209302326	0.6595744680851063	0.4883720930232558	0.5263157894736843	0.5263157894736843	0.5483870967741935	0.5135135135135135	0.5348837209302326	0.46341463414634143	0.627906976744186	0.47619047619047616	0.6206896551724138	0.4782608695652174	0.6129032258064516	0.5428571428571429	0.5555555555555556	0.5111111111111111	0.5348837209302326	0.5609756097560976	0.5813953488372092	0.4375	0.625	0.5348837209302326	0.5	0.3548387096774194	0.5102040816326531	0.5238095238095238	0.38888888888888884	0.45945945945945943	0.45945945945945943	0.4285714285714286	0.45945945945945943	0.5454545454545454
The Economics of Immediate Gratification	0.375	0.34782608695652173	0.33333333333333337	0.4222222222222223	0.34883720930232553	0.3877551020408163	0.5714285714285714	0.34883720930232553	0.375	0.3846153846153846	0.41666666666666663	0.3023255813953488	0.39534883720930236	0.2222222222222222	0.47619047619047616	0.29166666666666663	0.3913043478260869	0.375	0.44680851063829785	0.46031746031746035	0.4117647058823529	0.5223880597014925	0.4	0.31707317073170727	0.4	0.33333333333333337	0.34782608695652173	0.375	0.4054054054054054	0.5094339622641509	0.45833333333333337	0.29729729729729726	0.33333333333333337	0.37037037037037035	0.36170212765957444	0.41463414634146345	0.47619047619047616	0.33333333333333337	0.44680851063829785	0.38095238095238093	0.4693877551020408
Mandatory Menu Labeling in One Fast-Food Chain in King County, Washington	0.4545454545454546	0.39622641509433965	0.3793103448275862	0.3846153846153846	0.4	0.4285714285714286	0.6	0.36	0.34545454545454546	0.35593220338983056	0.34545454545454546	0.36	0.31999999999999995	0.4418604651162791	0.26530612244897955	0.34545454545454546	0.24528301886792447	0.38181818181818183	0.2962962962962963	0.48571428571428577	0.3793103448275862	0.3783783783783784	0.4042553191489362	0.41666666666666663	0.368421052631579	0.38181818181818183	0.3584905660377359	0.38181818181818183	0.36363636363636365	0.3666666666666667	0.2727272727272727	0.40909090909090906	0.4883720930232558	0.34426229508196726	0.33333333333333337	0.375	0.020408163265306145	0.22448979591836737	0.2222222222222222	0.26530612244897955	0.3928571428571429
The Economics of Obesity	0.4782608695652174	0.4545454545454546	0.3877551020408163	0.4883720930232558	0.36585365853658536	0.4893617021276596	0.6153846153846154	0.36585365853658536	0.34782608695652173	0.36	0.5217391304347826	0.46341463414634143	0.46341463414634143	0.11764705882352944	0.44999999999999996	0.30434782608695654	0.36363636363636365	0.34782608695652173	0.5111111111111111	0.5081967213114754	0.4285714285714286	0.5076923076923077	0.4736842105263158	0.4358974358974359	0.375	0.3913043478260869	0.4545454545454546	0.4782608695652174	0.48571428571428577	0.4901960784313726	0.4347826086956522	0.37142857142857144	0.4117647058823529	0.3846153846153846	0.4666666666666667	0.3846153846153846	0.44999999999999996	0.44999999999999996	0.4666666666666667	0.4	0.6170212765957447
Separating what We Eat from where: Measuring the Effect of Food Away from Home on Diet	0.27586206896551724	0.2857142857142857	0.34426229508196726	0.4181818181818182	0.28301886792452835	0.22033898305084743	0.5263157894736843	0.3207547169811321	0.24137931034482762	0.3548387096774194	0.2068965517241379	0.24528301886792447	0.24528301886792447	0.3913043478260869	0.2692307692307693	0.27586206896551724	0.3928571428571429	0.27586206896551724	0.26315789473684215	0.31506849315068497	0.3114754098360656	0.37662337662337664	0.36	0.33333333333333337	0.3666666666666667	0.24137931034482762	0.2857142857142857	0.27586206896551724	0.3191489361702128	0.46031746031746035	0.4137931034482759	0.3191489361702128	0.21739130434782605	0.3125	0.29824561403508776	0.4117647058823529	0.3846153846153846	0.3076923076923077	0.368421052631579	0.3076923076923077	0.35593220338983056
Social Dynamics of Obesity	0.44680851063829785	0.4222222222222223	0.4	0.40909090909090906	0.33333333333333337	0.45833333333333337	0.5555555555555556	0.38095238095238093	0.3191489361702128	0.37254901960784315	0.4893617021276596	0.4285714285714286	0.38095238095238093	0.19999999999999996	0.31707317073170727	0.36170212765957444	0.37777777777777777	0.3191489361702128	0.4782608695652174	0.4838709677419355	0.43999999999999995	0.48484848484848486	0.3846153846153846	0.4	0.3877551020408163	0.36170212765957444	0.4222222222222223	0.44680851063829785	0.38888888888888884	0.42307692307692313	0.36170212765957444	0.2777777777777778	0.4285714285714286	0.4339622641509434	0.4347826086956522	0.25	0.41463414634146345	0.41463414634146345	0.4347826086956522	0.36585365853658536	0.5416666666666667
School Vending Machine Use and Fast-Food Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth	0.288135593220339	0.368421052631579	0.3548387096774194	0.2857142857142857	0.4444444444444444	0.33333333333333337	0.5897435897435898	0.33333333333333337	0.3220338983050848	0.3650793650793651	0.288135593220339	0.2962962962962963	0.37037037037037035	0.5319148936170213	0.3207547169811321	0.4576271186440678	0.368421052631579	0.288135593220339	0.24137931034482762	0.3513513513513513	0.4193548387096774	0.3846153846153846	0.4509803921568627	0.42307692307692313	0.3770491803278688	0.38983050847457623	0.33333333333333337	0.2542372881355932	0.33333333333333337	0.40625	0.38983050847457623	0.33333333333333337	0.4893617021276596	0.3538461538461538	0.2068965517241379	0.46153846153846156	0.3584905660377359	0.28301886792452835	0.3448275862068966	0.3207547169811321	0.033333333333333326
Measuring the Health of the U.S. Population	0.37254901960784315	0.34693877551020413	0.40740740740740744	0.41666666666666663	0.3913043478260869	0.3076923076923077	0.5483870967741935	0.4347826086956522	0.33333333333333337	0.34545454545454546	0.33333333333333337	0.30434782608695654	0.26086956521739135	0.4358974358974359	0.28888888888888886	0.4509803921568627	0.3877551020408163	0.4117647058823529	0.36	0.4545454545454546	0.40740740740740744	0.4571428571428572	0.39534883720930236	0.36363636363636365	0.3584905660377359	0.33333333333333337	0.34693877551020413	0.37254901960784315	0.050000000000000044	0.4285714285714286	0.4509803921568627	0.30000000000000004	0.33333333333333337	0.4385964912280702	0.36	0.4545454545454546	0.37777777777777777	0.37777777777777777	0.31999999999999995	0.37777777777777777	0.34615384615384615
Why Have Americans Become More Obese	0.48	0.45833333333333337	0.3584905660377359	0.44680851063829785	0.33333333333333337	0.4509803921568627	0.6666666666666667	0.24444444444444446	0.36	0.4444444444444444	0.43999999999999995	0.4222222222222223	0.33333333333333337	0.3157894736842105	0.36363636363636365	0.4	0.45833333333333337	0.31999999999999995	0.4285714285714286	0.5076923076923077	0.4339622641509434	0.4782608695652174	0.5238095238095238	0.5348837209302326	0.42307692307692313	0.43999999999999995	0.45833333333333337	0.4	0.4358974358974359	0.49090909090909096	0.48	0.3846153846153846	0.4736842105263158	0.4642857142857143	0.34693877551020413	0.34883720930232553	0.40909090909090906	0.4545454545454546	0.4693877551020408	0.31818181818181823	0.4509803921568627
Will all Americans Become Overweight or Obese? Estimating the Progression and Cost of the US Obesity Epidemic	0.34426229508196726	0.38983050847457623	0.28125	0.3448275862068966	0.25	0.22580645161290325	0.6097560975609756	0.1071428571428571	0.14754098360655743	0.23076923076923073	0.3114754098360656	0.3571428571428571	0.25	0.34693877551020413	0.2727272727272727	0.21311475409836067	0.35593220338983056	0.24590163934426235	0.33333333333333337	0.2894736842105263	0.3125	0.32499999999999996	0.4339622641509434	0.37037037037037035	0.2063492063492064	0.24590163934426235	0.2542372881355932	0.34426229508196726	0.4	0.3939393939393939	0.34426229508196726	0.28	0.30612244897959184	0.25373134328358204	0.2666666666666667	0.33333333333333337	0.38181818181818183	0.34545454545454546	0.33333333333333337	0.2727272727272727	0.3548387096774194
Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information	0.29824561403508776	0.2727272727272727	0.2666666666666667	0.33333333333333337	0.34615384615384615	0.24137931034482762	0.5675675675675675	0.23076923076923073	0.26315789473684215	0.3114754098360656	0.29824561403508776	0.2692307692307693	0.34615384615384615	0.37777777777777777	0.33333333333333337	0.29824561403508776	0.2727272727272727	0.22807017543859653	0.2857142857142857	0.3055555555555556	0.33333333333333337	0.3421052631578947	0.4285714285714286	0.31999999999999995	0.288135593220339	0.29824561403508776	0.23636363636363633	0.19298245614035092	0.34782608695652173	0.4193548387096774	0.368421052631579	0.34782608695652173	0.4222222222222223	0.3015873015873016	0.0357142857142857	0.36	0.2941176470588235	0.21568627450980393	0.2857142857142857	0.2941176470588235	0.2068965517241379
