	Total number of HIV-Positive cases due to 1.51% onward transmission connected with U.S.	prevalence estimatesâ€”United States,	Revised recommendations for HIV testing of adults, adolescents, and pregnant women in healthcare settings. MMWR Recomm Rep,	Appendix II: HIVEcon: Additional notes and data on model inputs and outputs.	Yearbook of Immigration Statistics:	Population Prospects: The	AIDS Epidemic Update. WHO Library Cataloguing-in-Publication Data: UNAIDS/07.27E/JC1322E,	Yearbook of Immigration Statistics:	Life expectancy of individuals on combination antiretroviral therapy in highincome countries: a collaborative analysis of 14 cohort studies. Lancet,	The New Americans: Economic, Demographic, and Fiscal Effects of Immigration.	Technical Appendix I: HIVEcon: A model to estimate the economic costs of immigrants who are HIV-positive.	The lifetime cost of current human immunodeficiency virus care in the United States. Med Care,	for the Use of Antiretroviral Agents in HIVâ€“1â€“Infected Adults and Adolescents.	memorandum: Consolidation of Policy Regarding	A quick guide to public charge and receipt to public benefits.	How many sexuallyacquired HIV infections in the USA are due to acute-phase HIV transmission?	Transmission Rates in the United States.	Health status, health insurance, and health care utilization patterns of immigrant Black men.	Effects of immigration on selected health risk behaviors of Black college students.	Acculturation, sexual risk taking, and HIV health promotion among Latinas.	Alcohol and AIDS-related sexual behavior among Hispanics: acculturation and gender differences. AIDS Educ Prev,	Initial acculturation and HIV risk among new Hispanic immigrants.	HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and US-born Blacks.	Immigration measures and reproductive health among Hispanic youth: findings from the national longitudinal survey of youth, 1997â€“2003. J Adolesc Health,	The impact of migration on the health of voluntary migrants in western societies.	Immigration and HIV/AIDS in the New York Metropolitan Area. J Urban Health,	HIV prevalence among foreign- and US-born clients of public STD clinics.	Acculturation and gender differences in sexual attitudes and behaviors: Hispanic vs non-Hispanic white unmarried adults.	Available from: http:// www.cdc.gov/hiv/topics/surveillance/ incidence.htm. V. Regulatory Flexibility Analysis VI. Other Administrative Requirements A. The Unfunded Mandates Reform Act HHS/CDC evaluated the rule requirements for compliance with the Unfunded Mandates Reform Act (UMRA) of 1995. This rule does not contain Federal mandates under the regulatory provisions of Title II of the UMRA for State, local, or Tribal Governments, nor for the private sector. The ruleâ€™s provisions will not affect small Governments. B. Executive Order 13045: Protection of Children From Environmental Health Risks and Safety Risks Executive	The authority citation for part 34 continues to read as follows:	34.2 by removing paragraph (b)(6) and redesignating paragraphs (b)(7) through (10) (b)(6) through (9), respectively.	34.3 by revising paragraphs (b)(1)(i), (e)(1) introductory text, (e)(2)(iii), (e)(2)(iv), (e)(5), and (e)(6) to read as follows: Â§ 34.3 Scope of examinations.
HIV/AIDS Transmission Rates in  the United States	0.48571428571428577	0.5714285714285714	0.5294117647058824	0.5333333333333333	0.5862068965517242	0.6071428571428572	0.6304347826086957	0.5862068965517242	0.6842105263157895	0.5294117647058824	0.5	0.53125	0.4838709677419355	0.6129032258064516	0.625	0.4545454545454546	0.30434782608695654	0.6060606060606061	0.6363636363636364	0.5	0.5405405405405406	0.5333333333333333	0.5277777777777778	0.6341463414634146	0.625	0.4411764705882353	0.4375	0.6	0.6	0.625	0.7142857142857143	0.7111111111111111
Technical  Appendix I: HIVEcon: A model to estimate  the economic costs of immigrants who are  HIV-positive	0.4054054054054054	0.5625	0.3529411764705882	0.33333333333333337	0.53125	0.5	0.5918367346938775	0.53125	0.4444444444444444	0.303030303030303	0.03448275862068961	0.5277777777777778	0.3939393939393939	0.5151515151515151	0.48484848484848486	0.32352941176470584	0.59375	0.47058823529411764	0.4545454545454546	0.36363636363636365	0.2857142857142857	0.3870967741935484	0.4054054054054054	0.44999999999999996	0.3870967741935484	0.525	0.3529411764705882	0.22580645161290325	0.5178571428571428	0.4375	0.6046511627906976	0.5116279069767442
Technical Appendix II: HIVEcon:  Additional notes and data on model inputs  and outputs	0.5	0.5862068965517242	0.4545454545454546	0.125	0.6	0.4	0.6086956521739131	0.6	0.5	0.40625	0.2666666666666667	0.5454545454545454	0.4516129032258065	0.5333333333333333	0.5	0.375	0.5714285714285714	0.4838709677419355	0.5161290322580645	0.31034482758620685	0.38235294117647056	0.3928571428571429	0.5	0.5	0.5	0.5789473684210527	0.4545454545454546	0.3870967741935484	0.5818181818181818	0.4482758620689655	0.625	0.5952380952380952
Life expectancy of individuals on  combination antiretroviral therapy in high-  income countries: a collaborative analysis of 14 cohort studies	0.4736842105263158	0.5483870967741935	0.4722222222222222	0.5151515151515151	0.5161290322580645	0.48275862068965514	0.5531914893617021	0.5161290322580645	0.10344827586206895	0.5135135135135135	0.4	0.47058823529411764	0.47058823529411764	0.4	0.4193548387096774	0.4444444444444444	0.625	0.4545454545454546	0.3870967741935484	0.4411764705882353	0.36111111111111116	0.5151515151515151	0.38888888888888884	0.4358974358974359	0.3666666666666667	0.6511627906976745	0.4285714285714286	0.25806451612903225	0.5614035087719298	0.3666666666666667	0.4054054054054054	0.3421052631578947
The impact of migration on the health of voluntary migrants in western societies	0.47058823529411764	0.5	0.3666666666666667	0.5666666666666667	0.5185185185185186	0.34782608695652173	0.6808510638297872	0.5185185185185186	0.3666666666666667	0.4193548387096774	0.3870967741935484	0.3571428571428571	0.4666666666666667	0.3846153846153846	0.40740740740740744	0.4375	0.5384615384615384	0.3928571428571429	0.37037037037037035	0.4838709677419355	0.48571428571428577	0.40740740740740744	0.47058823529411764	0.4722222222222222	0.045454545454545414	0.631578947368421	0.4193548387096774	0.3448275862068966	0.6181818181818182	0.28	0.48571428571428577	0.45945945945945943
Health status, health insurance, and health care utilization patterns of immigrant Black men	0.5405405405405406	0.4814814814814815	0.3548387096774194	0.5	0.5	0.46153846153846156	0.6382978723404256	0.5	0.40625	0.4545454545454546	0.47058823529411764	0.4516129032258065	0.4516129032258065	0.4285714285714286	0.33333333333333337	0.47058823529411764	0.5714285714285714	0.04166666666666663	0.2962962962962963	0.31034482758620685	0.4285714285714286	0.33333333333333337	0.4117647058823529	0.45945945945945943	0.3928571428571429	0.5405405405405406	0.4545454545454546	0.3870967741935484	0.6071428571428572	0.4482758620689655	0.5135135135135135	0.525
Estimating sexual transmission of HIV from persons aware and unaware that they are infected with the virus in the USA	0.3783783783783784	0.4838709677419355	0.32352941176470584	0.3548387096774194	0.5454545454545454	0.5625	0.5416666666666667	0.5454545454545454	0.41666666666666663	0.41666666666666663	0.24242424242424243	0.4117647058823529	0.3125	0.48484848484848486	0.4545454545454546	0.1875	0.5625	0.4411764705882353	0.4242424242424242	0.33333333333333337	0.3055555555555556	0.3548387096774194	0.2857142857142857	0.42500000000000004	0.3548387096774194	0.46153846153846156	0.32352941176470584	0.303030303030303	0.4727272727272728	0.4545454545454546	0.5476190476190477	0.45238095238095233
Meta-analysis of high-risk sexual behavior in persons aware and unaware they are infected with HIV in the United States: implications for HIV prevention programs	0.3421052631578947	0.5294117647058824	0.33333333333333337	0.4571428571428572	0.4545454545454546	0.5588235294117647	0.54	0.4545454545454546	0.3783783783783784	0.5	0.3055555555555556	0.41666666666666663	0.41666666666666663	0.48571428571428577	0.4571428571428572	0.2571428571428571	0.6	0.4444444444444444	0.4285714285714286	0.38888888888888884	0.3157894736842105	0.36363636363636365	0.19999999999999996	0.4651162790697675	0.4117647058823529	0.42500000000000004	0.2857142857142857	0.2647058823529411	0.4464285714285714	0.4571428571428572	0.5454545454545454	0.41860465116279066
Immigration measures and reproductive health among Hispanic youth: findings from the national longitudinal survey of youth, 1997Ð2003	0.5238095238095238	1.0	0.4054054054054054	0.5277777777777778	0.5714285714285714	0.5454545454545454	0.46808510638297873	0.5714285714285714	0.36111111111111116	0.4871794871794872	0.46153846153846156	0.4864864864864865	1.0	0.47058823529411764	0.5277777777777778	0.5	0.6666666666666667	0.4285714285714286	0.5	0.45945945945945943	0.42500000000000004	0.48571428571428577	0.4878048780487805	1.0	0.4411764705882353	0.6222222222222222	0.4871794871794872	0.43243243243243246	1.0	0.4411764705882353	0.29729729729729726	1.0
The lifetime cost of current human immunodeficiencyvirus care in the United States	0.375	0.375	0.46875	0.5666666666666667	0.5185185185185186	0.41666666666666663	0.6521739130434783	0.5185185185185186	0.4193548387096774	0.5151515151515151	0.48484848484848486	0.16000000000000003	0.4137931034482759	0.3846153846153846	0.4642857142857143	0.3870967741935484	0.34782608695652173	0.4482758620689655	0.37037037037037035	0.53125	0.48571428571428577	0.5172413793103448	0.375	0.5135135135135135	0.28	0.631578947368421	0.3666666666666667	0.4516129032258065	0.6181818181818182	0.34615384615384615	0.5277777777777778	0.5
Effects of immigration on selected health risk behaviors of Black college students	0.48571428571428577	0.5185185185185186	0.4375	0.5333333333333333	0.42307692307692313	0.5	0.6595744680851063	0.42307692307692313	0.3870967741935484	0.48484848484848486	0.4545454545454546	0.43333333333333335	0.43333333333333335	0.40740740740740744	0.3076923076923077	0.5428571428571429	0.5555555555555556	0.2962962962962963	0.04347826086956519	0.4516129032258065	0.4117647058823529	0.4285714285714286	0.34375	0.5263157894736843	0.37037037037037035	0.6052631578947368	0.4375	0.3666666666666667	0.6	0.48275862068965514	0.5	0.5128205128205128
Revised recommendations for HIV testing of adults, adolescents, and pregnant women in health- care settings	0.37142857142857144	0.48275862068965514	0.13793103448275867	0.4516129032258065	0.5483870967741935	0.5172413793103448	0.6041666666666667	0.5483870967741935	0.4117647058823529	0.4117647058823529	0.28125	0.4545454545454546	0.3548387096774194	0.43333333333333335	0.4516129032258065	0.33333333333333337	0.5666666666666667	0.33333333333333337	0.4193548387096774	0.32258064516129037	0.34285714285714286	0.2857142857142857	0.37142857142857144	0.42105263157894735	0.3448275862068966	0.5	0.3125	0.29032258064516125	0.5535714285714286	0.4516129032258065	0.5128205128205128	0.4878048780487805
HIV prevalence among foreign- and US-born clients of public STD clinics	0.2941176470588235	0.4482758620689655	0.38235294117647056	0.46875	0.4666666666666667	0.5333333333333333	0.5217391304347826	0.4666666666666667	0.4722222222222222	0.4722222222222222	0.3529411764705882	0.4242424242424242	0.375	0.5	0.46875	0.3529411764705882	0.5333333333333333	0.4545454545454546	0.4375	0.4411764705882353	0.3142857142857143	0.3666666666666667	0.2941176470588235	0.5121951219512195	0.4193548387096774	0.4736842105263158	0.0357142857142857	0.36363636363636365	0.5357142857142857	0.5151515151515151	0.5609756097560976	0.5348837209302326
How many sexually- acquired HIV infections in the USA are due to acute-phase HIV transmission	0.36111111111111116	0.5161290322580645	0.4	0.3870967741935484	0.5757575757575757	0.5483870967741935	0.5625	0.5757575757575757	0.4864864864864865	0.4864864864864865	0.32352941176470584	0.4411764705882353	0.3939393939393939	0.5151515151515151	0.4375	0.03448275862068961	0.5483870967741935	0.47058823529411764	0.5428571428571429	0.36363636363636365	0.3783783783783784	0.3870967741935484	0.3142857142857143	0.4878048780487805	0.4375	0.4871794871794872	0.3529411764705882	0.33333333333333337	0.5178571428571428	0.4375	0.6046511627906976	0.5116279069767442
Initial acculturation and HIV risk among new Hispanic immigrants	0.47058823529411764	0.5	0.31034482758620685	0.34615384615384615	0.46153846153846156	0.48	0.6222222222222222	0.46153846153846156	0.5151515151515151	0.46875	0.3870967741935484	0.5625	0.4137931034482759	0.4444444444444444	0.40740740740740744	0.3870967741935484	0.5925925925925926	0.33333333333333337	0.4285714285714286	0.2592592592592593	0.48571428571428577	0.045454545454545414	0.4242424242424242	0.5135135135135135	0.40740740740740744	0.47058823529411764	0.3666666666666667	0.4	0.6181818181818182	0.4642857142857143	0.5675675675675675	0.575
HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and US-born Blacks	0.3513513513513513	0.5454545454545454	0.38888888888888884	0.5142857142857142	0.46875	0.6176470588235294	0.5510204081632653	0.46875	0.43243243243243246	0.5853658536585367	0.4054054054054054	0.4285714285714286	0.38235294117647056	0.5	0.47058823529411764	0.3142857142857143	0.5757575757575757	0.4117647058823529	0.34375	0.4	0.368421052631579	0.4242424242424242	0.032258064516129004	0.5116279069767442	0.47058823529411764	0.5121951219512195	0.2941176470588235	0.37142857142857144	0.5087719298245614	0.5555555555555556	0.5581395348837209	0.5
Alcohol and AIDS-related sexual behavior among  Hispanics: acculturation and gender differences	0.4054054054054054	0.5161290322580645	0.4	0.3870967741935484	0.43333333333333335	0.5	0.5	0.43333333333333335	0.3529411764705882	0.4	0.2727272727272727	0.48571428571428577	0.3939393939393939	0.46875	0.3870967741935484	0.32352941176470584	0.59375	0.4242424242424242	0.40625	0.36363636363636365	0.125	0.4375	0.3142857142857143	0.41025641025641024	0.4375	0.4871794871794872	0.25	0.16666666666666663	0.5178571428571428	0.48484848484848486	0.5365853658536586	0.4390243902439024
Migration and AIDS	0.7142857142857143	0.6666666666666667	0.6451612903225806	0.6666666666666667	0.5652173913043479	0.7083333333333333	0.6904761904761905	0.5652173913043479	0.7272727272727273	0.6	0.65625	0.6551724137931034	0.6071428571428572	0.6538461538461539	0.6153846153846154	0.65625	0.5909090909090908	0.6896551724137931	0.6785714285714286	0.6206896551724138	0.6060606060606061	0.6153846153846154	0.6764705882352942	0.7027027027027026	0.7142857142857143	0.5483870967741935	0.6	0.6774193548387097	0.7454545454545455	0.7142857142857143	0.7567567567567568	0.75
Acculturation and gender differences in sexual attitudes and behaviors: Hispanic vs non-Hispanic white unmarried adults	0.41666666666666663	0.5333333333333333	0.36363636363636365	0.4	0.5	0.4642857142857143	0.574468085106383	0.5	0.3125	0.4117647058823529	0.22580645161290325	0.5	0.40625	0.43333333333333335	0.3448275862068966	0.33333333333333337	0.6129032258064516	0.3870967741935484	0.3666666666666667	0.375	0.24242424242424243	0.4	0.37142857142857144	0.42105263157894735	0.3448275862068966	0.5384615384615384	0.36363636363636365	0.03703703703703709	0.5535714285714286	0.4	0.5128205128205128	0.41025641025641024
Acculturation, sexual risk taking, and HIV health promotion among Latinas	0.5263157894736843	0.5172413793103448	0.34375	0.3214285714285714	0.5333333333333333	0.5	0.5652173913043479	0.5333333333333333	0.3939393939393939	0.4411764705882353	0.36363636363636365	0.5294117647058824	0.3870967741935484	0.5161290322580645	0.3793103448275862	0.36363636363636365	0.6	0.31034482758620685	0.4516129032258065	0.038461538461538436	0.37142857142857144	0.2592592592592593	0.4	0.4473684210526315	0.4838709677419355	0.4444444444444444	0.4411764705882353	0.375	0.5714285714285714	0.53125	0.5384615384615384	0.5476190476190477
Immigration and HIV/AIDS in the New York Metropolitan Area	0.575	0.625	0.4571428571428572	0.5454545454545454	0.5483870967741935	0.65625	0.574468085106383	0.5483870967741935	0.65	0.4571428571428572	0.4722222222222222	0.6216216216216216	0.5428571428571429	0.6571428571428571	0.5454545454545454	0.4722222222222222	0.6129032258064516	0.5294117647058824	0.6	0.4242424242424242	0.5128205128205128	0.4	0.5384615384615384	0.6046511627906976	0.5882352941176471	0.16129032258064513	0.5	0.5277777777777778	0.5789473684210527	0.6285714285714286	0.6818181818181819	0.6521739130434783
