	Managing for Safer Food: The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status? Evidence from the United States and Canada.” Resources for the Future, Discussion Paper,	Economic News Release: Employment Cost Index.” http://www.bls.gov/news.release/eci.toc.htm.	Health Status Index in Cost Effectiveness. Analysis of PKO Program.”	Disease Control and Prevention. http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5414a2.htm Consumer Price Index – All Urban Consumers, Medical Care Services, Bureau of Labor Statistics,	Measuring the Health of the United States Population.” Microeconomics, Brookings Paper,	Health Care Contingent Valuation Studies: A Review and	Foodborne Illness Cost Calculator for Salmonella.	Per Capita Consumption of Selected Food Products. http://www.ers.usda.gov/	Foodborne Diseases Active Surveillance Network,	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping”, Market News,	Data: U.S. trade data, U.S. Imports Trade data.	Reddy and the FoodNet Working Group.	USDA/FSIS Technical Center,	Willingness to Pay for a Quality-adjusted Life Year: In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation?” Arch Intern Med,	Foodborne Disease Handbook. 2 nd edition, vol.1 Bacterial Pathogens.	The Quality of WellBeing Scale: Rationale for a Single Quality of Life Index.” From Quality of Life Assessment: Key Issues in the 1990s.	The economic impact of the catfish industry on Chicot County,	Food-Related Illness and Death in the United States.” Emerging Infectious Diseases,	FDA Labeling Cost Model.” Prepared for the U.S. Department of Health and Human Services. Research Triangle Park,	Managing for Safer Food: The Economics of Sanitation and	Physician Characteristics and Distribution in the United States.” 2002-2003 Edition.	Food Poisoning, Economic Implications.” Encyclopedia of Food Sciences	Processing Channel Catfish. South Regional Aquaculture Center,	Post-Salmonella Reactive Arthritis:	Department of Agriculture. Food Safety and Inspection Service. Office of Public Health Science.	Department of Agriculture /National Agricultural Statistics Service (USDA/NASS).	Federal Register. 21 CFR Parts 123 and 1240: Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products; Final Rule.	Trade Commission (USITC).	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry.”	Tauxe and the Food Networking Group.	Physician Socioeconomic Statistics.” 2000-2002 Edition: Profiles for Detailed Specialties, Selected States and Practice Arrangements.	Occurrence and Control of Salmonella in Freshwater Catfish,	The Costs of Visits to Emergency Departments.” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis.” 63FR 24254,	means 500 or less full-time equivalent (FTE) employees (Small Business Administration (SBA) definition) ** North American Industry Classification System (NAICS) code,
Draft Risk Assessment of the Potential  Human Health Effect of Applying Continuous Inspection to Catfish	0.375	0.21875	0.29824561403508776	0.2068965517241379	0.3529411764705882	0.2727272727272727	0.31999999999999995	0.36170212765957444	0.2962962962962963	0.4	0.23636363636363633	0.5111111111111111	0.375	0.4042553191489362	0.37254901960784315	0.2962962962962963	0.3584905660377359	0.3650793650793651	0.276595744680851	0.2727272727272727	0.23809523809523814	0.375	0.37037037037037035	0.2941176470588235	0.24	0.3191489361702128	0.19298245614035092	0.3207547169811321	0.2666666666666667	0.5111111111111111	0.19298245614035092	0.45833333333333337	0.26315789473684215	0.34693877551020413	0.2592592592592593	0.375	0.33333333333333337
Economic News Release: Employment Cost  Index	0.39534883720930236	0.38983050847457623	0.15384615384615385	0.3584905660377359	0.4285714285714286	0.48	0.37777777777777777	0.38095238095238093	0.34693877551020413	0.4222222222222223	0.36	0.44999999999999996	0.4418604651162791	0.5238095238095238	0.4347826086956522	0.4285714285714286	0.5416666666666667	0.4137931034482759	0.33333333333333337	0.4	0.48275862068965514	0.39534883720930236	0.4693877551020408	0.30434782608695654	0.4666666666666667	0.38095238095238093	0.42307692307692313	0.45833333333333337	0.34545454545454546	0.44999999999999996	0.3846153846153846	0.4418604651162791	0.3846153846153846	0.36363636363636365	0.26530612244897955	0.4576271186440678	0.3793103448275862
Estimate of the Burden of  Illness Caused by Nontyphoidal Salmonella Infections in the United States  from FoodNet	0.29166666666666663	0.28125	0.26315789473684215	0.27586206896551724	0.32352941176470584	0.2727272727272727	0.4	0.19148936170212771	0.2592592592592593	0.31999999999999995	0.2727272727272727	0.4222222222222223	0.375	0.36170212765957444	0.4117647058823529	0.40740740740740744	0.39622641509433965	0.33333333333333337	0.23404255319148937	0.23636363636363633	0.3015873015873016	0.29166666666666663	0.2962962962962963	0.2549019607843137	0.36	0.4042553191489362	0.22807017543859653	0.3207547169811321	0.2666666666666667	0.37777777777777777	0.26315789473684215	0.41666666666666663	0.33333333333333337	0.22448979591836737	0.2592592592592593	0.375	0.2063492063492064
Foodborne Illness Cost Calculator for  Salmonella	0.30000000000000004	0.3928571428571429	0.3877551020408163	0.31999999999999995	0.4	0.36170212765957444	0.38095238095238093	0.02564102564102566	0.26086956521739135	0.2857142857142857	0.36170212765957444	0.4054054054054054	0.5	0.3846153846153846	0.39534883720930236	0.4347826086956522	0.4222222222222223	0.38181818181818183	0.28205128205128205	0.276595744680851	0.34545454545454546	0.30000000000000004	0.3913043478260869	0.3023255813953488	0.33333333333333337	0.3846153846153846	0.26530612244897955	0.37777777777777777	0.3076923076923077	0.3513513513513513	0.30612244897959184	0.5	0.4285714285714286	0.1707317073170732	0.3913043478260869	0.3928571428571429	0.34545454545454546
FoodNet, Foodborne Diseases Active Surveillance Network	0.40909090909090906	0.33333333333333337	0.39622641509433965	0.40740740740740744	0.375	0.37254901960784315	0.30434782608695654	0.3023255813953488	0.31999999999999995	0.0	0.2941176470588235	0.46341463414634143	0.40909090909090906	0.34883720930232553	0.4893617021276596	0.4	0.26530612244897955	0.4576271186440678	0.39534883720930236	0.33333333333333337	0.288135593220339	0.40909090909090906	0.4	0.4042553191489362	0.34782608695652173	0.34883720930232553	0.28301886792452835	0.30612244897959184	0.4642857142857143	0.5121951219512195	0.39622641509433965	0.36363636363636365	0.39622641509433965	0.24444444444444446	0.4	0.4	0.35593220338983056
Industry and  Trade Summary: Catfish	0.25	0.4285714285714286	0.3877551020408163	0.31999999999999995	0.43333333333333335	0.4042553191489362	0.33333333333333337	0.28205128205128205	0.30434782608695654	0.47619047619047616	0.36170212765957444	0.3513513513513513	0.44999999999999996	0.3846153846153846	0.34883720930232553	0.4347826086956522	0.5555555555555556	0.34545454545454546	0.17948717948717952	0.36170212765957444	0.4181818181818182	0.25	0.3913043478260869	0.39534883720930236	0.38095238095238093	0.3846153846153846	0.34693877551020413	0.4666666666666667	0.3076923076923077	0.29729729729729726	0.30612244897959184	0.44999999999999996	0.3877551020408163	0.2682926829268293	0.34782608695652173	0.4642857142857143	0.34545454545454546
Preliminary FoodNet Data on the Incidence of Infection with Pathogens Transmitted Commonly Through Food 	0.276595744680851	0.2698412698412699	0.2857142857142857	0.26315789473684215	0.34328358208955223	0.33333333333333337	0.34693877551020413	0.26086956521739135	0.2075471698113207	0.30612244897959184	0.2222222222222222	0.4545454545454546	0.36170212765957444	0.34782608695652173	0.31999999999999995	0.3207547169811321	0.34615384615384615	0.32258064516129037	0.21739130434782605	0.2592592592592593	0.29032258064516125	0.276595744680851	0.3584905660377359	0.28	0.30612244897959184	0.3913043478260869	0.2142857142857143	0.34615384615384615	0.2542372881355932	0.40909090909090906	0.25	0.3191489361702128	0.3214285714285714	0.20833333333333337	0.16981132075471694	0.3650793650793651	0.29032258064516125
Statistical Abstract of the United States	0.28205128205128205	0.38181818181818183	0.41666666666666663	0.34693877551020413	0.38983050847457623	0.30434782608695654	0.31707317073170727	0.26315789473684215	0.33333333333333337	0.2682926829268293	0.3913043478260869	0.4444444444444444	0.4871794871794872	0.3157894736842105	0.4285714285714286	0.33333333333333337	0.36363636363636365	0.40740740740740744	0.3157894736842105	0.30434782608695654	0.33333333333333337	0.28205128205128205	0.33333333333333337	0.38095238095238093	0.2682926829268293	0.26315789473684215	0.29166666666666663	0.31818181818181823	0.4117647058823529	0.38888888888888884	0.375	0.4871794871794872	0.33333333333333337	0.25	0.37777777777777777	0.4181818181818182	0.40740740740740744
FDA Labeling  Cost Model	0.3846153846153846	0.4181818181818182	0.45833333333333337	0.4693877551020408	0.423728813559322	0.4782608695652174	0.36585365853658536	0.368421052631579	0.4222222222222223	0.31707317073170727	0.3913043478260869	0.5555555555555556	0.4871794871794872	0.42105263157894735	0.4285714285714286	0.37777777777777777	0.36363636363636365	0.4814814814814815	0.4736842105263158	0.4347826086956522	0.33333333333333337	0.3846153846153846	0.4666666666666667	0.4285714285714286	0.41463414634146345	0.4736842105263158	0.375	0.4545454545454546	0.4901960784313726	0.5	0.375	0.4871794871794872	0.45833333333333337	0.4	0.4222222222222223	0.4181818181818182	0.5185185185185186
Health Status Index in Cost  Effectiveness. Analysis of PKO Program	0.33333333333333337	0.22388059701492535	0.2666666666666667	0.016393442622950838	0.295774647887324	0.27586206896551724	0.28301886792452835	0.28	0.22807017543859653	0.39622641509433965	0.3448275862068966	0.5	0.4509803921568627	0.43999999999999995	0.37037037037037035	0.368421052631579	0.3571428571428571	0.2727272727272727	0.31999999999999995	0.27586206896551724	0.2727272727272727	0.33333333333333337	0.33333333333333337	0.2592592592592593	0.24528301886792447	0.31999999999999995	0.1333333333333333	0.3214285714285714	0.2698412698412699	0.41666666666666663	0.16666666666666663	0.4509803921568627	0.2666666666666667	0.2692307692307693	0.29824561403508776	0.34328358208955223	0.303030303030303
Physician Characteristics and Distribution  in the United States	0.36585365853658536	0.33333333333333337	0.4	0.33333333333333337	0.3770491803278688	0.33333333333333337	0.34883720930232553	0.30000000000000004	0.3191489361702128	0.3023255813953488	0.375	0.42105263157894735	0.41463414634146345	0.35	0.40909090909090906	0.36170212765957444	0.34782608695652173	0.4642857142857143	0.25	0.33333333333333337	0.3214285714285714	0.36585365853658536	0.14893617021276595	0.40909090909090906	0.3023255813953488	0.35	0.28	0.3913043478260869	0.3584905660377359	0.368421052631579	0.36	0.46341463414634143	0.36	0.2857142857142857	0.36170212765957444	0.4736842105263158	0.4285714285714286
Physician Socioeconomic Statistics	0.3142857142857143	0.4509803921568627	0.4545454545454546	0.37777777777777777	0.5272727272727273	0.38095238095238093	0.45945945945945943	0.4117647058823529	0.36585365853658536	0.45945945945945943	0.47619047619047616	0.5	0.48571428571428577	0.47058823529411764	0.4736842105263158	0.41463414634146345	0.44999999999999996	0.48	0.2941176470588235	0.4285714285714286	0.48	0.3142857142857143	0.36585365853658536	0.3157894736842105	0.3513513513513513	0.23529411764705888	0.36363636363636365	0.44999999999999996	0.4042553191489362	0.4375	0.40909090909090906	0.5428571428571429	0.36363636363636365	0.33333333333333337	0.41463414634146345	0.5686274509803921	0.48
Processing Channel Catfish	0.29729729729729726	0.39622641509433965	0.3913043478260869	0.3191489361702128	0.4385964912280702	0.31818181818181823	0.33333333333333337	0.33333333333333337	0.2558139534883721	0.4358974358974359	0.36363636363636365	0.5882352941176471	0.45945945945945943	0.38888888888888884	0.35	0.34883720930232553	0.33333333333333337	0.46153846153846156	0.2777777777777778	0.36363636363636365	0.3846153846153846	0.29729729729729726	0.39534883720930236	0.35	0.17948717948717952	0.2777777777777778	0.34782608695652173	0.38095238095238093	0.34693877551020413	0.47058823529411764	0.34782608695652173	0.45945945945945943	0.34782608695652173	0.26315789473684215	0.3023255813953488	0.4339622641509434	0.46153846153846156
The economic impact of the catfish industry  on Chicot County, Arkansas	0.3023255813953488	0.3220338983050848	0.3846153846153846	0.3207547169811321	0.39682539682539686	0.28	0.37777777777777777	0.33333333333333337	0.30612244897959184	0.33333333333333337	0.19999999999999996	0.4	0.34883720930232553	0.38095238095238093	0.4347826086956522	0.34693877551020413	0.41666666666666663	0.3793103448275862	0.04761904761904767	0.36	0.27586206896551724	0.3023255813953488	0.3877551020408163	0.34782608695652173	0.28888888888888886	0.38095238095238093	0.3076923076923077	0.375	0.34545454545454546	0.4	0.3076923076923077	0.34883720930232553	0.3076923076923077	0.2272727272727273	0.26530612244897955	0.3220338983050848	0.27586206896551724
The Value of a Statistical Life: A  Critical Review of Market Estimates throughout the World	0.2549019607843137	0.25373134328358204	0.33333333333333337	0.3114754098360656	0.323943661971831	0.3448275862068966	0.2075471698113207	0.4	0.26315789473684215	0.3584905660377359	0.31034482758620685	0.5	0.4509803921568627	0.48	0.40740740740740744	0.368421052631579	0.4642857142857143	0.303030303030303	0.36	0.3448275862068966	0.24242424242424243	0.2549019607843137	0.4736842105263158	0.4444444444444444	0.3207547169811321	0.31999999999999995	0.3666666666666667	0.3928571428571429	0.3650793650793651	0.5	0.30000000000000004	0.4509803921568627	0.3666666666666667	0.3076923076923077	0.29824561403508776	0.31343283582089554	0.36363636363636365
Bacterial Pathogens	0.33333333333333337	0.46153846153846156	0.4222222222222223	0.3913043478260869	0.4642857142857143	0.3023255813953488	0.368421052631579	0.4285714285714286	0.33333333333333337	0.42105263157894735	0.39534883720930236	0.5757575757575757	0.4444444444444444	0.4285714285714286	0.3846153846153846	0.38095238095238093	0.2682926829268293	0.4509803921568627	0.37142857142857144	0.39534883720930236	0.4509803921568627	0.33333333333333337	0.4285714285714286	0.3846153846153846	0.26315789473684215	0.2571428571428571	0.37777777777777777	0.41463414634146345	0.41666666666666663	0.5151515151515151	0.4222222222222223	0.4444444444444444	0.37777777777777777	0.3513513513513513	0.38095238095238093	0.5	0.4901960784313726
Food Poisoning, Economic  Implications	0.33333333333333337	0.38181818181818183	0.375	0.3877551020408163	0.4576271186440678	0.34782608695652173	0.5121951219512195	0.368421052631579	0.33333333333333337	0.41463414634146345	0.3913043478260869	0.4444444444444444	0.4871794871794872	0.4736842105263158	0.4285714285714286	0.4222222222222223	0.36363636363636365	0.4814814814814815	0.368421052631579	0.30434782608695654	0.40740740740740744	0.33333333333333337	0.5111111111111111	0.1428571428571429	0.41463414634146345	0.42105263157894735	0.33333333333333337	0.4545454545454546	0.37254901960784315	0.5	0.375	0.4871794871794872	0.33333333333333337	0.35	0.37777777777777777	0.4545454545454546	0.40740740740740744
Personal communication with Catherine Viator, RTI	0.39534883720930236	0.3220338983050848	0.34615384615384615	0.3584905660377359	0.39682539682539686	0.36	0.28888888888888886	0.33333333333333337	0.30612244897959184	0.37777777777777777	0.31999999999999995	0.44999999999999996	0.4883720930232558	0.33333333333333337	0.4347826086956522	0.34693877551020413	0.41666666666666663	0.4137931034482759	0.23809523809523814	0.31999999999999995	0.3448275862068966	0.39534883720930236	0.4285714285714286	0.3913043478260869	0.24444444444444446	0.2857142857142857	0.3846153846153846	0.45833333333333337	0.34545454545454546	0.4	0.34615384615384615	0.4418604651162791	0.42307692307692313	0.2272727272727273	0.30612244897959184	0.35593220338983056	0.3793103448275862
Personal communication with Catherine Viator, RTI	0.39534883720930236	0.3220338983050848	0.34615384615384615	0.3584905660377359	0.39682539682539686	0.36	0.28888888888888886	0.33333333333333337	0.30612244897959184	0.37777777777777777	0.31999999999999995	0.44999999999999996	0.4883720930232558	0.33333333333333337	0.4347826086956522	0.34693877551020413	0.41666666666666663	0.4137931034482759	0.23809523809523814	0.31999999999999995	0.3448275862068966	0.39534883720930236	0.4285714285714286	0.3913043478260869	0.24444444444444446	0.2857142857142857	0.3846153846153846	0.45833333333333337	0.34545454545454546	0.4	0.34615384615384615	0.4418604651162791	0.42307692307692313	0.2272727272727273	0.30612244897959184	0.35593220338983056	0.3793103448275862
Food-Related Illness and Death in the  United States	0.3846153846153846	0.4181818181818182	0.45833333333333337	0.4693877551020408	0.4915254237288136	0.4347826086956522	0.36585365853658536	0.368421052631579	0.4222222222222223	0.36585365853658536	0.4782608695652174	0.38888888888888884	0.4358974358974359	0.3157894736842105	0.4285714285714286	0.37777777777777777	0.40909090909090906	0.4444444444444444	0.4736842105263158	0.21739130434782605	0.40740740740740744	0.3846153846153846	0.37777777777777777	0.38095238095238093	0.41463414634146345	0.3157894736842105	0.375	0.4545454545454546	0.4117647058823529	0.38888888888888884	0.375	0.4871794871794872	0.41666666666666663	0.35	0.4666666666666667	0.5272727272727273	0.4444444444444444
Health Care Contingent Valuation Studies: A Review and Classification of Literature	0.3191489361702128	0.2063492063492064	0.3214285714285714	0.26315789473684215	0.31343283582089554	0.33333333333333337	0.061224489795918324	0.34782608695652173	0.2075471698113207	0.30612244897959184	0.33333333333333337	0.5454545454545454	0.44680851063829785	0.4347826086956522	0.36	0.3584905660377359	0.3846153846153846	0.32258064516129037	0.34782608695652173	0.33333333333333337	0.25806451612903225	0.3191489361702128	0.4339622641509434	0.43999999999999995	0.22448979591836737	0.26086956521739135	0.2857142857142857	0.34615384615384615	0.3220338983050848	0.5	0.25	0.44680851063829785	0.3571428571428571	0.25	0.3207547169811321	0.3015873015873016	0.3870967741935484
Microbiology of Aquaculture Products	0.36585365853658536	0.4035087719298246	0.43999999999999995	0.33333333333333337	0.4098360655737705	0.33333333333333337	0.39534883720930236	0.35	0.36170212765957444	0.34883720930232553	0.375	0.5789473684210527	0.46341463414634143	0.55	0.31818181818181823	0.3191489361702128	0.3913043478260869	0.4285714285714286	0.35	0.41666666666666663	0.3571428571428571	0.36585365853658536	0.4042553191489362	0.36363636363636365	0.2558139534883721	0.4	0.28	0.3913043478260869	0.39622641509433965	0.5789473684210527	0.31999999999999995	0.5121951219512195	0.36	0.38095238095238093	0.4042553191489362	0.4385964912280702	0.4285714285714286
Occurrence and Control of Salmonella in Freshwater Catfish	0.23809523809523814	0.31034482758620685	0.37254901960784315	0.2692307692307693	0.3870967741935484	0.30612244897959184	0.2727272727272727	0.1707317073170732	0.16666666666666663	0.2727272727272727	0.30612244897959184	0.4871794871794872	0.4285714285714286	0.36585365853658536	0.4222222222222223	0.41666666666666663	0.4042553191489362	0.368421052631579	0.2195121951219512	0.26530612244897955	0.33333333333333337	0.23809523809523814	0.375	0.33333333333333337	0.2727272727272727	0.31707317073170727	0.2549019607843137	0.36170212765957444	0.2962962962962963	0.3846153846153846	0.2941176470588235	0.38095238095238093	0.37254901960784315	0.023255813953488413	0.29166666666666663	0.3793103448275862	0.33333333333333337
HACCP as a Regulatory Innovation to  Improve Food Safety in the Meat Industry	0.30612244897959184	0.19999999999999996	0.31034482758620685	0.18644067796610164	0.30434782608695654	0.25	0.21568627450980393	0.29166666666666663	0.19999999999999996	0.37254901960784315	0.2857142857142857	0.4782608695652174	0.34693877551020413	0.41666666666666663	0.34615384615384615	0.3090909090909091	0.37037037037037035	0.3125	0.29166666666666663	0.2857142857142857	0.1875	0.30612244897959184	0.4181818181818182	0.2692307692307693	0.2549019607843137	0.29166666666666663	0.13793103448275867	0.33333333333333337	0.21311475409836067	0.4347826086956522	0.03448275862068961	0.4285714285714286	0.31034482758620685	0.28	0.34545454545454546	0.32307692307692304	0.28125
