	Letter to Hon. Nancy Pelosi.	States as Policy Laboratories: Emulating Success in the Children’s Health Insurance Program”	Active Purchasing for Health Exchanges: An Analysis of Options:	and Elizabeth McGylnn(2010) Establishing State Health Insurance Exchanges.	Health Reform in Massachusetts An Update As of fall	Citations Actuarial Research Corporation. &quot;Reinsurance attachment point estimates.&quot;	The Value of Health Insurance: Few of the Uninsured Have Adequate Resources to Pay Potential Hospital Bills.	Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:	Independent Report on the Healthy NY Program for Calendar Year	Medicare & Medicaid Services. &quot;Announcement of Calendar Year (CY)	Employer Health Benefits,	Does major illness cause financial catastrophe?&quot;	Cost and Funding Considerations for a Statewide All-Payer Claims Database (APCD). .&quot;	Katherine Baicker, and The Oregon Health Study Group. &quot;The Oregon Health Insurance Experiment: Evidence from the First Year.&quot;	Generosity and adjusted premiums in job-based insurance: Hawaii is up, Wyoming is down.&quot;	Patient Protection and Affordable Care Act (PPACA): Long Term Costs for Gvoernments, Employers, Families and Providers.&quot; Staff Working Paper	Race and insurance status as risk factors for trauma mortality.&quot;	Care without coverage: too little, too late:	The impact of health insurance on health.&quot;	of Health Care Finance and Policy. &quot;2009 Annual Report Health Safety Net.&quot;	All-Payer Claims Databases. (Robert Woods Johnson Foundation.	Office of External Affairs and Beneficiary Services, Unpublished. &quot;FY	Office of the Inspector General. Medicaid Managed Care Encounter Data: Collection and Use.	Reinsurance: How States Can Make Health Coverage More Affordable for Employers and Workers: Commonwealth Fund,	Healthy New York: Making Insurance More Affordable for LowIncome Workers: The Commonwealth Fund.,	Massachusetts Health Care Reform—Near-Universal Coverage at What Cost?&quot;
Care without coverage: too little, too late	0.47058823529411764	0.37777777777777777	0.33333333333333337	0.5319148936170213	0.4358974358974359	0.3846153846153846	0.4285714285714286	0.4782608695652174	0.4871794871794872	0.4545454545454546	0.4444444444444444	0.4358974358974359	0.5	0.4642857142857143	0.4347826086956522	0.4642857142857143	0.4871794871794872	0.0	0.42105263157894735	0.5	0.5	0.48	0.36363636363636365	0.33333333333333337	0.3846153846153846	0.4042553191489362
Employer Health Benefits, 2010 Annual Survey	0.4418604651162791	0.37037037037037035	0.2549019607843137	0.3571428571428571	0.29166666666666663	0.375	0.3448275862068966	0.2727272727272727	0.41666666666666663	0.39622641509433965	0.15555555555555556	0.375	0.4385964912280702	0.32307692307692304	0.4545454545454546	0.3846153846153846	0.41666666666666663	0.4418604651162791	0.36170212765957444	0.33333333333333337	0.4339622641509434	0.288135593220339	0.4339622641509434	0.2666666666666667	0.4098360655737705	0.4285714285714286
FY 2010 SHIP Basic Grant Funding	0.4871794871794872	0.4	0.4893617021276596	0.3076923076923077	0.5	0.5909090909090908	0.4444444444444444	0.5294117647058824	0.5	0.5102040816326531	0.5609756097560976	0.5909090909090908	0.5094339622641509	0.4098360655737705	0.4901960784313726	0.5081967213114754	0.5454545454545454	0.5897435897435898	0.5813953488372092	0.4339622641509434	0.5510204081632653	0.49090909090909096	0.4693877551020408	0.5	0.4736842105263158	0.5769230769230769
Health New York: Making Insurance More Affordable for Low-Income Workers	0.4042553191489362	0.27586206896551724	0.34545454545454546	0.4	0.2692307692307693	0.42307692307692313	0.3548387096774194	0.35593220338983056	0.34615384615384615	0.368421052631579	0.4285714285714286	0.42307692307692313	0.3770491803278688	0.3623188405797102	0.3220338983050848	0.3623188405797102	0.3846153846153846	0.4042553191489362	0.4117647058823529	0.4426229508196722	0.368421052631579	0.4285714285714286	0.33333333333333337	0.21875	0.10769230769230764	0.30000000000000004
Letter to the Honorable Evan Bayh: An Analysis of Health Insurance Premiums Under the Patient Protection and Affordable Care Act 	0.34782608695652173	0.1578947368421053	0.2222222222222222	0.38983050847457623	0.2549019607843137	0.37254901960784315	0.21311475409836067	0.24137931034482762	0.33333333333333337	0.3571428571428571	0.29166666666666663	0.4117647058823529	0.3666666666666667	0.32352941176470584	0.4137931034482759	0.2941176470588235	0.37254901960784315	0.3913043478260869	0.4	0.3666666666666667	0.3214285714285714	0.29032258064516125	0.2857142857142857	0.23809523809523814	0.25	0.35593220338983056
Patient Protection and Affordable Care Act (PPACA): Long Term Costs for Governments, Employers, Families and Providers	0.41666666666666663	0.288135593220339	0.2857142857142857	0.4098360655737705	0.39622641509433965	0.4339622641509434	0.33333333333333337	0.23333333333333328	0.39622641509433965	0.3448275862068966	0.36	0.4716981132075472	0.29032258064516125	0.3142857142857143	0.3666666666666667	0.11428571428571432	0.4339622641509434	0.41666666666666663	0.42307692307692313	0.4193548387096774	0.3448275862068966	0.34375	0.3448275862068966	0.23076923076923073	0.2727272727272727	0.47540983606557374
Reinsurance: How States Can Make Health Coverage More Affordable for Employers and Workers	0.4693877551020408	0.23333333333333328	0.22807017543859653	0.3548387096774194	0.2222222222222222	0.33333333333333337	0.28125	0.2786885245901639	0.33333333333333337	0.3220338983050848	0.33333333333333337	0.40740740740740744	0.33333333333333337	0.295774647887324	0.3114754098360656	0.23943661971830987	0.33333333333333337	0.34693877551020413	0.39622641509433965	0.33333333333333337	0.3220338983050848	0.32307692307692304	0.288135593220339	0.030303030303030276	0.19402985074626866	0.29032258064516125
Generosity and adjusted premiums in job-based insurance: Hawaii is up, Wyoming is down	0.4285714285714286	0.3207547169811321	0.36	0.4181818181818182	0.36170212765957444	0.44680851063829785	0.4035087719298246	0.37037037037037035	0.44680851063829785	0.5	0.36363636363636365	0.4042553191489362	0.3928571428571429	0.375	0.07407407407407407	0.34375	0.4042553191489362	0.38095238095238093	0.4347826086956522	0.5	0.3846153846153846	0.4482758620689655	0.3846153846153846	0.2542372881355932	0.30000000000000004	0.4181818181818182
The Oregon Health Insurance Experiment: Evidence from the First Year	0.4666666666666667	0.2857142857142857	0.16981132075471694	0.3793103448275862	0.28	0.4	0.2666666666666667	0.29824561403508776	0.31999999999999995	0.38181818181818183	0.3191489361702128	0.36	0.4576271186440678	0.16417910447761197	0.4035087719298246	0.34328358208955223	0.4	0.37777777777777777	0.30612244897959184	0.423728813559322	0.4545454545454546	0.2786885245901639	0.23636363636363633	0.25806451612903225	0.2698412698412699	0.3793103448275862
Emergency Department Utilization After the Implementation of Massachusetts Health Reform	0.40909090909090906	0.3090909090909091	0.23076923076923073	0.33333333333333337	0.1428571428571429	0.30612244897959184	0.288135593220339	0.2857142857142857	0.30612244897959184	0.40740740740740744	0.26086956521739135	0.30612244897959184	0.4137931034482759	0.36363636363636365	0.4285714285714286	0.4242424242424242	0.34693877551020413	0.4545454545454546	0.33333333333333337	0.3793103448275862	0.37037037037037035	0.3666666666666667	0.2222222222222222	0.24590163934426235	0.32258064516129037	0.29824561403508776
Massachusetts Health Care Reform - Near-Universal Coverage at What Cost?	0.39534883720930236	0.37037037037037035	0.33333333333333337	0.4642857142857143	0.20833333333333337	0.33333333333333337	0.3793103448275862	0.4181818181818182	0.33333333333333337	0.3584905660377359	0.37777777777777777	0.33333333333333337	0.4385964912280702	0.4461538461538461	0.4181818181818182	0.4461538461538461	0.375	0.34883720930232553	0.36170212765957444	0.4035087719298246	0.3584905660377359	0.4576271186440678	0.3207547169811321	0.2666666666666667	0.3114754098360656	0.0714285714285714
Race and insurance status as risk factors for trauma mortality	0.3142857142857143	0.34782608695652173	0.34883720930232553	0.45833333333333337	0.19999999999999996	0.30000000000000004	0.36	0.36170212765957444	0.35	0.33333333333333337	0.29729729729729726	0.30000000000000004	0.3877551020408163	0.4035087719298246	0.4042553191489362	0.4035087719298246	0.09999999999999998	0.4285714285714286	0.28205128205128205	0.3877551020408163	0.33333333333333337	0.4117647058823529	0.37777777777777777	0.3076923076923077	0.3584905660377359	0.375
Does major illness cause financial catastrophe?	0.38888888888888884	0.4042553191489362	0.31818181818181823	0.5102040816326531	0.2195121951219512	0.2682926829268293	0.4117647058823529	0.375	0.41463414634146345	0.3913043478260869	0.26315789473684215	0.07317073170731703	0.43999999999999995	0.4482758620689655	0.41666666666666663	0.48275862068965514	0.31707317073170727	0.38888888888888884	0.19999999999999996	0.43999999999999995	0.3913043478260869	0.42307692307692313	0.30434782608695654	0.39622641509433965	0.4444444444444444	0.34693877551020413
The impact of health insurance on health	0.3529411764705882	0.37777777777777777	0.2857142857142857	0.4893617021276596	0.17948717948717952	0.23076923076923073	0.34693877551020413	0.30434782608695654	0.3846153846153846	0.36363636363636365	0.2222222222222222	0.17948717948717952	0.45833333333333337	0.3928571428571429	0.4347826086956522	0.4285714285714286	0.28205128205128205	0.3529411764705882	0.10526315789473684	0.41666666666666663	0.40909090909090906	0.4	0.31818181818181823	0.37254901960784315	0.3846153846153846	0.36170212765957444
