	Total number of HIV-Positive cases due to 1.51% onward transmission connected with U.S.	prevalence estimatesâ€”United States,	Revised recommendations for HIV testing of adults, adolescents, and pregnant women in healthcare settings. MMWR Recomm Rep,	Appendix II: HIVEcon: Additional notes and data on model inputs and outputs.	Yearbook of Immigration Statistics:	Population Prospects: The	AIDS Epidemic Update. WHO Library Cataloguing-in-Publication Data: UNAIDS/07.27E/JC1322E,	Yearbook of Immigration Statistics:	Life expectancy of individuals on combination antiretroviral therapy in highincome countries: a collaborative analysis of 14 cohort studies. Lancet,	The New Americans: Economic, Demographic, and Fiscal Effects of Immigration.	Technical Appendix I: HIVEcon: A model to estimate the economic costs of immigrants who are HIV-positive.	The lifetime cost of current human immunodeficiency virus care in the United States. Med Care,	for the Use of Antiretroviral Agents in HIVâ€“1â€“Infected Adults and Adolescents.	memorandum: Consolidation of Policy Regarding	A quick guide to public charge and receipt to public benefits.	How many sexuallyacquired HIV infections in the USA are due to acute-phase HIV transmission?	Transmission Rates in the United States.	Health status, health insurance, and health care utilization patterns of immigrant Black men.	Effects of immigration on selected health risk behaviors of Black college students.	Acculturation, sexual risk taking, and HIV health promotion among Latinas.	Alcohol and AIDS-related sexual behavior among Hispanics: acculturation and gender differences. AIDS Educ Prev,	Initial acculturation and HIV risk among new Hispanic immigrants.	HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and US-born Blacks.	Immigration measures and reproductive health among Hispanic youth: findings from the national longitudinal survey of youth, 1997â€“2003. J Adolesc Health,	The impact of migration on the health of voluntary migrants in western societies.	Immigration and HIV/AIDS in the New York Metropolitan Area. J Urban Health,	HIV prevalence among foreign- and US-born clients of public STD clinics.	Acculturation and gender differences in sexual attitudes and behaviors: Hispanic vs non-Hispanic white unmarried adults.	Available from: http:// www.cdc.gov/hiv/topics/surveillance/ incidence.htm. V. Regulatory Flexibility Analysis VI. Other Administrative Requirements A. The Unfunded Mandates Reform Act HHS/CDC evaluated the rule requirements for compliance with the Unfunded Mandates Reform Act (UMRA) of 1995. This rule does not contain Federal mandates under the regulatory provisions of Title II of the UMRA for State, local, or Tribal Governments, nor for the private sector. The ruleâ€™s provisions will not affect small Governments. B. Executive Order 13045: Protection of Children From Environmental Health Risks and Safety Risks Executive	The authority citation for part 34 continues to read as follows:	34.2 by removing paragraph (b)(6) and redesignating paragraphs (b)(7) through (10) (b)(6) through (9), respectively.	34.3 by revising paragraphs (b)(1)(i), (e)(1) introductory text, (e)(2)(iii), (e)(2)(iv), (e)(5), and (e)(6) to read as follows: Â§ 34.3 Scope of examinations.
Technical  Appendix I: HIVEcon: A model to estimate  the economic costs of immigrants who are  HIV-positive	0.61	0.5800000000000001	0.5900000000000001	0.43999999999999995	0.52	0.64	0.72	0.52	0.5900000000000001	0.53	0.030000000000000027	0.61	0.6599999999999999	0.63	0.62	0.62	0.5800000000000001	0.5700000000000001	0.62	0.64	0.69	0.5900000000000001	0.61	0.61	0.54	0.64	0.63	0.62	0.5800000000000001	0.6	0.69	0.69
Technical Appendix II: HIVEcon:  Additional notes and data on model inputs  and outputs	0.63	0.63	0.5700000000000001	0.030000000000000027	0.6599999999999999	0.6	0.72	0.6599999999999999	0.5900000000000001	0.64	0.38	0.63	0.5800000000000001	0.63	0.63	0.61	0.55	0.65	0.63	0.61	0.64	0.5900000000000001	0.6	0.5900000000000001	0.5800000000000001	0.63	0.6	0.63	0.5900000000000001	0.6	0.69	0.6799999999999999
Life expectancy of individuals on  combination antiretroviral therapy in high-  income countries: a collaborative analysis of 14 cohort studies	0.61	0.63	0.6	0.6	0.52	0.56	0.6799999999999999	0.52	0.030000000000000027	0.62	0.6	0.61	0.53	0.6	0.63	0.61	0.5800000000000001	0.6	0.5700000000000001	0.6	0.63	0.5900000000000001	0.62	0.61	0.56	0.62	0.6	0.62	0.6	0.5800000000000001	0.64	0.6599999999999999
The impact of migration on the health of voluntary migrants in western societies	0.5800000000000001	0.6	0.5700000000000001	0.5800000000000001	0.45999999999999996	0.52	0.6799999999999999	0.45999999999999996	0.55	0.5800000000000001	0.55	0.54	0.56	0.56	0.65	0.5900000000000001	0.55	0.54	0.44999999999999996	0.5800000000000001	0.63	0.5700000000000001	0.5800000000000001	0.55	0.0	0.54	0.62	0.6	0.5800000000000001	0.54	0.65	0.6799999999999999
Health status, health insurance, and health care utilization patterns of immigrant Black men	0.6599999999999999	0.5800000000000001	0.55	0.65	0.55	0.52	0.7	0.55	0.5900000000000001	0.56	0.5800000000000001	0.61	0.63	0.6	0.62	0.6	0.6	0.0	0.55	0.49	0.5900000000000001	0.53	0.54	0.5900000000000001	0.55	0.63	0.62	0.6	0.5700000000000001	0.5700000000000001	0.69	0.6599999999999999
Estimating sexual transmission of HIV from persons aware and unaware that they are infected with the virus in the USA	0.53	0.5800000000000001	0.5800000000000001	0.6	0.6599999999999999	0.6	0.71	0.6599999999999999	0.61	0.65	0.61	0.6	0.61	0.56	0.6	0.5700000000000001	0.53	0.61	0.63	0.52	0.63	0.56	0.5700000000000001	0.6	0.6	0.5900000000000001	0.62	0.63	0.6	0.6	0.69	0.71
Meta-analysis of high-risk sexual behavior in persons aware and unaware they are infected with HIV in the United States: implications for HIV prevention programs	0.5700000000000001	0.43000000000000005	0.61	0.6	0.6	0.56	0.71	0.6	0.5900000000000001	0.62	0.5900000000000001	0.52	0.5900000000000001	0.6	0.6	0.52	0.38	0.5900000000000001	0.6	0.61	0.55	0.5700000000000001	0.5900000000000001	0.63	0.5900000000000001	0.5900000000000001	0.63	0.5700000000000001	0.55	0.5700000000000001	0.65	0.6599999999999999
Immigration measures and reproductive health among Hispanic youth: findings from the national longitudinal survey of youth, 1997Ð2003	0.65	0.0	0.61	0.6	0.6	0.56	0.69	0.6	0.61	0.61	0.62	0.62	0.0	0.6	0.62	0.61	0.55	0.6	0.56	0.53	0.56	0.51	0.61	0.0	0.55	0.5800000000000001	0.6	0.5800000000000001	0.0	0.5700000000000001	0.6799999999999999	0.0
The lifetime cost of current human immunodeficiencyvirus care in the United States	0.63	0.4	0.5700000000000001	0.61	0.63	0.64	0.69	0.63	0.6	0.64	0.63	0.020000000000000018	0.6	0.63	0.62	0.5900000000000001	0.31999999999999995	0.61	0.64	0.6799999999999999	0.64	0.62	0.6	0.6	0.55	0.6599999999999999	0.62	0.6	0.5700000000000001	0.61	0.7	0.65
Effects of immigration on selected health risk behaviors of Black college students	0.6599999999999999	0.63	0.6	0.62	0.49	0.43999999999999995	0.74	0.49	0.5700000000000001	0.65	0.61	0.64	0.55	0.5800000000000001	0.6	0.63	0.6	0.55	0.0	0.56	0.55	0.6	0.52	0.5700000000000001	0.44999999999999996	0.5800000000000001	0.62	0.55	0.5700000000000001	0.5800000000000001	0.7	0.6799999999999999
Revised recommendations for HIV testing of adults, adolescents, and pregnant women in health- care settings	0.61	0.5800000000000001	0.020000000000000018	0.54	0.5800000000000001	0.56	0.71	0.5800000000000001	0.5900000000000001	0.62	0.5900000000000001	0.5900000000000001	0.54	0.5800000000000001	0.6	0.62	0.5800000000000001	0.5700000000000001	0.6	0.5700000000000001	0.63	0.5900000000000001	0.5900000000000001	0.6	0.5700000000000001	0.54	0.5700000000000001	0.6	0.5800000000000001	0.5700000000000001	0.65	0.6699999999999999
HIV prevalence among foreign- and US-born clients of public STD clinics	0.65	0.49	0.6	0.6	0.63	0.64	0.6699999999999999	0.63	0.61	0.61	0.62	0.61	0.65	0.56	0.54	0.62	0.6	0.61	0.62	0.64	0.62	0.61	0.5700000000000001	0.61	0.62	0.65	0.0	0.5800000000000001	0.6	0.63	0.6799999999999999	0.65
How many sexually- acquired HIV infections in the USA are due to acute-phase HIV transmission	0.54	0.6	0.61	0.5800000000000001	0.6599999999999999	0.64	0.75	0.6599999999999999	0.62	0.6599999999999999	0.63	0.5900000000000001	0.62	0.65	0.5900000000000001	0.030000000000000027	0.48	0.6	0.64	0.5900000000000001	0.62	0.62	0.48	0.63	0.5800000000000001	0.6	0.63	0.62	0.6	0.61	0.69	0.69
Initial acculturation and HIV risk among new Hispanic immigrants	0.63	0.63	0.5800000000000001	0.5800000000000001	0.6	0.56	0.6599999999999999	0.6	0.5800000000000001	0.5800000000000001	0.5700000000000001	0.6	0.6	0.63	0.62	0.63	0.6	0.52	0.6	0.49	0.54	0.0	0.43999999999999995	0.5	0.5700000000000001	0.55	0.61	0.52	0.63	0.63	0.6599999999999999	0.69
HIV and sexually transmitted infection risk behaviors and beliefs among Black West Indian immigrants and US-born Blacks	0.65	0.5800000000000001	0.63	0.6	0.5800000000000001	0.64	0.69	0.5800000000000001	0.62	0.5700000000000001	0.6	0.62	0.63	0.5800000000000001	0.5700000000000001	0.48	0.5800000000000001	0.54	0.52	0.53	0.5800000000000001	0.44999999999999996	0.0	0.62	0.5900000000000001	0.6	0.5700000000000001	0.5800000000000001	0.62	0.6	0.7	0.69
Alcohol and AIDS-related sexual behavior among  Hispanics: acculturation and gender differences	0.64	0.6599999999999999	0.62	0.64	0.6	0.56	0.6599999999999999	0.6	0.63	0.63	0.6699999999999999	0.65	0.5900000000000001	0.6	0.62	0.64	0.63	0.62	0.56	0.53	0.020000000000000018	0.54	0.5700000000000001	0.53	0.62	0.62	0.63	0.54	0.6	0.61	0.6799999999999999	0.73
Migration and AIDS	0.62	0.62	0.56	0.56	0.44999999999999996	0.6699999999999999	0.33999999999999997	0.44999999999999996	0.62	0.5	0.56	0.62	0.62	0.56	0.62	0.56	0.56	0.44999999999999996	0.39	0.5	0.39	0.33999999999999997	0.39	0.44999999999999996	0.39	0.22999999999999998	0.5	0.5	0.6699999999999999	0.56	0.6699999999999999	0.6699999999999999
Acculturation and gender differences in sexual attitudes and behaviors: Hispanic vs non-Hispanic white unmarried adults	0.63	0.55	0.63	0.62	0.63	0.6	0.71	0.63	0.61	0.64	0.62	0.5800000000000001	0.62	0.63	0.6	0.61	0.55	0.61	0.55	0.52	0.56	0.53	0.5800000000000001	0.5800000000000001	0.61	0.6	0.5900000000000001	0.0	0.5900000000000001	0.6	0.7	0.7
Acculturation, sexual risk taking, and HIV health promotion among Latinas	0.6599999999999999	0.63	0.5800000000000001	0.62	0.5800000000000001	0.52	0.69	0.5800000000000001	0.61	0.6	0.64	0.6599999999999999	0.65	0.65	0.63	0.5900000000000001	0.6	0.48	0.56	0.0	0.53	0.5	0.54	0.53	0.5800000000000001	0.61	0.64	0.51	0.5900000000000001	0.62	0.69	0.65
Immigration and HIV/AIDS in the New York Metropolitan Area	0.64	0.69	0.56	0.63	0.63	0.6799999999999999	0.69	0.63	0.61	0.6599999999999999	0.63	0.61	0.62	0.65	0.64	0.5900000000000001	0.5800000000000001	0.61	0.54	0.5700000000000001	0.61	0.53	0.63	0.56	0.52	0.0	0.63	0.61	0.5900000000000001	0.64	0.69	0.69
