	Urban ornamental plants: sensitivity to ozone and potential economic losses. U.S. EPA, Office of Air Quality Planning and Standards, Research Triangle Park. Under contract to RADIAN Corporation, contract no. 68-D3-0033,	A reassessment of the economic effects of ozone on U.S.	The benefits of pollution control: the case of ozone	Ambient ozone effects on forest trees of the eastern United States: a review.	A preliminary assessment of the Montreal process indicators of air pollution for the United States. Environmental Monitoring and Assessment, Integrated Science Assessment	Air Pollution Damage to U.S. Forests.	Impact of Air Pollutants on Southern Pine Forests,	The physiological basis of ozone injury assessment attributes in Sierran conifers. In	The need for a long term cumulative secondary ozone standard ‚Äì an ecological perspective. Environmental Management,	Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards.	Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California. In: Air Pollutants Effects on Forest Ecosystems,	Oxidant air pollution effects on a western coniferous forest ecosystem.	Little‚Äôs range and FIA importance value database for 135 eastern U.S. tree species. Northeastern Research Station, USDA Forest Service. Available on the Internet at http://www.fs.fed.us/ne/delaware/4153/global/littlefia/index.html Pye,	A national ozone biomonitoring program‚Äî results from field surveys of ozone sensitive plants in Northeastern forests (1994-2000). Environmental Monitoring and Assessment,	Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs.	Variation in plant response to ozone: a conceptual model of physiological events.	The Benefits and Costs of the Clean Air Act, 1990-2010. Prepared for U.S. Congress by U.S.	Available on the Internet at http://www.epa.gov/oar/sect812/1990-2010/chap1130.pdf U.S. Environmental Protection Agency	Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze. Office of Air Quality Planning and Standards. EPA-454/B-07-002. April. Available on the Internet at http://www.epa.gov/scram001/guidance/guide/final-03-pm-rh-guidance.pdf U.S. Environmental Protection Agency	Available on the Internet at http://cfpub.epa.gov/ncea/cfm/recordisplay.cfm?deid=201485 U.S. Environmental Protection Agency
A reassessment of the economic effects of ozone on U.S. agriculture	0.8082191780821918	0.1791044776119403	0.7761194029850746	0.7792207792207793	0.7235294117647059	0.746268656716418	0.7164179104477612	0.788235294117647	0.7739130434782608	0.7684210526315789	0.76875	0.7887323943661971	0.8297872340425532	0.788235294117647	0.6310679611650486	0.7407407407407407	0.6777777777777778	0.7983193277310925	0.8658892128279884	0.782258064516129
Air Pollution Damage to U.S. Forests	0.8949771689497716	0.8	0.7115384615384616	0.7792207792207793	0.8529411764705882	0.02702702702702703	0.56	0.788235294117647	0.8347826086956521	0.7894736842105263	0.83125	0.676056338028169	0.8936170212765957	0.8588235294117647	0.7766990291262136	0.8024691358024691	0.7777777777777778	0.8319327731092437	0.9183673469387755	0.8306451612903226
Expert Judgment Assessment of the Mortality Impact of Changes	0.8447488584474886	0.6557377049180327	0.7540983606557377	0.7012987012987013	0.7823529411764706	0.8360655737704918	0.8032786885245902	0.8	0.7739130434782608	0.7578947368421053	0.7625	0.7887323943661971	0.8553191489361702	0.8058823529411765	0.7378640776699029	0.7407407407407407	0.7666666666666667	0.8403361344537815	0.8746355685131195	0.8387096774193549
Extended follow_up and spatial analysis of the American Cancer Society study linking particulate air pollution and mortality	0.7625570776255708	0.782258064516129	0.7903225806451613	0.7580645161290323	0.7764705882352941	0.8467741935483871	0.7983870967741935	0.7338709677419355	0.7983870967741935	0.7903225806451613	0.725	0.75	0.7787234042553192	0.7529411764705882	0.7258064516129032	0.782258064516129	0.717741935483871	0.8951612903225806	0.7959183673469388	0.8870967741935484
The need for a long term cumulative secondary ozone standard – an ecological perspective	0.7990867579908676	0.7727272727272727	0.7045454545454546	0.7840909090909091	0.7647058823529411	0.8068181818181818	0.7613636363636364	0.7954545454545454	1.0	0.8526315789473684	0.75625	0.7727272727272727	1.0	1.0	0.7864077669902912	0.7159090909090909	0.8222222222222222	0.7815126050420168	0.8279883381924198	0.7580645161290323
Impact of Air Pollutants on Southern Pine Forests	0.8584474885844748	0.8181818181818182	0.7307692307692307	0.7272727272727273	0.8	0.5714285714285714	0.02	0.7647058823529411	0.8	0.6947368421052632	0.74375	0.6056338028169014	0.8595744680851064	0.7941176470588235	0.7766990291262136	0.7530864197530864	0.8	0.8403361344537815	0.892128279883382	0.8387096774193549
Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California	0.7808219178082192	0.7454545454545455	0.7090909090909091	0.6636363636363637	0.7529411764705882	0.7909090909090909	0.6636363636363637	0.7545454545454545	0.782608695652174	0.7545454545454545	0.3125	0.5818181818181818	0.7787234042553192	0.7176470588235294	0.7545454545454545	0.7272727272727273	0.7727272727272727	0.8823529411764706	0.8250728862973761	0.8548387096774194
2008 National Ambient Air Quality Standards for Ground_level Ozone, Chapter 6	0.771689497716895	0.7922077922077922	0.7922077922077922	0.8441558441558441	0.8	0.8051948051948052	0.7142857142857143	0.8235294117647058	0.7478260869565218	0.7368421052631579	0.7875	0.8181818181818182	0.8382978723404255	0.7941176470588235	0.8058252427184466	0.8148148148148148	0.8555555555555555	0.8487394957983193	0.8513119533527697	0.8306451612903226
National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry	0.7853881278538812	0.7884615384615384	0.7788461538461539	0.7307692307692307	0.7	0.8076923076923077	0.6923076923076923	0.7884615384615384	0.8260869565217391	0.7692307692307693	0.75	0.7788461538461539	0.8	0.7	0.8269230769230769	0.7788461538461539	0.7884615384615384	0.865546218487395	0.8221574344023324	0.8467741935483871
Proposed NO2 NAAQS Regulatory Impact Analysis	0.8812785388127854	0.8363636363636363	0.8653846153846154	0.8181818181818182	0.8705882352941177	0.8222222222222222	0.84	0.8235294117647058	0.8173913043478261	0.8210526315789474	0.85	0.8169014084507042	0.902127659574468	0.8647058823529412	0.8349514563106796	0.8024691358024691	0.8444444444444444	0.8823529411764706	0.9125364431486881	0.8709677419354839
Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs	0.8036529680365296	0.6078431372549019	0.7549019607843137	0.7647058823529411	0.711764705882353	0.7843137254901961	0.7843137254901961	0.7843137254901961	0.7565217391304347	0.7843137254901961	0.74375	0.7156862745098039	0.8	0.7764705882352941	0.009708737864077669	0.7745098039215687	0.8431372549019608	0.8403361344537815	0.8425655976676385	0.8387096774193549
Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution	0.7990867579908676	0.8020833333333334	0.71875	0.7916666666666666	0.7941176470588235	0.8125	0.7395833333333334	0.8333333333333334	0.782608695652174	0.8229166666666666	0.75625	0.7395833333333334	0.8	0.8	0.8446601941747572	0.8020833333333334	0.8541666666666666	0.8403361344537815	0.8250728862973761	0.8387096774193549
Air pollution and emergency department visits for asthma among Ohio Medicaid recipients	0.8127853881278538	0.7931034482758621	0.7931034482758621	0.7471264367816092	0.7705882352941177	0.7126436781609196	0.7586206896551724	0.8390804597701149	0.782608695652174	0.8	0.75	0.7471264367816092	0.8	0.7588235294117647	0.8252427184466019	0.735632183908046	0.8333333333333334	0.7815126050420168	0.8425655976676385	0.782258064516129
Ambient air pollution and respiratory emergency department visits	0.8264840182648402	0.8	0.7384615384615385	0.6623376623376623	0.7470588235294118	0.6615384615384615	0.7076923076923077	0.7764705882352941	0.7565217391304347	0.7473684210526316	0.75	0.6338028169014085	0.8297872340425532	0.7823529411764706	0.7378640776699029	0.7654320987654321	0.7777777777777778	0.8235294117647058	0.8688046647230321	0.7903225806451613
How sensitive is the association between ozone and daily deaths to control for temperature?	0.7671232876712328	0.7252747252747253	0.7252747252747253	0.7692307692307693	0.7529411764705882	0.7802197802197802	0.7692307692307693	0.7802197802197802	0.7391304347826086	0.8421052631578947	0.7625	0.7032967032967034	0.8085106382978723	0.7705882352941177	0.7281553398058253	0.7692307692307693	0.8351648351648352	0.8151260504201681	0.8338192419825073	0.8064516129032258
Ozone exposure and mortality: an empiric bayes metaregression analysis	0.817351598173516	0.7714285714285715	0.7714285714285715	0.8051948051948052	0.7705882352941177	0.8142857142857143	0.7857142857142857	0.7647058823529411	0.7304347826086957	0.7263157894736842	0.7875	0.8169014084507042	0.8297872340425532	0.7705882352941177	0.7669902912621359	0.7901234567901234	0.7444444444444445	0.8151260504201681	0.8600583090379009	0.7903225806451613
Reduction in fine particulate air pollution and mortality - Extended follow-up of the Harvard six cities study	0.7899543378995434	0.8272727272727273	0.7272727272727273	0.7727272727272727	0.7058823529411765	0.7909090909090909	0.7272727272727273	0.7909090909090909	0.808695652173913	0.7818181818181819	0.73125	0.7090909090909091	0.7957446808510639	0.7588235294117647	0.7818181818181819	0.7090909090909091	0.8090909090909091	0.8403361344537815	0.8134110787172012	0.8145161290322581
Bayesian Hierarchical Distributed Lag Models for Summer Ozone Exposure and Cardio_Respiratory Mortality 	0.7945205479452054	0.8173076923076923	0.7980769230769231	0.7692307692307693	0.7705882352941177	0.8365384615384616	0.7884615384615384	0.7692307692307693	0.8434782608695652	0.7884615384615384	0.7625	0.7692307692307693	0.7957446808510639	0.7705882352941177	0.8461538461538461	0.7788461538461539	0.8173076923076923	0.8487394957983193	0.8309037900874635	0.8387096774193549
Associations between ozone and daily mortality: analysis and meta_analysis	0.7899543378995434	0.7972972972972973	0.7837837837837838	0.8051948051948052	0.7529411764705882	0.7972972972972973	0.7972972972972973	0.7647058823529411	0.7043478260869566	0.6842105263157895	0.75	0.8783783783783784	0.8425531914893617	0.7764705882352941	0.8252427184466019	0.7530864197530864	0.8444444444444444	0.8403361344537815	0.8542274052478134	0.8306451612903226
A preliminary assessment of the Montreal process indicators of air pollution for the United States	0.7808219178082192	0.6020408163265306	0.7448979591836735	0.7448979591836735	0.4235294117647059	0.8163265306122449	0.7551020408163265	0.7653061224489796	0.7652173913043478	0.7857142857142857	0.70625	0.7346938775510204	0.7914893617021277	0.7529411764705882	0.7961165048543689	0.7755102040816326	0.7551020408163265	0.8235294117647058	0.8250728862973761	0.8145161290322581
Mechanistic analysis of plant responses to air pollution	0.8356164383561644	0.875	0.75	0.7662337662337663	0.8	0.75	0.7678571428571429	0.6823529411764706	0.7913043478260869	0.7578947368421053	0.78125	0.704225352112676	0.8340425531914893	0.7941176470588235	0.7087378640776699	0.7283950617283951	0.7444444444444445	0.8235294117647058	0.8775510204081632	0.8064516129032258
The benefits of pollution control: the case of ozone and U.S. agriculture	0.8264840182648402	0.6301369863013698	0.2876712328767123	0.7402597402597403	0.7352941176470589	0.684931506849315	0.726027397260274	0.788235294117647	0.7391304347826086	0.7157894736842105	0.75	0.7534246575342466	0.825531914893617	0.8	0.7475728155339806	0.7901234567901234	0.6777777777777778	0.8151260504201681	0.8571428571428571	0.8064516129032258
Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards	0.771689497716895	0.7021276595744681	0.6702127659574468	0.723404255319149	0.7352941176470589	0.7978723404255319	0.7021276595744681	0.8191489361702128	0.8	0.010526315789473684	0.75	0.7659574468085106	0.8	0.7647058823529411	0.7766990291262136	0.7446808510638298	0.8191489361702128	0.8067226890756303	0.8367346938775511	0.7903225806451613
Long_Term Ozone Exposure and Mortality	0.8812785388127854	0.8363636363636363	0.8269230769230769	0.7792207792207793	0.8647058823529412	0.868421052631579	0.8	0.8117647058823529	0.8	0.8105263157894737	0.85625	0.7887323943661971	0.8936170212765957	0.8529411764705882	0.8543689320388349	0.7777777777777778	0.8555555555555555	0.8403361344537815	0.9183673469387755	0.8467741935483871
A national ozone biomonitoring program—results from field surveys of ozone sensitive plants in Northeastern forests	0.7808219178082192	0.7565217391304347	0.782608695652174	0.6521739130434783	0.7352941176470589	0.8173913043478261	0.7478260869565218	0.7565217391304347	1.0	0.7391304347826086	0.74375	0.7478260869565218	1.0	1.0	0.7913043478260869	0.7391304347826086	0.8173913043478261	0.8571428571428571	0.8221574344023324	0.8387096774193549
Air pollution, weather, and respiratory emergency room visits in two northern New England cities: an ecological time-series study	0.7853881278538812	0.7829457364341085	0.7984496124031008	0.7286821705426356	0.7294117647058823	0.7906976744186046	0.7829457364341085	0.7441860465116279	0.7906976744186046	0.7674418604651163	0.75	0.751937984496124	0.7489361702127659	0.7352941176470589	0.813953488372093	0.7054263565891473	0.7984496124031008	0.8217054263565892	0.8192419825072886	0.8372093023255814
Impact of ozone on the growth and yield of trees: A review	0.8401826484018264	0.7586206896551724	0.8103448275862069	0.5974025974025974	0.7823529411764706	0.7931034482758621	0.6551724137931034	0.7411764705882353	0.7739130434782608	0.7157894736842105	0.775	0.7323943661971831	0.8425531914893617	0.7823529411764706	0.7184466019417476	0.7407407407407407	0.7666666666666667	0.7983193277310925	0.8775510204081632	0.7983870967741935
Absorption of air pollution by plants, and consequences for growth	0.8127853881278538	0.7575757575757576	0.6666666666666666	0.7662337662337663	0.7588235294117647	0.696969696969697	0.6363636363636364	0.7764705882352941	0.7565217391304347	0.7263157894736842	0.75625	0.6619718309859155	0.8468085106382979	0.788235294117647	0.6893203883495146	0.7530864197530864	0.7888888888888889	0.8319327731092437	0.8688046647230321	0.8225806451612904
A meta_analysis of time_series studies of ozone and mortality with comparison to the national morbidity, mortality, and air pollution study	0.7534246575342466	0.7697841726618705	0.7697841726618705	0.7194244604316546	0.7352941176470589	0.8489208633093526	0.7913669064748201	0.7122302158273381	0.7769784172661871	0.7410071942446043	0.75	0.7769784172661871	0.7659574468085106	0.7294117647058823	0.7553956834532374	0.7410071942446043	0.7985611510791367	0.7985611510791367	0.7725947521865889	0.7985611510791367
Ozone and short-term mortality in 95 US urban communities, 1987-2000	0.817351598173516	0.8235294117647058	0.8088235294117647	0.7792207792207793	0.8176470588235294	0.8235294117647058	0.7647058823529411	0.8352941176470589	0.7739130434782608	0.7684210526315789	0.80625	0.7746478873239436	0.8595744680851064	0.8058823529411765	0.7864077669902912	0.8395061728395061	0.7777777777777778	0.8487394957983193	0.8717201166180758	0.8306451612903226
