	Regulatory Impact Analysis: Heavy‐Duty Engine and Vehicle Standards and Highway Diesel Fuel Sulfur Control Requirements, U.S. Environmental Protection Agency, Office of Transportation and Air Quality, Assessment and Standards Division,	Environmental Protection Agency (EPA). 2005a. Clean Air Interstate Rule Emissions Inventory Technical Support Document, U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Emissions Inventory and Emissions Processing for the Clean Air Mercury Rule (CAMR), U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Environmental Protection Agency (EPA). 2007b, Proposed Emission Standards for New Nonroad Spark‐Ignition Engines, Equipment, and Vessels.	Environmental Protection Agency (EPA). 2008a. Air Quality Modeling Platform for the Ozone National Ambient Air Quality Standard Final Rule Regulatory Impact Analysis. North Carolina.	Environmental Protection Agency (EPA). 2008b. Final Ozone NAAQS Regulatory Impact Analysis. U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards,	Environmental Protection Agency (EPA).	Development and applications of a standard visual index.	Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci. Technol.,	Oxidants and Asthmatics in Los Angeles: A Benefits Analysis -- Executive Summary. Prepared for U.S. Environmental Protection Agency, Office of Policy Analysis. Prepared by Energy and Resource Consultants,	Ambient air pollution and asthma exacerbations in children: an eight-city analysis.	Guidelines for Preparing Economic Analyses.	Letter to Recipients of Third Draft EPA PM Criteria Document. National Center for Environmental Assessment,	Air Quality Criteria for Particulate Matter. Volume I	Regulatory Impact Analysis for the Final Clean Air Interstate Rule.	Regulatory Impact Analysis,	Willingness to Pay for Environmental	Forest Inventory and Analysis National Program: Forest Inventory Data Online. Online database. U.S. Department of Agriculture Forest Service, Forest Inventory and Analysis,	Investigations and Monitoring of Mercury in Indiana by the U.S. Geological Survey.	Episodic acidification of small streams in the northeastern United States: Fish mortality in field bioassays.	Pricing Environmental Health Risks: Survey Assessments of Risk-Risk and Risk-Dollar Trade-Offs for Chronic Bronchitis.”	The Value of a Statistical Life: A Critical Review of Market Estimates throughout the World.”	Effect of short-term exposure to low levels of gaseous pollutants on chronic obstructive pulmonary disease hospitalizations.	Association between ozone and respiratory admissions among children and the elderly in Vancouver,	Chapter 6: Cost Analysis Approach and Results Commercial, and Institutional	Pechan and Associates and Industrial Economics, Direct Cost Estimates for the Clean Air Act Second Section 812 Prospective Analysis: Draft Report, prepared for U.S. EPA, Office of Air and Radiation,	Learning and Cost Reductions for Generating Technologies in the National Energy Modeling System (NEMS),	Proposed Approach for Expanding the Treatment of Learning Curve Impacts for the Second Section 812 Prospective Analysis: Memorandum, prepared for U.S. EPA, Office of Air and Radiation,	Sulfur Dioxide Control by Electric Utilities: What Are the Gains from Trade?”	Ex Post Evaluation of Tradable Permits: The U.S.	Testimony of Jeffrey Holmstead, Assistant Administrator, Office of Air	Are the costs of proposed environmental regulations overestimated?	The Clean Air Act Amendment: Spurring Innovation and Growth While Cleaning the Air.	Incorporating Technological Learning in the Coal Utility Environmental Cost (CUECost) Model: Estimating the Future Cost Trends of SO2, NOx, and Mercury Control Technologies.” Prepared for ARCADIS Geraghty and Miller, Research Triangle Park, NC 27711. Available at http://steps.ucdavis.edu/People/slyeh/syeh‐ resources/Drft%20Fnl%20Rpt%20Lrng%20for%20CUECost_v3.pdf.	Census Bureau	f No data on budget or revenues for this NAICS code is included
Environmental Benefits and Mapping Program (Version 3.0)	0.5	0.54	0.54	0.56	0.56	0.54	0.44999999999999996	0.55	0.5900000000000001	0.63	0.5800000000000001	0.63	0.61	0.5900000000000001	0.6699999999999999	0.65	0.71	0.64	0.54	0.5800000000000001	0.61	0.56	0.65	0.65	0.56	0.65	0.65	0.61	0.61	0.63	0.65	0.64	0.5900000000000001	0.63	0.54	0.62	0.6799999999999999
Expanded Expert Judgment Assessment of the Concentration-Response Relationship Between PM2.5 Exposure and Mortality	0.61	0.62	0.64	0.6599999999999999	0.63	0.64	0.5800000000000001	0.61	0.64	0.48	0.61	0.6	0.63	0.61	0.63	0.6	0.6699999999999999	0.62	0.62	0.65	0.65	0.62	0.6599999999999999	0.63	0.62	0.62	0.6	0.64	0.5700000000000001	0.64	0.65	0.65	0.55	0.61	0.63	0.54	0.61
Guidelines for Preparing Economic  Analyses: External Review Draft	0.6	0.63	0.61	0.5800000000000001	0.5700000000000001	0.5800000000000001	0.64	0.63	0.63	0.61	0.5700000000000001	0.64	0.030000000000000027	0.6	0.5900000000000001	0.56	0.49	0.48	0.6	0.64	0.6	0.6599999999999999	0.5800000000000001	0.6	0.63	0.6599999999999999	0.55	0.54	0.5700000000000001	0.61	0.65	0.64	0.62	0.64	0.6	0.62	0.6699999999999999
Guidelines for Preparing Economic Analyses	0.55	0.6	0.5800000000000001	0.55	0.55	0.6	0.64	0.65	0.65	0.65	0.53	0.55	0.0	0.55	0.6	0.5800000000000001	0.48	0.44999999999999996	0.55	0.6	0.5800000000000001	0.62	0.65	0.5800000000000001	0.62	0.62	0.55	0.5	0.55	0.5800000000000001	0.6699999999999999	0.6699999999999999	0.62	0.65	0.6	0.54	0.5800000000000001
Integrated Science Assessment for Particulate Matter (External Review Draft)	0.61	0.5800000000000001	0.5800000000000001	0.64	0.5800000000000001	0.64	0.61	0.61	0.6	0.48	0.61	0.6599999999999999	0.5900000000000001	0.6	0.43999999999999995	0.5700000000000001	0.56	0.62	0.56	0.6599999999999999	0.61	0.5800000000000001	0.64	0.64	0.61	0.6799999999999999	0.6	0.5800000000000001	0.5800000000000001	0.65	0.65	0.6599999999999999	0.64	0.62	0.61	0.62	0.64
Integrated Science Assessment for Sulfur Oxides - Health Criteria (Final Report)	0.62	0.63	0.6	0.65	0.5800000000000001	0.64	0.6599999999999999	0.61	0.65	0.55	0.5900000000000001	0.6599999999999999	0.61	0.54	0.61	0.6	0.63	0.64	0.5800000000000001	0.62	0.62	0.5700000000000001	0.6699999999999999	0.65	0.64	0.64	0.5900000000000001	0.5900000000000001	0.62	0.64	0.6699999999999999	0.63	0.64	0.62	0.63	0.62	0.61
Letter to Recipients of Third Draft EPA PM Criteria Document	0.5700000000000001	0.5	0.6	0.64	0.6	0.5900000000000001	0.6599999999999999	0.64	0.62	0.5700000000000001	0.6	0.64	0.63	0.0	0.5700000000000001	0.6	0.6699999999999999	0.6	0.5900000000000001	0.65	0.64	0.62	0.6	0.6	0.5900000000000001	0.64	0.6	0.5900000000000001	0.62	0.6	0.61	0.65	0.6	0.65	0.6	0.62	0.62
Maple Syrup � June 12, 2008: Maple Syrup Production Up 30 Percent Nationwide	0.0	0.61	0.62	0.0	0.62	0.64	0.64	0.64	0.0	0.62	0.64	0.6599999999999999	0.6599999999999999	0.62	0.65	0.69	0.63	0.6699999999999999	0.6599999999999999	0.73	0.69	0.0	0.0	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.62	0.61	0.64	0.0	0.65	0.7	0.64	0.65	0.0	0.7	0.6699999999999999
Mercury in fish, bed sediment, and water from streams across the United States, 1998�2005	0.0	0.65	0.62	0.0	0.63	0.65	0.6599999999999999	0.56	0.0	0.5800000000000001	0.6599999999999999	0.62	0.61	0.62	0.5900000000000001	0.62	0.63	0.64	0.61	0.6599999999999999	0.56	0.0	0.0	0.65	0.61	0.64	0.6	0.65	0.5700000000000001	0.0	0.61	0.6	0.61	0.6	0.0	0.7	0.61
Off-Highway Vehicle Recreation in the United States, Regions and States: A National Report from the National Survey on Recreation and the Environment	0.5800000000000001	0.5800000000000001	0.62	0.6	0.5800000000000001	0.62	0.56	0.5800000000000001	0.6	0.5800000000000001	0.61	0.6	0.63	0.52	0.61	0.5700000000000001	0.63	0.45999999999999996	0.62	0.5700000000000001	0.56	0.64	0.56	0.62	0.5800000000000001	0.5800000000000001	0.6	0.52	0.61	0.62	0.61	0.5900000000000001	0.54	0.5800000000000001	0.5800000000000001	0.54	0.5800000000000001
Oxidants and Asthmatics in Los Angeles: A Benefits Analysis -- Executive Summary	0.63	0.62	0.62	0.65	0.62	0.62	0.64	0.61	0.64	0.6	0.0	0.55	0.56	0.65	0.7	0.65	0.52	0.6699999999999999	0.6	0.5900000000000001	0.5900000000000001	0.6699999999999999	0.63	0.62	0.5900000000000001	0.63	0.5700000000000001	0.5900000000000001	0.6	0.6699999999999999	0.61	0.6599999999999999	0.63	0.6699999999999999	0.63	0.62	0.62
Profile of the Annual Fall Foliage Tourist in Vermont: Travel Year 2001	0.61	0.64	0.61	0.65	0.61	0.65	0.6599999999999999	0.65	0.6	0.54	0.64	0.62	0.63	0.61	0.63	0.6	0.63	0.5900000000000001	0.5800000000000001	0.6699999999999999	0.61	0.65	0.62	0.5800000000000001	0.6	0.65	0.61	0.61	0.61	0.62	0.61	0.65	0.63	0.62	0.62	0.62	0.6599999999999999
Technical Support Document: Calculating Benefit Per-Ton estimates, Ozone NAAQS Docket #EPA-HQ-OAR-2007-0225-0284	0.6599999999999999	0.56	0.6799999999999999	0.69	0.65	0.65	0.56	0.56	0.6599999999999999	0.6799999999999999	0.6599999999999999	0.6699999999999999	0.63	0.65	0.61	0.6	0.63	0.56	0.6799999999999999	0.65	0.6799999999999999	0.72	0.64	0.69	0.71	0.64	0.64	0.6599999999999999	0.6699999999999999	0.64	0.5900000000000001	0.6599999999999999	0.55	0.63	0.63	0.7	0.64
The Benefits and Costs of the Clean Air Act 1990 to 2010: EPA Report to Congress. Office of Air and Radiation, Office of Policy	0.6	0.6	0.52	0.62	0.63	0.62	0.6599999999999999	0.5900000000000001	0.62	0.6	0.56	0.63	0.63	0.62	0.63	0.5700000000000001	0.63	0.62	0.63	0.6	0.62	0.6599999999999999	0.64	0.6599999999999999	0.63	0.63	0.45999999999999996	0.63	0.52	0.64	0.63	0.5	0.61	0.56	0.62	0.62	0.62
The Benefits and Costs of the Clean Air Act, 1990�2010	0.0	0.6	0.47	0.0	0.62	0.65	0.6599999999999999	0.61	0.0	0.6	0.6	0.63	0.6799999999999999	0.62	0.7	0.54	0.71	0.6699999999999999	0.63	0.5800000000000001	0.62	0.0	0.0	0.63	0.62	0.63	0.43000000000000005	0.6	0.5800000000000001	0.0	0.69	0.65	0.62	0.55	0.0	0.62	0.65
Updated Outdoor Recreation Use Values With Emphasis On National Park Recreation. Final Report	0.6	0.5900000000000001	0.62	0.64	0.56	0.5900000000000001	0.53	0.61	0.62	0.5700000000000001	0.6	0.6	0.61	0.5900000000000001	0.63	0.5700000000000001	0.6	0.5900000000000001	0.56	0.63	0.6	0.65	0.6599999999999999	0.61	0.62	0.63	0.5700000000000001	0.55	0.5700000000000001	0.63	0.61	0.62	0.6	0.62	0.6	0.62	0.62
Valuation of Reductions in Human Health Symptoms and Risks.	0.56	0.6	0.6	0.6	0.56	0.6	0.64	0.61	0.6699999999999999	0.6	0.63	0.56	0.63	0.63	0.6699999999999999	0.65	0.6	0.62	0.63	0.6	0.5800000000000001	0.5800000000000001	0.62	0.5800000000000001	0.56	0.63	0.6	0.53	0.5800000000000001	0.63	0.61	0.63	0.65	0.62	0.63	0.62	0.65
Willingness to Pay for Environmental Health Risk Reductions when there are Varying Degrees of Life Expectancy: A White Paper	0.5900000000000001	0.5800000000000001	0.5900000000000001	0.63	0.5900000000000001	0.5900000000000001	0.43000000000000005	0.54	0.65	0.63	0.56	0.5700000000000001	0.54	0.63	0.63	0.5900000000000001	0.63	0.0	0.5900000000000001	0.61	0.6	0.54	0.64	0.6599999999999999	0.6	0.6599999999999999	0.61	0.56	0.6	0.5900000000000001	0.61	0.6	0.49	0.61	0.55	0.54	0.62
A New National Park Visibility Value Estimates	0.5900000000000001	0.64	0.64	0.53	0.53	0.64	0.6599999999999999	0.5900000000000001	0.61	0.5900000000000001	0.64	0.5700000000000001	0.6599999999999999	0.55	0.61	0.5900000000000001	0.6699999999999999	0.64	0.5700000000000001	0.6599999999999999	0.61	0.61	0.53	0.61	0.61	0.64	0.55	0.5700000000000001	0.61	0.61	0.64	0.6599999999999999	0.5700000000000001	0.61	0.5700000000000001	0.7	0.64
Ecosystems and Human Well-being: Synthesis	0.62	0.65	0.5800000000000001	0.65	0.6699999999999999	0.65	0.72	0.65	0.6699999999999999	0.65	0.62	0.5800000000000001	0.72	0.65	0.74	0.62	0.6699999999999999	0.7	0.62	0.65	0.5800000000000001	0.62	0.72	0.62	0.6	0.65	0.6	0.5800000000000001	0.6699999999999999	0.65	0.62	0.65	0.62	0.53	0.6	0.62	0.65
Introduction to visibility	0.54	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.54	0.5800000000000001	0.5800000000000001	0.54	0.62	0.62	0.62	0.5	0.7	0.62	0.62	0.6599999999999999	0.6799999999999999	0.7	0.6599999999999999	0.5800000000000001	0.54	0.6599999999999999	0.6599999999999999	0.5800000000000001	0.6599999999999999	0.6599999999999999	0.54	0.54	0.62	0.5	0.54	0.6599999999999999	0.5	0.62	0.5800000000000001	0.85	0.62
Reanalysis of the Harvard Six Cities Study and the American Cancer Society Study of Particulate Air Pollution and Mortality	0.5800000000000001	0.61	0.5800000000000001	0.65	0.6	0.61	0.64	0.5800000000000001	0.44999999999999996	0.5700000000000001	0.5900000000000001	0.61	0.6599999999999999	0.61	0.48	0.54	0.63	0.62	0.5900000000000001	0.63	0.5900000000000001	0.6699999999999999	0.56	0.63	0.61	0.5800000000000001	0.6	0.62	0.6	0.63	0.65	0.5800000000000001	0.6	0.61	0.61	0.62	0.64
Spatial and seasonal patterns and long-term variability of the composition of the haze in the United States: an analysis of data from the IMPROVE network.	0.63	0.63	0.62	0.65	0.6	0.65	0.5800000000000001	0.5900000000000001	0.5800000000000001	0.5800000000000001	0.62	0.52	0.63	0.61	0.5900000000000001	0.5700000000000001	0.52	0.5900000000000001	0.61	0.5800000000000001	0.52	0.6799999999999999	0.6	0.63	0.56	0.5900000000000001	0.55	0.5900000000000001	0.6	0.6	0.5700000000000001	0.5900000000000001	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.62	0.62
The Social Costs of Chronic Heart and Lung Disease	0.6	0.6	0.62	0.6	0.62	0.64	0.69	0.6	0.62	0.52	0.62	0.6	0.61	0.56	0.62	0.62	0.6699999999999999	0.62	0.6	0.62	0.5800000000000001	0.6	0.5800000000000001	0.48	0.62	0.5800000000000001	0.5800000000000001	0.6	0.6	0.64	0.6699999999999999	0.6	0.52	0.62	0.6	0.62	0.64
Trends in Asthma Morbidity and Mortality	0.55	0.6	0.6	0.6	0.55	0.6	0.72	0.6	0.53	0.5	0.5800000000000001	0.53	0.63	0.63	0.63	0.63	0.63	0.62	0.55	0.6	0.53	0.6	0.63	0.6	0.6	0.5800000000000001	0.5800000000000001	0.55	0.5800000000000001	0.63	0.6799999999999999	0.63	0.6	0.6	0.5	0.7	0.6
Linkage Between Health Effects Estimation and Morbidity Valuation in the Section 812 Analysis�Draft Valuation Document	0.0	0.6	0.62	0.0	0.56	0.61	0.5800000000000001	0.5900000000000001	0.0	0.61	0.61	0.52	0.56	0.5900000000000001	0.63	0.6	0.52	0.62	0.62	0.55	0.63	0.0	0.0	0.63	0.5700000000000001	0.6	0.5	0.6	0.55	0.0	0.5700000000000001	0.62	0.6	0.5700000000000001	0.0	0.62	0.62
nan	0.33999999999999997	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.33999999999999997	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999
Regional Haze Regulations	0.6	0.56	0.56	0.56	0.4	0.48	0.56	0.52	0.6	0.6	0.56	0.56	0.64	0.56	0.64	0.56	0.6	0.6799999999999999	0.6	0.6	0.6	0.52	0.6	0.56	0.6	0.52	0.56	0.48	0.56	0.6	0.6	0.64	0.31999999999999995	0.64	0.6	0.7	0.64
Regulatory Impact Analysis for the Final Clean Air Interstate Rule	0.41000000000000003	0.43000000000000005	0.43999999999999995	0.61	0.43999999999999995	0.41000000000000003	0.64	0.5900000000000001	0.6	0.52	0.5700000000000001	0.63	0.5900000000000001	0.61	0.5900000000000001	0.0	0.040000000000000036	0.5900000000000001	0.47	0.61	0.5800000000000001	0.6699999999999999	0.61	0.61	0.6	0.54	0.52	0.55	0.52	0.61	0.65	0.61	0.5900000000000001	0.6	0.61	0.62	0.61
Regulatory Impact Analysis, 2006 National Ambient Air Quality Standards for Particulate Matter, Chapter 5	0.44999999999999996	0.6	0.6	0.6	0.41000000000000003	0.45999999999999996	0.64	0.56	0.5700000000000001	0.5	0.61	0.61	0.5900000000000001	0.64	0.27	0.35	0.0	0.62	0.54	0.6599999999999999	0.65	0.64	0.61	0.65	0.62	0.5900000000000001	0.6	0.64	0.61	0.62	0.63	0.6	0.61	0.62	0.62	0.62	0.5900000000000001
Regulatory Impact Analysis, 2008 National Ambient Air Quality Standards for Ground-level Ozone, Chapter 6	0.44999999999999996	0.6	0.6	0.6	0.42000000000000004	0.45999999999999996	0.64	0.56	0.6	0.6	0.6	0.62	0.63	0.61	0.48	0.35	0.0	0.5900000000000001	0.54	0.6599999999999999	0.65	0.63	0.64	0.6599999999999999	0.62	0.5900000000000001	0.62	0.65	0.61	0.62	0.63	0.6	0.64	0.63	0.64	0.7	0.5900000000000001
Basic characteristics of the fall tourism market.	0.64	0.64	0.5800000000000001	0.64	0.62	0.64	0.72	0.6	0.64	0.6	0.62	0.5800000000000001	0.63	0.62	0.5900000000000001	0.54	0.6699999999999999	0.62	0.6	0.64	0.54	0.6599999999999999	0.54	0.62	0.5800000000000001	0.62	0.5800000000000001	0.6	0.56	0.5700000000000001	0.6	0.6599999999999999	0.62	0.6599999999999999	0.5800000000000001	0.62	0.6799999999999999
Acute respiratory health effects of air pollution on children with asthma in US inner cities	0.55	0.6	0.62	0.64	0.5900000000000001	0.62	0.6599999999999999	0.5800000000000001	0.64	0.55	0.62	0.51	0.61	0.6	0.5700000000000001	0.5700000000000001	0.6	0.62	0.5900000000000001	0.61	0.6	0.64	0.6599999999999999	0.49	0.53	0.63	0.5900000000000001	0.5800000000000001	0.5800000000000001	0.64	0.53	0.62	0.56	0.5800000000000001	0.62	0.62	0.5800000000000001
Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution	0.63	0.62	0.63	0.64	0.5700000000000001	0.62	0.61	0.61	0.020000000000000018	0.5	0.62	0.62	0.6599999999999999	0.64	0.51	0.6	0.6	0.62	0.62	0.61	0.61	0.6599999999999999	0.63	0.5900000000000001	0.65	0.6	0.5900000000000001	0.6	0.61	0.62	0.65	0.62	0.63	0.5800000000000001	0.6	0.7	0.5900000000000001
Air pollution and exacerbation of asthma in African-American children in Los Angeles	0.5900000000000001	0.6	0.62	0.61	0.6	0.65	0.64	0.47	0.61	0.6	0.61	0.41000000000000003	0.56	0.6	0.65	0.6	0.6699999999999999	0.62	0.61	0.5900000000000001	0.56	0.6599999999999999	0.62	0.6	0.52	0.64	0.5900000000000001	0.55	0.61	0.63	0.61	0.5800000000000001	0.62	0.61	0.61	0.7	0.6
