	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
Expanded Expert Judgment Assessment of the Concentration-Response Relationship between PM(2.5) Exposure and Mortality	0.4545454545454546	0.5	0.5	0.45945945945945943	0.5526315789473684	0.45833333333333337	0.38636363636363635	0.35	0.44999999999999996	0.4	0.475	0.5	0.3902439024390244	0.368421052631579	0.41463414634146345	0.3589743589743589	0.41025641025641024	0.4418604651162791	0.5102040816326531	0.41860465116279066	0.4736842105263158	0.6097560975609756	0.41860465116279066	0.5277777777777778	0.4285714285714286	0.5277777777777778	0.5277777777777778	0.4	0.29268292682926833	0.41463414634146345	0.5277777777777778	0.5277777777777778	0.34883720930232553	0.38095238095238093	0.4375	0.37209302325581395	0.36170212765957444	0.4285714285714286	0.5	0.6666666666666667
Integrated Risk Information System (IRIS) Profile for Lead and Compounds (inorganic)	0.5	0.5555555555555556	0.5128205128205128	0.3666666666666667	0.4838709677419355	0.4651162790697675	0.42500000000000004	0.43243243243243246	0.4117647058823529	0.4864864864864865	0.4411764705882353	0.5161290322580645	0.4736842105263158	0.4571428571428572	0.37142857142857144	0.4444444444444444	0.4117647058823529	0.4054054054054054	0.5555555555555556	0.5	0.3870967741935484	0.6	0.3783783783783784	0.5483870967741935	0.5128205128205128	0.5483870967741935	0.5483870967741935	0.4	0.44999999999999996	0.41666666666666663	0.5483870967741935	0.5483870967741935	0.42500000000000004	0.3783783783783784	0.40476190476190477	0.368421052631579	0.43181818181818177	0.38888888888888884	0.46875	0.6666666666666667
Lead: Human Exposure and Health Risk Assessments for Selected Case Studies. Volume I: Human Exposure and Health Risk Assessments Ð Full-scale	0.35	0.4736842105263158	1.0	0.4285714285714286	0.5675675675675675	0.4347826086956522	0.3571428571428571	0.4	0.42105263157894735	0.44999999999999996	1.0	0.5555555555555556	1.0	0.3783783783783784	1.0	0.41025641025641024	0.3783783783783784	0.45238095238095233	0.4893617021276596	1.0	0.4	0.5897435897435898	1.0	0.6216216216216216	0.5116279069767442	0.6216216216216216	0.6216216216216216	0.5581395348837209	0.5217391304347826	0.5	0.6216216216216216	0.6216216216216216	0.5	0.4651162790697675	0.47916666666666663	0.5217391304347826	0.4042553191489362	0.4	0.5897435897435898	0.6486486486486487
Preventing Lead Poisoning in Young Children	0.5555555555555556	0.48275862068965514	0.5294117647058824	0.36	0.050000000000000044	0.5128205128205128	0.5135135135135135	0.48484848484848486	0.4137931034482759	0.6285714285714286	0.4482758620689655	0.5384615384615384	0.48484848484848486	0.4666666666666667	0.5151515151515151	0.5	0.4137931034482759	0.40625	0.6428571428571428	0.5555555555555556	0.5	0.5862068965517242	0.47058823529411764	0.52	0.5714285714285714	0.52	0.52	0.5	0.5789473684210527	0.6	0.52	0.52	0.5526315789473684	0.5142857142857142	0.627906976744186	0.5789473684210527	0.5813953488372092	0.3870967741935484	0.4814814814814815	0.5
Review of the National Ambient Air Quality Standards for Lead: Policy Assessment of Scientific and Technical Information	0.3846153846153846	0.38235294117647056	0.475	0.47058823529411764	0.5294117647058824	0.43181818181818177	0.35	0.4358974358974359	0.37142857142857144	0.4473684210526315	0.4	0.5151515151515151	0.39473684210526316	0.5	0.33333333333333337	0.525	0.5	0.41025641025641024	0.4545454545454546	0.3421052631578947	0.5277777777777778	0.5142857142857142	0.42500000000000004	0.5454545454545454	0.39473684210526316	0.5454545454545454	0.5454545454545454	0.4871794871794872	0.45238095238095233	0.5	0.5454545454545454	0.5454545454545454	0.26315789473684215	0.46341463414634143	0.40909090909090906	0.375	0.5	0.3513513513513513	0.5555555555555556	0.6944444444444444
Strategic Plan for Elimination of Childhood Lead Poisoning	0.5	0.5161290322580645	0.47058823529411764	0.045454545454545414	0.36	0.5	0.41666666666666663	0.375	0.4	0.5294117647058824	0.3214285714285714	0.5714285714285714	0.47058823529411764	0.3448275862068966	0.3548387096774194	0.4375	0.3448275862068966	0.3939393939393939	0.5609756097560976	0.5	0.37037037037037035	0.5666666666666667	0.36363636363636365	0.43999999999999995	0.4242424242424242	0.43999999999999995	0.43999999999999995	0.4375	0.5263157894736843	0.5833333333333333	0.43999999999999995	0.43999999999999995	0.45945945945945943	0.36363636363636365	0.5476190476190477	0.4864864864864865	0.5	0.375	0.5172413793103448	0.5384615384615384
The Benefits and Costs of the Clean Air Act, 1970 to 1990	0.6	0.4516129032258065	0.5	0.5	0.5666666666666667	0.5581395348837209	0.5952380952380952	0.6153846153846154	0.6486486486486487	0.631578947368421	0.5588235294117647	0.6	0.6153846153846154	0.5294117647058824	0.5675675675675675	0.5555555555555556	0.5294117647058824	0.5526315789473684	0.5121951219512195	0.5641025641025641	0.5625	0.59375	0.6	0.6333333333333333	0.6153846153846154	0.6333333333333333	0.6333333333333333	0.5945945945945945	0.55	0.675	0.6333333333333333	0.6333333333333333	0.5952380952380952	0.4864864864864865	0.6	0.6511627906976745	0.5555555555555556	0.5789473684210527	0.6363636363636364	0.6206896551724138
Air Quality Guidelines for Europe, Second Edition	0.4722222222222222	0.5757575757575757	0.6052631578947368	0.48275862068965514	0.6	0.5476190476190477	0.5128205128205128	0.48571428571428577	0.46875	0.4545454545454546	0.5454545454545454	0.4814814814814815	0.5277777777777778	0.5151515151515151	0.47058823529411764	0.4545454545454546	0.5151515151515151	0.5405405405405406	0.5	0.4285714285714286	0.3928571428571429	0.5806451612903225	0.5135135135135135	0.5185185185185186	0.48571428571428577	0.5185185185185186	0.5185185185185186	0.5	0.5	0.5555555555555556	0.5185185185185186	0.5185185185185186	0.5128205128205128	0.5135135135135135	0.4878048780487805	0.45945945945945943	0.5454545454545454	0.48571428571428577	0.48275862068965514	0.6551724137931034
Calculating Benefit Per-Ton Estimates	0.5405405405405406	0.5625	0.47058823529411764	0.34615384615384615	0.4814814814814815	0.5	0.5	0.47058823529411764	0.5454545454545454	0.5294117647058824	0.43333333333333335	0.5714285714285714	0.5142857142857142	0.3448275862068966	0.5428571428571429	0.3870967741935484	0.4	0.3939393939393939	0.5952380952380952	0.5405405405405406	0.4285714285714286	0.65625	0.4571428571428572	0.43999999999999995	0.5555555555555556	0.43999999999999995	0.43999999999999995	0.48484848484848486	0.5263157894736843	0.5428571428571429	0.43999999999999995	0.43999999999999995	0.575	0.5405405405405406	0.5813953488372092	0.5641025641025641	0.5	0.47058823529411764	0.5172413793103448	0.6428571428571428
Circular A-4	0.7428571428571429	0.7142857142857143	0.7647058823529411	0.7307692307692308	0.7083333333333333	0.75	0.7631578947368421	0.7272727272727273	0.7741935483870968	0.75	0.7666666666666666	0.6363636363636364	0.6875	0.6896551724137931	0.7575757575757576	0.6666666666666667	0.7333333333333334	0.7714285714285715	0.8048780487804879	0.7058823529411764	0.7407407407407407	0.8620689655172413	0.7428571428571429	0.6818181818181819	0.8	0.6818181818181819	0.6818181818181819	0.7096774193548387	0.7894736842105263	0.7575757575757576	0.6818181818181819	0.6818181818181819	0.7948717948717949	0.7777777777777778	0.813953488372093	0.7894736842105263	0.7674418604651163	0.7647058823529411	0.6799999999999999	0.782608695652174
Email from Khan, Sikander to Sorrels, Larry	0.5	0.6060606060606061	0.5945945945945945	0.34615384615384615	0.5357142857142857	0.6046511627906976	0.5384615384615384	0.47058823529411764	0.5	0.5714285714285714	0.4838709677419355	0.6206896551724138	0.5555555555555556	0.5	0.4545454545454546	0.5294117647058824	0.5	0.5277777777777778	0.5609756097560976	0.5405405405405406	0.48275862068965514	0.5666666666666667	0.5	0.5555555555555556	0.5142857142857142	0.5555555555555556	0.5555555555555556	0.5714285714285714	0.5641025641025641	0.6578947368421053	0.5555555555555556	0.5555555555555556	0.5384615384615384	0.4571428571428572	0.5476190476190477	0.5641025641025641	0.5681818181818181	0.5142857142857142	0.6129032258064516	0.5925925925925926
Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study	0.3846153846153846	0.5135135135135135	0.475	0.375	0.48484848484848486	0.4666666666666667	0.3076923076923077	0.032258064516129004	0.37142857142857144	0.4871794871794872	0.3529411764705882	0.5588235294117647	0.3513513513513513	0.32352941176470584	0.42105263157894735	0.36111111111111116	0.32352941176470584	0.32432432432432434	0.48888888888888893	0.3421052631578947	0.4411764705882353	0.5555555555555556	0.29729729729729726	0.5454545454545454	0.39473684210526316	0.5454545454545454	0.5454545454545454	0.4871794871794872	0.45238095238095233	0.5714285714285714	0.5454545454545454	0.5454545454545454	0.4651162790697675	0.46341463414634143	0.5416666666666667	0.45238095238095233	0.4	0.3055555555555556	0.47058823529411764	0.6944444444444444
Letter from CASAC Chairman Rogene Henderson to EPA Administrator Stephen Johnson	0.5384615384615384	0.5151515151515151	0.5526315789473684	0.2962962962962963	0.48275862068965514	0.46341463414634143	0.46153846153846156	0.4722222222222222	0.5	0.48571428571428577	0.4375	0.6129032258064516	0.5135135135135135	0.4545454545454546	0.36363636363636365	0.48571428571428577	0.40625	0.4864864864864865	0.5581395348837209	0.5384615384615384	0.43333333333333335	0.5625	0.45945945945945943	0.5517241379310345	0.4722222222222222	0.5517241379310345	0.5517241379310345	0.5277777777777778	0.525	0.5789473684210527	0.5517241379310345	0.5517241379310345	0.5	0.37142857142857144	0.5454545454545454	0.4871794871794872	0.4651162790697675	0.4722222222222222	0.5161290322580645	0.5862068965517242
Personal communication of Skiander Khan with Larry Sorrels	0.4864864864864865	0.5454545454545454	0.5405405405405406	0.33333333333333337	0.4642857142857143	0.5581395348837209	0.4473684210526315	0.4117647058823529	0.3870967741935484	0.5142857142857142	0.4193548387096774	0.5	0.4571428571428572	0.4375	0.4411764705882353	0.5142857142857142	0.48484848484848486	0.4722222222222222	0.5476190476190477	0.4864864864864865	0.4666666666666667	0.5483870967741935	0.4444444444444444	0.5357142857142857	0.4571428571428572	0.5357142857142857	0.5357142857142857	0.5142857142857142	0.55	0.6052631578947368	0.5357142857142857	0.5357142857142857	0.4473684210526315	0.4864864864864865	0.5348837209302326	0.5128205128205128	0.5555555555555556	0.4571428571428572	0.5483870967741935	0.6206896551724138
Revised Methodology for Estimating Lead Emissions from Piston-Engine Aircraft Operating on Leaded Aviation Gasoline	0.4358974358974359	0.48571428571428577	0.5609756097560976	0.3870967741935484	0.5	0.36585365853658536	0.4	0.36111111111111116	0.4285714285714286	0.41666666666666663	0.4571428571428572	0.4838709677419355	0.4054054054054054	0.4285714285714286	0.34285714285714286	0.37142857142857144	0.38235294117647056	0.42105263157894735	0.5	0.4358974358974359	0.4545454545454546	0.5714285714285714	0.39473684210526316	0.4137931034482759	0.4054054054054054	0.4137931034482759	0.4137931034482759	0.45945945945945943	0.3846153846153846	0.4736842105263158	0.4137931034482759	0.4137931034482759	0.4390243902439024	0.39473684210526316	0.4545454545454546	0.3846153846153846	0.40909090909090906	0.4473684210526315	0.5714285714285714	0.59375
Supplemental IQ Gain Calculations Using Two Additional Concentration-Response Functions	0.3513513513513513	0.48571428571428577	0.4871794871794872	0.5294117647058824	0.5882352941176471	0.5111111111111111	0.4390243902439024	0.525	0.5135135135135135	0.45945945945945943	0.5789473684210527	0.53125	0.4473684210526315	0.4285714285714286	0.43243243243243246	0.41666666666666663	0.4722222222222222	0.5365853658536586	0.625	0.4358974358974359	0.5	0.48484848484848486	0.5121951219512195	0.6060606060606061	0.525	0.6060606060606061	0.6060606060606061	0.575	0.5681818181818181	0.5128205128205128	0.6060606060606061	0.6060606060606061	0.5454545454545454	0.5813953488372092	0.48888888888888893	0.5348837209302326	0.5106382978723405	0.525	0.5714285714285714	0.6764705882352942
Memo to the Docket from Marion Hoyer 	0.6842105263157895	0.6875	0.6666666666666667	0.5555555555555556	0.6785714285714286	0.6666666666666667	0.6052631578947368	0.5454545454545454	0.6666666666666667	0.4666666666666667	0.65625	0.56	0.6666666666666667	0.5806451612903225	0.6176470588235294	0.6470588235294117	0.625	0.6	0.625	0.6486486486486487	0.6666666666666667	0.7419354838709677	0.6486486486486487	0.5416666666666667	0.6285714285714286	0.5416666666666667	0.5416666666666667	0.6470588235294117	0.6666666666666667	0.6944444444444444	0.5416666666666667	0.5416666666666667	0.675	0.6111111111111112	0.6744186046511628	0.7	0.6590909090909092	0.6666666666666667	0.6071428571428572	0.5833333333333333
BenMAP User Manual	0.7222222222222222	0.6896551724137931	0.7428571428571429	0.7037037037037037	0.625	0.7317073170731707	0.7105263157894737	0.6666666666666667	0.7096774193548387	0.6875	0.7	0.5454545454545454	0.7058823529411764	0.75	0.7714285714285715	0.6451612903225806	0.6666666666666667	0.7142857142857143	0.6923076923076923	0.7222222222222222	0.6666666666666667	0.7037037037037037	0.7567567567567568	0.6521739130434783	0.7058823529411764	0.6521739130434783	0.6521739130434783	0.7272727272727273	0.736842105263158	0.696969696969697	0.6521739130434783	0.6521739130434783	0.7435897435897436	0.7567567567567568	0.7674418604651163	0.736842105263158	0.75	0.7428571428571429	0.6538461538461539	0.75
Air Quality Criteria for Lead and Related Photochemical Oxidants	0.5128205128205128	0.48484848484848486	0.5641025641025641	0.3793103448275862	0.4482758620689655	0.4	0.4358974358974359	0.4	0.47058823529411764	0.4571428571428572	0.40625	0.4285714285714286	0.4	0.4242424242424242	0.4285714285714286	0.4117647058823529	0.375	0.41666666666666663	0.5681818181818181	0.43243243243243246	0.4516129032258065	0.6176470588235294	0.43243243243243246	0.5172413793103448	0.5263157894736843	0.5172413793103448	0.5172413793103448	0.4117647058823529	0.42105263157894735	0.5526315789473684	0.5172413793103448	0.5172413793103448	0.4358974358974359	0.43243243243243246	0.4883720930232558	0.42105263157894735	0.4418604651162791	0.4444444444444444	0.53125	0.6
Clean Air Act	0.7058823529411764	0.56	0.6875	0.5652173913043479	0.5909090909090908	0.717948717948718	0.6944444444444444	0.6875	0.6896551724137931	0.6666666666666667	0.6785714285714286	0.5	0.6451612903225806	0.6428571428571428	0.6333333333333333	0.6206896551724138	0.6428571428571428	0.696969696969697	0.7435897435897436	0.6666666666666667	0.64	0.7307692307692308	0.7058823529411764	0.4736842105263158	0.6875	0.4736842105263158	0.4736842105263158	0.6206896551724138	0.7222222222222222	0.6774193548387097	0.4736842105263158	0.4736842105263158	0.7297297297297297	0.6666666666666667	0.7560975609756098	0.7222222222222222	0.7380952380952381	0.6875	0.5652173913043479	0.6
