	Division of Regulations, Legislation, and Interpretation, U.S. Department of Labor, Wage and Hour Division, 200 Constitution Avenue NW., Room S– 81197 Federal Register /	Costs with Overtime Work in U.S.	Does the Statutory Overtime Premium Discourage Long Workweeks?’’ Industrial and Labor Relations Review, 56(3): 530– 81221	Census Bureau, Center for Economic Studies. Business Dynamics Statistics: Firm Age by Firm Size. Available at: http://www.ces.census.gov/ index.php/bds/bds_database_list. Accessed	National Population Projections. Table 2: Projections of the Population by Selected Age Groups and Sex for the United States:	Occupational Outlook Handbook, 2010–11 Edition, Home Health Aides and Personal and Home Care Aides, on the Internet at http://www.bls.	81244 Federal Register /	The authority citation for part 552 continues to read as follows: Authority: 29 U.S.C. 213(a)(15), (b)(21), 88 stat. 62; Sec. 29(b) of the Fair Labor Standards Act Amendments of
Who Pays for Home Care Services?	0.5254237288135593	0.368421052631579	0.4838709677419355	0.4545454545454546	0.48	0.5094339622641509	0.6666666666666667	0.5254237288135593
$1.5 Million Oregon Private Pay Homecare Registry for Sale	0.4242424242424242	0.4222222222222223	0.3913043478260869	0.4193548387096774	0.4035087719298246	0.43333333333333335	0.4883720930232558	0.4545454545454546
2009 BLS Occupational Employment Survey, employment and Wages for SOC codes 39-9021 and 31-1011	0.28767123287671237	0.46153846153846156	0.3157894736842105	0.30434782608695654	0.40625	0.34328358208955223	0.52	0.31506849315068497
BLS National Compensation Survey	0.4	0.3846153846153846	0.4920634920634921	0.3571428571428571	0.4117647058823529	0.4814814814814815	0.5675675675675675	0.43333333333333335
Brief of Amici Curiae City of New York	0.5593220338983051	0.4736842105263158	0.5806451612903225	0.4181818181818182	0.48	0.4716981132075472	0.6666666666666667	0.4915254237288136
Consumer Direction and Family Caregiving: Results from a National Survey	0.32307692307692304	0.4545454545454546	0.38235294117647056	0.24590163934426235	0.3214285714285714	0.4576271186440678	0.4285714285714286	0.3846153846153846
Experienced Home Care Registry: About Us	0.3846153846153846	0.5	0.47058823529411764	0.2786885245901639	0.2857142857142857	0.3220338983050848	0.5238095238095238	0.3846153846153846
FY 2011 Budget	0.6153846153846154	0.8064516129032258	0.6727272727272727	0.6666666666666667	0.6744186046511628	0.6521739130434783	0.4482758620689655	0.6923076923076923
Golden Care Co. Inc.: Billing Policy	0.5593220338983051	0.5789473684210527	0.5161290322580645	0.4181818181818182	0.36	0.4339622641509434	0.5555555555555556	0.5254237288135593
Home care aide's voices from the field: Job experiences of personal support specialists	0.4375	0.4883720930232558	0.4626865671641791	0.30000000000000004	0.3090909090909091	0.3448275862068966	0.5609756097560976	0.40625
Home Care Services for Seniors in Tolland and Hartford Counties in Connecticut	0.4	0.3846153846153846	0.4920634920634921	0.3571428571428571	0.37254901960784315	0.40740740740740744	0.5135135135135135	0.4
Interview of Michael Elsas, President, and Adria Powell, Executive Vice President of Cooperative Health Care Associates by Calvin Franz and Lauren Jankovic of ERG	0.37662337662337664	0.5357142857142857	0.4	0.26027397260273977	0.3529411764705882	0.295774647887324	0.5925925925925926	0.37662337662337664
Minimum Wage	0.64	0.5862068965517242	0.6603773584905661	0.6521739130434783	0.6585365853658536	0.6818181818181819	0.6296296296296297	0.72
The Personal Assistance Services and Direct-Support Workforce: A Literature Review	0.3913043478260869	0.41666666666666663	0.33333333333333337	0.32307692307692304	0.30000000000000004	0.3650793650793651	0.5652173913043479	0.3623188405797102
The State of the States in Family Caregiver Support: A 50-State Study	0.3529411764705882	0.44680851063829785	0.4084507042253521	0.25	0.288135593220339	0.3870967741935484	0.5111111111111111	0.2941176470588235
Understanding Medicaid Home and Community Services: A Primer	0.40625	0.39534883720930236	0.4328358208955224	0.33333333333333337	0.3090909090909091	0.3793103448275862	0.5609756097560976	0.40625
A Data Book: Healthcare Spending and the Medicare Program	0.46875	0.4883720930232558	0.4328358208955224	0.33333333333333337	0.34545454545454546	0.3448275862068966	0.5609756097560976	0.46875
Occupational Outlook Handbook, 2010-11 Edition	0.47540983606557374	0.65	0.46875	0.5087719298245614	0.5	0.2727272727272727	0.5789473684210527	0.5081967213114754
Federal Register, 2011. p. 5481	0.3770491803278688	0.65	0.46875	0.5087719298245614	0.5	0.4545454545454546	0.1578947368421053	0.4426229508196722
Requirements for Medicaid-Funded Personal Care Service Attendants	0.3846153846153846	0.4545454545454546	0.47058823529411764	0.34426229508196726	0.3928571428571429	0.423728813559322	0.47619047619047616	0.41538461538461535
Job Perceptions and Intent to Leave Among Direct Care Workers: Evidence From the Better Jobs Better Care Demonstrations	0.37142857142857144	0.4285714285714286	0.36986301369863017	0.2727272727272727	0.4098360655737705	0.3125	0.574468085106383	0.4285714285714286
The Effects of Overtime Pay Regulation on Worker Compensation	0.4328358208955224	0.34782608695652173	0.37142857142857144	0.33333333333333337	0.3448275862068966	0.34426229508196726	0.5454545454545454	0.4328358208955224
Organizing home care: Low-waged workers in the welfare state	0.5238095238095238	0.38095238095238093	0.3939393939393939	0.35593220338983056	0.40740740740740744	0.368421052631579	0.5	0.4285714285714286
The impact of overtime and long work hours on occupational injuries and illnesses: new evidence from the United States	0.4242424242424242	0.33333333333333337	0.3913043478260869	0.29032258064516125	0.22807017543859653	0.3666666666666667	0.5348837209302326	0.33333333333333337
The association between continuity of care and outcomes: a systematic and critical review	0.4838709677419355	0.41463414634146345	0.3846153846153846	0.27586206896551724	0.28301886792452835	0.3571428571428571	0.5384615384615384	0.32258064516129037
Effects of extended work shifts and shift work on patient safety, productivity, and employee health	0.46875	0.39534883720930236	0.4029850746268657	0.23333333333333328	0.34545454545454546	0.31034482758620685	0.5609756097560976	0.375
Quits and job changes among home care workers in Maine: The role of wages, hours and benefits	0.48484848484848486	0.4666666666666667	0.3913043478260869	0.32258064516129037	0.29824561403508776	0.33333333333333337	0.5348837209302326	0.36363636363636365
Does the Statutory Overtime Premium Discourage Long Workweeks?	0.4769230769230769	0.2727272727272727	0.2647058823529411	0.3770491803278688	0.4285714285714286	0.423728813559322	0.6190476190476191	0.4769230769230769
The Structure of Labor Costs with Overtime Work in U.S. Jobs	0.4029850746268657	0.17391304347826086	0.4	0.3650793650793651	0.3793103448275862	0.3770491803278688	0.6818181818181819	0.34328358208955223
The labor market for home care workers: Demand, supply, and institutional barriers	0.4461538461538461	0.4545454545454546	0.3529411764705882	0.24590163934426235	0.2857142857142857	0.288135593220339	0.5714285714285714	0.29230769230769227
Psychosocial factors contributing to occupational injuries among direct care workers	0.46875	0.4418604651162791	0.3731343283582089	0.30000000000000004	0.23636363636363633	0.31034482758620685	0.5121951219512195	0.375
