"","bibtype","author","title","journal","year","volume","number","pages","month","abstract","doi","issn","unique-id","researcherid-numbers","orcid-numbers","article-number","eissn","editor","booktitle","isbn","note","organization","series","book-group-author"
"ISI:000348880600020","Article","Q. Hernandez-Escobedo and E. Rodriguez-Garcia and R. Saldana-Flores and A. Fernandez-Garcia and F. Manzano-Agugliaro","{Solar energy resource assessment in Mexican states along the Gulf of
   Mexico}","{RENEWABLE \& SUSTAINABLE ENERGY REVIEWS}","{2015}","{43}",NA,"{216-238}","{MAR}","{The development of renewable energy has increased over the past few
   years due to the high cost of fossil fuels and our great dependence on
   them. Solar energy has been evaluated in the majority of developed
   countries. Mexico is known to possess large quantities of renewable
   energy resources, for example, approximately 6000 MW of wind energy
   resources. Nevertheless, solar energy is not sufficiently developed in
   Mexico. In this work, the global solar resources in Mexican states along
   the Gulf of Mexico were assessed. The data used in the analysis were
   obtained from the Automatic Meteorological Stations (AMEs) of the
   National Meteorological Service of Mexico (NMS) every 10 min over a
   period of 10 years, as well as from the Surface Meteorology and Solar
   Energy (SMSE) of the National Aeronautics and Space Administration
   (NASA) every month over 22 years. AMEs and SMSE validation data were
   compared to calculate their determination coefficient, R-2, which was
   above 90\%. A total of 13 maps generated by a Geographic Information
   System (GIS), one per month, and annually averaged global solar
   resources were used to determine the areas and the periods of the year
   with the greatest global solar energy resources. According to the
   results obtained in this study, the highest amount of solar energy,
   i.e., greater than 622 kWh/m(2)/day, was registered on July in the state
   of Tamaulipas. Based on the average annual energy map, the southern
   region of Veracruz State registered the largest resource, i.e., greater
   than 5.03 kWh/m(2)/day. From the foregoing analysis, the primary
   conclusion arrived at in the present work is that solar energy has
   significant potential for complementing energetic requirements in
   Mexican states along the Gulf of Mexico. It is recommended that the
   government adopt policies supporting and promoting the utilization of
   solar energy to maintain fossil fuel reserves and to reduce greenhouse
   gases. (C) 2014 Elsevier Ltd. All rights reserved.}","{10.1016/j.rser.2014.10.025}","{1364-0321}","{ISI:000348880600020}","{Manzano-Agugliaro, Francisco/K-8184-2014}","{Manzano-Agugliaro, Francisco/0000-0002-0085-030X}",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000312620000075","Article","Gabriele Comodi and Luca Cioccolanti and Fabio Polonara and Caterina Brandoni","{Local authorities in the context of energy and climate policy}","{ENERGY POLICY}","{2012}","{51}",NA,"{737-748}","{DEC}","{Several measures to boost the energy system towards a low-carbon future
   can be planned and implemented by local authorities, such as
   energy-saving initiatives in public buildings and lighting, information
   campaigns, and renewable energy pilot projects. This work analyzes the
   public administration's role in energy and climate policies by assessing
   carbon-lowering measures for properties and services managed directly by
   local governments in central Italy.
   Both short- and long-term schemes were considered in the analysis of
   local authority energy strategies. The MARKAL-TIMES energy model was
   applied to long-term energy planning to assess the effect of low-carbon
   initiatives on public-sector energy consumption up to 2030. Two energy
   scenarios were built, i.e. a Business As Usual (BAU) scenario based on
   current or soon-to-be-adopted national policies, and an Exemplary Public
   Scenario (EPS) including some further virtuous local policies suggested
   by local authorities.
   Our results show that a 20\% primary energy reduction can be achieved
   with respect to the baseline year by means of short-term energy policies
   (5-year time span), while a primary energy saving of about 30\% can be
   reached with longer-term energy policies (25-year time span), even after
   taking the increase in energy demand into account.
   This work goes to show the part that local governments can play in
   energy policy and their contribution to the achievement of climate
   goals. (C) 2012 Elsevier Ltd. All rights reserved.}","{10.1016/j.enpol.2012.09.019}","{0301-4215}","{ISI:000312620000075}","{Comodi, Gabriele/A-2990-2012
   Cioccolanti, Luca/}","{Comodi, Gabriele/0000-0003-4606-5283
   Cioccolanti, Luca/0000-0002-1306-8624}",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000266442100003","Article","Nesrin Ozalp","{Utilization of Heat, Power, and Recovered Waste Heat for Industrial
   Processes in the US Chemical Industry}","{JOURNAL OF ENERGY RESOURCES TECHNOLOGY-TRANSACTIONS OF THE ASME}","{2009}","{131}","{2}",NA,"{JUN}","{This paper presents energy end-use model of the U.S. Chemical Industry.
   The model allocates combustible fuel and renewable energy inputs among
   generic end-uses including intermediate conversions through on-site
   power and steam generation. The results of this model provide the basis
   to scale energy process-step models. The main federal database to
   construct energy end-use models is Manufacturing Energy Consumption
   Survey of the U.S. Energy Information Administration. This database
   provides information on how much energy is used for each end-use on a
   national scale in each industry. The secondary federal database to
   construct the energy end-use models is the Energy Information
   Administration's ``EIA-860B: Annual Electric Generator Report.{''} This
   database provides information about fuel consumed, gross generation, and
   recovered waste heat at the prime mover level of detail. The results of
   the model show that the majority of the fuel input is used directly for
   the end-uses. Although the rest of the fuel is used to generate steam
   and power, most of this energy contributes to the end-uses as steam.
   Therefore, the purpose of fuel consumption at nonutility plants is to
   run their end-uses. During the course of this study, the most recent
   U.S. federal energy database available was for the year 1998. Currently,
   the most recent available U.S. federal energy database is given for the
   year 2002 based on the data collected from 15,500 establishments.}","{10.1115/1.3120382}","{0195-0738}","{ISI:000266442100003}",NA,NA,"{022401}",NA,NA,NA,NA,"{2nd International Conference on Energy Sustainability, Jacksonville, FL,
   AUG 10-14, 2008}","{ASME, Adv Energy Syst Div; ASME, Solar Energy Div}",NA,NA
"ISI:000328789400009","Article","Saeed Hadian and Kaveh Madani","{The Water Demand of Energy: Implications for Sustainable Energy Policy
   Development}","{SUSTAINABILITY}","{2013}","{5}","{11}","{4674-4687}","{NOV}","{With energy security, climate change mitigation, and sustainable
   development as three main motives, global energy policies have evolved,
   now asking for higher shares of renewable energies, shale oil and gas
   resources in the global energy supply portfolios. Yet, concerns have
   recently been raised about the environmental impacts of the renewable
   energy development, supported by many governments around the world. For
   example, governmental ethanol subsidies and mandates in the U. S. are
   aimed to increase the biofuel supply while the water footprint of this
   type of energy might be 70-400 times higher than the water footprint of
   conventional fossil energy sources. Hydrofracking, as another example,
   has been recognized as a high water-intensive procedure that impacts the
   surface and ground water in both quality and quantity. Hence, monitoring
   the water footprint of the energy mix is significantly important and
   could have implications for energy policy development. This paper
   estimates the water footprint of current and projected global energy
   policies, based on the energy production and consumption scenarios,
   developed by the International Energy Outlook of the U. S. Energy
   Information Administration. The outcomes reveal the amount of water
   required for total energy production in the world will increase by
   37\%-66\% during the next two decades, requiring extensive improvements
   in water use efficiency of the existing energy production technologies,
   especially renewables.}","{10.3390/su5114674}","{2071-1050}","{ISI:000328789400009}","{Madani, Kaveh/E-9366-2011}","{Madani, Kaveh/0000-0003-0378-3170}",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000351788700014","Article","Boqiang Lin and Ailun Wang","{Estimating energy conservation potential in China's commercial sector}","{ENERGY}","{2015}","{82}",NA,"{147-156}","{MAR 15}","{With low energy intensity and great potential for growth, the commercial
   sector has become one of the key sectors for energy conservation and
   emission reduction in the context of China's rapid urbanization process.
   Based on the EIA (Energy Information Administration) statistical
   methods, this paper calculates the energy consumption of China's
   commercial sector from 1981 to 2012, specifies the determinants of
   commercial energy demand, forecasts future energy consumption and
   estimates the energy conservation potentials using the Johansen
   co-integration methodology. The results indicate: (i) GDP (Gross
   Domestic Product) and urbanization have positive effects on the energy
   consumption of the commercial sector while labor productivity and energy
   price contribute to reduction in the sector's energy consumption. (ii)
   Under the basic scenario, energy consumption of the commercial sector
   will be 317.34 and 469.84 Mtce (million tons of coal equivalent) in 2015
   and 2020 respectively. (iii) Under the moderate and advanced scenario,
   about 187.00 and 531.45 Mtce respectively of the energy consumption of
   the commercial sector can be conserved from 2013 to 2020. The findings
   have important implications for policy-makers to enact energy-saving
   policies. (C) 2015 Elsevier Ltd. All rights reserved.}","{10.1016/j.energy.2015.01.021}","{0360-5442}","{ISI:000351788700014}",NA,NA,NA,"{1873-6785}",NA,NA,NA,NA,NA,NA,NA
"ISI:000350462600005","InProceedings","Dmitry O. Reznikov","{Technological and Intelligent Terrorism: Specific Features and
   Assessment Approaches}",NA,"{2012}","{102}",NA,"{45-60}",NA,"{The paper addresses specific features of assessing terrorist risks for
   complex technical systems (CTS). These include feedback between CTS
   vulnerability towards a specific type of terrorist attack and the threat
   of such attack, ability of terrorists to learn lessons from previous
   attacks, react upon actions taken by counterterrorist forces; high level
   of uncertainty regarding terrorists' intentions, resources, and system
   of values. Conventional safety analysis for CTS is to be focused on the
   question: What is the way for an accident scenario to be realized in the
   given system? When addressing security problems for CTS one should also
   consider the situation from the terrorist's standpoint. Hence the
   modified question for security analysis should be: What is to be done
   for the given scenario to be realized in CTS? Two types of attacks at
   complex technical systems are assessed: (1) Attack of technological
   terrorism implies powerful unauthorized impacts at CTS capable of: (a)
   breaking through the CTS protection system; (b) initiating secondary
   catastrophic processes due to hazardous substances, energy, and
   information, stored or processed at the CTS; (c) escalation of the
   accident outside the CTS boundaries with substantially increased
   secondary and cascade losses. (2) Attack of intelligent terrorism (smart
   terrorism, insiders terrorism), i.e. a purposeful unauthorized
   interference into the process of designing, building and/or operating
   the CTS aimed at the increase of its existing vulnerabilities and
   creation of new ones in the system so that to use these input
   vulnerabilities, insider's knowledge of the system and access to its
   elements for future realization of most disastrous scenarios of a
   terrorist attack. Comparative assessment of these two types of terrorism
   is presented. Dynamic three-sided models that allow one to assess the
   situation from standpoints of terrorists, law enforcement agencies and
   administrations of CTS and analyze actions and counteractions of various
   sides involved.}","{10.3233/978-1-61499-131-1-45}","{1879-8268}","{ISI:000350462600005}",NA,NA,NA,NA,"NA Makhutov and {aecher, GB}","{COMPARATIVE ANALYSIS OF TECHNOLOGICAL AND INTELLIGENT TERRORISM IMPACTS
   ON COMPLEX TECHNICAL SYSTEMS}","{978-1-61499-131-1; 978-1-61499-130-4}","{NATO Advanced Research Workshop on Comparative Analysis of Technological
   and Sociological Consequences of Terrorism, Moscow, RUSSIA, APR 05-07,
   2011}","{NATO}","{Nato Science for Peace and Security Series E-Human and Societal Dynamics}",NA
"ISI:000295888100002","Article","Don B. Fox and Daniel Sutter and Jefferson W. Tester","{The thermal spectrum of low-temperature energy use in the United States}","{ENERGY \& ENVIRONMENTAL SCIENCE}","{2011}","{4}","{10}","{3731-3740}","{OCT}","{A detailed analysis of U.S. energy consumption was performed to
   determine the amount of primary energy consumed as a function of its
   utilization temperature from 0 to 260 degrees C. The study highlights
   the changes that have occurred in U. S. energy use since the 1970s and
   suggests how renewable energy could provide a large fraction of the
   energy used for direct use at low end-use temperatures that is currently
   mostly supplied by high grade fossil fuels. For example, most of the
   low-temperature energy used for water and space heating is provided by
   combusting natural gas and oil at very high temperatures. This process
   downgrades the thermodynamic potential of the fossil fuels for
   generating power resulting in large reduction in the exergy or
   availability of the combustion products. By focusing attention on the
   thermodynamic losses inherent to our current energy system, we suggest a
   paradigm shift in the way we view and use energy by strategically
   matching the source providing the energy to the end-use temperature of
   the application. Thermal energy demands below 260 degrees C could be
   supplied more sustainably without large exergetic losses by geothermal
   or solar thermal energy resources, as well as by waste heat from fuel
   combustion processes. In addition, direct thermal use of available
   low-temperature thermal energy results in higher overall efficiencies
   compared to electricity generation by avoiding the substantial 2nd Law
   losses incurred in converting thermal energy to electricity. Using the
   U.S. Energy Information Administration database as a primary source of
   information, we found that the total thermal demand in the temperature
   range from 0 to 260 degrees C in 2008 was 33.5 EJ (31.7 quads), which is
   about one third of the entire U.S. demand. More than half of the thermal
   energy demand below 260 degrees C (55\%) comes from the residential
   sector, while the rest comes from the industrial (24\%) and commercial
   (21\%) sectors. Additionally, almost 80\% of 33.5 EJ is used to provide
   heat below 150 degrees C. Space heating and water heating have end-use
   temperatures of 40 to 60 degrees C and are responsible for 38\% of the
   thermal energy consumption below 260 degrees C in the residential and
   commercial sectors.}","{10.1039/c1ee01722e}","{1754-5692}","{ISI:000295888100002}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:A1991FW98000022","Article","RG CAMPBELL and RJ JOHNSON and MR TAVERNER and RH KING","{INTERRELATIONSHIPS BETWEEN EXOGENOUS PORCINE SOMATOTROPIN (PST)
   ADMINISTRATION AND DIETARY-PROTEIN AND ENERGY-INTAKE ON PROTEIN
   DEPOSITION CAPACITY AND ENERGY-METABOLISM OF PIGS}","{JOURNAL OF ANIMAL SCIENCE}","{1991}","{69}","{4}","{1522-1531}","{APR}","{Exogenous porcine somatotropin (PST) administration stimulates protein
   deposition and inhibits lipogenesis, resulting in dose-related
   improvements in growth performance and reduction of carcass fat content.
   However, the associated impacts of this technology on dietary nutrient
   requirements and energy partitioning between maintenance, protein, and
   fat remain unclear.  Studies with pigs between 25 and 60 kg body weight
   indicate that, because of unknown improvements in amino acid utilization
   and(or) in the energy available for protein synthesis, only marginal
   increases in dietary protein percentage are required to support 20 to
   25\% improvements in protein deposition induced by PST administration. 
   In contrast, an increased dietary protein concentration is required to
   support maximal protein deposition in pigs 60 to 100 kg.  Exogenous PST
   administration increased the maintenance energy requirement and altered
   the relationship between energy intake and protein deposition, although
   the magnitude of these changes and the consequent effects on expression
   of dietary protein (amino acid) requirements was influenced by gender. 
   Albeit limited, information suggests that PST alters nutrient demand at
   the tissue level.  Information of this type will form the basis for
   rational decisions concerning the method for expression of dietary
   nutrient requirements (\% vs g/d) for PST-treated pigs.  Further
   quantitative information is required on the effects of PST dosage on the
   relationship of protein deposition to energy intake and on any
   underlying changes in amino acid utilization and metabolism.}",NA,"{0021-8812}","{ISI:A1991FW98000022}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000300749900007","Article","Yuyu Zhou and Qihao Weng and Kevin R. Gurney and Yanmin Shuai and Xuefei Hu","{Estimation of the relationship between remotely sensed anthropogenic
   heat discharge and building energy use}","{ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING}","{2012}","{67}",NA,"{65-72}","{JAN}","{This paper examined the relationship between remotely sensed
   anthropogenic heat discharge and energy use from residential and
   commercial buildings across multiple scales in the city of Indianapolis,
   Indiana, USA. The anthropogenic heat discharge was estimated with a
   remote sensing-based surface energy balance model, which was
   parameterized using land cover, land surface temperature, albedo, and
   meteorological data. The building energy use was estimated using a
   GIS-based building energy simulation model in conjunction with
   Department of Energy/Energy Information Administration survey data, the
   Assessor's parcel data, GIS floor areas data, and remote sensing-derived
   building height data. The spatial patterns of anthropogenic heat
   discharge and energy use from residential and commercial buildings were
   analyzed and compared. Quantitative relationships were evaluated across
   multiple scales from pixel aggregation to census block. The results
   indicate that anthropogenic heat discharge is consistent with building
   energy use in terms of the spatial pattern, and that building energy use
   accounts for a significant fraction of anthropogenic heat discharge. The
   research also implies that the relationship between anthropogenic heat
   discharge and building energy use is scale-dependent. The simultaneous
   estimation of anthropogenic heat discharge and building energy use via
   two independent methods improves the understanding of the surface energy
   balance in an urban landscape. The anthropogenic heat discharge derived
   from remote sensing and meteorological data may be able to serve as a
   spatial distribution proxy for spatially-resolved building energy use,
   and even for fossil-fuel CO2 emissions if additional factors are
   considered. (C) 2011 International Society for Photogrammetry and Remote
   Sensing, Inc. (ISPRS) Published by Elsevier B.V. All rights reserved.}","{10.1016/j.isprsjprs.2011.10.007}","{0924-2716}","{ISI:000300749900007}","{Shuai, Yanmin/G-1329-2012}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000324079200033","InCollection","Kevin W. Lyons and Ram D. Sriram and Lalit Chordia and Alexander Weissman","{TOWARD ENERGY EFFICIENT MANUFACTURING ENTERPRISES}",NA,"{2011}",NA,NA,"{AE1-AE16}",NA,"{Industrial enterprises have significant negative impacts on the global
   environment. Collectively, from energy consumption to greenhouse gases
   to solid waste, they are the single largest contributor to a growing
   number of planet-threatening environmental problems. According to the
   Department of Energy's Energy Information Administration, the industrial
   sector consumes 30\% of the total energy and the transportation sector
   consumes 29\% of the energy. Considering that a large portion of the
   transportation energy costs is involved in moving manufactured goods,
   the energy consumption of the industrial sector could reach nearly 45\%
   of the total energy costs. Hence, it is very important to improve the
   energy efficiency of our manufacturing enterprises. In this chapter, we
   outline several different strategies for improving the energy efficiency
   in manufacturing enterprises. Energy efficiency can be accomplished
   through energy savings, improved productivity, new energy generation,
   and the use of enabling technologies. These include reducing energy
   consumption at the process level, reducing energy consumption at the
   facilities level, and improving the efficiency of the energy generation
   and conversion process. The primary focus of this chapter is on process
   level energy efficiency. We will provide case studies to illustrate
   process level energy efficiency and the other two strategies.}",NA,NA,"{ISI:000324079200033}",NA,NA,NA,NA,"{Rao, KR}","{ENERGY AND POWER GENERATION HANDBOOK: ESTABLISHED AND EMERGING
   TECHNOLOGIES}","{978-0-7918-5955-1}",NA,NA,NA,NA
"ISI:A1995TD61000009","Article","FH MURPHY and SH SHAW","{THE EVOLUTION OF ENERGY MODELING AT THE FEDERAL-ENERGY-ADMINISTRATION
   AND THE ENERGY-INFORMATION-ADMINISTRATION}","{INTERFACES}","{1995}","{25}","{5}","{173-193}","{SEP-OCT}","{Energy modeling at the Energy Information Administration started with
   the Project Independence Evaluation System in 1974 and moved to the
   Intermediate Future Forecasting System in 1983, which was replaced by
   the National Energy Modeling System in 1993. The models were shaped by
   the forces affecting energy markets and by policy concerns. These forces
   included changing world markets for oil, shortages of natural gas, and
   environmental concerns. The models have been used to analyze legislative
   proposals, and these analyses have met with a variety of reactions that
   ranged from extreme gratitude to rage. Working as policy analysts when
   energy issues were at the center of national attention was exciting,
   exhausting, rewarding, and at times dismaying.}","{10.1287/inte.25.5.173}","{0092-2102}","{ISI:A1995TD61000009}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000360586600037","Article","Christopher A. Scott and Zachary P. Sugg","{Global Energy Development and Climate-Induced Water Scarcity-Physical
   Limits, Sectoral Constraints, and Policy Imperatives}","{ENERGIES}","{2015}","{8}","{8}","{8211-8225}","{AUG}","{The current accelerated growth in demand for energy globally is
   confronted by water-resource limitations and hydrologic variability
   linked to climate change. The global spatial and temporal trends in
   water requirements for energy development and policy alternatives to
   address these constraints are poorly understood. This article analyzes
   national-level energy demand trends from U.S. Energy Information
   Administration data in relation to newly available assessments of water
   consumption and life-cycle impacts of thermoelectric generation and
   biofuel production, and freshwater availability and sectoral allocations
   from the U.N. Food and Agriculture Organization and the World Bank.
   Emerging, energy-related water scarcity flashpoints include the world's
   largest, most diversified economies (Brazil, India, China, and USA among
   others), while physical water scarcity continues to pose limits to
   energy development in the Middle East and small-island states. Findings
   include the following: (a) technological obstacles to alleviate water
   scarcity driven by energy demand are surmountable; (b) resource
   conservation is inevitable, driven by financial limitations and
   efficiency gains; and (c) institutional arrangements play a pivotal role
   in the virtuous water-energy-climate cycle. We conclude by making
   reference to coupled energy-water policy alternatives including
   water-conserving energy portfolios, intersectoral water transfers,
   virtual water for energy, hydropower tradeoffs, and use of impaired
   waters for energy development.}","{10.3390/en8088211}","{1996-1073}","{ISI:000360586600037}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000344444600072","Article","Arash Kialashaki and John R. Reisel","{Development and validation of artificial neural network models of the
   energy demand in the industrial sector of the United States}","{ENERGY}","{2014}","{76}",NA,"{749-760}","{NOV 1}","{In the United States, the industrial sector is the driving engine of
   economic development, and energy consumption in this sector may be
   considered as the fuel for this engine. In order to keep this sector
   sustainable (diverse and productive over the time), energy planning
   should be carried out comprehensively and precisely. This paper
   describes the development of two types of numerical energy models which
   are able to predict the United States' future industrial energy-demand.
   One model uses an ANN (artificial neural network) technique, and the
   other model uses a MLR (multiple linear regression) technique. Various
   independent variables (GDP, price of energy carriers) are tested. The
   future industrial energy demand can then be forecasted based on a
   defined scenario.
   The ANN model anticipates a 16\% increase in energy demand from 2012 by
   2030. In this forecast, the model assumes that the effective independent
   parameters remain constant during this period and only GDP grows with a
   second-order polynomial trend. The forecast result, which shows
   consistency with published predictions, may be considered as an
   indication of the need for development of new and low-cost energy
   sources.
   This study suggests that the ANN technique is a reliable and powerful
   technique which can effectively perform input/output mapping. In order
   to validate the performance of the models, the results of the ANN model
   is compared to the projections from the Energy Information
   Administration of the U.S. Department of Energy. (C) 2014 Elsevier Ltd.
   All rights reserved.}","{10.1016/j.energy.2014.08.072}","{0360-5442}","{ISI:000344444600072}",NA,"{Kialashaki, Arash/0000-0003-1966-431X}",NA,"{1873-6785}",NA,NA,NA,NA,NA,NA,NA
"ISI:000308828600016","Article","Erika Ota and Ruoyan Tobe-Gai and Rintaro Mori and Diane Farrar","{Antenatal dietary advice and supplementation to increase energy and
   protein intake}","{COCHRANE DATABASE OF SYSTEMATIC REVIEWS}","{2012}",NA,"{9}",NA,NA,"{Background
   Gestational weight gain is positively associated with fetal growth, and
   observational studies of food supplementation in pregnancy have reported
   increases in gestational weight gain and fetal growth.
   Objectives
   To assess the effects of advice during pregnancy to increase energy and
   protein intake, or of actual energy and protein supplementation, on
   energy and protein intakes, and the effect on maternal and infant health
   outcomes.
   Search methods
   We searched the Cochrane Pregnancy and Childbirth Group's Trials
   Register (22 July 2011) and contacted researchers in the field. We
   updated the search on 12 July 2012 and added the results to the awaiting
   classification section of the review.
   Selection criteria
   Randomised controlled trials of dietary advice to increase energy and
   protein intake, or of actual energy and protein supplementation, during
   pregnancy.
   Data collection and analysis
   Two review authors independently assessed trials for inclusion and
   assessed risk of bias. Two review authors independently extracted data
   and checked for accuracy. Extracted data were supplemented by additional
   information from the trialists we contacted.
   Main results
   We examined 110 reports corresponding to 46 trials. Of these trials, 15
   were included, 30 were excluded, and one is ongoing. Overall, 15 trials
   involving 7410 women were included.
   Nutritional advice (four trials, 790 women)
   Women given nutritional advice had a lower relative risk of having a
   preterm birth (two trials, 449 women) (risk ratio (RR) 0.46, 95\% CI
   0.21 to 0.98), head circumference at birth was increased in one trial
   (389 women) (mean difference (MD) 0.99 cm, 95\% CI 0.43 to 1.55) and
   protein intake increased (three trials, 632 women) (protein intake: MD
   +6.99 g/day, 95\% CI 3.02 to 10.97). No significant differences were
   observed on any other outcomes.
   Balanced energy and protein supplementation (11 trials, 5385 women)
   Risk of stillbirth was significantly reduced for women given balanced
   energy and protein supplementation (RR 0.62, 95\% CI 0.40 to 0.98, five
   trials, 3408 women), mean birthweight was significantly increased
   (random-effects MD +40.96 g, 95\% CI 4.66 to 77.26, Tau(2) = 1744, I-2 =
   44\%, 11 trials, 5385 women). There was also a significant reduction in
   the risk of small-for-gestational age (RR 0.79, 95\% CI 0.69 to 0.90,
   I-2 = 16\%, seven trials, 4408 women). No significant effect was
   detected for preterm birth or neonatal death.
   High-protein supplementation (one trial, 1051 women)
   High-protein supplementation (one trial, 505 women), was associated with
   a significantly increased risk of small-for-gestational age babies (RR
   1.58, 95\% CI 1.03 to 2.41).
   Isocaloric protein supplementation (two trials, 184 women)
   Isocaloric protein supplementation (two trials, 184 women) had no
   significant effect on birthweight and weekly gestational weight gain.
   Authors' conclusions
   This review provides encouraging evidence that antenatal nutritional
   advice with the aim of increasing energy and protein intake in the
   general obstetric population appears to be effective in reducing the
   risk of preterm birth, increasing head circumference at birth and
   increasing protein intake, there was no evidence of benefit or adverse
   effect for any other outcome reported.
   Balanced energy and protein supplementation seems to improve fetal
   growth, and may reduce the risk of stillbirth and infants born
   small-for-gestational age. High-protein supplementation does not seem to
   be beneficial and may be harmful to the fetus. Balanced-protein
   supplementation alone had no significant effects on perinatal outcomes.
   The results of this review should be interpreted with caution, the risk
   of bias was either unclear or high for at least one category examined in
   several of the included trials and the quality of the evidence was low
   for several important outcomes. Also the anthropometric characteristics
   of the general obstetric population is changing, therefore, those
   developing interventions aimed at altering energy and protein intake
   should ensure that only those women likely to benefit are included.
   Large, well designed randomised trials are needed to assess the effects
   of increasing energy and protein intake during pregnancy in women whose
   intake is below recommended levels.}","{10.1002/14651858.CD000032.pub2}","{1469-493X}","{ISI:000308828600016}",NA,NA,"{CD000032}","{1361-6137}",NA,NA,NA,NA,NA,NA,NA
"ISI:000277606600014","Article","Stephen R. Price and Catherine A. Hilchey and Christine Darredeau and Heather G. Fulton and Sean P. Barrett","{Energy drink co-administration is associated with increased reported
   alcohol ingestion}","{DRUG AND ALCOHOL REVIEW}","{2010}","{29}","{3}","{331-333}","{MAY}","{Introduction and Aims. While energy drinks (EDs) and alcohol have been
   reported to be frequently co-administered, little is known about the
   effect of this co-administration on alcohol drinking patterns. The
   purpose of the present research was to characterise patterns of ED and
   alcohol co-administration. Design and Methods. Seventy-two ED users were
   recruited from the Halifax university community. Participants provided
   information about their lifetime ED and other substance use, in addition
   to detailing instances of their ED and alcohol use during the previous
   week using a timeline follow-back interview. Results. Seventy-six per
   cent of participants reported ever deliberately mixing alcohol with EDs
   and 19\% reported doing so during the previous week. Relative to alcohol
   drinking sessions in which EDs were not used, participants reported
   drinking significantly more alcohol when it was co-administered with
   EDs. Discussion and Conclusions. Alcohol and ED co-administration is
   relatively common among ED users and seems to be associated with
   increased alcohol ingestion. It is recommended that this matter receive
   more clinical and research attention. {[}Price SR, Hilchey CA, Darredeau
   C, Fulton HG, Barrett SP. Energy drink co-administration is associated
   with increased reported alcohol ingestion. Drug Alcohol Rev 2010].}","{10.1111/j.1465-3362.2009.00163.x}","{0959-5236}","{ISI:000277606600014}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000271673200086","InProceedings","Nesrin Ozalp and Barry Hyman","{Energy Allocation And Energy Intensity Estimates For The US Organic
   Chemicals Industry}",NA,"{2009}","{18}",NA,"{531-536}",NA,"{Manufacturing energy intensity is a measure of energy consumption per
   unit of manufacturing output. In this paper, we examine energy
   intensities in the U.S. Organic Chemicals industry. Process end uses
   that were included in the model are: process heating, process cooling \&
   refrigeration, machine drive, electro-chemical processes, and other
   process uses. The main federal database that we used for constructing
   energy end-use models is the U.S. Energy Information Administration
   Manufacturing Energy Consumption Survey (MECS). The secondary federal
   database used is the U.S. Energy Information Administration 86013:
   Annual Electric Generator Report. The estimates and models are created
   for the most recent data which is given for 2002. The data for 2006 is
   still under progress by the U.S. Energy Information Administration.}","{10.3303/CET0918086}","{1974-9791}","{ISI:000271673200086}",NA,NA,NA,NA,"{Klemes, J}","{PRES'09: 12TH INTERNATIONAL CONFERENCE ON PROCESS INTEGRATION, MODELLING
   AND OPTIMISATION FOR ENERGY SAVING AND POLLUTION REDUCTION, PTS 1 AND 2}","{978-88-95608-04-4}","{12th Conference on Process Integration, Modelling and Optimisation for
   Energy Saving and Pollution Reduction, Rome, ITALY, FEB 10-MAY 13, 2009}","{Italian Assoc Chem Engn}","{Chemical Engineering Transactions}",NA
"ISI:000293657200005","Article","Matthew Thomas Clement and Jessica Schultz","{Political Economy, Ecological Modernization, and Energy Use: A Panel
   Analysis of State-Level Energy Use in the United States, 1960-1990}","{SOCIOLOGICAL FORUM}","{2011}","{26}","{3}","{581-600}","{SEP}","{The present study will examine energy consumption from two competing
   perspectives within environmental social science: political economy and
   ecological modernization. These frameworks will be evaluated with a
   fixed-effects panel analysis of state-level energy use between the years
   1960 and 1990, based on data for 50 states plus Washington, DC, from the
   Energy Information Administration's State Energy Data System. The
   results from the panel analysis show that the increase in total energy
   use between 1960 and 1990 depended on both increasing economic growth
   and urbanization, even after controlling for population size,
   industrialization, and inflation-adjusted energy prices. The results
   challenge the claims of ecological modernization theory and support a
   political economic approach to the study of changes in energy use. In
   the conclusion, the study's findings will be framed within the context
   of the early twenty-first-century economic and ecological crises. In
   light of efforts to reduce greenhouse gas emissions, this study can also
   further advance the renewable energy debate by reminding us of the
   social drivers of energy use.}","{10.1111/j.1573-7861.2011.01263.x}","{0884-8971}","{ISI:000293657200005}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
