Title,RIN,Secondary RIN,Stage,Original Sheet,Unique ID,Release Date,Agency,Senate Committee,House Committee,Joint Committee,Number of Docket Comments from Regulations.gov,Number of Public Comments from regulations.gov,Number of Public Comments from Sunlight Foundation Docketwrench,"Number of Public Comments from Sunlight Foundation Docketwrench (after clicking ""View and Search Comments"")",Docket URL,Recognized Organization Commentators,Agency Code,Rule Summary,Bibliography,Comments,Double Check
Required Warnings for Cigarette Packages and Advertisements,0910-AG41,,Final Rule,RIAMeta2010-2011,2,12-Nov-10,Department of Health and Human Services,"Committee on Commerce, Science, and Transportation",Committee on Energy and Commerce,,1755,657,657,651,http://www.regulations.gov/#!docketDetail;D=FDA-2010-N-0568,Oakland University; University of Idaho; Health Department; US Public Health Service; Pacific University; Reed College; University of California-San Francisco; State of Alaska; Association of National Advertisers; US Navy; California Family Health Council; Altria Client Services; Walden University; American Advertising Federation; Davis Wright Tremaine LLP; Alameda County; American Association for Cancer Research; University of Illinois; Lorillard Tobacco; Dosal Tobacco; American Lung Association; University of Wisconsin; Yale University; Concordia University; Food Marketing Institute; US Department of Health & Human Services; South Shore Hospital; Ohio Health; American Academy of Family Physicians; Rush University Medical Center; Sanford Health; American Association for Respiratory Care; American Wholesale Marketers Association; Oberlin College; Stony Brook University-Journalism; Weber State University; United Church of Christ; Seattle Children's; COPD Foundation; American College of Physicians; University of Pennsylvania; City of Hope National Medical Center; Commonwealth Brands; Kirkwood Community College; Alameda County Medical Center; Texas Children's Hospital; Montefiore Medical Center; Texas Oncology; Minnesota State University-Mankato; Souther Illinois University; Illinois Institute of Technology; Sam Houston State University; Acs; Oregon Health & Science University; American Medical Association; School District of Palm Beach County; Indian Health Service; Bay County; University of Michigan; University of Massachusetts; University of Miami; Washington University in St. Louis; Thomas Jefferson University; University of Florida; West Virginia University; George Mason University; University of Minnesota; University of Washington; Ohio State University; Baylor College of Medicine; Partnership for Prevention; University of South Carolina; GlaxoSmithKline Consumer Healthcare; Dana Farber Cancer Institute; Community Hospital; Society for Women's Health Research; Hackensack University  Medical Center; Western Michigan University; Aurora Health Care; University of Arizona; University of Iowa; University of California; St. Louis University; Japan Tobacco International; Foley & Lardner; Northern Illinois University; Bloomberg School of Public Health; Memorial Hospital; American College of Cardiology; American Nurses Association,900,"The Food and Drug Administration (FDA) is proposing to amend its regulations to add a new requirement for the display of health warnings on cigarette packages and in cigarette advertisements. The proposed rule would implement a provision of the Family Smoking Prevention and Tobacco Control Act (Tobacco Control Act) that requires the FDA to issue regulations requiring color graphics depicting the negative health consequences of smoking to accompany the nine new textual warning statements that will be required under the Tobacco Control Act. The Tobacco Control Act amends the Federal Cigarette Labeling and Advertising Act (FCLAA) to require each cigarette package and advertisement to bear one of nine new textual warning statements. This proposed rule, once finalized, would specify the color graphics that must accompany each of the nine new textual warning statements.",Yes,RIA within the Federal Register,
Food Labeling; Calorie Labeling of Articles of Food in Vending Machines,0910-AG56,,Proposed Rule,RIAMetaConnor,9,6-Apr-11,Department of Health and Human Services ,N/A,N/A,,231,170,169,169,http://www.regulations.gov/#!docketDetail;D=FDA-2011-F-0171,Health Department; Service Employees International Union; Cleveland Clinic; YMCA; Small Business Administration; American Beverage Association; Grocery Manufacturers Association; State of Tennessee; California Medical Association; National Confectioners Association; American Hotel & Lodging Association; Starbucks Corp; American Public Health Association; National Automatic Merchandising Association; International Dairy Foods Association; American Dietetic Association; American Diebetes Association; International Bottled Water Association; Weber State University; Americans For Limited Government; Western Washington University; Monroe Community College; Sodexo; The Partnership; American Hearth Association; Syracuse University; American Academy of Pediatrics; State of Vermont; St. Luke's Hospital; American Cancer Society; Kraft Foods; Northwestern University; Natso,900,"To implement the vending machine labeling provisions of the Patient Protection and Affordable CareAct of 2010 (Affordable Care Act), the Food and Drug Administration (FDA) is proposing requirements for providing calorie information for certain articles of food sold from vending machines. The Affordable Care Act, in part, amended the Federal Food, Drug and Cosmetic Act (FD&C Act) to, among other things,require that for an article of food sold from a vending machine that does not permit a prospective purchaser to examine the Nutrition Facts Panel before purchasing the article, or does not otherwise provide visible nutrition information at the point of purchase, and is operated by a person engaged in the business of owning or operating 20 or more vending machines, the vending machine operator must disclose thenumber of calories for the article of food.",Yes ,,
Food Labeling; Nutrition Labeling of Standard Menu Items in Restaurants and Similar Retail Food Establishments,0910-AG57,,Proposed Rule,RIAMetaChelsea,5,6-Apr-11,Department of Health and Human Services,N/A,N/A,,906,430,427,426,http://www.regulations.gov/#!docketDetail;D=FDA-2011-F-0172,"American Dietetic Association; Newbury College; National Restaurant Association; Food Marketing Institute; Health Department; American Academy of Pediatrics; American Beverage Association; International Franchise Association; Lancaster General Health; Feld Entertainment; National Grocers Association; Service Employees International Union; Darden Restaurants; Nationa; Council of Chain Restaurants; Sodexo; Virginia Commonwealth University; Massachusetts Medical Society; Massachusetts General Hospital; YMCA; Kroger Co; Columbia University; Nemours; SAIC Inc; USC; State of Missouri; Small Business Association; Georgia State University; Grocery Manufacturers Association; US Senate; National Coalition for Women with Heart Disease; National Confectioners Association; Starbucks Corp; American Public Health Association; International Dairy Foods Association; Hyman, Phelps & McNamara; Distilled Spirits Council; Dunkin' Brands; Juice Products Association; National Association of Theatre Owners; American Diabetes Association; American Association of Diabetes Educators; Consumer Federation of America; California Restaurant Association; Delhaize; National Association of Convenience Stores; Panera LLC; American Society for Nutrition; Americans For Limited Government; Gray, Plant et al; Western Washington University; Golden Corral; Planet Hollywood; Capella University; Wine & Spirits Wholesalers of America; International Association of Venue Managers; Medical University of South Carolina; Brewers Association; 7-Eleven; National Kidney Foundation; Beer Institute; Holland & Knight; National Fisheries Institute; University of Central Florida; Stanford University; University of North Carolina; Medical College of Wisconsin; Boston University; University of Michigan; American Heart Association; American Civil Liberties Union; UCLA; Lancaster County; Feeding America; Whole Foods Market; State of Vermont; Florida State University; St. Luke's Hospital; Minnesota Grocers Association; Supervalu Inc; American Cancer Society; University of Maine; American Legion; Greenberg Traurig LLP; University of Toledo; Natso; Little Caesar Enterprises",900,"To implement the menu labeling provisions of the Patient Protection and Affordable Care Act of 2010 (Affordable Care Act), the FDA is proposing requirements for providing certain nutrition information for standard menu items in certain chain restaurants and similar retail food establishments. The Affordable Care Act, in part, amended the Federal Food, Drug, and Cosmetic Act (FD&C Act), among other things, to require restaurants and similar retail food establishments that are part of a chain with 20 or more locations doing business under the same name and offering for sale substantially the same menu items to provide calorie and other nutrition information for standard menu items, including food on display and self-service food. ",References cited,Abundant in Scholarly Journals,
Medical Examination of Aliens,0920-AA26,,Final Rule,RIAMeta2009,19,2-Jul-09,Department of Health and Human Services ,"Committee on Health, Education, Labor, and Pensions",Committee on Energy and Commerce,,171,155,155,155,http://www.regulations.gov/#!docketDetail;D=CDC-2008-0001,Family Violence Prevention Fund; Illinois State; American Immigration Lawyers Association; National Association of People with AIDS; Gay Men's Health Crisis; Immigration Equality; Safe Horizon; Housing Works; University of Puerto Rico; Human Rights Watch,900,"The Centers for Disease Control and Prevention (CDC), within the U.S. Department of Health and Human Services (HHS), is proposing to revise the Part 34 regulation to remove ‘‘Human Immunodeficiency Virus (HIV) infection’’ from the definition of ‘‘communicable disease of public health significance.’’ HHS/CDC is also proposing to remove references to ‘‘HIV’’ from the scope of examinations in its regulations. Aliens infected with a ‘‘communicable disease of public health significance’’ are inadmissible into the United States under the Immigration and Nationality Act (INA).The  Tom Lantos and Henry Hyde United States Global Leadership Against HIV/AIDS, Tuberculosis, and Malaria Reauthorization Act of 2008 (the July 2008 legislation reauthorizing the President’s Emergency Plan for AIDS Relief (PEPFAR)) removed language from the INA which had previously mandated that HIV be on the list of diseases that can bar entry to the U.S. This legislative change allowed HHS/ CDC to reassess whether HIV infection should be retained or removed from regulations based on sound public health science and current understanding of HIV epidemiology. There are other diseases, including sexually transmitted diseases, which CDC may remove from the definition of ‘‘communicable disease of public health significance’’ through future rulemaking after scientific review. While HIV infection is a serious health condition, it does not represent a communicable disease that is a significant threat for introduction, transmission, and spread to the U.S population through casual contact. As a result of these proposed regulatory changes, aliens would no longer be inadmissible into the United States based solely on the grounds they are infected with HIV and they would no longer undergo HIV testing as part of the routine medical examination.",No,,
HIPAA Electronic Transaction Standards,0938-AM50,,Final Rule,RIAMetaConnor,6,22-Aug-08,Department of Health and Human Services ,"Committee on Health, Education, Labor, and Pensions",Committee on Energy and Commerce,,191,181,181,180,http://www.regulations.gov/#!docketDetail;D=CMS-2008-0101,None,900,"This rule proposes to adopt updated versions of the standards for electronic transactions originally adopted in the regulations entitled, ‘‘Health Insurance Reform: Standards for Electronic Transactions,’’ published in the Federal Register on August 17, 2000, which implemented some of the requirements of the Administrative Simplification subtitle of the Health Insurance Portability and Accountability Act of 1996 (HIPAA).",No,,
HIPAA Administrative Simplification: Modification to Medical Data Code Set Standards To Adopt ICD–10–CM and ICD–10–PCS,0938-AN25,,Final Rule,RIAMetaRitika,11,"Aug 22, 2008",Department of Health and Human Services,N/A,Committee on Energy and Commerce,,3111,701,700,696,http://www.regulations.gov/#!docketDetail;D=CMS-2008-0096,None,900,This proposed rule would modify two of the medical data code set standards adopted in the Transactions and Code Sets final rule published in the Federal Register. It would also implement certain provisions of the Administrative Simplification subtitle of the Health Insurance Portability and Accountability Act (HIPAA) of 1996.,No,"RIA in Proposed Rule, no citations",Found citations and entered
Medicaid Program Premiums and Cost Sharing,0938-AO47,,Final Rule,RIAMetaChristina,8,22-Feb-08,Department of Health and Human Services,Committee on Finance,Committee on Energy and Commerce,,70,67,66,66,http://www.regulations.gov/#!docketDetail;D=CMS-2008-0021,None,900,"This proposed rule would implement and interpret the provisions of sections 6041, 6042, and 6043 of the Deficit Reduction Act of 2005 (DRA), and section 405(a)(1) of the Tax Relief and Health Care Act of 2006 (TRHCA). These sections amend the Social Security Act (the Act) by adding a new section 1916A to provide State Medicaid agencies with increased flexibility to impose premium and cost sharing requirements on certain Medicaid recipients.",No,,
State Flexibility for Medicaid Benefit Packages ,0938-AO48,,Final Rule,RIAMetaChelsea,7,22-Feb-08,Department of Health and Human Services,Committee on Finance,Committee on Energy and Commerce,,1121,774,773,769,http://www.regulations.gov/#!docketDetail;D=CMS-2008-0034,None,900,"This proposed rule would implement provisions of section 6044 of the Deficit Reduction Act of 2005, Pub. L. 109–171, which amends the Social Security Act by adding a new section 1937 related to the coverage of medical assistance under approved State plans. Under this new section, states have increased flexibility under an approved state plan to define the scope of covered medical assistance by offering coverage of benchmark or benchmark-equivalent benefit packages to certain Medicaid recipients.",No,No scholarly journals found; explicit use of regulations though,
Prospective Payment System for Long-Term Care Hospitals,0938-AO94,,Final Rule,RIAMetaRitika,10,"Jan 29, 2008",Department of Health and Human Services,Committee on Finance,Committee on Ways and Means; Committee on Energy and Commerce,,19,19,19,19,http://www.regulations.gov/#!docketDetail;D=CMS-2008-0008,None,900,"This proposed rule would update the annual payment rates for the Medicare prospective payment system
(PPS) for inpatient hospital services provided by long-term care hospitals (LTCHs). In addition, we are proposing to consolidate the annual July 1 update for payment rates and the October 1 update for Medicare severity long-term care diagnosis related group (MS–LTC– DRG) weights to a single fiscal year (FY) update",No,"RIA in Proposed Rule, no citations","Yes, no citations found"
Prospective Payment System and Consolidated Billing for Skilled Nursing Facilities for FY 2009,0938-AP11,,Final Rule,RIAMetaChelsea,10,7-May-08,Department of Health and Human Services,Committee on Finance,Committee on Ways and Means; Committee on Energy and Commerce,,0,0,0,0,http://www.regulations.gov/#!documentDetail;D=CMS_FRDOC_0001-0118,None,900,"This proposed rule would update the payment rates used under the prospective payment system (PPS) for skilled nursing facilities (SNFs) for fiscal year (FY) 2009. In addition, it would recalibrate the case-mix indexes so that they more accurately reflect parity in expenditures related to the implementation of case-mix refinements in January 2006. It also discusses our ongoing analysis of nursing home staff time measurement data collected in the Staff Time and Resource Intensity Verification (STRIVE) project. Finally, the proposed rule would make technical corrections in the regulations text with respect to Medicare bad debt payments to SNFs and the reference to the definition of urban and rural as applied to SNFs.",No,No scholarly journals found; explicit use of regulations though,
Proposed Hospice Wage Index for Fiscal Year 2009,0938-AP14,,Final Rule,RIAMetaRitika,2,"May 1, 2008",Department of Health and Human Services,Committee on Finance,Committee on Ways and Means; Committee on Energy and Commerce,,405,404,404,402,http://www.regulations.gov/#!docketDetail;D=CMS-2008-0041,None,900,"This proposed rule establishes the hospice wage index for fiscal year 2009. This proposed rule also phases out the Medicare hospice budget neutrality adjustment factor and clarify two wage index issues, pertaining to the definition of rural and urban areas and to multi-campus hospital facilities",No,"RIA in Proposed Rule, no citations","Yes, no citations found"
"Medicare Program, Proposed Changes to the Hospital Inpatient Prospective Payment Systems and Fiscal Year 2009 Rates",0938-AP15,,Final Rule,RIAMetaChelsea,3,30-Apr-08,Department of Health and Human Services,Committee on Finance,Committee on Ways and Means; Committee on Energy and Commerce,,1145,902,902,897,http://www.regulations.gov/#!docketDetail;D=CMS-2008-0039,None,900,"We are proposing to revise the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital-related costs to implement changes arising from our continuing experience with these systems, and to implement certain provisions made by the Deficit Reduction Act of 2005, the Medicare Improvements and Extension Act, Division B, Title I of the Tax Relief and Health Care Act of 2006, and the TMA, Abstinence Education, and QI Programs Extension Act of 2007. In addition, in the Addendum to this proposed rule, we describe the proposed changes to the amounts and factors used to determine the rates for Medicare hospital inpatient services for operating costs and capital-related costs.",No,No scholarly journals found; explicit use of regulations though,
Proposed Changes to the Outpatient Prospective Payment System,0938-AP17,,Final Rule,RIAMetaNick,6,18-Jul-08,Department of Health and Human Services,Committee on Finance,Committee on Energy and Commerce; Committee on Ways and Means,,813,780,780,777,http://www.regulations.gov/#!docketDetail;D=CMS-2008-0072,None,900,"This proposed rule would revise the Medicare hospital outpatient prospective payment system to implement applicable statutory requirements and changes arising from our continuing experience with this system. In this proposed rule, we describe the proposed changes to the amounts and factors used to determine the payment rates for Medicare hospital outpatient services paid under the prospective payment system. These changes would be applicable to services furnished on or after January 1, 2009. In addition, this proposed rule would update the revised Medicare ambulatory surgical center (ASC) payment system to implement applicable statutory requirements and changes arising from our continuing experience with this system.",no,No citations,"Yes, no citations found"
Medicare Program: Revisions to Physician Fee ,0938-AP18,,Final Rule,RIAMetaChelsea,13,7-Jul-08,Department of Health and Human Services,Committee on Finance,Committee on Energy and Commerce; Committee on Ways and Means,,3384,1859,1868,1870,http://www.regulations.gov/#!docketDetail;D=CMS-2008-0073,None,900,Alters Medicare Part B payments.,No,No scholarly journals found; explicit use of regulations though,
Medicare Program; Revisions to the Medicare Advantage and prescription Drug Benefit Programs; Proposed Rule,0938-AP24,,Final Rule,RIAMetaRussell,3,16-May-08,Department of Health and Human Services,Committee on Finance,Committee on Ways and Means; Committee on Energy and Commerce,,150,137,137,137,http://www.regulations.gov/#!docketDetail;D=CMS-2008-0056,None,900,"This proposed rule would make revisions to the Medicare Advantage (MA) program (Part C) and prescription drug benefit program (Part D). The regulation contains new regulatory provisions regarding special needs plans, medical savings accounts (MSA) plans, and cost-sharing for dual eligible enrollees in the MA program, the prescription drug payment and novation processes in the Part D program, and the enrollment, appeals, and marketing processes for both programs. We are proposing these changes based on lessons learned since 2006, the initial year of the prescription drug program and the revised MA program.",No,Proposed Rule,
