	Urban ornamental plants: sensitivity to ozone and potential economic losses. U.S. EPA, Office of Air Quality Planning and Standards, Research Triangle Park. Under contract to RADIAN Corporation, contract no. 68-D3-0033,	A reassessment of the economic effects of ozone on U.S.	The benefits of pollution control: the case of ozone	Ambient ozone effects on forest trees of the eastern United States: a review.	A preliminary assessment of the Montreal process indicators of air pollution for the United States. Environmental Monitoring and Assessment, Integrated Science Assessment	Air Pollution Damage to U.S. Forests.	Impact of Air Pollutants on Southern Pine Forests,	The physiological basis of ozone injury assessment attributes in Sierran conifers. In	The need for a long term cumulative secondary ozone standard ‚Äì an ecological perspective. Environmental Management,	Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards.	Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California. In: Air Pollutants Effects on Forest Ecosystems,	Oxidant air pollution effects on a western coniferous forest ecosystem.	Little‚Äôs range and FIA importance value database for 135 eastern U.S. tree species. Northeastern Research Station, USDA Forest Service. Available on the Internet at http://www.fs.fed.us/ne/delaware/4153/global/littlefia/index.html Pye,	A national ozone biomonitoring program‚Äî results from field surveys of ozone sensitive plants in Northeastern forests (1994-2000). Environmental Monitoring and Assessment,	Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs.	Variation in plant response to ozone: a conceptual model of physiological events.	The Benefits and Costs of the Clean Air Act, 1990-2010. Prepared for U.S. Congress by U.S.	Available on the Internet at http://www.epa.gov/oar/sect812/1990-2010/chap1130.pdf U.S. Environmental Protection Agency	Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze. Office of Air Quality Planning and Standards. EPA-454/B-07-002. April. Available on the Internet at http://www.epa.gov/scram001/guidance/guide/final-03-pm-rh-guidance.pdf U.S. Environmental Protection Agency	Available on the Internet at http://cfpub.epa.gov/ncea/cfm/recordisplay.cfm?deid=201485 U.S. Environmental Protection Agency
The Benefits and Costs of the Clean Air Act 19902010	0.8405797101449275	0.8113207547169812	0.6730769230769231	0.6266666666666667	0.8154761904761905	0.8076923076923077	0.8076923076923077	0.7619047619047619	0.782608695652174	0.8021978021978022	0.7898089171974523	0.7857142857142857	0.8623853211009175	0.8143712574850299	0.7647058823529411	0.810126582278481	0.37349397590361444	0.8113207547169812	0.8892405063291139	0.8378378378378378
The NOx Budget Trading Program 2008 Environmental Results Clean Air Markets Division	0.821256038647343	0.8095238095238095	0.75	0.8095238095238095	0.7678571428571429	0.8095238095238095	0.7619047619047619	0.7738095238095238	0.7478260869565218	0.8571428571428571	0.7643312101910829	0.7738095238095238	0.8348623853211009	0.7664670658682635	0.8333333333333334	0.8333333333333334	0.8690476190476191	0.8490566037735849	0.8512658227848101	0.8378378378378378
Urban ornamental plants sensitivity to ozone and potential economic losses	0.642512077294686	0.7432432432432432	0.7702702702702703	0.7866666666666666	0.7440476190476191	0.8108108108108109	0.7432432432432432	0.7857142857142857	0.7217391304347827	0.7252747252747253	0.7133757961783439	0.7702702702702703	0.8027522935779816	0.7365269461077845	0.7549019607843137	0.6329113924050633	0.8433734939759037	0.7830188679245284	0.8354430379746836	0.7747747747747747
A reassessment of the economic effects of ozone on US agriculture	0.7971014492753623	0.18461538461538463	0.7538461538461538	0.7733333333333333	0.7202380952380952	0.7692307692307693	0.7384615384615385	0.7738095238095238	0.7652173913043478	0.7472527472527473	0.7643312101910829	0.7857142857142857	0.8256880733944955	0.7844311377245509	0.6372549019607843	0.7468354430379747	0.6867469879518072	0.7830188679245284	0.8544303797468354	0.7747747747747747
Air Pollution Damage to US Forests	0.893719806763285	0.7735849056603774	0.7058823529411765	0.7733333333333333	0.8571428571428571	0.0	0.5510204081632653	0.7857142857142857	0.8434782608695652	0.7802197802197802	0.8343949044585988	0.6714285714285714	0.8807339449541285	0.8682634730538922	0.7745098039215687	0.7848101265822784	0.7831325301204819	0.8301886792452831	0.9177215189873418	0.8288288288288288
Expert Judgment Assessment of the Mortality Impact of Changes	0.8357487922705314	0.6229508196721312	0.7377049180327869	0.7066666666666667	0.7797619047619048	0.8032786885245902	0.7868852459016393	0.7976190476190477	0.7652173913043478	0.7472527472527473	0.7579617834394905	0.7857142857142857	0.8440366972477065	0.8023952095808383	0.7352941176470589	0.7341772151898734	0.7590361445783133	0.8301886792452831	0.8639240506329114	0.8288288288288288
Extended followup and spatial analysis of the American Cancer Society study linking particulate air pollution and mortality	0.748792270531401	0.7804878048780488	0.7886178861788617	0.7479674796747967	0.7797619047619048	0.8292682926829268	0.7886178861788617	0.7317073170731707	0.7967479674796748	0.7804878048780488	0.7261146496815286	0.7479674796747967	0.7568807339449541	0.7664670658682635	0.7235772357723578	0.7642276422764228	0.7154471544715447	0.8211382113821138	0.7784810126582279	0.8292682926829268
The need for a long term cumulative secondary ozone standard – an ecological perspective	0.7874396135265701	0.7727272727272727	0.7045454545454546	0.7727272727272727	0.7619047619047619	0.8068181818181818	0.7613636363636364	0.7840909090909091	0.24347826086956523	0.8571428571428571	0.7515923566878981	0.7727272727272727	0.7889908256880734	0.7664670658682635	0.7843137254901961	0.7159090909090909	0.8068181818181818	0.7735849056603774	0.8132911392405063	0.7567567567567568
Impact of Air Pollutants on Southern Pine Forests	0.8502415458937198	0.8301886792452831	0.7254901960784313	0.72	0.7976190476190477	0.5510204081632653	0.0	0.7619047619047619	0.808695652173913	0.6813186813186813	0.7388535031847133	0.6	0.8486238532110092	0.7964071856287425	0.7745098039215687	0.7468354430379747	0.7951807228915663	0.8207547169811321	0.8829113924050633	0.8198198198198198
Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California	0.7681159420289855	0.7363636363636363	0.7090909090909091	0.6636363636363637	0.75	0.7909090909090909	0.6636363636363637	0.7454545454545455	0.7739130434782608	0.7363636363636363	0.29936305732484075	0.5818181818181818	0.7568807339449541	0.718562874251497	0.7454545454545455	0.7090909090909091	0.7454545454545455	0.8727272727272727	0.8132911392405063	0.8828828828828829
2008 National Ambient Air Quality Standards for Groundlevel Ozone Chapter 6	0.7536231884057971	0.7866666666666666	0.7866666666666666	0.84	0.7976190476190477	0.8	0.6933333333333334	0.8214285714285714	0.7652173913043478	0.7142857142857143	0.7961783439490446	0.8266666666666667	0.8256880733944955	0.7904191616766467	0.7941176470588235	0.810126582278481	0.8554216867469879	0.8301886792452831	0.8386075949367089	0.8108108108108109
National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry	0.7777777777777778	0.7884615384615384	0.7692307692307693	0.7307692307692307	0.6964285714285714	0.8076923076923077	0.6923076923076923	0.7884615384615384	0.8260869565217391	0.7692307692307693	0.7515923566878981	0.7692307692307693	0.7844036697247706	0.6946107784431138	0.8173076923076923	0.7788461538461539	0.7692307692307693	0.8773584905660378	0.8069620253164557	0.8468468468468469
Proposed NO2 NAAQS Regulatory Impact Analysis	0.8743961352657005	0.8301886792452831	0.8823529411764706	0.8133333333333334	0.8690476190476191	0.8	0.8367346938775511	0.8214285714285714	0.8173913043478261	0.8131868131868132	0.8471337579617835	0.8142857142857143	0.8944954128440367	0.8622754491017964	0.8333333333333334	0.7974683544303798	0.8313253012048193	0.8679245283018868	0.9050632911392406	0.8558558558558559
Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs	0.7922705314009661	0.6078431372549019	0.7450980392156863	0.7647058823529411	0.7142857142857143	0.7745098039215687	0.7745098039215687	0.7843137254901961	0.7652173913043478	0.7647058823529411	0.7388535031847133	0.7156862745098039	0.7844036697247706	0.7724550898203593	0.0	0.7549019607843137	0.803921568627451	0.8773584905660378	0.8322784810126582	0.8378378378378378
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution	0.782608695652174	0.8064516129032258	0.7096774193548387	0.7741935483870968	0.7916666666666666	0.8064516129032258	0.7311827956989247	0.8279569892473119	0.7739130434782608	0.8064516129032258	0.7515923566878981	0.7419354838709677	0.7889908256880734	0.7844311377245509	0.8333333333333334	0.7956989247311828	0.8494623655913979	0.8679245283018868	0.810126582278481	0.8468468468468469
Air pollution and emergency department visits for asthma among Ohio Medicaid recipients	0.8019323671497585	0.7816091954022989	0.7931034482758621	0.735632183908046	0.7678571428571429	0.7011494252873564	0.7471264367816092	0.8275862068965517	0.782608695652174	0.8021978021978022	0.7452229299363057	0.7471264367816092	0.7844036697247706	0.7604790419161677	0.8235294117647058	0.7126436781609196	0.8275862068965517	0.7641509433962265	0.8291139240506329	0.7657657657657657
Ambient air pollution and respiratory emergency department visits	0.8164251207729468	0.7846153846153846	0.7384615384615385	0.6533333333333333	0.75	0.6461538461538462	0.6923076923076923	0.7738095238095238	0.7652173913043478	0.7472527472527473	0.7452229299363057	0.6285714285714286	0.8165137614678899	0.7784431137724551	0.7352941176470589	0.7721518987341772	0.7831325301204819	0.8113207547169812	0.8575949367088608	0.7657657657657657
How sensitive is the association between ozone and daily deaths to control for temperature	0.7536231884057971	0.7222222222222222	0.7222222222222222	0.7555555555555555	0.75	0.7777777777777778	0.7666666666666667	0.7777777777777778	0.7391304347826086	0.8351648351648352	0.7579617834394905	0.7	0.7935779816513762	0.7664670658682635	0.7254901960784313	0.7555555555555555	0.8111111111111111	0.8018867924528302	0.819620253164557	0.7927927927927928
Ozone exposure and mortality an empiric bayes metaregression analysis	0.8067632850241546	0.7681159420289855	0.7536231884057971	0.7866666666666666	0.7678571428571429	0.7971014492753623	0.7681159420289855	0.7619047619047619	0.7391304347826086	0.7252747252747253	0.7770700636942676	0.8142857142857143	0.8073394495412844	0.7664670658682635	0.7647058823529411	0.7974683544303798	0.7228915662650602	0.8018867924528302	0.8481012658227848	0.7747747747747747
Reduction in fine particulate air pollution and mortality  Extended followup of the Harvard six cities study	0.7777777777777778	0.8240740740740741	0.7222222222222222	0.75	0.7023809523809523	0.7870370370370371	0.7222222222222222	0.7870370370370371	0.8	0.7592592592592593	0.7197452229299363	0.7129629629629629	0.7844036697247706	0.7604790419161677	0.7685185185185185	0.7037037037037037	0.7962962962962963	0.8518518518518519	0.7974683544303798	0.8288288288288288
Bayesian Hierarchical Distributed Lag Models for Summer Ozone Exposure and CardioRespiratory Mortality 	0.7874396135265701	0.8155339805825242	0.7961165048543689	0.7669902912621359	0.7619047619047619	0.8349514563106796	0.7864077669902912	0.7669902912621359	0.8434782608695652	0.7766990291262136	0.7579617834394905	0.7669902912621359	0.7889908256880734	0.7664670658682635	0.8446601941747572	0.7766990291262136	0.8058252427184466	0.8773584905660378	0.8164556962025317	0.8558558558558559
Associations between ozone and daily mortality analysis and metaanalysis	0.7777777777777778	0.7916666666666666	0.7777777777777778	0.8	0.75	0.7916666666666666	0.7777777777777778	0.75	0.6956521739130435	0.6923076923076923	0.7452229299363057	0.8611111111111112	0.8302752293577982	0.7724550898203593	0.803921568627451	0.7341772151898734	0.8433734939759037	0.8207547169811321	0.8417721518987342	0.8108108108108109
A preliminary assessment of the Montreal process indicators of air pollution for the United States	0.7681159420289855	0.6020408163265306	0.7346938775510204	0.7244897959183674	0.4166666666666667	0.8061224489795918	0.7448979591836735	0.7653061224489796	0.7565217391304347	0.7551020408163265	0.7006369426751592	0.7244897959183674	0.7798165137614679	0.7485029940119761	0.7941176470588235	0.7653061224489796	0.7346938775510204	0.8301886792452831	0.810126582278481	0.8018018018018018
Mechanistic analysis of plant responses to air pollution	0.8260869565217391	0.8392857142857143	0.7321428571428571	0.76	0.7976190476190477	0.7321428571428571	0.7678571428571429	0.6785714285714286	0.7913043478260869	0.7472527472527473	0.7770700636942676	0.7142857142857143	0.8211009174311926	0.7904191616766467	0.7058823529411765	0.7215189873417721	0.7349397590361446	0.8018867924528302	0.8670886075949367	0.7837837837837838
The benefits of pollution control the case of ozone and US agriculture	0.8164251207729468	0.6428571428571429	0.2714285714285714	0.72	0.7321428571428571	0.7	0.7285714285714285	0.7619047619047619	0.7217391304347827	0.7032967032967034	0.7388535031847133	0.7428571428571429	0.8165137614678899	0.7784431137724551	0.7352941176470589	0.7974683544303798	0.6746987951807228	0.8207547169811321	0.8512658227848101	0.8018018018018018
Implications of environmental policy for US agriculture the case of ambient ozone standards	0.7729468599033816	0.6923076923076923	0.6703296703296703	0.6923076923076923	0.7202380952380952	0.7802197802197802	0.6813186813186813	0.8241758241758241	0.8	0.0	0.7452229299363057	0.7582417582417582	0.7889908256880734	0.7544910179640718	0.7647058823529411	0.7252747252747253	0.8241758241758241	0.7924528301886793	0.8259493670886076	0.7837837837837838
LongTerm Ozone Exposure and Mortality	0.8743961352657005	0.8301886792452831	0.8235294117647058	0.76	0.8630952380952381	0.8108108108108109	0.7959183673469388	0.8095238095238095	0.808695652173913	0.8021978021978022	0.8535031847133758	0.7857142857142857	0.8853211009174312	0.8502994011976048	0.8529411764705882	0.7721518987341772	0.8433734939759037	0.8207547169811321	0.9113924050632911	0.8288288288288288
A national ozone biomonitoring program—results from field surveys of ozone sensitive plants in Northeastern forests	0.7729468599033816	0.7565217391304347	0.782608695652174	0.6434782608695652	0.7380952380952381	0.808695652173913	0.7391304347826086	0.7478260869565218	0.8173913043478261	0.7217391304347827	0.7388535031847133	0.7391304347826086	0.7935779816513762	0.31736526946107785	0.782608695652174	0.7217391304347827	0.7913043478260869	0.808695652173913	0.8069620253164557	0.8173913043478261
Air pollution weather and respiratory emergency room visits in two northern New England cities an ecological timeseries study	0.7777777777777778	0.776	0.792	0.736	0.7202380952380952	0.784	0.776	0.728	0.8	0.76	0.7452229299363057	0.744	0.7477064220183486	0.7305389221556886	0.808	0.696	0.776	0.784	0.7943037974683544	0.8
Impact of ozone on the growth and yield of trees A review	0.8309178743961353	0.7543859649122807	0.8070175438596491	0.6	0.7797619047619048	0.7719298245614035	0.6491228070175439	0.7261904761904762	0.7739130434782608	0.7032967032967034	0.7707006369426752	0.7285714285714285	0.8302752293577982	0.7784431137724551	0.7156862745098039	0.7468354430379747	0.7590361445783133	0.7830188679245284	0.8670886075949367	0.7747747747747747
Absorption of air pollution by plants and consequences for growth	0.8019323671497585	0.7538461538461538	0.6615384615384615	0.7733333333333333	0.7559523809523809	0.676923076923077	0.6153846153846154	0.7619047619047619	0.7565217391304347	0.7142857142857143	0.7515923566878981	0.6571428571428571	0.8348623853211009	0.7784431137724551	0.6862745098039216	0.7468354430379747	0.7710843373493976	0.8207547169811321	0.8575949367088608	0.8018018018018018
A metaanalysis of timeseries studies of ozone and mortality with comparison to the national morbidity mortality and air pollution study	0.7439613526570048	0.762962962962963	0.762962962962963	0.7185185185185186	0.7202380952380952	0.8444444444444444	0.7851851851851852	0.7111111111111111	0.7777777777777778	0.7185185185185186	0.7388535031847133	0.7703703703703704	0.7614678899082569	0.7245508982035929	0.7481481481481481	0.7333333333333333	0.7777777777777778	0.762962962962963	0.7531645569620253	0.7555555555555555
Ozone and shortterm mortality in 95 US urban communities 19872000	0.8115942028985508	0.8153846153846154	0.8	0.76	0.8095238095238095	0.8153846153846154	0.7538461538461538	0.8214285714285714	0.7739130434782608	0.7582417582417582	0.802547770700637	0.7714285714285715	0.8486238532110092	0.8083832335329342	0.7745098039215687	0.8354430379746836	0.7710843373493976	0.8207547169811321	0.8639240506329114	0.8018018018018018
