	Number 1210–NEW Affected Public Business or other forprofit Estimated Number of Respondents 16000 Estimated Number of Annual Responses 20789000 Frequency of Response Initially Annually Upon Request when a material change Estimated Total Annual Burden Hours 16126000 hours in the first year 13504000 hours in each subsequent year Estimated Total Annual Burden Cost 642552000 for the first year 493253000 for each subsequent year	List of Subjects in 29 CFR Part 2550 Employee benefit plans Exemptions Fiduciaries Investments Pensions Prohibited transactions Reporting and recordkeeping requirements and Labor’s Order No	Sec 2550401b–1 also issued under sec 102 Reorganization Plan No	Sec 2550401c–1 also issued under 29 USC 1101 Sections 2550404c–1 and 2550404c– 5 also issued under 29 USC 1104 Sec 2550407c–3 also issued under 29 USC 1107 Sec 2550404a–2 also issued under 26 USC 401 note sec 657 Pub L 107–16 115 Stat 38 Sec 2550408b–1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No	2550408g–1 also issued under sec 102 Reorganization Plan No 4 of 1978 3 CFR	For purposes of paragraph c6i retirement ages life expectancies income levels financial resources replacement income ratios inflation VerDate Nov242008	Add § 2550408g–2 to read as follows	Section 408g11A of the Employee Retirement Income accordance with 29 CFR 2550408g– 1b5 and v Is maintained in accordance with 29 CFR 2550408g–1e	this 9th day of January
Interpretative Bulletin relating to participant investment education	0.61	0.52	0.7	0.7	0.73	0.55	0.72	0.65	0.61
Notice of adoption of revisions to annual returnreport forms	0.5700000000000001	0.5700000000000001	0.69	0.7	0.69	0.54	0.74	0.65	0.53
Reasonable Contract or Arrangement under Section 408b2�Fee Disclosure Proposed Rule	0.61	0.61	0.65	0.62	0.6599999999999999	0.5800000000000001	0.64	0.6699999999999999	0.6599999999999999
Reorganization Plan No 4 of 1978	0.69	0.6	0.18999999999999995	0.31999999999999995	0.0	0.5700000000000001	0.75	0.6599999999999999	0.6599999999999999
Mutual Fund Advisory Contracts An Empirical Investigation	0.6	0.5800000000000001	0.64	0.62	0.64	0.64	0.74	0.65	0.6599999999999999
Costly Search and Mutual Fund Flows	0.5800000000000001	0.6599999999999999	0.69	0.63	0.69	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999
Are Investors Rational Choices Among Index Funds	0.61	0.5700000000000001	0.65	0.6699999999999999	0.61	0.5900000000000001	0.72	0.63	0.6599999999999999
Mutual Fund FeeSetting Market Structure and MarkUps	0.61	0.51	0.69	0.65	0.6699999999999999	0.63	0.69	0.6699999999999999	0.6599999999999999
Out of Sight Out of Mind The Effects of Expenses on Mutual Fund Flows	0.6	0.6	0.65	0.6599999999999999	0.6699999999999999	0.6	0.69	0.64	0.61
Product Differentiation Search Costs and Competition in the Mutual Fund Industry A Case Study of SP 500 Index Funds	0.6	0.64	0.6799999999999999	0.6599999999999999	0.6799999999999999	0.6599999999999999	0.72	0.65	0.5700000000000001
The Determinants of the Flow of Funds of Managed Portfolios Mutual Funds vs Pension Funds	0.61	0.6	0.65	0.6599999999999999	0.6699999999999999	0.62	0.6599999999999999	0.62	0.53
Mutual Fund Advisory Fees The Cost of Conflicts of Interest	0.6	0.63	0.6599999999999999	0.6699999999999999	0.65	0.6	0.72	0.6799999999999999	0.61
Why Does the Law of One Price Fail An Experiment on Index Mutual Funds	0.53	0.62	0.6799999999999999	0.6799999999999999	0.69	0.62	0.74	0.63	0.48
