	Low-Level Lead Exposure, Intelligence, and Academic Achievement: A Long-Term Follow-Up Study.	The Relationship between Air Lead and Blood Lead in Children: A Critical Review.	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter. The New England	Strategic Plan for Elimination of Childhood Lead Poisoning.	Preventing Lead Poisoning in Young Children.	IQ and Blood Lead from 2 to 7 Years of Age: Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2-year-olds? Environmental Health Perspectives 113:	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure: Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry.	Lead Exposure and the Motor Development Status of Urban Six-year-old Children in the Cincinnati Prospective Study.	Low Level Lead Exposure in the Prenatal and Early Preschool Periods: Intelligence Prior to School Entry.	How Much Does IQ Raise Earnings? Implications for Regulatory Impact Analyses.	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels.	Reduction in Fine Particulate Air Pollution and Mortality.	Low-Level Environmental Lead Exposure and Childrenâ€™s Intellectual Function: An International Pooled Analysis.	The Long-Term Effects of Exposure to Low Doses of Lead in Children.	Environmental Lead and Childrenâ€™s Intelligence: A Systematic Review of the Epidemiological Evidence.	Lung Cancer, Cardiopulmonary Mortality, and Long-Term Exposure to Fine Particulate Air Pollution.	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead.	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children. Neurotoxicology and Teratology	Blood lead levels and death from all causes, cardiovascular disease, and cancer: results from the NHANES III Mortality Study. Environ. Health Perspect: doi:10.1289/ehp.9123	Low-level Lead Exposure and Childrenâ€™s IQ: A Meta-Analysis and Search for a Threshold.	Societal Benefits of Reducing Lead Exposure.	The Relationship between Gasoline Lead and Blood Lead in the United States.	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 11-13 years: the Port Pirie Cohort Study.	Environmental Protection Agency.	Available at: http://www.epa.gov/ttn/naaqs/standards/pb/s_pb_pr_fr.html U.S. Environmental Protection Agency.	Environmental Protection Agency. (2006a). Air Quality Criteria for Lead.	Environmental Protection Agency. (2006b). Economic Analysis for the Renovation, Repair, and Painting Program Proposed Rule. Office of Pollution Prevention and Toxics.	Environmental Protection Agency. (2006c). Final Regulatory Impact Analysis:	Environmental Protection Agency. (2007c). Review of the National Ambient Air Quality Standards for Lead: Policy Assessment	Environmental Protection Agency. (2007d). Letter from Rogene Henderson, Chair of the Clean Air Scientific Advisory Committee (CASAC) to	Environmental Protection Agency. (2008a). Final Ozone NAAQS Regulatory Impact Analysis. Office of Air and Radiation. Research Triangle Park,	Environmental Protection Agency (2008b) Proposed National Ambient Air Quality Standards for Lead. Office of Air and Radiation.	Environmental Protection Agency (2008c) Economic Analysis for the TSCA Lead Renovation, Repair, and Painting Program Final Rule for Target Housing and Child-Occupied Facilities. Economic and Policy Analysis Branch Economics, Exposure and Technology Division Office of Pollution Prevention and Toxics,	The Yugoslavia Prospective Lead Industry Study: Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence.	Population by Single Year of Age CD.	World Health Organization.
Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship between PM25 Exposure and Mortality	0.2666666666666667	0.2962962962962963	0.32258064516129037	0.2692307692307693	0.36	0.25373134328358204	0.19999999999999996	0.19999999999999996	0.25	0.2068965517241379	0.31034482758620685	0.30612244897959184	0.24590163934426235	0.2142857142857143	0.24590163934426235	0.19298245614035092	0.22807017543859653	0.25806451612903225	0.29230769230769227	0.2698412698412699	0.28301886792452835	0.42307692307692313	0.2698412698412699	0.33333333333333337	0.2068965517241379	0.26315789473684215	0.16129032258064513	0.26315789473684215	0.2063492063492064	0.23333333333333328	0.28358208955223885	0.23809523809523814	0.23529411764705888	0.23333333333333328	0.3076923076923077	0.4893617021276596
Integrated Risk Information System IRIS Profile for Lead and Compounds inorganic	0.2592592592592593	0.33333333333333337	0.3214285714285714	0.17391304347826086	0.2727272727272727	0.24590163934426235	0.22033898305084743	0.2222222222222222	0.19999999999999996	0.2692307692307693	0.2692307692307693	0.3023255813953488	0.2727272727272727	0.24	0.19999999999999996	0.21568627450980393	0.21568627450980393	0.2142857142857143	0.3220338983050848	0.29824561403508776	0.19148936170212771	0.3913043478260869	0.19298245614035092	0.33333333333333337	0.2692307692307693	0.2549019607843137	0.2857142857142857	0.2549019607843137	0.26315789473684215	0.2222222222222222	0.24590163934426235	0.22807017543859653	0.25806451612903225	0.18518518518518523	0.26086956521739135	0.46341463414634143
Lead Human Exposure and Health Risk Assessments for Selected Case Studies Volume I Human Exposure and Health Risk Assessments Ð Fullscale	0.22033898305084743	0.3207547169811321	0.34426229508196726	0.2549019607843137	0.3877551020408163	0.2727272727272727	0.21875	0.2542372881355932	0.2727272727272727	0.26315789473684215	0.29824561403508776	0.375	0.23333333333333328	0.23636363636363633	0.23333333333333328	0.25	0.2142857142857143	0.2786885245901639	0.3125	0.25806451612903225	0.23076923076923073	0.4117647058823529	0.25806451612903225	0.44680851063829785	0.33333333333333337	0.3571428571428571	0.3114754098360656	0.3214285714285714	0.32258064516129037	0.2542372881355932	0.2727272727272727	0.32258064516129037	0.22388059701492535	0.2542372881355932	0.4117647058823529	0.4782608695652174
Preventing Lead Poisoning in Young Children	0.33333333333333337	0.2857142857142857	0.36	0.19999999999999996	0.0	0.3090909090909091	0.3207547169811321	0.29166666666666663	0.2272727272727273	0.4347826086956522	0.30434782608695654	0.3513513513513513	0.30612244897959184	0.2727272727272727	0.34693877551020413	0.28888888888888886	0.24444444444444446	0.24	0.4339622641509434	0.37254901960784315	0.31707317073170727	0.4	0.2941176470588235	0.33333333333333337	0.34782608695652173	0.28888888888888886	0.36	0.37777777777777777	0.33333333333333337	0.29166666666666663	0.4181818181818182	0.37254901960784315	0.3571428571428571	0.20833333333333337	0.30000000000000004	0.3142857142857143
Review of the National Ambient Air Quality Standards for Lead Policy Assessment of Scientific and Technical Information	0.2068965517241379	0.23076923076923073	0.30000000000000004	0.28	0.33333333333333337	0.2615384615384615	0.2063492063492064	0.24137931034482762	0.2222222222222222	0.25	0.25	0.3191489361702128	0.2542372881355932	0.2962962962962963	0.22033898305084743	0.3090909090909091	0.3090909090909091	0.23333333333333328	0.2698412698412699	0.21311475409836067	0.33333333333333337	0.31999999999999995	0.2786885245901639	0.34782608695652173	0.2142857142857143	0.2727272727272727	0.23333333333333328	0.3090909090909091	0.11475409836065575	0.24137931034482762	0.19999999999999996	0.180327868852459	0.2727272727272727	0.2068965517241379	0.36	0.5111111111111111
Strategic Plan for Elimination of Childhood Lead Poisoning	0.28	0.31818181818181823	0.3076923076923077	0.0	0.19999999999999996	0.29824561403508776	0.23636363636363633	0.19999999999999996	0.21739130434782605	0.33333333333333337	0.20833333333333337	0.3846153846153846	0.2941176470588235	0.17391304347826086	0.21568627450980393	0.23404255319148937	0.19148936170212771	0.23076923076923073	0.34545454545454546	0.3207547169811321	0.2093023255813954	0.38095238095238093	0.2075471698113207	0.26315789473684215	0.20833333333333337	0.23404255319148937	0.3076923076923077	0.36170212765957444	0.24528301886792447	0.16000000000000003	0.33333333333333337	0.28301886792452835	0.27586206896551724	0.19999999999999996	0.33333333333333337	0.3513513513513513
The Benefits and Costs of the Clean Air Act 1970 to 1990	0.4117647058823529	0.24444444444444446	0.3207547169811321	0.3023255813953488	0.36585365853658536	0.3448275862068966	0.3928571428571429	0.4117647058823529	0.44680851063829785	0.4285714285714286	0.3877551020408163	0.4	0.42307692307692313	0.3191489361702128	0.3846153846153846	0.375	0.33333333333333337	0.3584905660377359	0.3214285714285714	0.37037037037037035	0.36363636363636365	0.39534883720930236	0.40740740740740744	0.4358974358974359	0.3877551020408163	0.375	0.3584905660377359	0.45833333333333337	0.37037037037037035	0.2941176470588235	0.4137931034482759	0.4444444444444444	0.35593220338983056	0.37254901960784315	0.4418604651162791	0.42105263157894735
Air Quality Guidelines for Europe Second Edition	0.28	0.36363636363636365	0.42307692307692313	0.2857142857142857	0.4	0.33333333333333337	0.3090909090909091	0.28	0.26086956521739135	0.25	0.375	0.28205128205128205	0.33333333333333337	0.30434782608695654	0.2941176470588235	0.276595744680851	0.3191489361702128	0.34615384615384615	0.3090909090909091	0.24528301886792447	0.2093023255813954	0.38095238095238093	0.3207547169811321	0.3157894736842105	0.25	0.276595744680851	0.3076923076923077	0.3191489361702128	0.28301886792452835	0.31999999999999995	0.29824561403508776	0.24528301886792447	0.3448275862068966	0.28	0.2857142857142857	0.45945945945945943
Calculating Benefit PerTon Estimates	0.34693877551020413	0.34883720930232553	0.2941176470588235	0.1707317073170732	0.28205128205128205	0.3214285714285714	0.2962962962962963	0.30612244897959184	0.33333333333333337	0.3191489361702128	0.276595744680851	0.368421052631579	0.36	0.19999999999999996	0.36	0.21739130434782605	0.21739130434782605	0.21568627450980393	0.37037037037037035	0.3846153846153846	0.23809523809523814	0.46341463414634143	0.3076923076923077	0.2432432432432432	0.3191489361702128	0.26086956521739135	0.2941176470588235	0.30434782608695654	0.34615384615384615	0.30612244897959184	0.3571428571428571	0.34615384615384615	0.29824561403508776	0.26530612244897955	0.31707317073170727	0.4444444444444444
Circular A4	0.5897435897435898	0.5151515151515151	0.6097560975609756	0.5483870967741935	0.5172413793103448	0.6086956521739131	0.5909090909090908	0.5897435897435898	0.6	0.5675675675675675	0.6216216216216216	0.4285714285714286	0.55	0.5428571428571429	0.6	0.5	0.5555555555555556	0.6097560975609756	0.6363636363636364	0.5714285714285714	0.5625	0.7419354838709677	0.6190476190476191	0.4814814814814815	0.6216216216216216	0.5	0.6097560975609756	0.5555555555555556	0.6190476190476191	0.5897435897435898	0.6521739130434783	0.6190476190476191	0.6170212765957447	0.5897435897435898	0.4838709677419355	0.6153846153846154
Email from Khan Sikander to Sorrels Larry	0.30612244897959184	0.39534883720930236	0.4117647058823529	0.1707317073170732	0.33333333333333337	0.3928571428571429	0.33333333333333337	0.26530612244897955	0.28888888888888886	0.36170212765957444	0.3191489361702128	0.42105263157894735	0.36	0.28888888888888886	0.28	0.34782608695652173	0.30434782608695654	0.33333333333333337	0.37037037037037035	0.34615384615384615	0.2857142857142857	0.36585365853658536	0.3076923076923077	0.3513513513513513	0.276595744680851	0.34782608695652173	0.37254901960784315	0.4347826086956522	0.3076923076923077	0.26530612244897955	0.3571428571428571	0.34615384615384615	0.368421052631579	0.30612244897959184	0.41463414634146345	0.38888888888888884
Lead Exposure and the Motor Development Status of Urban Sixyearold Children in the Cincinnati Prospective Study	0.2068965517241379	0.3076923076923077	0.30000000000000004	0.19999999999999996	0.29166666666666663	0.29230769230769227	0.1428571428571429	0.0	0.18518518518518523	0.2857142857142857	0.2142857142857143	0.36170212765957444	0.22033898305084743	0.18518518518518523	0.2542372881355932	0.19999999999999996	0.1636363636363637	0.16666666666666663	0.2698412698412699	0.21311475409836067	0.2549019607843137	0.36	0.180327868852459	0.34782608695652173	0.1785714285714286	0.2727272727272727	0.23333333333333328	0.34545454545454546	0.24590163934426235	0.24137931034482762	0.32307692307692304	0.24590163934426235	0.21212121212121215	0.13793103448275867	0.28	0.5111111111111111
Letter from CASAC Chairman Rogene Henderson to EPA Administrator Stephen Johnson	0.3207547169811321	0.3191489361702128	0.38181818181818183	0.15555555555555556	0.3023255813953488	0.2666666666666667	0.27586206896551724	0.28301886792452835	0.30612244897959184	0.2941176470588235	0.2941176470588235	0.4285714285714286	0.33333333333333337	0.26530612244897955	0.2222222222222222	0.28	0.24	0.3090909090909091	0.3448275862068966	0.3571428571428571	0.26086956521739135	0.37777777777777777	0.2857142857142857	0.36585365853658536	0.2549019607843137	0.31999999999999995	0.3090909090909091	0.36	0.2857142857142857	0.16981132075471694	0.33333333333333337	0.2857142857142857	0.24590163934426235	0.28301886792452835	0.33333333333333337	0.4
Personal communication of Skiander Khan with Larry Sorrels	0.2692307692307693	0.34782608695652173	0.37037037037037035	0.18181818181818177	0.2857142857142857	0.35593220338983056	0.26315789473684215	0.23076923076923073	0.20833333333333337	0.31999999999999995	0.28	0.31707317073170727	0.28301886792452835	0.25	0.28301886792452835	0.30612244897959184	0.30612244897959184	0.2962962962962963	0.33333333333333337	0.3090909090909091	0.28888888888888886	0.36363636363636365	0.2727272727272727	0.35	0.24	0.30612244897959184	0.33333333333333337	0.3877551020408163	0.23636363636363633	0.2692307692307693	0.3220338983050848	0.3090909090909091	0.33333333333333337	0.2692307692307693	0.36363636363636365	0.4358974358974359
Revised Methodology for Estimating Lead Emissions from PistonEngine Aircraft Operating on Leaded Aviation Gasoline	0.25	0.28	0.3793103448275862	0.20833333333333337	0.30434782608695654	0.2063492063492064	0.21311475409836067	0.2142857142857143	0.23076923076923073	0.2222222222222222	0.2962962962962963	0.28888888888888886	0.26315789473684215	0.2692307692307693	0.19298245614035092	0.2075471698113207	0.2075471698113207	0.24137931034482762	0.2786885245901639	0.288135593220339	0.26530612244897955	0.375	0.2542372881355932	0.2272727272727273	0.18518518518518523	0.24528301886792447	0.1724137931034483	0.24528301886792447	0.22033898305084743	0.1785714285714286	0.23809523809523814	0.18644067796610164	0.21875	0.25	0.375	0.39534883720930236
Supplemental IQ Gain Calculations Using Two Additional ConcentrationResponse Functions	0.1785714285714286	0.28	0.31034482758620685	0.33333333333333337	0.3913043478260869	0.33333333333333337	0.24590163934426235	0.3571428571428571	0.3076923076923077	0.2592592592592593	0.40740740740740744	0.33333333333333337	0.29824561403508776	0.2692307692307693	0.26315789473684215	0.24528301886792447	0.28301886792452835	0.3448275862068966	0.4098360655737705	0.288135593220339	0.30612244897959184	0.29166666666666663	0.35593220338983056	0.40909090909090906	0.2962962962962963	0.3584905660377359	0.3448275862068966	0.28301886792452835	0.3220338983050848	0.3571428571428571	0.2698412698412699	0.3220338983050848	0.3125	0.3214285714285714	0.375	0.4883720930232558
Memo to the Docket from Marion Hoyer 	0.4782608695652174	0.5	0.5	0.368421052631579	0.5	0.4716981132075472	0.4117647058823529	0.34782608695652173	0.47619047619047616	0.2727272727272727	0.5	0.37142857142857144	0.4893617021276596	0.38095238095238093	0.44680851063829785	0.4418604651162791	0.4418604651162791	0.41666666666666663	0.4117647058823529	0.4693877551020408	0.4871794871794872	0.5789473684210527	0.4693877551020408	0.3529411764705882	0.40909090909090906	0.4418604651162791	0.45833333333333337	0.4883720930232558	0.4693877551020408	0.3913043478260869	0.4716981132075472	0.5102040816326531	0.4444444444444444	0.4782608695652174	0.42105263157894735	0.3939393939393939
BenMAP User Manual	0.5238095238095238	0.5	0.5909090909090908	0.5294117647058824	0.4375	0.5510204081632653	0.5319148936170213	0.47619047619047616	0.5263157894736843	0.5	0.55	0.3548387096774194	0.5348837209302326	0.5789473684210527	0.627906976744186	0.4358974358974359	0.4871794871794872	0.5454545454545454	0.4893617021276596	0.5555555555555556	0.48571428571428577	0.5294117647058824	0.6	0.4666666666666667	0.5	0.5384615384615384	0.5454545454545454	0.4871794871794872	0.5555555555555556	0.5714285714285714	0.5918367346938775	0.5555555555555556	0.56	0.5714285714285714	0.47058823529411764	0.5862068965517242
Air Quality Criteria for Lead and Related Photochemical Oxidants	0.2962962962962963	0.29166666666666663	0.3928571428571429	0.21739130434782605	0.2727272727272727	0.21311475409836067	0.2542372881355932	0.2222222222222222	0.28	0.2692307692307693	0.2692307692307693	0.2558139534883721	0.23636363636363633	0.24	0.2727272727272727	0.21568627450980393	0.21568627450980393	0.25	0.35593220338983056	0.26315789473684215	0.276595744680851	0.4347826086956522	0.26315789473684215	0.33333333333333337	0.3076923076923077	0.21568627450980393	0.2142857142857143	0.33333333333333337	0.22807017543859653	0.2222222222222222	0.2786885245901639	0.22807017543859653	0.22580645161290325	0.2592592592592593	0.34782608695652173	0.41463414634146345
Clean Air Act	0.5	0.3529411764705882	0.5238095238095238	0.375	0.4	0.5319148936170213	0.5111111111111111	0.5	0.5	0.4736842105263158	0.5263157894736843	0.31034482758620685	0.46341463414634143	0.4444444444444444	0.46341463414634143	0.4054054054054054	0.45945945945945943	0.5238095238095238	0.5555555555555556	0.4883720930232558	0.4545454545454546	0.5625	0.5348837209302326	0.2857142857142857	0.4736842105263158	0.4054054054054054	0.5238095238095238	0.45945945945945943	0.5348837209302326	0.44999999999999996	0.574468085106383	0.5348837209302326	0.5416666666666667	0.5	0.375	0.40740740740740744
Economic Analysis for the TSCA Lead Renovation Repair and Painting Program Final Rule for Target Housing and ChildOccupied Facilities	0.16666666666666663	0.2592592592592593	0.32258064516129037	0.1923076923076923	0.28	0.16417910447761197	0.1384615384615384	0.19999999999999996	0.2142857142857143	0.24137931034482762	0.24137931034482762	0.30612244897959184	0.21311475409836067	0.2142857142857143	0.180327868852459	0.1578947368421053	0.19298245614035092	0.19354838709677424	0.2615384615384615	0.23809523809523814	0.24528301886792447	0.3846153846153846	0.2063492063492064	0.29166666666666663	0.2068965517241379	0.22807017543859653	0.16129032258064513	0.22807017543859653	0.2063492063492064	0.1333333333333333	0.16417910447761197	0.17460317460317465	0.08823529411764708	0.16666666666666663	0.3076923076923077	0.4042553191489362
National Primary and Secondary Ambient Air Quality Standards for Lead	0.3076923076923077	0.34782608695652173	0.37037037037037035	0.2272727272727273	0.33333333333333337	0.3220338983050848	0.29824561403508776	0.23076923076923073	0.29166666666666663	0.31999999999999995	0.28	0.2682926829268293	0.3207547169811321	0.33333333333333337	0.3207547169811321	0.26530612244897955	0.34693877551020413	0.2962962962962963	0.29824561403508776	0.3090909090909091	0.28888888888888886	0.40909090909090906	0.3090909090909091	0.30000000000000004	0.24	0.22448979591836737	0.2962962962962963	0.34693877551020413	0.1636363636363637	0.2692307692307693	0.288135593220339	0.1636363636363637	0.33333333333333337	0.2692307692307693	0.2727272727272727	0.4871794871794872
