	The Behavioral Economics of Retirement Savings Behavior AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows	Number 1210–NEW Affected Public Business or other forprofit Estimated Number of Respondents 16000 Estimated Number of Annual Responses 20656000 Frequency of Response Initially Annually Upon Request when a material change Estimated Total Annual Burden Hours 8398000 hours in the first year 5776000 hours in each subsequent year Estimated Total Annual Burden Cost 642541000 for the first year 493242000 for each subsequent year	List of Subjects in 29 CFR Part 2550 Employee benefit plans Exemptions Fiduciaries Investments Pensions Prohibited transactions Reporting and recordkeeping requirements and 1 The authority citation for part 2550 is revised to read as follows	Sec 2550401b–1 also issued under sec 102 Reorganization Plan No	Sec 2550401c–1 also issued under 29 USC 1101 Sec 2550404c–1 also issued under 29 USC 1104 Sec 2550407c–3 also issued under 29 USC 1107 Sec 2550404a–2 also issued under 26 USC 401 note sec 657 Pub L 107–16 115 Stat 38 Sec 2550408b–1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No 4 of 1978 3 CFR 1978 Comp p 332 effective Dec 31 1978 44 FR	Add § 2550408g–1 to read as follows	Section 408g1 of the Employee Retirement Income Security Advice Exemption Notification— Statutory US Department of Labor Employee Benefits Security Administration Room N–1513 200 Constitution Ave	For purposes of paragraph j6i Signed at Washington DC this 15th day of August
Financial Planning On the Issue of Advice	0.8020833333333334	0.8863636363636364	0.9203747072599532	0.8796680497925311	0.8461538461538461	0.927027027027027	0.8780487804878049	0.8894472361809045	0.7662337662337663
Generally Accepted Investment Theories	0.8125	0.7954545454545454	0.927400468384075	0.8755186721991701	0.8153846153846154	0.9324324324324325	0.9473684210526315	0.8743718592964824	0.8181818181818182
HighQuality Financial Advice Wanted	0.8020833333333334	0.8636363636363636	0.936768149882904	0.8962655601659751	0.8461538461538461	0.9405405405405406	0.9473684210526315	0.8844221105527639	0.8311688311688312
How to Invest Over the Life Cycle a Review	0.8125	0.8863636363636364	0.9320843091334895	0.8713692946058091	0.8153846153846154	0.9243243243243243	0.8333333333333334	0.8693467336683417	0.8051948051948052
Intermediated Investment Management	0.8333333333333334	0.8181818181818182	0.927400468384075	0.8755186721991701	0.8153846153846154	0.9378378378378378	0.9210526315789473	0.8793969849246231	0.8441558441558441
Investment Advice Survey 2001	0.84375	0.8409090909090909	0.9437939110070258	0.9045643153526971	0.8769230769230769	0.9513513513513514	0.9210526315789473	0.8793969849246231	0.8831168831168831
Investment Mistakes of Individual Investors and the Impact of Financial Advice	0.8020833333333334	0.7692307692307693	0.8688524590163934	0.8091286307053942	0.8205128205128205	0.8972972972972973	0.8461538461538461	0.8241206030150754	0.8717948717948718
Investor Behavior in the Mutual Fund Industry Evidence from Gross Flows	0.7916666666666666	0.7464788732394366	0.882903981264637	0.8298755186721992	0.8450704225352113	0.9	0.8028169014084507	0.8391959798994975	0.8441558441558441
Investor Profile and Asset Allocation Advice	0.78125	0.8863636363636364	0.9156908665105387	0.8672199170124482	0.7384615384615385	0.9243243243243243	0.9318181818181818	0.8592964824120602	0.7922077922077922
Investor Timing and Fund Distribution Channels	0.7916666666666666	0.8695652173913043	0.9133489461358314	0.8589211618257261	0.7692307692307693	0.927027027027027	0.8695652173913043	0.864321608040201	0.7662337662337663
LifeCycle Funds	0.9270833333333334	0.7954545454545454	0.9718969555035128	0.941908713692946	0.9076923076923077	0.9702702702702702	0.9210526315789473	0.9447236180904522	0.9090909090909091
NonMarket Wealth Background Risk and Portfolio Choice	0.8125	0.8301886792452831	0.9110070257611241	0.8589211618257261	0.7846153846153846	0.9081081081081082	0.8113207547169812	0.8592964824120602	0.8051948051948052
Optimal Asset Location and Allocation with Taxable and TaxDeferred Investing	0.8125	0.8026315789473685	0.8805620608899297	0.8257261410788381	0.8947368421052632	0.8918918918918919	0.8289473684210527	0.8090452261306532	0.8701298701298701
Personalized Retirement Advice and Managed Accounts Who Uses Them and How Does Advice Affect Behavior in 401k Plans	0.782608695652174	0.8260869565217391	0.8430913348946136	0.7842323651452282	0.7913043478260869	0.8567567567567568	0.8521739130434782	0.7386934673366834	0.782608695652174
Portfolio Allocation Choices in Taxable and TaxDeferred Accounts An Empirical Analysis of TaxEfficiency	0.8058252427184466	0.8252427184466019	0.8501170960187353	0.7966804979253111	0.8349514563106796	0.8729729729729729	0.8737864077669902	0.7939698492462312	0.7766990291262136
Portfolio Transactions Costs at US Equity Mutual Funds	0.7916666666666666	0.7222222222222222	0.9016393442622951	0.8464730290456431	0.8615384615384616	0.9216216216216216	0.8518518518518519	0.8391959798994975	0.7402597402597403
Regulating Markets for Retirement Payouts Solvency Supervision and Credibility	0.6979166666666666	0.7692307692307693	0.8758782201405152	0.8132780082987552	0.8461538461538461	0.8891891891891892	0.8589743589743589	0.7989949748743719	0.8846153846153846
Survey Findings Hot Topics in Retirement 2007	0.7916666666666666	0.7777777777777778	0.9180327868852459	0.8630705394190872	0.8153846153846154	0.918918918918919	0.8888888888888888	0.8592964824120602	0.8051948051948052
The Economics of MutualFund Brokerage Evidence from the Cross Section of Investment Channels	0.75	0.7608695652173914	0.8571428571428571	0.8049792531120332	0.7717391304347826	0.8729729729729729	0.8586956521739131	0.7939698492462312	0.782608695652174
The Economics of Providing 401k Plans Services Fees and Expenses 2006	0.6979166666666666	0.7101449275362319	0.8899297423887588	0.8298755186721992	0.8405797101449275	0.8972972972972973	0.8260869565217391	0.8241206030150754	0.8181818181818182
The Efficiency of Pension Plan Investment Menus Investment Choices in Defined Contribution Pension Plans	0.7307692307692307	0.7307692307692307	0.8384074941451991	0.7427385892116183	0.7596153846153846	0.8702702702702703	0.875	0.7788944723618091	0.7884615384615384
The NUA Benefit and Optimal Investment in Company Stock in 401k Accounts	0.7708333333333334	0.7361111111111112	0.8782201405152225	0.7966804979253111	0.8055555555555556	0.9	0.8472222222222222	0.7989949748743719	0.8181818181818182
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.75	0.7368421052631579	0.8711943793911007	0.8091286307053942	0.8289473684210527	0.8972972972972973	0.8289473684210527	0.8190954773869347	0.7922077922077922
The Role of Company Stock in 401k Plans	0.78125	0.6590909090909091	0.9344262295081968	0.8921161825726142	0.8	0.9324324324324325	0.8205128205128205	0.8693467336683417	0.7792207792207793
The Role of Company Stock in Defined Contribution Plans	0.7395833333333334	0.7090909090909091	0.9063231850117096	0.8547717842323651	0.7076923076923077	0.9081081081081082	0.8	0.8291457286432161	0.7272727272727273
Transfer Activity in 401k Plans	0.8020833333333334	0.7727272727272727	0.9437939110070258	0.9128630705394191	0.8153846153846154	0.9432432432432433	0.868421052631579	0.8994974874371859	0.8311688311688312
Why Do Mutual Fund Investors Use Professional Financial Advisers	0.7916666666666666	0.734375	0.8852459016393442	0.8174273858921162	0.8615384615384616	0.9	0.8125	0.8341708542713567	0.8311688311688312
Winners and Losers 401k Trading and Portfolio Performance	0.7916666666666666	0.8245614035087719	0.8992974238875878	0.8464730290456431	0.8615384615384616	0.8972972972972973	0.8070175438596491	0.8492462311557789	0.8181818181818182
Yet Another Puzzle Relation Between Price and Performance in the Mutual Fund Industry	0.8229166666666666	0.6941176470588235	0.8594847775175644	0.7842323651452282	0.7764705882352941	0.8864864864864865	0.8352941176470589	0.7839195979899497	0.8
Company Stock in Pension Plans How Costly Is It	0.78125	0.851063829787234	0.9203747072599532	0.8547717842323651	0.8461538461538461	0.9162162162162162	0.8085106382978723	0.8542713567839196	0.7792207792207793
Asset Allocation and Asset Location Household Evidence from the Survey of Consumer Finances	0.8020833333333334	0.7802197802197802	0.8594847775175644	0.7925311203319502	0.7802197802197802	0.8783783783783784	0.8461538461538461	0.7738693467336684	0.8241758241758241
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industry	0.8020833333333334	0.6197183098591549	0.8711943793911007	0.8174273858921162	0.8732394366197183	0.8918918918918919	0.8309859154929577	0.8241206030150754	0.7922077922077922
Down or Out Assessing the Welfare Costs of Household Investment Mistakes	0.78125	0.7638888888888888	0.8758782201405152	0.8340248962655602	0.8611111111111112	0.9027027027027027	0.8055555555555556	0.8241206030150754	0.8701298701298701
Are Investors Rational Choices Among Index Funds	0.78125	0.7291666666666666	0.9156908665105387	0.8672199170124482	0.8461538461538461	0.927027027027027	0.8541666666666666	0.8592964824120602	0.7792207792207793
Asset Location in TaxDeferred and Conventional Savings Accounts	0.7916666666666666	0.7142857142857143	0.8992974238875878	0.8381742738589212	0.8461538461538461	0.9054054054054054	0.8095238095238095	0.8291457286432161	0.7922077922077922
The Adequacy of Investment Choices Offered By 401k Plans	0.7395833333333334	0.6964285714285714	0.9016393442622951	0.8589211618257261	0.8	0.9135135135135135	0.7857142857142857	0.8492462311557789	0.8181818181818182
Out of Sight Out of Mind The Effects of Expenses on Mutual Fund Flows	0.7916666666666666	0.36231884057971014	0.8875878220140515	0.8174273858921162	0.8405797101449275	0.9054054054054054	0.7971014492753623	0.8190954773869347	0.8051948051948052
Product Differentiation Search Costs and Competition in the Mutual Fund Industry A Case Study of SP 500 Index Funds	0.8173913043478261	0.7565217391304347	0.8290398126463701	0.7634854771784232	0.808695652173913	0.8540540540540541	0.8608695652173913	0.7638190954773869	0.782608695652174
Individual Account Investment Options and Portfolio Choice Behavioral Lessons from 401k Plans	0.7916666666666666	0.8279569892473119	0.8641686182669789	0.7925311203319502	0.8172043010752689	0.8864864864864865	0.8172043010752689	0.7839195979899497	0.8494623655913979
The Use and Abuse of Mutual Fund Expenses	0.8020833333333334	0.5227272727272727	0.9250585480093677	0.8962655601659751	0.8307692307692308	0.927027027027027	0.8536585365853658	0.8743718592964824	0.7922077922077922
Are Stocks Desirable in TaxDeferred Accounts	0.8020833333333334	0.7727272727272727	0.9227166276346604	0.8755186721991701	0.8307692307692308	0.9297297297297298	0.8409090909090909	0.8793969849246231	0.7922077922077922
ManagerInvestor Conflicts in Mutual Funds	0.8125	0.6136363636363636	0.927400468384075	0.8755186721991701	0.8615384615384616	0.9324324324324325	0.926829268292683	0.8743718592964824	0.7792207792207793
Why Does the Law of One Price Fail An Experiment on Index Mutual Funds	0.7708333333333334	0.6571428571428571	0.8852459016393442	0.8298755186721992	0.8714285714285714	0.9	0.8428571428571429	0.8140703517587939	0.7792207792207793
