	Number: 1210–NEW. Affected Public: Business or other forprofit. Estimated Number of Respondents: 16,000. Estimated Number of Annual Responses: 20,789,000. Frequency of Response: Initially, Annually, Upon Request, when a material change. Estimated Total Annual Burden Hours: 16,126,000 hours in the first year; 13,504,000 hours in each subsequent year. Estimated Total Annual Burden Cost: $642,552,000 for the first year; $493,253,000 for each subsequent year.	List of Subjects in 29 CFR Part 2550 Employee benefit plans, Exemptions, Fiduciaries, Investments, Pensions, Prohibited transactions, Reporting and recordkeeping requirements, and Labor’s Order No.	Sec. 2550.401b–1 also issued under sec. 102, Reorganization Plan No.	Sec. 2550.401c–1 also issued under 29 U.S.C. 1101. Sections 2550.404c–1 and 2550.404c– 5 also issued under 29 U.S.C. 1104. Sec. 2550.407c–3 also issued under 29 U.S.C. 1107. Sec. 2550.404a–2 also issued under 26 U.S.C. 401 note (sec. 657, Pub. L. 107–16, 115 Stat. 38). Sec. 2550.408b–1 also issued under 29 U.S.C. 1108(b)(1) and sec. 102, Reorganization Plan No.	2550.408g–1 also issued under sec. 102, Reorganization Plan No. 4 of 1978, 3 CFR,	For purposes of paragraph (c)(6)(i) retirement ages, life expectancies, income levels, financial resources, replacement income ratios, inflation VerDate Nov<24>2008	Add § 2550.408g–2 to read as follows:	Section 408(g)(11)(A) of the Employee Retirement Income accordance with 29 CFR 2550.408g– 1(b)(5); and (v) Is maintained in accordance with 29 CFR 2550.408g–1(e).	this 9th day of January,
The Influence of Financial Advice on Individual Investor Portfolio Performance	0.8717948717948718	0.7853403141361257	0.8076923076923077	0.8738738738738738	0.9102564102564102	0.7814569536423841	0.8333333333333334	0.8108108108108109	0.8589743589743589
The Use and Abuse of Mutual Fund Expenses	0.9254079254079254	0.8743455497382199	0.8307692307692308	0.918918918918919	0.8311688311688312	0.8543046357615894	0.8536585365853658	0.8648648648648649	0.7560975609756098
Yet Another Puzzle Relation Between Price and Performance in the Mutual Fund Industry	0.8601398601398601	0.7591623036649214	0.7764705882352941	0.8678678678678678	0.8352941176470589	0.7814569536423841	0.8352941176470589	0.7635135135135135	0.8235294117647058
Are Mutual Fund Fees Competitive What IQRelated Behavior Tells Us	0.8927738927738927	0.8324607329842932	0.8307692307692308	0.8978978978978979	0.8311688311688312	0.7880794701986755	0.7846153846153846	0.8378378378378378	0.8461538461538461
Financial Literacy and Mutual Fund Investments Who Buys Actively Managed Funds	0.8834498834498834	0.774869109947644	0.8076923076923077	0.8798798798798799	0.9102564102564102	0.8013245033112583	0.8589743589743589	0.8175675675675675	0.8461538461538461
Investment Returns Defined Benefits vs 401k Plans	0.9114219114219114	0.837696335078534	0.8	0.9099099099099099	0.8051948051948052	0.8278145695364238	0.8367346938775511	0.831081081081081	0.8367346938775511
Pension Participant Knowledge About Plan Fees	0.9230769230769231	0.8534031413612565	0.8	0.9159159159159159	0.8181818181818182	0.8211920529801324	0.8666666666666667	0.8513513513513513	0.7777777777777778
The Economics of Providing 401k Plans Services Fees and Expenses 2006	0.8904428904428905	0.806282722513089	0.8405797101449275	0.8858858858858859	0.8701298701298701	0.7615894039735099	0.8405797101449275	0.8040540540540541	0.855072463768116
The Performance of US Pension Funds	0.9324009324009324	0.8743455497382199	0.7846153846153846	0.9279279279279279	0.8311688311688312	0.8609271523178808	0.8421052631578947	0.8581081081081081	0.7714285714285715
Are SP 500 Index Mutual Funds Commodities	0.9300699300699301	0.8691099476439791	0.7846153846153846	0.9159159159159159	0.8441558441558441	0.8543046357615894	0.7560975609756098	0.8648648648648649	0.8536585365853658
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.8717948717948718	0.7905759162303665	0.8289473684210527	0.8828828828828829	0.8701298701298701	0.7417218543046358	0.8289473684210527	0.8040540540540541	0.868421052631579
Advisory Opinion	0.9673659673659674	0.93717277486911	0.8769230769230769	0.9669669669669669	0.8961038961038961	0.9205298013245033	0.8421052631578947	0.9324324324324325	0.8260869565217391
How Do Mutual Funds Fees Affect Investor Choices Evidence from Survey Experiments	0.8787878787878788	0.7853403141361257	0.8518518518518519	0.8828828828828829	0.8641975308641975	0.7682119205298014	0.8518518518518519	0.8243243243243243	0.8641975308641975
nan	0.993006993006993	0.9842931937172775	0.9538461538461539	0.990990990990991	0.961038961038961	0.9801324503311258	0.9736842105263158	0.9797297297297297	0.9130434782608695
Pension Protection Act of 2006	0.9370629370629371	0.8743455497382199	0.8153846153846154	0.9369369369369369	0.8051948051948052	0.8609271523178808	0.9210526315789473	0.8648648648648649	0.8333333333333334
Fiduciary Requirements for Disclosure in ParticipantDirected Individual Account Plans	0.8764568764568764	0.7853403141361257	0.7647058823529411	0.8648648648648649	0.8705882352941177	0.7615894039735099	0.8235294117647058	0.7972972972972973	0.8705882352941177
General Statutory Exemption for services or office space 	0.8951048951048951	0.8115183246073299	0.8307692307692308	0.9039039039039038	0.8311688311688312	0.8013245033112583	0.8245614035087719	0.8378378378378378	0.8596491228070176
Interpretative Bulletin relating to participant investment education	0.8834498834498834	0.7905759162303665	0.8823529411764706	0.8918918918918919	0.8701298701298701	0.7682119205298014	0.8529411764705882	0.8175675675675675	0.8235294117647058
Notice of adoption of revisions to annual returnreport forms	0.8764568764568764	0.7801047120418848	0.8923076923076924	0.8948948948948949	0.8181818181818182	0.7350993377483444	0.8166666666666667	0.8108108108108109	0.8
Reasonable Contract or Arrangement under Section 408b2�Fee Disclosure Proposed Rule	0.8764568764568764	0.7905759162303665	0.7590361445783133	0.8618618618618619	0.8192771084337349	0.7682119205298014	0.8554216867469879	0.7905405405405406	0.8795180722891566
Reorganization Plan No 4 of 1978	0.9417249417249417	0.8952879581151832	0.8153846153846154	0.9369369369369369	0.5844155844155844	0.8543046357615894	0.868421052631579	0.8716216216216216	0.8125
Mutual Fund Advisory Contracts An Empirical Investigation	0.9020979020979021	0.837696335078534	0.8769230769230769	0.8978978978978979	0.8181818181818182	0.8278145695364238	0.8596491228070176	0.8513513513513513	0.8070175438596491
Costly Search and Mutual Fund Flows	0.9347319347319347	0.8795811518324608	0.8461538461538461	0.924924924924925	0.8441558441558441	0.8741721854304636	0.7894736842105263	0.8581081081081081	0.8285714285714286
Are Investors Rational Choices Among Index Funds	0.916083916083916	0.837696335078534	0.8461538461538461	0.9129129129129129	0.8311688311688312	0.8278145695364238	0.8541666666666666	0.8581081081081081	0.7916666666666666
Mutual Fund FeeSetting Market Structure and MarkUps	0.9090909090909091	0.8219895287958116	0.8769230769230769	0.9099099099099099	0.8311688311688312	0.8410596026490066	0.8235294117647058	0.8581081081081081	0.803921568627451
Out of Sight Out of Mind The Effects of Expenses on Mutual Fund Flows	0.8881118881118881	0.7958115183246073	0.8405797101449275	0.8948948948948949	0.8441558441558441	0.7880794701986755	0.7971014492753623	0.8108108108108109	0.8115942028985508
Product Differentiation Search Costs and Competition in the Mutual Fund Industry A Case Study of SP 500 Index Funds	0.8275058275058275	0.7853403141361257	0.808695652173913	0.8318318318318318	0.8173913043478261	0.7880794701986755	0.8608695652173913	0.8243243243243243	0.8608695652173913
The Determinants of the Flow of Funds of Managed Portfolios Mutual Funds vs Pension Funds	0.8624708624708625	0.7905759162303665	0.8089887640449438	0.8588588588588588	0.8202247191011236	0.7880794701986755	0.8314606741573034	0.8040540540540541	0.8202247191011236
Mutual Fund Advisory Fees The Cost of Conflicts of Interest	0.8951048951048951	0.8272251308900523	0.8461538461538461	0.8978978978978979	0.7922077922077922	0.8211920529801324	0.8305084745762712	0.8378378378378378	0.7966101694915254
Why Does the Law of One Price Fail An Experiment on Index Mutual Funds	0.8857808857808858	0.8010471204188482	0.8714285714285714	0.8858858858858859	0.8311688311688312	0.7814569536423841	0.8428571428571429	0.8040540540540541	0.8
