	Distribution of Employment within Food Manufacturing (NAICS 311):	Bureau; generated by RTI International; using American FactFinder; â€œSector 00: All sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Animal Slaughtering and Processing made up the largest share of both employment (33%) and the value of shipments (27%)	Census Bureau; generated by RTI International; using American FactFinder; â€œSector 31: Manufacturing: Geographic Area Series: Industry Statistics for the States, Metropolitan and Micropolitan Statistical Areas, Counties, and Places:	Department of Energy, Energy Information Administration.	Census Bureau; generated by RTI International; using American FactFinder; â€œSector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Bureau; generated by Kapur Energy and Environment; using American FactFinder; â€œSector 00: EC0700A1: All Sectors: Geographic Area Series: Economy-Wide Key Statistics:	Bureau; generated by Kapur Energy and Environment; using American FactFinder; â€œSector 31: EC0731I1: Manufacturing: Industry Series: Detailed Statistics by Industry for the United States: 2007.â€ Accessed on	Firm Size Data from the Statistics of U.S. Businesses: U.S. Detail Employment Sizes:	Paper & Forest Products.	Assessing the Employment Impacts of Environmental and Natural Resource Policy.â€ Environmental and Resource Economics	Environmental regulation and labor demand: Evidence from the south coast air basin.	Do environmental regulations cost jobs? An industry-level analysis of the UK.	Transforming: The Dow Chemical Company	Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish.	Jobs versus the Environment: An Industry-Level Perspective.â€	What Determines the Value of Life?	Estimating the Public Health Benefits of Proposed Air Pollution Regulations.	Chemicals.â€ Standard and Poorâ€™s Industry Surveys.	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.â€	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.â€ Environ. Sci. Technol.	Applying General Equilibrium. New York:	of Economic Analysis (BEA).	Producer Price Index. Series ID:PCU321â€”321â€”& PCUOMFGâ€”OMFGâ€”<http://www.bls.gov/ppi/home.htm&gt;. (Data accessed on	Producer Price Index. Series ID:PCU322â€“322â€“ & PCUOMFGâ€“OMFGâ€“.	of Labor Statistics (BLS).	Producer Price Index.â€ Series ID: PCU3313â€“ 3313â€“ & PCUOMFGâ€“OMFGâ€“.	Economic Census: Sector 00: All sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Economic Census: Sector 22: Utilities: Geographic Area Series: Summary Statistics:	Census of Governments, Volume 4, Number 3, Finances of County Governments:	Census of Governments, Volume 4, Number 4, Finances of Municipal and Township Governments:	Exclusions from the Economic Census.â€	NAICS Definition.â€ sssd/naics/naicsrch?code=324&search=2002%20NAICS%20Search&gt;.	Department of Energy, Energy Information Administration. 2010d. â€œElectric Power Annual 2008: Table 8.1, Table 8.3, Table 8.4, Table 8.5,	Occupational Safety and Health Administration (OSHA).	As obtained on	Producer Price Indexes. Id: PCU311â€”311â€”Food Manufacturing & PCUOMFGâ€“OMFGâ€“Total Manufacturing&gt;.	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	Environmental Protection Agency.	Regulatory Impact Analysis,	Regulatory Impact Analysis: National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry. Office of Air Quality Planning and Standards, Research Triangle Park,	Environmental Protection Agency (U.S.	Integrated Science Assessment for Particulate Matter (Final Report). EPA-600-R-08-139F. National Center for Environmental Assessmentâ€”RTP Division. December. Available at TO: Jim Eddinger, U.S. Environmental Protection Agency, OAQPS/SPPD FROM: Susan McClutchey, Amanda Singleton, and Graham Gibson,	Methodology for Estimating Control Costs for the Major Source Industrial, Commercial and Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants.	New Unit Analysis for Industrial, Commercial, and Institutional Boilers and Process Heaters at Major Sources.	Delivered Fuel Prices to Industrial and Commercial Clients.	Department of Energy, EIA. Annual Energy Outlook 2009. Table 2. Energy Consumption by Sector	MACT Floor Analysis for the Industrial, Commercial, Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	New Unit Analysis Industrial, Commercial, and Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	Methodology for Estimating Control Costs for Industrial, Commercial, Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	Methodology for Estimating Control Costs for Industrial, Commercial, Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants â€“ Major Source.	Development of Baseline Emission Factors for Boilers and Process Heaters at Commercial, Industrial and Institutional Facilities.	Methodology for Developing Model Units for Industrial, Commercial, and Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	Department of Energy. Energy Information Administration. Annual Energy Outlook	Institute. Sector-Based Based Pollution Prevention: Toxic Reductions through Energy Efficiency and Conservation Among Industrial Boilers.
2002 Economic Census Sector 22 Utilities Geographic Area Series Summary Statistics 2002Ó	0.27586206896551724	0.2666666666666667	0.24528301886792447	0.32258064516129037	0.33333333333333337	0.34426229508196726	0.24590163934426235	0.28358208955223885	0.24	0.4871794871794872	0.3090909090909091	0.30434782608695654	0.2941176470588235	0.30434782608695654	0.29166666666666663	0.3584905660377359	0.40909090909090906	0.2941176470588235	0.33333333333333337	0.2962962962962963	0.29032258064516125	0.33333333333333337	0.4	0.33333333333333337	0.46153846153846156	0.5384615384615384	0.5094339622641509	0.17647058823529416	0.040000000000000036	0.36	0.37037037037037035	0.34782608695652173	0.3584905660377359	0.3548387096774194	0.25	0.5135135135135135	0.4385964912280702	0.28	0.23404255319148937	0.3023255813953488	0.24444444444444446	0.30000000000000004	0.24444444444444446	0.34246575342465757	0.2857142857142857	0.33333333333333337	0.3913043478260869	0.2142857142857143	0.35593220338983056	0.33333333333333337	0.31034482758620685	0.3220338983050848	0.37254901960784315	0.29032258064516125	0.30612244897959184	0.2727272727272727
2002 Energy Consumption by ManufacturersÑData TablesÓ Tables 32 N32 and 52	0.2063492063492064	0.32307692307692304	0.27586206896551724	0.31343283582089554	0.31999999999999995	0.303030303030303	0.36363636363636365	0.2777777777777778	0.34545454545454546	0.5	0.33333333333333337	0.2941176470588235	0.3214285714285714	0.2941176470588235	0.28301886792452835	0.4137931034482759	0.4285714285714286	0.3214285714285714	0.4285714285714286	0.3220338983050848	0.31343283582089554	0.39622641509433965	0.4666666666666667	0.3529411764705882	0.4736842105263158	0.5454545454545454	0.5172413793103448	0.3214285714285714	0.3090909090909091	0.3090909090909091	0.288135593220339	0.4117647058823529	0.3448275862068966	0.22388059701492535	0.3584905660377359	0.5238095238095238	0.3870967741935484	0.34545454545454546	0.3076923076923077	0.41666666666666663	0.36	0.29230769230769227	0.43999999999999995	0.3076923076923077	0.3114754098360656	0.35593220338983056	0.37254901960784315	0.21311475409836067	0.34375	0.3870967741935484	0.33333333333333337	0.34375	0.3214285714285714	0.31343283582089554	0.2962962962962963	0.33333333333333337
2006 Energy Consumption by ManufacturersÑData Tables Table 31	0.21311475409836067	0.33333333333333337	0.2857142857142857	0.29230769230769227	0.33333333333333337	0.28125	0.34375	0.2571428571428571	0.3207547169811321	0.5238095238095238	0.3793103448275862	0.30612244897959184	0.33333333333333337	0.26530612244897955	0.2941176470588235	0.4285714285714286	0.4042553191489362	0.33333333333333337	0.4444444444444444	0.33333333333333337	0.32307692307692304	0.4117647058823529	0.4418604651162791	0.33333333333333337	0.49090909090909096	0.5238095238095238	0.5	0.33333333333333337	0.28301886792452835	0.3207547169811321	0.33333333333333337	0.3877551020408163	0.3928571428571429	0.23076923076923073	0.37254901960784315	0.55	0.3666666666666667	0.3584905660377359	0.31999999999999995	0.3913043478260869	0.33333333333333337	0.33333333333333337	0.41666666666666663	0.2894736842105263	0.35593220338983056	0.4035087719298246	0.3877551020408163	0.18644067796610164	0.3870967741935484	0.43333333333333335	0.3770491803278688	0.3870967741935484	0.33333333333333337	0.3538461538461538	0.3076923076923077	0.3448275862068966
2006 Energy Consumption by ManufacturersÑData TablesÓ Table 31	0.22580645161290325	0.34375	0.29824561403508776	0.303030303030303	0.34693877551020413	0.29230769230769227	0.3538461538461538	0.2676056338028169	0.33333333333333337	0.5348837209302326	0.38983050847457623	0.31999999999999995	0.34545454545454546	0.28	0.3076923076923077	0.4385964912280702	0.41666666666666663	0.34545454545454546	0.4545454545454546	0.3448275862068966	0.33333333333333337	0.42307692307692313	0.4545454545454546	0.34328358208955223	0.5	0.5348837209302326	0.5087719298245614	0.34545454545454546	0.2962962962962963	0.33333333333333337	0.3448275862068966	0.4	0.4035087719298246	0.24242424242424243	0.3846153846153846	0.5609756097560976	0.3770491803278688	0.37037037037037035	0.33333333333333337	0.4042553191489362	0.34693877551020413	0.34375	0.4285714285714286	0.2987012987012987	0.3666666666666667	0.4137931034482759	0.4	0.19999999999999996	0.39682539682539686	0.4426229508196722	0.3870967741935484	0.39682539682539686	0.34545454545454546	0.36363636363636365	0.3207547169811321	0.35593220338983056
Corporation Source Book Data File 2005	0.39622641509433965	0.38181818181818183	0.41666666666666663	0.4385964912280702	0.5	0.4285714285714286	0.3928571428571429	0.3870967741935484	0.28888888888888886	0.4117647058823529	0.52	0.46341463414634143	0.4782608695652174	0.41463414634146345	0.39534883720930236	0.5416666666666667	0.4358974358974359	0.4347826086956522	0.4347826086956522	0.4285714285714286	0.4736842105263158	0.4883720930232558	0.5428571428571429	0.4137931034482759	0.44680851063829785	0.47058823529411764	0.5	0.30434782608695654	0.33333333333333337	0.4222222222222223	0.4285714285714286	0.46341463414634143	0.41666666666666663	0.4385964912280702	0.39534883720930236	0.5625	0.5	0.4666666666666667	0.47619047619047616	0.4736842105263158	0.4	0.4545454545454546	0.44999999999999996	0.5	0.4509803921568627	0.4285714285714286	0.31707317073170727	0.2941176470588235	0.4444444444444444	0.46153846153846156	0.4716981132075472	0.4814814814814815	0.30434782608695654	0.4385964912280702	0.40909090909090906	0.43999999999999995
Corporation Source Book Data File 2007	0.39622641509433965	0.38181818181818183	0.375	0.4385964912280702	0.5	0.4285714285714286	0.3571428571428571	0.3548387096774194	0.28888888888888886	0.4117647058823529	0.52	0.46341463414634143	0.4782608695652174	0.41463414634146345	0.39534883720930236	0.5416666666666667	0.4358974358974359	0.4347826086956522	0.4347826086956522	0.4285714285714286	0.4736842105263158	0.4883720930232558	0.5428571428571429	0.4137931034482759	0.44680851063829785	0.47058823529411764	0.5	0.30434782608695654	0.33333333333333337	0.4222222222222223	0.4285714285714286	0.46341463414634143	0.41666666666666663	0.4736842105263158	0.39534883720930236	0.5625	0.5	0.4666666666666667	0.47619047619047616	0.4736842105263158	0.4	0.4545454545454546	0.44999999999999996	0.5	0.4509803921568627	0.4285714285714286	0.31707317073170727	0.2941176470588235	0.4444444444444444	0.46153846153846156	0.4716981132075472	0.4814814814814815	0.30434782608695654	0.4385964912280702	0.40909090909090906	0.43999999999999995
Current and Historical Monthly Retail Sales Revenues and Average Revenue per Kilowatt hour by State and by Sector Form EIA826	0.18181818181818177	0.23529411764705888	0.24590163934426235	0.2571428571428571	0.3584905660377359	0.24637681159420288	0.24637681159420288	0.22666666666666668	0.3448275862068966	0.4893617021276596	0.2698412698412699	0.2962962962962963	0.288135593220339	0.37037037037037035	0.2857142857142857	0.3114754098360656	0.5	0.2542372881355932	0.3220338983050848	0.29032258064516125	0.22857142857142854	0.3928571428571429	0.5	0.2676056338028169	0.4666666666666667	0.574468085106383	0.5081967213114754	0.288135593220339	0.24137931034482762	0.3793103448275862	0.29032258064516125	0.4444444444444444	0.4098360655737705	0.3142857142857143	0.2857142857142857	0.5111111111111111	0.4461538461538461	0.31034482758620685	0.34545454545454546	0.37254901960784315	0.28301886792452835	0.23529411764705888	0.3584905660377359	0.2592592592592593	0.25	0.29032258064516125	0.33333333333333337	0.28125	0.28358208955223885	0.32307692307692304	0.2727272727272727	0.28358208955223885	0.288135593220339	0.2571428571428571	0.33333333333333337	0.23809523809523814
Dun  Bradstreet Small Business Solutions	0.375	0.4	0.34883720930232553	0.42307692307692313	0.3142857142857143	0.4117647058823529	0.4117647058823529	0.4385964912280702	0.25	0.3793103448275862	0.4222222222222223	0.2777777777777778	0.31707317073170727	0.38888888888888884	0.26315789473684215	0.4418604651162791	0.23529411764705888	0.31707317073170727	0.31707317073170727	0.40909090909090906	0.46153846153846156	0.4736842105263158	0.4	0.4339622641509434	0.47619047619047616	0.3793103448275862	0.4883720930232558	0.2682926829268293	0.35	0.4	0.40909090909090906	0.38888888888888884	0.4418604651162791	0.46153846153846156	0.26315789473684215	0.33333333333333337	0.4893617021276596	0.30000000000000004	0.3513513513513513	0.3939393939393939	0.3142857142857143	0.43999999999999995	0.37142857142857144	0.5238095238095238	0.34782608695652173	0.31818181818181823	0.2222222222222222	0.3913043478260869	0.3877551020408163	0.36170212765957444	0.375	0.3877551020408163	0.2682926829268293	0.3846153846153846	0.28205128205128205	0.33333333333333337
Electric Power Annual 2007 Table 63	0.40740740740740744	0.4642857142857143	0.30612244897959184	0.4482758620689655	0.5121951219512195	0.4736842105263158	0.4385964912280702	0.4285714285714286	0.4782608695652174	0.48571428571428577	0.4509803921568627	0.38095238095238093	0.44680851063829785	0.47619047619047616	0.5	0.4285714285714286	0.5	0.36170212765957444	0.4893617021276596	0.43999999999999995	0.4482758620689655	0.40909090909090906	0.5	0.4576271186440678	0.5416666666666667	0.5428571428571429	0.5918367346938775	0.4042553191489362	0.3913043478260869	0.4347826086956522	0.43999999999999995	0.47619047619047616	0.4693877551020408	0.31034482758620685	0.4545454545454546	0.4545454545454546	0.4716981132075472	0.3913043478260869	0.39534883720930236	0.33333333333333337	0.41463414634146345	0.4642857142857143	0.36585365853658536	0.4492753623188406	0.46153846153846156	0.43999999999999995	0.4285714285714286	0.34615384615384615	0.4545454545454546	0.4339622641509434	0.4814814814814815	0.49090909090909096	0.44680851063829785	0.5172413793103448	0.4666666666666667	0.4117647058823529
Electric Power Use Manufacturing and Mining	0.3076923076923077	0.40740740740740744	0.3191489361702128	0.3928571428571429	0.33333333333333337	0.4181818181818182	0.4545454545454546	0.4098360655737705	0.31818181818181823	0.33333333333333337	0.30612244897959184	0.19999999999999996	0.28888888888888886	0.35	0.2857142857142857	0.4042553191489362	0.368421052631579	0.24444444444444446	0.37777777777777777	0.29166666666666663	0.3214285714285714	0.4285714285714286	0.4117647058823529	0.368421052631579	0.4347826086956522	0.4545454545454546	0.44680851063829785	0.28888888888888886	0.31818181818181823	0.40909090909090906	0.33333333333333337	0.35	0.44680851063829785	0.3571428571428571	0.33333333333333337	0.4193548387096774	0.2941176470588235	0.2272727272727273	0.2195121951219512	0.29729729729729726	0.33333333333333337	0.33333333333333337	0.28205128205128205	0.4328358208955224	0.28	0.25	0.30000000000000004	0.4	0.3584905660377359	0.2941176470588235	0.3076923076923077	0.3207547169811321	0.28888888888888886	0.3214285714285714	0.3023255813953488	0.30612244897959184
Exclusions from the Economic Census	0.34693877551020413	0.4117647058823529	0.36363636363636365	0.4339622641509434	0.38888888888888884	0.46153846153846156	0.42307692307692313	0.4482758620689655	0.2682926829268293	0.4666666666666667	0.34782608695652173	0.18918918918918914	0.33333333333333337	0.29729729729729726	0.28205128205128205	0.36363636363636365	0.2571428571428571	0.2857142857142857	0.33333333333333337	0.33333333333333337	0.3584905660377359	0.4871794871794872	0.3548387096774194	0.4444444444444444	0.4883720930232558	0.4666666666666667	0.5	0.23809523809523814	0.2682926829268293	0.31707317073170727	0.33333333333333337	0.08108108108108103	0.4545454545454546	0.4716981132075472	0.28205128205128205	0.5	0.41666666666666663	0.31707317073170727	0.3157894736842105	0.3529411764705882	0.33333333333333337	0.37254901960784315	0.38888888888888884	0.5	0.3191489361702128	0.37777777777777777	0.29729729729729726	0.36170212765957444	0.36	0.375	0.34693877551020413	0.36	0.2857142857142857	0.39622641509433965	0.35	0.26086956521739135
Firm Size Data from the Statistics of US Businesses US Detail Employment Sizes 2002	0.27586206896551724	0.2666666666666667	0.28301886792452835	0.3548387096774194	0.33333333333333337	0.3770491803278688	0.3114754098360656	0.25373134328358204	0.040000000000000036	0.4358974358974359	0.34545454545454546	0.30434782608695654	0.2941176470588235	0.30434782608695654	0.25	0.39622641509433965	0.31818181818181823	0.2941176470588235	0.37254901960784315	0.37037037037037035	0.32258064516129037	0.45833333333333337	0.35	0.3650793650793651	0.46153846153846156	0.4358974358974359	0.5094339622641509	0.17647058823529416	0.19999999999999996	0.36	0.37037037037037035	0.34782608695652173	0.39622641509433965	0.3548387096774194	0.25	0.5675675675675675	0.4736842105263158	0.31999999999999995	0.3191489361702128	0.39534883720930236	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.36986301369863017	0.2857142857142857	0.33333333333333337	0.34782608695652173	0.25	0.288135593220339	0.29824561403508776	0.31034482758620685	0.3220338983050848	0.2549019607843137	0.25806451612903225	0.30612244897959184	0.3090909090909091
Generated by RTI International using American FactFinder Sector 31 Annual Survey of Manufactures General Statistics Statistics for Industry Groups and Industries 2006 and 2005Ó 	0.22388059701492535	0.21739130434782605	0.22580645161290325	0.18309859154929575	0.37037037037037035	0.1428571428571429	0.2857142857142857	0.23684210526315785	0.38983050847457623	0.5	0.3125	0.34545454545454546	0.33333333333333337	0.4181818181818182	0.29824561403508776	0.3870967741935484	0.5094339622641509	0.33333333333333337	0.4	0.3650793650793651	0.2676056338028169	0.4385964912280702	0.5102040816326531	0.2777777777777778	0.4426229508196722	0.5416666666666667	0.4516129032258065	0.33333333333333337	0.3220338983050848	0.3220338983050848	0.3015873015873016	0.5272727272727273	0.3870967741935484	0.23943661971830987	0.33333333333333337	0.5217391304347826	0.33333333333333337	0.3220338983050848	0.3214285714285714	0.42307692307692313	0.2962962962962963	0.30434782608695654	0.40740740740740744	0.2195121951219512	0.3538461538461538	0.3650793650793651	0.38181818181818183	0.2615384615384615	0.3529411764705882	0.4242424242424242	0.3731343283582089	0.38235294117647056	0.3666666666666667	0.352112676056338	0.3448275862068966	0.28125
Industrial Production and Capacity Utilization Capacity Utilization	0.37254901960784315	0.3584905660377359	0.34782608695652173	0.38181818181818183	0.368421052631579	0.40740740740740744	0.4444444444444444	0.43333333333333335	0.3023255813953488	0.3125	0.33333333333333337	0.3846153846153846	0.36363636363636365	0.3846153846153846	0.2682926829268293	0.34782608695652173	0.45945945945945943	0.36363636363636365	0.2727272727272727	0.3191489361702128	0.34545454545454546	0.5121951219512195	0.4545454545454546	0.3928571428571429	0.4222222222222223	0.5	0.4347826086956522	0.31818181818181823	0.3023255813953488	0.39534883720930236	0.4042553191489362	0.4358974358974359	0.4782608695652174	0.4181818181818182	0.31707317073170727	0.4666666666666667	0.36	0.34883720930232553	0.30000000000000004	0.38888888888888884	0.26315789473684215	0.3207547169811321	0.368421052631579	0.4545454545454546	0.30612244897959184	0.276595744680851	0.23076923076923073	0.3877551020408163	0.34615384615384615	0.28	0.33333333333333337	0.34615384615384615	0.2727272727272727	0.3090909090909091	0.33333333333333337	0.33333333333333337
Industrial Production and Capacity Utilization Electric Power Use Manufacturing and Mining	0.22807017543859653	0.3220338983050848	0.3076923076923077	0.3114754098360656	0.2727272727272727	0.33333333333333337	0.4	0.33333333333333337	0.26530612244897955	0.368421052631579	0.2592592592592593	0.28888888888888886	0.31999999999999995	0.28888888888888886	0.23404255319148937	0.34615384615384615	0.4418604651162791	0.28	0.31999999999999995	0.24528301886792447	0.24590163934426235	0.4042553191489362	0.4358974358974359	0.32258064516129037	0.4117647058823529	0.5263157894736843	0.42307692307692313	0.28	0.26530612244897955	0.3877551020408163	0.3207547169811321	0.37777777777777777	0.42307692307692313	0.3114754098360656	0.3191489361702128	0.5	0.2857142857142857	0.26530612244897955	0.21739130434782605	0.33333333333333337	0.2727272727272727	0.22033898305084743	0.31818181818181823	0.36111111111111116	0.19999999999999996	0.2075471698113207	0.28888888888888886	0.3090909090909091	0.27586206896551724	0.2142857142857143	0.22807017543859653	0.24137931034482762	0.24	0.21311475409836067	0.25	0.2592592592592593
Producer Price Index	0.5454545454545454	0.5652173913043479	0.4871794871794872	0.5416666666666667	0.4838709677419355	0.574468085106383	0.6170212765957447	0.6226415094339622	0.5555555555555556	0.36	0.46341463414634143	0.4375	0.5135135135135135	0.5625	0.4117647058823529	0.4358974358974359	0.5333333333333333	0.45945945945945943	0.4054054054054054	0.44999999999999996	0.5	0.5882352941176471	0.6153846153846154	0.5102040816326531	0.368421052631579	0.6	0.3846153846153846	0.5135135135135135	0.5555555555555556	0.5555555555555556	0.55	0.4375	0.5384615384615384	0.5416666666666667	0.47058823529411764	0.4782608695652174	0.4418604651162791	0.4444444444444444	0.3939393939393939	0.4482758620689655	0.4193548387096774	0.5217391304347826	0.4838709677419355	0.6271186440677966	0.47619047619047616	0.44999999999999996	0.3125	0.5714285714285714	0.5111111111111111	0.4883720930232558	0.5	0.5111111111111111	0.4054054054054054	0.5416666666666667	0.48571428571428577	0.41463414634146345
Sector 00 All sectors Core Business Statistics Series Comparative Statistics for the United States and the States 1997 NAICS Basis 2002 and 1997	0.25806451612903225	0.21875	0.22807017543859653	0.303030303030303	0.3877551020408163	0.29230769230769227	0.2615384615384615	0.21126760563380287	0.2962962962962963	0.4883720930232558	0.288135593220339	0.31999999999999995	0.3090909090909091	0.4	0.3076923076923077	0.368421052631579	0.41666666666666663	0.3090909090909091	0.3090909090909091	0.4137931034482759	0.303030303030303	0.5	0.4545454545454546	0.31343283582089554	0.4642857142857143	0.4883720930232558	0.4736842105263158	0.12727272727272732	0.2592592592592593	0.37037037037037035	0.31034482758620685	0.4	0.29824561403508776	0.36363636363636365	0.2692307692307693	0.5121951219512195	0.4098360655737705	0.33333333333333337	0.37254901960784315	0.44680851063829785	0.34693877551020413	0.3125	0.3877551020408163	0.2987012987012987	0.2666666666666667	0.24137931034482762	0.31999999999999995	0.2666666666666667	0.3015873015873016	0.2786885245901639	0.29032258064516125	0.3015873015873016	0.2727272727272727	0.24242424242424243	0.3584905660377359	0.2542372881355932
Sector 00 All sectors Core Business Statistics Series Comparative Statistics for the United States and the States 2007 NAICS Basis 2002 and 2007	0.2666666666666667	0.19354838709677424	0.19999999999999996	0.3125	0.36170212765957444	0.3015873015873016	0.2698412698412699	0.21739130434782605	0.2692307692307693	0.46341463414634143	0.26315789473684215	0.29166666666666663	0.28301886792452835	0.375	0.28	0.34545454545454546	0.3913043478260869	0.28301886792452835	0.28301886792452835	0.3928571428571429	0.28125	0.48	0.4285714285714286	0.32307692307692304	0.4444444444444444	0.46341463414634143	0.49090909090909096	0.09433962264150941	0.23076923076923073	0.34615384615384615	0.2857142857142857	0.375	0.2727272727272727	0.375	0.24	0.4871794871794872	0.423728813559322	0.3076923076923077	0.34693877551020413	0.4222222222222223	0.3191489361702128	0.29032258064516125	0.36170212765957444	0.33333333333333337	0.24137931034482762	0.2142857142857143	0.29166666666666663	0.27586206896551724	0.2786885245901639	0.2542372881355932	0.2666666666666667	0.2786885245901639	0.24528301886792447	0.21875	0.33333333333333337	0.22807017543859653
Sector 00 EC0700A1 All sectors Geographic Area Series EconomyWide Key Statistics 2007	0.2666666666666667	0.32258064516129037	0.23636363636363633	0.3125	0.3191489361702128	0.33333333333333337	0.1428571428571429	0.24637681159420288	0.34615384615384615	0.5121951219512195	0.33333333333333337	0.33333333333333337	0.3207547169811321	0.33333333333333337	0.31999999999999995	0.38181818181818183	0.4347826086956522	0.3207547169811321	0.3584905660377359	0.3214285714285714	0.34375	0.4	0.4285714285714286	0.3538461538461538	0.5185185185185186	0.5609756097560976	0.5272727272727273	0.24528301886792447	0.15384615384615385	0.42307692307692313	0.3928571428571429	0.41666666666666663	0.34545454545454546	0.34375	0.28	0.4871794871794872	0.4576271186440678	0.3076923076923077	0.26530612244897955	0.33333333333333337	0.3191489361702128	0.32258064516129037	0.3191489361702128	0.36	0.31034482758620685	0.3928571428571429	0.41666666666666663	0.27586206896551724	0.3770491803278688	0.38983050847457623	0.33333333333333337	0.34426229508196726	0.39622641509433965	0.34375	0.33333333333333337	0.29824561403508776
Sector 31 Annual Survey of Manufactures General Statistics Statistics for Industry Groups and Industries 2006 and 2005	0.2666666666666667	0.32258064516129037	0.23636363636363633	0.28125	0.36170212765957444	0.23809523809523814	0.33333333333333337	0.2753623188405797	0.3846153846153846	0.46341463414634143	0.33333333333333337	0.375	0.3584905660377359	0.45833333333333337	0.31999999999999995	0.38181818181818183	0.4782608695652174	0.39622641509433965	0.3584905660377359	0.3928571428571429	0.34375	0.48	0.47619047619047616	0.32307692307692304	0.40740740740740744	0.5121951219512195	0.4181818181818182	0.28301886792452835	0.3076923076923077	0.34615384615384615	0.3571428571428571	0.5	0.34545454545454546	0.28125	0.28	0.4871794871794872	0.35593220338983056	0.3076923076923077	0.30612244897959184	0.4222222222222223	0.3191489361702128	0.3548387096774194	0.4042553191489362	0.30666666666666664	0.3448275862068966	0.3214285714285714	0.375	0.31034482758620685	0.3770491803278688	0.38983050847457623	0.3666666666666667	0.3770491803278688	0.3584905660377359	0.34375	0.33333333333333337	0.33333333333333337
Sector 31 EC0731I1 Manufacturing Industry Series Detailed Statistics by Industry for the US 2007	0.16129032258064513	0.28125	0.22807017543859653	0.2727272727272727	0.34693877551020413	0.29230769230769227	0.29230769230769227	0.15492957746478875	0.2962962962962963	0.5348837209302326	0.35593220338983056	0.28	0.2727272727272727	0.36	0.2692307692307693	0.4035087719298246	0.41666666666666663	0.34545454545454546	0.34545454545454546	0.3793103448275862	0.2727272727272727	0.5	0.5	0.25373134328358204	0.3571428571428571	0.4883720930232558	0.368421052631579	0.2727272727272727	0.2592592592592593	0.37037037037037035	0.3793103448275862	0.4	0.26315789473684215	0.2727272727272727	0.34615384615384615	0.5121951219512195	0.3114754098360656	0.33333333333333337	0.37254901960784315	0.44680851063829785	0.3877551020408163	0.3125	0.3877551020408163	0.2727272727272727	0.2666666666666667	0.31034482758620685	0.36	0.23333333333333328	0.33333333333333337	0.34426229508196726	0.29032258064516125	0.3015873015873016	0.34545454545454546	0.2727272727272727	0.3207547169811321	0.288135593220339
Sector 31 Manufacturing Geographic Area Series Industry Statistics for the States Metropolitan and Micropolitan Statistical Areas Counties and Places 2002	0.180327868852459	0.2698412698412699	0.1785714285714286	0.16923076923076918	0.33333333333333337	0.21875	0.28125	0.22857142857142854	0.3584905660377359	0.4285714285714286	0.27586206896551724	0.34693877551020413	0.33333333333333337	0.34693877551020413	0.2549019607843137	0.3571428571428571	0.44680851063829785	0.2962962962962963	0.2962962962962963	0.29824561403508776	0.2615384615384615	0.4509803921568627	0.4883720930232558	0.24242424242424243	0.34545454545454546	0.5238095238095238	0.3571428571428571	0.2592592592592593	0.2075471698113207	0.3584905660377359	0.33333333333333337	0.4285714285714286	0.25	0.2615384615384615	0.2549019607843137	0.5	0.2666666666666667	0.28301886792452835	0.24	0.3913043478260869	0.29166666666666663	0.23809523809523814	0.375	0.26315789473684215	0.22033898305084743	0.26315789473684215	0.34693877551020413	0.2542372881355932	0.29032258064516125	0.33333333333333337	0.24590163934426235	0.25806451612903225	0.33333333333333337	0.2615384615384615	0.3076923076923077	0.24137931034482762
