	Ahold announced the pending purchase of Supermarket General-II Holdings Corporation, parent of the Pathmark chain. Similarly, SUPERVALUE acquired Richfood, Food Lion bought out Hannaford Brothers and Scarborough, and Albertson’s purchased American Stores. (Sean Mehegan, ‘‘Consolidation Changes the Face of the North American Supermarket Sector,’’ Meat & Poultry	Agricultural Handbook No.	King Marketing Services,	Safety Commission (Miller et al., ‘‘The Consumer Product Safety Commission’s Revised Injury Cost Model,’’ Peer Review Draft Prepared for the U.S. Consumer Product Safety Commission,	Food Safety Efforts Accelerate in the 1990’s,’’ Food Review,	The Economic Benefits of Nutrition Labeling: A Case Study for Fresh Meat and Poultry Products.’’	Re: Docket #98– 005F, Food Safety and Inspection Service Proposed Rule: ‘‘Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products.’’ Comments submitted to the FSIS Docket Clerk,	Drug Administration (60 FR 65095,	Drug Administration (68 FR 41434–41504,	Read the Label: Reducing Risk by Providing Information	Information Advertising, and Health Choices:	Information, Advertising, and Health: A Study of the Cereal Market.’’ In Economics of Food Safety,	Information and Advertising: The Case of	The Effect of Food Label Use on Nutrient Intakes: An Endogenous Switching Regression Analysis’’,	Assigning Value to Life: Comparing Methods for Valuing Health Risks, Agricultural Economic	A New Approach to Consumer Theory.’’	Informational Approaches to Regulation	Offsetting Behavior in Reducing High Cholesterol: Substitution of Medication for Diet and Lifestyle Changes.’’	Food companies spread nutrition information through advertising and labels. Food Review.	Personnal communication with Mary Muth, RTI International, Research	A Quasi Experiment to Assess the Consumer and Informational Determinants of Nutrition Information Processing Activities: The Case of the Nutrition Labeling and Education Act,’’	FDA Labeling Cost Model.’’ Prepared for the U.S. Food and Drug Administration, Center for Food Safety and Applied Nutrition. Research Triangle Park, NC.	National Cattlemen’s Beef Association.	The Journey towards Retail Meat Case Nutrition Labeling, A white paper,	Uniform Retail Meat Identity Standards.	The NMI Health and Wellness Trends Database.	As reported in Food Technology. ‘‘What, When and Where Americans Eat:	Use of food nutrition labels is associated with lower fat intake’’.	The Imperative to Warn: Disentangling the ‘‘Right to Know’’ from the ‘‘Need to Know’’ about Consumer Product Hazards’’	Guidelines for Ensuring and Maximizing the Quality, Objectivity, Utility, and Integrity of Information Disseminated by Federal Agencies.	Cost Analysis for Nutrition Labeling of Ground, Chopped, and Single-Ingredient Meat and Poultry VerDate	Personal communication with Mary Muth, RTI International, Research	Does Nutrition Labeling Lead to Healthier Eating?’’	Measuring the welfare effects of nutrition information.	Hedonic Prices and Implicit Markets: Product Differentiation in	Department of Agriculture, 1994–1996. Continuing survey of food intake by individuals (CSFII), and companion diet and health knowledge survey (DHKS).	Survey years 1994–1996.	Nutrition Labeling/Safe Handling Information Study—Raw Meat and Poultry. Prepared by Retail Diagnostics,	Department of Agriculture, Agricultural Research Service,	Do Nutrition Labels Improve Dietary Outcomes?	Diet-Health Information and Nutrition: The Intake of Dietary Fats	Fatal Tradeoffs—Public & Private Responsibilities for Risk.	Estimated Benefits of Nutrition Label Changes: Final Report,	Potential Health Benefits of Nutrition Label Changes,’’	Section 381.400 is revised to read as follows:
Consumer Use of Information Implications for Food Policy	0.8808864265927978	0.8214285714285714	0.8392857142857143	0.8152173913043478	0.75	0.7244897959183674	0.8506787330316742	0.75	0.8214285714285714	0.875	0.7142857142857143	0.7525773195876289	0.7142857142857143	0.7857142857142857	0.7613636363636364	0.8035714285714286	0.6964285714285714	0.7589285714285714	0.6395348837209303	0.8153846153846154	0.7808988764044944	0.785234899328859	0.8571428571428571	0.8260869565217391	0.8035714285714286	0.8571428571428571	0.8285714285714286	0.7857142857142857	0.8248175182481752	0.7727272727272727	0.75	0.8125	0.8928571428571429	0.7857142857142857	0.8225806451612904	0.8251748251748252	0.875	0.7087378640776699	0.7857142857142857	0.7857142857142857	0.7301587301587301	0.8135593220338984	0.7931034482758621	0.8448275862068966	0.8214285714285714
Economics of Food Labeling	0.9362880886426593	0.9230769230769231	0.9230769230769231	0.907608695652174	0.84375	0.7653061224489796	0.9095022624434389	0.8387096774193549	0.8461538461538461	0.8301886792452831	0.8333333333333334	0.8144329896907216	0.8205128205128205	0.8163265306122449	0.8409090909090909	0.8717948717948718	0.7894736842105263	0.8392857142857143	0.8023255813953488	0.8	0.8764044943820225	0.87248322147651	0.8205128205128205	0.7681159420289855	0.8421052631578947	0.8837209302325582	0.8285714285714286	0.8285714285714286	0.9124087591240876	0.8712121212121212	0.85	0.796875	0.8148148148148148	0.8148148148148148	0.7903225806451613	0.8671328671328671	0.9615384615384616	0.8543689320388349	0.8363636363636363	0.8409090909090909	0.8253968253968254	0.864406779661017	0.7068965517241379	0.7241379310344828	0.7727272727272727
FDA Labeling Cost Model	0.9501385041551247	0.9166666666666666	0.7391304347826086	0.9130434782608695	0.796875	0.826530612244898	0.9095022624434389	0.8709677419354839	0.8974358974358975	0.7358490566037735	0.7619047619047619	0.865979381443299	0.8205128205128205	0.8367346938775511	0.8522727272727273	0.8205128205128205	0.8157894736842105	0.8482142857142857	0.8488372093023255	0.8769230769230769	0.9157303370786517	0.8456375838926175	0.8205128205128205	0.8115942028985508	0.8421052631578947	0.813953488372093	0.8714285714285714	0.8428571428571429	0.8978102189781022	0.8787878787878788	0.82	0.875	0.7407407407407407	0.8518518518518519	0.8387096774193549	0.9020979020979021	0.9583333333333334	0.8252427184466019	0.8909090909090909	0.75	0.873015873015873	0.7966101694915254	0.8275862068965517	0.8448275862068966	0.8409090909090909
The Consumer Product Safety Commission�s Revised Injury Cost Model	0.8836565096952909	0.8484848484848485	0.8333333333333334	0.6467391304347826	0.8787878787878788	0.7346938775510204	0.8280542986425339	0.8333333333333334	0.8636363636363636	0.7878787878787878	0.7727272727272727	0.8041237113402062	0.7575757575757576	0.7755102040816326	0.8295454545454546	0.7727272727272727	0.8181818181818182	0.7678571428571429	0.7558139534883721	0.8484848484848485	0.797752808988764	0.7986577181208053	0.803030303030303	0.782608695652174	0.803030303030303	0.7575757575757576	0.8714285714285714	0.8142857142857143	0.8102189781021898	0.7727272727272727	0.8	0.8484848484848485	0.8333333333333334	0.803030303030303	0.8333333333333334	0.8181818181818182	0.8787878787878788	0.8058252427184466	0.8333333333333334	0.7121212121212122	0.8484848484848485	0.8636363636363636	0.8333333333333334	0.8484848484848485	0.7727272727272727
Cost Analysis for Nutrition Labeling of Ground Chopped and SingleIngredient Meat and Poultry Products	0.8199445983379502	0.8613861386138614	0.8613861386138614	0.7663043478260869	0.8217821782178217	0.5643564356435643	0.6515837104072398	0.8613861386138614	0.8712871287128713	0.7821782178217822	0.7524752475247525	0.8613861386138614	0.7821782178217822	0.801980198019802	0.7722772277227723	0.8217821782178217	0.7821782178217822	0.8035714285714286	0.7128712871287128	0.7524752475247525	0.7528089887640449	0.7718120805369127	0.8217821782178217	0.8118811881188119	0.7722772277227723	0.8316831683168316	0.7821782178217822	0.693069306930693	0.7664233576642335	0.75	0.06930693069306931	0.7524752475247525	0.6633663366336634	0.7920792079207921	0.7821782178217822	0.7552447552447552	0.9207920792079208	0.7572815533980582	0.8118811881188119	0.693069306930693	0.7128712871287128	0.7821782178217822	0.7029702970297029	0.7920792079207921	0.7821782178217822
National Meat Case Study	0.9390581717451524	0.8333333333333334	0.875	0.8913043478260869	0.828125	0.8163265306122449	0.9140271493212669	0.8709677419354839	0.8461538461538461	0.8113207547169812	0.7619047619047619	0.8247422680412371	0.6923076923076923	0.8469387755102041	0.8181818181818182	0.7948717948717948	0.6842105263157895	0.8660714285714286	0.8372093023255814	0.8	0.8876404494382022	0.8926174496644296	0.6410256410256411	0.7681159420289855	0.6578947368421053	0.7906976744186046	0.8285714285714286	0.8142857142857143	0.8686131386861314	0.8787878787878788	0.84	0.796875	0.7037037037037037	0.8333333333333334	0.8387096774193549	0.8881118881118881	0.9166666666666666	0.8349514563106796	0.8	0.7272727272727273	0.7777777777777778	0.8135593220338984	0.8103448275862069	0.8103448275862069	0.7727272727272727
The Journey towards Retail Meat Case Nutrition Labeling A white paper	0.8670360110803325	0.855072463768116	0.8260869565217391	0.8206521739130435	0.8260869565217391	0.7448979591836735	0.8144796380090498	0.7971014492753623	0.8115942028985508	0.782608695652174	0.782608695652174	0.7938144329896907	0.7536231884057971	0.7551020408163265	0.7954545454545454	0.8260869565217391	0.7971014492753623	0.7232142857142857	0.7558139534883721	0.7681159420289855	0.7359550561797753	0.7583892617449665	0.8260869565217391	0.0	0.6666666666666666	0.6956521739130435	0.8428571428571429	0.8428571428571429	0.781021897810219	0.7575757575757576	0.8	0.7681159420289855	0.782608695652174	0.6956521739130435	0.8115942028985508	0.8041958041958042	0.8695652173913043	0.7961165048543689	0.7971014492753623	0.782608695652174	0.7246376811594203	0.7971014492753623	0.6666666666666666	0.6521739130434783	0.7971014492753623
Uniform Retail Meat Identity Standards	0.9224376731301939	0.8421052631578947	0.7368421052631579	0.875	0.84375	0.7959183673469388	0.8823529411764706	0.868421052631579	0.9487179487179487	0.8301886792452831	0.7857142857142857	0.7938144329896907	0.7435897435897436	0.8163265306122449	0.7954545454545454	0.9487179487179487	0.7631578947368421	0.8035714285714286	0.7790697674418605	0.7538461538461538	0.8539325842696629	0.8456375838926175	0.8717948717948718	0.6666666666666666	0.0	0.7906976744186046	0.8	0.7714285714285715	0.8321167883211679	0.8106060606060606	0.79	0.75	0.7592592592592593	0.7407407407407407	0.7741935483870968	0.8461538461538461	0.868421052631579	0.7961165048543689	0.8363636363636363	0.8181818181818182	0.7619047619047619	0.8135593220338984	0.8103448275862069	0.7931034482758621	0.8409090909090909
Re Docket 98�005F Food Safety and Inspection Service Proposed Rule ��Nutrition Labeling of Ground or Chopped Meat and Poultry Products and SingleIngredient Products��	0.7811634349030471	0.8975903614457831	0.9036144578313253	0.7989130434782609	0.7951807228915663	0.6566265060240963	0.27149321266968324	0.9036144578313253	0.9036144578313253	0.8132530120481928	0.8313253012048193	0.7951807228915663	0.8493975903614458	0.7590361445783133	0.8012048192771084	0.8795180722891566	0.8614457831325302	0.7409638554216867	0.7469879518072289	0.8192771084337349	0.7640449438202247	0.7771084337349398	0.8795180722891566	0.7590361445783133	0.8433734939759037	0.8493975903614458	0.8072289156626506	0.7710843373493976	0.7951807228915663	0.7891566265060241	0.6445783132530121	0.8192771084337349	0.7771084337349398	0.8192771084337349	0.7891566265060241	0.7831325301204819	0.9397590361445783	0.7289156626506024	0.8192771084337349	0.8072289156626506	0.7710843373493976	0.8313253012048193	0.7590361445783133	0.7891566265060241	0.8253012048192772
nan	0.9916897506925207	0.9166666666666666	0.8695652173913043	0.9836956521739131	0.96875	0.9693877551020408	0.9864253393665159	0.9032258064516129	0.9230769230769231	0.9433962264150944	0.9285714285714286	0.9690721649484536	0.9230769230769231	0.9693877551020408	0.9659090909090909	0.9487179487179487	0.9210526315789473	0.9732142857142857	0.9651162790697675	0.9538461538461539	0.9831460674157303	0.9798657718120806	0.9230769230769231	0.9565217391304348	0.9210526315789473	0.9534883720930233	0.9571428571428572	0.9571428571428572	0.9781021897810219	0.9772727272727273	0.97	0.953125	0.9444444444444444	0.9444444444444444	0.9516129032258065	0.9790209790209791	0.9583333333333334	0.970873786407767	0.9636363636363636	0.9545454545454546	0.9523809523809523	0.9661016949152542	0.9482758620689655	0.9482758620689655	0.9545454545454546
Guidelines for Ensuring and Maximizing the Quality Objectivity Utility and Integrity of Information Disseminated by Federal Agencies	0.8116343490304709	0.9090909090909091	0.8712121212121212	0.8097826086956522	0.8257575757575758	0.803030303030303	0.7737556561085973	0.8484848484848485	0.8560606060606061	0.7727272727272727	0.8106060606060606	0.75	0.8181818181818182	0.8181818181818182	0.7954545454545454	0.8712121212121212	0.8484848484848485	0.7651515151515151	0.7651515151515151	0.7348484848484849	0.7359550561797753	0.7986577181208053	0.8560606060606061	0.7575757575757576	0.8106060606060606	0.8257575757575758	0.7878787878787878	0.7727272727272727	0.8321167883211679	0.0	0.75	0.7424242424242424	0.7954545454545454	0.7348484848484849	0.7575757575757576	0.8181818181818182	0.9242424242424242	0.7045454545454546	0.8106060606060606	0.8181818181818182	0.7424242424242424	0.8181818181818182	0.7803030303030303	0.7803030303030303	0.8257575757575758
Labeling Trans Fatty Acids in Nutrition labeling Nutrient Content Claims and Health Claims Final Rule	0.8227146814404432	0.8811881188118812	0.8514851485148515	0.7934782608695652	0.8118811881188119	0.6732673267326733	0.751131221719457	0.8415841584158416	0.8415841584158416	0.7920792079207921	0.7425742574257426	0.8514851485148515	0.7821782178217822	0.7920792079207921	0.7722772277227723	0.8514851485148515	0.8118811881188119	0.7678571428571429	0.7128712871287128	0.7623762376237624	0.7359550561797753	0.7315436241610739	0.8118811881188119	0.7326732673267327	0.8118811881188119	0.7920792079207921	0.7722772277227723	0.7029702970297029	0.8248175182481752	0.75	0.7227722772277227	0.7524752475247525	0.6732673267326733	0.7623762376237624	0.7722772277227723	0.7482517482517482	0.9207920792079208	0.8058252427184466	0.7920792079207921	0.7524752475247525	0.7128712871287128	0.7524752475247525	0.6831683168316832	0.7326732673267327	0.801980198019802
Prevention of Salmonella Enteritidis in Shell Eggs During Production Proposed Rule	0.853185595567867	0.8658536585365854	0.8414634146341463	0.7934782608695652	0.7804878048780488	0.7551020408163265	0.7918552036199095	0.8536585365853658	0.8536585365853658	0.7560975609756098	0.7439024390243902	0.7835051546391752	0.7560975609756098	0.7040816326530612	0.8295454545454546	0.8658536585365854	0.7804878048780488	0.7589285714285714	0.8023255813953488	0.7439024390243902	0.7921348314606742	0.7785234899328859	0.7804878048780488	0.7804878048780488	0.7926829268292683	0.7804878048780488	0.8414634146341463	0.7926829268292683	0.7883211678832117	0.7727272727272727	0.79	0.7439024390243902	0.7926829268292683	0.7560975609756098	0.7804878048780488	0.7762237762237763	0.9024390243902439	0.7572815533980582	0.7926829268292683	0.7926829268292683	0.7439024390243902	0.8048780487804879	0.7926829268292683	0.7682926829268293	0.7682926829268293
Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products Final Rule	0.8227146814404432	0.8811881188118812	0.8613861386138614	0.7663043478260869	0.7920792079207921	0.7326732673267327	0.7375565610859729	0.8514851485148515	0.8514851485148515	0.7722772277227723	0.7722772277227723	0.8514851485148515	0.7722772277227723	0.8316831683168316	0.7920792079207921	0.8613861386138614	0.8118811881188119	0.8035714285714286	0.7425742574257426	0.7722772277227723	0.7471910112359551	0.7449664429530202	0.8415841584158416	0.7722772277227723	0.7920792079207921	0.7920792079207921	0.7425742574257426	0.7623762376237624	0.7737226277372263	0.6742424242424242	0.8118811881188119	0.7722772277227723	0.7524752475247525	0.7722772277227723	0.7326732673267327	0.7762237762237763	0.900990099009901	0.8155339805825242	0.801980198019802	0.7821782178217822	0.7425742574257426	0.801980198019802	0.7524752475247525	0.7821782178217822	0.7920792079207921
Use of food nutrition labels is associated with lower fat intake	0.8725761772853186	0.859375	0.84375	0.8043478260869565	0.890625	0.673469387755102	0.8144796380090498	0.8125	0.84375	0.796875	0.75	0.8041237113402062	0.765625	0.6938775510204082	0.7954545454545454	0.796875	0.71875	0.7678571428571429	0.6976744186046512	0.8307692307692308	0.7808988764044944	0.7651006711409396	0.765625	0.7971014492753623	0.765625	0.78125	0.8	0.08571428571428572	0.8175182481751825	0.7651515151515151	0.67	0.828125	0.65625	0.796875	0.828125	0.7902097902097902	0.890625	0.7669902912621359	0.828125	0.640625	0.796875	0.828125	0.734375	0.859375	0.71875
Information Advertising and Health Choices A Study of the Cereal Market 	0.8559556786703602	0.8611111111111112	0.8333333333333334	0.7934782608695652	0.8055555555555556	0.7755102040816326	0.8009049773755657	0.8194444444444444	0.8333333333333334	0.8472222222222222	0.4166666666666667	0.422680412371134	0.625	0.7653061224489796	0.8068181818181818	0.7916666666666666	0.6805555555555556	0.7321428571428571	0.7790697674418605	0.8194444444444444	0.7696629213483146	0.7919463087248322	0.8055555555555556	0.8055555555555556	0.7083333333333334	0.7638888888888888	0.8333333333333334	0.8055555555555556	0.781021897810219	0.7424242424242424	0.73	0.8194444444444444	0.7916666666666666	0.7916666666666666	0.7638888888888888	0.7762237762237763	0.8888888888888888	0.7184466019417476	0.7638888888888888	0.7916666666666666	0.7083333333333334	0.8333333333333334	0.7638888888888888	0.75	0.7638888888888888
