	Department of Energy, Energy Information Administration, Transportation Sector Module of the National Energy Modeling System: Model Documentation	Technical Support Document: Fuel Economy Labeling of Motor Vehicle Revisions to Improve Calculation of Fuel Economy Estimates,	The survival rates were calculated from R.L. Polk, National Vehicle Population Profile, 1977-2003; see NHTSA,	Vehicle Survivability and Travel Mileage Schedules,” Office of Regulatory Analysis and Evaluation,	Oil Imports: An Assessment of Benefits and Costs,	"Estimating the Energy Security Benefits of Reduced U.S. Oil Imports,"" Oak Ridge National Laboratory, ORNL/TM-2007/028, Revised July 23,"	Contribution of Working Group II to the Fourth Assessment Report of the IPCC, 17. Available at http://www.ipcc-wg2.org (last accessed 4,	Description of VMT Forecasting Procedure for ‘Car Talk’ Base line Forecasts,” manuscript, Volpe National Transportation Systems Center, U.S. Department of Transportation,	Environmental Protection Agency, MOBILE Motor Vehicle Emission Factor Model, version 6.2,	Uncertainty: A Guide to Dealing with Uncertainty in Quantitative Risk and Policy Analysis”,	CAFE Compliance and Effects Modeling System Documentation,
TAFV Alternative Fuels and Vehicles Choice Model Documentation	0.3870967741935484	0.36363636363636365	0.5128205128205128	0.4411764705882353	0.5	0.5909090909090908	0.5	0.4736842105263158	0.4242424242424242	0.5142857142857142	0.3793103448275862
Teardown Cost Estimates of Automotive Equipment Manufactured to Comply with Motor Vehicle Standard  FMVSS 214D  Side Impact Protection Side Air Bag Features	0.3157894736842105	0.30000000000000004	0.4347826086956522	0.4418604651162791	0.5263157894736843	0.44897959183673475	0.34883720930232553	0.4	0.35	0.5333333333333333	0.3513513513513513
Transportation Sector Module of the National Energy Modeling System Model Documentation 2007	0.16666666666666663	0.36111111111111116	0.42500000000000004	0.43243243243243246	0.5757575757575757	0.32499999999999996	0.5238095238095238	0.42500000000000004	0.5	0.575	0.32258064516129037
US Automotive Industry Employment Trends	0.3448275862068966	0.47058823529411764	0.5641025641025641	0.5	0.46153846153846156	0.5	0.5897435897435898	0.5641025641025641	0.5294117647058824	0.5714285714285714	0.4482758620689655
Vehicle Survivability and Travel Mileage Schedules	0.4	0.375	0.5641025641025641	0.30000000000000004	0.6666666666666667	0.5	0.5897435897435898	0.5263157894736843	0.48484848484848486	0.5294117647058824	0.5
Vehicle Weight Fatality Risk and Crash Compatibility of Model Year 199199 Passenger Cars and Light Trucks	0.46153846153846156	0.3157894736842105	0.41860465116279066	0.46341463414634143	0.5945945945945945	0.46808510638297873	0.36585365853658536	0.41860465116279066	0.4878048780487805	0.5581395348837209	0.45945945945945943
Staff Report Initial Statement of Reasons	0.4642857142857143	0.4838709677419355	0.5833333333333333	0.6060606060606061	0.33333333333333337	0.5897435897435898	0.5714285714285714	0.6216216216216216	0.6363636363636364	0.6764705882352942	0.5185185185185186
Peer Review Report Summary Estimating the Energy Security Benefits of Reduced US Oil Imports	0.3529411764705882	0.3783783783783784	0.47619047619047616	0.4054054054054054	0.4516129032258065	0.3414634146341463	0.42500000000000004	0.47619047619047616	0.38888888888888884	0.43243243243243246	0.4411764705882353
Reducing Greenhouse Gas Emissions from LightDuty Motor Vehicles	0.32258064516129037	0.303030303030303	0.5365853658536586	0.38235294117647056	0.5806451612903225	0.47619047619047616	0.525	0.5	0.4117647058823529	0.4571428571428572	0.3666666666666667
Variable Costs of Fuel Economy Technologies	0.3870967741935484	0.25806451612903225	0.5853658536585367	0.3939393939393939	0.5517241379310345	0.5238095238095238	0.5	0.4736842105263158	0.47058823529411764	0.5945945945945945	0.3793103448275862
Does Britain or the US Have the Right Gasoline Tax	0.5588235294117647	0.5277777777777778	0.6097560975609756	0.5555555555555556	0.6333333333333333	0.5813953488372092	0.6341463414634146	0.6097560975609756	0.6216216216216216	0.5	0.6470588235294117
How to make a car lighter and safer	0.4666666666666667	0.5714285714285714	0.5	0.5588235294117647	0.48	0.5853658536585367	0.48571428571428577	0.5789473684210527	0.5454545454545454	0.5	0.5172413793103448
National Household Transportation Survey	0.3793103448275862	0.5	0.4722222222222222	0.48484848484848486	0.5555555555555556	0.525	0.6153846153846154	0.5526315789473684	0.6	0.5588235294117647	0.5333333333333333
Note on Strategic Cost Dynamics	0.4285714285714286	0.5	0.6666666666666667	0.6176470588235294	0.56	0.6341463414634146	0.6578947368421053	0.5142857142857142	0.6060606060606061	0.6060606060606061	0.42307692307692313
Regulatory Analysis 	0.5	0.5625	0.6486486486486487	0.5	0.5217391304347826	0.65	0.6	0.6486486486486487	0.5806451612903225	0.48275862068965514	0.5
The Economics of Energy Security Theory Evidence Policy	0.31034482758620685	0.3939393939393939	0.5	0.375	0.5862068965517242	0.475	0.5263157894736843	0.5	0.4545454545454546	0.5	0.4137931034482759
The Value of Saving Travel Time Departmental Guidance for Conducting Economic Evaluations	0.29032258064516125	0.2727272727272727	0.475	0.4	0.5	0.4883720930232558	0.46153846153846156	0.4358974358974359	0.5135135135135135	0.5135135135135135	0.33333333333333337
Toward Cost Buydown via LearningbyDoing for Environmental Energy Technologies	0.36363636363636365	0.2941176470588235	0.5238095238095238	0.41666666666666663	0.5161290322580645	0.4285714285714286	0.475	0.4878048780487805	0.4444444444444444	0.4864864864864865	0.40625
Unpublished analysis of RL Polk vehicle registration data	0.47058823529411764	0.4	0.46153846153846156	0.4285714285714286	0.5806451612903225	0.4	0.4054054054054054	0.5	0.5	0.36363636363636365	0.5151515151515151
Vehicle Use and Fuel Economy How Big is the Rebound Effect	0.48571428571428577	0.41666666666666663	0.5476190476190477	0.4444444444444444	0.59375	0.4883720930232558	0.5	0.5121951219512195	0.4722222222222222	0.5135135135135135	0.4375
Joint Press Release of the Council of Economic Advisors the Department of the Treasury and the Office of Management and Budget	0.2941176470588235	0.32432432432432434	0.5	0.3513513513513513	0.4375	0.37209302325581395	0.45238095238095233	0.4285714285714286	0.3783783783783784	0.46153846153846156	0.33333333333333337
National Vehicle Population Profile 19772003	0.5714285714285714	0.6153846153846154	0.34285714285714286	0.641025641025641	0.6451612903225806	0.5581395348837209	0.5384615384615384	0.6190476190476191	0.631578947368421	0.6666666666666667	0.6571428571428571
Transportation Energy Data Book Edition 26	0.4838709677419355	0.5833333333333333	0.6585365853658536	0.6111111111111112	0.5555555555555556	0.5609756097560976	0.65	0.5526315789473684	0.5151515151515151	0.6	0.5333333333333333
49 USC 32902f	0.9117647058823529	0.8918918918918919	0.8157894736842105	0.9189189189189189	0.8846153846153846	0.8333333333333334	0.8717948717948718	0.875	0.9459459459459459	0.9459459459459459	0.8666666666666667
71 Fed Reg 17566 1766970	0.8857142857142857	0.868421052631579	0.7948717948717949	0.8648648648648649	0.8928571428571429	0.8409090909090909	0.7894736842105263	0.8809523809523809	0.8285714285714285	0.8611111111111112	0.8387096774193549
71 FR 1759697	0.9705882352941176	0.9166666666666666	0.868421052631579	0.9444444444444444	0.9615384615384616	0.9318181818181819	0.8648648648648649	0.9512195121951219	0.9117647058823529	0.9428571428571428	0.9333333333333333
71 FR 77871	0.96875	0.9117647058823529	0.8918918918918919	0.9411764705882353	0.9583333333333334	0.9024390243902439	0.8571428571428572	0.9487179487179487	0.9393939393939394	0.9393939393939394	0.9285714285714286
71 FR 77872	0.9696969696969697	0.9142857142857143	0.8648648648648649	0.9428571428571428	0.96	0.8780487804878049	0.8285714285714285	0.95	0.9090909090909091	0.9411764705882353	0.9310344827586207
72 FR 23899	0.9705882352941176	0.9166666666666666	0.8378378378378378	0.9444444444444444	0.9615384615384616	0.8536585365853658	0.8648648648648649	0.9512195121951219	0.9117647058823529	0.9428571428571428	0.9333333333333333
Federal Register Vol 72 83	0.6764705882352942	0.6388888888888888	0.6052631578947368	0.6285714285714286	0.6296296296296297	0.6097560975609756	0.5945945945945945	0.675	0.5757575757575757	0.6571428571428571	0.6451612903225806
Fuel Economy Labeling of Motor Vehicles Revisions to Improve Calculations of Fuel Economy Estimates 	0.38235294117647056	0.09677419354838712	0.5348837209302326	0.38888888888888884	0.53125	0.40476190476190477	0.41025641025641024	0.5	0.37142857142857144	0.575	0.375
Corporate Average Fuel Economy and CAFE Reform for MY 20082011 Light Trucks	0.39473684210526316	0.33333333333333337	0.39534883720930236	0.4390243902439024	0.5675675675675675	0.34090909090909094	0.38095238095238093	0.5	0.42500000000000004	0.5348837209302326	0.38888888888888884
Oil Prices Energy Security and Import Policy 	0.31034482758620685	0.4411764705882353	0.575	0.47058823529411764	0.42307692307692313	0.475	0.5263157894736843	0.5	0.40625	0.5428571428571429	0.3571428571428571
Learning Curves in Manufacturing 	0.5666666666666667	0.4838709677419355	0.6578947368421053	0.5625	0.6	0.625	0.6111111111111112	0.6216216216216216	0.59375	0.6363636363636364	0.5185185185185186
The Effect of Annual Changes in Automobile Fuel Economy Standards	0.2666666666666667	0.303030303030303	0.5365853658536586	0.33333333333333337	0.48275862068965514	0.47619047619047616	0.4473684210526315	0.46153846153846156	0.4571428571428572	0.5405405405405406	0.25
An Overlapping Choice Set Model of Automotive Price Elasticities	0.29032258064516125	0.37142857142857144	0.475	0.3529411764705882	0.3928571428571429	0.45238095238095233	0.42105263157894735	0.475	0.38235294117647056	0.5135135135135135	0.27586206896551724
The marginal damage costs of carbon dioxide emissions an assessment of the uncertainties	0.3793103448275862	0.4545454545454546	0.5526315789473684	0.4375	0.5	0.525	0.5	0.5526315789473684	0.5588235294117647	0.5588235294117647	0.48275862068965514
The Demand for Vehicle Use in the Urban Household Sector Theory and Empirical Evidence	0.3125	0.2941176470588235	0.44999999999999996	0.37142857142857144	0.5625	0.4285714285714286	0.5476190476190477	0.44999999999999996	0.5263157894736843	0.5263157894736843	0.40625
Gasoline Price Expectations and the Used Automobile Market A Rational Expectations Asset Price Approach	0.4411764705882353	0.5	0.5121951219512195	0.4864864864864865	0.5483870967741935	0.4883720930232558	0.42105263157894735	0.5476190476190477	0.5135135135135135	0.4285714285714286	0.48484848484848486
Fuel Economy Rebound Effect for US Household Vehicles	0.4545454545454546	0.38235294117647056	0.525	0.4117647058823529	0.6129032258064516	0.5	0.55	0.525	0.5277777777777778	0.5675675675675675	0.4516129032258065
Market Price and Income Elasticities of New Vehicle Demands	0.3548387096774194	0.4722222222222222	0.4871794871794872	0.5405405405405406	0.5172413793103448	0.5348837209302326	0.5128205128205128	0.4871794871794872	0.4411764705882353	0.5277777777777778	0.5
Energy and Security Externalities and Policies	0.4137931034482759	0.5294117647058824	0.6153846153846154	0.46875	0.5925925925925926	0.5853658536585367	0.6052631578947368	0.5405405405405406	0.5	0.5	0.40740740740740744
The Production Recipes Approach to Modeling Technological Innovation An Application to Learning by Doing	0.3125	0.2941176470588235	0.4878048780487805	0.37142857142857144	0.5625	0.4285714285714286	0.4358974358974359	0.5238095238095238	0.4	0.4	0.4545454545454546
Causal Influence of Car Mass and Size on Driver Fatality Risk	0.4242424242424242	0.3529411764705882	0.5714285714285714	0.4722222222222222	0.5333333333333333	0.5116279069767442	0.4871794871794872	0.46153846153846156	0.5405405405405406	0.5	0.3666666666666667
