	The Behavioral Economics of Retirement Savings Behavior AARP Public Policy Institute White Paper	The Effects of Expenses on Mutual Fund Flows	Number 1210–NEW Affected Public Business or other forprofit Estimated Number of Respondents 16000 Estimated Number of Annual Responses 20656000 Frequency of Response Initially Annually Upon Request when a material change Estimated Total Annual Burden Hours 8398000 hours in the first year 5776000 hours in each subsequent year Estimated Total Annual Burden Cost 642541000 for the first year 493242000 for each subsequent year	List of Subjects in 29 CFR Part 2550 Employee benefit plans Exemptions Fiduciaries Investments Pensions Prohibited transactions Reporting and recordkeeping requirements and 1 The authority citation for part 2550 is revised to read as follows	Sec 2550401b–1 also issued under sec 102 Reorganization Plan No	Sec 2550401c–1 also issued under 29 USC 1101 Sec 2550404c–1 also issued under 29 USC 1104 Sec 2550407c–3 also issued under 29 USC 1107 Sec 2550404a–2 also issued under 26 USC 401 note sec 657 Pub L 107–16 115 Stat 38 Sec 2550408b–1 also issued under 29 USC 1108b1 and sec 102 Reorganization Plan No 4 of 1978 3 CFR 1978 Comp p 332 effective Dec 31 1978 44 FR	Add § 2550408g–1 to read as follows	Section 408g1 of the Employee Retirement Income Security Advice Exemption Notification— Statutory US Department of Labor Employee Benefits Security Administration Room N–1513 200 Constitution Ave	For purposes of paragraph j6i Signed at Washington DC this 15th day of August
Fees and Revenue Sharing in Defined Contribution Retirement Plans	0.24528301886792447	0.40909090909090906	0.41666666666666663	0.28125	0.34615384615384615	0.303030303030303	0.5416666666666667	0.3529411764705882	0.28
Financial Advice and Individual Investors Portfolios	0.29166666666666663	0.33333333333333337	0.4626865671641791	0.38983050847457623	0.4042553191489362	0.4426229508196722	0.4883720930232558	0.46031746031746035	0.37777777777777777
Financial Literacy and Mutual Fund Investments Who Buys Actively Managed Funds	0.2222222222222222	0.37777777777777777	0.3972602739726028	0.3538461538461538	0.4716981132075472	0.4626865671641791	0.5510204081632653	0.3623188405797102	0.33333333333333337
Financial Planning On the Issue of Advice	0.28	0.31707317073170727	0.4492753623188406	0.3770491803278688	0.4285714285714286	0.46031746031746035	0.5111111111111111	0.4461538461538461	0.36170212765957444
Generally Accepted Investment Theories	0.24	0.36585365853658536	0.4492753623188406	0.3770491803278688	0.5102040816326531	0.5238095238095238	0.5555555555555556	0.41538461538461535	0.4042553191489362
HighQuality Financial Advice Wanted	0.375	0.4358974358974359	0.4925373134328358	0.4915254237288136	0.5319148936170213	0.5737704918032787	0.627906976744186	0.5238095238095238	0.37777777777777777
How to Invest Over the Life Cycle a Review	0.33333333333333337	0.4285714285714286	0.4571428571428572	0.3548387096774194	0.52	0.5	0.5652173913043479	0.4242424242424242	0.45833333333333337
Intermediated Investment Management	0.4418604651162791	0.5294117647058824	0.6129032258064516	0.5185185185185186	0.5238095238095238	0.5714285714285714	0.5789473684210527	0.5517241379310345	0.5
Investment Advice Survey 2001	0.375	0.5897435897435898	0.4925373134328358	0.38983050847457623	0.4042553191489362	0.47540983606557374	0.5348837209302326	0.39682539682539686	0.4222222222222223
Investment Mistakes of Individual Investors and the Impact of Financial Advice	0.2692307692307693	0.2558139534883721	0.43661971830985913	0.33333333333333337	0.4901960784313726	0.4461538461538461	0.5319148936170213	0.4029850746268657	0.34693877551020413
Investor Behavior in the Mutual Fund Industry Evidence from Gross Flows	0.2592592592592593	0.24444444444444446	0.3972602739726028	0.32307692307692304	0.5094339622641509	0.4925373134328358	0.5510204081632653	0.3913043478260869	0.4117647058823529
Investor Profile and Asset Allocation Advice	0.30434782608695654	0.4054054054054054	0.5076923076923077	0.4385964912280702	0.4222222222222223	0.4915254237288136	0.46341463414634143	0.47540983606557374	0.4418604651162791
Investor Timing and Fund Distribution Channels	0.2941176470588235	0.38095238095238093	0.4285714285714286	0.32258064516129037	0.43999999999999995	0.40625	0.5652173913043479	0.3939393939393939	0.33333333333333337
LifeCycle Funds	0.5348837209302326	0.4117647058823529	0.5806451612903225	0.4814814814814815	0.5714285714285714	0.5357142857142857	0.6842105263157895	0.5517241379310345	0.44999999999999996
NonMarket Wealth Background Risk and Portfolio Choice	0.28301886792452835	0.36363636363636365	0.38888888888888884	0.375	0.34615384615384615	0.4242424242424242	0.5416666666666667	0.4117647058823529	0.36
Optimal Asset Location and Allocation with Taxable and TaxDeferred Investing	0.25	0.3191489361702128	0.41333333333333333	0.28358208955223885	0.49090909090909096	0.42028985507246375	0.4901960784313726	0.323943661971831	0.39622641509433965
Personalized Retirement Advice and Managed Accounts Who Uses Them and How Does Advice Affect Behavior in 401k Plans	0.2698412698412699	0.40740740740740744	0.29268292682926833	0.32432432432432434	0.3548387096774194	0.3421052631578947	0.4482758620689655	0.33333333333333337	0.4
Portfolio Allocation Choices in Taxable and TaxDeferred Accounts An Empirical Analysis of TaxEfficiency	0.19999999999999996	0.26086956521739135	0.3513513513513513	0.2727272727272727	0.4444444444444444	0.4117647058823529	0.56	0.3142857142857143	0.3076923076923077
Portfolio Transactions Costs at US Equity Mutual Funds	0.34615384615384615	0.3023255813953488	0.4084507042253521	0.33333333333333337	0.4509803921568627	0.4461538461538461	0.6170212765957447	0.4626865671641791	0.3877551020408163
Regulating Markets for Retirement Payouts Solvency Supervision and Credibility	0.19999999999999996	0.3913043478260869	0.4054054054054054	0.24242424242424243	0.33333333333333337	0.32352941176470584	0.56	0.34285714285714286	0.34615384615384615
Survey Findings Hot Topics in Retirement 2007	0.3207547169811321	0.4545454545454546	0.38888888888888884	0.3125	0.3846153846153846	0.36363636363636365	0.5833333333333333	0.4117647058823529	0.4
The Economics of MutualFund Brokerage Evidence from the Cross Section of Investment Channels	0.2142857142857143	0.276595744680851	0.3866666666666667	0.25373134328358204	0.4545454545454546	0.42028985507246375	0.5686274509803921	0.352112676056338	0.3584905660377359
The Economics of Providing 401k Plans Services Fees and Expenses 2006	0.31034482758620685	0.34693877551020413	0.35064935064935066	0.21739130434782605	0.368421052631579	0.323943661971831	0.4716981132075472	0.34246575342465757	0.38181818181818183
The Efficiency of Pension Plan Investment Menus Investment Choices in Defined Contribution Pension Plans	0.19999999999999996	0.30434782608695654	0.3783783783783784	0.2727272727272727	0.4444444444444444	0.4117647058823529	0.6	0.34285714285714286	0.3846153846153846
The NUA Benefit and Optimal Investment in Company Stock in 401k Accounts	0.2666666666666667	0.4117647058823529	0.31645569620253167	0.295774647887324	0.423728813559322	0.36986301369863017	0.5272727272727273	0.2533333333333333	0.368421052631579
The Role of Brokers and Financial Advisors Behind Investment Into Load Funds	0.2222222222222222	0.33333333333333337	0.3972602739726028	0.29230769230769227	0.4716981132075472	0.4328358208955224	0.5510204081632653	0.3623188405797102	0.4117647058823529
The Role of Company Stock in 401k Plans	0.28301886792452835	0.40909090909090906	0.38888888888888884	0.28125	0.3846153846153846	0.3939393939393939	0.5416666666666667	0.38235294117647056	0.4
The Role of Company Stock in Defined Contribution Plans	0.19999999999999996	0.34782608695652173	0.3783783783783784	0.24242424242424243	0.37037037037037035	0.3529411764705882	0.6	0.34285714285714286	0.3076923076923077
Transfer Activity in 401k Plans	0.34693877551020413	0.5	0.47058823529411764	0.4	0.41666666666666663	0.4838709677419355	0.4545454545454546	0.46875	0.4782608695652174
Why Do Mutual Fund Investors Use Professional Financial Advisers	0.2592592592592593	0.33333333333333337	0.3972602739726028	0.3846153846153846	0.4716981132075472	0.4328358208955224	0.5510204081632653	0.3913043478260869	0.2941176470588235
Winners and Losers 401k Trading and Portfolio Performance	0.34615384615384615	0.4418604651162791	0.4084507042253521	0.33333333333333337	0.33333333333333337	0.3846153846153846	0.4042553191489362	0.4328358208955224	0.4285714285714286
Yet Another Puzzle Relation Between Price and Performance in the Mutual Fund Industry	0.25	0.3191489361702128	0.36	0.34328358208955223	0.4181818181818182	0.4492753623188406	0.5294117647058824	0.4084507042253521	0.39622641509433965
Company Stock in Pension Plans How Costly Is It	0.34693877551020413	0.44999999999999996	0.47058823529411764	0.3666666666666667	0.5	0.5161290322580645	0.6363636363636364	0.5	0.4782608695652174
Asset Allocation and Asset Location Household Evidence from the Survey of Consumer Finances	0.2592592592592593	0.33333333333333337	0.3972602739726028	0.29230769230769227	0.4716981132075472	0.4029850746268657	0.5510204081632653	0.33333333333333337	0.2941176470588235
Assessing the Costs and Benefits of Brokers in the Mutual Fund Industry	0.3076923076923077	0.34883720930232553	0.4084507042253521	0.3650793650793651	0.4901960784313726	0.5076923076923077	0.4893617021276596	0.4029850746268657	0.26530612244897955
Down or Out Assessing the Welfare Costs of Household Investment Mistakes	0.3214285714285714	0.4042553191489362	0.41333333333333333	0.3731343283582089	0.5272727272727273	0.4782608695652174	0.4901960784313726	0.4084507042253521	0.3207547169811321
Are Investors Rational Choices Among Index Funds	0.2692307692307693	0.34883720930232553	0.4084507042253521	0.3015873015873016	0.4117647058823529	0.41538461538461535	0.5319148936170213	0.34328358208955223	0.34693877551020413
Asset Location in TaxDeferred and Conventional Savings Accounts	0.3076923076923077	0.34883720930232553	0.49295774647887325	0.33333333333333337	0.4117647058823529	0.3846153846153846	0.4893617021276596	0.34328358208955223	0.30612244897959184
The Adequacy of Investment Choices Offered By 401k Plans	0.2542372881355932	0.43999999999999995	0.3076923076923077	0.2571428571428571	0.4137931034482759	0.41666666666666663	0.4814814814814815	0.32432432432432434	0.3928571428571429
Out of Sight Out of Mind The Effects of Expenses on Mutual Fund Flows	0.3207547169811321	0.09090909090909094	0.4444444444444444	0.3125	0.46153846153846156	0.48484848484848486	0.5416666666666667	0.4411764705882353	0.36
Product Differentiation Search Costs and Competition in the Mutual Fund Industry A Case Study of SP 500 Index Funds	0.27586206896551724	0.30612244897959184	0.35064935064935066	0.24637681159420288	0.4035087719298246	0.352112676056338	0.5094339622641509	0.28767123287671237	0.23636363636363633
Individual Account Investment Options and Portfolio Choice Behavioral Lessons from 401k Plans	0.27586206896551724	0.4285714285714286	0.35064935064935066	0.2753623188405797	0.4035087719298246	0.352112676056338	0.4716981132075472	0.28767123287671237	0.38181818181818183
The Use and Abuse of Mutual Fund Expenses	0.36	0.12195121951219512	0.4492753623188406	0.4098360655737705	0.5510204081632653	0.5238095238095238	0.5555555555555556	0.4461538461538461	0.4042553191489362
Are Stocks Desirable in TaxDeferred Accounts	0.31999999999999995	0.31707317073170727	0.5072463768115942	0.3770491803278688	0.3877551020408163	0.46031746031746035	0.5111111111111111	0.41538461538461535	0.36170212765957444
ManagerInvestor Conflicts in Mutual Funds	0.34693877551020413	0.30000000000000004	0.47058823529411764	0.3666666666666667	0.41666666666666663	0.4193548387096774	0.5	0.4375	0.34782608695652173
Why Does the Law of One Price Fail An Experiment on Index Mutual Funds	0.2542372881355932	0.24	0.3589743589743589	0.2857142857142857	0.5172413793103448	0.4444444444444444	0.5555555555555556	0.3513513513513513	0.3214285714285714
