	Department of Energy, Energy Information Administration, Transportation Sector Module of the National Energy Modeling System: Model Documentation	Technical Support Document: Fuel Economy Labeling of Motor Vehicle Revisions to Improve Calculation of Fuel Economy Estimates,	The survival rates were calculated from R.L. Polk, National Vehicle Population Profile, 1977-2003; see NHTSA,	Vehicle Survivability and Travel Mileage Schedules,” Office of Regulatory Analysis and Evaluation,	Oil Imports: An Assessment of Benefits and Costs,	"Estimating the Energy Security Benefits of Reduced U.S. Oil Imports,"" Oak Ridge National Laboratory, ORNL/TM-2007/028, Revised July 23,"	Contribution of Working Group II to the Fourth Assessment Report of the IPCC, 17. Available at http://www.ipcc-wg2.org (last accessed 4,	Description of VMT Forecasting Procedure for ‘Car Talk’ Base line Forecasts,” manuscript, Volpe National Transportation Systems Center, U.S. Department of Transportation,	Environmental Protection Agency, MOBILE Motor Vehicle Emission Factor Model, version 6.2,	Uncertainty: A Guide to Dealing with Uncertainty in Quantitative Risk and Policy Analysis”,	CAFE Compliance and Effects Modeling System Documentation,
Cost and Effectiveness Estimates of Technologies Used to Reduce LightDuty Vehicle Carbon Dioxide Emissions	0.7464788732394366	0.782258064516129	0.8113207547169812	0.8207547169811321	0.7924528301886793	0.808	0.8174603174603174	0.7941176470588235	0.7641509433962265	0.7924528301886793	0.7641509433962265
Costs of Effectiveness of Increasing Corporate Average Fuel Economy Standards	0.7605633802816901	0.6854838709677419	0.8235294117647058	0.8367346938775511	0.7922077922077922	0.76	0.746031746031746	0.7705882352941177	0.8235294117647058	0.7802197802197802	0.7792207792207793
Draft Inventory of GHG Emissions and Sinks 19901999	0.823943661971831	0.7983870967741935	0.8137254901960784	0.8469387755102041	0.8235294117647058	0.824	0.8412698412698413	0.8529411764705882	0.7411764705882353	0.7912087912087912	0.8771929824561403
Effectiveness and Impact of Corporate Average Fuel Economy CAFE Standards	0.7676056338028169	0.7419354838709677	0.7941176470588235	0.7857142857142857	0.7945205479452054	0.776	0.7857142857142857	0.8	0.8235294117647058	0.8241758241758241	0.7945205479452054
Estimating the Energy Security Benefits of Reduced US Oil Imports	0.7746478873239436	0.7661290322580645	0.803921568627451	0.7346938775510204	0.7076923076923077	0.48	0.753968253968254	0.7941176470588235	0.7764705882352941	0.7582417582417582	0.8153846153846154
Impacts Adaption and Vulnerability Contribution of Working Group II to the Fourth Assessement Report	0.7323943661971831	0.7741935483870968	0.8627450980392157	0.83	0.81	0.824	0.7777777777777778	0.7647058823529411	0.83	0.84	0.77
Inventory of US Greenhouse Gas Emissions and Sinks 19902005	0.8169014084507042	0.8064516129032258	0.7843137254901961	0.8163265306122449	0.7627118644067796	0.8	0.8253968253968254	0.8294117647058824	0.7294117647058823	0.7692307692307693	0.8983050847457628
Mobile Source  per Ton Estimate	0.8591549295774648	0.8064516129032258	0.8431372549019608	0.8061224489795918	0.8085106382978723	0.848	0.8492063492063492	0.8647058823529412	0.8	0.8351648351648352	0.7543859649122807
Oil Imports An Assessment of Benefits and Costs	0.8169014084507042	0.7741935483870968	0.8137254901960784	0.7755102040816326	0.0	0.808	0.7698412698412699	0.8352941176470589	0.7764705882352941	0.7582417582417582	0.7894736842105263
Oil Improts An Assessment of Benefits and Costs	0.823943661971831	0.782258064516129	0.8137254901960784	0.7755102040816326	0.0425531914893617	0.808	0.7698412698412699	0.8411764705882353	0.7647058823529411	0.7582417582417582	0.7894736842105263
Perform Cost and Weight Analysis Head Protection Air Bag Systems FMVSS 201	0.7464788732394366	0.75	0.7941176470588235	0.7959183673469388	0.7702702702702703	0.792	0.8015873015873016	0.7705882352941177	0.8470588235294118	0.7912087912087912	0.7702702702702703
Perspectives on climate change and sustainability	0.8098591549295775	0.7983870967741935	0.7843137254901961	0.7551020408163265	0.8163265306122449	0.808	0.8333333333333334	0.8235294117647058	0.8	0.7472527472527473	0.8245614035087719
TAFV Alternative Fuels and Vehicles Choice Model Documentation	0.7112676056338029	0.7419354838709677	0.7450980392156863	0.7244897959183674	0.7903225806451613	0.832	0.8253968253968254	0.788235294117647	0.7411764705882353	0.7912087912087912	0.5645161290322581
Teardown Cost Estimates of Automotive Equipment Manufactured to Comply with Motor Vehicle Standard  FMVSS 214D  Side Impact Protection Side Air Bag Features	0.782051282051282	0.7243589743589743	0.7564102564102564	0.8012820512820513	0.8461538461538461	0.8269230769230769	0.8012820512820513	0.8235294117647058	0.75	0.7756410256410257	0.8141025641025641
Transportation Sector Module of the National Energy Modeling System Model Documentation 2007	0.4225352112676056	0.7419354838709677	0.7745098039215687	0.8673469387755102	0.7934782608695652	0.792	0.8015873015873016	0.7235294117647059	0.7282608695652174	0.8152173913043478	0.5652173913043478
US Automotive Industry Employment Trends	0.852112676056338	0.8306451612903226	0.8333333333333334	0.8367346938775511	0.8085106382978723	0.864	0.8492063492063492	0.8529411764705882	0.8	0.8131868131868132	0.7543859649122807
Vehicle Survivability and Travel Mileage Schedules	0.8098591549295775	0.7903225806451613	0.7843137254901961	0.4897959183673469	0.88	0.816	0.8492063492063492	0.8470588235294118	0.788235294117647	0.7692307692307693	0.8421052631578947
Vehicle Weight Fatality Risk and Crash Compatibility of Model Year 199199 Passenger Cars and Light Trucks	0.7605633802816901	0.7983870967741935	0.8380952380952381	0.7333333333333333	0.7523809523809524	0.816	0.8253968253968254	0.7647058823529411	0.8380952380952381	0.8095238095238095	0.8
Staff Report Initial Statement of Reasons	0.8028169014084507	0.8064516129032258	0.8235294117647058	0.7959183673469388	0.723404255319149	0.808	0.8253968253968254	0.8176470588235294	0.7764705882352941	0.7582417582417582	0.7894736842105263
Peer Review Report Summary Estimating the Energy Security Benefits of Reduced US Oil Imports	0.7535211267605634	0.75	0.8431372549019608	0.8163265306122449	0.717391304347826	0.696	0.7857142857142857	0.7764705882352941	0.8369565217391305	0.8152173913043478	0.8043478260869565
Reducing Greenhouse Gas Emissions from LightDuty Motor Vehicles	0.7887323943661971	0.7661290322580645	0.7843137254901961	0.8163265306122449	0.7777777777777778	0.784	0.7857142857142857	0.8117647058823529	0.8	0.7912087912087912	0.8253968253968254
Variable Costs of Fuel Economy Technologies	0.8309859154929577	0.7741935483870968	0.7941176470588235	0.7959183673469388	0.8297872340425532	0.824	0.8412698412698413	0.8529411764705882	0.788235294117647	0.8351648351648352	0.7894736842105263
Does Britain or the US Have the Right Gasoline Tax	0.7816901408450704	0.7903225806451613	0.7941176470588235	0.7551020408163265	0.88	0.792	0.7936507936507936	0.8235294117647058	0.7647058823529411	0.7472527472527473	0.7894736842105263
How to make a car lighter and safer	0.8380281690140845	0.8225806451612904	0.8235294117647058	0.7959183673469388	0.7659574468085106	0.864	0.8571428571428571	0.8529411764705882	0.8	0.7912087912087912	0.7192982456140351
National Household Transportation Survey	0.795774647887324	0.8064516129032258	0.8137254901960784	0.826530612244898	0.8723404255319149	0.808	0.8333333333333334	0.8176470588235294	0.788235294117647	0.8021978021978022	0.8421052631578947
Note on Strategic Cost Dynamics	0.8450704225352113	0.8306451612903226	0.8431372549019608	0.8367346938775511	0.7872340425531915	0.856	0.8650793650793651	0.8764705882352941	0.8117647058823529	0.8021978021978022	0.7192982456140351
Regulatory Analysis 	0.9014084507042254	0.8870967741935484	0.8725490196078431	0.7959183673469388	0.8085106382978723	0.888	0.8968253968253969	0.9117647058823529	0.8588235294117647	0.8241758241758241	0.8596491228070176
The Economics of Energy Security Theory Evidence Policy	0.7816901408450704	0.7741935483870968	0.7941176470588235	0.7653061224489796	0.8	0.776	0.8174603174603174	0.8352941176470589	0.7647058823529411	0.7582417582417582	0.8070175438596491
The Value of Saving Travel Time Departmental Guidance for Conducting Economic Evaluations	0.7394366197183099	0.7096774193548387	0.7941176470588235	0.6632653061224489	0.7865168539325843	0.816	0.7777777777777778	0.7647058823529411	0.8539325842696629	0.7802197802197802	0.7640449438202247
Toward Cost Buydown via LearningbyDoing for Environmental Energy Technologies	0.7464788732394366	0.7419354838709677	0.8333333333333334	0.8367346938775511	0.7922077922077922	0.808	0.8174603174603174	0.8	0.8352941176470589	0.7912087912087912	0.8051948051948052
Unpublished analysis of RL Polk vehicle registration data	0.8098591549295775	0.7419354838709677	0.7156862745098039	0.7448979591836735	0.7894736842105263	0.808	0.8015873015873016	0.8176470588235294	0.7529411764705882	0.8021978021978022	0.8596491228070176
Vehicle Use and Fuel Economy How Big is the Rebound Effect	0.8098591549295775	0.6935483870967742	0.7745098039215687	0.7142857142857143	0.7758620689655172	0.808	0.8492063492063492	0.8235294117647058	0.8	0.7692307692307693	0.8103448275862069
Joint Press Release of the Council of Economic Advisors the Department of the Treasury and the Office of Management and Budget	0.7816901408450704	0.8253968253968254	0.8095238095238095	0.8015873015873016	0.7698412698412699	0.8412698412698413	0.7936507936507936	0.7529411764705882	0.7857142857142857	0.7777777777777778	0.8174603174603174
National Vehicle Population Profile 19772003	0.8309859154929577	0.782258064516129	0.5686274509803921	0.8061224489795918	0.851063829787234	0.816	0.8412698412698413	0.8470588235294118	0.7764705882352941	0.7912087912087912	0.8596491228070176
Transportation Energy Data Book Edition 26	0.8098591549295775	0.8145161290322581	0.7941176470588235	0.8469387755102041	0.7872340425531915	0.824	0.8492063492063492	0.8529411764705882	0.7294117647058823	0.7692307692307693	0.8070175438596491
49 USC 32902f	0.971830985915493	0.9758064516129032	0.9607843137254902	0.9591836734693877	0.9361702127659575	0.944	0.9682539682539683	0.9705882352941176	0.9764705882352941	0.967032967032967	0.9473684210526315
71 Fed Reg 17566 1766970	0.9436619718309859	0.9354838709677419	0.8921568627450981	0.9081632653061225	0.8936170212765957	0.92	0.9206349206349206	0.9529411764705882	0.9294117647058824	0.9230769230769231	0.8596491228070176
71 FR 1759697	0.9859154929577465	0.967741935483871	0.9509803921568627	0.9693877551020408	0.9574468085106383	0.968	0.9523809523809523	0.9823529411764705	0.9647058823529412	0.967032967032967	0.9649122807017544
71 FR 77871	0.9859154929577465	0.967741935483871	0.9509803921568627	0.9693877551020408	0.9574468085106383	0.96	0.9603174603174603	0.9823529411764705	0.9647058823529412	0.967032967032967	0.9649122807017544
71 FR 77871 	0.9788732394366197	0.9596774193548387	0.9411764705882353	0.9591836734693877	0.9361702127659575	0.952	0.9523809523809523	0.9764705882352941	0.9529411764705882	0.9560439560439561	0.9473684210526315
71 FR 77872	0.9859154929577465	0.967741935483871	0.9509803921568627	0.9693877551020408	0.9574468085106383	0.952	0.9523809523809523	0.9823529411764705	0.9529411764705882	0.967032967032967	0.9649122807017544
Federal Register Vol 72 83	0.8802816901408451	0.8629032258064516	0.8333333333333334	0.8469387755102041	0.851063829787234	0.864	0.9047619047619048	0.888235294117647	0.8235294117647058	0.8461538461538461	0.7894736842105263
Fuel Economy Labeling of Motor Vehicles Revisions to Improve Calculations of Fuel Economy Estimates 	0.7535211267605634	0.24193548387096775	0.7941176470588235	0.8	0.78	0.784	0.746031746031746	0.7647058823529411	0.77	0.81	0.76
Corporate Average Fuel Economy and CAFE Reform for MY 20082011 Light Trucks	0.8098591549295775	0.75	0.7843137254901961	0.826530612244898	0.8133333333333334	0.792	0.8015873015873016	0.8176470588235294	0.8470588235294118	0.8351648351648352	0.8266666666666667
Oil Prices Energy Security and Import Policy 	0.8169014084507042	0.782258064516129	0.7941176470588235	0.7857142857142857	0.7872340425531915	0.736	0.8333333333333334	0.8411764705882353	0.7529411764705882	0.7362637362637363	0.7894736842105263
Learning Curves in Manufacturing 	0.8380281690140845	0.8387096774193549	0.8431372549019608	0.8163265306122449	0.8085106382978723	0.848	0.8571428571428571	0.8705882352941177	0.788235294117647	0.8021978021978022	0.8070175438596491
The Effect of Annual Changes in Automobile Fuel Economy Standards	0.7746478873239436	0.7016129032258065	0.7647058823529411	0.7755102040816326	0.7692307692307693	0.808	0.8095238095238095	0.8058823529411765	0.8	0.7472527472527473	0.8307692307692308
An Overlapping Choice Set Model of Automotive Price Elasticities	0.7676056338028169	0.75	0.7745098039215687	0.7653061224489796	0.78125	0.8	0.7936507936507936	0.8117647058823529	0.8	0.7362637362637363	0.765625
The marginal damage costs of carbon dioxide emissions an assessment of the uncertainties	0.7323943661971831	0.7096774193548387	0.7549019607843137	0.8061224489795918	0.7272727272727273	0.784	0.8095238095238095	0.7529411764705882	0.8068181818181818	0.8241758241758241	0.7386363636363636
The Demand for Vehicle Use in the Urban Household Sector Theory and Empirical Evidence	0.7464788732394366	0.7661290322580645	0.7941176470588235	0.7857142857142857	0.8023255813953488	0.784	0.7777777777777778	0.7764705882352941	0.8488372093023255	0.7912087912087912	0.7790697674418605
Gasoline Price Expectations and the Used Automobile Market A Rational Expectations Asset Price Approach	0.7183098591549296	0.782258064516129	0.8349514563106796	0.8252427184466019	0.7864077669902912	0.76	0.7857142857142857	0.7235294117647059	0.7572815533980582	0.8058252427184466	0.7766990291262136
Fuel Economy Rebound Effect for US Household Vehicles	0.8169014084507042	0.75	0.7941176470588235	0.826530612244898	0.7924528301886793	0.816	0.8015873015873016	0.8588235294117647	0.788235294117647	0.8131868131868132	0.7368421052631579
Market Price and Income Elasticities of New Vehicle Demands	0.7605633802816901	0.7741935483870968	0.7745098039215687	0.7653061224489796	0.7627118644067796	0.808	0.7777777777777778	0.8117647058823529	0.7411764705882353	0.7472527472527473	0.8135593220338984
Energy and Security Externalities and Policies	0.795774647887324	0.8064516129032258	0.7843137254901961	0.7346938775510204	0.7659574468085106	0.792	0.8253968253968254	0.8352941176470589	0.7529411764705882	0.6593406593406593	0.7894736842105263
The Production Recipes Approach to Modeling Technological Innovation An Application to Learning by Doing	0.7605633802816901	0.7096774193548387	0.7884615384615384	0.8365384615384616	0.8173076923076923	0.808	0.8015873015873016	0.7411764705882353	0.7884615384615384	0.7788461538461539	0.75
Causal Influence of Car Mass and Size on Driver Fatality Risk	0.8098591549295775	0.7741935483870968	0.7647058823529411	0.7755102040816326	0.7704918032786885	0.784	0.8095238095238095	0.7941176470588235	0.7647058823529411	0.7582417582417582	0.7704918032786885
