ria,cite,jac,jac_match,jac_check,lev,lev_match,lev_check,partial,partial_match,partial_check,sor,sor_match,sor_check,source,type
1210-AB07,Out of Sight Out of Mind The Effects of Expenses on Mutual Fund Flows,0.447368421,3 Total annual operating expenses means annual operating expenses of the designated investment alternative eg investment management fees distribution service and administrative Exchange Commission Form N–1A with respect to an openend management investment company registered under the Investment Company Act of,0,0.787610619,4 At least annually thereafter means at least once in any 12month period Signed at Washington DC this 15th day of,0,0.6,Office of Regulations and Interpretations Employee Benefits Security Administration 202 693– 1 The authority citation for part 2550 continues to read as follows Authority 29 USC,0,0.288135593,3 Total annual operating expenses means annual operating expenses of the designated investment alternative eg investment management fees distribution service and administrative Exchange Commission Form N–1A with respect to an openend management investment company registered under the Investment Company Act of,0,gt,Scholarly Journal
1625-AA32,Invasion Vectors a conceptual framework for management,0.357142857,Value of lost fishing opportunities and indirect impacts if sea lamprey is not controlled in the Great Lakes  500000000,0,0.719512195,Ballast Water Discharge Standard Draft Programmatic Environmental Impact Statement,0,0.5,In Ships or On Ships Mechanisms of Transfer and Invasion for Nonnative Species to the Coasts or North America Invasive Species Vectors and Management Strategies,0,0.217391304,Value of lost fishing opportunities and indirect impacts if sea lamprey is not controlled in the Great Lakes  500000000,0,gt,Book
1904-AA92,The Rare Gets More Rare The Rare Gases Market Update,0.619047619,Scenarios In the,0,0.79375,Available at httpwwwcensusgov Solid State Lighting MultiYear Program Plan51 Lastly using markup based on currentlyavailable LED lamps DOE was market until after,0,0.6,Available at httpwwwcensusgov Solid State Lighting MultiYear Program Plan51 Lastly using markup based on currentlyavailable LED lamps DOE was market until after,0,0.448275862,Scenarios In the,0,gt,Non-government report
2060-AO81,Information about the 2005 NEI ,0.416666667,National Estuarine Eutrophication Assessment Effects of Nutrient Enrichment,0,0.681818182,Transportation Energy Data Book 25th Edition,0,0.42,Energy Information Administration EIA historical company level ethanol and gasoline import data httpwwweiadoegovoilgaspetroleumdatapublicationscompanylevelimportsclihistoric alhtml “The US Truck Driver Shortage Analysis and Forecasts” Prepared by Global Insights for the American Trucking Association,0,0.263157895,National Estuarine Eutrophication Assessment Effects of Nutrient Enrichment,0,gt,Other
1855-AA06,The impact of individual Teachers on Students Achievement Evidence from Panel Data,0.41025641,What Does Certification Tell Us About Teacher Effectiveness Evidence from New York City’’ NBER Working Paper No,0,0.730434783,What Does Certification Tell Us About Teacher Effectiveness Evidence from New York City’’ NBER Working Paper No,0,0.49,What Does Certification Tell Us About Teacher Effectiveness Evidence from New York City’’ NBER Working Paper No,0,0.258064516,What Does Certification Tell Us About Teacher Effectiveness Evidence from New York City’’ NBER Working Paper No,0,gt,Scholarly Journal
2502-AI61,Are BuilderLenders Better,0.45,Lenders Want AU Flexibility,0,0.741935484,American Homeowners Association,0,0.48,Mortgage Lenders Prepare for Brave New World of Bundled Services—Well,0,0.290322581,Lenders Want AU Flexibility,0,gt,Article
2040-AE95,Paper  Forest Products Industry,0,Paper  Forest Products Industry,1,0,Paper  Forest Products Industry,1,0,Paper  Forest Products Industry,1,0,Paper  Forest Products Industry,1,gt,Non-Government Report
0938-AQ13,Comments from VHA Health Care as Health Care Provider testimony by Barbara Mayerick for NCVHS,0.387096774,a Covered health care providers A covered health care provider must comply with the implementation specifications,0,0.672566372,a Covered health care providers A covered health care provider must comply with the implementation specifications,0,0.52,Number of Small Entities and Scope of Analysis a Health Care Providers Physician Total SavingsCost Avoidance  6532 13612 10072 Total Costs  2133 8784 5459  Costs and savings of HPID are calculated over 11 years,0,0.24,a Covered health care providers A covered health care provider must comply with the implementation specifications,0,gt,Hearing
2060-AP52,Reactivity and mobility of new and old mercury deposition in a boreal forest ecosystem during the first year of the METAALICUS study,0.151515152,Assessing the Economic Impact of Invasive Weeds The Case of Leafy Spurge Euphorbia esula,0,0.696969697,Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish,,0.49,Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish,0,0.081967213,Assessing the Economic Impact of Invasive Weeds The Case of Leafy Spurge Euphorbia esula,0,gt,Scholarly Journal
1219-AB64,Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor,0,Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor,1,0,Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor,1,0,Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor,1,0,Laboratory and Field Performance of a Continuously Measuring Personal Respirable Dust Monitor,1,gt,Government Report 
1904-AB70,Telephone conversation with Barbara Atkinson LBNL,0.181818182,Telephone conversation with Barbara,1,0.285714286,Telephone conversation with Barbara,1,0,Telephone conversation with Barbara,1,0.1,Telephone conversation with Barbara,1,gt,Other
2060-AP52,Separation of risks and benefits of seafood intake,0.409090909,Status assessment and conservation plan for the common loon Gavia immer,0,0.655172414,Bioaccumulation of mercury in pelagic freshwater food webs,0,0.46,Review of the governing equations computational algorithms and other components of the models3 Community Multiscale Air Quality CMAQ modeling system,0,0.257142857,Status assessment and conservation plan for the common loon Gavia immer,0,gt,Scholarly Journal
1625-AA32,Ships Ballast Water and the Introduction of Exotic Organisms into the San Francisco Estuary Current Status of the Problem and Options for Management,0.228571429,Microbial Ecology of Ballast Water during a Transoceanic Voyage and the Effects of OpenOcean Exchange Marine Ecology Progress Series 233,0,0.639751553,Pathways and Consequences of the Introduction of NonIndigenous Fishes in the United States ” contractor report prepared for the Office of Technology Assessment,0,0.5,Ballast Water Heating Offers a Superior Treatment Option,0,0.129032258,Microbial Ecology of Ballast Water during a Transoceanic Voyage and the Effects of OpenOcean Exchange Marine Ecology Progress Series 233,0,gt,Non-Government Report
2060-AP52,Natality publicuse data 20032006 on CDC WONDER Online Database,0.448275862,Elementary school absenteeism and air pollution,0,0.706666667,Estimating the Public Health Benefits of Proposed Air Pollution Regulations,0,0.59,Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US Environ,0,0.288888889,Elementary school absenteeism and air pollution,0,gt,Database
2127-AK23,Ejection Mitigation Using Advanced Glazings A Status Report,0.870967742,NO PARSCIT CITATIONS,,0.93220339,NO PARSCIT CITATIONS,,0.8,NO PARSCIT CITATIONS,,0.771428571,NO PARSCIT CITATIONS,,gt,Government Report
1210-AB13,LifeCycle Funds,0.583333333,The Effects of Expenses on Mutual Fund Flows,0,0.795454545,The Effects of Expenses on Mutual Fund Flows,0,0.54,The Effects of Expenses on Mutual Fund Flows,0,0.411764706,The Effects of Expenses on Mutual Fund Flows,0,gt,Other
0910-AG57,Is the Obesity Epidemic a Public Health Problem A Decade of Research on the Economics of Obesity,0.111111111,Is the Obesity Epidemic a Public Health Problem A Decade,1,0.416666667,Is the Obesity Epidemic a Public Health Problem A Decade,1,0,Is the Obesity Epidemic a Public Health Problem A Decade,1,0.058823529,Is the Obesity Epidemic a Public Health Problem A Decade,1,gt,Scholarly Journal
1557-AD40,Tranching and Rating,0.842105263,NO PARSCIT CITATIONS,,1,NO PARSCIT CITATIONS,,0.9,NO PARSCIT CITATIONS,,0.727272727,NO PARSCIT CITATIONS,,gt,Other
2060-AP90,OAQPS Control Cost Manual Section 6 Particulate Matter Controls Chapter 2 Wet Scrubbers for Particulate Matter,0.361111111,OAQPS Control Cost Manual Section 42 NOX Post Combustion Chapter 1 Selective Noncatalytic Reduction Publication US,1,0.561403509,OAQPS Control Cost Manual Section 42 NOX Post Combustion Chapter 1 Selective Noncatalytic Reduction Publication US,1,0.4,OAQPS Control Cost Manual Section 42 NOX Post Combustion Chapter 1 Selective Noncatalytic Reduction Publication US,1,0.220338983,OAQPS Control Cost Manual Section 42 NOX Post Combustion Chapter 1 Selective Noncatalytic Reduction Publication US,1,gt,
2502-AI61,What Happened to the Paperless Mortgage Online Home Loans Were Supposed to be the Future They Still May Be,0.107142857,What Happened to the Paperless Mortgage Online Home Loans Were Supposed to be the Future,1,0.169811321,What Happened to the Paperless Mortgage Online Home Loans Were Supposed to be the Future,1,0,What Happened to the Paperless Mortgage Online Home Loans Were Supposed to be the Future,1,0.056603774,What Happened to the Paperless Mortgage Online Home Loans Were Supposed to be the Future,1,gt,Article
1601-AA34,Percentage of Exit Records Matched to Entry Records,0.517241379,Department of Homeland Security Office of Immigration Statistics,0,0.734375,Department of Homeland Security Office of Immigration Statistics,0,0.57,Hourly Compensation Rates of ICE Immigration Enforcement Officers Variable Description This is the “fully burdened” average wage rate of a typical ICE Immigration Enforcement Officer It includes gross hourly wage as well as benefits The benefits were estimated Date 04172008 F19 h Cost119 In examining each of the five alternatives listed DHS developed a cost estimate for each These cost estimates are more fully explained in relation to the Executive Order 12866 and Regulatory Flexibility Analysis infra Alternatives C and E are expected to add additional significant labor costs relative to the other three alternatives and thus would have these additional costs recurring beyond the first year Alternative A Carrier biometric collection at checkin Counters 949000000 Alternative B DHS collection at checkin counters 357000000 Alternative C DHS collection at TSA checkpoint 304000000 Alternative D Carrier collection at aircraft gate 449000000 Alternative E Government collection at aircraft gate,0,0.348837209,Department of Homeland Security Office of Immigration Statistics,0,gt,Government Report
2060-AP52,The physiological basis of ozone injury assessment attributes in Sierran conifers,0.192307692,Synergistic action of the benzene metabolite hydroquinone on myelopoietic stimulating activity of granulocytemacrophage colonystimulating factor in vitro,0,0.654320988,Direct Medical Costs of Coronary Artery Disease in the United States,0,0.52,Direct Medical Costs of Coronary Artery Disease in the United States,0,0.106382979,Synergistic action of the benzene metabolite hydroquinone on myelopoietic stimulating activity of granulocytemacrophage colonystimulating factor in vitro,0,gt,Book 
2050-AE81,Federal Actions to Address Environmental Justice in Minority Populations and LowIncome Populations,0.413793103,Statelocal govt cost as percentage of StateLocal government electric utility annual revenues,0,0.755102041,Statelocal government 100 million direct cost threshold test,0,0.57,National aggregated plant data comparison to statewide benchmarks Step 3 On a plantbyplant basis EPA compared the plant ZCTA percentage children to the respective statewide average percentage children Step 4 For purpose of summary EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below There are no data displayed for DC ID RI or VT because there are no coalfired electric utility plants in those states,0,0.260869565,Statelocal govt cost as percentage of StateLocal government electric utility annual revenues,0,gt,Other
1210-AB13,The Behavioral Economics of Retirement Savings Behavior,0.275862069,The Behavioral Economics of Retirement Savings Behavior AARP Public Policy Institute White Paper,1,0.427083333,The Behavioral Economics of Retirement Savings Behavior AARP Public Policy Institute White Paper,1,0,The Behavioral Economics of Retirement Savings Behavior AARP Public Policy Institute White Paper,1,0.16,The Behavioral Economics of Retirement Savings Behavior AARP Public Policy Institute White Paper,1,gt,Non-government report
2060-AN99,Causatic Potash Chemical Profile,0.36,EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act,0,0.6875,Inc 2009b Potassium Hydroxide,0,0.47,Industrywide Uses of Chlorine by Industry 27 22 Use of Caustic Soda by Industry 27 23 Use of Caustic Potash by Industry  28 24 Income or Loss as Net a Percentage of Sales Basic Chemicals Resins and Synthetics NAICS 3251 and 3252 2000–2005  214 31 Capital Cost Factor ton Cl2 produced vs Capacity  35 41 Price Trends Alkalis and Chlorine Manufacturing,0,0.219512195,EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act,0,gt,Non-Governmental Report
2126-AB20,A Review of the Federal Motor Carrier Safety Administrations Economic Analysis for its Proposed Hours of Service Standard,0.225806452,Effects of loading and unloading cargo on commercial truck driver alertness and performance Federal Motor Carrier Safety Administration FMCSA,0,0.669421488,A Survey of Private Fleets on their Use of Three New Hours of Service Featuresquot,0,0.47,Pay for Safety An Economic Alternative for Truck Driver Safetyquot,0,0.127272727,Effects of loading and unloading cargo on commercial truck driver alertness and performance Federal Motor Carrier Safety Administration FMCSA,0,gt,Non-Government Report
2060-AM44,2006 National Ambient Air Quality Standards for Particulate Matter Chapter 5,0.323529412,Animal Slaughtering and Processing made up the largest share of both employment 33 and the value of shipments 27,0,0.682170543,Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US” Environ Sci Technol,0,0.47,Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry Office of Air Quality Planning and Standards Research Triangle Park,0,0.192982456,Animal Slaughtering and Processing made up the largest share of both employment 33 and the value of shipments 27,0,gt,
2070-AJ57,Draft Final Report on Characterization of Dust Lead Levels after Renovation Repair and Painting Activities,0.272727273,Economic Analysis for the TSCA Lead Renovation Repair and Painting Program Final Rule for Target Housing and ChildOccupied Facilities,0,0.698113208,Do Children with Falling Blood Lead Levels Have Improved Cognition,0,0.49,Do Children with Falling Blood Lead Levels Have Improved Cognition,0,0.157894737,Economic Analysis for the TSCA Lead Renovation Repair and Painting Program Final Rule for Target Housing and ChildOccupied Facilities,0,gt,Government Report 
2060-AN99,Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution,0.107142857,Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution”,1,0.03125,Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution”,1,0,Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution”,1,0.056603774,Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution”,1,gt,Scholarly Journal
2060-AP36,Agricultural Projections to 2017,0.416666667,Circular A4 Regulatory Analysis,0,0.59375,Environmental Protection Agency,0,0.5,Industrial Production Index NAICS 2211 32 32 Internal Combustion Generators by State,0,0.263157895,Circular A4 Regulatory Analysis,0,gt,Government Report
2060-AP58, National  Emission Standards for Hazardous Air Pollutants  from the Portland Cement Manufacturing Industry,0.258064516,Office of Chief Counsel National Highway Traffic Safety Administration,0,0.728971963,National Academy of Sciences National Academy of Engineering,0,0.54,c The model year report must include the following information 1i All fuel economy data used in the FTPHFETbased model type calculations under § 600208–12 and subsequently required by the Administrator in accordance with § 600507 ii All carbonrelated exhaust emission data used in the FTPHFETbased model type calculations under § 600208–12 and subsequently required by the Administrator in accordance with § 600507 2i All fuel economy data for certification vehicles and for vehicles tested for running changes approved under § 861842–01 of this chapter ii All carbonrelated exhaust emission data for certification vehicles and for vehicles tested for running changes approved under § 861842–01 of this chapter 3 Any additional fuel economy and carbonrelated exhaust emission data submitted by the manufacturer under § 600509 4i A fuel economy value for each model type of the manufacturer’s product line calculated according to § 600510b2 ii A carbonrelated exhaust emission value for each model type of the manufacturer’s product line calculated according to § 600510b2 5i The manufacturer’s average fuel economy value calculated according to address of the official responsible for preparing the report iv,0,0.148148148,Office of Chief Counsel National Highway Traffic Safety Administration,0,gt,
2060-AP58,The Effect of Annual Changes in Automobile Fuel Economy Standards,0.24137931,Office of Chief Counsel National Highway Traffic Safety Administration,0,0.607594937,Effectiveness and Impact of Corporate Average Fuel Economy CAFE Standards’’,0,0.44,Effectiveness and Impact of Corporate Average Fuel Economy CAFE Standards’’,0,0.137254902,Office of Chief Counsel National Highway Traffic Safety Administration,0,gt,Scholarly Journal
2120-AI70,Proposal for a MarketBased Solution to Airport Delays,0.24137931,Richard quotProposal for a MarketBased Solution to Airport Delaysquot Economic Analysis Group,1,0.430107527,Richard quotProposal for a MarketBased Solution to Airport Delaysquot Economic Analysis Group,1,0,Richard quotProposal for a MarketBased Solution to Airport Delaysquot Economic Analysis Group,1,0.137254902,Richard quotProposal for a MarketBased Solution to Airport Delaysquot Economic Analysis Group,1,gt,Government Report
2060-AP58,Average Expenditures for Auto Insurance By State 20052006,0.380952381,Toxicological Review of Benzene Noncancer Effects Environmental Protection Agency Integrated Risk Information System IRIS Research and Development National Center for Environmental Assessment Washington DC This material is available electronically at httpwwwepagovirissubst0276htm,0,0.738095238,Energy and Security Externalities and Policies’’ Energy Policy 211093–1109 and,0,0.55,Subpart A—Fuel Economy and CarbonRelated Exhaust Emission Regulations for 1977 and Later Model Year Automobiles—General Provisions 31 The heading for subpart A is revised as set forth above 32 A new § 600001–12 is added to subpart A to read as follows § 600001–12 General applicability a The provisions of this subpart are 34 Section 600006–08 is amended as follows a By revising the heading b By revising paragraph b2ii c By revising paragraph b2iv d By adding paragraph c5 e By revising paragraph e f By revising paragraph g3 § 600006–08 Data and information requirements for fuel economy data vehicles 35 Section 600007–08 is amended as follows a By revising paragraph b4 through 6 b By revising paragraph c c By revising paragraph f introductory text,0,0.235294118,Toxicological Review of Benzene Noncancer Effects Environmental Protection Agency Integrated Risk Information System IRIS Research and Development National Center for Environmental Assessment Washington DC This material is available electronically at httpwwwepagovirissubst0276htm,0,gt,Database
2040-AE91,National Water Quality Inventory Report to Congress 2002 Reporting Cycle,0.125,National Water Quality Inventory Report to Congress,1,0.291666667,National Water Quality Inventory Report to Congress,1,0,National Water Quality Inventory Report to Congress,1,0.066666667,National Water Quality Inventory Report to Congress,1,gt,Government Report
2040-AE95,Executive Order No 13508,0.458333333,Executive Office of the President,1,0.575757576,Executive Office of the President,1,0.38,Executive Office of the President,1,0.297297297,Executive Office of the President,1,gt,Government Report
2060-AP90,Revised Secondary Environmental and Energy Impacts for New HMIWI EPA Contract No EPD06118 Work Assignment No 309 SPPD No 0230 RTI Project No 0210426003009,0.265306122,Costs to be replaced include a bag leak detector replacing opacity test b CO CEMS replacing CO test and secondary chamber temperature monitorc HCl CEMS replacing HCl test HCl sorbent monitor dry scrubbers and scrubber liquor pH monitor wet Sources 1 HospitalMedicalInfectious Waste Incinerators HMIWI EPAHQOAR20060534 Testing and Monitoring Options and Costs Memo,0,0.746753247,Lindsay Wichers Stanek PM Team Leader—National Center for Environmental Assessment NCEA US Environmental Protection Agency,0,0.42,Environmental Protection Agency,0,0.152941176,Costs to be replaced include a bag leak detector replacing opacity test b CO CEMS replacing CO test and secondary chamber temperature monitorc HCl CEMS replacing HCl test HCl sorbent monitor dry scrubbers and scrubber liquor pH monitor wet Sources 1 HospitalMedicalInfectious Waste Incinerators HMIWI EPAHQOAR20060534 Testing and Monitoring Options and Costs Memo,0,gt,Non-Government Report 
1218-AB80,Safety Standards for Scaffolds Used in the Construction Industry,0.217391304,receipts and payroll data from US Census Bureau Statistics of US Businesses,0,0.694444444,Occupational Safety and Health Administration Fixed Ladders Used on Outdoor Advertising StructuresBillboards in the Outdoor Advertising Industry,0,0.5,Occupational Safety and Health Administration Fixed Ladders Used on Outdoor Advertising StructuresBillboards in the Outdoor Advertising Industry,0,0.12195122,receipts and payroll data from US Census Bureau Statistics of US Businesses,0,gt,Regulation 
2060-AO81,Chemical Kinetics and Photochemical Data for Use in Atmospheric Studies Evaluation Number 14,0.121212121,Chemical Kinetics and Photochemical Data for use in Atmospheric Studies Evaluation Number 14 NASA Jet Propulsion Laboratory,1,0.260162602,Chemical Kinetics and Photochemical Data for use in Atmospheric Studies Evaluation Number 14 NASA Jet Propulsion Laboratory,1,0.02,Chemical Kinetics and Photochemical Data for use in Atmospheric Studies Evaluation Number 14 NASA Jet Propulsion Laboratory httpjpldataevaljplnasagovindexhtml,1,0.064516129,Chemical Kinetics and Photochemical Data for use in Atmospheric Studies Evaluation Number 14 NASA Jet Propulsion Laboratory,1,gt,Other
2060-AO81,N2O release from agrobiofuel production negates global warming reduction by replacing fossil fuels,0.192307692,On avoiding dangerous anthropogenic interference with the climate system Formidable challenges ahead,0,0.689655172,Life cycle inventory of biodiesel production from Jatropha Expert seminar on Jatropha curcas L Agronomy and Genetics,0,0.49,California Biomass and Biofuels Production Potential,0,0.106382979,On avoiding dangerous anthropogenic interference with the climate system Formidable challenges ahead,0,gt,Scholarly Journal
2060-AO81,Primary and secondary contributions to ambient PM in the midwestern United States,0.28,An association between air pollution and mortality in six US,0,0.283185841,Primary and secondary contributions to ambient PM in the midwestern United States Environ Sci Technol 42933033309,,1,Primary and secondary contributions to ambient PM in the midwestern United States Environ Sci Technol 42933033309 httppubsacsorgcgibinarticlecgiesthag200842i09htmles0720412html Kleindienst TE,,1,An association between air pollution and mortality in six US,0,gt,Scholarly Journal
0583-AC60,Economics of Food Labeling,0.384615385,Estimated Benefits of Nutrition Label Changes Final Report,0,0.706896552,Estimated Benefits of Nutrition Label Changes Final Report,0,0.2,Information Advertising and Health A Study of the Cereal Market’’ In Economics of Food Safety,0,0.238095238,Estimated Benefits of Nutrition Label Changes Final Report,0,gt,Government Report
0910-AG41,Preliminary Estimates from the Forthcoming FDA Labeling Cost Model,0.071428571,Spreadsheet Preliminary Estimates from the Forthcoming FDA Labeling Cost Model,1,0.153846154,Spreadsheet Preliminary Estimates from the Forthcoming FDA Labeling Cost Model,1,0,Spreadsheet Preliminary Estimates from the Forthcoming FDA Labeling Cost Model,1,0.037037037,Spreadsheet Preliminary Estimates from the Forthcoming FDA Labeling Cost Model,1,gt,Non-Government Report 
1218-AC20,On the stability of the arousal strength of warning signal words,0.291666667,A framework for human relevance analysis of information on carcinogenic modes of action,0,0.75,The revisions read as follows,0,0.54,territories are,0,0.170731707,A framework for human relevance analysis of information on carcinogenic modes of action,0,gt,Scholarly Journal
2060-AP58,49 USC 32905,0.771428571,Nordhaus The Challenge of Global Warming 2008 Nicholas Stern The Economics of Climate Change 2007 Discounting and 49723,0,0.915492958,Specific gravity of methanol as measured by ASTM D 1298–85 Reapproved,0,0.09,Jkt 217001 PO 00000 Frm 00334 Fmt 4701 Sfmt 4700 EFRFM28SEP2SGM 28SEP2ms 4 The authority citation for part 533 continues to read as follows Authority 49 USC 32902 delegation of authority at 49 CFR 150 5 Amend § 5335 by adding Figures 2 values in Table VI,0,0.627906977,Nordhaus The Challenge of Global Warming 2008 Nicholas Stern The Economics of Climate Change 2007 Discounting and 49723,0,gt,Regulation
1117-AA61,A Conceptual Framework for Evaluating Outpatient Electronic Prescribing Systems Based on their Functional Capabilities,0.264705882,Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems A Field Study”,0,0.627118644,Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems A Field Study”,0,0.37,Electronic Prescribing Systems Making it safer to take your medicine” Research Highlights,0,0.152542373,Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems A Field Study”,0,gt,Scholarly Journal
0910-AG41,Impact of graphic and text warnings on cigarette packs findings from four countries over five years,0.115384615,Impact of graphic and text warnings on cigarette packs findings from four countries over five years’’,1,0.057142857,Impact of graphic and text warnings on cigarette packs findings from four countries over five years’’,1,0,Impact of graphic and text warnings on cigarette packs findings from four countries over five years’’,1,0.06122449,Impact of graphic and text warnings on cigarette packs findings from four countries over five years’’,1,gt,Scholarly Journal
