	We are chronically sleep deprived	Circadian rhythms in the secretion of cortisol adrenaline and noradrenaline	Sleepiness as a consequence of shift work	Concepts and Models of Sleep Regulation An overviewquot	Homeostatic and circadian components of sUbjective alertness interact in a nonadditive mannerquot	Bimodal distribution of REM sleep latency during forced desynchrony model implicationsquot	Review of fatigue detection and prediction technologies	Effects of loading and unloading cargo on commercial truck driver alertness and performance Federal Motor Carrier Safety Administration FMCSA	Pay for Safety An Economic Alternative for Truck Driver Safetyquot	Commercial Motor Vehicle Driver Fatigue Alertness and Countermeasures Surveyquot Sponsored by US Department of Transportation Federal Highway Administration	A Survey of OwnerOperators and Company Drivers on their Use of Three New Hours of Service Featuresquot OOIDA Foundation	A Survey of Private Fleets on their Use of Three New Hours of Service Featuresquot	06 P a 00 00 I IS 00 os  Ii 00 il 1        1 The regular driver in addition to showing a higher overall effectiveness also shows much less
Commercial Driver Rest  Parking Requirements Making Space for Safety  Final Report	0.8170731707317073	0.7804878048780488	0.7317073170731707	0.7682926829268293	0.7731958762886598	0.7777777777777778	0.7682926829268293	0.7375886524822695	0.7926829268292683	0.7115384615384616	0.7899159663865546	0.8048780487804879	0.8043478260869565
Commercial motor vehicle driver fatigue and alertness study	0.8135593220338984	0.76	0.8305084745762712	0.711864406779661	0.7319587628865979	0.7888888888888889	0.7796610169491526	0.7659574468085106	0.7878787878787878	0.6730769230769231	0.7899159663865546	0.7804878048780488	0.7753623188405797
Commercial Motor Vehicle Driver Fatigue Alertness and Countermeasures Survey	0.7763157894736842	0.7894736842105263	0.8157894736842105	0.7236842105263158	0.7422680412371134	0.8	0.7631578947368421	0.7446808510638298	0.7894736842105263	0.5128205128205128	0.7394957983193278	0.8048780487804879	0.7898550724637681
Costs of Large Truck and Bus Involved Crashes	0.7777777777777778	0.7866666666666666	0.8888888888888888	0.7818181818181819	0.7938144329896907	0.7777777777777778	0.6727272727272727	0.8014184397163121	0.8333333333333334	0.8205128205128205	0.8235294117647058	0.7560975609756098	0.8333333333333334
Costs of Large TruckandBus Involved Crashes	0.7906976744186046	0.7866666666666666	0.9069767441860465	0.7636363636363637	0.8144329896907216	0.8	0.7090909090909091	0.8085106382978723	0.8333333333333334	0.8333333333333334	0.8403361344537815	0.7682926829268293	0.8478260869565217
Effects of loading and unloading cargo on commercial truck driver alertness and performance	0.7912087912087912	0.7032967032967034	0.8021978021978022	0.7692307692307693	0.7422680412371134	0.8681318681318682	0.7692307692307693	0.3546099290780142	0.7252747252747253	0.7692307692307693	0.7647058823529411	0.8021978021978022	0.7608695652173914
Effects of operating practices on commercial driver alertness	0.7868852459016393	0.7466666666666667	0.7868852459016393	0.8032786885245902	0.7525773195876289	0.8	0.7213114754098361	0.6666666666666666	0.7424242424242424	0.7948717948717948	0.7478991596638656	0.7439024390243902	0.7898550724637681
Effects of sleep schedules on commercial motor vehicle driver performance	0.7534246575342466	0.8	0.7534246575342466	0.7534246575342466	0.7628865979381443	0.8	0.7808219178082192	0.6737588652482269	0.7534246575342466	0.7692307692307693	0.7647058823529411	0.7682926829268293	0.782608695652174
FMCSAs Strategy	0.8787878787878788	0.92	0.9024390243902439	0.8727272727272727	0.9278350515463918	0.9111111111111111	0.8909090909090909	0.9361702127659575	0.8636363636363636	0.9166666666666666	0.9327731092436975	0.9024390243902439	0.9420289855072463
Impact of LocaiiSH Operations on Driver Fatigue Final Report	0.8166666666666667	0.7466666666666667	0.8	0.8166666666666667	0.7319587628865979	0.7888888888888889	0.7166666666666667	0.7801418439716312	0.7727272727272727	0.7884615384615384	0.773109243697479	0.7560975609756098	0.7898550724637681
Literature Review Relating to Proposed Revisions to the Hours of Service Regulation for Commercial Motor Vehicle Drivers	0.8333333333333334	0.725	0.8083333333333333	0.725	0.775	0.7666666666666667	0.7166666666666667	0.7588652482269503	0.7916666666666666	0.7628205128205128	0.7833333333333333	0.7166666666666667	0.8188405797101449
National Institute of Health website	0.8611111111111112	0.76	0.7804878048780488	0.7818181818181819	0.7938144329896907	0.7777777777777778	0.7636363636363637	0.8368794326241135	0.7878787878787878	0.8589743589743589	0.8403361344537815	0.7804878048780488	0.8695652173913043
Unit Costs of Medium and Heavy Truck Crashes	0.8409090909090909	0.7733333333333333	0.8636363636363636	0.8181818181818182	0.7835051546391752	0.7777777777777778	0.7272727272727273	0.8368794326241135	0.7424242424242424	0.8397435897435898	0.8151260504201681	0.7682926829268293	0.8478260869565217
Wage Adjustments in Local Labor Markets Do the Wage Rates in all Industries Adjust	0.7926829268292683	0.7804878048780488	0.7804878048780488	0.7317073170731707	0.7422680412371134	0.8222222222222222	0.7926829268292683	0.7588652482269503	0.7804878048780488	0.7756410256410257	0.7478991596638656	0.8414634146341463	0.782608695652174
Employer Costs for Employee Compensation December 2009	0.8148148148148148	0.8133333333333334	0.7592592592592593	0.8	0.7938144329896907	0.8	0.8181818181818182	0.8297872340425532	0.7727272727272727	0.8076923076923077	0.8067226890756303	0.7682926829268293	0.8478260869565217
Large Truck and Bus Crash Facts 200S	0.8611111111111112	0.84	0.8536585365853658	0.8545454545454545	0.845360824742268	0.8333333333333334	0.7818181818181819	0.8368794326241135	0.803030303030303	0.8653846153846154	0.8403361344537815	0.8292682926829268	0.8695652173913043
Pay for Safety An Economic Alternative for Truck Driver Safety	0.7580645161290323	0.8133333333333334	0.7903225806451613	0.8387096774193549	0.7628865979381443	0.7888888888888889	0.8387096774193549	0.75177304964539	0.06060606060606061	0.8076923076923077	0.773109243697479	0.7560975609756098	0.8115942028985508
Preliminary Regulatory Evaluation and Regulatory Flexibility Act Analysis Hours of Service NPRM	0.8210526315789474	0.7894736842105263	0.8	0.7473684210526316	0.8350515463917526	0.8315789473684211	0.7473684210526316	0.7872340425531915	0.7789473684210526	0.8012820512820513	0.7563025210084033	0.7578947368421053	0.8115942028985508
Review of fatigue detection and prediction technologies	0.7818181818181819	0.76	0.8	0.8181818181818182	0.7525773195876289	0.7444444444444445	0.0	0.7943262411347518	0.8333333333333334	0.782051282051282	0.8067226890756303	0.7560975609756098	0.8115942028985508
supporting statement for the HOS Information Collection Request	0.8253968253968254	0.7866666666666666	0.8095238095238095	0.7301587301587301	0.711340206185567	0.7444444444444445	0.7619047619047619	0.7943262411347518	0.8181818181818182	0.7948717948717948	0.7815126050420168	0.7073170731707317	0.7971014492753623
Table of Small Business Size Standards matched to North American Industry Classification System NAICS codes	0.8411214953271028	0.7850467289719626	0.7757009345794392	0.794392523364486	0.822429906542056	0.8037383177570093	0.7289719626168224	0.7801418439716312	0.7757009345794392	0.7692307692307693	0.7899159663865546	0.7757009345794392	0.7971014492753623
The effects of sleep schedules on commercial motor vehicle driver performance	0.7662337662337663	0.7792207792207793	0.7402597402597403	0.7532467532467533	0.7731958762886598	0.7888888888888889	0.7662337662337663	0.7092198581560284	0.7402597402597403	0.782051282051282	0.7563025210084033	0.7682926829268293	0.7753623188405797
A Review of the Federal Motor Carrier Safety Administrations Economic Analysis for its Proposed Hours of Service Standard	0.8264462809917356	0.7851239669421488	0.8181818181818182	0.7851239669421488	0.8016528925619835	0.8016528925619835	0.7272727272727273	0.8014184397163121	0.7107438016528925	0.7884615384615384	0.743801652892562	0.6694214876033058	0.8333333333333334
A Survey of OwnerOperators and Company Drivers on their Use of Three New Hours of Service Features	0.8367346938775511	0.7653061224489796	0.7653061224489796	0.7142857142857143	0.8367346938775511	0.8367346938775511	0.7653061224489796	0.7588652482269503	0.7448979591836735	0.7307692307692307	0.17647058823529413	0.32653061224489793	0.782608695652174
A Survey of Private Fleets on their Use of Three New Hours of Service Features	0.8076923076923077	0.8076923076923077	0.7564102564102564	0.7307692307692307	0.7835051546391752	0.7888888888888889	0.7435897435897436	0.7801418439716312	0.7692307692307693	0.7371794871794872	0.4117647058823529	0.04878048780487805	0.7898550724637681
A survey of subjective sleep length of shift workers based on time of day of sleep onset	0.8181818181818182	0.7386363636363636	0.7727272727272727	0.7727272727272727	0.7628865979381443	0.7666666666666667	0.7159090909090909	0.7730496453900709	0.7840909090909091	0.75	0.680672268907563	0.6363636363636364	0.782608695652174
Empty Seats and Musical Chairs Critical Success Factors in Truck Driver Retention	0.7901234567901234	0.8024691358024691	0.8148148148148148	0.7037037037037037	0.7216494845360825	0.8222222222222222	0.8148148148148148	0.723404255319149	0.6790123456790124	0.7692307692307693	0.7142857142857143	0.8170731707317073	0.7898550724637681
Exploratory analysis of motor carrier accident risk and daily driving patterns	0.8205128205128205	0.7692307692307693	0.7948717948717948	0.7692307692307693	0.7216494845360825	0.7888888888888889	0.7692307692307693	0.7375886524822695	0.7435897435897436	0.7692307692307693	0.7647058823529411	0.8170731707317073	0.7898550724637681
Fatigue Sleepiness and Medical Errors for the Agency for Health Care Research and Quality	0.8202247191011236	0.7752808988764045	0.6966292134831461	0.7191011235955056	0.8247422680412371	0.8666666666666667	0.7865168539325843	0.723404255319149	0.7528089887640449	0.7307692307692307	0.6974789915966386	0.7752808988764045	0.782608695652174
Hours of Service Impact Assessment	0.8823529411764706	0.8266666666666667	0.8536585365853658	0.7454545454545455	0.8041237113402062	0.8111111111111111	0.7818181818181819	0.851063829787234	0.7878787878787878	0.8653846153846154	0.8235294117647058	0.7926829268292683	0.8695652173913043
Let it Be Palletized A Portrait of Truck Drivers Work and Lives	0.7777777777777778	0.76	0.7936507936507936	0.8571428571428571	0.7422680412371134	0.8111111111111111	0.7619047619047619	0.7730496453900709	0.696969696969697	0.7884615384615384	0.7647058823529411	0.7560975609756098	0.8115942028985508
Modeling the safety of truck driver service hours using timedependent logistic regression	0.797752808988764	0.7865168539325843	0.7640449438202247	0.7640449438202247	0.7835051546391752	0.7666666666666667	0.7303370786516854	0.723404255319149	0.7528089887640449	0.7564102564102564	0.7394957983193278	0.7752808988764045	0.7681159420289855
Oregelbunndna arbetstider Sammanfattning av en undersokning av turlistetidsarbetande lokforare	0.8191489361702128	0.776595744680851	0.776595744680851	0.8085106382978723	0.8247422680412371	0.8617021276595744	0.7553191489361702	0.7659574468085106	0.8085106382978723	0.7884615384615384	0.7983193277310925	0.8404255319148937	0.8043478260869565
Qualcomm reported sales	0.8181818181818182	0.8266666666666667	0.8536585365853658	0.8545454545454545	0.865979381443299	0.8444444444444444	0.7818181818181819	0.8723404255319149	0.803030303030303	0.8846153846153846	0.8739495798319328	0.8292682926829268	0.8985507246376812
The Determinants of Job Satisfaction of Professional Drivers	0.7833333333333333	0.7733333333333333	0.7166666666666667	0.8	0.7319587628865979	0.7777777777777778	0.7666666666666667	0.8085106382978723	0.803030303030303	0.7756410256410257	0.7815126050420168	0.7682926829268293	0.8043478260869565
Truck Costing Model for Transportation Managers	0.8723404255319149	0.7466666666666667	0.851063829787234	0.6727272727272727	0.7731958762886598	0.7777777777777778	0.7090909090909091	0.8085106382978723	0.803030303030303	0.8012820512820513	0.8151260504201681	0.7926829268292683	0.8333333333333334
Wage and Employment Adjustment in Local Labor Markets	0.7924528301886793	0.8	0.7924528301886793	0.8181818181818182	0.7422680412371134	0.8	0.8545454545454545	0.7943262411347518	0.7878787878787878	0.8269230769230769	0.8151260504201681	0.8170731707317073	0.8405797101449275
Evidence of fatigue and the circadian rhythm in the accident experience	0.7605633802816901	0.7466666666666667	0.7887323943661971	0.8028169014084507	0.7628865979381443	0.7888888888888889	0.6056338028169014	0.75177304964539	0.8309859154929577	0.7756410256410257	0.7815126050420168	0.7682926829268293	0.7753623188405797
Motor Carrier Annual Report	0.7878787878787878	0.8533333333333334	0.8292682926829268	0.7818181818181819	0.8350515463917526	0.8222222222222222	0.8181818181818182	0.8652482269503546	0.8181818181818182	0.8589743589743589	0.8487394957983193	0.8414634146341463	0.8840579710144928
The 2000 TTS Blue Book of Trucking Companies	0.8409090909090909	0.7866666666666666	0.8636363636363636	0.7818181818181819	0.8041237113402062	0.8	0.7454545454545455	0.8297872340425532	0.7727272727272727	0.8461538461538461	0.8487394957983193	0.7926829268292683	0.8260869565217391
The Costs of Driver Turnover	0.7878787878787878	0.8	0.8048780487804879	0.7272727272727273	0.7938144329896907	0.8333333333333334	0.7818181818181819	0.8794326241134752	0.7424242424242424	0.8782051282051282	0.8235294117647058	0.7804878048780488	0.8768115942028986
The diffusion of hybrid seed corn in two Iowa communities	0.8070175438596491	0.7733333333333333	0.8070175438596491	0.8596491228070176	0.7319587628865979	0.7	0.7894736842105263	0.7801418439716312	0.8484848484848485	0.8076923076923077	0.7815126050420168	0.7804878048780488	0.8043478260869565
Trucking Activity Report	0.8181818181818182	0.84	0.8292682926829268	0.8363636363636363	0.8556701030927835	0.8444444444444444	0.8181818181818182	0.8936170212765957	0.8333333333333334	0.8974358974358975	0.907563025210084	0.8658536585365854	0.9057971014492754
What Matters to Drivers	0.7272727272727273	0.8133333333333334	0.8292682926829268	0.8	0.8350515463917526	0.8555555555555555	0.8	0.8936170212765957	0.7727272727272727	0.8782051282051282	0.865546218487395	0.8048780487804879	0.8985507246376812
A case control study of heavy vehicle drivers working time and safety	0.7536231884057971	0.7466666666666667	0.8115942028985508	0.7971014492753623	0.7422680412371134	0.7666666666666667	0.7971014492753623	0.7588652482269503	0.782608695652174	0.8076923076923077	0.7394957983193278	0.7439024390243902	0.7753623188405797
2006 HOS Survey Results	0.8787878787878788	0.9066666666666666	0.8536585365853658	0.8363636363636363	0.9072164948453608	0.8777777777777778	0.8727272727272727	0.9148936170212766	0.8636363636363636	0.9166666666666666	0.8991596638655462	0.8780487804878049	0.8913043478260869
Work Schedules Before and After 2004 Hoursof Service Rule Change and Predictors of Reported Rule Violations in 2004 Survey of LongDistance Truck Drivers	0.8552631578947368	0.75	0.8157894736842105	0.7631578947368421	0.7631578947368421	0.7828947368421053	0.7828947368421053	0.8092105263157895	0.8092105263157895	0.8205128205128205	0.7697368421052632	0.75	0.7894736842105263
conversation with Qualcomm sales representative Angelo Matera and FMCSA	0.7746478873239436	0.8133333333333334	0.7887323943661971	0.7183098591549296	0.7010309278350515	0.7888888888888889	0.7887323943661971	0.7304964539007093	0.8028169014084507	0.7756410256410257	0.7899159663865546	0.8170731707317073	0.8188405797101449
SIC 4123 trucking except local	0.8484848484848485	0.8266666666666667	0.8048780487804879	0.8727272727272727	0.8762886597938144	0.8444444444444444	0.7818181818181819	0.8865248226950354	0.8484848484848485	0.9038461538461539	0.8739495798319328	0.8658536585365854	0.8623188405797102
Electronic OnBoard Recorders for HoursofService Compliance	0.7758620689655172	0.76	0.7586206896551724	0.8275862068965517	0.7422680412371134	0.7333333333333333	0.8620689655172413	0.7588652482269503	0.803030303030303	0.8076923076923077	0.7226890756302521	0.6707317073170732	0.8333333333333334
nan	0.9393939393939394	0.96	0.926829268292683	0.9454545454545454	0.9690721649484536	0.9666666666666667	0.9454545454545454	0.9787234042553191	0.9696969696969697	0.9807692307692307	0.9747899159663865	0.975609756097561	0.9782608695652174
Docket 19608	0.8787878787878788	0.9466666666666667	0.926829268292683	0.9090909090909091	0.9484536082474226	0.9555555555555556	0.9090909090909091	0.9574468085106383	0.9242424242424242	0.967948717948718	0.9495798319327731	0.9512195121951219	0.9710144927536232
Electronic OnBoard Recorder RIA	0.7575757575757576	0.8133333333333334	0.8048780487804879	0.8181818181818182	0.8247422680412371	0.8111111111111111	0.8	0.8368794326241135	0.803030303030303	0.8653846153846154	0.8403361344537815	0.8048780487804879	0.8985507246376812
Hours of Service of Drivers Driver Rest and Sleep for Safe Operations	0.7681159420289855	0.8133333333333334	0.7971014492753623	0.782608695652174	0.7422680412371134	0.7333333333333333	0.7246376811594203	0.6879432624113475	0.8115942028985508	0.7435897435897436	0.680672268907563	0.7195121951219512	0.7898550724637681
Regulatory Impact Analysis and Small Business Impact Analysis for Hours of Service Options	0.8111111111111111	0.8111111111111111	0.7777777777777778	0.7333333333333333	0.8247422680412371	0.8555555555555555	0.7777777777777778	0.7588652482269503	0.7444444444444445	0.7692307692307693	0.680672268907563	0.6888888888888889	0.8043478260869565
Regulatory Impact Analysis and Small Business Impact Analysis for Hours of Service Options in Final Rule Hours of Service of Drivers	0.8333333333333334	0.7651515151515151	0.8106060606060606	0.7727272727272727	0.7575757575757576	0.7954545454545454	0.7727272727272727	0.8368794326241135	0.7878787878787878	0.8012820512820513	0.7348484848484849	0.7045454545454546	0.8405797101449275
Bimodal distribution of REM sleep latency during forced desynchrony model implications	0.813953488372093	0.7441860465116279	0.7906976744186046	0.7674418604651163	0.8041237113402062	0.044444444444444446	0.7325581395348837	0.7446808510638298	0.7790697674418605	0.75	0.7899159663865546	0.8255813953488372	0.7971014492753623
Homeostatic and circadian components of subjective alertness interact in a nonadditive manner	0.8064516129032258	0.7096774193548387	0.7956989247311828	0.7311827956989247	0.05154639175257732	0.8387096774193549	0.7526881720430108	0.6595744680851063	0.7849462365591398	0.7435897435897436	0.7815126050420168	0.8172043010752689	0.7971014492753623
Catastrophes Sleep and Public Policy Consensus Report	0.7735849056603774	0.76	0.7924528301886793	0.7818181818181819	0.7938144329896907	0.7333333333333333	0.8727272727272727	0.8368794326241135	0.8181818181818182	0.8141025641025641	0.8151260504201681	0.7926829268292683	0.855072463768116
Metaanalysis of the relationship between total sleep deprivation and performance	0.725	0.6875	0.75	0.6875	0.7628865979381443	0.7777777777777778	0.7125	0.7659574468085106	0.7875	0.7692307692307693	0.7899159663865546	0.8292682926829268	0.7753623188405797
Effects of sleep deprivation on performance A metaanalysis	0.8275862068965517	0.72	0.7758620689655172	0.7931034482758621	0.7938144329896907	0.7444444444444445	0.6896551724137931	0.7092198581560284	0.7878787878787878	0.782051282051282	0.7815126050420168	0.7560975609756098	0.782608695652174
Interactive mathematical models of SUbjective alertness and cognitive throughput in humans	0.7888888888888889	0.7555555555555555	0.8	0.6888888888888889	0.5979381443298969	0.8666666666666667	0.7111111111111111	0.7092198581560284	0.7777777777777778	0.7435897435897436	0.773109243697479	0.8	0.7898550724637681
Competition Drives the Trucking Industry	0.875	0.7733333333333333	0.8536585365853658	0.7454545454545455	0.7525773195876289	0.7777777777777778	0.8	0.8439716312056738	0.7272727272727273	0.8269230769230769	0.7815126050420168	0.7682926829268293	0.8623188405797102
Effects of sleep loss on sustained cognitive performance during a command and control simulation	0.8541666666666666	0.7083333333333334	0.7604166666666666	0.75	0.8041237113402062	0.75	0.7604166666666666	0.6666666666666666	0.7604166666666666	0.7371794871794872	0.7226890756302521	0.7916666666666666	0.7753623188405797
Human sleep its duration and organization depend on its circadian phase	0.8169014084507042	0.72	0.7464788732394366	0.7887323943661971	0.7319587628865979	0.7555555555555555	0.6901408450704225	0.7659574468085106	0.8309859154929577	0.7564102564102564	0.773109243697479	0.8170731707317073	0.7898550724637681
Circadian and sleepwake dependent aspects of subjective alertness and cognitive performance	0.8241758241758241	0.6703296703296703	0.7692307692307693	0.7252747252747253	0.5979381443298969	0.8461538461538461	0.7582417582417582	0.7092198581560284	0.7802197802197802	0.7628205128205128	0.7899159663865546	0.7802197802197802	0.8043478260869565
Rotating shift work sleep and accidents related to sleepiness in hospital nurses	0.8	0.7875	0.75	0.7375	0.7319587628865979	0.7555555555555555	0.7375	0.7730496453900709	0.8125	0.75	0.773109243697479	0.8170731707317073	0.7608695652173914
Microcomputer analyses of performance on a portable using simple visual reaction time task during sustained operations	0.8135593220338984	0.7203389830508474	0.8050847457627118	0.7627118644067796	0.7457627118644068	0.7796610169491526	0.7627118644067796	0.7730496453900709	0.7711864406779662	0.75	0.7983193277310925	0.7796610169491526	0.8188405797101449
Tractortrailer driver fatality the role of nonconnective rest in a sleep berth	0.7948717948717948	0.8076923076923077	0.7692307692307693	0.782051282051282	0.7422680412371134	0.8222222222222222	0.7564102564102564	0.7801418439716312	0.7948717948717948	0.7307692307692307	0.7394957983193278	0.7804878048780488	0.7463768115942029
Displacement of the sleep period and sleep deprivation	0.6666666666666666	0.6933333333333334	0.8148148148148148	0.7818181818181819	0.7216494845360825	0.6555555555555556	0.7818181818181819	0.7730496453900709	0.7878787878787878	0.7948717948717948	0.773109243697479	0.7439024390243902	0.8260869565217391
Ultrashort Sleepwaking Schedule 3 Gates and forbidden zones for sleep	0.8115942028985508	0.7866666666666666	0.7246376811594203	0.7971014492753623	0.7938144329896907	0.7555555555555555	0.7536231884057971	0.7659574468085106	0.782608695652174	0.7948717948717948	0.7983193277310925	0.7560975609756098	0.8043478260869565
Sleepiness as a consequence of shift work	0.8536585365853658	0.7733333333333333	0.0	0.7636363636363637	0.8041237113402062	0.8	0.8	0.8297872340425532	0.7878787878787878	0.8205128205128205	0.7983193277310925	0.7682926829268293	0.8478260869565217
Sleep loss and performance no safe duration of a monotonous task	0.8125	0.8	0.640625	0.703125	0.7319587628865979	0.7777777777777778	0.75	0.75177304964539	0.8484848484848485	0.7628205128205128	0.7394957983193278	0.7926829268292683	0.7898550724637681
Manifest sleepiness and the spectral content of the EEG during shift work	0.8082191780821918	0.7866666666666666	0.5753424657534246	0.7534246575342466	0.7731958762886598	0.8	0.7808219178082192	0.7801418439716312	0.7808219178082192	0.75	0.7394957983193278	0.8048780487804879	0.7971014492753623
The circadian variation of experimentally displaced sleep	0.7368421052631579	0.72	0.7719298245614035	0.8421052631578947	0.7216494845360825	0.7444444444444445	0.8070175438596491	0.7801418439716312	0.8181818181818182	0.8076923076923077	0.8067226890756303	0.7926829268292683	0.7971014492753623
Circadian rhythms in the secretion of cortisol adrenaline and noradrenaline	0.8	0.0	0.7733333333333333	0.7466666666666667	0.7216494845360825	0.7555555555555555	0.76	0.75177304964539	0.84	0.7564102564102564	0.7478991596638656	0.7804878048780488	0.7681159420289855
Body temperature and sleep at different times of day	0.7307692307692307	0.76	0.7884615384615384	0.8181818181818182	0.7835051546391752	0.7111111111111111	0.8181818181818182	0.7943262411347518	0.7575757575757576	0.7756410256410257	0.7478991596638656	0.7682926829268293	0.8115942028985508
The impact of work practices on fatigue in long distance truck drivers	0.7428571428571429	0.8133333333333334	0.7571428571428571	0.8142857142857143	0.7525773195876289	0.7888888888888889	0.7	0.7801418439716312	0.8142857142857143	0.8012820512820513	0.7647058823529411	0.7560975609756098	0.7971014492753623
Multiday driving patterns and motor carrier accident risk a disaggregate analysis	0.8395061728395061	0.7283950617283951	0.7777777777777778	0.8024691358024691	0.7628865979381443	0.7666666666666667	0.7407407407407407	0.7304964539007093	0.7407407407407407	0.7371794871794872	0.7478991596638656	0.8170731707317073	0.7753623188405797
Hybrid Corn An Exploration in the Economics of Technological Change	0.835820895522388	0.7733333333333333	0.7761194029850746	0.8507462686567164	0.7628865979381443	0.7888888888888889	0.7014925373134329	0.8014184397163121	0.8059701492537313	0.782051282051282	0.7647058823529411	0.7804878048780488	0.8043478260869565
Factors associated with falling asleep at the wheel among longdistance truck drivers	0.7619047619047619	0.8214285714285714	0.7976190476190477	0.7619047619047619	0.7835051546391752	0.8111111111111111	0.7261904761904762	0.7801418439716312	0.7857142857142857	0.7756410256410257	0.7983193277310925	0.8095238095238095	0.8043478260869565
The effects of regularizing sleepwake schedules on daytime sleepiness 	0.7571428571428571	0.8266666666666667	0.7571428571428571	0.7285714285714285	0.7731958762886598	0.7555555555555555	0.7428571428571429	0.7588652482269503	0.8428571428571429	0.7948717948717948	0.773109243697479	0.7439024390243902	0.7971014492753623
Do Electronic Logbooks Contribute to Motor Carrier Safety Performance	0.8115942028985508	0.8	0.7536231884057971	0.782608695652174	0.7731958762886598	0.8111111111111111	0.7971014492753623	0.7163120567375887	0.7681159420289855	0.7756410256410257	0.7815126050420168	0.7926829268292683	0.8043478260869565
Shiftwork and Performance	0.8484848484848485	0.8	0.8292682926829268	0.8363636363636363	0.8556701030927835	0.8444444444444444	0.7818181818181819	0.8652482269503546	0.8181818181818182	0.8910256410256411	0.8571428571428571	0.8414634146341463	0.8913043478260869
Black times temporal determinants of transport safety	0.8113207547169812	0.7733333333333333	0.7358490566037735	0.8545454545454545	0.7628865979381443	0.8111111111111111	0.8363636363636363	0.8014184397163121	0.7121212121212122	0.7884615384615384	0.8067226890756303	0.7926829268292683	0.8188405797101449
Concepts and Models of Sleep Regulation An overview	0.7450980392156863	0.72	0.803921568627451	0.07272727272727272	0.7319587628865979	0.7888888888888889	0.7454545454545455	0.8156028368794326	0.8181818181818182	0.8012820512820513	0.7647058823529411	0.7560975609756098	0.8115942028985508
