	Availability of Nutrition Information from Chain Restaurants in	Is the Obesity Epidemic a Public Health Problem A Decade	Strategies for Promoting Healthier Food Choices” American Economic Review Papers and Proceedings	Doing it Now or	Prevalence and Trends in Obesity Among US	Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US” Obesity	Size Matters The Influence of Adolescent’s Weight and	SelfPerception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity Payer	Will all Americans become Overweight or Obese Estimating the Progression and	Department of Health and Human Services and US Department of Agriculture “2010 Dietary Guidelines for Americans” 7th ed Washington DC US Government Printing Office	The Growth of Obesity and Technological Change A Theoretical and Empirical Examination”	The LongRun Growth in Obesity as a Function of Technological Change”	Nutrient Contribution of Food Away From Home In Americaaposs Eating Habits Changes and Consequences	Separating what We Eat from where	Foundation “Menu Labeling Does Providing Nutrition Information at the Point of Purchase Affect Consumer Behavior” Healthy Eating Research	Taxing Caloric Sweetened Beverages Potential Effects on	FDA Labeling Cost Model Final Report” Prepared for Amber Jessup DHHSPHSFDACFSAN Prepared by	Silliker Information” Memo to File	Online Appendix for ‘Are Restaurants Really Supersizing America’”	Testing Laboratory “Quality Nutrition Analysis”	Evaluation Of Recordkeeping Costs For Food Manufacturers Final Report” Prepared for Andy Estrin and Cristina McLaughlin DHHSPHSFDACFSAN Prepared by Aylin Sertkaya Ayesha Berlind and Seda Erdem Contract No 223012461 Task Order Number 5	FDA Report” ReCount Restaurant Census	Under the Radar Top 50	Acquisition Pace Quickens in 2010 but Despite Consolidation Top Chains Still Account for Nearly 40	Sector 72 Sub Single Unit  Multiunit Firms for the US	Insights “New menu items at restaurants” Memo to File	Display Signs  Design “OrderGet Menu Pricing” website httpwwwdsdsigncomPagesmenus3htm accessed on October 6	McDonald’s meeting	Sector 72 Sub Seating Capacity for the US and States	Statistics “Job Openings and Labor Turnover Survey Accommodation and food services	Paying Attention to Retention”	KFC’s New ComputerBased Training Program Proves a Time Saver and Better Tool for	Statistics “Occupational Employment Statistics Query System	Consumer Awareness of FastFood Calorie Information in New York City After Implementation of a Menu Labeling Regulation”	Calorie Posting in Chain Restaurants	Purchasing Behavior and Calorie Information at FastFood Chains in	The Psychology of Food Consumption Strategies for Promoting Healthier Food Choices” American Economic Review	Calorie Labeling And Food Choices A First Look At The Effects On LowIncome People In New York City	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information”	Do Nutrition Labels Improve Dietary Outcomes	Mandatory Menu Labeling in One FastFood Chain in King County	Child and Adolescent FastFood Choice and the Influence of Calorie Labeling	Nutrition Menu Labeling May Lead to LowerCalorie Restaurant Meal Choices for Children Pediatrics	Measuring the Health of the US Population” Brookings Paper Microeconomics	ObesityRelated QualityAdjusted Life Years Lost in the US from 19932008”	Trends in QualityAdjusted LifeYears Lost Contributed by Smoking and Obesity”	Statistical Abstract of the United States	Modeling WeightLoss Maintenance to Help Prevent Body Weight Regain”	Sectors 4445 Sub Single Unit  Multiunit Firms for the US	Sector 71 Sub Single Unit  Multiunit Firms for the US	Sector 51 Sub Single Unit  Multiunit Firms for the US	Association	Association When American Flies it Works	Global Airline Industry Program “Total Operating Fleet” Airline Data Project	Global Airline Industry Program “Average Seat Capacity of Total Operating Fleet” Airline Data Project	Transportation Statistics “Appendix D – Modal Profiles Rail Profile” National Transportation Statistics	The Partner of Choice Annual Report FY	Transportation Statistics National Census of Ferry Operators
FAQS Ask Dr NAICS	0.77	0.77	0.71	0.8	0.71	0.65	0.65	0.71	0.83	0.83	0.77	0.77	0.65	0.77	0.77	0.65	0.77	0.71	0.83	0.65	0.71	0.71	0.77	0.5900000000000001	0.65	0.77	0.65	0.65	0.77	0.71	0.89	0.77	0.77	0.83	0.71	0.71	0.71	0.71	0.71	0.77	0.65	0.77	0.71	0.77	0.77	0.71	0.77	0.71	0.77	0.71	0.77	0.65	0.65	0.65	0.8200000000000001	0.77	0.71	0.71	0.71	0.71	0.77
Occupational Employment Statistics Query System SOC code 119051 NAICS 7221 7222 7224	0.69	0.65	0.71	0.74	0.6599999999999999	0.73	0.72	0.7	0.61	0.6699999999999999	0.61	0.72	0.7	0.78	0.73	0.71	0.64	0.7	0.6799999999999999	0.73	0.6699999999999999	0.72	0.69	0.6699999999999999	0.6699999999999999	0.6	0.6699999999999999	0.61	0.6699999999999999	0.73	0.6	0.64	0.72	0.63	0.76	0.22999999999999998	0.71	0.64	0.6799999999999999	0.6799999999999999	0.71	0.72	0.5700000000000001	0.65	0.6799999999999999	0.6799999999999999	0.71	0.65	0.71	0.5700000000000001	0.72	0.63	0.61	0.61	0.55	0.6	0.74	0.72	0.6599999999999999	0.69	0.5900000000000001
Occupational Employment Statistics Query System SOC code 350000 NAICS 722172227224	0.69	0.65	0.71	0.74	0.64	0.72	0.71	0.71	0.61	0.6699999999999999	0.61	0.72	0.69	0.77	0.73	0.7	0.64	0.69	0.6799999999999999	0.72	0.6699999999999999	0.72	0.69	0.6599999999999999	0.6699999999999999	0.55	0.6799999999999999	0.61	0.6699999999999999	0.72	0.6	0.64	0.71	0.63	0.76	0.22999999999999998	0.7	0.64	0.6799999999999999	0.6799999999999999	0.71	0.72	0.5700000000000001	0.65	0.6799999999999999	0.6799999999999999	0.71	0.65	0.72	0.5700000000000001	0.72	0.63	0.61	0.61	0.55	0.6	0.73	0.72	0.65	0.69	0.5900000000000001
Occupational Employment Statistics Query System SOC code 351012 NAICS 72217222 7224	0.69	0.65	0.72	0.74	0.6599999999999999	0.73	0.72	0.71	0.61	0.6699999999999999	0.61	0.72	0.69	0.77	0.73	0.7	0.64	0.69	0.6799999999999999	0.73	0.6699999999999999	0.72	0.69	0.6699999999999999	0.6699999999999999	0.55	0.6799999999999999	0.61	0.6699999999999999	0.73	0.6	0.64	0.71	0.63	0.76	0.22999999999999998	0.7	0.64	0.6799999999999999	0.6799999999999999	0.7	0.73	0.5700000000000001	0.65	0.6799999999999999	0.6799999999999999	0.71	0.6599999999999999	0.71	0.5700000000000001	0.72	0.63	0.61	0.61	0.55	0.6	0.74	0.73	0.6599999999999999	0.69	0.5900000000000001
Sector 51 Sub Single Unit  Multiunit Firms for the US 2007 	0.64	0.6599999999999999	0.6799999999999999	0.47	0.61	0.65	0.55	0.6599999999999999	0.64	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.62	0.6799999999999999	0.6699999999999999	0.6699999999999999	0.5800000000000001	0.62	0.7	0.63	0.5900000000000001	0.72	0.6699999999999999	0.62	0.6699999999999999	0.64	0.63	0.040000000000000036	0.65	0.6799999999999999	0.7	0.44999999999999996	0.6799999999999999	0.6	0.6799999999999999	0.6699999999999999	0.6699999999999999	0.62	0.65	0.65	0.5800000000000001	0.63	0.6599999999999999	0.62	0.6699999999999999	0.63	0.65	0.5800000000000001	0.65	0.61	0.6799999999999999	0.07999999999999996	0.020000000000000018	0.0	0.64	0.63	0.6699999999999999	0.65	0.6699999999999999	0.64	0.7
Sector 71 Sub Single Unit  Multiunit Firms for the US 2007	0.64	0.6599999999999999	0.6799999999999999	0.47	0.61	0.64	0.54	0.6599999999999999	0.64	0.6699999999999999	0.6699999999999999	0.6599999999999999	0.63	0.6799999999999999	0.6799999999999999	0.6799999999999999	0.5800000000000001	0.61	0.7	0.63	0.5900000000000001	0.71	0.6699999999999999	0.63	0.6699999999999999	0.64	0.63	0.020000000000000018	0.65	0.69	0.7	0.43000000000000005	0.6799999999999999	0.6	0.69	0.6599999999999999	0.6599999999999999	0.62	0.65	0.6599999999999999	0.5900000000000001	0.63	0.6599999999999999	0.62	0.6599999999999999	0.63	0.6599999999999999	0.5700000000000001	0.64	0.61	0.6799999999999999	0.08999999999999997	0.0	0.020000000000000018	0.64	0.63	0.6799999999999999	0.6599999999999999	0.6599999999999999	0.64	0.69
�Sectors 4445 Sub Single Unit  Multiunit Firms for the US 2007�	0.6699999999999999	0.65	0.6699999999999999	0.47	0.61	0.6699999999999999	0.5800000000000001	0.64	0.64	0.6699999999999999	0.6699999999999999	0.69	0.64	0.7	0.69	0.69	0.5800000000000001	0.62	0.7	0.64	0.5900000000000001	0.72	0.6699999999999999	0.64	0.7	0.64	0.63	0.09999999999999998	0.64	0.7	0.65	0.5	0.69	0.6	0.69	0.64	0.6699999999999999	0.64	0.6699999999999999	0.6699999999999999	0.62	0.64	0.6599999999999999	0.64	0.6799999999999999	0.64	0.6599999999999999	0.5900000000000001	0.64	0.61	0.7	0.0	0.09999999999999998	0.07999999999999996	0.64	0.65	0.69	0.6599999999999999	0.69	0.6599999999999999	0.7
County Business Patterns United States NAICS 722 20002008	0.69	0.72	0.6699999999999999	0.6699999999999999	0.64	0.5800000000000001	0.65	0.69	0.6599999999999999	0.63	0.7	0.72	0.6	0.69	0.6699999999999999	0.6699999999999999	0.64	0.65	0.69	0.6699999999999999	0.7	0.72	0.71	0.5800000000000001	0.6699999999999999	0.64	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.69	0.75	0.6	0.69	0.63	0.62	0.6699999999999999	0.65	0.5900000000000001	0.69	0.6699999999999999	0.69	0.65	0.62	0.6699999999999999	0.69	0.69	0.71	0.5800000000000001	0.64	0.47	0.6699999999999999	0.6799999999999999	0.6699999999999999	0.6699999999999999	0.64	0.65	0.71	0.6699999999999999	0.69	0.64	0.69
Occupational Employment Statistics	0.56	0.71	0.65	0.74	0.71	0.5900000000000001	0.62	0.71	0.5900000000000001	0.71	0.5900000000000001	0.6799999999999999	0.5900000000000001	0.5900000000000001	0.6799999999999999	0.65	0.6699999999999999	0.5900000000000001	0.6799999999999999	0.71	0.6799999999999999	0.65	0.65	0.65	0.65	0.78	0.5900000000000001	0.62	0.6799999999999999	0.65	0.6	0.5900000000000001	0.56	0.61	0.71	0.0	0.62	0.6799999999999999	0.62	0.56	0.71	0.6799999999999999	0.53	0.65	0.62	0.62	0.62	0.6799999999999999	0.6799999999999999	0.56	0.6799999999999999	0.62	0.62	0.62	0.55	0.5900000000000001	0.62	0.62	0.36	0.6799999999999999	0.5
Statistical Abstract of the United States 2011 130th Edition	0.64	0.7	0.64	0.6699999999999999	0.6799999999999999	0.5700000000000001	0.5900000000000001	0.6699999999999999	0.64	0.55	0.65	0.62	0.64	0.64	0.6699999999999999	0.65	0.5800000000000001	0.6	0.6	0.7	0.62	0.72	0.65	0.64	0.6699999999999999	0.6	0.6	0.61	0.65	0.69	0.7	0.5	0.62	0.6	0.64	0.5700000000000001	0.64	0.62	0.65	0.64	0.65	0.6	0.6	0.6699999999999999	0.65	0.64	0.64	0.64	0.64	0.0	0.6699999999999999	0.63	0.61	0.61	0.55	0.63	0.6699999999999999	0.64	0.65	0.64	0.62
Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States Trends 19761980 Through 20072008	0.62	0.56	0.64	0.6	0.37	0.0	0.6	0.6	0.5800000000000001	0.45999999999999996	0.5700000000000001	0.52	0.62	0.62	0.6	0.6599999999999999	0.5800000000000001	0.6699999999999999	0.62	0.6699999999999999	0.6699999999999999	0.65	0.5900000000000001	0.6599999999999999	0.62	0.64	0.6599999999999999	0.61	0.5800000000000001	0.6799999999999999	0.65	0.54	0.61	0.63	0.65	0.6599999999999999	0.69	0.62	0.64	0.6699999999999999	0.6599999999999999	0.65	0.6	0.62	0.63	0.6699999999999999	0.63	0.5700000000000001	0.62	0.43999999999999995	0.61	0.63	0.61	0.61	0.55	0.6	0.62	0.65	0.7	0.6599999999999999	0.65
Nutrient Contribution of Food Away From Home	0.55	0.6599999999999999	0.6	0.54	0.69	0.6599999999999999	0.64	0.6599999999999999	0.6599999999999999	0.6699999999999999	0.61	0.64	0.62	0.71	0.62	0.0	0.5700000000000001	0.55	0.6599999999999999	0.64	0.5900000000000001	0.69	0.62	0.5700000000000001	0.7	0.64	0.5700000000000001	0.62	0.6599999999999999	0.71	0.75	0.6599999999999999	0.62	0.63	0.6	0.6599999999999999	0.5700000000000001	0.64	0.55	0.5700000000000001	0.55	0.5700000000000001	0.56	0.62	0.64	0.5700000000000001	0.62	0.64	0.5700000000000001	0.6599999999999999	0.69	0.62	0.62	0.62	0.45999999999999996	0.65	0.6599999999999999	0.62	0.64	0.5800000000000001	0.62
2010 Dietary Guidelines for Americans 7th edition	0.6	0.64	0.5800000000000001	0.6699999999999999	0.5900000000000001	0.64	0.62	0.6	0.6	0.5900000000000001	0.64	0.5800000000000001	0.10999999999999999	0.62	0.62	0.6	0.64	0.5800000000000001	0.62	0.64	0.5800000000000001	0.6	0.6799999999999999	0.6	0.65	0.64	0.6	0.61	0.64	0.64	0.6	0.64	0.6599999999999999	0.54	0.6599999999999999	0.6799999999999999	0.62	0.62	0.5800000000000001	0.5800000000000001	0.64	0.56	0.64	0.6	0.62	0.52	0.6599999999999999	0.6	0.64	0.64	0.62	0.63	0.61	0.61	0.55	0.54	0.62	0.5800000000000001	0.62	0.64	0.6599999999999999
Appendix D � Modal Profiles Rail Profile	0.6799999999999999	0.5800000000000001	0.65	0.6	0.7	0.65	0.6	0.6799999999999999	0.6599999999999999	0.5900000000000001	0.5900000000000001	0.63	0.63	0.6799999999999999	0.65	0.65	0.6699999999999999	0.63	0.65	0.5800000000000001	0.6699999999999999	0.53	0.7	0.63	0.75	0.64	0.63	0.6799999999999999	0.63	0.6799999999999999	0.65	0.7	0.65	0.69	0.5800000000000001	0.6799999999999999	0.6	0.7	0.6799999999999999	0.6	0.6	0.63	0.6799999999999999	0.65	0.6	0.5800000000000001	0.63	0.65	0.6799999999999999	0.7	0.65	0.6799999999999999	0.6799999999999999	0.6799999999999999	0.73	0.6799999999999999	0.6	0.6	0.07999999999999996	0.6599999999999999	0.6799999999999999
Job Openings and Labor Turnover Survey Accomodation and food services Total US Total Separations Rate Series Id JTU720000000TSR 39	0.5900000000000001	0.6699999999999999	0.61	0.54	0.5900000000000001	0.63	0.62	0.6599999999999999	0.5800000000000001	0.63	0.61	0.61	0.62	0.62	0.63	0.63	0.49	0.63	0.6	0.65	0.5900000000000001	0.62	0.5700000000000001	0.62	0.5900000000000001	0.6	0.64	0.63	0.62	0.69	0.6	0.56	0.18000000000000005	0.63	0.6	0.61	0.63	0.56	0.54	0.63	0.63	0.62	0.55	0.6	0.63	0.6	0.6	0.64	0.62	0.5900000000000001	0.63	0.63	0.63	0.63	0.45999999999999996	0.53	0.5900000000000001	0.6	0.61	0.5800000000000001	0.55
Sector 72 Sub Seating capacity for the US 2007	0.6599999999999999	0.6799999999999999	0.64	0.54	0.61	0.6599999999999999	0.5700000000000001	0.6799999999999999	0.64	0.5900000000000001	0.6599999999999999	0.5900000000000001	0.61	0.6799999999999999	0.6599999999999999	0.61	0.49	0.64	0.6799999999999999	0.6599999999999999	0.6699999999999999	0.7	0.6799999999999999	0.64	0.6699999999999999	0.64	0.56	0.43999999999999995	0.6599999999999999	0.72	0.6	0.10999999999999999	0.64	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.64	0.64	0.64	0.6599999999999999	0.5900000000000001	0.6599999999999999	0.61	0.6799999999999999	0.61	0.61	0.5900000000000001	0.6599999999999999	0.53	0.6799999999999999	0.48	0.45999999999999996	0.48	0.64	0.65	0.6599999999999999	0.55	0.6799999999999999	0.6599999999999999	0.6599999999999999
Sector 72 Sub Single Unit  Multiunit Firms for the US 2007	0.64	0.6599999999999999	0.6799999999999999	0.47	0.61	0.64	0.54	0.6599999999999999	0.64	0.6699999999999999	0.6699999999999999	0.6599999999999999	0.63	0.6799999999999999	0.6799999999999999	0.6799999999999999	0.5800000000000001	0.61	0.7	0.63	0.5900000000000001	0.71	0.6699999999999999	0.63	0.6699999999999999	0.64	0.63	0.0	0.65	0.69	0.7	0.41000000000000003	0.6799999999999999	0.6	0.69	0.6599999999999999	0.6599999999999999	0.62	0.65	0.6599999999999999	0.5900000000000001	0.63	0.6599999999999999	0.62	0.6599999999999999	0.63	0.6599999999999999	0.5700000000000001	0.64	0.61	0.6799999999999999	0.08999999999999997	0.020000000000000018	0.040000000000000036	0.64	0.63	0.6799999999999999	0.6599999999999999	0.6599999999999999	0.64	0.69
National Census of Ferry Operators	0.5900000000000001	0.71	0.5900000000000001	0.6699999999999999	0.62	0.5900000000000001	0.5900000000000001	0.65	0.5900000000000001	0.63	0.62	0.53	0.5900000000000001	0.65	0.65	0.56	0.61	0.56	0.5900000000000001	0.5900000000000001	0.65	0.62	0.65	0.5900000000000001	0.6799999999999999	0.69	0.5900000000000001	0.65	0.5900000000000001	0.62	0.65	0.62	0.5900000000000001	0.6	0.62	0.5900000000000001	0.56	0.65	0.62	0.5900000000000001	0.65	0.5900000000000001	0.5	0.56	0.62	0.53	0.5900000000000001	0.5900000000000001	0.62	0.56	0.62	0.65	0.65	0.65	0.73	0.5	0.5900000000000001	0.56	0.5	0.62	0.0
