	Traffic and Motor Vehicle Safety Act to NHTSA61 NHTSA is adopting this rule under the	105 and 322 delegation of authority at 49 CFR 150 VIII3 Furthermore this final rule satisfies the congressional mandate in Section 10301 of the Safe Accountable Flexible Efficient Transportation Equity Act A Legacy for Users of 2005 SAFETEALU62 Under that provision the Secretary of Transportation must conduct a rulemaking to “establish performance criteria to reduce the occurrence of rollovers consistent with stability enhancing technologies” and issue “a final rule by April 1	Description and estimate of the number of small entities to which the proposal or final rule will apply The proposal applies to truck tractor and large bus manufacturers who produce these types of vehicles with a GVWR greater than 11793 kg 26000 pounds The proposal also will impact manufacturers of ESC systems Business entities are defined as small businesses using the North American Industry Classification System NAICS	is the number of employees in the firm Affected business categories include a To qualify as a small business in Heavy Duty Truck Manufacturing NAICS	the firm must have fewer than 1000 employees b In Truck Trailer Manufacturing NAICS 336212 the firm must have fewer than 500 employees c	The latest version modified by the Office of Management and Budget in	They are Advanced Bus Industries Ebus Inc Enova Systems
Table 2  The Economic Impact of Motor Vehicle Crashes 2000	0.788235294117647	0.9137577002053389	0.9030732860520094	0.831081081081081	0.8161764705882353	0.782608695652174	0.8275862068965517
TractorSemitrailer Stability Objective Performance Test ResearchRoll Stability	0.8235294117647058	0.8747433264887063	0.8747044917257684	0.7905405405405406	0.8088235294117647	0.7948717948717948	0.8076923076923077
Double Integration Technique for Calculating Lateral Displacement	0.8117647058823529	0.8952772073921971	0.8912529550827423	0.7905405405405406	0.7794117647058824	0.8115942028985508	0.8307692307692308
ABA Motorcoach Census	0.8470588235294118	0.9650924024640657	0.9598108747044918	0.918918918918919	0.9117647058823529	0.8695652173913043	0.8545454545454545
Motorcoach Facts 2009	0.8470588235294118	0.9609856262833676	0.9598108747044918	0.9121621621621622	0.9044117647058824	0.8840579710144928	0.8727272727272727
An Analysis of the Operational Costs of Trucking	0.8	0.9158110882956879	0.9078014184397163	0.7905405405405406	0.8382352941176471	0.7391304347826086	0.8727272727272727
A Survey of the Freight Transportation Demand Literature and Comparison of Elasticity Estimates	0.8210526315789474	0.8501026694045175	0.8392434988179669	0.7635135135135135	0.7867647058823529	0.7789473684210526	0.7684210526315789
Unit Costs of Medium and Heavy Truck Crashes	0.8	0.9240246406570842	0.9148936170212766	0.8108108108108109	0.8308823529411765	0.8115942028985508	0.7454545454545455
A Sugested Approach for Discounting the Benefits and Costs of Environmental Regulations	0.8735632183908046	0.8685831622176592	0.8486997635933806	0.7702702702702703	0.7867647058823529	0.7241379310344828	0.7701149425287356
Regulatory Flexibility Act of 1980	0.8352941176470589	0.944558521560575	0.9432624113475178	0.8581081081081081	0.8676470588235294	0.7971014492753623	0.8545454545454545
Traffic and Motor Vehicle Safety Act	0.5764705882352941	0.9363449691991786	0.9267139479905437	0.8378378378378378	0.8602941176470589	0.7681159420289855	0.8181818181818182
Effectiveness of Stability Systems for Truck Tractors	0.788235294117647	0.9055441478439425	0.8983451536643026	0.7837837837837838	0.8235294117647058	0.782608695652174	0.8363636363636363
Crash Problem Definition and Safety Benefits methodology for Stability Control for SingleUnit Medium and Heavy Trucks and Large Platform Buses 	0.7482517482517482	0.8213552361396304	0.8132387706855791	0.7905405405405406	0.8251748251748252	0.7622377622377622	0.8041958041958042
Benefits of Stability Control Systems for TractorSemitrailers 	0.788235294117647	0.8891170431211499	0.8865248226950354	0.8175675675675675	0.7941176470588235	0.8115942028985508	0.8387096774193549
Final Regulatory Impact Analysis Airbrake Systems Amending Stopping Distance	0.788235294117647	0.8891170431211499	0.8699763593380615	0.8040540540540541	0.8161764705882353	0.8421052631578947	0.7894736842105263
Discounting Environmental Health Risks New Evidence and Policy Implications	0.8352941176470589	0.893223819301848	0.8652482269503546	0.7905405405405406	0.8235294117647058	0.8266666666666667	0.7866666666666666
