	Urban ornamental plants: sensitivity to ozone and potential economic losses. U.S. EPA, Office of Air Quality Planning and Standards, Research Triangle Park. Under contract to RADIAN Corporation, contract no. 68-D3-0033,	A reassessment of the economic effects of ozone on U.S.	The benefits of pollution control: the case of ozone	Ambient ozone effects on forest trees of the eastern United States: a review.	A preliminary assessment of the Montreal process indicators of air pollution for the United States. Environmental Monitoring and Assessment, Integrated Science Assessment	Air Pollution Damage to U.S. Forests.	Impact of Air Pollutants on Southern Pine Forests,	The physiological basis of ozone injury assessment attributes in Sierran conifers. In	The need for a long term cumulative secondary ozone standard ‚Äì an ecological perspective. Environmental Management,	Implications of environmental policy for U.S. agriculture: the case of ambient ozone standards.	Effects of oxidant air pollutants on forest succession in the mixed conifer forest type of southern California. In: Air Pollutants Effects on Forest Ecosystems,	Oxidant air pollution effects on a western coniferous forest ecosystem.	Little‚Äôs range and FIA importance value database for 135 eastern U.S. tree species. Northeastern Research Station, USDA Forest Service. Available on the Internet at http://www.fs.fed.us/ne/delaware/4153/global/littlefia/index.html Pye,	A national ozone biomonitoring program‚Äî results from field surveys of ozone sensitive plants in Northeastern forests (1994-2000). Environmental Monitoring and Assessment,	Deterministic versus stochastic evaluation of the aggregate economic effects of price support programs.	Variation in plant response to ozone: a conceptual model of physiological events.	The Benefits and Costs of the Clean Air Act, 1990-2010. Prepared for U.S. Congress by U.S.	Available on the Internet at http://www.epa.gov/oar/sect812/1990-2010/chap1130.pdf U.S. Environmental Protection Agency	Guidance on the Use of Models and Other Analyses for Demonstrating Attainment of Air Quality Goals for Ozone, PM2.5, and Regional Haze. Office of Air Quality Planning and Standards. EPA-454/B-07-002. April. Available on the Internet at http://www.epa.gov/scram001/guidance/guide/final-03-pm-rh-guidance.pdf U.S. Environmental Protection Agency	Available on the Internet at http://cfpub.epa.gov/ncea/cfm/recordisplay.cfm?deid=201485 U.S. Environmental Protection Agency
Ambient air pollution and respiratory emergency department visits	0.33333333333333337	0.3513513513513513	0.26315789473684215	0.2682926829268293	0.17391304347826086	0.28205128205128205	0.2682926829268293	0.2272727272727273	0.23404255319148937	0.15555555555555556	0.24444444444444446	0.19999999999999996	0.33333333333333337	0.28301886792452835	0.17948717948717952	0.1428571428571429	0.30612244897959184	0.28301886792452835	0.375	0.24528301886792447
How sensitive is the association between ozone and daily deaths to control for temperature	0.33333333333333337	0.30000000000000004	0.1707317073170732	0.18181818181818177	0.22448979591836737	0.4285714285714286	0.2727272727272727	0.19148936170212771	0.19999999999999996	0.125	0.25	0.16279069767441856	0.33333333333333337	0.2857142857142857	0.19047619047619047	0.11111111111111116	0.34615384615384615	0.2857142857142857	0.31343283582089554	0.2857142857142857
Ozone exposure and mortality an empiric bayes metaregression analysis	0.34426229508196726	0.368421052631579	0.23076923076923073	0.33333333333333337	0.276595744680851	0.35	0.33333333333333337	0.19999999999999996	0.25	0.17391304347826086	0.26086956521739135	0.12195121951219512	0.3770491803278688	0.33333333333333337	0.25	0.16279069767441856	0.36	0.37037037037037035	0.3846153846153846	0.33333333333333337
Reduction in fine particulate air pollution and mortality  Extended followup of the Harvard six cities study	0.34375	0.36585365853658536	0.2857142857142857	0.28888888888888886	0.19999999999999996	0.4418604651162791	0.28888888888888886	0.29166666666666663	0.21568627450980393	0.22448979591836737	0.18367346938775508	0.13636363636363635	0.3125	0.33333333333333337	0.2093023255813954	0.17391304347826086	0.39622641509433965	0.29824561403508776	0.32352941176470584	0.29824561403508776
Bayesian Hierarchical Distributed Lag Models for Summer Ozone Exposure and CardioRespiratory Mortality 	0.25	0.3877551020408163	0.31999999999999995	0.3584905660377359	0.24137931034482762	0.4117647058823529	0.3584905660377359	0.25	0.2542372881355932	0.22807017543859653	0.26315789473684215	0.2692307692307693	0.3055555555555556	0.32307692307692304	0.2941176470588235	0.2592592592592593	0.3114754098360656	0.3538461538461538	0.23684210526315785	0.32307692307692304
Associations between ozone and daily mortality analysis and metaanalysis	0.4137931034482759	0.2571428571428571	0.2777777777777778	0.17948717948717952	0.31818181818181823	0.3513513513513513	0.33333333333333337	0.2857142857142857	0.33333333333333337	0.2558139534883721	0.3023255813953488	0.21052631578947367	0.4137931034482759	0.37254901960784315	0.3513513513513513	0.25	0.36170212765957444	0.33333333333333337	0.4193548387096774	0.37254901960784315
A preliminary assessment of the Montreal process indicators of air pollution for the United States	0.32258064516129037	0.17948717948717952	0.25	0.2093023255813954	0.08333333333333337	0.2682926829268293	0.16279069767441856	0.21739130434782605	0.22448979591836737	0.14893617021276595	0.19148936170212771	0.19047619047619047	0.32258064516129037	0.3090909090909091	0.2195121951219512	0.18181818181818177	0.2549019607843137	0.2727272727272727	0.33333333333333337	0.23636363636363633
Mechanistic analysis of plant responses to air pollution	0.4385964912280702	0.2941176470588235	0.1428571428571429	0.368421052631579	0.2093023255813954	0.38888888888888884	0.21052631578947367	0.2195121951219512	0.2272727272727273	0.23809523809523814	0.23809523809523814	0.18918918918918914	0.4385964912280702	0.36	0.16666666666666663	0.17948717948717952	0.34782608695652173	0.4	0.4426229508196722	0.36
The benefits of pollution control the case of ozone and US agriculture	0.29032258064516125	0.23076923076923073	0.09999999999999998	0.2093023255813954	0.20833333333333337	0.31707317073170727	0.2558139534883721	0.13043478260869568	0.22448979591836737	0.1063829787234043	0.3191489361702128	0.2857142857142857	0.3548387096774194	0.34545454545454546	0.2195121951219512	0.18181818181818177	0.21568627450980393	0.3090909090909091	0.36363636363636365	0.2727272727272727
Implications of environmental policy for US agriculture the case of ambient ozone standards	0.23076923076923073	0.23809523809523814	0.2093023255813954	0.17391304347826086	0.0980392156862745	0.31818181818181823	0.21739130434782605	0.10204081632653061	0.1923076923076923	0.0	0.24	0.24444444444444446	0.2615384615384615	0.27586206896551724	0.18181818181818177	0.1063829787234043	0.2592592592592593	0.2068965517241379	0.2753623188405797	0.1724137931034483
LongTerm Ozone Exposure and Mortality	0.3650793650793651	0.44999999999999996	0.31707317073170727	0.4545454545454546	0.26530612244897955	0.38095238095238093	0.40909090909090906	0.276595744680851	0.19999999999999996	0.29166666666666663	0.29166666666666663	0.2093023255813954	0.4285714285714286	0.3214285714285714	0.33333333333333337	0.24444444444444446	0.42307692307692313	0.4285714285714286	0.4029850746268657	0.3928571428571429
A national ozone biomonitoring program—results from field surveys of ozone sensitive plants in Northeastern forests	0.28125	0.31707317073170727	0.23809523809523814	0.24444444444444446	0.19999999999999996	0.34883720930232553	0.28888888888888886	0.20833333333333337	0.21568627450980393	0.1428571428571429	0.26530612244897955	0.2727272727272727	0.3125	0.19298245614035092	0.2093023255813954	0.13043478260869568	0.3207547169811321	0.29824561403508776	0.3529411764705882	0.26315789473684215
Air pollution weather and respiratory emergency room visits in two northern New England cities an ecological timeseries study	0.3015873015873016	0.35	0.31707317073170727	0.2727272727272727	0.1428571428571429	0.33333333333333337	0.2727272727272727	0.276595744680851	0.19999999999999996	0.20833333333333337	0.20833333333333337	0.2093023255813954	0.3015873015873016	0.25	0.19047619047619047	0.15555555555555556	0.34615384615384615	0.25	0.34328358208955223	0.25
Impact of ozone on the growth and yield of trees A review	0.3015873015873016	0.25	0.2682926829268293	0.18181818181818177	0.1428571428571429	0.38095238095238093	0.2272727272727273	0.19148936170212771	0.19999999999999996	0.125	0.20833333333333337	0.2093023255813954	0.3015873015873016	0.2857142857142857	0.19047619047619047	0.11111111111111116	0.3076923076923077	0.2142857142857143	0.31343283582089554	0.25
Absorption of air pollution by plants and consequences for growth	0.3548387096774194	0.33333333333333337	0.19999999999999996	0.2558139534883721	0.20833333333333337	0.36585365853658536	0.2558139534883721	0.21739130434782605	0.26530612244897955	0.19148936170212771	0.23404255319148937	0.19047619047619047	0.32258064516129037	0.3090909090909091	0.2195121951219512	0.18181818181818177	0.2549019607843137	0.2727272727272727	0.36363636363636365	0.2727272727272727
A metaanalysis of timeseries studies of ozone and mortality with comparison to the national morbidity mortality and air pollution study	0.32258064516129037	0.23076923076923073	0.15000000000000002	0.16279069767441856	0.20833333333333337	0.36585365853658536	0.2093023255813954	0.17391304347826086	0.22448979591836737	0.14893617021276595	0.19148936170212771	0.1428571428571429	0.32258064516129037	0.2727272727272727	0.2195121951219512	0.13636363636363635	0.2941176470588235	0.2727272727272727	0.33333333333333337	0.2727272727272727
Ozone and shortterm mortality in 95 US urban communities 19872000	0.32352941176470584	0.33333333333333337	0.34782608695652173	0.30612244897959184	0.33333333333333337	0.4042553191489362	0.3877551020408163	0.3076923076923077	0.38181818181818183	0.24528301886792447	0.39622641509433965	0.33333333333333337	0.38235294117647056	0.3114754098360656	0.4042553191489362	0.31999999999999995	0.26315789473684215	0.24590163934426235	0.2777777777777778	0.21311475409836067
