	Proposed Rules 51 ‘‘Excess Billing and Insurance-Related Administrative Costs,’’ by James Kahn, in The Healthcare Imperative; Lowering Costs and Improving Outcomes: Workshop Series Summary, edited by	55 ‘‘Project Swipe IT Savings Model,’’	56 For billing and posting clerks in physician offices, Department of Labor,	Avoidance: Interest on Loans and Lines of Credit	prepared by Robert E.	The Costs and Benefits of Moving to the ICD–10 Code Sets,’’	65 ‘‘Health Plans’ Estimated Costs of Implementing ICD–10 Diagnosis Coding,’’	Aetna Chief Financial Officer and Senior Executive Vice President. Aetna Fourth Quarter 2011 Earnings Call Webcast (transcript),	TABLE 30—COST AVOIDANCE LESS COST (NET) OF A ONE-YEAR DELAY [In millions] * Low Net Estimate (Low Cost Avoidance with High Costs) .. ¥$2,950 High Net Estimate (High Cost Avoidance with Low Costs) .. 6,846 Mean Net Cost Avoidance (average) ....................................	Flexibility Analysis: Impact on Small Entities of a Delay in the Compliance Date of ICD–10 The Regulatory Flexibility Act (RFA) of	Number of Small Entities and Scope of Analysis a. Health Care Providers: Physician Total Savings/Cost Avoidance ................................................................................................................. $6,532 $13,612 $10,072 Total Costs ............................................................................................................................................... 2,133 8,784 5,459 * Costs and savings of HPID are calculated over 11 years,	[In millions of dollars] Delay in Compliance Date for ICD–10: Avoidance of returned health care claims. COSTS: Annualized Monetized costs: 7% Discount ................	List of Subjects in 45 CFR Part 162 Administrative practice and procedures, Electronic transactions, Health facilities, Health insurance, Hospitals, Incorporation by reference, Medicaid, Medicare, Reporting and 1. The authority citation for part 162 continues to read as follows:	124 Stat. 146–154 and 915– 917. Subpart A—General Provisions 2. Section 162.103 is amended by health plan. Subpart D—Standard Unique Health Identifier for Health Care Providers § 162.402 [Removed and Reserved] 3. Section 162.402 is removed and reserved. 4. Section 162.404 is amended as follows: A. Redesignating paragraph (a) as paragraph (a)(1). B. Adding a paragraph (a)(2). The addition reads as follows: § 162.404 Compliance dates of the implementation of the standard unique health identifier for health care providers. 6. Subpart E is added to part 162 to read as follows: Subpart E—Standard Unique Health Identifier for Health Plans Sec. 162.502 [Reserved] 162.504 Compliance dates for the implementation of the standard unique health plan identifier. 162.506 Standard unique health plan identifier. 162.508 Enumeration System. 162.510 Implementation specifications: Covered entities. 162.512 Implementation specifications: Health plans. 162.514 Other entity identifier. Subpart E—Standard Unique Health Identifier for Health Plans § 162.502 [Reserved] § 162.504 Compliance dates for the implementation of the standard unique health plan identifier.	(a) Covered health care providers. A covered health care provider must comply with the implementation specifications	plans. A health plan must comply with the implementation specifications in § 162.510 and § 162.512 no later than one of the following dates: (1) A health plan that is not a small health plan—October 1,	(2) A health plan that is a small health plan—October 1,	care clearinghouses. A health care clearinghouse must comply with the implementation specifications in § 162.510 no later than October 1, 2014. § 162.506 Standard unique health plan identifier. (a) Standard. The standard unique health plan identifier is the Health Plan Identifier (HPID) that is assigned by the Enumeration System identified in § 162.508. (b) Required and permitted uses for the HPID. (1) The HPID must be used as specified in § 162.510 and § 162.512. (2) The HPID may be used for any other lawful purpose. § 162.508 Enumeration System. The Enumeration System shall do all of the following: (c) If appropriate, deactivate an HPID upon receipt of sufficient information concerning circumstances justifying deactivation. (d) If appropriate, reactivate a deactivated HPID or OEID upon receipt of sufficient information justifying reactivation. (e) Not assign a deactivated HPID to any other health plan or OEID to any other entity. (f) Disseminate Enumeration System information upon approved requests. § 162.510 Implementation specifications: Covered entities. (a) A covered entity must use an HPID standard under this part. § 162.512 Implementation specifications: Health plans. (a) A controlling health plan must do all of the following: (1) Obtain an HPID from the Enumeration System for itself. (2) Disclose its HPID, when requested, to any entity that needs the HPID to identify the health plan in a standard transaction.	(3) Communicate to the Enumeration System any changes in its required data elements in the Enumeration System within 30 days of the change.
National Health Plan Identifier White Paper	0.6521739130434783	0.59375	0.5666666666666667	0.5416666666666667	0.6363636363636364	0.6666666666666667	0.5454545454545454	0.5833333333333333	0.7254901960784313	0.6666666666666667	0.5952380952380952	0.631578947368421	0.6190476190476191	0.7090909090909091	0.5185185185185186	0.6578947368421053	0.6206896551724138	0.6304347826086957	0.6129032258064516
Survey ICD10 Brief Progress	0.6595744680851063	0.6857142857142857	0.7058823529411764	0.6153846153846154	0.8076923076923077	0.5	0.6388888888888888	0.5945945945945945	0.7307692307692308	0.5675675675675675	0.5714285714285714	0.5675675675675675	0.627906976744186	0.6415094339622642	0.6333333333333333	0.7	0.7941176470588236	0.6086956521739131	0.5806451612903225
Survey Inducstry Reaction to Potential Delay of ICD10A Delay will be Costly but Manageable  Unless its more than a year	0.44897959183673475	0.525	0.5	0.5151515151515151	0.7058823529411764	0.4736842105263158	0.5238095238095238	0.41463414634146345	0.537037037037037	0.35	0.37777777777777777	0.35	0.32558139534883723	0.42592592592592593	0.36363636363636365	0.45238095238095233	0.5789473684210527	0.36170212765957444	0.37142857142857144
The 2010 Federal Reserve Payments Study Noncash Payment Trends in the United States 20062009	0.5686274509803921	0.6	0.5405405405405406	0.6470588235294117	0.71875	0.625	0.627906976744186	0.4878048780487805	0.5384615384615384	0.5	0.40909090909090906	0.5	0.43181818181818177	0.509090909090909	0.5	0.5238095238095238	0.5833333333333333	0.45833333333333337	0.5
The Costs and Benefits of Moving to the ICD10 Code Sets	0.625	0.5588235294117647	0.6176470588235294	0.5	0.7857142857142857	0.15384615384615385	0.5142857142857142	0.5526315789473684	0.5918367346938775	0.5263157894736843	0.5348837209302326	0.4444444444444444	0.5581395348837209	0.6111111111111112	0.5806451612903225	0.6585365853658536	0.7058823529411764	0.574468085106383	0.53125
The National Progress Report on Healthcare Efficiency	0.5652173913043479	0.5588235294117647	0.4838709677419355	0.6071428571428572	0.5833333333333333	0.6666666666666667	0.5555555555555556	0.5526315789473684	0.6470588235294117	0.4864864864864865	0.5	0.6	0.4878048780487805	0.6111111111111112	0.48275862068965514	0.5897435897435898	0.5806451612903225	0.5111111111111111	0.4838709677419355
Version 5010 and ID10 Readiness Assessment Conducted among Helath Care Providers payers and Vendors for the Centers for Medicare  Medicaid Services CMS	0.4285714285714286	0.5	0.4736842105263158	0.5294117647058824	0.7142857142857143	0.4871794871794872	0.42500000000000004	0.3902439024390244	0.49056603773584906	0.36585365853658536	0.31818181818181823	0.32499999999999996	0.3023255813953488	0.4363636363636364	0.38235294117647056	0.4651162790697675	0.5897435897435898	0.34042553191489366	0.43243243243243246
Comments from VHA Health Care as Health Care Provider testimony by Barbara Mayerick for NCVHS	0.5	0.5897435897435898	0.48571428571428577	0.5	0.7096774193548387	0.5789473684210527	0.6190476190476191	0.475	0.5576923076923077	0.5581395348837209	0.4666666666666667	0.4878048780487805	0.4545454545454546	0.5789473684210527	0.3870967741935484	0.5813953488372092	0.5714285714285714	0.5102040816326531	0.48571428571428577
Testimony before the NCVHS Subcommittee on Standards on the National Health Plan Identifier on behalf of America�s Health Insurance Plans and the Blue Cross and Blue Shield Association	0.47916666666666663	0.6	0.5405405405405406	0.5161290322580645	0.71875	0.5897435897435898	0.5952380952380952	0.4878048780487805	0.5660377358490566	0.46341463414634143	0.40909090909090906	0.46341463414634143	0.43181818181818177	0.5357142857142857	0.40625	0.5581395348837209	0.5833333333333333	0.45833333333333337	0.4571428571428572
Testimony By The American Medical Association	0.6	0.5625	0.48275862068965514	0.5	0.6521739130434783	0.59375	0.6756756756756757	0.631578947368421	0.625	0.5675675675675675	0.6046511627906976	0.48571428571428577	0.5609756097560976	0.6666666666666667	0.36	0.5555555555555556	0.4814814814814815	0.6382978723404256	0.48275862068965514
2010 AFP Electronic Payments Report of Survey Results	0.5416666666666667	0.6052631578947368	0.5428571428571429	0.5666666666666667	0.6428571428571428	0.6666666666666667	0.6	0.36111111111111116	0.6226415094339622	0.3783783783783784	0.4418604651162791	0.46153846153846156	0.3902439024390244	0.537037037037037	0.4	0.4871794871794872	0.5	0.4565217391304348	0.4545454545454546
An Updated Surve of Health Care Claims Receipt and Processing Times	0.4565217391304348	0.5	0.5142857142857142	0.48275862068965514	0.7	0.5675675675675675	0.5384615384615384	0.42105263157894735	0.5769230769230769	0.4358974358974359	0.41860465116279066	0.4358974358974359	0.36585365853658536	0.49056603773584906	0.31034482758620685	0.5365853658536586	0.5588235294117647	0.4347826086956522	0.4242424242424242
Health Plans Estimated Costs of Implementing ICD10 Diagnosis Coding	0.574468085106383	0.6111111111111112	0.5	0.5714285714285714	0.7037037037037037	0.46875	0.23333333333333328	0.4864864864864865	0.6274509803921569	0.45945945945945943	0.4390243902439024	0.5	0.5	0.5660377358490566	0.5	0.5641025641025641	0.59375	0.48888888888888893	0.4516129032258065
Project Swipe IT Savings Model	0.5652173913043479	0.18518518518518523	0.5757575757575757	0.5	0.6923076923076923	0.5454545454545454	0.631578947368421	0.5526315789473684	0.62	0.6	0.5681818181818181	0.5263157894736843	0.44999999999999996	0.6363636363636364	0.48275862068965514	0.625	0.625	0.5434782608695652	0.53125
Replacing ICD9CM with ICD10CM and ICD10PCS Challenges Estimated Costs and Potential Benefits	0.5102040816326531	0.5263157894736843	0.5405405405405406	0.6060606060606061	0.71875	0.4285714285714286	0.4054054054054054	0.4878048780487805	0.5098039215686274	0.42500000000000004	0.4444444444444444	0.46341463414634143	0.43181818181818177	0.4814814814814815	0.5	0.5581395348837209	0.6216216216216216	0.45833333333333337	0.4117647058823529
The 2011 Medicare Trusteess Report The Baby Boomer Tsunami	0.5531914893617021	0.6216216216216216	0.5151515151515151	0.6333333333333333	0.56	0.5714285714285714	0.65	0.5384615384615384	0.6346153846153846	0.4736842105263158	0.5227272727272727	0.4736842105263158	0.47619047619047616	0.5740740740740741	0.4666666666666667	0.45945945945945943	0.4666666666666667	0.5319148936170213	0.5151515151515151
the complexities of physician supply and demand Projections through 2025 Center for workforce Studies	0.47916666666666663	0.4864864864864865	0.4117647058823529	0.6060606060606061	0.71875	0.625	0.525	0.41025641025641024	0.6181818181818182	0.46341463414634143	0.4444444444444444	0.5	0.39534883720930236	0.5357142857142857	0.3548387096774194	0.41025641025641024	0.5833333333333333	0.42553191489361697	0.3125
The Impact of Health Care Reform on the Future Supply and Demand for Physicians Updated Projections Through 2025	0.4901960784313726	0.5	0.43243243243243246	0.6111111111111112	0.7142857142857143	0.5609756097560976	0.46341463414634143	0.4651162790697675	0.5185185185185186	0.36585365853658536	0.3555555555555555	0.4418604651162791	0.3023255813953488	0.4363636363636364	0.4722222222222222	0.5	0.625	0.34042553191489366	0.43243243243243246
The Impact of Implementing ICD10 on Physician Practices and Clinical Laboratories A Report to the ICD10 Coalition	0.44680851063829785	0.5641025641025641	0.36363636363636365	0.4666666666666667	0.6333333333333333	0.5135135135135135	0.4473684210526315	0.44999999999999996	0.5660377358490566	0.29729729729729726	0.37209302325581395	0.3846153846153846	0.3571428571428571	0.4814814814814815	0.40625	0.44999999999999996	0.5	0.3913043478260869	0.4571428571428572
The National Progress Report on Healthcare Efficiency 2010	0.5625	0.5945945945945945	0.5294117647058824	0.6451612903225806	0.6296296296296297	0.6216216216216216	0.5135135135135135	0.4736842105263158	0.6153846153846154	0.4473684210526315	0.4285714285714286	0.5609756097560976	0.45238095238095233	0.5555555555555556	0.53125	0.5128205128205128	0.53125	0.4444444444444444	0.48484848484848486
Aetna Fourth Quarter 2011 Earnings Call Webcast transcript	0.5625	0.6666666666666667	0.5294117647058824	0.6	0.6785714285714286	0.6578947368421053	0.5897435897435898	0.24242424242424243	0.6415094339622642	0.4054054054054054	0.5	0.5609756097560976	0.4883720930232558	0.6071428571428572	0.4838709677419355	0.4736842105263158	0.43333333333333335	0.5416666666666667	0.48484848484848486
An Updated Survey of Health Care Claims Receipt and Processing Times	0.4347826086956522	0.5135135135135135	0.48571428571428577	0.5	0.6666666666666667	0.5789473684210527	0.55	0.4358974358974359	0.5849056603773585	0.41025641025641024	0.39534883720930236	0.41025641025641024	0.3414634146341463	0.4716981132075472	0.27586206896551724	0.5121951219512195	0.5714285714285714	0.4130434782608695	0.3939393939393939
CMS Hints at Delay in ICD10 Implementation Deadline	0.6170212765957447	0.5882352941176471	0.5625	0.5925925925925926	0.6799999999999999	0.4838709677419355	0.4545454545454546	0.6153846153846154	0.64	0.5135135135135135	0.5238095238095238	0.4285714285714286	0.5476190476190477	0.6296296296296297	0.5172413793103448	0.6153846153846154	0.6129032258064516	0.5652173913043479	0.5161290322580645
Edifecs poll 2012 And February 28 2012 Letter In Regards to ICD10 Implementation Date Delay to Denise M Buenning Director	0.4901960784313726	0.6363636363636364	0.43243243243243246	0.5294117647058824	0.6363636363636364	0.5609756097560976	0.5348837209302326	0.4285714285714286	0.49056603773584906	0.32499999999999996	0.3913043478260869	0.4418604651162791	0.34090909090909094	0.4642857142857143	0.4722222222222222	0.4651162790697675	0.5526315789473684	0.40816326530612246	0.4736842105263158
Examining the Cost of Implementing ICD10	0.6170212765957447	0.6666666666666667	0.5161290322580645	0.5925925925925926	0.7307692307692308	0.4838709677419355	0.3548387096774194	0.5	0.6666666666666667	0.38235294117647056	0.5238095238095238	0.5135135135135135	0.5813953488372092	0.6296296296296297	0.5172413793103448	0.5789473684210527	0.5666666666666667	0.5652173913043479	0.4666666666666667
ICD10 Frequently Asked Questions	0.653061224489796	0.7105263157894737	0.5757575757575757	0.5555555555555556	0.7407407407407407	0.6285714285714286	0.631578947368421	0.5526315789473684	0.6981132075471699	0.5263157894736843	0.6	0.5263157894736843	0.6222222222222222	0.6607142857142857	0.5333333333333333	0.625	0.6666666666666667	0.6041666666666667	0.53125
Letter to Kathleen G Sebelius Secretary US Department of Health and Human Services	0.5208333333333333	0.6153846153846154	0.375	0.5333333333333333	0.6551724137931034	0.641025641025641	0.6097560975609756	0.5365853658536586	0.6545454545454545	0.5121951219512195	0.48888888888888893	0.475	0.4772727272727273	0.5454545454545454	0.3666666666666667	0.5365853658536586	0.5588235294117647	0.5306122448979591	0.47058823529411764
Oregon Provider and Payer Survey Overhauling the US Healthcare Payment System	0.5111111111111111	0.5294117647058824	0.5	0.5714285714285714	0.7037037037037037	0.6388888888888888	0.6052631578947368	0.4864864864864865	0.6274509803921569	0.575	0.5116279069767442	0.5	0.5	0.5660377358490566	0.3928571428571429	0.5263157894736843	0.5483870967741935	0.5217391304347826	0.4
Survey Industry Reaction to Potential Delay of ICD10  A Delay will be Costly but Manageable Unless its more than a Year	0.45999999999999996	0.5365853658536586	0.5128205128205128	0.5294117647058824	0.7142857142857143	0.4871794871794872	0.5348837209302326	0.4285714285714286	0.5185185185185186	0.36585365853658536	0.3913043478260869	0.36585365853658536	0.34090909090909094	0.4363636363636364	0.38235294117647056	0.4651162790697675	0.5897435897435898	0.375	0.38888888888888884
WellPoint Fourth Quarter 2011 Results Conference Call transcript	0.6122448979591837	0.6578947368421053	0.5588235294117647	0.5862068965517242	0.7142857142857143	0.6486486486486487	0.5789473684210527	0.32352941176470584	0.6851851851851851	0.4736842105263158	0.5555555555555556	0.55	0.5116279069767442	0.625	0.4666666666666667	0.5384615384615384	0.5161290322580645	0.5625	0.5151515151515151
Comments from VHA Health Care as Healthe Care Provider	0.6086956521739131	0.6176470588235294	0.5483870967741935	0.3913043478260869	0.72	0.6060606060606061	0.5294117647058824	0.48571428571428577	0.6326530612244898	0.6153846153846154	0.5476190476190477	0.5405405405405406	0.5365853658536586	0.6481481481481481	0.31999999999999995	0.6052631578947368	0.5517241379310345	0.5869565217391304	0.5
What Does it cost physician practices to interact with health insurance plans	0.6222222222222222	0.59375	0.4642857142857143	0.6	0.6363636363636364	0.7058823529411764	0.6666666666666667	0.5833333333333333	0.7254901960784313	0.5555555555555556	0.627906976744186	0.5555555555555556	0.6190476190476191	0.6851851851851851	0.33333333333333337	0.5428571428571429	0.5185185185185186	0.6304347826086957	0.4642857142857143
What does it cost physician practices to interact with health insurance plans	0.5909090909090908	0.5483870967741935	0.4642857142857143	0.5416666666666667	0.5714285714285714	0.7058823529411764	0.6666666666666667	0.5428571428571429	0.7254901960784313	0.5945945945945945	0.627906976744186	0.5555555555555556	0.5853658536585367	0.6851851851851851	0.26086956521739135	0.5	0.5185185185185186	0.6304347826086957	0.40740740740740744
