	Managing for Safer Food The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status Evidence from the United States and Canada” Resources for the Future Discussion Paper	Economic News Release Employment Cost Index” httpwwwblsgovnewsreleaseecitochtm	Health Status Index in Cost Effectiveness Analysis of PKO Program”	Disease Control and Prevention httpwwwcdcgovmmwrpreviewmmwrhtmlmm5414a2htm Consumer Price Index – All Urban Consumers Medical Care Services Bureau of Labor Statistics	Measuring the Health of the United States Population” Microeconomics Brookings Paper	Health Care Contingent Valuation Studies A Review and	Foodborne Illness Cost Calculator for Salmonella	Per Capita Consumption of Selected Food Products httpwwwersusdagov	Foodborne Diseases Active Surveillance Network	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping” Market News	Data US trade data US Imports Trade data	Reddy and the FoodNet Working Group	USDAFSIS Technical Center	Willingness to Pay for a Qualityadjusted Life Year In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation” Arch Intern Med	Foodborne Disease Handbook 2 nd edition vol1 Bacterial Pathogens	The Quality of WellBeing Scale Rationale for a Single Quality of Life Index” From Quality of Life Assessment Key Issues in the 1990s	The economic impact of the catfish industry on Chicot County	FoodRelated Illness and Death in the United States” Emerging Infectious Diseases	FDA Labeling Cost Model” Prepared for the US Department of Health and Human Services Research Triangle Park	Physician Characteristics and Distribution in the United States” 20022003 Edition	Food Poisoning Economic Implications” Encyclopedia of Food Sciences	Processing Channel Catfish South Regional Aquaculture Center	PostSalmonella Reactive Arthritis	Department of Agriculture Food Safety and Inspection Service Office of Public Health Science	Department of Agriculture National Agricultural Statistics Service USDANASS	Federal Register 21 CFR Parts 123 and 1240 Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products Final Rule	Trade Commission USITC	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry”	Tauxe and the Food Networking Group	Physician Socioeconomic Statistics” 20002002 Edition Profiles for Detailed Specialties Selected States and Practice Arrangements	Occurrence and Control of Salmonella in Freshwater Catfish	The Costs of Visits to Emergency Departments” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis” 63FR 24254	means 500 or less fulltime equivalent FTE employees Small Business Administration SBA definition  North American Industry Classification System NAICS code
Foodborne Illness Cost Calculator for  Salmonella	0.64	0.64	0.6599999999999999	0.6599999999999999	0.64	0.6599999999999999	0.64	0.030000000000000027	0.7	0.53	0.62	0.6799999999999999	0.6599999999999999	0.76	0.6	0.64	0.56	0.5800000000000001	0.7	0.54	0.56	0.6799999999999999	0.62	0.64	0.61	0.64	0.64	0.64	0.64	0.62	0.6599999999999999	0.62	0.54	0.64	0.64	0.62
FoodNet Foodborne Diseases Active Surveillance Network	0.6699999999999999	0.63	0.65	0.6699999999999999	0.63	0.65	0.65	0.54	0.6699999999999999	0.0	0.62	0.7	0.6599999999999999	0.6799999999999999	0.6799999999999999	0.65	0.5	0.63	0.6699999999999999	0.6	0.6	0.6699999999999999	0.63	0.63	0.55	0.56	0.63	0.63	0.69	0.63	0.6	0.56	0.6699999999999999	0.63	0.54	0.63
Industry and  Trade Summary Catfish	0.6599999999999999	0.6	0.69	0.63	0.63	0.6599999999999999	0.69	0.6599999999999999	0.6599999999999999	0.69	0.63	0.6	0.62	0.72	0.6	0.6	0.63	0.63	0.63	0.63	0.6	0.6599999999999999	0.6599999999999999	0.63	0.64	0.6	0.6	0.5800000000000001	0.54	0.63	0.69	0.5800000000000001	0.52	0.6599999999999999	0.6599999999999999	0.5800000000000001
Preliminary FoodNet Data on the Incidence of Infection with Pathogens Transmitted Commonly Through Food 	0.53	0.5700000000000001	0.64	0.56	0.65	0.5900000000000001	0.5900000000000001	0.61	0.5800000000000001	0.5700000000000001	0.62	0.6	0.6	0.6799999999999999	0.63	0.6	0.5	0.63	0.54	0.55	0.61	0.63	0.63	0.62	0.64	0.6	0.6599999999999999	0.6	0.5	0.5700000000000001	0.5800000000000001	0.6599999999999999	0.61	0.62	0.6699999999999999	0.62
Statistical Abstract of the United States	0.61	0.31999999999999995	0.69	0.5700000000000001	0.5700000000000001	0.31999999999999995	0.61	0.69	0.5900000000000001	0.69	0.5900000000000001	0.6	0.75	0.72	0.64	0.54	0.64	0.61	0.5900000000000001	0.42000000000000004	0.5700000000000001	0.35	0.61	0.5700000000000001	0.61	0.61	0.5900000000000001	0.61	0.73	0.5900000000000001	0.69	0.54	0.64	0.64	0.61	0.5900000000000001
FDA Labeling  Cost Model	0.6699999999999999	0.63	0.55	0.55	0.5900000000000001	0.63	0.63	0.55	0.5900000000000001	0.6699999999999999	0.6699999999999999	0.63	0.63	0.63	0.6699999999999999	0.5900000000000001	0.63	0.5900000000000001	0.5900000000000001	0.63	0.050000000000000044	0.6699999999999999	0.6699999999999999	0.63	0.75	0.6699999999999999	0.71	0.5900000000000001	0.6799999999999999	0.55	0.63	0.63	0.5900000000000001	0.6699999999999999	0.5	0.5800000000000001
Health Status Index in Cost  Effectiveness Analysis of PKO Program	0.65	0.54	0.64	0.020000000000000018	0.61	0.61	0.5700000000000001	0.6699999999999999	0.6599999999999999	0.6799999999999999	0.61	0.63	0.6599999999999999	0.72	0.7	0.64	0.6599999999999999	0.6	0.65	0.63	0.64	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.5800000000000001	0.6	0.69	0.61	0.69	0.6599999999999999	0.6	0.63	0.6599999999999999	0.64	0.64	0.6
Physician Characteristics and Distribution  in the United States	0.6	0.49	0.69	0.6799999999999999	0.63	0.5700000000000001	0.5900000000000001	0.69	0.61	0.6799999999999999	0.5700000000000001	0.6799999999999999	0.6599999999999999	0.64	0.65	0.5800000000000001	0.61	0.6599999999999999	0.5900000000000001	0.49	0.65	0.020000000000000018	0.65	0.5900000000000001	0.5800000000000001	0.63	0.65	0.5700000000000001	0.6	0.6	0.63	0.55	0.6	0.64	0.65	0.5700000000000001
Physician Socioeconomic Statistics	0.5	0.5900000000000001	0.6799999999999999	0.62	0.5	0.53	0.62	0.74	0.65	0.71	0.6799999999999999	0.74	0.71	0.6799999999999999	0.71	0.6799999999999999	0.65	0.65	0.53	0.5900000000000001	0.6799999999999999	0.44999999999999996	0.5	0.65	0.61	0.62	0.5	0.5900000000000001	0.64	0.5900000000000001	0.74	0.0	0.6799999999999999	0.65	0.62	0.62
Processing Channel Catfish	0.6599999999999999	0.5800000000000001	0.6599999999999999	0.62	0.62	0.5	0.5800000000000001	0.62	0.6599999999999999	0.69	0.62	0.7	0.74	0.72	0.6599999999999999	0.5800000000000001	0.62	0.54	0.5	0.5800000000000001	0.62	0.54	0.62	0.0	0.5800000000000001	0.6599999999999999	0.62	0.39	0.64	0.62	0.7	0.62	0.43000000000000005	0.6599999999999999	0.62	0.62
The economic impact of the catfish industry  on Chicot County Arkansas	0.6	0.62	0.63	0.65	0.6599999999999999	0.53	0.65	0.65	0.63	0.6599999999999999	0.63	0.65	0.6	0.64	0.6699999999999999	0.6	0.65	0.62	0.020000000000000018	0.6	0.5900000000000001	0.6	0.61	0.55	0.64	0.63	0.65	0.6	0.64	0.62	0.63	0.62	0.64	0.64	0.62	0.5800000000000001
The Value of a Statistical Life A  Critical Review of Market Estimates throughout the World	0.64	0.41000000000000003	0.69	0.62	0.63	0.64	0.55	0.6699999999999999	0.63	0.64	0.64	0.63	0.63	0.64	0.61	0.61	0.63	0.5900000000000001	0.6	0.6599999999999999	0.63	0.62	0.6699999999999999	0.64	0.5800000000000001	0.64	0.62	0.61	0.69	0.6599999999999999	0.63	0.6	0.64	0.64	0.5900000000000001	0.65
Bacterial Pathogens	0.69	0.5800000000000001	0.64	0.64	0.64	0.53	0.5800000000000001	0.64	0.64	0.5800000000000001	0.64	0.64	0.69	0.64	0.69	0.5800000000000001	0.0	0.48	0.5800000000000001	0.5800000000000001	0.53	0.53	0.64	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.53	0.5800000000000001	0.74	0.5800000000000001	0.64	0.48	0.5800000000000001	0.5800000000000001	0.5800000000000001	0.5800000000000001
Food Poisoning Economic  Implications	0.41000000000000003	0.6799999999999999	0.6	0.65	0.65	0.55	0.6	0.6	0.6799999999999999	0.63	0.6	0.76	0.69	0.72	0.65	0.65	0.6	0.65	0.5700000000000001	0.63	0.71	0.6	0.030000000000000027	0.65	0.61	0.6	0.6799999999999999	0.55	0.6	0.65	0.69	0.5700000000000001	0.63	0.6	0.63	0.6
Personal communication with Catherine Viator RTI	0.61	0.61	0.69	0.63	0.61	0.61	0.61	0.6699999999999999	0.63	0.64	0.61	0.65	0.63	0.6	0.5700000000000001	0.5900000000000001	0.5700000000000001	0.5900000000000001	0.55	0.5900000000000001	0.61	0.5700000000000001	0.55	0.5900000000000001	0.61	0.61	0.61	0.61	0.5	0.5900000000000001	0.63	0.61	0.5900000000000001	0.63	0.63	0.55
FoodRelated Illness and Death in the  United States	0.65	0.4	0.61	0.63	0.63	0.48	0.5700000000000001	0.55	0.6699999999999999	0.64	0.5700000000000001	0.6	0.6	0.72	0.63	0.5700000000000001	0.55	0.61	0.63	0.020000000000000018	0.5700000000000001	0.36	0.6699999999999999	0.63	0.5800000000000001	0.5900000000000001	0.63	0.5700000000000001	0.64	0.55	0.63	0.53	0.5900000000000001	0.63	0.5900000000000001	0.5900000000000001
Health Care Contingent Valuation Studies A Review and Classification of Literature	0.5900000000000001	0.5800000000000001	0.69	0.6	0.6	0.61	0.0	0.63	0.63	0.6599999999999999	0.5900000000000001	0.63	0.6	0.6799999999999999	0.63	0.61	0.6	0.5800000000000001	0.6	0.5800000000000001	0.5900000000000001	0.63	0.63	0.6	0.64	0.5800000000000001	0.64	0.6	0.6	0.6	0.6	0.6	0.61	0.62	0.63	0.53
Microbiology of Aquaculture Products	0.6699999999999999	0.6699999999999999	0.73	0.6699999999999999	0.6699999999999999	0.64	0.7	0.62	0.48	0.7	0.7	0.75	0.75	0.76	0.64	0.7	0.62	0.64	0.64	0.73	0.64	0.64	0.64	0.49	0.64	0.53	0.56	0.5	0.78	0.64	0.75	0.62	0.64	0.7	0.62	0.6699999999999999
Occurrence and Control of Salmonella in Freshwater Catfish	0.64	0.63	0.6599999999999999	0.6599999999999999	0.61	0.63	0.63	0.53	0.5900000000000001	0.61	0.5900000000000001	0.63	0.55	0.64	0.65	0.5800000000000001	0.5900000000000001	0.63	0.64	0.63	0.61	0.61	0.6799999999999999	0.6	0.43000000000000005	0.63	0.63	0.56	0.64	0.5900000000000001	0.5800000000000001	0.63	0.0	0.6599999999999999	0.5700000000000001	0.61
HACCP as a Regulatory Innovation to  Improve Food Safety in the Meat Industry	0.5700000000000001	0.6	0.6799999999999999	0.6799999999999999	0.6699999999999999	0.65	0.61	0.63	0.61	0.6599999999999999	0.5800000000000001	0.5800000000000001	0.55	0.72	0.5900000000000001	0.62	0.63	0.6	0.5900000000000001	0.6	0.62	0.65	0.63	0.62	0.64	0.62	0.6599999999999999	0.5900000000000001	0.64	0.020000000000000018	0.55	0.64	0.5900000000000001	0.62	0.62	0.56
The Costs of Visits to Emergency Departments	0.6	0.6	0.62	0.6	0.6599999999999999	0.6	0.61	0.62	0.6	0.64	0.55	0.6799999999999999	0.6599999999999999	0.6799999999999999	0.62	0.62	0.64	0.62	0.6	0.5700000000000001	0.5700000000000001	0.6	0.64	0.5700000000000001	0.6699999999999999	0.62	0.64	0.6	0.6	0.64	0.6599999999999999	0.6	0.6	0.0	0.6	0.64
Willingness to Pay for a Qualityadjusted Life Year In Search of a Standard	0.5900000000000001	0.5700000000000001	0.72	0.6799999999999999	0.6	0.65	0.63	0.61	0.6699999999999999	0.61	0.6699999999999999	0.6	0.63	0.64	0.0	0.63	0.6799999999999999	0.49	0.62	0.61	0.56	0.6799999999999999	0.6599999999999999	0.62	0.7	0.6	0.6699999999999999	0.6	0.73	0.65	0.63	0.61	0.64	0.61	0.6799999999999999	0.64
What is the Price of Life and Why Doesn�t It Increase at the Rate of Inflation	0.6	0.53	0.6599999999999999	0.65	0.61	0.61	0.61	0.61	0.6599999999999999	0.64	0.52	0.5800000000000001	0.6	0.6799999999999999	0.63	0.040000000000000036	0.62	0.5800000000000001	0.6	0.5900000000000001	0.5800000000000001	0.5700000000000001	0.6699999999999999	0.62	0.61	0.5800000000000001	0.6799999999999999	0.5800000000000001	0.64	0.62	0.6	0.5900000000000001	0.5900000000000001	0.5800000000000001	0.63	0.62
PostSalmonella Reactive Arthritis Late Clinical Sequelae in A Point Source Cohort	0.6799999999999999	0.5700000000000001	0.6699999999999999	0.64	0.63	0.63	0.5900000000000001	0.61	0.64	0.5900000000000001	0.6599999999999999	0.63	0.6599999999999999	0.6	0.65	0.65	0.65	0.61	0.62	0.62	0.6	0.61	0.6599999999999999	0.55	0.0	0.6599999999999999	0.61	0.65	0.6	0.65	0.63	0.61	0.62	0.6799999999999999	0.6599999999999999	0.6
Salmonella Cost Estimate Updated Using FoodNet Data	0.63	0.5700000000000001	0.65	0.5900000000000001	0.63	0.61	0.63	0.61	0.61	0.64	0.5900000000000001	0.53	0.6	0.72	0.65	0.65	0.63	0.61	0.61	0.5700000000000001	0.5700000000000001	0.63	0.65	0.65	0.52	0.63	0.63	0.61	0.6	0.61	0.5800000000000001	0.5900000000000001	0.5900000000000001	0.61	0.53	0.63
Economic Foundations of CostEffectiveness Analysis	0.62	0.6599999999999999	0.5800000000000001	0.33999999999999997	0.6599999999999999	0.64	0.64	0.6599999999999999	0.62	0.65	0.6	0.73	0.6599999999999999	0.76	0.6799999999999999	0.6599999999999999	0.62	0.6	0.52	0.64	0.6799999999999999	0.64	0.54	0.64	0.5800000000000001	0.62	0.64	0.62	0.73	0.62	0.6599999999999999	0.5800000000000001	0.5800000000000001	0.64	0.5800000000000001	0.5800000000000001
Income	0.5	0.5	0.5	0.5	0.5	0.5	0.84	0.5	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.33999999999999997	0.6699999999999999	0.5	0.5	0.5	0.6699999999999999	0.6699999999999999	0.5	0.6699999999999999	0.6699999999999999	0.5	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.5	0.6699999999999999	0.5	0.5	0.6699999999999999	0.5	0.5
The Value of Consumer Loss  Relating to Foodborne Reactive Arthritis	0.64	0.5800000000000001	0.63	0.6599999999999999	0.56	0.61	0.5700000000000001	0.61	0.5800000000000001	0.55	0.5900000000000001	0.65	0.55	0.6799999999999999	0.6799999999999999	0.62	0.61	0.5800000000000001	0.6	0.56	0.62	0.65	0.65	0.62	0.31000000000000005	0.64	0.64	0.5900000000000001	0.64	0.5900000000000001	0.55	0.61	0.56	0.62	0.020000000000000018	0.61
Does the Value  of a Statistical Life Vary with Age and Health Status Evidence from the  United States and Canada	0.5700000000000001	0.020000000000000018	0.6799999999999999	0.56	0.6599999999999999	0.54	0.53	0.65	0.6599999999999999	0.64	0.63	0.6	0.55	0.6799999999999999	0.5900000000000001	0.5800000000000001	0.63	0.5700000000000001	0.6	0.52	0.6	0.54	0.6699999999999999	0.62	0.61	0.5900000000000001	0.5900000000000001	0.6	0.69	0.61	0.5800000000000001	0.5700000000000001	0.61	0.61	0.63	0.62
The Value of Reducing Risks  of Death A Note on New Empirical Evidence	0.63	0.48	0.6799999999999999	0.6699999999999999	0.6599999999999999	0.6	0.61	0.65	0.6599999999999999	0.61	0.65	0.6	0.6	0.6	0.65	0.63	0.62	0.5800000000000001	0.5900000000000001	0.5800000000000001	0.5900000000000001	0.69	0.6599999999999999	0.62	0.6699999999999999	0.6	0.63	0.63	0.64	0.65	0.6	0.63	0.6599999999999999	0.5800000000000001	0.55	0.5800000000000001
