	NO PARSCIT CITATIONS
The NPD GroupNPD Houseworld – POS Refrigerators January – December 2007	0.8157894736842105
Transition of Blowing Agents Used in RefrigeratorFreezer Foam Insulation	0.8275862068965517
Embraco’s path in China	0.9166666666666666
Fact Book 2005—A Statistical Overview of the Home Appliance Industry 2005	0.8648648648648649
Final Report Home Appliance Saturation and Length of First Ownership Study	0.84375
National Residential Home Appliance Market Transformation Strategic Plan	0.75
Vaqplus data sheet	0.9523809523809523
GE Consumer  Industrial Press Room Refrigerators GE Profile Refrigerators with ClimateKeeper2™ Technology Offer Fresh Solutions in a Variety of Sizes	0.7837837837837838
Green Technology Linear DIOS	0.7916666666666666
HomeTips	0.9411764705882353
KitchenAid 27” Double Drawer Refrigerator with 53 cuft Capacity Dual Evaporator Independent Temperatures  Extend Fresh Pantry	0.8292682926829268
On application of nonazeotropic two component refrigerants in domestic refrigerator and home freezers	0.9285714285714286
Product Life of Refrigerators	0.8695652173913043
The Sun Frost RF19	0.8095238095238095
nan	1.0
SidebySide RefrigeratorFreezer Models 48” 2 Door SidebySide with Stainless Steel InteriorExterior with Full Length Glass Door	0.8974358974358975
EPA Refrigerator Analysis ERA Program Users Manual Version 10	0.8666666666666667
Energy Conservation Program for Consumer Products Decision and Order Granting a Waiver to Liebherr Hausgeräte From the Department of Energy Electric Refrigerator and Electric RefrigeratorFreezer Test Procedures	0.8461538461538461
Rule To Reduce Interstate Transport of Fine Particulate Matter and Ozone Clean Air Interstate Rule Revisions to Acid Rain Program Revisions to the NOX SIP Call Final Rule	0.6875
Title 10—Energy Chapter II—Department of Energy Part 430—Energy Conservation Program for Consumer Products Subpart A—General Provisions Section 4302— Definitions	0.8205128205128205
Discount rates in consumer energy related decisions a review of the literature	0.9666666666666667
Testing of propaneisobutane mixture in domestic refrigerators	0.9259259259259259
