	LowLevel Lead Exposure Intelligence and Academic Achievement A LongTerm FollowUp Study	The Relationship between Air Lead and Blood Lead in Children A Critical Review	Intellectual Impairment in Children with Blood Lead Concentrations below 10 Î¼g per Deciliter The New England	Strategic Plan for Elimination of Childhood Lead Poisoning	Preventing Lead Poisoning in Young Children	IQ and Blood Lead from 2 to 7 Years of Age Are the Effects in Older Children the Residual of High Blood Lead Concentrations in 2yearolds Environmental Health Perspectives 113	The Developmental Consequences of Low to Moderate Prenatal and Postnatal Lead Exposure Intellectual Attainment in the Cincinnati Lead Study Cohort Following School Entry	Lead Exposure and the Motor Development Status of Urban Sixyearold Children in the Cincinnati Prospective Study	Low Level Lead Exposure in the Prenatal and Early Preschool Periods Intelligence Prior to School Entry	How Much Does IQ Raise Earnings Implications for Regulatory Impact Analyses	Effect of Smelter Emissions Reductions on Childrenâ€™s Blood Pb Levels	Reduction in Fine Particulate Air Pollution and Mortality	LowLevel Environmental Lead Exposure and Childrenâ€™s Intellectual Function An International Pooled Analysis	The LongTerm Effects of Exposure to Low Doses of Lead in Children	Environmental Lead and Childrenâ€™s Intelligence A Systematic Review of the Epidemiological Evidence	Lung Cancer Cardiopulmonary Mortality and LongTerm Exposure to Fine Particulate Air Pollution	Updated Estimates of Earnings Benefits from Reduced Exposure of Children to Environmental Lead	Temporal Pattern in the Effect of PostNatal Blood Lead Level in Intellectual Development of Young Children Neurotoxicology and Teratology	Blood lead levels and death from all causes cardiovascular disease and cancer results from the NHANES III Mortality Study Environ Health Perspect doi101289ehp9123	Lowlevel Lead Exposure and Childrenâ€™s IQ A MetaAnalysis and Search for a Threshold	Societal Benefits of Reducing Lead Exposure	The Relationship between Gasoline Lead and Blood Lead in the United States	Lifetime Exposure to Environmental Lead and Childrenâ€™s Intelligence at 1113 years the Port Pirie Cohort Study	Environmental Protection Agency	Available at httpwwwepagovttnnaaqsstandardspbspbprfrhtml US Environmental Protection Agency	Environmental Protection Agency 2006a Air Quality Criteria for Lead	Environmental Protection Agency 2006b Economic Analysis for the Renovation Repair and Painting Program Proposed Rule Office of Pollution Prevention and Toxics	Environmental Protection Agency 2006c Final Regulatory Impact Analysis	Environmental Protection Agency 2007c Review of the National Ambient Air Quality Standards for Lead Policy Assessment	Environmental Protection Agency 2007d Letter from Rogene Henderson Chair of the Clean Air Scientific Advisory Committee CASAC to	Environmental Protection Agency 2008a Final Ozone NAAQS Regulatory Impact Analysis Office of Air and Radiation Research Triangle Park	Environmental Protection Agency 2008b Proposed National Ambient Air Quality Standards for Lead Office of Air and Radiation	Environmental Protection Agency 2008c Economic Analysis for the TSCA Lead Renovation Repair and Painting Program Final Rule for Target Housing and ChildOccupied Facilities Economic and Policy Analysis Branch Economics Exposure and Technology Division Office of Pollution Prevention and Toxics	The Yugoslavia Prospective Lead Industry Study Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence	Population by Single Year of Age CD	World Health Organization
Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship between PM25 Exposure and Mortality	0.64	0.53	0.56	0.63	0.61	0.5700000000000001	0.5700000000000001	0.6	0.6	0.62	0.5800000000000001	0.5	0.61	0.6	0.65	0.62	0.6	0.62	0.62	0.6599999999999999	0.56	0.53	0.61	0.5900000000000001	0.69	0.62	0.5900000000000001	0.6	0.61	0.63	0.61	0.62	0.6	0.5800000000000001	0.6	0.64
Integrated Risk Information System IRIS Profile for Lead and Compounds inorganic	0.6699999999999999	0.55	0.5900000000000001	0.49	0.5900000000000001	0.5700000000000001	0.5900000000000001	0.62	0.63	0.63	0.65	0.5800000000000001	0.63	0.5900000000000001	0.55	0.62	0.5900000000000001	0.64	0.63	0.6799999999999999	0.5900000000000001	0.56	0.63	0.65	0.6799999999999999	0.63	0.6	0.6599999999999999	0.6	0.63	0.5900000000000001	0.6	0.53	0.5900000000000001	0.55	0.6
Lead Human Exposure and Health Risk Assessments for Selected Case Studies Volume I Human Exposure and Health Risk Assessments Ð Fullscale	0.5700000000000001	0.63	0.65	0.64	0.63	0.62	0.62	0.54	0.6	0.62	0.6	0.62	0.5800000000000001	0.5900000000000001	0.63	0.61	0.5900000000000001	0.65	0.6	0.55	0.54	0.61	0.62	0.65	0.71	0.65	0.6599999999999999	0.65	0.5700000000000001	0.65	0.6599999999999999	0.64	0.6	0.61	0.6599999999999999	0.52
Preventing Lead Poisoning in Young Children	0.54	0.44999999999999996	0.56	0.54	0.0	0.56	0.54	0.54	0.56	0.63	0.47	0.63	0.47	0.52	0.54	0.63	0.54	0.47	0.6799999999999999	0.49	0.5800000000000001	0.5900000000000001	0.49	0.5900000000000001	0.63	0.61	0.49	0.63	0.63	0.5900000000000001	0.63	0.61	0.54	0.56	0.6	0.6799999999999999
Review of the National Ambient Air Quality Standards for Lead Policy Assessment of Scientific and Technical Information	0.63	0.5	0.61	0.5700000000000001	0.5900000000000001	0.5800000000000001	0.5800000000000001	0.62	0.61	0.6	0.63	0.53	0.61	0.6	0.5900000000000001	0.6	0.61	0.5800000000000001	0.62	0.61	0.5900000000000001	0.52	0.64	0.52	0.61	0.42000000000000004	0.5800000000000001	0.5800000000000001	0.32999999999999996	0.5700000000000001	0.5900000000000001	0.31999999999999995	0.5700000000000001	0.62	0.6	0.52
Strategic Plan for Elimination of Childhood Lead Poisoning	0.64	0.5700000000000001	0.49	0.0	0.54	0.52	0.5900000000000001	0.5900000000000001	0.63	0.63	0.54	0.64	0.61	0.5700000000000001	0.63	0.63	0.5900000000000001	0.56	0.6599999999999999	0.64	0.5900000000000001	0.56	0.63	0.62	0.64	0.5900000000000001	0.54	0.6699999999999999	0.5700000000000001	0.61	0.61	0.5700000000000001	0.5700000000000001	0.5700000000000001	0.55	0.6
The Benefits and Costs of the Clean Air Act 1970 to 1990	0.5900000000000001	0.5900000000000001	0.63	0.6699999999999999	0.61	0.61	0.5800000000000001	0.61	0.5900000000000001	0.65	0.6699999999999999	0.6799999999999999	0.63	0.5900000000000001	0.61	0.61	0.54	0.61	0.61	0.65	0.54	0.61	0.63	0.65	0.7	0.63	0.61	0.6699999999999999	0.5900000000000001	0.44999999999999996	0.65	0.61	0.63	0.61	0.6599999999999999	0.64
Air Quality Guidelines for Europe Second Edition	0.65	0.63	0.5900000000000001	0.61	0.7	0.63	0.63	0.61	0.55	0.61	0.65	0.63	0.63	0.63	0.65	0.53	0.5900000000000001	0.63	0.5900000000000001	0.65	0.6	0.63	0.63	0.62	0.65	0.55	0.55	0.69	0.5	0.5900000000000001	0.53	0.48	0.55	0.5900000000000001	0.6	0.56
Calculating Benefit PerTon Estimates	0.64	0.64	0.5900000000000001	0.62	0.62	0.56	0.56	0.5900000000000001	0.62	0.5900000000000001	0.6699999999999999	0.5900000000000001	0.56	0.7	0.5900000000000001	0.62	0.5	0.53	0.5900000000000001	0.64	0.56	0.53	0.62	0.6	0.64	0.64	0.62	0.62	0.62	0.62	0.64	0.5900000000000001	0.62	0.56	0.5800000000000001	0.64
Circular A4	0.64	0.45999999999999996	0.55	0.55	0.64	0.55	0.55	0.55	0.73	0.55	0.64	0.37	0.64	0.64	0.64	0.37	0.55	0.55	0.45999999999999996	0.64	0.73	0.73	0.64	0.73	0.64	0.55	0.73	0.55	0.55	0.55	0.55	0.55	0.64	0.73	0.64	0.73
Email from Khan Sikander to Sorrels Larry	0.6599999999999999	0.61	0.5700000000000001	0.61	0.71	0.61	0.61	0.61	0.56	0.5700000000000001	0.64	0.61	0.5900000000000001	0.61	0.61	0.61	0.5700000000000001	0.5900000000000001	0.5700000000000001	0.61	0.6599999999999999	0.64	0.61	0.65	0.6599999999999999	0.64	0.5900000000000001	0.69	0.5900000000000001	0.5900000000000001	0.5700000000000001	0.5900000000000001	0.5900000000000001	0.61	0.5800000000000001	0.64
Lead Exposure and the Motor Development Status of Urban Sixyearold Children in the Cincinnati Prospective Study	0.56	0.56	0.61	0.5900000000000001	0.54	0.53	0.51	0.0	0.52	0.64	0.63	0.6	0.5800000000000001	0.56	0.6	0.6	0.5700000000000001	0.5700000000000001	0.5700000000000001	0.53	0.61	0.53	0.48	0.52	0.63	0.6	0.61	0.63	0.64	0.6	0.64	0.64	0.61	0.63	0.5800000000000001	0.56
Letter from CASAC Chairman Rogene Henderson to EPA Administrator Stephen Johnson	0.6699999999999999	0.6599999999999999	0.62	0.61	0.6599999999999999	0.5900000000000001	0.64	0.64	0.64	0.6699999999999999	0.65	0.6699999999999999	0.6	0.65	0.62	0.64	0.6	0.65	0.63	0.62	0.61	0.64	0.62	0.62	0.6699999999999999	0.64	0.63	0.6599999999999999	0.62	0.48	0.65	0.62	0.63	0.64	0.6	0.64
Personal communication of Skiander Khan with Larry Sorrels	0.64	0.63	0.56	0.56	0.61	0.5700000000000001	0.5900000000000001	0.61	0.63	0.5700000000000001	0.5700000000000001	0.6	0.5700000000000001	0.64	0.6599999999999999	0.63	0.61	0.63	0.56	0.6599999999999999	0.63	0.6	0.64	0.5900000000000001	0.69	0.56	0.5700000000000001	0.63	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5700000000000001	0.61	0.5700000000000001	0.52	0.56
Revised Methodology for Estimating Lead Emissions from PistonEngine Aircraft Operating on Leaded Aviation Gasoline	0.64	0.5700000000000001	0.6699999999999999	0.54	0.49	0.6	0.5800000000000001	0.64	0.63	0.6	0.5800000000000001	0.55	0.5900000000000001	0.62	0.61	0.5900000000000001	0.5900000000000001	0.63	0.63	0.62	0.5900000000000001	0.5700000000000001	0.64	0.55	0.62	0.5700000000000001	0.5700000000000001	0.62	0.62	0.61	0.62	0.5900000000000001	0.5800000000000001	0.5800000000000001	0.63	0.56
Supplemental IQ Gain Calculations Using Two Additional ConcentrationResponse Functions	0.69	0.65	0.52	0.5900000000000001	0.5900000000000001	0.55	0.5900000000000001	0.5900000000000001	0.62	0.6	0.65	0.55	0.61	0.6799999999999999	0.62	0.62	0.64	0.64	0.64	0.6699999999999999	0.63	0.64	0.63	0.55	0.6599999999999999	0.6	0.5700000000000001	0.5900000000000001	0.6	0.64	0.61	0.61	0.61	0.61	0.52	0.56
Memo to the Docket from Marion Hoyer 	0.63	0.63	0.52	0.63	0.65	0.49	0.6	0.5700000000000001	0.6	0.63	0.6	0.63	0.6	0.55	0.6	0.6	0.5700000000000001	0.5700000000000001	0.6	0.65	0.63	0.63	0.5700000000000001	0.65	0.63	0.63	0.55	0.65	0.5700000000000001	0.55	0.63	0.6	0.52	0.63	0.63	0.6
BenMAP User Manual	0.56	0.56	0.6699999999999999	0.6699999999999999	0.73	0.56	0.62	0.62	0.62	0.6699999999999999	0.6699999999999999	0.62	0.5	0.6699999999999999	0.62	0.6699999999999999	0.62	0.6699999999999999	0.62	0.62	0.6699999999999999	0.62	0.62	0.73	0.6699999999999999	0.62	0.56	0.6699999999999999	0.56	0.62	0.5	0.56	0.6699999999999999	0.6699999999999999	0.73	0.6699999999999999
Air Quality Criteria for Lead and Related Photochemical Oxidants	0.63	0.5700000000000001	0.6	0.5800000000000001	0.63	0.6	0.5700000000000001	0.61	0.5700000000000001	0.61	0.6799999999999999	0.63	0.5800000000000001	0.65	0.61	0.6	0.61	0.6	0.6	0.63	0.5900000000000001	0.54	0.5800000000000001	0.65	0.6599999999999999	0.53	0.6	0.6	0.5	0.61	0.5800000000000001	0.45999999999999996	0.55	0.55	0.63	0.56
Clean Air Act	0.54	0.47	0.47	0.54	0.7	0.54	0.62	0.62	0.54	0.54	0.7	0.47	0.62	0.62	0.54	0.62	0.54	0.54	0.62	0.54	0.62	0.54	0.62	0.54	0.62	0.47	0.62	0.54	0.47	0.16000000000000003	0.62	0.47	0.62	0.7	0.62	0.62
Economic Analysis for the TSCA Lead Renovation Repair and Painting Program Final Rule for Target Housing and ChildOccupied Facilities	0.5900000000000001	0.56	0.5900000000000001	0.5700000000000001	0.49	0.61	0.6	0.61	0.61	0.62	0.65	0.55	0.62	0.6	0.62	0.6	0.61	0.64	0.63	0.6	0.5900000000000001	0.5700000000000001	0.63	0.5900000000000001	0.6599999999999999	0.5900000000000001	0.31999999999999995	0.55	0.61	0.64	0.61	0.5900000000000001	0.0	0.61	0.5800000000000001	0.6
National Primary and Secondary Ambient Air Quality Standards for Lead	0.63	0.6	0.61	0.62	0.63	0.61	0.5800000000000001	0.6	0.61	0.65	0.64	0.5700000000000001	0.63	0.6799999999999999	0.61	0.5700000000000001	0.64	0.63	0.5800000000000001	0.56	0.61	0.5800000000000001	0.6	0.5900000000000001	0.6599999999999999	0.41000000000000003	0.5700000000000001	0.5900000000000001	0.31999999999999995	0.6	0.5800000000000001	0.31000000000000005	0.56	0.5700000000000001	0.6	0.6
Proposed National Ambient Air Quality Standards for Lead	0.63	0.5	0.5800000000000001	0.63	0.63	0.5800000000000001	0.54	0.56	0.5800000000000001	0.5900000000000001	0.61	0.56	0.63	0.6599999999999999	0.65	0.5800000000000001	0.5900000000000001	0.5900000000000001	0.5800000000000001	0.52	0.5900000000000001	0.52	0.5800000000000001	0.62	0.65	0.36	0.54	0.5800000000000001	0.10999999999999999	0.5800000000000001	0.5800000000000001	0.0	0.56	0.5800000000000001	0.5800000000000001	0.6
Economic Analysis for the Renovation Repair and Painting Program Proposed Rule	0.61	0.62	0.63	0.54	0.49	0.61	0.56	0.61	0.5700000000000001	0.64	0.65	0.5800000000000001	0.5900000000000001	0.6699999999999999	0.65	0.62	0.65	0.6599999999999999	0.5900000000000001	0.65	0.61	0.61	0.5900000000000001	0.55	0.6699999999999999	0.56	0.0	0.63	0.5800000000000001	0.61	0.53	0.5900000000000001	0.17000000000000004	0.5900000000000001	0.5800000000000001	0.52
Final Ozone NAAQS Regulatory Impact Analysis 	0.69	0.6699999999999999	0.65	0.69	0.73	0.63	0.63	0.6699999999999999	0.65	0.31000000000000005	0.6699999999999999	0.6	0.51	0.6699999999999999	0.6699999999999999	0.63	0.69	0.65	0.63	0.5800000000000001	0.6599999999999999	0.65	0.6699999999999999	0.65	0.6699999999999999	0.6	0.56	0.29000000000000004	0.5800000000000001	0.63	0.0	0.5800000000000001	0.56	0.63	0.6599999999999999	0.64
Final Regulatory Impact Analysis PM 25 NAAQS	0.6599999999999999	0.6599999999999999	0.69	0.6599999999999999	0.75	0.64	0.62	0.64	0.64	0.31999999999999995	0.6599999999999999	0.64	0.5700000000000001	0.71	0.6599999999999999	0.6599999999999999	0.71	0.69	0.64	0.6	0.73	0.69	0.6599999999999999	0.62	0.69	0.62	0.5700000000000001	0.16000000000000003	0.62	0.6599999999999999	0.28	0.62	0.5700000000000001	0.6599999999999999	0.63	0.64
PM 25 NAAQS	0.73	0.8200000000000001	0.73	0.73	0.8200000000000001	0.64	0.73	0.73	0.64	0.73	0.73	0.8200000000000001	0.73	0.91	0.73	0.8200000000000001	0.8200000000000001	0.73	0.55	0.73	0.8200000000000001	0.73	0.73	0.8200000000000001	0.8200000000000001	0.64	0.73	0.73	0.73	0.73	0.45999999999999996	0.73	0.73	0.73	0.73	0.8200000000000001
Regulatory Impact Analysis of the Clean Air Mercury Rule	0.65	0.5800000000000001	0.61	0.62	0.6799999999999999	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.61	0.56	0.63	0.61	0.65	0.65	0.61	0.63	0.63	0.61	0.63	0.5900000000000001	0.5800000000000001	0.61	0.65	0.62	0.6799999999999999	0.63	0.5	0.54	0.5800000000000001	0.5	0.33999999999999997	0.5900000000000001	0.5	0.63	0.55	0.6
The Relationship Between Air Lead and Blood Lead in Children A Critical Review	0.61	0.020000000000000018	0.5700000000000001	0.5700000000000001	0.44999999999999996	0.54	0.5800000000000001	0.56	0.5700000000000001	0.6699999999999999	0.5800000000000001	0.5800000000000001	0.5700000000000001	0.5	0.5700000000000001	0.62	0.53	0.53	0.63	0.5900000000000001	0.61	0.25	0.54	0.62	0.6599999999999999	0.62	0.5700000000000001	0.6799999999999999	0.56	0.5900000000000001	0.5800000000000001	0.53	0.56	0.5700000000000001	0.6	0.64
The Relationship between Gasoline Lead and Blood Lead in the United States	0.63	0.22999999999999998	0.5700000000000001	0.56	0.5900000000000001	0.53	0.56	0.53	0.5900000000000001	0.64	0.5900000000000001	0.5700000000000001	0.5900000000000001	0.56	0.6	0.61	0.61	0.53	0.61	0.63	0.5900000000000001	0.0	0.55	0.65	0.64	0.64	0.5700000000000001	0.6799999999999999	0.54	0.61	0.6	0.53	0.5700000000000001	0.56	0.55	0.56
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution	0.62	0.62	0.64	0.63	0.63	0.62	0.52	0.6	0.61	0.64	0.6799999999999999	0.31999999999999995	0.5900000000000001	0.56	0.65	0.020000000000000018	0.6	0.64	0.5900000000000001	0.64	0.54	0.61	0.63	0.5900000000000001	0.6599999999999999	0.63	0.55	0.63	0.62	0.61	0.64	0.5900000000000001	0.5	0.49	0.55	0.6
Low Level Lead Exposure in the Prenatal and Early Preschool Periods Intelligence Prior to School Entry	0.49	0.5700000000000001	0.6	0.63	0.56	0.5800000000000001	0.48	0.52	0.0	0.64	0.63	0.5700000000000001	0.5	0.6	0.5700000000000001	0.61	0.63	0.56	0.5800000000000001	0.45999999999999996	0.5900000000000001	0.5900000000000001	0.49	0.5900000000000001	0.64	0.62	0.5700000000000001	0.6	0.65	0.62	0.64	0.61	0.61	0.51	0.6599999999999999	0.56
Blood lead levels and death from all causes cardiovascular disease and cancer results from the NHANES III Mortality Study	0.5700000000000001	0.63	0.63	0.6799999999999999	0.6799999999999999	0.61	0.6	0.6	0.6	0.62	0.65	0.53	0.62	0.62	0.64	0.5900000000000001	0.61	0.62	0.0	0.5800000000000001	0.63	0.61	0.5900000000000001	0.65	0.64	0.63	0.64	0.65	0.64	0.63	0.65	0.65	0.5800000000000001	0.63	0.63	0.56
LowLevel Lead Exposure intelligence and academic achievement a longterm followup study	0.10999999999999999	0.62	0.62	0.64	0.54	0.61	0.48	0.55	0.47	0.64	0.6799999999999999	0.62	0.52	0.6	0.53	0.61	0.64	0.56	0.5900000000000001	0.5	0.61	0.6	0.52	0.62	0.6799999999999999	0.6	0.62	0.65	0.6599999999999999	0.64	0.64	0.64	0.6	0.61	0.6599999999999999	0.64
LowLevel Environmental Lead Exposure and ChildrenÕs Intellectual Function An International Pooled Analysis	0.5	0.56	0.5900000000000001	0.5900000000000001	0.47	0.55	0.47	0.5700000000000001	0.5	0.56	0.5900000000000001	0.5700000000000001	0.030000000000000027	0.56	0.43000000000000005	0.5900000000000001	0.5	0.54	0.62	0.42000000000000004	0.47	0.5900000000000001	0.43999999999999995	0.42000000000000004	0.63	0.54	0.6	0.53	0.5800000000000001	0.5800000000000001	0.5900000000000001	0.6	0.54	0.5800000000000001	0.63	0.56
The Yugoslavia Prospective Lead Industry Study Contributions of Prenatal and Postnatal Lead Exposure to Early Intelligence	0.63	0.5700000000000001	0.64	0.5700000000000001	0.56	0.6	0.43999999999999995	0.63	0.51	0.63	0.5900000000000001	0.53	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5	0.5800000000000001	0.64	0.63	0.56	0.44999999999999996	0.56	0.63	0.52	0.64	0.54	0.5900000000000001	0.6	0.5900000000000001	0.63	0.62	0.5900000000000001	0.6	0.0	0.6	0.6
Lead Exposure and Intelligence in 7YearOld Children the Yugoslavia Prospective Study	0.4	0.5700000000000001	0.6	0.5900000000000001	0.47	0.52	0.47	0.43000000000000005	0.5	0.6599999999999999	0.6	0.6	0.49	0.5900000000000001	0.53	0.62	0.5800000000000001	0.54	0.5800000000000001	0.54	0.5900000000000001	0.5700000000000001	0.49	0.5800000000000001	0.65	0.62	0.6	0.63	0.62	0.5900000000000001	0.65	0.62	0.55	0.61	0.5800000000000001	0.56
Lifetime Exposure to Environmental Lead and ChildrenÕs Intelligence at 1113 years the Port Pirie Cohort Study	0.5	0.54	0.5900000000000001	0.63	0.49	0.5800000000000001	0.54	0.49	0.48	0.63	0.56	0.6	0.43999999999999995	0.5	0.35	0.62	0.6	0.5900000000000001	0.5800000000000001	0.49	0.61	0.55	0.030000000000000027	0.39	0.65	0.53	0.6	0.55	0.63	0.61	0.64	0.62	0.62	0.62	0.6	0.6
