	State of the Vending Industry Report” httpwwwvendingmarketwatchcomcontentreports accessed	National Automatic Merchandising Association “Comments of The National Automatic Merchandising Association” Docket No	Business Administration “Table of Small Business Size Standards Matched to North American Industry Classification System Codes” Effective	Operators Find Todayaposs Patrons Favor aposBetterForYouapos Food Selections In	Is the Obesity Epidemic a Public Health Problem A Decade	Strategies for Promoting Healthier Food Choices” American Economic Review Papers and Proceedings	Doing it Now or	Will all Americans Become Overweight or Obese Estimating the Progression and	Prevalence of Overweight Obesity and Extreme Obesity Among Adults United States	The Effect of Obesity and Cardiometabolic Risk Factor on Expenditures and Productivity in the US” Obesity	Social Network and Weight Misperception Among Adolescents” Southern Economic Journal Forthcoming	Size Matters The Influence of Adolescent’s Weight and	Body Weight SelfPerception and Mental Health among	The Impact of Obesity on	Annual Medical Spending Attributable to Obesity Payer	The Growth of Obesity and Technological Change A Theoretical and Empirical Examination”	The LongRun Growth in Obesity as a Function of Technological Change”	An Economic Analysis of Adult Obesity Results from the Behavioral Risk Factor Surveillance System”	A Pricing Strategy to Promote LowFat Snack Choices through Vending Machines”	Department of Agriculture Economic Research Service “Table 15 Sales of meals and snacks away from home by type of outlet” Food CPI and Expenditures Food Expenditure Tables httpwwwersusdagovBriefingCPIFoodAndExpendituresData Accessed 1082010	Testing Laboratory “Quality Nutrition Analysis” httpwwwrlfoodtestinglaboratorycomservicesasp accessed	Evaluation of Recordkeeping Costs for Food Manufacturers Final Report” Prepared for Andy Estrin and Cristina McLaughlin of FDAaposs Center for Food Safety and Applied Nutrition Prepared by Aylin Sertkaya Ayesha Berlind and Seda Erdem Contract No 223012461 Task Order Number 5	City’s Soda Cost Millions Monthly Tax on Soft Drinks	Taxing Food Implications for Public	Ounces of Prevention — The Public Policy Case for Taxes on Sugared Beverages” New England	The Effects of Soft Drink Taxes on Child and Adolescent Consumption and Weight Outcomes”	Schoolchildren’s Consumption of Competitive Foods and Beverages Excluding à la	Choose Beverages and Foods to Moderate your Intake of Sugars Measurement Requires Quantification	Measuring the Health of the US	ObesityRelated QualityAdusted Life Years Lost in the US from 19932008”	Trends in QualityAdjusted LifeYears Lost Contributed by Smoking and Obesity”	Statistical Abstract of the United States	Separating what We Eat from where	Calorie Labeling And Food Choices A First Look At The Effects On LowIncome People In New York City	Adolescent Fast Food and Restaurant Ordering Behavior with and without Calorie and Fat Content Menu Information”	Do Nutrition Labels Improve Dietary Outcomes	Mandatory Menu Labeling in One FastFood Chain in King County	Child and Adolescent FastFood Choice and the Influence of Calorie Labeling	Nutrition Menu Labeling May Lead to LowerCalorie Restaurant Meal Choices for Children Pediatrics	Modeling weightloss maintenance to help prevent body weight regain”	School Vending Machine Use and FastFood Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth”
Size Matters The Influence of Adolescent�s Weight and Height on Dating and Sex	0.38181818181818183	0.2727272727272727	0.30000000000000004	0.37254901960784315	0.33333333333333337	0.368421052631579	0.5675675675675675	0.37254901960784315	0.3090909090909091	0.4098360655737705	0.33333333333333337	0.13207547169811318	0.28	0.4222222222222223	0.30612244897959184	0.368421052631579	0.4181818181818182	0.4035087719298246	0.3928571428571429	0.3802816901408451	0.3793103448275862	0.4246575342465754	0.31999999999999995	0.30612244897959184	0.3666666666666667	0.24137931034482762	0.368421052631579	0.34545454545454546	0.24444444444444446	0.47540983606557374	0.4035087719298246	0.28888888888888886	0.40909090909090906	0.38983050847457623	0.33333333333333337	0.4285714285714286	0.3877551020408163	0.26530612244897955	0.34615384615384615	0.4117647058823529	0.3448275862068966
The Economics of Childhood Obesity	0.44680851063829785	0.36170212765957444	0.3076923076923077	0.39534883720930236	0.3023255813953488	0.3877551020408163	0.6551724137931034	0.3023255813953488	0.276595744680851	0.28301886792452835	0.4693877551020408	0.4222222222222223	0.38095238095238093	0.18918918918918914	0.36585365853658536	0.22448979591836737	0.3191489361702128	0.30612244897959184	0.45833333333333337	0.4285714285714286	0.36	0.41538461538461535	0.38095238095238093	0.36585365853658536	0.3076923076923077	0.31999999999999995	0.3877551020408163	0.4042553191489362	0.45945945945945943	0.4339622641509434	0.34693877551020413	0.29729729729729726	0.4444444444444444	0.2549019607843137	0.3877551020408163	0.36585365853658536	0.31707317073170727	0.31707317073170727	0.31818181818181823	0.34883720930232553	0.56
The Impact of Obesity on Wages	0.33333333333333337	0.41666666666666663	0.39622641509433965	0.36363636363636365	0.31818181818181823	0.43999999999999995	0.6	0.31818181818181823	0.33333333333333337	0.37037037037037035	0.43999999999999995	0.34782608695652173	0.3023255813953488	0.052631578947368474	0.33333333333333337	0.28	0.33333333333333337	0.4	0.4693877551020408	0.4375	0.33333333333333337	0.4545454545454546	0.4883720930232558	0.2857142857142857	0.39622641509433965	0.33333333333333337	0.43999999999999995	0.375	0.42105263157894735	0.4814814814814815	0.4	0.368421052631579	0.29729729729729726	0.2692307692307693	0.4	0.2857142857142857	0.38095238095238093	0.33333333333333337	0.37777777777777777	0.31818181818181823	0.5294117647058824
Doing it Now or Later	0.5121951219512195	0.46341463414634143	0.6086956521739131	0.5675675675675675	0.5675675675675675	0.5348837209302326	0.13043478260869568	0.45945945945945943	0.5121951219512195	0.6595744680851063	0.4883720930232558	0.5384615384615384	0.5	0.5483870967741935	0.48571428571428577	0.5348837209302326	0.46341463414634143	0.627906976744186	0.47619047619047616	0.6140350877192983	0.4545454545454546	0.5932203389830508	0.5555555555555556	0.5428571428571429	0.5217391304347826	0.5454545454545454	0.5813953488372092	0.5609756097560976	0.4193548387096774	0.6170212765957447	0.5348837209302326	0.4838709677419355	0.33333333333333337	0.4666666666666667	0.5348837209302326	0.37142857142857144	0.4285714285714286	0.4285714285714286	0.368421052631579	0.45945945945945943	0.5454545454545454
The Economics of Immediate Gratification	0.34782608695652173	0.34782608695652173	0.33333333333333337	0.38095238095238093	0.33333333333333337	0.375	0.5714285714285714	0.33333333333333337	0.34782608695652173	0.3846153846153846	0.41666666666666663	0.31818181818181823	0.36585365853658536	0.2222222222222222	0.44999999999999996	0.29166666666666663	0.3913043478260869	0.375	0.44680851063829785	0.4516129032258065	0.3877551020408163	0.5	0.41463414634146345	0.30000000000000004	0.4117647058823529	0.34693877551020413	0.375	0.34782608695652173	0.38888888888888884	0.5	0.45833333333333337	0.2777777777777778	0.3142857142857143	0.31999999999999995	0.375	0.4	0.44999999999999996	0.30000000000000004	0.39534883720930236	0.38095238095238093	0.4693877551020408
Mandatory Menu Labeling in One FastFood Chain in King County Washington	0.4509803921568627	0.37254901960784315	0.3928571428571429	0.36170212765957444	0.36170212765957444	0.4339622641509434	0.5757575757575757	0.3191489361702128	0.33333333333333337	0.368421052631579	0.3584905660377359	0.34693877551020413	0.34782608695652173	0.41463414634146345	0.24444444444444446	0.3584905660377359	0.2549019607843137	0.3584905660377359	0.3076923076923077	0.4626865671641791	0.37037037037037035	0.3913043478260869	0.3913043478260869	0.37777777777777777	0.3571428571428571	0.37037037037037035	0.39622641509433965	0.33333333333333337	0.31707317073170727	0.4035087719298246	0.3207547169811321	0.36585365853658536	0.44999999999999996	0.3090909090909091	0.3207547169811321	0.33333333333333337	0.022222222222222254	0.19999999999999996	0.20833333333333337	0.3191489361702128	0.40740740740740744
The Economics of Obesity	0.4545454545454546	0.4545454545454546	0.3877551020408163	0.44999999999999996	0.35	0.4782608695652174	0.6153846153846154	0.35	0.31818181818181823	0.36	0.5217391304347826	0.47619047619047616	0.4358974358974359	0.11764705882352944	0.42105263157894735	0.30434782608695654	0.36363636363636365	0.34782608695652173	0.5111111111111111	0.5	0.4042553191489362	0.4838709677419355	0.4871794871794872	0.42105263157894735	0.3877551020408163	0.4042553191489362	0.4782608695652174	0.4545454545454546	0.47058823529411764	0.48	0.4347826086956522	0.3529411764705882	0.3939393939393939	0.33333333333333337	0.4782608695652174	0.368421052631579	0.42105263157894735	0.42105263157894735	0.41463414634146345	0.4	0.6170212765957447
Separating what We Eat from where Measuring the Effect of Food Away from Home on Diet	0.2727272727272727	0.3090909090909091	0.33333333333333337	0.37254901960784315	0.2549019607843137	0.22807017543859653	0.5135135135135135	0.2941176470588235	0.23636363636363633	0.34426229508196726	0.19298245614035092	0.28301886792452835	0.19999999999999996	0.37777777777777777	0.26530612244897955	0.29824561403508776	0.38181818181818183	0.29824561403508776	0.25	0.323943661971831	0.31034482758620685	0.34246575342465757	0.4	0.34693877551020413	0.3666666666666667	0.24137931034482762	0.29824561403508776	0.2727272727272727	0.28888888888888886	0.4426229508196722	0.4035087719298246	0.33333333333333337	0.2272727272727273	0.288135593220339	0.29824561403508776	0.3877551020408163	0.34693877551020413	0.30612244897959184	0.3076923076923077	0.2941176470588235	0.3448275862068966
Social Dynamics of Obesity	0.4222222222222223	0.4222222222222223	0.4	0.36585365853658536	0.31707317073170727	0.44680851063829785	0.5555555555555556	0.36585365853658536	0.28888888888888886	0.37254901960784315	0.4893617021276596	0.4418604651162791	0.35	0.19999999999999996	0.28205128205128205	0.36170212765957444	0.37777777777777777	0.3191489361702128	0.4782608695652174	0.47540983606557374	0.41666666666666663	0.46031746031746035	0.4	0.3846153846153846	0.4	0.375	0.44680851063829785	0.4222222222222223	0.37142857142857144	0.4117647058823529	0.36170212765957444	0.2571428571428571	0.4117647058823529	0.3877551020408163	0.44680851063829785	0.23076923076923073	0.3846153846153846	0.3846153846153846	0.38095238095238093	0.36585365853658536	0.5416666666666667
School Vending Machine Use and FastFood Restaurant Use Are Associated with Sugar Sweetened Beverage Intake in Youth	0.25	0.3571428571428571	0.34426229508196726	0.2692307692307693	0.42307692307692313	0.31034482758620685	0.5789473684210527	0.3076923076923077	0.2857142857142857	0.3548387096774194	0.27586206896551724	0.2962962962962963	0.37254901960784315	0.5217391304347826	0.31999999999999995	0.4482758620689655	0.3928571428571429	0.27586206896551724	0.26315789473684215	0.33333333333333337	0.38983050847457623	0.3783783783783784	0.4509803921568627	0.4	0.3770491803278688	0.38983050847457623	0.3448275862068966	0.2142857142857143	0.30434782608695654	0.4193548387096774	0.4137931034482759	0.30434782608695654	0.4666666666666667	0.33333333333333337	0.2068965517241379	0.43999999999999995	0.36	0.28	0.3207547169811321	0.34615384615384615	0.05084745762711862
Measuring the Health of the US Population	0.375	0.375	0.4339622641509434	0.36363636363636365	0.36363636363636365	0.31999999999999995	0.5333333333333333	0.40909090909090906	0.29166666666666663	0.37037037037037035	0.36	0.30434782608695654	0.2093023255813954	0.42105263157894735	0.23809523809523814	0.43999999999999995	0.41666666666666663	0.43999999999999995	0.3877551020408163	0.46875	0.4117647058823529	0.4545454545454546	0.39534883720930236	0.33333333333333337	0.39622641509433965	0.37254901960784315	0.36	0.375	0.052631578947368474	0.4444444444444444	0.43999999999999995	0.26315789473684215	0.29729729729729726	0.42307692307692313	0.4	0.4285714285714286	0.33333333333333337	0.33333333333333337	0.28888888888888886	0.36363636363636365	0.37254901960784315
Why Have Americans Become More Obese	0.45833333333333337	0.45833333333333337	0.3584905660377359	0.40909090909090906	0.31818181818181823	0.43999999999999995	0.6666666666666667	0.2272727272727273	0.33333333333333337	0.4444444444444444	0.43999999999999995	0.4347826086956522	0.3023255813953488	0.3157894736842105	0.33333333333333337	0.4	0.45833333333333337	0.31999999999999995	0.4285714285714286	0.5	0.4117647058823529	0.4545454545454546	0.5348837209302326	0.5238095238095238	0.4339622641509434	0.4509803921568627	0.48	0.375	0.42105263157894735	0.4814814814814815	0.48	0.368421052631579	0.45945945945945943	0.42307692307692313	0.36	0.33333333333333337	0.38095238095238093	0.4285714285714286	0.4222222222222223	0.31818181818181823	0.4509803921568627
Will all Americans Become Overweight or Obese Estimating the Progression and Cost of the US Obesity Epidemic	0.31034482758620685	0.3793103448275862	0.2698412698412699	0.2962962962962963	0.2592592592592593	0.19999999999999996	0.6	0.11111111111111116	0.10344827586206895	0.21875	0.30000000000000004	0.3571428571428571	0.2075471698113207	0.33333333333333337	0.23076923076923073	0.19999999999999996	0.3448275862068966	0.23333333333333328	0.3220338983050848	0.2702702702702703	0.2786885245901639	0.2894736842105263	0.4339622641509434	0.34615384615384615	0.2063492063492064	0.24590163934426235	0.2666666666666667	0.31034482758620685	0.375	0.375	0.33333333333333337	0.25	0.276595744680851	0.19354838709677424	0.2666666666666667	0.34615384615384615	0.34615384615384615	0.3076923076923077	0.2727272727272727	0.2592592592592593	0.34426229508196726
