	We are chronically sleep deprived.	Circadian rhythms in the secretion of cortisol, adrenaline and noradrenaline.	Sleepiness as a consequence of shift work.	Concepts and Models of Sleep Regulation: An overview&quot;,	Homeostatic and circadian components of sUbjective alertness interact in a non-additive manner&quot;,	Bimodal distribution of REM sleep latency during forced desynchrony: model implications&quot;,	Review of fatigue detection and prediction technologies._	Effects of loading and unloading cargo on commercial truck driver alertness and performance~ Federal Motor Carrier Safety Administration FMCSA	Pay for Safety: An Economic Alternative for Truck Driver Safety&quot;,	Commercial Motor Vehicle Driver Fatigue, Alertness, and Countermeasures Survey.&quot; Sponsored by U.S. Department of Transportation, Federal Highway Administration.	A Survey of Owner-Operators and Company Drivers on their Use of Three New 'Hours of Service Features,'&quot; OOIDA Foundation,	A Survey of Private Fleets on their Use of Three New 'Hours of Service Features,'&quot;	06 P a 00 00 I' IS 00 os , Ii 00 i~l 1. ________ ~ ____ . ___ .. _ .1 The 'regular' driver, in addition to showing a higher overall effectiveness, also shows much less
Effects of loading and unloading cargo on commercial truck driver alertness and performance	0.2777777777777778	0.2432432432432432	0.23076923076923073	0.2272727272727273	0.19047619047619047	0.19999999999999996	0.15000000000000002	0.13043478260869568	0.2558139534883721	0.3207547169811321	0.37254901960784315	0.3913043478260869	0.26086956521739135
Effects of operating practices on commercial driver alertness	0.23529411764705888	0.19999999999999996	0.29729729729729726	0.23809523809523814	0.19999999999999996	0.2093023255813954	0.1578947368421053	0.18181818181818177	0.31707317073170727	0.33333333333333337	0.3877551020408163	0.40909090909090906	0.2727272727272727
Effects of sleep schedules on commercial motor vehicle driver performance	0.19999999999999996	0.16666666666666663	0.21052631578947367	0.2558139534883721	0.1707317073170732	0.18181818181818177	0.1282051282051282	0.19999999999999996	0.2857142857142857	0.3076923076923077	0.31999999999999995	0.33333333333333337	0.24444444444444446
FMCSAs Strategy	0.5862068965517242	0.4666666666666667	0.5625	0.4054054054054054	0.6571428571428571	0.5263157894736843	0.5757575757575757	0.33333333333333337	0.5555555555555556	0.4347826086956522	0.5	0.4871794871794872	0.5897435897435898
Impact of LocaiiSH Operations on Driver Fatigue Final Report	0.41463414634146345	0.38095238095238093	0.31818181818181823	0.26530612244897955	0.276595744680851	0.31999999999999995	0.24444444444444446	0.2549019607843137	0.33333333333333337	0.27586206896551724	0.25	0.33333333333333337	0.2941176470588235
Literature Review Relating to Proposed Revisions to the Hours of Service Regulation for Commercial Motor Vehicle Drivers	0.37777777777777777	0.30434782608695654	0.29166666666666663	0.16981132075471694	0.2941176470588235	0.2592592592592593	0.18367346938775508	0.23636363636363633	0.34615384615384615	0.16129032258064513	0.2666666666666667	0.3090909090909091	0.23636363636363633
National Institute of Health website	0.4545454545454546	0.3529411764705882	0.2777777777777778	0.41463414634146345	0.33333333333333337	0.38095238095238093	0.29729729729729726	0.4883720930232558	0.5	0.4	0.375	0.3023255813953488	0.34883720930232553
Unit Costs of Medium and Heavy Truck Crashes	0.33333333333333337	0.19999999999999996	0.33333333333333337	0.3191489361702128	0.24444444444444446	0.29166666666666663	0.3023255813953488	0.22448979591836737	0.30434782608695654	0.2142857142857143	0.2222222222222222	0.26530612244897955	0.30612244897959184
Wage Adjustments in Local Labor Markets Do the Wage Rates in all Industries Adjust	0.38095238095238093	0.34883720930232553	0.37777777777777777	0.31999999999999995	0.33333333333333337	0.2549019607843137	0.30434782608695654	0.3076923076923077	0.3877551020408163	0.3220338983050848	0.4035087719298246	0.46153846153846156	0.34615384615384615
Employer Costs for Employee Compensation December 2009	0.368421052631579	0.23076923076923073	0.36585365853658536	0.3913043478260869	0.31818181818181823	0.276595744680851	0.38095238095238093	0.29166666666666663	0.33333333333333337	0.34545454545454546	0.39622641509433965	0.45833333333333337	0.41666666666666663
Large Truck and Bus Crash Facts 200S	0.5135135135135135	0.42105263157894735	0.4	0.4222222222222223	0.5348837209302326	0.4347826086956522	0.41463414634146345	0.36170212765957444	0.5	0.40740740740740744	0.42307692307692313	0.44680851063829785	0.36170212765957444
Pay for Safety An Economic Alternative for Truck Driver Safety	0.42105263157894735	0.33333333333333337	0.31707317073170727	0.34782608695652173	0.36363636363636365	0.36170212765957444	0.38095238095238093	0.20833333333333337	0.022222222222222254	0.3090909090909091	0.3207547169811321	0.25	0.29166666666666663
Preliminary Regulatory Evaluation and Regulatory Flexibility Act Analysis Hours of Service NPRM	0.4222222222222223	0.34782608695652173	0.41666666666666663	0.24528301886792447	0.2941176470588235	0.2222222222222222	0.30612244897959184	0.1636363636363637	0.2692307692307693	0.22580645161290325	0.30000000000000004	0.23636363636363633	0.3090909090909091
Review of fatigue detection and prediction technologies	0.2222222222222222	0.2432432432432432	0.17948717948717952	0.13636363636363635	0.23809523809523814	0.19999999999999996	0.0	0.26086956521739135	0.39534883720930236	0.28301886792452835	0.33333333333333337	0.30434782608695654	0.21739130434782605
supporting statement for the HOS Information Collection Request	0.4	0.2682926829268293	0.2093023255813954	0.20833333333333337	0.26086956521739135	0.22448979591836737	0.2272727272727273	0.28	0.36170212765957444	0.26315789473684215	0.23636363636363633	0.31999999999999995	0.28
Table of Small Business Size Standards matched to North American Industry Classification System NAICS codes	0.38095238095238093	0.2093023255813954	0.33333333333333337	0.31999999999999995	0.33333333333333337	0.2549019607843137	0.34782608695652173	0.2692307692307693	0.30612244897959184	0.2542372881355932	0.22807017543859653	0.2692307692307693	0.2692307692307693
The effects of sleep schedules on commercial motor vehicle driver performance	0.19999999999999996	0.16666666666666663	0.21052631578947367	0.2558139534883721	0.1707317073170732	0.2272727272727273	0.1282051282051282	0.24444444444444446	0.2857142857142857	0.2692307692307693	0.28	0.28888888888888886	0.19999999999999996
A Review of the Federal Motor Carrier Safety Administrations Economic Analysis for its Proposed Hours of Service Standard	0.33333333333333337	0.26086956521739135	0.29166666666666663	0.16981132075471694	0.2941176470588235	0.2222222222222222	0.22448979591836737	0.12727272727272732	0.2692307692307693	0.16129032258064513	0.19999999999999996	0.19999999999999996	0.2727272727272727
A Survey of OwnerOperators and Company Drivers on their Use of Three New Hours of Service Features	0.37777777777777777	0.30434782608695654	0.33333333333333337	0.28301886792452835	0.2941176470588235	0.37037037037037035	0.30612244897959184	0.23636363636363633	0.3076923076923077	0.12903225806451613	0.033333333333333326	0.1636363636363637	0.3090909090909091
A Survey of Private Fleets on their Use of Three New Hours of Service Features	0.36585365853658536	0.33333333333333337	0.2727272727272727	0.30612244897959184	0.3191489361702128	0.4	0.28888888888888886	0.2941176470588235	0.25	0.2068965517241379	0.1785714285714286	0.019607843137254943	0.2549019607843137
A survey of subjective sleep length of shift workers based on time of day of sleep onset	0.2682926829268293	0.23809523809523814	0.2272727272727273	0.22448979591836737	0.19148936170212771	0.19999999999999996	0.15555555555555556	0.17647058823529416	0.29166666666666663	0.2068965517241379	0.2857142857142857	0.2941176470588235	0.2549019607843137
Empty Seats and Musical Chairs Critical Success Factors in Truck Driver Retention	0.3023255813953488	0.2727272727272727	0.30434782608695654	0.2549019607843137	0.34693877551020413	0.23076923076923073	0.276595744680851	0.13207547169811318	0.24	0.19999999999999996	0.24137931034482762	0.3207547169811321	0.3207547169811321
Exploratory analysis of motor carrier accident risk and daily driving patterns	0.2432432432432432	0.21052631578947367	0.30000000000000004	0.28888888888888886	0.2558139534883721	0.21739130434782605	0.2195121951219512	0.14893617021276595	0.2727272727272727	0.33333333333333337	0.3846153846153846	0.4042553191489362	0.3191489361702128
Fatigue Sleepiness and Medical Errors for the Agency for Health Care Research and Quality	0.34883720930232553	0.2727272727272727	0.30434782608695654	0.17647058823529416	0.34693877551020413	0.1923076923076923	0.23404255319148937	0.13207547169811318	0.36	0.19999999999999996	0.27586206896551724	0.28301886792452835	0.3584905660377359
Hours of Service Impact Assessment	0.37142857142857144	0.33333333333333337	0.26315789473684215	0.2558139534883721	0.2195121951219512	0.36363636363636365	0.28205128205128205	0.24444444444444446	0.2857142857142857	0.3076923076923077	0.24	0.28888888888888886	0.28888888888888886
Let it Be Palletized A Portrait of Truck Drivers Work and Lives	0.35	0.36585365853658536	0.34883720930232553	0.33333333333333337	0.34782608695652173	0.3877551020408163	0.31818181818181823	0.31999999999999995	0.23404255319148937	0.368421052631579	0.38181818181818183	0.31999999999999995	0.31999999999999995
Modeling the safety of truck driver service hours using timedependent logistic regression	0.21052631578947367	0.17948717948717952	0.2195121951219512	0.21739130434782605	0.2272727272727273	0.14893617021276595	0.1428571428571429	0.125	0.28888888888888886	0.23636363636363633	0.3207547169811321	0.33333333333333337	0.25
Oregelbunndna arbetstider Sammanfattning av en undersokning av turlistetidsarbetande lokforare	0.38888888888888884	0.29729729729729726	0.28205128205128205	0.2727272727272727	0.23809523809523814	0.28888888888888886	0.25	0.21739130434782605	0.3023255813953488	0.3207547169811321	0.37254901960784315	0.3913043478260869	0.26086956521739135
Qualcomm reported sales	0.33333333333333337	0.29032258064516125	0.33333333333333337	0.368421052631579	0.2777777777777778	0.33333333333333337	0.2941176470588235	0.35	0.45945945945945943	0.44680851063829785	0.4666666666666667	0.5	0.4
The Determinants of Job Satisfaction of Professional Drivers	0.3513513513513513	0.26315789473684215	0.30000000000000004	0.37777777777777777	0.3023255813953488	0.34782608695652173	0.31707317073170727	0.36170212765957444	0.2272727272727273	0.2962962962962963	0.34615384615384615	0.276595744680851	0.23404255319148937
Truck Costing Model for Transportation Managers	0.33333333333333337	0.2432432432432432	0.23076923076923073	0.18181818181818177	0.2857142857142857	0.24444444444444446	0.19999999999999996	0.17391304347826086	0.34883720930232553	0.28301886792452835	0.37254901960784315	0.3913043478260869	0.30434782608695654
Wage and Employment Adjustment in Local Labor Markets	0.31707317073170727	0.33333333333333337	0.36363636363636365	0.30612244897959184	0.276595744680851	0.19999999999999996	0.33333333333333337	0.17647058823529416	0.33333333333333337	0.31034482758620685	0.4285714285714286	0.4509803921568627	0.4117647058823529
Evidence of fatigue and the circadian rhythm in the accident experience	0.2777777777777778	0.2432432432432432	0.33333333333333337	0.31818181818181823	0.2857142857142857	0.19999999999999996	0.19999999999999996	0.21739130434782605	0.3023255813953488	0.3207547169811321	0.33333333333333337	0.3913043478260869	0.30434782608695654
Motor Carrier Annual Report	0.4193548387096774	0.375	0.3529411764705882	0.23076923076923073	0.4054054054054054	0.35	0.3142857142857143	0.31707317073170727	0.42105263157894735	0.41666666666666663	0.4782608695652174	0.46341463414634143	0.5121951219512195
The 2000 TTS Blue Book of Trucking Companies	0.3846153846153846	0.30000000000000004	0.23809523809523814	0.3191489361702128	0.37777777777777777	0.29166666666666663	0.3023255813953488	0.26530612244897955	0.34782608695652173	0.3214285714285714	0.37037037037037035	0.3877551020408163	0.26530612244897955
The Costs of Driver Turnover	0.4193548387096774	0.3125	0.3529411764705882	0.3846153846153846	0.4054054054054054	0.44999999999999996	0.3142857142857143	0.41463414634146345	0.368421052631579	0.375	0.34782608695652173	0.36585365853658536	0.36585365853658536
The diffusion of hybrid seed corn in two Iowa communities	0.33333333333333337	0.18918918918918914	0.28205128205128205	0.36363636363636365	0.2857142857142857	0.24444444444444446	0.25	0.34782608695652173	0.34883720930232553	0.28301886792452835	0.2549019607843137	0.30434782608695654	0.21739130434782605
Trucking Activity Report	0.3939393939393939	0.47058823529411764	0.38888888888888884	0.31707317073170727	0.4358974358974359	0.38095238095238093	0.29729729729729726	0.3023255813953488	0.30000000000000004	0.4	0.41666666666666663	0.39534883720930236	0.4418604651162791
What Matters to Drivers	0.31034482758620685	0.4	0.4375	0.45945945945945943	0.48571428571428577	0.4736842105263158	0.3939393939393939	0.4871794871794872	0.5	0.4782608695652174	0.5	0.4871794871794872	0.4871794871794872
A case control study of heavy vehicle drivers working time and safety	0.26315789473684215	0.17948717948717952	0.2195121951219512	0.21739130434782605	0.2727272727272727	0.23404255319148937	0.1428571428571429	0.16666666666666663	0.24444444444444446	0.23636363636363633	0.28301886792452835	0.25	0.20833333333333337
2006 HOS Survey Results	0.5625	0.5757575757575757	0.5428571428571429	0.5	0.5263157894736843	0.5609756097560976	0.5	0.5238095238095238	0.5384615384615384	0.5510204081632653	0.5319148936170213	0.47619047619047616	0.47619047619047616
Work Schedules Before and After 2004 Hoursof Service Rule Change and Predictors of Reported Rule Violations in 2004 Survey of LongDistance Truck Drivers	0.37254901960784315	0.3846153846153846	0.37037037037037035	0.288135593220339	0.4035087719298246	0.33333333333333337	0.3090909090909091	0.2786885245901639	0.31034482758620685	0.23529411764705888	0.303030303030303	0.3114754098360656	0.3114754098360656
conversation with Qualcomm sales representative Angelo Matera and FMCSA	0.31707317073170727	0.2857142857142857	0.2727272727272727	0.1428571428571429	0.3191489361702128	0.28	0.19999999999999996	0.13725490196078427	0.375	0.1724137931034483	0.25	0.2941176470588235	0.2549019607843137
SIC 4123 trucking except local	0.4736842105263158	0.4358974358974359	0.31707317073170727	0.34782608695652173	0.4545454545454546	0.44680851063829785	0.38095238095238093	0.33333333333333337	0.4222222222222223	0.4545454545454546	0.4716981132075472	0.5	0.375
Electronic OnBoard Recorders for HoursofService Compliance	0.35	0.2682926829268293	0.3023255813953488	0.20833333333333337	0.21739130434782605	0.22448979591836737	0.2272727272727273	0.19999999999999996	0.3191489361702128	0.29824561403508776	0.2727272727272727	0.36	0.31999999999999995
nan	0.7777777777777778	0.7894736842105263	0.8095238095238095	0.8461538461538461	0.8333333333333334	0.8518518518518519	0.8181818181818181	0.8571428571428572	0.84	0.8857142857142857	0.8787878787878788	0.8571428571428572	0.8571428571428572
Docket 19608	0.7142857142857143	0.6551724137931034	0.6129032258064516	0.7222222222222222	0.7058823529411764	0.7297297297297297	0.6875	0.6842105263157895	0.6	0.7333333333333334	0.7209302325581395	0.736842105263158	0.5789473684210527
Electronic OnBoard Recorder RIA	0.3939393939393939	0.3529411764705882	0.4444444444444444	0.36585365853658536	0.4358974358974359	0.33333333333333337	0.3513513513513513	0.39534883720930236	0.4	0.52	0.45833333333333337	0.4883720930232558	0.4418604651162791
Hours of Service of Drivers Driver Rest and Sleep for Safe Operations	0.29729729729729726	0.3157894736842105	0.25	0.19999999999999996	0.2093023255813954	0.30434782608695654	0.1707317073170732	0.276595744680851	0.31818181818181823	0.2962962962962963	0.2692307692307693	0.3191489361702128	0.3191489361702128
Regulatory Impact Analysis and Small Business Impact Analysis for Hours of Service Options	0.33333333333333337	0.3023255813953488	0.33333333333333337	0.19999999999999996	0.25	0.21568627450980393	0.21739130434782605	0.1923076923076923	0.30612244897959184	0.2542372881355932	0.22807017543859653	0.3076923076923077	0.2692307692307693
Regulatory Impact Analysis and Small Business Impact Analysis for Hours of Service Options in Final Rule Hours of Service of Drivers	0.36363636363636365	0.33333333333333337	0.36170212765957444	0.23076923076923073	0.28	0.24528301886792447	0.25	0.18518518518518523	0.2941176470588235	0.21311475409836067	0.18644067796610164	0.2962962962962963	0.2962962962962963
Bimodal distribution of REM sleep latency during forced desynchrony model implications	0.30000000000000004	0.2195121951219512	0.3023255813953488	0.25	0.26086956521739135	0.020408163265306145	0.18181818181818177	0.19999999999999996	0.36170212765957444	0.26315789473684215	0.38181818181818183	0.4	0.31999999999999995
Homeostatic and circadian components of subjective alertness interact in a nonadditive manner	0.2777777777777778	0.2432432432432432	0.28205128205128205	0.2727272727272727	0.04761904761904767	0.24444444444444446	0.19999999999999996	0.26086956521739135	0.34883720930232553	0.28301886792452835	0.33333333333333337	0.34782608695652173	0.30434782608695654
Catastrophes Sleep and Public Policy Consensus Report	0.2432432432432432	0.21052631578947367	0.25	0.24444444444444446	0.3023255813953488	0.21739130434782605	0.2195121951219512	0.276595744680851	0.36363636363636365	0.2962962962962963	0.34615384615384615	0.3191489361702128	0.3191489361702128
Metaanalysis of the relationship between total sleep deprivation and performance	0.18918918918918914	0.1578947368421053	0.25	0.24444444444444446	0.2093023255813954	0.17391304347826086	0.1707317073170732	0.23404255319148937	0.36363636363636365	0.2222222222222222	0.3076923076923077	0.3191489361702128	0.276595744680851
Effects of sleep deprivation on performance A metaanalysis	0.19999999999999996	0.16666666666666663	0.3157894736842105	0.2558139534883721	0.2195121951219512	0.2272727272727273	0.23076923076923073	0.15555555555555556	0.23809523809523814	0.3076923076923077	0.31999999999999995	0.33333333333333337	0.33333333333333337
Interactive mathematical models of SUbjective alertness and cognitive throughput in humans	0.30000000000000004	0.2682926829268293	0.2558139534883721	0.25	0.13043478260869568	0.22448979591836737	0.18181818181818177	0.24	0.36170212765957444	0.22807017543859653	0.2727272727272727	0.31999999999999995	0.19999999999999996
Competition Drives the Trucking Industry	0.3157894736842105	0.28205128205128205	0.36585365853658536	0.34782608695652173	0.36363636363636365	0.3191489361702128	0.2857142857142857	0.25	0.33333333333333337	0.2727272727272727	0.24528301886792447	0.41666666666666663	0.29166666666666663
Effects of sleep loss on sustained cognitive performance during a command and control simulation	0.2571428571428571	0.2222222222222222	0.26315789473684215	0.2093023255813954	0.1707317073170732	0.18181818181818177	0.1282051282051282	0.15555555555555556	0.2857142857142857	0.3076923076923077	0.36	0.37777777777777777	0.24444444444444446
Human sleep its duration and organization depend on its circadian phase	0.2571428571428571	0.2222222222222222	0.26315789473684215	0.3023255813953488	0.2195121951219512	0.2272727272727273	0.17948717948717952	0.28888888888888886	0.4285714285714286	0.3076923076923077	0.36	0.37777777777777777	0.28888888888888886
Circadian and sleepwake dependent aspects of subjective alertness and cognitive performance	0.33333333333333337	0.25	0.23809523809523814	0.19148936170212771	0.15555555555555556	0.25	0.16279069767441856	0.18367346938775508	0.34782608695652173	0.25	0.33333333333333337	0.3877551020408163	0.26530612244897955
Rotating shift work sleep and accidents related to sleepiness in hospital nurses	0.2777777777777778	0.2432432432432432	0.1282051282051282	0.18181818181818177	0.2857142857142857	0.19999999999999996	0.050000000000000044	0.26086956521739135	0.39534883720930236	0.3207547169811321	0.37254901960784315	0.34782608695652173	0.26086956521739135
Microcomputer analyses of performance on a portable using simple visual reaction time task during sustained operations	0.26315789473684215	0.23076923076923073	0.2682926829268293	0.21739130434782605	0.18181818181818177	0.14893617021276595	0.19047619047619047	0.125	0.28888888888888886	0.23636363636363633	0.3584905660377359	0.375	0.29166666666666663
Tractortrailer driver fatality the role of nonconnective rest in a sleep berth	0.1428571428571429	0.16666666666666663	0.26315789473684215	0.3023255813953488	0.2195121951219512	0.2272727272727273	0.17948717948717952	0.28888888888888886	0.33333333333333337	0.2692307692307693	0.31999999999999995	0.28888888888888886	0.28888888888888886
Displacement of the sleep period and sleep deprivation	0.17647058823529416	0.1428571428571429	0.2432432432432432	0.2857142857142857	0.19999999999999996	0.2558139534883721	0.1578947368421053	0.2727272727272727	0.31707317073170727	0.2941176470588235	0.30612244897959184	0.36363636363636365	0.2727272727272727
Ultrashort Sleepwaking Schedule 3 Gates and forbidden zones for sleep	0.36585365853658536	0.33333333333333337	0.18181818181818177	0.26530612244897955	0.276595744680851	0.28	0.19999999999999996	0.2941176470588235	0.41666666666666663	0.27586206896551724	0.3571428571428571	0.33333333333333337	0.2941176470588235
Sleepiness as a consequence of shift work	0.3142857142857143	0.2777777777777778	0.0	0.2093023255813954	0.2682926829268293	0.2727272727272727	0.17948717948717952	0.28888888888888886	0.2857142857142857	0.3076923076923077	0.31999999999999995	0.24444444444444446	0.28888888888888886
Sleep loss and performance no safe duration of a monotonous task	0.2941176470588235	0.19999999999999996	0.1351351351351351	0.23809523809523814	0.19999999999999996	0.2558139534883721	0.21052631578947367	0.18181818181818177	0.2682926829268293	0.33333333333333337	0.34693877551020413	0.36363636363636365	0.2727272727272727
Manifest sleepiness and the spectral content of the EEG during shift work	0.3157894736842105	0.28205128205128205	0.1707317073170732	0.21739130434782605	0.31818181818181823	0.19148936170212771	0.1428571428571429	0.20833333333333337	0.37777777777777777	0.3090909090909091	0.39622641509433965	0.375	0.29166666666666663
The circadian variation of experimentally displaced sleep	0.16666666666666663	0.1351351351351351	0.28205128205128205	0.31818181818181823	0.23809523809523814	0.24444444444444446	0.19999999999999996	0.26086956521739135	0.3023255813953488	0.28301886792452835	0.2941176470588235	0.30434782608695654	0.26086956521739135
Circadian rhythms in the secretion of cortisol adrenaline and noradrenaline	0.21212121212121215	0.0	0.2777777777777778	0.31707317073170727	0.28205128205128205	0.23809523809523814	0.2432432432432432	0.2558139534883721	0.35	0.31999999999999995	0.33333333333333337	0.34883720930232553	0.3023255813953488
Body temperature and sleep at different times of day	0.2727272727272727	0.17647058823529416	0.2777777777777778	0.31707317073170727	0.23076923076923073	0.19047619047619047	0.2432432432432432	0.2558139534883721	0.35	0.36	0.375	0.39534883720930236	0.34883720930232553
The impact of work practices on fatigue in long distance truck drivers	0.26315789473684215	0.23076923076923073	0.1707317073170732	0.21739130434782605	0.2272727272727273	0.23404255319148937	0.09523809523809523	0.20833333333333337	0.28888888888888886	0.23636363636363633	0.28301886792452835	0.29166666666666663	0.16666666666666663
Multiday driving patterns and motor carrier accident risk a disaggregate analysis	0.2222222222222222	0.2432432432432432	0.28205128205128205	0.2272727272727273	0.23809523809523814	0.19999999999999996	0.19999999999999996	0.13043478260869568	0.3023255813953488	0.28301886792452835	0.37254901960784315	0.3913043478260869	0.30434782608695654
Hybrid Corn An Exploration in the Economics of Technological Change	0.31707317073170727	0.19047619047619047	0.36363636363636365	0.30612244897959184	0.276595744680851	0.19999999999999996	0.28888888888888886	0.21568627450980393	0.33333333333333337	0.2068965517241379	0.2857142857142857	0.33333333333333337	0.33333333333333337
Factors associated with falling asleep at the wheel among longdistance truck drivers	0.26315789473684215	0.23076923076923073	0.1707317073170732	0.21739130434782605	0.2272727272727273	0.23404255319148937	0.09523809523809523	0.16666666666666663	0.33333333333333337	0.23636363636363633	0.28301886792452835	0.29166666666666663	0.20833333333333337
The effects of regularizing sleepwake schedules on daytime sleepiness 	0.28205128205128205	0.19999999999999996	0.19047619047619047	0.276595744680851	0.28888888888888886	0.20833333333333337	0.16279069767441856	0.22448979591836737	0.30434782608695654	0.25	0.2962962962962963	0.30612244897959184	0.22448979591836737
Do Electronic Logbooks Contribute to Motor Carrier Safety Performance	0.46341463414634143	0.2857142857142857	0.31818181818181823	0.30612244897959184	0.36170212765957444	0.24	0.37777777777777777	0.17647058823529416	0.20833333333333337	0.27586206896551724	0.3928571428571429	0.37254901960784315	0.33333333333333337
Shiftwork and Performance	0.3939393939393939	0.23529411764705888	0.2222222222222222	0.36585365853658536	0.3846153846153846	0.38095238095238093	0.29729729729729726	0.34883720930232553	0.30000000000000004	0.4	0.375	0.34883720930232553	0.2558139534883721
Black times temporal determinants of transport safety	0.23529411764705888	0.1428571428571429	0.2432432432432432	0.33333333333333337	0.25	0.2093023255813954	0.26315789473684215	0.2272727272727273	0.31707317073170727	0.37254901960784315	0.3877551020408163	0.40909090909090906	0.36363636363636365
Concepts and Models of Sleep Regulation An overview	0.33333333333333337	0.30000000000000004	0.23809523809523814	0.021276595744680882	0.28888888888888886	0.25	0.11627906976744184	0.1428571428571429	0.34782608695652173	0.2142857142857143	0.2962962962962963	0.30612244897959184	0.26530612244897955
