	Managing for Safer Food: The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status? Evidence from the United States and Canada.” Resources for the Future, Discussion Paper,	Economic News Release: Employment Cost Index.” http://www.bls.gov/news.release/eci.toc.htm.	Health Status Index in Cost Effectiveness. Analysis of PKO Program.”	Disease Control and Prevention. http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5414a2.htm Consumer Price Index – All Urban Consumers, Medical Care Services, Bureau of Labor Statistics,	Measuring the Health of the United States Population.” Microeconomics, Brookings Paper,	Health Care Contingent Valuation Studies: A Review and	Foodborne Illness Cost Calculator for Salmonella.	Per Capita Consumption of Selected Food Products. http://www.ers.usda.gov/	Foodborne Diseases Active Surveillance Network,	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping”, Market News,	Data: U.S. trade data, U.S. Imports Trade data.	Reddy and the FoodNet Working Group.	USDA/FSIS Technical Center,	Willingness to Pay for a Quality-adjusted Life Year: In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation?” Arch Intern Med,	Foodborne Disease Handbook. 2 nd edition, vol.1 Bacterial Pathogens.	The Quality of WellBeing Scale: Rationale for a Single Quality of Life Index.” From Quality of Life Assessment: Key Issues in the 1990s.	The economic impact of the catfish industry on Chicot County,	Food-Related Illness and Death in the United States.” Emerging Infectious Diseases,	FDA Labeling Cost Model.” Prepared for the U.S. Department of Health and Human Services. Research Triangle Park,	Physician Characteristics and Distribution in the United States.” 2002-2003 Edition.	Food Poisoning, Economic Implications.” Encyclopedia of Food Sciences	Processing Channel Catfish. South Regional Aquaculture Center,	Post-Salmonella Reactive Arthritis:	Department of Agriculture. Food Safety and Inspection Service. Office of Public Health Science.	Department of Agriculture /National Agricultural Statistics Service (USDA/NASS).	Federal Register. 21 CFR Parts 123 and 1240: Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products; Final Rule.	Trade Commission (USITC).	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry.”	Tauxe and the Food Networking Group.	Physician Socioeconomic Statistics.” 2000-2002 Edition: Profiles for Detailed Specialties, Selected States and Practice Arrangements.	Occurrence and Control of Salmonella in Freshwater Catfish,	The Costs of Visits to Emergency Departments.” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis.” 63FR 24254,	means 500 or less full-time equivalent (FTE) employees (Small Business Administration (SBA) definition) ** North American Industry Classification System (NAICS) code,
Draft Risk Assessment of the Potential  Human Health Effect of Applying Continuous Inspection to Catfish	0.36170212765957444	0.2063492063492064	0.2857142857142857	0.22033898305084743	0.33333333333333337	0.2727272727272727	0.30612244897959184	0.34782608695652173	0.2549019607843137	0.3877551020408163	0.25	0.47619047619047616	0.36170212765957444	0.37777777777777777	0.34693877551020413	0.2962962962962963	0.33333333333333337	0.3650793650793651	0.26086956521739135	0.2592592592592593	0.23809523809523814	0.37037037037037035	0.2941176470588235	0.20833333333333337	0.28888888888888886	0.1785714285714286	0.26530612244897955	0.22807017543859653	0.47619047619047616	0.2068965517241379	0.44680851063829785	0.23636363636363633	0.33333333333333337	0.2727272727272727	0.375	0.27586206896551724
Economic News Release Employment Cost  Index	0.41463414634146345	0.368421052631579	0.16000000000000003	0.3584905660377359	0.43333333333333335	0.4693877551020408	0.39534883720930236	0.35	0.33333333333333337	0.39534883720930236	0.36	0.4444444444444444	0.41463414634146345	0.4871794871794872	0.4418604651162791	0.41666666666666663	0.5111111111111111	0.4385964912280702	0.30000000000000004	0.375	0.4736842105263158	0.45833333333333337	0.28888888888888886	0.4285714285714286	0.3846153846153846	0.4	0.39534883720930236	0.33333333333333337	0.38888888888888884	0.3846153846153846	0.41463414634146345	0.3877551020408163	0.33333333333333337	0.26530612244897955	0.4482758620689655	0.3076923076923077
Estimate of the Burden of  Illness Caused by Nontyphoidal Salmonella Infections in the United States  from FoodNet	0.276595744680851	0.2698412698412699	0.25	0.288135593220339	0.303030303030303	0.2727272727272727	0.3877551020408163	0.17391304347826086	0.21568627450980393	0.30612244897959184	0.2857142857142857	0.38095238095238093	0.36170212765957444	0.33333333333333337	0.3877551020408163	0.40740740740740744	0.37254901960784315	0.33333333333333337	0.21739130434782605	0.2222222222222222	0.3015873015873016	0.2962962962962963	0.2549019607843137	0.33333333333333337	0.37777777777777777	0.2142857142857143	0.26530612244897955	0.22807017543859653	0.33333333333333337	0.27586206896551724	0.4042553191489362	0.3090909090909091	0.20833333333333337	0.2727272727272727	0.375	0.13793103448275867
Foodborne Illness Cost Calculator for  Salmonella	0.28205128205128205	0.38181818181818183	0.375	0.33333333333333337	0.3793103448275862	0.36170212765957444	0.36585365853658536	0.0	0.2093023255813954	0.2682926829268293	0.375	0.3529411764705882	0.4871794871794872	0.3513513513513513	0.36585365853658536	0.4347826086956522	0.39534883720930236	0.38181818181818183	0.26315789473684215	0.26086956521739135	0.34545454545454546	0.3913043478260869	0.3023255813953488	0.30000000000000004	0.3513513513513513	0.25	0.31707317073170727	0.26530612244897955	0.2941176470588235	0.31999999999999995	0.4871794871794872	0.4042553191489362	0.15000000000000002	0.4042553191489362	0.3928571428571429	0.28
FoodNet Foodborne Diseases Active Surveillance Network	0.38095238095238093	0.3448275862068966	0.37254901960784315	0.40740740740740744	0.3770491803278688	0.4	0.2727272727272727	0.2682926829268293	0.26086956521739135	0.0	0.33333333333333337	0.45945945945945943	0.38095238095238093	0.35	0.4545454545454546	0.4285714285714286	0.26086956521739135	0.4482758620689655	0.41463414634146345	0.34693877551020413	0.31034482758620685	0.3877551020408163	0.4347826086956522	0.34883720930232553	0.30000000000000004	0.2549019607843137	0.2272727272727273	0.42307692307692313	0.45945945945945943	0.39622641509433965	0.33333333333333337	0.4	0.2558139534883721	0.4	0.423728813559322	0.3207547169811321
Industry and  Trade Summary Catfish	0.26315789473684215	0.40740740740740744	0.4042553191489362	0.31999999999999995	0.4385964912280702	0.3913043478260869	0.35	0.2432432432432432	0.2857142857142857	0.44999999999999996	0.36170212765957444	0.33333333333333337	0.42105263157894735	0.33333333333333337	0.35	0.4222222222222223	0.5238095238095238	0.37037037037037035	0.1351351351351351	0.33333333333333337	0.40740740740740744	0.37777777777777777	0.38095238095238093	0.33333333333333337	0.38888888888888884	0.3191489361702128	0.4	0.29166666666666663	0.21212121212121215	0.30612244897959184	0.42105263157894735	0.3913043478260869	0.23076923076923073	0.34782608695652173	0.4545454545454546	0.26530612244897955
Preliminary FoodNet Data on the Incidence of Infection with Pathogens Transmitted Commonly Through Food 	0.26086956521739135	0.25806451612903225	0.2727272727272727	0.27586206896551724	0.32307692307692304	0.33333333333333337	0.33333333333333337	0.24444444444444446	0.16000000000000003	0.29166666666666663	0.23636363636363633	0.41463414634146345	0.34782608695652173	0.31818181818181823	0.29166666666666663	0.3207547169811321	0.31999999999999995	0.32258064516129037	0.19999999999999996	0.24528301886792447	0.29032258064516125	0.3584905660377359	0.28	0.276595744680851	0.36363636363636365	0.19999999999999996	0.29166666666666663	0.2142857142857143	0.36585365853658536	0.26315789473684215	0.30434782608695654	0.2962962962962963	0.19148936170212771	0.18518518518518523	0.3650793650793651	0.22807017543859653
Statistical Abstract of the United States	0.26315789473684215	0.37037037037037035	0.4042553191489362	0.36	0.368421052631579	0.30434782608695654	0.30000000000000004	0.2432432432432432	0.2857142857142857	0.25	0.4042553191489362	0.3939393939393939	0.4736842105263158	0.2777777777777778	0.4	0.33333333333333337	0.33333333333333337	0.40740740740740744	0.29729729729729726	0.28888888888888886	0.33333333333333337	0.33333333333333337	0.38095238095238093	0.23076923076923073	0.2222222222222222	0.276595744680851	0.25	0.375	0.33333333333333337	0.3877551020408163	0.4736842105263158	0.30434782608695654	0.23076923076923073	0.3913043478260869	0.4181818181818182	0.34693877551020413
FDA Labeling  Cost Model	0.368421052631579	0.40740740740740744	0.44680851063829785	0.48	0.4035087719298246	0.4782608695652174	0.35	0.3513513513513513	0.38095238095238093	0.30000000000000004	0.4042553191489362	0.5151515151515151	0.4736842105263158	0.38888888888888884	0.4	0.37777777777777777	0.33333333333333337	0.4814814814814815	0.45945945945945943	0.4222222222222223	0.33333333333333337	0.4666666666666667	0.4285714285714286	0.3846153846153846	0.4444444444444444	0.36170212765957444	0.4	0.45833333333333337	0.4545454545454546	0.3877551020408163	0.4736842105263158	0.4347826086956522	0.3846153846153846	0.4347826086956522	0.4181818181818182	0.4693877551020408
Health Status Index in Cost  Effectiveness Analysis of PKO Program	0.30612244897959184	0.23076923076923073	0.27586206896551724	0.049180327868852514	0.2941176470588235	0.29824561403508776	0.2549019607843137	0.29166666666666663	0.2075471698113207	0.37254901960784315	0.3448275862068966	0.5	0.4693877551020408	0.4042553191489362	0.33333333333333337	0.3571428571428571	0.3584905660377359	0.29230769230769227	0.29166666666666663	0.2857142857142857	0.29230769230769227	0.3571428571428571	0.28301886792452835	0.24	0.276595744680851	0.13793103448275867	0.2941176470588235	0.2542372881355932	0.40909090909090906	0.19999999999999996	0.4693877551020408	0.26315789473684215	0.24	0.33333333333333337	0.36363636363636365	0.23333333333333328
Physician Characteristics and Distribution  in the United States	0.35	0.3214285714285714	0.3877551020408163	0.34615384615384615	0.35593220338983056	0.33333333333333337	0.33333333333333337	0.28205128205128205	0.2727272727272727	0.2857142857142857	0.3877551020408163	0.37142857142857144	0.4	0.3157894736842105	0.38095238095238093	0.36170212765957444	0.31818181818181823	0.4642857142857143	0.23076923076923073	0.3191489361702128	0.3214285714285714	0.14893617021276595	0.40909090909090906	0.2682926829268293	0.3157894736842105	0.26530612244897955	0.33333333333333337	0.31999999999999995	0.3142857142857143	0.37254901960784315	0.44999999999999996	0.33333333333333337	0.2682926829268293	0.375	0.4736842105263158	0.37254901960784315
Physician Socioeconomic Statistics	0.2941176470588235	0.43999999999999995	0.4418604651162791	0.3913043478260869	0.5094339622641509	0.38095238095238093	0.4444444444444444	0.3939393939393939	0.3157894736842105	0.4444444444444444	0.4883720930232558	0.4482758620689655	0.47058823529411764	0.4375	0.4444444444444444	0.41463414634146345	0.42105263157894735	0.48	0.2727272727272727	0.41463414634146345	0.48	0.36585365853658536	0.3157894736842105	0.3142857142857143	0.1875	0.34883720930232553	0.38888888888888884	0.36363636363636365	0.3793103448275862	0.4222222222222223	0.5294117647058824	0.33333333333333337	0.3142857142857143	0.4285714285714286	0.5686274509803921	0.4222222222222223
Processing Channel Catfish	0.2777777777777778	0.3846153846153846	0.37777777777777777	0.33333333333333337	0.4181818181818182	0.31818181818181823	0.3157894736842105	0.3142857142857143	0.19999999999999996	0.42105263157894735	0.37777777777777777	0.5483870967741935	0.4444444444444444	0.3529411764705882	0.3157894736842105	0.34883720930232553	0.30000000000000004	0.46153846153846156	0.2571428571428571	0.34883720930232553	0.3846153846153846	0.39534883720930236	0.35	0.1351351351351351	0.23529411764705888	0.33333333333333337	0.3157894736842105	0.30434782608695654	0.4193548387096774	0.36170212765957444	0.4444444444444444	0.31818181818181823	0.2432432432432432	0.31818181818181823	0.4339622641509434	0.4042553191489362
The economic impact of the catfish industry  on Chicot County Arkansas	0.2682926829268293	0.33333333333333337	0.36	0.3207547169811321	0.4	0.30612244897959184	0.34883720930232553	0.30000000000000004	0.24444444444444446	0.34883720930232553	0.24	0.38888888888888884	0.31707317073170727	0.3846153846153846	0.39534883720930236	0.375	0.4222222222222223	0.368421052631579	0.050000000000000044	0.375	0.29824561403508776	0.375	0.37777777777777777	0.2857142857142857	0.33333333333333337	0.28	0.3023255813953488	0.2941176470588235	0.33333333333333337	0.3076923076923077	0.31707317073170727	0.30612244897959184	0.23809523809523814	0.26530612244897955	0.3448275862068966	0.23076923076923073
The Value of a Statistical Life A  Critical Review of Market Estimates throughout the World	0.26530612244897955	0.23076923076923073	0.3448275862068966	0.3114754098360656	0.32352941176470584	0.33333333333333337	0.21568627450980393	0.375	0.24528301886792447	0.33333333333333337	0.31034482758620685	0.5	0.4285714285714286	0.44680851063829785	0.4117647058823529	0.3571428571428571	0.4339622641509434	0.32307692307692304	0.33333333333333337	0.3214285714285714	0.23076923076923073	0.4642857142857143	0.4339622641509434	0.28	0.3191489361702128	0.3448275862068966	0.33333333333333337	0.35593220338983056	0.4545454545454546	0.30000000000000004	0.4285714285714286	0.368421052631579	0.28	0.29824561403508776	0.303030303030303	0.30000000000000004
Bacterial Pathogens	0.3142857142857143	0.4509803921568627	0.40909090909090906	0.4042553191489362	0.4444444444444444	0.3023255813953488	0.3513513513513513	0.4117647058823529	0.28205128205128205	0.4054054054054054	0.40909090909090906	0.5333333333333333	0.4285714285714286	0.3939393939393939	0.3513513513513513	0.38095238095238093	0.23076923076923073	0.4509803921568627	0.3529411764705882	0.38095238095238093	0.4509803921568627	0.4285714285714286	0.3846153846153846	0.2222222222222222	0.21212121212121215	0.36363636363636365	0.3513513513513513	0.37777777777777777	0.4666666666666667	0.4347826086956522	0.4285714285714286	0.34883720930232553	0.33333333333333337	0.39534883720930236	0.5	0.4347826086956522
Food Poisoning Economic  Implications	0.29729729729729726	0.39622641509433965	0.34782608695652173	0.3877551020408163	0.4642857142857143	0.37777777777777777	0.4871794871794872	0.33333333333333337	0.2682926829268293	0.4358974358974359	0.4347826086956522	0.4375	0.45945945945945943	0.48571428571428577	0.3846153846153846	0.4545454545454546	0.36585365853658536	0.4716981132075472	0.38888888888888884	0.31818181818181823	0.4339622641509434	0.5	0.1707317073170732	0.42105263157894735	0.37142857142857144	0.30434782608695654	0.3846153846153846	0.3191489361702128	0.4375	0.375	0.45945945945945943	0.33333333333333337	0.368421052631579	0.37777777777777777	0.4814814814814815	0.375
Personal communication with Catherine Viator RTI	0.36585365853658536	0.33333333333333337	0.31999999999999995	0.3584905660377359	0.4	0.3877551020408163	0.2558139534883721	0.30000000000000004	0.24444444444444446	0.39534883720930236	0.36	0.4444444444444444	0.46341463414634143	0.33333333333333337	0.39534883720930236	0.375	0.4222222222222223	0.4035087719298246	0.25	0.33333333333333337	0.368421052631579	0.41666666666666663	0.4222222222222223	0.23809523809523814	0.23076923076923073	0.36	0.39534883720930236	0.2941176470588235	0.33333333333333337	0.34615384615384615	0.41463414634146345	0.4285714285714286	0.23809523809523814	0.30612244897959184	0.3793103448275862	0.34615384615384615
FoodRelated Illness and Death in the  United States	0.3513513513513513	0.39622641509433965	0.4347826086956522	0.4693877551020408	0.4642857142857143	0.4222222222222223	0.33333333333333337	0.33333333333333337	0.36585365853658536	0.33333333333333337	0.4782608695652174	0.3125	0.4054054054054054	0.2571428571428571	0.4358974358974359	0.36363636363636365	0.36585365853658536	0.4339622641509434	0.4444444444444444	0.2272727272727273	0.39622641509433965	0.40909090909090906	0.36585365853658536	0.368421052631579	0.3142857142857143	0.34782608695652173	0.3846153846153846	0.36170212765957444	0.3125	0.375	0.45945945945945943	0.4222222222222223	0.3157894736842105	0.4666666666666667	0.5185185185185186	0.41666666666666663
Health Care Contingent Valuation Studies A Review and Classification of Literature	0.33333333333333337	0.180327868852459	0.33333333333333337	0.26315789473684215	0.3125	0.3207547169811321	0.06382978723404253	0.31818181818181823	0.18367346938775508	0.276595744680851	0.33333333333333337	0.55	0.4222222222222223	0.39534883720930236	0.36170212765957444	0.34615384615384615	0.34693877551020413	0.34426229508196726	0.31818181818181823	0.3076923076923077	0.24590163934426235	0.42307692307692313	0.4285714285714286	0.17391304347826086	0.2558139534883721	0.2592592592592593	0.276595744680851	0.3090909090909091	0.44999999999999996	0.25	0.4222222222222223	0.3584905660377359	0.21739130434782605	0.3207547169811321	0.29032258064516125	0.3214285714285714
Microbiology of Aquaculture Products	0.35	0.3928571428571429	0.4285714285714286	0.34615384615384615	0.38983050847457623	0.33333333333333337	0.38095238095238093	0.33333333333333337	0.31818181818181823	0.33333333333333337	0.3877551020408163	0.5428571428571429	0.44999999999999996	0.5263157894736843	0.2857142857142857	0.3191489361702128	0.36363636363636365	0.4285714285714286	0.33333333333333337	0.4042553191489362	0.3571428571428571	0.4042553191489362	0.36363636363636365	0.2195121951219512	0.368421052631579	0.26530612244897955	0.33333333333333337	0.36	0.5428571428571429	0.33333333333333337	0.5	0.33333333333333337	0.36585365853658536	0.41666666666666663	0.4385964912280702	0.37254901960784315
Occurrence and Control of Salmonella in Freshwater Catfish	0.2195121951219512	0.29824561403508776	0.36	0.28301886792452835	0.3666666666666667	0.30612244897959184	0.2558139534883721	0.15000000000000002	0.11111111111111116	0.2558139534883721	0.31999999999999995	0.4444444444444444	0.41463414634146345	0.33333333333333337	0.39534883720930236	0.41666666666666663	0.37777777777777777	0.368421052631579	0.19999999999999996	0.25	0.33333333333333337	0.375	0.33333333333333337	0.23809523809523814	0.28205128205128205	0.24	0.3023255813953488	0.2549019607843137	0.33333333333333337	0.3076923076923077	0.36585365853658536	0.34693877551020413	0.0	0.30612244897959184	0.3793103448275862	0.2692307692307693
HACCP as a Regulatory Innovation to  Improve Food Safety in the Meat Industry	0.29166666666666663	0.1875	0.29824561403508776	0.19999999999999996	0.28358208955223885	0.25	0.19999999999999996	0.276595744680851	0.15384615384615385	0.36	0.29824561403508776	0.4418604651162791	0.33333333333333337	0.3913043478260869	0.31999999999999995	0.3090909090909091	0.34615384615384615	0.3125	0.276595744680851	0.2727272727272727	0.1875	0.4181818181818182	0.2692307692307693	0.22448979591836737	0.26086956521739135	0.1228070175438597	0.28	0.1724137931034483	0.39534883720930236	0.05084745762711862	0.41666666666666663	0.2857142857142857	0.26530612244897955	0.3571428571428571	0.32307692307692304	0.22033898305084743
The Costs of Visits to Emergency Departments	0.2195121951219512	0.29824561403508776	0.31999999999999995	0.3584905660377359	0.43333333333333335	0.3877551020408163	0.39534883720930236	0.4	0.28888888888888886	0.4883720930232558	0.31999999999999995	0.38888888888888884	0.41463414634146345	0.3846153846153846	0.4418604651162791	0.41666666666666663	0.4222222222222223	0.4385964912280702	0.15000000000000002	0.33333333333333337	0.368421052631579	0.375	0.33333333333333337	0.33333333333333337	0.3846153846153846	0.31999999999999995	0.3023255813953488	0.33333333333333337	0.38888888888888884	0.3846153846153846	0.41463414634146345	0.26530612244897955	0.33333333333333337	0.1428571428571429	0.3793103448275862	0.3076923076923077
Willingness to Pay for a Qualityadjusted Life Year In Search of a Standard	0.33333333333333337	0.34426229508196726	0.40740740740740744	0.29824561403508776	0.375	0.3207547169811321	0.36170212765957444	0.31818181818181823	0.26530612244897955	0.4042553191489362	0.40740740740740744	0.5	0.37777777777777777	0.4418604651162791	0.06382978723404253	0.2692307692307693	0.3877551020408163	0.2786885245901639	0.31818181818181823	0.3076923076923077	0.3770491803278688	0.3846153846153846	0.30612244897959184	0.26086956521739135	0.34883720930232553	0.2592592592592593	0.36170212765957444	0.2727272727272727	0.44999999999999996	0.3214285714285714	0.4666666666666667	0.3207547169811321	0.30434782608695654	0.39622641509433965	0.4516129032258065	0.3571428571428571
