	Managing for Safer Food The Economics of Sanitation and	Does the Value of a Statistical Life Vary with Age and Health Status Evidence from the United States and Canada” Resources for the Future Discussion Paper	Economic News Release Employment Cost Index” httpwwwblsgovnewsreleaseecitochtm	Health Status Index in Cost Effectiveness Analysis of PKO Program”	Disease Control and Prevention httpwwwcdcgovmmwrpreviewmmwrhtmlmm5414a2htm Consumer Price Index – All Urban Consumers Medical Care Services Bureau of Labor Statistics	Measuring the Health of the United States Population” Microeconomics Brookings Paper	Health Care Contingent Valuation Studies A Review and	Foodborne Illness Cost Calculator for Salmonella	Per Capita Consumption of Selected Food Products httpwwwersusdagov	Foodborne Diseases Active Surveillance Network	Catfish and Basa Imports Continue to Increase Despite Confirmed Antidumping” Market News	Data US trade data US Imports Trade data	Reddy and the FoodNet Working Group	USDAFSIS Technical Center	Willingness to Pay for a Qualityadjusted Life Year In	What is the Price of Life and Why Doesn’t It Increase at the Rate of Inflation” Arch Intern Med	Foodborne Disease Handbook 2 nd edition vol1 Bacterial Pathogens	The Quality of WellBeing Scale Rationale for a Single Quality of Life Index” From Quality of Life Assessment Key Issues in the 1990s	The economic impact of the catfish industry on Chicot County	FoodRelated Illness and Death in the United States” Emerging Infectious Diseases	FDA Labeling Cost Model” Prepared for the US Department of Health and Human Services Research Triangle Park	Physician Characteristics and Distribution in the United States” 20022003 Edition	Food Poisoning Economic Implications” Encyclopedia of Food Sciences	Processing Channel Catfish South Regional Aquaculture Center	PostSalmonella Reactive Arthritis	Department of Agriculture Food Safety and Inspection Service Office of Public Health Science	Department of Agriculture National Agricultural Statistics Service USDANASS	Federal Register 21 CFR Parts 123 and 1240 Procedures for the Safe and Sanitary Processing and Importing of Fish and Fishery Products Final Rule	Trade Commission USITC	HACCP as a Regulatory Innovation to Improve Food Safety in the Meat Industry”	Tauxe and the Food Networking Group	Physician Socioeconomic Statistics” 20002002 Edition Profiles for Detailed Specialties Selected States and Practice Arrangements	Occurrence and Control of Salmonella in Freshwater Catfish	The Costs of Visits to Emergency Departments” The New England	Appendix “The Value of Consumer Loss Relating to Foodborne Reactive Arthritis” 63FR 24254	means 500 or less fulltime equivalent FTE employees Small Business Administration SBA definition  North American Industry Classification System NAICS code
Draft Risk Assessment of the Potential  Human Health Effect of Applying Continuous Inspection to Catfish	0.53125	0.3421052631578947	0.4444444444444444	0.36111111111111116	0.5	0.4285714285714286	0.46875	0.5161290322580645	0.40625	0.5588235294117647	0.4	0.6451612903225806	0.53125	0.5483870967741935	0.5151515151515151	0.4571428571428572	0.5	0.5348837209302326	0.4137931034482759	0.4117647058823529	0.3846153846153846	0.5405405405405406	0.4545454545454546	0.3448275862068966	0.4482758620689655	0.303030303030303	0.4193548387096774	0.37142857142857144	0.6451612903225806	0.34285714285714286	0.6176470588235294	0.38235294117647056	0.5	0.4285714285714286	0.5454545454545454	0.43243243243243246
Economic News Release Employment Cost  Index	0.5862068965517242	0.5384615384615384	0.27586206896551724	0.5277777777777778	0.6046511627906976	0.6388888888888888	0.5666666666666667	0.5185185185185186	0.5	0.5666666666666667	0.5294117647058824	0.6153846153846154	0.5862068965517242	0.6551724137931034	0.6129032258064516	0.5882352941176471	0.6764705882352942	0.6097560975609756	0.46153846153846156	0.5454545454545454	0.6428571428571428	0.6285714285714286	0.4482758620689655	0.6	0.5555555555555556	0.5714285714285714	0.5666666666666667	0.5	0.56	0.5555555555555556	0.5862068965517242	0.5588235294117647	0.5	0.4193548387096774	0.6190476190476191	0.47058823529411764
Estimate of the Burden of  Illness Caused by Nontyphoidal Salmonella Infections in the United States  from FoodNet	0.43333333333333335	0.42500000000000004	0.4	0.4473684210526315	0.4651162790697675	0.4285714285714286	0.5588235294117647	0.2962962962962963	0.3548387096774194	0.46875	0.4444444444444444	0.5517241379310345	0.53125	0.5	0.5588235294117647	0.5789473684210527	0.5428571428571429	0.5	0.3571428571428571	0.36363636363636365	0.46341463414634143	0.4571428571428572	0.40625	0.5	0.5483870967741935	0.3529411764705882	0.4193548387096774	0.37142857142857144	0.5	0.43243243243243246	0.5757575757575757	0.4722222222222222	0.3448275862068966	0.4285714285714286	0.5454545454545454	0.24242424242424243
Foodborne Illness Cost Calculator for  Salmonella	0.43999999999999995	0.5526315789473684	0.5454545454545454	0.5	0.55	0.53125	0.5357142857142857	0.0	0.34615384615384615	0.42307692307692313	0.5454545454545454	0.5217391304347826	0.6551724137931034	0.52	0.5357142857142857	0.6060606060606061	0.5666666666666667	0.5526315789473684	0.41666666666666663	0.4137931034482759	0.5135135135135135	0.5625	0.4642857142857143	0.46153846153846156	0.52	0.4	0.4814814814814815	0.4193548387096774	0.4545454545454546	0.48484848484848486	0.6551724137931034	0.5757575757575757	0.26086956521739135	0.5757575757575757	0.5641025641025641	0.4375
FoodNet Foodborne Diseases Active Surveillance Network	0.5517241379310345	0.5128205128205128	0.5428571428571429	0.5789473684210527	0.5476190476190477	0.5714285714285714	0.4285714285714286	0.42307692307692313	0.4137931034482759	0.0	0.5	0.6296296296296297	0.5517241379310345	0.5185185185185186	0.625	0.6	0.4137931034482759	0.6190476190476191	0.5862068965517242	0.5151515151515151	0.4736842105263158	0.5588235294117647	0.6060606060606061	0.5172413793103448	0.46153846153846156	0.40625	0.37037037037037035	0.5945945945945945	0.6296296296296297	0.5675675675675675	0.5	0.5714285714285714	0.40740740740740744	0.5714285714285714	0.5952380952380952	0.48571428571428577
Industry and  Trade Summary Catfish	0.41666666666666663	0.5789473684210527	0.5757575757575757	0.48484848484848486	0.6097560975609756	0.5625	0.5185185185185186	0.3913043478260869	0.4444444444444444	0.6206896551724138	0.53125	0.5	0.5925925925925926	0.5	0.5185185185185186	0.59375	0.6875	0.5405405405405406	0.23809523809523814	0.5	0.5789473684210527	0.5483870967741935	0.5517241379310345	0.5	0.56	0.4838709677419355	0.5714285714285714	0.4516129032258065	0.35	0.46875	0.5925925925925926	0.5625	0.375	0.5161290322580645	0.625	0.4193548387096774
Preliminary FoodNet Data on the Incidence of Infection with Pathogens Transmitted Commonly Through Food 	0.4137931034482759	0.41025641025641024	0.4285714285714286	0.43243243243243246	0.4883720930232558	0.5	0.5	0.3928571428571429	0.27586206896551724	0.4516129032258065	0.38235294117647056	0.5862068965517242	0.5161290322580645	0.48275862068965514	0.4516129032258065	0.48571428571428577	0.48484848484848486	0.4878048780487805	0.33333333333333337	0.3939393939393939	0.44999999999999996	0.5277777777777778	0.4375	0.43333333333333335	0.5333333333333333	0.33333333333333337	0.4516129032258065	0.3529411764705882	0.5357142857142857	0.41666666666666663	0.4666666666666667	0.4571428571428572	0.3214285714285714	0.3125	0.5348837209302326	0.37142857142857144
Statistical Abstract of the United States	0.41666666666666663	0.5405405405405406	0.5757575757575757	0.5294117647058824	0.5384615384615384	0.4666666666666667	0.46153846153846156	0.3913043478260869	0.4444444444444444	0.4	0.5757575757575757	0.5652173913043479	0.6428571428571428	0.4347826086956522	0.5714285714285714	0.5	0.5	0.5789473684210527	0.45833333333333337	0.4482758620689655	0.5	0.5	0.5517241379310345	0.375	0.36363636363636365	0.43333333333333335	0.4	0.5454545454545454	0.5	0.5588235294117647	0.6428571428571428	0.4666666666666667	0.375	0.5625	0.5897435897435898	0.5151515151515151
FDA Labeling  Cost Model	0.5384615384615384	0.5789473684210527	0.6176470588235294	0.6486486486486487	0.575	0.6470588235294117	0.5185185185185186	0.52	0.5517241379310345	0.46153846153846156	0.5757575757575757	0.6799999999999999	0.6428571428571428	0.56	0.5714285714285714	0.5483870967741935	0.5	0.65	0.6296296296296297	0.59375	0.5	0.6363636363636364	0.6	0.5555555555555556	0.6153846153846154	0.53125	0.5714285714285714	0.6285714285714286	0.625	0.5588235294117647	0.6428571428571428	0.6060606060606061	0.5555555555555556	0.6060606060606061	0.5897435897435898	0.6388888888888888
Health Status Index in Cost  Effectiveness Analysis of PKO Program	0.46875	0.375	0.43243243243243246	0.09375	0.4545454545454546	0.45945945945945943	0.40625	0.4516129032258065	0.34375	0.5428571428571429	0.5128205128205128	0.6666666666666667	0.6388888888888888	0.5757575757575757	0.5	0.5263157894736843	0.5277777777777778	0.45238095238095233	0.4516129032258065	0.4444444444444444	0.45238095238095233	0.5263157894736843	0.4411764705882353	0.3870967741935484	0.43333333333333335	0.24242424242424243	0.4545454545454546	0.4054054054054054	0.5806451612903225	0.33333333333333337	0.6388888888888888	0.41666666666666663	0.3870967741935484	0.5	0.5333333333333333	0.3783783783783784
Physician Characteristics and Distribution  in the United States	0.5185185185185186	0.4864864864864865	0.5588235294117647	0.5142857142857142	0.525	0.5	0.5	0.43999999999999995	0.4285714285714286	0.4444444444444444	0.5588235294117647	0.5416666666666667	0.5714285714285714	0.48	0.5517241379310345	0.53125	0.48275862068965514	0.6341463414634146	0.375	0.4838709677419355	0.4864864864864865	0.2592592592592593	0.5806451612903225	0.42307692307692313	0.48	0.4193548387096774	0.5	0.48484848484848486	0.4782608695652174	0.5428571428571429	0.6206896551724138	0.5	0.42307692307692313	0.5454545454545454	0.6428571428571428	0.5428571428571429
Physician Socioeconomic Statistics	0.4545454545454546	0.6111111111111112	0.6129032258064516	0.5625	0.675	0.5517241379310345	0.6153846153846154	0.5652173913043479	0.48	0.6153846153846154	0.65625	0.6190476190476191	0.64	0.6086956521739131	0.6153846153846154	0.5862068965517242	0.5925925925925926	0.6486486486486487	0.4285714285714286	0.5862068965517242	0.6486486486486487	0.5357142857142857	0.48	0.4782608695652174	0.3157894736842105	0.5172413793103448	0.56	0.5333333333333333	0.55	0.59375	0.6923076923076923	0.5	0.4782608695652174	0.6	0.725	0.59375
Processing Channel Catfish	0.4347826086956522	0.5555555555555556	0.5483870967741935	0.5	0.5897435897435898	0.48275862068965514	0.48	0.4782608695652174	0.33333333333333337	0.5925925925925926	0.5483870967741935	0.7083333333333333	0.6153846153846154	0.5217391304347826	0.48	0.5172413793103448	0.46153846153846156	0.631578947368421	0.40909090909090906	0.5172413793103448	0.5555555555555556	0.5666666666666667	0.5185185185185186	0.23809523809523814	0.38095238095238093	0.5	0.48	0.4666666666666667	0.5909090909090908	0.53125	0.6153846153846154	0.48275862068965514	0.3913043478260869	0.48275862068965514	0.6052631578947368	0.5757575757575757
The economic impact of the catfish industry  on Chicot County Arkansas	0.42307692307692313	0.5	0.5294117647058824	0.48571428571428577	0.5714285714285714	0.46875	0.5172413793103448	0.46153846153846156	0.3928571428571429	0.5172413793103448	0.3870967741935484	0.56	0.4814814814814815	0.5555555555555556	0.5666666666666667	0.5454545454545454	0.59375	0.5384615384615384	0.09523809523809523	0.5454545454545454	0.45945945945945943	0.5454545454545454	0.5483870967741935	0.4444444444444444	0.5	0.4375	0.4642857142857143	0.4545454545454546	0.5	0.47058823529411764	0.4814814814814815	0.46875	0.3846153846153846	0.4193548387096774	0.5128205128205128	0.375
The Value of a Statistical Life A  Critical Review of Market Estimates throughout the World	0.4193548387096774	0.375	0.5128205128205128	0.475	0.48888888888888893	0.5	0.3548387096774194	0.5454545454545454	0.3939393939393939	0.5	0.4736842105263158	0.6666666666666667	0.6	0.6176470588235294	0.5833333333333333	0.5263157894736843	0.6052631578947368	0.4883720930232558	0.5	0.4864864864864865	0.375	0.6341463414634146	0.6052631578947368	0.4375	0.4838709677419355	0.5128205128205128	0.5	0.525	0.625	0.46153846153846156	0.6	0.5384615384615384	0.4375	0.45945945945945943	0.4651162790697675	0.46153846153846156
Bacterial Pathogens	0.4782608695652174	0.6216216216216216	0.5806451612903225	0.5757575757575757	0.6153846153846154	0.4642857142857143	0.52	0.5833333333333333	0.43999999999999995	0.5769230769230769	0.5806451612903225	0.6956521739130435	0.6	0.5652173913043479	0.52	0.5517241379310345	0.375	0.6216216216216216	0.5217391304347826	0.5517241379310345	0.6216216216216216	0.6	0.5555555555555556	0.36363636363636365	0.35	0.5333333333333333	0.52	0.5483870967741935	0.6363636363636364	0.6060606060606061	0.6	0.5172413793103448	0.5	0.5666666666666667	0.6666666666666667	0.6060606060606061
Food Poisoning Economic  Implications	0.45833333333333337	0.5675675675675675	0.5161290322580645	0.5588235294117647	0.6341463414634146	0.5483870967741935	0.6551724137931034	0.5	0.42307692307692313	0.6071428571428572	0.6060606060606061	0.6086956521739131	0.6296296296296297	0.6538461538461539	0.5555555555555556	0.625	0.5357142857142857	0.641025641025641	0.56	0.48275862068965514	0.6052631578947368	0.6666666666666667	0.29166666666666663	0.5925925925925926	0.5416666666666667	0.4666666666666667	0.5555555555555556	0.4838709677419355	0.6086956521739131	0.5454545454545454	0.6296296296296297	0.5	0.5384615384615384	0.5483870967741935	0.65	0.5454545454545454
Personal communication with Catherine Viator RTI	0.5357142857142857	0.5	0.48484848484848486	0.5277777777777778	0.5714285714285714	0.5588235294117647	0.40740740740740744	0.46153846153846156	0.3928571428571429	0.5666666666666667	0.5294117647058824	0.6153846153846154	0.6333333333333333	0.5	0.5666666666666667	0.5454545454545454	0.59375	0.575	0.4	0.5	0.5384615384615384	0.5882352941176471	0.59375	0.3846153846153846	0.375	0.5294117647058824	0.5666666666666667	0.4545454545454546	0.5	0.5142857142857142	0.5862068965517242	0.6	0.3846153846153846	0.46875	0.55	0.5142857142857142
FoodRelated Illness and Death in the  United States	0.52	0.5675675675675675	0.6060606060606061	0.6388888888888888	0.6341463414634146	0.59375	0.5	0.5	0.5357142857142857	0.5	0.6470588235294117	0.47619047619047616	0.5769230769230769	0.40909090909090906	0.6071428571428572	0.5333333333333333	0.5357142857142857	0.6052631578947368	0.6153846153846154	0.37037037037037035	0.5675675675675675	0.5806451612903225	0.5357142857142857	0.5384615384615384	0.4782608695652174	0.5161290322580645	0.5555555555555556	0.53125	0.47619047619047616	0.5454545454545454	0.6296296296296297	0.59375	0.48	0.6363636363636364	0.6829268292682926	0.5882352941176471
Health Care Contingent Valuation Studies A Review and Classification of Literature	0.5	0.3055555555555556	0.5	0.41666666666666663	0.47619047619047616	0.48571428571428577	0.12	0.48275862068965514	0.31034482758620685	0.43333333333333335	0.5	0.7096774193548387	0.59375	0.5666666666666667	0.53125	0.5142857142857142	0.5151515151515151	0.5121951219512195	0.48275862068965514	0.47058823529411764	0.39473684210526316	0.5945945945945945	0.6	0.2962962962962963	0.40740740740740744	0.4117647058823529	0.43333333333333335	0.4722222222222222	0.6206896551724138	0.4	0.59375	0.5277777777777778	0.3571428571428571	0.48571428571428577	0.44999999999999996	0.4864864864864865
Microbiology of Aquaculture Products	0.5185185185185186	0.5641025641025641	0.6	0.5142857142857142	0.5609756097560976	0.5	0.5517241379310345	0.5	0.48275862068965514	0.5	0.5588235294117647	0.7037037037037037	0.6206896551724138	0.6896551724137931	0.4444444444444444	0.4838709677419355	0.5333333333333333	0.6	0.5	0.5757575757575757	0.5263157894736843	0.5757575757575757	0.5333333333333333	0.36	0.5384615384615384	0.4193548387096774	0.5	0.5294117647058824	0.7037037037037037	0.5	0.6666666666666667	0.5	0.5357142857142857	0.5882352941176471	0.6097560975609756	0.5428571428571429
Occurrence and Control of Salmonella in Freshwater Catfish	0.36	0.45945945945945943	0.5294117647058824	0.4411764705882353	0.5365853658536586	0.46875	0.40740740740740744	0.26086956521739135	0.19999999999999996	0.40740740740740744	0.48484848484848486	0.6153846153846154	0.5862068965517242	0.5	0.5666666666666667	0.5882352941176471	0.5483870967741935	0.5384615384615384	0.33333333333333337	0.4	0.5	0.5454545454545454	0.5	0.3846153846153846	0.43999999999999995	0.3870967741935484	0.4642857142857143	0.40625	0.5	0.47058823529411764	0.5357142857142857	0.5151515151515151	0.0	0.46875	0.55	0.4242424242424242
HACCP as a Regulatory Innovation to  Improve Food Safety in the Meat Industry	0.4516129032258065	0.3157894736842105	0.45945945945945943	0.33333333333333337	0.4418604651162791	0.4	0.33333333333333337	0.43333333333333335	0.2666666666666667	0.5294117647058824	0.45945945945945943	0.6129032258064516	0.5	0.5625	0.48484848484848486	0.4722222222222222	0.5142857142857142	0.47619047619047616	0.43333333333333335	0.4285714285714286	0.3157894736842105	0.5897435897435898	0.4242424242424242	0.3666666666666667	0.4137931034482759	0.21875	0.4375	0.2941176470588235	0.5666666666666667	0.09677419354838712	0.5882352941176471	0.4444444444444444	0.4193548387096774	0.5263157894736843	0.4883720930232558	0.36111111111111116
The Costs of Visits to Emergency Departments	0.36	0.45945945945945943	0.48484848484848486	0.5277777777777778	0.6046511627906976	0.5588235294117647	0.5666666666666667	0.5714285714285714	0.4482758620689655	0.65625	0.48484848484848486	0.56	0.5862068965517242	0.5555555555555556	0.6129032258064516	0.5882352941176471	0.59375	0.6097560975609756	0.26086956521739135	0.5	0.5384615384615384	0.5454545454545454	0.5	0.5	0.5555555555555556	0.48484848484848486	0.4642857142857143	0.5	0.56	0.5555555555555556	0.5862068965517242	0.4193548387096774	0.5	0.25	0.55	0.47058823529411764
Willingness to Pay for a Qualityadjusted Life Year In Search of a Standard	0.5	0.5121951219512195	0.5789473684210527	0.45945945945945943	0.5454545454545454	0.48571428571428577	0.53125	0.48275862068965514	0.4193548387096774	0.5757575757575757	0.5789473684210527	0.6666666666666667	0.5483870967741935	0.6129032258064516	0.12	0.4242424242424242	0.5588235294117647	0.4358974358974359	0.48275862068965514	0.47058823529411764	0.5476190476190477	0.5555555555555556	0.46875	0.4137931034482759	0.5172413793103448	0.4117647058823529	0.53125	0.4285714285714286	0.6206896551724138	0.4864864864864865	0.6363636363636364	0.48571428571428577	0.4666666666666667	0.5675675675675675	0.6222222222222222	0.5263157894736843
What is the Price of Life and Why Doesn�t It Increase at the Rate of Inflation	0.5517241379310345	0.5128205128205128	0.5428571428571429	0.5405405405405406	0.5813953488372092	0.5714285714285714	0.5806451612903225	0.5357142857142857	0.5161290322580645	0.5806451612903225	0.5833333333333333	0.6296296296296297	0.5517241379310345	0.5714285714285714	0.37037037037037035	0.25	0.5161290322580645	0.5128205128205128	0.4814814814814815	0.46875	0.55	0.5588235294117647	0.5161290322580645	0.4642857142857143	0.46153846153846156	0.4545454545454546	0.5806451612903225	0.47058823529411764	0.6296296296296297	0.5277777777777778	0.6875	0.48484848484848486	0.5172413793103448	0.5294117647058824	0.627906976744186	0.5675675675675675
PostSalmonella Reactive Arthritis Late Clinical Sequelae in A Point Source Cohort	0.5517241379310345	0.43243243243243246	0.5428571428571429	0.4571428571428572	0.5121951219512195	0.5294117647058824	0.37037037037037035	0.4814814814814815	0.3571428571428571	0.48275862068965514	0.5833333333333333	0.6785714285714286	0.6451612903225806	0.5185185185185186	0.5806451612903225	0.5151515151515151	0.5625	0.55	0.4814814814814815	0.5151515151515151	0.43243243243243246	0.5588235294117647	0.6060606060606061	0.20833333333333337	0.18181818181818177	0.4545454545454546	0.4285714285714286	0.47058823529411764	0.5769230769230769	0.4411764705882353	0.6875	0.5294117647058824	0.40740740740740744	0.6111111111111112	0.525	0.4411764705882353
Salmonella Cost Estimate Updated Using FoodNet Data	0.46153846153846156	0.4864864864864865	0.5151515151515151	0.5945945945945945	0.5952380952380952	0.5454545454545454	0.5517241379310345	0.5	0.4285714285714286	0.5	0.5588235294117647	0.4782608695652174	0.5714285714285714	0.5384615384615384	0.6451612903225806	0.6944444444444444	0.5806451612903225	0.6666666666666667	0.5555555555555556	0.43333333333333335	0.5263157894736843	0.5757575757575757	0.4285714285714286	0.5862068965517242	0.5925925925925926	0.5151515151515151	0.3846153846153846	0.5294117647058824	0.4782608695652174	0.5428571428571429	0.5714285714285714	0.5	0.4814814814814815	0.4516129032258065	0.6428571428571428	0.5
