	46 California HealthCare Foundation “Gauging the Progress of the National Health Information Technology Initiative Perspectives from the Field”	48 California HealthCare Foundation Snapshot The State of Health Information Technology in	The Proliferation and Consolidation of Word Processing Software	53 Source Office of Employment Statistics	treated as	Hospital humanresource assistants	58 Pharmacy technicians 1204	Service provider supportsales staff	Service provider information clerks	60 APPENDIX B BIBLIOGRAPHY	Recommendations for Comparing Electronic Prescribing Systems Results of An Expert Consensus Process” Health Affairs	The Diffusion and Value of Healthcare Information Technology Rand Health	National IndustrySpecific Occupational Employment and Wage Estimates	California HealthCare Foundation “Gauging the Progress of the National Health Information Technology Initiative Perspectives from the Field”	Foundation Snapshot The State of Health Information Technology in	Disease Control and Prevention “Electronic Medical Record Use by OfficeBased Physicians and Their Practices United States	Certification Commission for Healthcare Information Technology CCHIT Ambulatory Functionality	Certification Commission for Healthcare Information Technology CCHIT Security Criteria	Drug Abuse Warning Network	National Estimates of DrugRelated Emergency Department Visits DAWN Series D29 DHHS Publication No SMA 074256	The State and Pattern of Health Information Technology Adoption	Foundation of Research and Education American Health Information Management Association “Report on the	Extrapolating Evidence of Health Information Technology Savings and Costs	LLP 12th Annual Government Contractor Industry Survey	Characteristics of OfficeBased Physicians and their Practices United States	Electronic medical record use by officebased physicians and their practices United States	of Chain Drug Stores “The Chain Pharmacy Industry Profile	of Standards and Technology Special Publication 800631 Information Security Electronic Authentication Guideline	Electronic Prescribing Systems Making it safer to take your medicine” Research Highlights	Health Information Technology Can HIT Lower Costs and Improve Quality”	Substance Abuse and Mental Health Services Administration	62 The DAWN Report – Opiaterelated Drug Misuse Deaths in Six States	Report – Emergency Department Visits Involving Nonmedical Use of Selected Pharmaceuticals	of Labor Statistics	Economic Census	Department of Health and Human Services	Enforcement Administration Economic Impact of the Electronic Orders Rule	Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems A Field Study”	accessed 1182008 wwwnacdsorgwmspagecfmparm1507 accessed 1182008 wwwsurescriptscomgetconnectedaspxptypephysician
Emergency Department Visits Involving Nonmedical Use of Selected Pharmaceuticals	0.62	0.6	0.64	0.5700000000000001	0.4	0.64	0.54	0.6599999999999999	0.6	0.81	0.6	0.5900000000000001	0.65	0.62	0.61	0.5700000000000001	0.65	0.63	0.62	0.47	0.64	0.64	0.64	0.6699999999999999	0.5800000000000001	0.5900000000000001	0.63	0.64	0.5800000000000001	0.65	0.64	0.6599999999999999	0.0	0.5800000000000001	0.54	0.52	0.55	0.5900000000000001	0.65
Health United States 2007 with chartbook on trends in the Health of Americans	0.52	0.56	0.62	0.61	0.5	0.6	0.61	0.6599999999999999	0.63	0.85	0.56	0.6	0.65	0.52	0.5900000000000001	0.63	0.65	0.64	0.6599999999999999	0.65	0.5800000000000001	0.6	0.65	0.65	0.64	0.62	0.65	0.62	0.5900000000000001	0.6	0.5700000000000001	0.64	0.62	0.64	0.6	0.52	0.62	0.64	0.63
Opiaterelated Drug Misuse Deaths in Six States 2003	0.63	0.5900000000000001	0.6699999999999999	0.6599999999999999	0.19999999999999996	0.61	0.61	0.6599999999999999	0.63	0.85	0.63	0.69	0.6699999999999999	0.63	0.65	0.5700000000000001	0.65	0.65	0.5	0.5	0.65	0.65	0.63	0.73	0.5700000000000001	0.5700000000000001	0.6699999999999999	0.63	0.63	0.69	0.5900000000000001	0.06000000000000005	0.65	0.64	0.6699999999999999	0.5900000000000001	0.65	0.63	0.69
Report on the Use of Health Information Technology to Enhance and Expand Health Care AntiFraud Activities	0.44999999999999996	0.49	0.5900000000000001	0.61	0.5	0.64	0.61	0.6599999999999999	0.49	0.81	0.6	0.31999999999999995	0.61	0.44999999999999996	0.31000000000000005	0.6	0.48	0.45999999999999996	0.6599999999999999	0.6799999999999999	0.31000000000000005	0.5700000000000001	0.35	0.63	0.5800000000000001	0.5800000000000001	0.6	0.5700000000000001	0.65	0.41000000000000003	0.5	0.64	0.5900000000000001	0.53	0.6	0.43999999999999995	0.5900000000000001	0.63	0.73
Electronic Prescribing Systems Making it safer to take your medicine	0.61	0.61	0.62	0.69	0.6	0.64	0.61	0.5800000000000001	0.6	0.85	0.37	0.64	0.6599999999999999	0.61	0.62	0.56	0.65	0.64	0.54	0.64	0.61	0.61	0.6699999999999999	0.6799999999999999	0.62	0.55	0.61	0.62	0.0	0.62	0.64	0.7	0.5800000000000001	0.5800000000000001	0.4	0.5900000000000001	0.64	0.44999999999999996	0.6699999999999999
Extrapolating Evidence of Health Information Technology Savings and Costs	0.42000000000000004	0.33999999999999997	0.5800000000000001	0.61	0.6	0.61	0.5800000000000001	0.63	0.43000000000000005	0.81	0.61	0.39	0.5800000000000001	0.42000000000000004	0.32999999999999996	0.62	0.4	0.4	0.6599999999999999	0.65	0.31999999999999995	0.5	0.0	0.63	0.62	0.62	0.65	0.5900000000000001	0.64	0.32999999999999996	0.62	0.65	0.61	0.53	0.6	0.49	0.6599999999999999	0.5900000000000001	0.72
Gauging the Progress of the National Health Information Technology Initative Perspectives from the Field	0.010000000000000009	0.44999999999999996	0.54	0.61	0.5	0.64	0.65	0.63	0.52	0.81	0.62	0.39	0.55	0.010000000000000009	0.32999999999999996	0.6	0.48	0.44999999999999996	0.6599999999999999	0.6599999999999999	0.33999999999999997	0.49	0.42000000000000004	0.61	0.5900000000000001	0.62	0.5800000000000001	0.55	0.62	0.39	0.55	0.63	0.62	0.5800000000000001	0.6	0.52	0.5900000000000001	0.5900000000000001	0.74
Health Information Technology Can HIT Lower Costs and Improve Quality	0.38	0.56	0.5800000000000001	0.6599999999999999	0.6	0.61	0.61	0.63	0.5800000000000001	0.85	0.6	0.44999999999999996	0.62	0.38	0.5900000000000001	0.63	0.32999999999999996	0.33999999999999997	0.7	0.6599999999999999	0.48	0.52	0.31999999999999995	0.63	0.64	0.61	0.65	0.5800000000000001	0.63	0.0	0.6699999999999999	0.7	0.64	0.5800000000000001	0.6	0.5900000000000001	0.5800000000000001	0.63	0.72
Snapshot The State of Health Information Technology in California	0.32999999999999996	0.09999999999999998	0.5800000000000001	0.64	0.5	0.6699999999999999	0.5800000000000001	0.69	0.49	0.85	0.65	0.31999999999999995	0.64	0.32999999999999996	0.09999999999999998	0.64	0.39	0.37	0.6599999999999999	0.64	0.27	0.48	0.30000000000000004	0.6699999999999999	0.6699999999999999	0.6699999999999999	0.65	0.56	0.62	0.44999999999999996	0.5800000000000001	0.64	0.64	0.64	0.6	0.43999999999999995	0.64	0.5900000000000001	0.71
The Chain Pharmacy Industry Profile 2003	0.63	0.63	0.5800000000000001	0.73	0.7	0.7	0.54	0.69	0.69	0.81	0.63	0.5800000000000001	0.5800000000000001	0.63	0.65	0.6	0.65	0.63	0.7	0.65	0.6	0.65	0.6799999999999999	0.49	0.5800000000000001	0.6	0.06999999999999995	0.65	0.65	0.65	0.6799999999999999	0.7	0.65	0.69	0.6	0.6699999999999999	0.63	0.63	0.7
The Diffusion of Healthcare Information Technology	0.28	0.26	0.56	0.64	0.6	0.61	0.65	0.69	0.49	0.81	0.6	0.19999999999999996	0.64	0.28	0.26	0.62	0.16000000000000003	0.16000000000000003	0.6599999999999999	0.6599999999999999	0.28	0.43000000000000005	0.28	0.64	0.62	0.62	0.6599999999999999	0.54	0.6	0.48	0.54	0.6599999999999999	0.62	0.64	0.6	0.52	0.6	0.5800000000000001	0.7
The State and Pattern of Health Information Technology Adoption	0.35	0.25	0.5800000000000001	0.64	0.4	0.6699999999999999	0.65	0.6599999999999999	0.45999999999999996	0.81	0.64	0.29000000000000004	0.6599999999999999	0.35	0.25	0.61	0.39	0.39	0.6599999999999999	0.6599999999999999	0.0	0.42000000000000004	0.31999999999999995	0.63	0.6599999999999999	0.6599999999999999	0.6699999999999999	0.53	0.5800000000000001	0.48	0.53	0.62	0.64	0.53	0.6	0.43999999999999995	0.64	0.5900000000000001	0.7
12th Annual Government Contractor Industry Survey	0.6	0.62	0.62	0.6599999999999999	0.5	0.6699999999999999	0.72	0.6599999999999999	0.6	0.85	0.62	0.62	0.6599999999999999	0.6	0.64	0.6599999999999999	0.62	0.62	0.62	0.6599999999999999	0.62	0.62	0.62	0.0	0.6599999999999999	0.6599999999999999	0.54	0.6599999999999999	0.6799999999999999	0.62	0.63	0.64	0.6599999999999999	0.64	0.6	0.5	0.63	0.62	0.62
Results from the 2006 National Survey on Drug Use and Health National Findings	0.54	0.56	0.62	0.64	0.5	0.61	0.6799999999999999	0.63	0.63	0.81	0.62	0.5900000000000001	0.5900000000000001	0.54	0.53	0.62	0.61	0.63	0.5	0.6599999999999999	0.54	0.56	0.5700000000000001	0.65	0.64	0.5900000000000001	0.61	0.53	0.63	0.5700000000000001	0.5700000000000001	0.5800000000000001	0.63	0.64	0.6699999999999999	0.54	0.6599999999999999	0.61	0.6799999999999999
Small Business Size Standards	0.63	0.63	0.65	0.6599999999999999	0.5	0.56	0.72	0.6599999999999999	0.69	0.89	0.63	0.63	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.5900000000000001	0.69	0.69	0.6599999999999999	0.6599999999999999	0.69	0.63	0.63	0.6599999999999999	0.5900000000000001	0.5900000000000001	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.5900000000000001	0.56	0.56	0.69	0.74	0.6599999999999999	0.6599999999999999	0.62	0.6599999999999999
Surescripts  The Nations EPrescription Network	0.48	0.5700000000000001	0.5900000000000001	0.64	0.6	0.61	0.6799999999999999	0.63	0.5700000000000001	0.85	0.5700000000000001	0.61	0.61	0.48	0.5700000000000001	0.5900000000000001	0.61	0.61	0.5	0.5900000000000001	0.5900000000000001	0.5700000000000001	0.64	0.69	0.5900000000000001	0.5900000000000001	0.5900000000000001	0.5700000000000001	0.5700000000000001	0.6799999999999999	0.63	0.6599999999999999	0.64	0.69	0.6699999999999999	0.65	0.5900000000000001	0.5700000000000001	0.5700000000000001
CCHIT Ambulatory Functionality 2007 Final Criteria	0.6	0.6	0.64	0.71	0.6	0.6699999999999999	0.5800000000000001	0.72	0.6599999999999999	0.85	0.6799999999999999	0.65	0.64	0.6	0.6799999999999999	0.6599999999999999	0.4	0.56	0.6599999999999999	0.6599999999999999	0.6799999999999999	0.62	0.64	0.6599999999999999	0.6799999999999999	0.7	0.7	0.6	0.7	0.6799999999999999	0.62	0.6799999999999999	0.7	0.5800000000000001	0.6699999999999999	0.62	0.64	0.54	0.72
CCHIT Security Criteria	0.61	0.7	0.7	0.7	0.5800000000000001	0.6599999999999999	0.69	0.61	0.5700000000000001	0.87	0.5700000000000001	0.6599999999999999	0.7	0.61	0.7	0.61	0.53	0.0	0.69	0.6599999999999999	0.7	0.6599999999999999	0.7	0.61	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.43999999999999995	0.6599999999999999	0.53	0.5700000000000001	0.6599999999999999	0.5700000000000001	0.69	0.6699999999999999	0.7	0.61	0.61	0.7
HIPAA Security Guidance	0.6599999999999999	0.7	0.7	0.74	0.7	0.61	0.6599999999999999	0.6599999999999999	0.6599999999999999	0.83	0.6599999999999999	0.6599999999999999	0.7	0.6599999999999999	0.7	0.61	0.5700000000000001	0.4	0.74	0.7	0.7	0.7	0.7	0.7	0.6599999999999999	0.61	0.7	0.53	0.6599999999999999	0.61	0.61	0.61	0.7	0.69	0.74	0.6599999999999999	0.6599999999999999	0.7	0.6599999999999999
Information Security Electronic Authentication Guideline	0.54	0.56	0.5900000000000001	0.61	0.6	0.6699999999999999	0.5800000000000001	0.6	0.55	0.85	0.5	0.61	0.5900000000000001	0.54	0.56	0.54	0.49	0.52	0.6599999999999999	0.61	0.61	0.52	0.5800000000000001	0.6799999999999999	0.63	0.63	0.6699999999999999	0.0	0.63	0.5800000000000001	0.63	0.6699999999999999	0.61	0.64	0.47	0.62	0.5	0.52	0.6699999999999999
Physicians Experiences Using Commercial EPrescribing Systems	0.65	0.7	0.5900000000000001	0.64	0.5	0.6	0.65	0.6	0.6	0.85	0.44999999999999996	0.65	0.64	0.65	0.7	0.55	0.64	0.64	0.6599999999999999	0.65	0.6699999999999999	0.62	0.62	0.6699999999999999	0.55	0.5700000000000001	0.6799999999999999	0.64	0.5700000000000001	0.7	0.65	0.6699999999999999	0.6	0.69	0.6	0.65	0.65	0.4	0.7
A Conceptual Framework for Evaluating Outpatient Electronic Prescribing Systems Based on their Functional Capabilities	0.5700000000000001	0.6	0.56	0.61	0.6	0.5800000000000001	0.65	0.5800000000000001	0.5800000000000001	0.81	0.45999999999999996	0.62	0.5900000000000001	0.5800000000000001	0.6	0.53	0.5900000000000001	0.62	0.5800000000000001	0.63	0.61	0.61	0.5700000000000001	0.6699999999999999	0.56	0.54	0.62	0.5700000000000001	0.37	0.6	0.6	0.64	0.6	0.5800000000000001	0.47	0.5700000000000001	0.56	0.43000000000000005	0.71
Functional Characteristics of Commercial Ambulatory Electronic Prescribing Systems A Field Study	0.5900000000000001	0.63	0.5800000000000001	0.61	0.5	0.61	0.5800000000000001	0.6	0.6	0.81	0.45999999999999996	0.63	0.5800000000000001	0.5900000000000001	0.54	0.6	0.6	0.61	0.62	0.5700000000000001	0.5900000000000001	0.61	0.5900000000000001	0.65	0.47	0.6	0.62	0.5800000000000001	0.5900000000000001	0.64	0.62	0.6699999999999999	0.63	0.64	0.47	0.5900000000000001	0.53	0.0	0.7
Recommendations for Comparing Electronic Prescribing Systems Results of An Expert Consensus Process	0.6	0.64	0.54	0.61	0.7	0.61	0.61	0.5800000000000001	0.55	0.77	0.0	0.6599999999999999	0.62	0.6	0.62	0.6	0.63	0.61	0.54	0.64	0.64	0.5800000000000001	0.61	0.63	0.64	0.62	0.6	0.61	0.43999999999999995	0.62	0.65	0.6599999999999999	0.62	0.64	0.54	0.5700000000000001	0.5	0.45999999999999996	0.6699999999999999
